
[00:00:00.000 --> 00:00:09.000]   When you're in winter's favorite town, the snow-covered mountains surround you.
[00:08:28.000 --> 00:08:35.000]   Now we then get to the question of residency. What do you – in terms of what are you going to do with residency? You mentioned a foreign will.
[00:08:35.000 --> 00:08:47.000]   Well, if you're moving abroad and you're planning to be abroad for a significant amount of time, then you may choose to put yourself under the jurisdiction of that foreign country.
[00:08:47.000 --> 00:09:00.000]   But there you have to weigh, is this a country that I want to have – do I want to be under their jurisdiction? Does that help me? Or is this the type of country where I'd really prefer to do my own thing?
[00:09:00.000 --> 00:09:11.000]   Just because you're moving abroad doesn't mean, I think, that you automatically have to set up all of your residency to fill abroad, specifically for financial planning purposes.
[00:09:11.000 --> 00:09:22.000]   And here we're going to get into a difference between visas, residency permits with various countries, passport requirements versus your personal financial affairs.
[00:09:22.000 --> 00:09:43.000]   If I had an established life in the United States, I owned a little bit of property, I had accounts, I had family, I was a U.S. citizen in a normal situation, I would keep – for the purpose of my financial life, I would keep my U.S. residency intact while I moved abroad.
[00:09:43.000 --> 00:09:52.000]   And the way that I would do that would be very simple. There are a number of states that are very popular, and you can research this with the RV community.
[00:09:52.000 --> 00:10:03.000]   But there are a number of states that allow you to officially register with that state as your state of domicile without having to physically reside in that state all of the time.
[00:10:03.000 --> 00:10:19.000]   And the popular states, the three most popular states are Florida, Texas, and South Dakota. They each have various advantages and disadvantages, but each of those states, Florida, Texas, and South Dakota, is very popular in the RV community.
[00:10:19.000 --> 00:10:29.000]   And there are a number of mail-forwarding companies that work in those states, that live in those states, that allow you to use those states as your domicile.
[00:10:29.000 --> 00:10:44.000]   So you can move officially with the U.S. state from where you live now to what's called a commercial mail-receiving agency in those states, a CMRA, a commercial mail-receiving agency in those states.
[00:10:44.000 --> 00:10:50.000]   And there are a number of RV clubs that advertise this as a standard part of their services.
[00:10:50.000 --> 00:11:02.000]   The benefit of moving to either Texas or Florida is largely that you can avoid state income taxes. I can't remember what the state income tax is in South Dakota.
[00:11:02.000 --> 00:11:09.000]   But you can move your domicile legally to Florida or Texas and become a Florida or Texas resident.
[00:11:09.000 --> 00:11:26.000]   With those states, you can – and all of the RV assistance companies will walk you through this – but you file an official paper with the courthouse in that state and register your legal address with that state.
[00:11:26.000 --> 00:11:33.000]   So you become, for all intents and purposes, a resident – I'll use Florida because I'm familiar with Florida, of course, being a Floridian – you become a resident of Florida.
[00:11:33.000 --> 00:11:43.000]   That gives you a legal address that you can use to file paperwork with the U.S. government if you need to do passport paperwork, passport applications, things like that.
[00:11:43.000 --> 00:11:52.000]   It gives you an official address that you can use for vehicle registration and for any kind of financial work.
[00:11:52.000 --> 00:11:57.000]   It gives you an official address that you can use if you care to be involved in the voter registration rolls.
[00:11:57.000 --> 00:12:02.000]   You can register to vote in that particular state.
[00:12:02.000 --> 00:12:09.000]   And that gives you a fully legal address that you can use for all of your purposes.
[00:12:09.000 --> 00:12:11.000]   Now, of course, there's no residence there.
[00:12:11.000 --> 00:12:13.000]   You just have a mailbox in some random building.
[00:12:13.000 --> 00:12:15.000]   But it gives you a legal address.
[00:12:15.000 --> 00:12:20.000]   And then, of course, as mail forwarding services, they will collect your mail that is sent there.
[00:12:20.000 --> 00:12:23.000]   They will – depending on what you want – they'll forward it on to you.
[00:12:23.000 --> 00:12:24.000]   They'll scan it.
[00:12:24.000 --> 00:12:26.000]   And they have different services that they offer.
[00:12:26.000 --> 00:12:34.000]   That's less important today with the easy proliferation of online access that most of us enjoy for most accounts.
[00:12:34.000 --> 00:12:42.000]   But it is still important for things like filing tax paperwork, filing passport locations, and things like that.
[00:12:42.000 --> 00:12:54.000]   So if I were you, what I would do is I would move my domicile, my official registered domicile, to one of those commercial mail receiving agencies – again, South Dakota, Texas, or Florida –
[00:12:54.000 --> 00:13:01.000]   and I would use that address for all of my government interaction as my official legal address.
[00:13:01.000 --> 00:13:10.000]   What that gets you is that gets you the ability to retain your U.S. domicile and your U.S. residence, which now we can move to wills.
[00:13:10.000 --> 00:13:20.000]   Do you intend – after you move abroad, do you think that you will own any significant value personal property that's physical property?
[00:13:20.000 --> 00:13:22.000]   Not overseas.
[00:13:22.000 --> 00:13:30.000]   Okay. So in this context, there's less of a need for a will if you don't own any physical personal property.
[00:13:30.000 --> 00:13:32.000]   Do you and your wife have children, or do you think you'll have children?
[00:13:32.000 --> 00:13:33.000]   We do.
[00:13:33.000 --> 00:13:34.000]   Okay. So the biggest –
[00:13:34.000 --> 00:13:36.000]   We have two.
[00:13:36.000 --> 00:13:45.000]   Okay. So the biggest benefit if you have two children is for – as far as the biggest need for you to have a will – is to use that will to establish guardianship.
[00:13:45.000 --> 00:13:54.000]   If you and your wife died while you are abroad, would it be your intent that your children are returned to the United States to live with their guardians?
[00:13:54.000 --> 00:13:56.000]   Most likely. Most likely, yes.
[00:13:56.000 --> 00:14:05.000]   So under those circumstances, I would keep my U.S. domicile and my U.S. residence, and I would have my will filed in my state of domicile,
[00:14:05.000 --> 00:14:11.000]   primarily for the intent of having – of establishing guardianship for my children.
[00:14:11.000 --> 00:14:19.000]   And then if my wife and I died while abroad, our children would be returned by – whoever is around there, our children would be returned back to the United States.
[00:14:19.000 --> 00:14:25.000]   And then my will would be used to indicate my guardianship for my children.
[00:14:25.000 --> 00:14:31.000]   So the key for you to remember is that the will only governs what's called probate property.
[00:14:31.000 --> 00:14:41.000]   And probate property is property that doesn't involve a beneficiary designation or an account titling designation.
[00:14:41.000 --> 00:14:52.000]   So you can accomplish your – you can accomplish the transfer of your property in the case of your death for non-probate property through either account titling or beneficiary titling.
[00:14:52.000 --> 00:14:57.000]   If you have an IRA, then you just simply say, "So-and-so will be the beneficiary of it."
[00:14:57.000 --> 00:15:09.000]   If you have a – if you have an account, a bank account or some piece of property, you can establish joint ownership or joint ownership with rights of survivorship or a transfer on death arrangement.
[00:15:09.000 --> 00:15:12.000]   And then all of that property bypasses your will.
[00:15:12.000 --> 00:15:16.000]   So the big thing for you would be to use your will to establish the guardianship.
[00:15:16.000 --> 00:15:25.000]   In terms of your assets and your family's assets, would you consider them to be significant at this point or do you expect them to be significant in the future or are they relatively minor?
[00:15:25.000 --> 00:15:28.000]   They're relatively modest now.
[00:15:28.000 --> 00:15:30.000]   Our savings rate is pretty high.
[00:15:30.000 --> 00:15:34.000]   So – and the investments I've made have done quite, quite well.
[00:15:34.000 --> 00:15:42.000]   So we would expect in a few years' time for them to be significant and over the course of years, substantial.
[00:15:42.000 --> 00:15:45.000]   But right now, they're relatively modest.
[00:15:45.000 --> 00:15:55.000]   Have you established already any kind of trust arrangements for your children to be the beneficiaries of your assets and/or your life insurance policies?
[00:15:55.000 --> 00:16:01.000]   No, we have a – no, we have not.
[00:16:01.000 --> 00:16:15.000]   And that's in part part of the question is because we – the move is so soon, we didn't feel like we – we just figured we want to make the change that's going to make sense long-term rather than do something for a couple months and have to switch around again.
[00:16:15.000 --> 00:16:18.000]   So that's in part what has spurred the conversation.
[00:16:18.000 --> 00:16:19.000]   Okay.
[00:16:19.000 --> 00:16:25.000]   So I don't know how to help you with the logistics of what you can get done before you move, what you can get done from abroad, et cetera.
[00:16:25.000 --> 00:16:32.000]   But the first thing to figure out is what is going to be your official state of residence while you are abroad.
[00:16:32.000 --> 00:16:34.000]   Now, obviously, you're not physically going to be there.
[00:16:34.000 --> 00:16:43.000]   But for the practice of your legal work, you probably don't want to be under the jurisdiction of the foreign government.
[00:16:43.000 --> 00:16:47.000]   Rather, it's better for you to maintain the legal situation that you're familiar with.
[00:16:47.000 --> 00:16:51.000]   So you figure out what state you're going to have as your domicile.
[00:16:51.000 --> 00:17:02.000]   And the reason is because your – whatever your state is, your domicile, that's the state in which your will needs to be established and properly written to the terms of that state.
[00:17:02.000 --> 00:17:15.000]   Now, once you've established that, then I would recommend go ahead and – go ahead and at that point in time put in a – put in a new – go ahead and establish a new will.
[00:17:15.000 --> 00:17:18.000]   And in that will, put trust provisions in the will.
[00:17:18.000 --> 00:17:32.000]   And the trust provisions that you should add are – trust is an option where if you and your wife die simultaneously, if you and your wife die simultaneously, then a trust is established.
[00:17:32.000 --> 00:17:34.000]   It's called a testamentary trust.
[00:17:34.000 --> 00:17:40.000]   And that trust is written according to the terms of how you want the property to be dispersed to your children.
[00:17:40.000 --> 00:17:45.000]   And so what I usually would recommend – your children are young, right, at this point?
[00:17:45.000 --> 00:17:46.000]   It sounds like.
[00:17:46.000 --> 00:17:47.000]   Yes.
[00:17:47.000 --> 00:17:58.000]   So with young children, what I would recommend is that you establish a guardian and then you establish a trustee for – to manage the assets with them.
[00:17:58.000 --> 00:18:17.000]   What I like to see is usually the guardian to be a co-trustee with another trusted family member and establish in the trust document a level of – whatever level of freedom you want that trustee to have in dispersing the money.
[00:18:17.000 --> 00:18:34.000]   If you have a functional family, then I personally – my opinion is if you have a functional family that you have a high degree of confidence in, I like to see a high degree of freedom given to the trustee to manage the money for the benefit of the children in whatever way they see possible.
[00:18:34.000 --> 00:18:51.000]   And what you can establish with your attorney is establish the opportunity for them to have basic money coming out for their – usually it's called HEMS, health, education, maintenance, and support, just the basic levels of support that they need.
[00:18:51.000 --> 00:19:07.000]   You can establish that the trustee has the authority to disperse funds for educational expenses and then you can establish a time or multiple times at which the full balance of the money in the estate becomes available to them.
[00:19:07.000 --> 00:19:18.000]   And it's important to do the planning right because if you have a couple million dollars in term life insurance, you're not just dealing with say $200,000 which could be easily exhausted between maintenance and college.
[00:19:18.000 --> 00:19:21.000]   You're dealing with a few million dollars which is substantial.
[00:19:21.000 --> 00:19:37.000]   And so what I like to do is to encourage you to establish that testamentary trust that would be handled for your children, file that in your will, and then that trust is what should be placed as the beneficiary of your 401(k) accounts, of your investment accounts.
[00:19:37.000 --> 00:19:40.000]   That trust should be the beneficiary of your life insurance policies.
[00:19:40.000 --> 00:19:42.000]   And then you have a very simple financial life.
[00:19:42.000 --> 00:19:45.000]   If you and your wife die, your children are returned to the United States.
[00:19:45.000 --> 00:19:48.000]   The guardian is established.
[00:19:48.000 --> 00:19:51.000]   The guardian does have to go before the court to be officially approved.
[00:19:51.000 --> 00:19:56.000]   Remember that guardianship under a will is not guaranteed to be carried out.
[00:19:56.000 --> 00:20:04.000]   It's likely going to be carried out, but the judge always has the final say in establishing the guardianship of your children.
[00:20:04.000 --> 00:20:11.000]   But then your trust is established, it gets funded, your co-trustees then can manage the money and take care of your children for you.
[00:20:11.000 --> 00:20:18.000]   All of that is much easier under the U.S. system than trying to figure out a new foreign system as a foreigner.
[00:20:18.000 --> 00:20:21.000]   Yes.
[00:20:21.000 --> 00:20:23.000]   Does that answer your question?
[00:20:23.000 --> 00:20:24.000]   Is there anything unclear?
[00:20:24.000 --> 00:20:26.000]   Do you want to ask any follow-up questions?
[00:20:26.000 --> 00:20:27.000]   That's great.
[00:20:27.000 --> 00:20:28.000]   That's great.
[00:20:28.000 --> 00:20:29.000]   That is very helpful.
[00:20:29.000 --> 00:20:32.000]   I know you've got the ballot in your registry.
[00:20:32.000 --> 00:20:37.000]   Would you have something equivalent like that for law and lawyers, attorneys, something like that?
[00:20:37.000 --> 00:20:39.000]   I would dearly love to have it, but I don't.
[00:20:39.000 --> 00:20:41.000]   Here's what I would do.
[00:20:41.000 --> 00:20:44.000]   I would love to have something like that, but again, I don't.
[00:20:44.000 --> 00:20:45.000]   Here's what I do.
[00:20:45.000 --> 00:20:55.000]   The best way I know of to cut through the mumbo-jumbo of billboards and people advertising is to use a legal association.
[00:20:55.000 --> 00:21:01.000]   Look up your local bar association and look -- Mark, you sound like you're relatively young.
[00:21:01.000 --> 00:21:04.000]   Are you on the younger side or the older side?
[00:21:04.000 --> 00:21:06.000]   I'm on the younger side.
[00:21:06.000 --> 00:21:07.000]   That's my 30s.
[00:21:07.000 --> 00:21:08.000]   Good.
[00:21:08.000 --> 00:21:09.000]   Perfect.
[00:21:09.000 --> 00:21:10.000]   That's a perfect stage to be in.
[00:21:10.000 --> 00:21:18.000]   If you're in your 30s and you're on the younger side, what I would do is I would look up my local bar association for whatever major city is near you.
[00:21:18.000 --> 00:21:32.000]   In the local bar association, they will have a trust and estates division, and probably on the website, they will list an attorney who is involved or a couple of attorneys who's involved in that trust and estates division.
[00:21:32.000 --> 00:21:35.000]   They may also have a young lawyers association.
[00:21:35.000 --> 00:21:47.000]   The best way I know of to get this done is where you have decent legal work, especially if you're going to write up a custom trust, where you have decent legal work done by a legitimate attorney.
[00:21:47.000 --> 00:21:53.000]   You're not just trying to figure it out yourself with a self-help legal guide or a kit on a CD or whatever.
[00:21:53.000 --> 00:22:03.000]   It's to call either somebody on the young lawyers association or somebody in the trust and estates division and explain to them, "I'm a young father.
[00:22:03.000 --> 00:22:07.000]   I have modest means, but here's what I'm looking to do.
[00:22:07.000 --> 00:22:08.000]   I'm going abroad.
[00:22:08.000 --> 00:22:12.000]   I'm looking to establish a simple will and a simple trust.
[00:22:12.000 --> 00:22:21.000]   I wonder if you can refer for me a young lawyer who would be able to do that properly for me but would be not extremely high-priced."
[00:22:21.000 --> 00:22:33.000]   Often, if you ask for that referral, sometimes the person will say, "Hey, I'll do it for you," and there's a good chance that if you're finding them in the bar association, that they're perfectly qualified.
[00:22:33.000 --> 00:22:43.000]   Or if that's not their interest because not all trust and estates attorneys want to work with a young couple on an under-$1,000 case.
[00:22:43.000 --> 00:22:45.000]   They want to work with somebody who's wealthy often.
[00:22:45.000 --> 00:22:48.000]   They'll refer you to somebody who will appreciate the business.
[00:22:48.000 --> 00:22:53.000]   I think in this, you'll frequently be working with a young lawyer in their 30s who also has a couple of young children.
[00:22:53.000 --> 00:22:58.000]   If you can explain that, what I've encouraged people to do is just ask the attorney, "What do you have set up?
[00:22:58.000 --> 00:23:00.000]   Can I just copy what you've done?"
[00:23:00.000 --> 00:23:11.000]   What I've encouraged a lot of the younger trust and estates attorneys that I worked with when I was a planner was set up a simple package for young parents and just resell it again and again.
[00:23:11.000 --> 00:23:16.000]   In my opinion, usually you can get in and out for under $1,000.
[00:23:16.000 --> 00:23:29.000]   If you ask them to do it and just say, "I don't need anything too custom," you can get in and out for under $1,000 with all of your documents well squared away, including a good testamentary trust and your other ancillary documents.
[00:23:29.000 --> 00:23:33.000]   So, you make some phone calls, but that's how I would approach the problem.
[00:23:33.000 --> 00:23:36.000]   Okay. That's very, very helpful. Thank you.
[00:23:36.000 --> 00:23:38.000]   Thanks for calling in, Mark.
[00:23:38.000 --> 00:23:41.000]   Mark, you had another question? Go ahead, please.
[00:23:41.000 --> 00:23:50.000]   Yes. I just listened to your episode on why this estate planner is not fit for his kid's college, which was really helpful and really challenging.
[00:23:50.000 --> 00:23:52.000]   It made me think in new ways.
[00:23:52.000 --> 00:23:54.000]   I just want to ask one further question with that.
[00:23:54.000 --> 00:23:59.000]   So, my wife and I are Christians. We would love for our kids to be able to go to a Christian school.
[00:23:59.000 --> 00:24:17.000]   But one thing that I've kind of seen the political leaves, California a couple years ago tried to require that colleges in California be LGBTQ affirming to receive federal funds.
[00:24:17.000 --> 00:24:29.000]   And so, one thought I have is I'm just wondering if accreditation is going to be on the line for some of these Christian schools that would not be so affirming.
[00:24:29.000 --> 00:24:37.000]   And it's my understanding that the ESAs are only used for accredited schools that can receive federal funds.
[00:24:37.000 --> 00:24:45.000]   So, am I correct in saying that would be a risk factor that I also need to be looking at in making that choice of investment?
[00:24:45.000 --> 00:24:56.000]   Yes, absolutely. Well, off the top of my head, I cannot remember if ESAs are only for accredited schools.
[00:24:56.000 --> 00:25:00.000]   Did you verify that yourself?
[00:25:00.000 --> 00:25:05.000]   So, I looked into enough to say that I wasn't sure what it meant.
[00:25:05.000 --> 00:25:16.000]   I know that there's places where you can use it for homeschool or private education up through college, and that did not appear to me to be accredited in a fashion.
[00:25:16.000 --> 00:25:20.000]   It did need to meet the state's local definition of school.
[00:25:20.000 --> 00:25:27.000]   But what I was unsure of was a way to clarify the meaning of that for a college.
[00:25:27.000 --> 00:25:33.000]   It did have language about an approved school or something to that extent, the exact technical language.
[00:25:33.000 --> 00:25:36.000]   It didn't say accredited.
[00:25:36.000 --> 00:25:42.000]   But that was the point of confusion is, does it require accreditation?
[00:25:42.000 --> 00:25:50.000]   I know, like Bob Jones lost accreditation because they didn't, they had something about interracial dating or something like that.
[00:25:50.000 --> 00:25:52.000]   And that's not the school I'm thinking about.
[00:25:52.000 --> 00:25:59.000]   But just, you know, there's a little bit of precedent to say that the government can kind of step in on some of these issues.
[00:25:59.000 --> 00:26:11.000]   And we would just would not want our money tied up in a place where, you know, if we wanted to send a Christian school, we wouldn't be able to because they lost accreditation or couldn't get federal funds or, you know, something of that kind.
[00:26:11.000 --> 00:26:17.000]   So, let's start with the first most important things, and then we'll get to the financial.
[00:26:17.000 --> 00:26:24.000]   And this is very important to me that we never start with finances, but rather we figure out what we're trying to do and then make finances fit them.
[00:26:24.000 --> 00:26:29.000]   So, first and foremost, I think most Christian schools are not worth the money.
[00:26:29.000 --> 00:26:35.000]   Most Christian schools are give a really bad education and they don't do a very good job on the Christian side.
[00:26:35.000 --> 00:26:42.000]   They're basically secular schools, just kind of dipped a little bit in some light Christian water, but there's not a whole lot to it.
[00:26:42.000 --> 00:26:51.000]   Now, I have a few exceptions, but I think most of the time they're overpriced and they under deliver and they really don't deliver a superior product.
[00:26:51.000 --> 00:27:00.000]   Now, there are a few that are exceptions, but although I'm with you, I think there are values, there are benefits of being involved in a Christian school.
[00:27:00.000 --> 00:27:24.000]   The biggest environment, sorry, the biggest benefit I see for children who are going to Christian colleges and universities is there's a higher probability of them being around other Christian young people, which means there's a higher and better pool in the dating marketplace for them to potentially meet a spouse.
[00:27:24.000 --> 00:27:36.000]   That is really the best benefit of a Christian school, but from an educational perspective, many of them are really, really bad and they deserve to blow up and go away instead of doing a bad job.
[00:27:36.000 --> 00:27:41.000]   Now, that I've offended most of the people, I just really think it's true and I get so tired.
[00:27:41.000 --> 00:27:51.000]   I get really tired of Christians doing bad work and then people paying extra money just because it has the name Christian when you actually dig into it and you start digging into, okay, let's see who the professors are.
[00:27:51.000 --> 00:27:58.000]   Let's see what they're teaching and you start reading their papers, you start reading their articles and you think, wait a second, this person's, this is not Christian.
[00:27:58.000 --> 00:28:00.000]   This is just baptized secularism.
[00:28:00.000 --> 00:28:01.000]   It's absurd.
[00:28:01.000 --> 00:28:05.000]   So, there are exceptions for that and so that's my thing number one.
[00:28:05.000 --> 00:28:19.000]   I get annoyed with Christians wasting tens of thousands of dollars on a bad education when it's a whole lot cheaper to send your kids to be involved in the clubs so that they can reach that dating pool marketplace rather than wasting the money on the education.
[00:28:19.000 --> 00:28:45.000]   I'd rather see people get an online, because my children, I don't know what college will look like, but today I'd rather see my children get a college degree from just some online school that can be done cheap and fast to get the degree so they can check their box that, yes, we've got the degree and we'll access the dating pool and the pool of qualified mates a different way that's cheaper than tens of thousands of dollars.
[00:28:45.000 --> 00:29:02.000]   Number two, I do expect that it would be my guess that in the coming years that many of the Christian schools, especially in California, will lose their ability to operate based upon non-discrimination rules.
[00:29:02.000 --> 00:29:09.000]   I really think that is a good, I think that's a good likelihood that that will happen.
[00:29:09.000 --> 00:29:21.000]   All of the political movement seems to be very firmly opposed to the Christian schools being able to continue to operate.
[00:29:21.000 --> 00:29:38.000]   And I think it's important to analyze it carefully and to understand that people who are very much crusading for LGBT acceptance and the sexual liberty of people to express that, they view this as a moral absolute right.
[00:29:38.000 --> 00:29:49.000]   And so you come down to a tension between freedom of religion or religious freedom and sexual freedom, and in this battle it's one or the other.
[00:29:49.000 --> 00:29:52.000]   There is no middle ground in this issue.
[00:29:52.000 --> 00:29:58.000]   I see no way that there's no place for compromise.
[00:29:58.000 --> 00:30:07.000]   And this has been happening for the last decade, and I expect the next decade to continue because there's no place of compromise between these when you actually analyze the positions.
[00:30:07.000 --> 00:30:12.000]   So in terms of a peaceful settlement, I don't see how there is a peaceful resolution.
[00:30:12.000 --> 00:30:21.000]   And so for a university like Biola in California, they very, you know, a good Biola, I like some of the stuff that they do.
