
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:02:57.120 --> 00:03:00.300]   atoms have a certain size, we orbit stars,
[00:03:00.300 --> 00:03:02.160]   stars have a certain lifetime.
[00:03:02.160 --> 00:03:05.180]   It's not impossible to me that there's a sweet spot
[00:03:05.180 --> 00:03:07.080]   for intelligent life that we find ourselves in.
[00:03:07.080 --> 00:03:08.660]   So I'm open-minded in either way.
[00:03:08.660 --> 00:03:10.180]   I'm open-minded either being humble
[00:03:10.180 --> 00:03:11.980]   and there's all sorts of different kinds of life
[00:03:11.980 --> 00:03:14.180]   or no, there's a reason we just don't know it yet
[00:03:14.180 --> 00:03:16.980]   why life like ours is the kind of life that's out there.
[00:03:16.980 --> 00:03:18.220]   - Yeah, I'm of two minds too,
[00:03:18.220 --> 00:03:22.100]   but I often wonder if our brains is just designed
[00:03:22.100 --> 00:03:27.100]   to quite obviously to operate and see the world
[00:03:27.100 --> 00:03:31.260]   in these time scales and we're almost blind
[00:03:31.260 --> 00:03:34.860]   and the tools we've created for detecting things
[00:03:34.860 --> 00:03:37.340]   are blind to the kind of observation
[00:03:37.340 --> 00:03:39.820]   needed to see intelligent life at other scales.
[00:03:39.820 --> 00:03:41.940]   - Well, I'm totally open to that,
[00:03:41.940 --> 00:03:43.980]   but so here's another argument I would make.
[00:03:43.980 --> 00:03:46.460]   You know, we have looked for intelligent life,
[00:03:46.460 --> 00:03:48.740]   but we've looked at for it in the dumbest way we can,
[00:03:48.740 --> 00:03:51.540]   right, by turning radio telescopes to the sky.
[00:03:51.540 --> 00:03:55.980]   And why in the world would a super advanced civilization
[00:03:55.980 --> 00:03:58.940]   randomly beam out radio signals wastefully
[00:03:58.940 --> 00:04:00.340]   in all directions into the universe?
[00:04:00.340 --> 00:04:02.220]   That just doesn't make any sense,
[00:04:02.220 --> 00:04:04.020]   especially because in order to think
[00:04:04.020 --> 00:04:06.940]   that you would actually contact another civilization,
[00:04:06.940 --> 00:04:08.740]   you would have to do it forever.
[00:04:08.740 --> 00:04:10.760]   You'd have to keep doing it for millions of years.
[00:04:10.760 --> 00:04:13.220]   That sounds like a waste of resources.
[00:04:13.220 --> 00:04:18.060]   If you thought that there were other solar systems
[00:04:18.060 --> 00:04:20.940]   with planets around them where maybe intelligent life
[00:04:20.940 --> 00:04:23.540]   didn't yet exist but might someday,
[00:04:23.540 --> 00:04:26.300]   you wouldn't try to talk to it with radio waves.
[00:04:26.300 --> 00:04:28.500]   You would send a spacecraft out there
[00:04:28.500 --> 00:04:30.460]   and you would park it around there
[00:04:30.460 --> 00:04:32.300]   and it would be like, from our point of view,
[00:04:32.300 --> 00:04:35.620]   it would be like 2001 where there's a monolith.
[00:04:35.620 --> 00:04:36.460]   - Monolith.
[00:04:36.460 --> 00:04:37.280]   - So there could be an artifact.
[00:04:37.280 --> 00:04:39.380]   In fact, the other way works also, right?
[00:04:39.380 --> 00:04:42.260]   There could be artifacts in our solar system
[00:04:42.260 --> 00:04:45.340]   that have been put there
[00:04:45.340 --> 00:04:47.180]   by other technologically advanced civilizations
[00:04:47.180 --> 00:04:49.540]   and that's how we will eventually contact them.
[00:04:49.540 --> 00:04:51.100]   We just haven't explored the solar system
[00:04:51.100 --> 00:04:52.600]   well enough yet to find them.
[00:04:52.600 --> 00:04:54.900]   The reason why we don't think about that
[00:04:54.900 --> 00:04:56.460]   is 'cause we're young and impatient, right?
[00:04:56.460 --> 00:04:58.900]   Like it would take more than my lifetime
[00:04:58.900 --> 00:05:01.020]   to actually send something to another star system
[00:05:01.020 --> 00:05:02.700]   and wait for it and then come back.
[00:05:02.700 --> 00:05:06.140]   So but if we start thinking on hundreds of thousands of years
[00:05:06.140 --> 00:05:07.620]   or million year timescales,
[00:05:07.620 --> 00:05:09.460]   that's clearly the right thing to do.
[00:05:09.460 --> 00:05:12.040]   (upbeat music)
[00:05:12.040 --> 00:05:14.620]   (upbeat music)
[00:05:14.620 --> 00:05:17.200]   (upbeat music)
[00:05:17.200 --> 00:05:19.780]   (upbeat music)
[00:05:19.780 --> 00:05:22.360]   (upbeat music)
[00:05:22.360 --> 00:05:24.940]   (upbeat music)
[00:05:24.940 --> 00:05:34.940]   [BLANK_AUDIO]

