
[00:00:00.000 --> 00:00:01.400]   OK, hi, everybody.
[00:02:36.400 --> 00:02:38.760]   And if you don't want to install it locally,
[00:02:38.760 --> 00:02:40.680]   it should all work fine.
[00:02:40.680 --> 00:02:41.200]   Cool.
[00:02:41.200 --> 00:02:42.560]   So I'll start with the big question, which
[00:02:42.560 --> 00:02:43.800]   is, why does this exist?
[00:02:43.800 --> 00:02:47.360]   What is the point of this library in a nutshell?
[00:02:47.360 --> 00:02:56.480]   OK, so by way of background, I started working on it
[00:02:56.480 --> 00:02:57.880]   for a couple of reasons.
[00:02:57.880 --> 00:03:02.440]   One is just I feel like--
[00:03:02.440 --> 00:03:07.160]   felt like-- still feel a bit like Claude is a bit underrated
[00:03:07.160 --> 00:03:08.160]   and underappreciated.
[00:03:08.160 --> 00:03:12.360]   I think most people use OpenAI because that's
[00:03:12.360 --> 00:03:13.560]   kind of what we're used to.
[00:03:13.560 --> 00:03:15.720]   And it's pretty good.
[00:03:15.720 --> 00:03:18.920]   And with 4.0, it's just got better.
[00:03:18.920 --> 00:03:20.560]   But Claude's also pretty good.
[00:03:20.560 --> 00:03:24.160]   And the nice thing about some of these models
[00:03:24.160 --> 00:03:26.320]   now, with also Google there, is they all
[00:03:26.320 --> 00:03:29.080]   have their things they're better at and things
[00:03:29.080 --> 00:03:30.000]   that they're worse at.
[00:03:30.000 --> 00:03:34.120]   So for example, I'm pretty interested in Haiku
[00:03:34.120 --> 00:03:36.440]   and in Google's Flash.
[00:03:36.440 --> 00:03:42.200]   They both seem like pretty capable models
[00:03:42.200 --> 00:03:44.480]   that maybe they don't know about much,
[00:03:44.480 --> 00:03:47.520]   but they're pretty good at doing stuff.
[00:03:47.520 --> 00:03:49.320]   And so they might be good with retrieval,
[00:03:49.320 --> 00:03:52.840]   which is where you can help it with not knowing stuff.
[00:03:52.840 --> 00:03:54.800]   So yeah, I was pretty interested, particularly
[00:03:54.800 --> 00:03:57.520]   in playing with Haiku.
[00:03:57.520 --> 00:04:01.840]   And then a second reason is just I
[00:04:01.840 --> 00:04:05.600]   did this video called A Hacker's Guide to LLMs last year.
[00:04:05.600 --> 00:04:08.760]   And I just recorded it for a conference,
[00:04:08.760 --> 00:04:11.960]   really just to help out a friend, to be honest.
[00:04:11.960 --> 00:04:14.120]   And I put it up online publicly because I
[00:04:14.120 --> 00:04:15.600]   do that for everything.
[00:04:15.600 --> 00:04:17.520]   And it became, kind of to my surprise,
[00:04:17.520 --> 00:04:18.840]   my most popular video ever.
[00:04:18.840 --> 00:04:22.000]   It's about to hit 500,000 views.
[00:04:22.000 --> 00:04:24.720]   And one of the things I did in that was to say, like, oh, look,
[00:04:24.720 --> 00:04:32.000]   you can create something that has the kind of behavior
[00:04:32.000 --> 00:04:35.280]   you're used to seeing in things like Constructor and Langchain
[00:04:35.280 --> 00:04:38.800]   and whatever else in a dozen lines of code.
[00:04:38.800 --> 00:04:42.320]   So you don't have to always use big, complex frameworks.
[00:04:42.320 --> 00:04:44.640]   And a lot of people said to me, like, oh, I
[00:04:44.640 --> 00:04:47.240]   would love to be able to use a library that's that small
[00:04:47.240 --> 00:04:49.440]   so I don't have to copy and paste yours.
[00:04:49.440 --> 00:04:51.200]   And so I thought, like, yeah, OK, I'll
[00:04:51.200 --> 00:04:57.040]   try and build something that's super simple, very
[00:04:57.040 --> 00:05:03.160]   transparent, minimum number of abstractions
[00:05:03.160 --> 00:05:04.080]   that people can use.
[00:05:04.080 --> 00:05:06.400]   And that way, they still don't have to write their own.
[00:05:06.400 --> 00:05:09.040]   But they also don't have to feel like it's a mysterious thing.
[00:05:09.080 --> 00:05:11.240]   So yeah, so Claudette is designed
[00:05:11.240 --> 00:05:19.920]   to be this fairly minimal, like no really very few abstractions
[00:05:19.920 --> 00:05:22.080]   or weird new things to learn, take
[00:05:22.080 --> 00:05:27.680]   advantage of just Python stuff for Claude,
[00:05:27.680 --> 00:05:34.960]   but also to be pretty capable and pretty convenient.
[00:05:34.960 --> 00:05:35.640]   Cool.
[00:05:35.640 --> 00:05:38.040]   You think it would be fair to say that this is more
[00:05:38.040 --> 00:05:40.960]   replacing the maybe more verbose code that we've copied
[00:05:40.960 --> 00:05:43.200]   and pasted from our own implementations a few times
[00:05:43.200 --> 00:05:46.080]   versus introducing too many completely new abstractions?
[00:05:46.080 --> 00:05:47.720]   Is that the kind of level that it's in?
[00:05:47.720 --> 00:05:52.200]   Yeah, I think a lot of people got their start with LLMs
[00:05:52.200 --> 00:05:55.840]   using stuff like LangChain, which I think
[00:05:55.840 --> 00:05:58.120]   is a really good way to get started in some ways
[00:05:58.120 --> 00:05:59.080]   and that you can--
[00:05:59.080 --> 00:06:01.480]   it's got good documentation and good demos.
[00:06:01.480 --> 00:06:05.400]   But a lot of people kind of come away feeling like,
[00:06:05.400 --> 00:06:07.480]   I don't really know what it's doing.
[00:06:07.480 --> 00:06:09.360]   I don't really know how to improve it.
[00:06:09.360 --> 00:06:12.440]   And I don't feel like I'm really learning at this point.
[00:06:12.440 --> 00:06:13.960]   And also, I don't really know how
[00:06:13.960 --> 00:06:15.520]   to use all my knowledge of Python
[00:06:15.520 --> 00:06:17.840]   to build on top of this because it's
[00:06:17.840 --> 00:06:21.320]   a whole new set of abstractions.
[00:06:21.320 --> 00:06:24.160]   So partly, it's kind of for those folks to be like, OK,
[00:06:24.160 --> 00:06:28.160]   here's how you can do things a bit closer to the bone
[00:06:28.160 --> 00:06:30.160]   without doing everything yourself from scratch.
[00:06:30.160 --> 00:06:35.160]   And for people who are already reasonably capable Python
[00:06:35.160 --> 00:06:37.760]   programmers feel like, OK, I want to leverage that,
[00:06:37.760 --> 00:06:41.600]   jump into LLMs and leverage my existing programming knowledge.
[00:06:41.600 --> 00:06:44.880]   This is a path that doesn't involve first learning
[00:06:44.880 --> 00:06:47.120]   some big new framework full of lots of abstractions
[00:06:47.120 --> 00:06:50.760]   and tens of thousands of lines of code to something with,
[00:06:50.760 --> 00:06:54.480]   I don't know what it is, maybe a couple of hundred lines of code,
[00:06:54.480 --> 00:06:58.240]   all of which is super clear and documented.
[00:06:58.240 --> 00:07:02.080]   And you can see step-by-step exactly what it's doing.
[00:07:02.080 --> 00:07:02.580]   Cool.
[00:07:02.580 --> 00:07:04.040]   Well, that sounds good.
[00:07:04.040 --> 00:07:05.520]   Do you want to start with a demo of what it does,
[00:07:05.520 --> 00:07:08.240]   or do you want to start straight with those hundred lines of code
[00:07:08.240 --> 00:07:09.680]   and step us through it?
[00:07:09.680 --> 00:07:10.440]   You know what?
[00:07:10.440 --> 00:07:12.760]   I'm inclined-- normally, I'd say do the demo,
[00:07:12.760 --> 00:07:15.040]   but I'm actually inclined to step through the code
[00:07:15.040 --> 00:07:23.800]   because the code's a bit, as you know, weird in that the code is--
[00:07:23.800 --> 00:07:25.800]   so if you click on Claudette's source,
[00:07:25.800 --> 00:07:29.160]   we can read the source code.
[00:07:29.160 --> 00:07:31.560]   This is the source code.
[00:07:31.560 --> 00:07:33.800]   It doesn't look like most source code.
[00:07:33.800 --> 00:07:38.400]   And that's because I tried something slightly different
[00:07:38.400 --> 00:07:40.800]   to what I've usually done in the past, which I've tried to create
[00:07:40.800 --> 00:07:44.040]   a truly literate program.
[00:07:44.040 --> 00:07:46.120]   So the source code of this is something that we can
[00:07:46.120 --> 00:07:47.920]   and will read top to bottom.
[00:07:47.920 --> 00:07:52.160]   And you'll see the entire implementation,
[00:07:52.160 --> 00:07:57.400]   but it also is designed to teach you about the API
[00:07:57.400 --> 00:07:59.800]   it's building on top of and the things
[00:07:59.800 --> 00:08:02.000]   that it's doing to build on top of that and so forth.
[00:08:02.000 --> 00:08:05.480]   So I think the best way to show you what it does
[00:08:05.480 --> 00:08:08.480]   is to also show you how it does it.
[00:08:08.480 --> 00:08:11.520]   So I'm here in a notebook.
[00:08:11.520 --> 00:08:15.240]   And so that source code we were viewing
[00:08:15.240 --> 00:08:18.440]   was just the thing called Quarto, which
[00:08:18.440 --> 00:08:20.760]   is a blogging platform that, amongst other things,
[00:08:20.760 --> 00:08:21.640]   can render notebooks.
[00:08:21.640 --> 00:08:25.280]   So we're just seeing the rendered version of this notebook.
[00:08:25.280 --> 00:08:32.680]   And so the bits that you see in gray
[00:08:32.680 --> 00:08:37.920]   are code cells in the notebook.
[00:08:37.920 --> 00:08:40.360]   Here's this code cell.
[00:08:40.360 --> 00:08:41.360]   Here's this code cell.
[00:08:41.360 --> 00:08:51.560]   And then you'll see some bits that
[00:08:51.560 --> 00:08:54.840]   have this little exported source thing here,
[00:08:54.840 --> 00:08:56.200]   which you can close and open.
[00:08:56.200 --> 00:08:58.600]   You can close them all at once from this menu here,
[00:08:58.600 --> 00:09:00.000]   hide all code.
[00:09:00.000 --> 00:09:02.320]   And that basically will get rid of all the bits that
[00:09:02.320 --> 00:09:04.320]   are actually the source code of the model.
[00:09:04.320 --> 00:09:07.920]   And all you'll be left with is the examples.
[00:09:07.920 --> 00:09:11.080]   And if we say show all code, then you can see, yeah,
[00:09:11.080 --> 00:09:12.920]   this is actually part of the source code.
[00:09:12.920 --> 00:09:17.920]   And so the way that works is these things
[00:09:17.920 --> 00:09:18.880]   that they say exports.
[00:09:18.880 --> 00:09:20.760]   So this is bits that actually becomes
[00:09:20.760 --> 00:09:23.200]   part of the library itself.
[00:09:23.200 --> 00:09:30.120]   OK, so the idea of this notebook is, as I said,
[00:09:30.120 --> 00:09:32.400]   as well as being the entire source code of the library,
[00:09:32.400 --> 00:09:37.240]   it's also by stepping through it, we'll see how Claude works.
[00:09:37.240 --> 00:09:43.320]   And so Claude has three models, Opus, Sonnet, and Haiku.
[00:09:43.320 --> 00:09:45.640]   So we just chuck them into a list
[00:09:45.640 --> 00:09:48.400]   so that anybody now who's using Claudette
[00:09:48.400 --> 00:09:51.160]   can see the models in it.
[00:09:51.160 --> 00:09:53.280]   And so the way we can see how to use it
[00:09:53.280 --> 00:10:01.720]   is that the readme and the home page,
[00:10:01.720 --> 00:10:04.920]   again, is actually a rendered version of a notebook.
[00:10:04.920 --> 00:10:07.080]   And it's called index.ipynb.
[00:10:07.080 --> 00:10:09.920]   And so we can import from Claudette.
[00:10:09.920 --> 00:10:12.560]   And so you can see, for example, if I say models,
[00:10:12.560 --> 00:10:17.200]   it shows me the same models that came from here.
[00:10:17.200 --> 00:10:18.640]   OK, so that's how these work.
[00:10:18.640 --> 00:10:21.160]   It ends up as part of this Claudette notebook.
[00:10:21.160 --> 00:10:28.000]   So that's the best Claude bottle, middle, worst.
[00:10:28.000 --> 00:10:29.880]   But I like using this one, Haiku,
[00:10:29.880 --> 00:10:31.680]   because it's really fast and really cheap.
[00:10:31.680 --> 00:10:33.440]   And I think it's interesting to experiment
[00:10:33.440 --> 00:10:35.800]   with how much more you can do with these fast, cheap models
[00:10:35.800 --> 00:10:36.280]   now.
[00:10:36.280 --> 00:10:43.880]   So that's the one I thought would try out.
[00:10:43.880 --> 00:10:47.320]   Any questions or comments so far from anybody?
[00:10:48.320 --> 00:10:50.680]   I guess, so far, this is--
[00:10:50.680 --> 00:10:52.400]   like, there's no reason you couldn't just
[00:10:52.400 --> 00:10:54.240]   write the full name of the model every time,
[00:10:54.240 --> 00:10:55.680]   like a lot of people do.
[00:10:55.680 --> 00:10:58.800]   And if a new one comes out, you can do that.
[00:10:58.800 --> 00:11:01.560]   But this is just trying to make it as smooth as possible,
[00:11:01.560 --> 00:11:03.800]   even to these tiny little details, right?
[00:11:03.800 --> 00:11:05.960]   Yeah, I don't want to have to remember these things.
[00:11:05.960 --> 00:11:07.480]   And obviously, I wouldn't remember those dates
[00:11:07.480 --> 00:11:08.000]   or whatever.
[00:11:08.000 --> 00:11:10.480]   So otherwise, I could copy and paste them.
[00:11:10.480 --> 00:11:12.200]   But yeah, I find I've been enjoying--
[00:11:12.200 --> 00:11:15.680]   I've been using this for a few weeks now.
[00:11:15.680 --> 00:11:17.680]   Once it got to a reasonably usable point--
[00:11:17.680 --> 00:11:20.720]   and definitely, this tiny minor thing is something I found nice
[00:11:20.720 --> 00:11:23.400]   is to not have to think about model names ever again,
[00:11:23.400 --> 00:11:26.240]   and also know that it goes, like, best, middle, worst.
[00:11:26.240 --> 00:11:27.480]   So I don't even have to--
[00:11:27.480 --> 00:11:31.000]   I can just go straight to, like, OK, worst one.
[00:11:31.000 --> 00:11:32.520]   Cool.
[00:11:32.520 --> 00:11:36.640]   So they provide an SDK, Anthropic.
[00:11:36.640 --> 00:11:42.600]   So their SDK gives you this Anthropic class
[00:11:42.600 --> 00:11:43.960]   you could import from.
[00:11:43.960 --> 00:11:45.040]   So you can pip install it.
[00:11:45.040 --> 00:11:49.600]   If you pip install Claudette, you'll get this for free.
[00:11:49.600 --> 00:11:54.760]   So I think it's nice if you're going to show somebody
[00:11:54.760 --> 00:11:56.800]   how to use your code, you should, first of all,
[00:11:56.800 --> 00:11:59.120]   show how to use the things that your code uses.
[00:11:59.120 --> 00:12:00.920]   So in this case, basically, the thing we use
[00:12:00.920 --> 00:12:03.160]   is the Anthropic SDK.
[00:12:03.160 --> 00:12:04.960]   So let's use it, right?
[00:12:04.960 --> 00:12:10.520]   So the way it works is that you create the client.
[00:12:10.520 --> 00:12:13.160]   And then you call messages.create.
[00:12:13.160 --> 00:12:16.080]   And then you pass in some messages.
[00:12:16.080 --> 00:12:19.440]   So I'm going to pass in a message, I'm Jeremy.
[00:12:19.440 --> 00:12:25.160]   Each message has a role of either user or assistant.
[00:12:25.160 --> 00:12:26.800]   And in fact, they always--
[00:12:26.800 --> 00:12:28.360]   this is, like, if you think about it,
[00:12:28.360 --> 00:12:30.600]   it's actually unnecessary, because they always
[00:12:30.600 --> 00:12:35.960]   have to go user assistant, user assistant, user assistant.
[00:12:35.960 --> 00:12:39.160]   So if you pass in the wrong one, you get an error.
[00:12:39.160 --> 00:12:42.160]   So strictly speaking, they're kind of redundant.
[00:12:42.160 --> 00:12:44.520]   So in this case, and they're just dictionaries, right?
[00:12:44.520 --> 00:12:47.080]   So I'm going to pass in a list of messages.
[00:12:47.080 --> 00:12:48.080]   It contains one message.
[00:12:48.080 --> 00:12:49.200]   It's a user message.
[00:12:49.200 --> 00:12:52.120]   So this is something I've said, whereas the assistant is
[00:12:52.120 --> 00:12:53.480]   something the model said.
[00:12:53.480 --> 00:12:55.040]   And it says, I'm Jeremy.
[00:12:55.040 --> 00:12:57.400]   And then you tell it what model to use.
[00:12:57.400 --> 00:12:59.160]   And then you can pass in various other things.
[00:12:59.160 --> 00:13:05.560]   As you can see, there's a number of other things
[00:13:05.560 --> 00:13:08.720]   that you can pass in, like a system prompt, stop sequences,
[00:13:08.720 --> 00:13:10.440]   and so forth.
[00:13:10.440 --> 00:13:12.000]   And you can see here, they actually
[00:13:12.000 --> 00:13:17.280]   check for what kind of model you want.
[00:13:17.280 --> 00:13:22.280]   So if I go ahead and run that, I get back a message.
[00:13:22.280 --> 00:13:25.400]   And so messages can be dictionaries,
[00:13:25.400 --> 00:13:28.880]   or they can also be certain types of object.
[00:13:28.880 --> 00:13:32.360]   And on the whole, it doesn't really matter which you choose.
[00:13:32.360 --> 00:13:35.920]   When you build them, it's easier just to make them dictionaries.
[00:13:35.920 --> 00:13:37.160]   So a message has an ID.
[00:13:37.160 --> 00:13:38.960]   I haven't used that for anything, really.
[00:13:38.960 --> 00:13:40.960]   And it tells you what model you used.
[00:13:40.960 --> 00:13:42.880]   Now this one's got a role of assistant.
[00:13:42.880 --> 00:13:47.680]   And it's a message.
[00:13:47.680 --> 00:13:51.920]   And it tells you how many tokens we used.
[00:13:51.920 --> 00:13:57.440]   If you're not sure what tokens are and basics like that,
[00:13:57.440 --> 00:14:01.080]   then check out this Hacker's Guide to Language Models,
[00:14:01.080 --> 00:14:02.960]   where I explain all those kinds of basics.
[00:14:05.920 --> 00:14:09.000]   But the main thing is the content.
[00:14:09.000 --> 00:14:10.520]   And the content is text.
[00:14:10.520 --> 00:14:12.800]   It could also reply with images, for instance.
[00:14:12.800 --> 00:14:14.160]   So this is text.
[00:14:14.160 --> 00:14:19.480]   And the text is, that's what it has to say for me.
[00:14:19.480 --> 00:14:22.600]   So that's basically how it works.
[00:14:22.600 --> 00:14:25.400]   It's a nice, simple API design.
[00:14:25.400 --> 00:14:26.920]   I really like it.
[00:14:26.920 --> 00:14:31.200]   The OpenAI one is more complicated to work with,
[00:14:31.200 --> 00:14:33.880]   because they didn't decide on this basic idea of like, oh,
[00:14:33.880 --> 00:14:36.560]   user assistant, user assistant.
[00:14:36.560 --> 00:14:39.080]   OK, so one thing I really like--
[00:14:39.080 --> 00:14:39.960]   Can I ask a question?
[00:14:39.960 --> 00:14:41.760]   Yeah, hit me.
[00:14:41.760 --> 00:14:45.120]   So one thing I know, and I'm sure lots of other people
[00:14:45.120 --> 00:14:47.640]   do as well, is that often when you interact with an assistant,
[00:14:47.640 --> 00:14:50.920]   you provide a system message or guidance
[00:14:50.920 --> 00:14:54.680]   about how the assistant should see their role.
[00:14:54.680 --> 00:14:55.360]   Here, you didn't.
[00:14:55.360 --> 00:14:58.760]   You just started right off with a role from yourself as a user.
[00:14:58.760 --> 00:15:02.080]   Is that because the API or this library
[00:15:02.080 --> 00:15:05.480]   already starts with the default guidance to the assistants?
[00:15:05.480 --> 00:15:07.600]   There's a system prompt here.
[00:15:07.600 --> 00:15:10.680]   And the default is not given.
[00:15:10.680 --> 00:15:14.800]   So yeah, language models are perfectly
[00:15:14.800 --> 00:15:17.520]   happy to talk to you without a system prompt.
[00:15:17.520 --> 00:15:22.200]   Just means they have no extra information.
[00:15:22.200 --> 00:15:25.320]   But they went through instruction fine-tuning
[00:15:25.320 --> 00:15:28.080]   and RLHF, some of those examples would
[00:15:28.080 --> 00:15:29.240]   have had no system prompt.
[00:15:29.320 --> 00:15:33.080]   So they know how to have some kind of default personality,
[00:15:33.080 --> 00:15:34.800]   if you like.
[00:15:34.800 --> 00:15:35.440]   Yeah.
[00:15:35.440 --> 00:15:38.160]   Cool, thanks.
[00:15:38.160 --> 00:15:42.880]   OK, so I always think, like, my notebook
[00:15:42.880 --> 00:15:44.000]   is both where I'm working.
[00:15:44.000 --> 00:15:45.840]   So I want it to be clear and simple to use.
[00:15:45.840 --> 00:15:47.800]   And I also know it's going to end up rendered
[00:15:47.800 --> 00:15:51.920]   as our documentation and as our kind of rendered source.
[00:15:51.920 --> 00:15:56.040]   So I don't really want things to look like this.
[00:15:56.040 --> 00:15:57.960]   So the first thing I did was to format the output.
[00:15:57.960 --> 00:16:02.520]   So here is part of the API.
[00:16:02.520 --> 00:16:03.960]   This is exported.
[00:16:03.960 --> 00:16:05.760]   So the first thing I wanted to do
[00:16:05.760 --> 00:16:11.400]   was just, like, find the content in here.
[00:16:11.400 --> 00:16:15.280]   And so there's a number-- this is an array,
[00:16:15.280 --> 00:16:16.960]   as you can see, of blocks.
[00:16:16.960 --> 00:16:19.880]   So the content is the text block.
[00:16:19.880 --> 00:16:22.880]   So this is just something that finds the first text block.
[00:16:23.880 --> 00:16:25.080]   I mean, it's tiny.
[00:16:25.080 --> 00:16:29.600]   And so that means that now at least I've
[00:16:29.600 --> 00:16:32.800]   kind of got down to the bit that has--
[00:16:32.800 --> 00:16:35.000]   the bit I normally care about, because I don't normally
[00:16:35.000 --> 00:16:36.200]   care about the ID.
[00:16:36.200 --> 00:16:37.600]   I already know what the model is.
[00:16:37.600 --> 00:16:41.640]   I know what the role's going to be, et cetera.
[00:16:41.640 --> 00:16:46.120]   And then so from the text block, I want to pull out the text.
[00:16:46.120 --> 00:16:48.680]   So this is just something that pulls out the text.
[00:16:48.760 --> 00:16:52.800]   And so now from now on, I can always just say contents
[00:16:52.800 --> 00:16:55.040]   and get what I care about.
[00:16:55.040 --> 00:16:57.200]   So something I really like, though, is like, OK,
[00:16:57.200 --> 00:16:58.920]   this is good, but sometimes I want
[00:16:58.920 --> 00:17:01.360]   to know the extra information, like the stop sequence
[00:17:01.360 --> 00:17:03.000]   or the usage.
[00:17:03.000 --> 00:17:08.800]   So in Jupyter, if you create this particular named method
[00:17:08.800 --> 00:17:14.000]   representation in Markdown for an object,
[00:17:14.000 --> 00:17:18.200]   then it displays that object using that Markdown.
[00:17:18.200 --> 00:17:20.560]   So in this case, I'm going to put
[00:17:20.560 --> 00:17:24.080]   the contents of the object followed
[00:17:24.080 --> 00:17:28.520]   by the details as a list.
[00:17:28.520 --> 00:17:31.280]   And so you can see what that looks like here.
[00:17:31.280 --> 00:17:35.880]   There's the contents, and there's the details.
[00:17:35.880 --> 00:17:38.160]   And if you're wondering, like, OK,
[00:17:38.160 --> 00:17:45.520]   how did Jeremy add this behavior to Anthropx class?
[00:17:45.520 --> 00:17:48.800]   Now, this is a nice little fast core thing called patch,
[00:17:48.800 --> 00:17:51.160]   where if you define a function, and you say patch,
[00:17:51.160 --> 00:17:53.400]   and you give it one or more types,
[00:17:53.400 --> 00:17:56.920]   it changes those existing types to give it this behavior.
[00:17:56.920 --> 00:18:02.920]   So this is now, if we look at tools beta message
[00:18:02.920 --> 00:18:05.600]   dot prep for Markdown, there we go.
[00:18:05.600 --> 00:18:07.720]   We just put it in there.
[00:18:07.720 --> 00:18:08.480]   So that's nice.
[00:18:08.480 --> 00:18:09.320]   And so the other--
[00:18:09.320 --> 00:18:10.560]   yeah.
[00:18:10.560 --> 00:18:13.200]   - I was going to say, there's like a trade-off
[00:18:13.200 --> 00:18:15.400]   in terms of time here, where if you only ever
[00:18:15.400 --> 00:18:18.760]   had to look at something once, you just manually type out
[00:18:18.760 --> 00:18:23.840]   response dot messages zero dot block whatever dot choices
[00:18:23.840 --> 00:18:24.720]   dot text, right?
[00:18:24.720 --> 00:18:26.080]   You type all that up.
[00:18:26.080 --> 00:18:27.520]   You have to do it a million times.
[00:18:27.520 --> 00:18:29.440]   It's very nice to have these conveniences.
[00:18:29.440 --> 00:18:30.000]   - Yeah.
[00:18:30.000 --> 00:18:31.440]   Also, for the docs, right?
[00:18:31.440 --> 00:18:35.440]   Like, every time I want to show what the response is,
[00:18:35.440 --> 00:18:37.560]   this is now free.
[00:18:37.560 --> 00:18:39.800]   I think that's nice.
[00:18:39.800 --> 00:18:41.720]   Yeah.
[00:18:41.720 --> 00:18:43.080]   So I don't-- yeah.
[00:18:43.080 --> 00:18:47.120]   So I actually-- what I'm describing here
[00:18:47.120 --> 00:18:50.040]   is not the exact order it happened in in my head.
[00:18:50.040 --> 00:18:52.800]   Because, yeah, it wasn't until I did this a couple of times
[00:18:52.800 --> 00:18:55.800]   and was trying to find the contents and blah, blah, blah,
[00:18:55.800 --> 00:18:57.480]   that I was like, oh, this is annoying me.
[00:18:57.480 --> 00:18:59.080]   And I went back, and I added it.
[00:18:59.080 --> 00:19:01.920]   This is probably like 15 minutes later, I went back.
[00:19:01.920 --> 00:19:05.800]   And it's like, yeah, I wish that existed.
[00:19:05.800 --> 00:19:07.240]   I did know that usage tracking was
[00:19:07.240 --> 00:19:09.880]   going to be important, like how much money you're spending
[00:19:09.880 --> 00:19:12.360]   depends on input and output tokens.
[00:19:12.360 --> 00:19:16.360]   So I decided to make it easy to keep track of that.
[00:19:16.360 --> 00:19:19.720]   So I created a little constructor for usage.
[00:19:19.720 --> 00:19:24.240]   I just added a property to the usage class
[00:19:24.240 --> 00:19:26.400]   that adds those together.
[00:19:26.400 --> 00:19:28.360]   And then I added a representation.
[00:19:28.360 --> 00:19:30.600]   This one is used for strings as well.
[00:19:30.600 --> 00:19:33.040]   This is part of Python itself.
[00:19:33.040 --> 00:19:34.280]   If you add this in--
[00:19:34.280 --> 00:19:36.760]   so now if I say usage, I can see all that information.
[00:19:36.760 --> 00:19:37.960]   So that was nice.
[00:19:37.960 --> 00:19:40.000]   And then since we want to be able to track usage,
[00:19:40.000 --> 00:19:42.720]   we have to be able to add usage things together.
[00:19:42.720 --> 00:19:47.720]   So if you override done to add in Python, it lets you use plus.
[00:19:47.720 --> 00:19:52.720]   So that's something else I decided to do.
[00:19:52.720 --> 00:19:54.200]   And so at this point, yeah, I felt
[00:19:54.200 --> 00:19:58.000]   like all these basic things I'm working with all the time,
