
[00:00:00.000 --> 00:00:07.840]   what makes teeth white and will supporting the oral microbiome make our teeth whiter yeah and
[00:04:54.800 --> 00:05:01.760]   look uh very opaque uh what is that is that a blood flow issue is it um what's going on there yeah it can
[00:05:01.760 --> 00:05:09.340]   be a zero stoma dry mouth so we definitely lose salivary capabilities as we age very likely more
[00:05:09.340 --> 00:05:14.580]   mouth breathing so mouth breathers will tend to have darker teeth because the teeth desiccate they dry
[00:05:14.580 --> 00:05:22.680]   out and over time you will experience mineral loss um decades and decades of coffee tea wine will do it
[00:05:22.680 --> 00:05:28.060]   too well i don't drink the wine but i'm definitely coffee tea since i was a little kid i've been drinking
[00:05:28.060 --> 00:05:34.240]   bata since i was like five it's good yeah it's delicious yeah gotta live life yeah but um yeah
[00:05:34.240 --> 00:05:39.080]   and so they're and they they're losing minerals too you know over time your teeth take a beating i mean
[00:05:39.080 --> 00:05:45.060]   they're we're living to be a hundred now that's a long time to maintain this non-shedding surface in
[00:05:45.060 --> 00:05:51.560]   our body you know so um and then it depends on the generation too but some some generations especially
[00:05:51.560 --> 00:05:57.580]   as you mentioned 70s 80s i'd wonder about tetracycline exposures when there's certain
[00:05:57.580 --> 00:06:02.140]   antibiotics that we don't use anymore that can um were known to darken the teeth which is why they
[00:06:02.140 --> 00:06:04.700]   pulled them from common prescription
[00:06:04.700 --> 00:06:08.900]   which is why they're living to darken the teeth which is why they're living to darken the teeth which is why they're
[00:06:08.900 --> 00:06:11.000]   living to darken the teeth which is why they're living to darken the teeth which is why they're living to darken the teeth
[00:06:11.000 --> 00:06:13.200]   which is why they're living to darken the teeth which is why they're living to darken the teeth which is why they're living to darken the teeth

