
[00:00:00.000 --> 00:00:02.000]   Alright welcome back
[00:09:05.620 --> 00:09:08.100]   Alright if I set it equal to 2
[00:09:09.220 --> 00:09:11.220]   Then what would be my new?
[00:09:11.220 --> 00:09:13.980]   Depth how deep would it be?
[00:09:13.980 --> 00:09:27.100]   Yes log base 220,000 minus 1 okay, so each time we double them in samples leaf we're removing one layer from the tree
[00:09:27.100 --> 00:09:29.540]   and
[00:09:29.540 --> 00:09:34.700]   Fine I'll come back to you again since you're doing so well. How many leaf nodes would there be in that case?
[00:09:34.700 --> 00:09:42.280]   What how many leaf nodes would there be in that case?
[00:09:42.280 --> 00:09:52.780]   10,000 okay, so we're going to be again dividing the number of leaf nodes by that number so
[00:09:52.780 --> 00:10:00.420]   The result of increasing min samples leaf is that now each of our leaf nodes has more than one thing in so we're going to get
[00:10:00.420 --> 00:10:05.520]   A more stable average that we're calculating in each tree, okay
[00:10:05.520 --> 00:10:11.140]   We've got a little bit less depth
[00:10:11.140 --> 00:10:15.140]   Okay, we've got less decisions to make and we've got a smaller number of leaf nodes so again
[00:10:15.140 --> 00:10:20.460]   We would expect the result of that would be that each estimator would be less predictive
[00:10:20.460 --> 00:10:28.420]   But the estimators would be also less correlated so again this might help us to avoid overfitting
[00:10:28.700 --> 00:10:31.420]   Could you pass the microphone over here please?
[00:10:31.420 --> 00:10:35.860]   Hi Jeremy, I'm not sure if
[00:10:35.860 --> 00:10:42.940]   In that case every node will have exactly - no it won't necessarily have exactly - and I thank you for mentioning that
[00:10:42.940 --> 00:10:50.300]   So it might try to do a split and so one reason well what would be an example 10 she that you?
[00:10:50.300 --> 00:10:55.600]   Wouldn't split even if you had a hundred nodes what might be a reason for that
[00:10:55.660 --> 00:11:01.500]   Sorry a hundred items in a leaf node. They're all the same. They're all the same in terms of
[00:11:01.500 --> 00:11:05.640]   Well once the independent saw the dependent
[00:11:05.640 --> 00:11:13.380]   And it has the dependent right I mean I guess either but much more likely would be the dependent so if you get to a leaf
[00:11:13.380 --> 00:11:15.380]   node where
[00:11:15.380 --> 00:11:20.900]   Every single one of them has the same option price or in classification like every single one of them is a dog
[00:11:20.900 --> 00:11:24.580]   Then there is no split that you can do that's going to improve your information
[00:11:25.020 --> 00:11:31.940]   All right, and remember information is the term. We use in a kind of a general sense in random for us to describe
[00:11:31.940 --> 00:11:35.180]   the amount of
[00:11:35.180 --> 00:11:40.580]   Difference about about additional information we create from a split is like how much are we improving the model?
[00:11:40.580 --> 00:11:43.140]   So you'll often see this in this word information gain
[00:11:43.140 --> 00:11:47.840]   Which means like how much better did the model get by adding an additional split point?
[00:11:47.840 --> 00:11:54.020]   And it could be based on RMSE or it could be based on cross entropy or it could be based on how different to the standard
[00:11:54.020 --> 00:11:56.740]   Deviations or whatever so that's just a general term
[00:11:56.740 --> 00:12:00.060]   Okay, so that's the second thing that we can do which again
[00:12:00.060 --> 00:12:04.700]   It's going to speed up our training because it's like one less set of decisions to make
[00:12:04.700 --> 00:12:12.880]   Remember even though there's one less set of decisions those decisions like have as much data again as the previous set
[00:12:12.880 --> 00:12:16.340]   So like each layer of the tree can take like twice as long as the previous layer
[00:12:16.340 --> 00:12:21.000]   So it could definitely speed up training and it could definitely make it generalize better
[00:12:23.260 --> 00:12:25.900]   So then the third one that we had was
[00:12:25.900 --> 00:12:28.460]   max features
[00:12:28.460 --> 00:12:31.200]   Who wants to tell me what max features?
[00:12:31.200 --> 00:12:33.860]   does
[00:12:33.860 --> 00:12:36.140]   I don't know pass that back over there
[00:12:36.140 --> 00:12:40.180]   Okay, Vinay
[00:12:40.180 --> 00:12:46.260]   Features the dimensions how many features you're going to use in each tree in this case
[00:12:46.260 --> 00:12:51.220]   It's a fraction up. So you're going to use half of the features for each tree
[00:12:52.860 --> 00:12:59.180]   Nearly right or kind of right? Can you be more specific or can somebody else be more specific? It's not exactly for each tree
[00:12:59.180 --> 00:13:01.820]   essentially
[00:13:01.820 --> 00:13:07.380]   That is it for each tree randomly sample half of the
[00:13:07.380 --> 00:13:15.860]   So not quite. It's not for each tree. So the the set don't pass it to Karen. So the set RF samples picks a
[00:13:15.860 --> 00:13:22.660]   Picks a subset of samples subset of rows for each tree
[00:13:23.660 --> 00:13:29.060]   But min samples leaf. Sorry that max features doesn't quite do that. It's not something different
[00:13:29.060 --> 00:13:39.820]   Yeah, right
[00:13:39.820 --> 00:13:44.620]   So it kind of sounds like a small difference, but it's actually quite a different way of thinking about it
[00:13:44.620 --> 00:13:47.140]   Which is we do our set RF samples
[00:13:47.140 --> 00:13:51.620]   So we pull out our sub sample or a bootstrap sample and that's kept for the whole tree
[00:13:52.300 --> 00:13:56.300]   And we have all of the columns in there, right and then with
[00:13:56.300 --> 00:14:04.420]   Max features equals 0.5 at each point we then at each split we pick a different half of
[00:14:04.420 --> 00:14:10.020]   The features and then here we'll take a pick a different half of the features and here we'll pick a different half of the features
[00:14:10.020 --> 00:14:16.780]   And so the reason we do that is because we want the trees to be as as rich as possible
[00:14:16.780 --> 00:14:22.020]   Right, so particularly like if you if you were only doing a small number of trees like you had only ten trees
[00:14:22.340 --> 00:14:27.020]   And you pick the same column set all the way through the tree
[00:14:27.020 --> 00:14:34.100]   You're not really getting much variety and what kind of things are confined. Okay, so this this way at least in theory
[00:14:34.100 --> 00:14:39.860]   Seems to be something which is going to give us a better set of trees is picking a different
[00:14:39.860 --> 00:14:44.200]   Random subset of features at every decision point
[00:14:47.540 --> 00:14:55.260]   So the overall effective max features again, it's the same it's going to mean that the each individual tree is probably going to be
[00:14:55.260 --> 00:14:57.620]   less accurate
[00:14:57.620 --> 00:15:01.780]   But the trees are going to be more varied and in particular here
[00:15:01.780 --> 00:15:08.140]   This can be critical because like imagine that you've got one feature. That's just super predictive
[00:15:08.140 --> 00:15:14.420]   It's so predictive that like every random sub sample you look at always starts out by splitting on that same feature
[00:15:14.700 --> 00:15:20.720]   Then the trees are going to be very similar in the sense like they all have the same initial split, right, but
[00:15:20.720 --> 00:15:28.780]   There may be some other interesting initial splits because they create different interactions of variables. So by like half the time
[00:15:28.780 --> 00:15:32.240]   That feature won't even be available at the top of the tree
[00:15:32.240 --> 00:15:37.580]   So half at least half the trees are going to have a different initial split so it definitely can give us more
[00:15:37.580 --> 00:15:44.420]   Variation and therefore again it can help us to create more generalized trees that have less correlation with each other
[00:15:44.580 --> 00:15:47.660]   Even though the individual trees probably won't be as predictive
[00:15:47.660 --> 00:15:54.700]   In practice, we actually looked at have a little picture of this that as as you add more trees
[00:15:54.700 --> 00:15:59.900]   Right if you have max features equals none that's going to use all the features every time
[00:15:59.900 --> 00:16:04.700]   Right then with like very very few trees that can still give you a pretty good error
[00:16:04.700 --> 00:16:07.540]   but as you create more trees
[00:16:07.540 --> 00:16:13.920]   It's not going to help as much because they're all pretty similar because they're all trying every single variable
[00:16:14.720 --> 00:16:18.960]   Where else if you say max features equals square root or max pictures equals log 2
[00:16:18.960 --> 00:16:23.660]   Then as we add more estimators, we see improvements
[00:16:23.660 --> 00:16:29.920]   Okay, so there's an interesting interaction between those two and this is from the SK learn docs this cool little chart
[00:16:29.920 --> 00:16:32.640]   Okay
[00:16:32.640 --> 00:16:37.720]   So then things which don't impact our training at all and jobs
[00:16:37.720 --> 00:16:43.640]   Simply says how many CPU how many cores do we run on? Okay, so it'll make it faster
[00:16:43.640 --> 00:16:50.440]   Up to a point generally speaking making this more than like eight or so. They may have diminishing returns
[00:16:50.440 --> 00:16:53.080]   Minus one says use all of your cores
[00:16:53.080 --> 00:17:01.360]   So there's I don't know why the default is to only use one core. That's seems weird to me
[00:17:01.360 --> 00:17:07.060]   You'll definitely get more performance by using more cores because all of you have computers with more than one core nowadays
[00:17:07.060 --> 00:17:09.920]   And then our B score equals true
[00:17:11.600 --> 00:17:14.200]   Simply allows us to see the OOB
[00:17:14.200 --> 00:17:22.680]   Score if you don't say that it doesn't calculate it and particularly if you had set RF samples pretty small compared to a big data
[00:17:22.680 --> 00:17:25.360]   Set OOB is going to take forever to calculate
[00:17:25.360 --> 00:17:29.080]   Hopefully at some point we'll be able to fix the library so that doesn't happen
[00:17:29.080 --> 00:17:34.160]   There's no reason it need be that way but right now that's that's how the library works
[00:17:34.160 --> 00:17:37.320]   Okay
[00:17:37.320 --> 00:17:40.080]   So there are
[00:17:40.080 --> 00:17:44.480]   Base, you know key basic parameters that we can change there are
[00:17:44.480 --> 00:17:48.880]   More that you can see in the docs or shift tab to have a look at them
[00:17:48.880 --> 00:17:54.680]   But the ones you've seen are the ones that I've found useful to play with so feel free to play with others as well
[00:17:54.680 --> 00:18:01.240]   And generally speaking, you know max features of as I said max features of like either
[00:18:01.240 --> 00:18:05.640]   None
[00:18:05.640 --> 00:18:07.840]   Means all of them
[00:18:09.640 --> 00:18:11.640]   about 0.5
[00:18:11.640 --> 00:18:14.400]   or
[00:18:14.400 --> 00:18:17.920]   Square root
[00:18:17.920 --> 00:18:20.200]   Or log, you know kind of those
[00:18:20.200 --> 00:18:24.600]   Trees seem to work pretty well and then for min samples leaf
[00:18:24.600 --> 00:18:28.320]   You know, I would generally try kind of
[00:18:28.320 --> 00:18:31.640]   135 10
[00:18:31.640 --> 00:18:33.000]   25
[00:18:33.000 --> 00:18:37.280]   You know 100 and like as you start doing that if you notice by the time you get to 10
[00:18:37.280 --> 00:18:41.680]   It's already getting worse that there's no point going further if you get to a hundred it's still going better
[00:18:41.680 --> 00:18:44.600]   Then you can keep trying right? But they're the kind of
[00:18:44.600 --> 00:18:47.760]   General amounts that most things need to sit in
[00:18:47.760 --> 00:18:51.720]   All right
[00:18:51.720 --> 00:18:54.400]   so random for us interpretation
[00:18:54.400 --> 00:18:57.160]   is something which
[00:18:57.160 --> 00:19:01.760]   You could use to create some really cool Kaggle kernels now
[00:19:01.760 --> 00:19:07.040]   Obviously one issue is the fast AI library is not available in Kaggle kernels
[00:19:07.120 --> 00:19:12.640]   But if you look inside fast AI structured, right and remember you can just use
[00:19:12.640 --> 00:19:18.960]   Double question mark to look at the source code for something or you can go into the editor to have a look at it
[00:19:18.960 --> 00:19:25.880]   You'll see that most of the methods we're using are a small number of lines of code in this library and have no
[00:19:25.880 --> 00:19:28.640]   Dependencies on anything so you could just copy that
[00:19:28.640 --> 00:19:33.360]   Little if you need to use one of those functions just copy it into your kernel
[00:19:33.920 --> 00:19:37.280]   And and if you do just say this is from the fast AI library
[00:19:37.280 --> 00:19:42.200]   You can link to it on github because it's available on github as open source, but you don't need to
[00:19:42.200 --> 00:19:44.200]   Import the whole thing right?
[00:19:44.200 --> 00:19:49.940]   So this is a cool trick is that because you're the first people to learn how to use these tools you can start to show
[00:19:49.940 --> 00:19:57.480]   Things that other people haven't seen right? So for example this confidence based on tree variance is something which doesn't exist anywhere else
[00:19:58.640 --> 00:20:04.240]   feature importance definitely does and that's already in quite a lot of Kaggle kernels if you're looking at a
[00:20:04.240 --> 00:20:07.160]   Competition or a data set that where nobody's done feature importance
[00:20:07.160 --> 00:20:13.480]   Being the first person to do that is always going to win lots of votes because it's like the most important thing is like
[00:20:13.480 --> 00:20:15.480]   Which features are important?
[00:20:15.480 --> 00:20:24.040]   So last time we let's just make sure we've got our tree data
[00:20:27.160 --> 00:20:32.880]   So we need to change this to add one extra thing all right, so that's going to load in that data
[00:20:32.880 --> 00:20:38.720]   It is our data, okay?
[00:20:38.720 --> 00:20:46.280]   So as I mentioned when we do a model interpretation
[00:20:46.280 --> 00:20:53.520]   I tend to set RF samples to some subset something small enough that I can run a model in under 10 seconds or so
[00:20:53.960 --> 00:20:59.560]   Because there's just no point run running a super accurate model 50,000 is more than enough
[00:20:59.560 --> 00:21:04.600]   To see you'll basically see each time you run an interpretation
[00:21:04.600 --> 00:21:10.440]   You'll get the same results back and so as long as that's true, then you you're already using enough data, okay?
[00:21:10.440 --> 00:21:22.920]   So feature importance we learnt it works by randomly shuffling a column
[00:21:23.920 --> 00:21:30.160]   Each column one at a time and then seeing how accurate the model the pre-trained model the model we've already built is
[00:21:30.160 --> 00:21:35.800]   When you pass it in all the data as before but with one column shuffled
[00:21:35.800 --> 00:21:38.400]   so
[00:21:38.400 --> 00:21:43.200]   Some of the questions I got after class kind of
[00:21:43.200 --> 00:21:47.320]   reminded me that it's very easy to
[00:21:47.320 --> 00:21:50.600]   under appreciate how
[00:21:51.160 --> 00:21:54.240]   powerful and kind of magic this approach is
[00:21:54.240 --> 00:22:01.840]   And so to explain I'll mention a couple of the questions that I heard so one question was like
[00:22:01.840 --> 00:22:09.520]   Why don't we or what if we just create took one column at a time and created a tree on?
[00:22:09.520 --> 00:22:14.840]   Just each one column at a time, so we've got our data set. It's got a bunch of columns
[00:22:14.840 --> 00:22:19.880]   So why don't we just like grab that column and just build a tree from that right?
[00:22:19.880 --> 00:22:24.800]   And then like we'll see which which columns tree is the most predictive?
[00:22:24.800 --> 00:22:27.520]   Can anybody tell me?
[00:22:27.520 --> 00:22:32.960]   Why what why that may give misleading results about feature importance?
[00:22:32.960 --> 00:22:36.400]   Okay
[00:22:36.400 --> 00:22:39.960]   Okay
[00:22:45.000 --> 00:22:52.760]   We just shuffle them it will be at randomness and we were able to both capture the interactions and the importance of the picture
[00:22:52.760 --> 00:22:54.840]   It's great. Yeah, and and so
[00:22:54.840 --> 00:22:59.720]   This issue of interactions is not a minor detail. It's like
[00:22:59.720 --> 00:23:03.800]   It's massively important. So like think about this
[00:23:03.800 --> 00:23:09.880]   bulldozers data set where for example where there's one field called year made and
[00:23:09.880 --> 00:23:13.180]   There's one field called sale date
[00:23:14.020 --> 00:23:16.020]   and like
[00:23:16.020 --> 00:23:18.060]   If we think about it
[00:23:18.060 --> 00:23:23.460]   It's pretty obvious that what matters is the combination of these two which in other words is like
[00:23:23.460 --> 00:23:29.380]   How old is the piece of equipment when it got sold so if we only included one of these?
[00:23:29.380 --> 00:23:34.540]   We're going to massively underestimate how important that feature is now
[00:23:34.540 --> 00:23:38.700]   Here's a really important point though if you
[00:23:40.460 --> 00:23:46.300]   It's pretty much always possible to create a simple like logistic regression
[00:23:46.300 --> 00:23:51.980]   Which is as good as pretty much any random forest if you know ahead of time
[00:23:51.980 --> 00:23:58.380]   Exactly what variables you need exactly how they interact exactly how they need to be transformed and so forth, right?
[00:23:58.380 --> 00:24:03.860]   So in this case, for example, we could have created a new field which was equal to year made
[00:24:04.300 --> 00:24:11.460]   So sale date or sale year minus year made and we could have fed that to a model and got you know
[00:24:11.460 --> 00:24:14.660]   Got that interaction for us. But the point is
[00:24:14.660 --> 00:24:19.980]   We never know that like you never like you might have a guess of it
[00:24:19.980 --> 00:24:24.540]   I think some of these things are interacted in this way and I think this thing we need to take the log and so forth
[00:24:24.540 --> 00:24:30.660]   But you know, the truth is that the way the world works the causal structures, you know
[00:24:30.660 --> 00:24:33.900]   They've got many many things interacting in many many subtle ways
[00:24:34.260 --> 00:24:41.740]   Right. And so that's why using trees whether it be gradient boosting machines or random forests works so well
[00:24:41.740 --> 00:24:44.780]   So can you pass that to Terrence, please?
[00:24:44.780 --> 00:24:50.100]   One thing that
[00:24:50.100 --> 00:24:54.020]   Did me years ago was also I tried that
[00:24:54.020 --> 00:25:00.660]   Doing one variable at a time thinking. Oh, well, I'll figure out which one's most correlated with the dependent variable
[00:25:00.660 --> 00:25:03.060]   but what it doesn't
[00:25:03.180 --> 00:25:10.340]   Pull apart is that what if all variables are basically copied the same variable then they're all going to seem equally important
[00:25:10.340 --> 00:25:12.620]   But in fact, it's really just one factor
[00:25:12.620 --> 00:25:18.660]   Yeah, and that's also true here. So if we had like a column
[00:25:18.660 --> 00:25:21.220]   appeared twice
[00:25:21.220 --> 00:25:29.100]   Right then shuffling that column isn't going to make the model much worse, right? There'll be if you think about like how it was built
[00:25:29.860 --> 00:25:33.780]   Some of the times particularly if we had like max features is 0.5
[00:25:33.780 --> 00:25:37.900]   And some of the times we're going to get version a of the column some of the times you get going to get version
[00:25:37.900 --> 00:25:39.740]   B of the column, so like
[00:25:39.740 --> 00:25:41.740]   half the time
[00:25:41.740 --> 00:25:45.980]   Shuffling version a of the column is going to make a tree a bit worse half the time
[00:25:45.980 --> 00:25:49.060]   It's going to make you know column B or make it a bit worse. And so it'll show
[00:25:49.060 --> 00:25:51.980]   that both of those features are
[00:25:51.980 --> 00:25:54.980]   somewhat important
[00:25:54.980 --> 00:25:59.740]   And it'll kind of like share the importance between the two features. And so this is why
[00:25:59.740 --> 00:26:08.580]   A-rack collinearity but collinearity literally means that they're linearly related. So this isn't quite right
[00:26:08.580 --> 00:26:16.620]   But this is why having two variables that are related closely related to each other or more variable sort of closely related to each other
[00:26:16.620 --> 00:26:18.780]   Means that you will often
[00:26:18.780 --> 00:26:24.260]   Underestimate their importance using this this random forest technique
[00:26:25.260 --> 00:26:31.540]   Yes, Terrence and so once we've shuffled and we get a a new model
[00:26:31.540 --> 00:26:36.700]   What exactly are the units of these importances? Is this a change in the R squared?
[00:26:36.700 --> 00:26:41.580]   Yeah, I mean it depends on the library. We're using so the units are kind of like I
[00:26:41.580 --> 00:26:48.620]   Never think about them. I just kind of know that like in this particular library
[00:26:49.460 --> 00:26:56.740]   You know 0.005 is often kind of a cutoff. I would tend to use but all I actually care about is is this picture
[00:26:56.740 --> 00:26:58.980]   right, which is the
[00:26:58.980 --> 00:27:01.140]   feature importance
[00:27:01.140 --> 00:27:07.860]   Ordered for each variable and then kind of zooming into turning into a bar plot and I'm kind of like, okay, you know
[00:27:07.860 --> 00:27:12.440]   Here they're all pretty flat and I can see okay
[00:27:12.440 --> 00:27:19.020]   That's about 0.005 and so I remove them at that point and just see like the model
[00:27:19.020 --> 00:27:22.460]   Hopefully the validation score didn't get worse and if it did get worse
[00:27:22.460 --> 00:27:27.380]   I'll just increase this a little bit. Sorry decrease this a little bit until it it doesn't get worse
[00:27:27.380 --> 00:27:30.700]   so yeah, I the the
[00:27:30.700 --> 00:27:37.220]   The units of measure of this don't matter too much and we'll learn later about a second way of doing variable importance
[00:27:37.220 --> 00:27:39.220]   By the way, can you pass that over there?
[00:27:39.220 --> 00:27:47.140]   Is one of the goals here to remove variables that
[00:27:47.140 --> 00:27:48.900]   I
[00:27:48.900 --> 00:27:52.100]   guess your your score will not
[00:27:52.100 --> 00:27:58.860]   Get worse if you remove them. So you might as well get rid of them. Yeah, so that's what we're going to do next. So
[00:27:58.860 --> 00:28:07.980]   So what having looked at our feature importance plot we said, okay, it looks like the ones like less than 0.005
[00:28:07.980 --> 00:28:11.480]   You know a kind of this long tail of
[00:28:12.100 --> 00:28:19.840]   Boringness, so I said let's try removing them, right? So let's just try grabbing the columns where it's greater than 0.005
[00:28:19.840 --> 00:28:26.780]   And I said let's create a new data frame called DF keep which is DF train with just those kept columns
[00:28:26.780 --> 00:28:34.500]   created a new training and validation set with just those columns better than you random forest and I looked to see how the
[00:28:34.500 --> 00:28:41.980]   Validation set score and the validation set RMSE changed and I found they got a tiny bit better
[00:28:42.860 --> 00:28:48.700]   so if they're about the same or a tiny bit better then the thinking my thinking is well, this is
[00:28:48.700 --> 00:28:55.700]   Just as good a model, but it's now simpler. And so now when I redo the feature importance, there's less
[00:28:55.700 --> 00:28:57.460]   collinearity
[00:28:57.460 --> 00:29:02.080]   Right. And so in this case I saw that year made went from being like
