
[00:00:00.040 --> 00:00:09.600]  niejsze
[00:09:48.580 --> 00:09:48.580]   and I said, number one, problem I face right now is figuring out,
[00:09:48.580 --> 00:09:48.580]   and I said, number one, problem I face right now is figuring out,
[00:09:48.580 --> 00:09:48.580]   and I said, number one, problem I face right now is figuring out,
[00:09:48.580 --> 00:09:48.580]   and I said, number one, problem I face right now is figuring out,
[00:09:48.580 --> 00:09:48.580]   and I said, number one, problem I face right now is figuring out,
[00:09:48.580 --> 00:09:48.580]   and I said, number one, problem I face right now is figuring out,
[00:09:48.580 --> 00:09:48.580]   and I said, number one, problem I face right now is figuring out,
[00:09:48.580 --> 00:09:48.580]   and I said, number one, problem I face right now is figuring out,
[00:09:48.580 --> 00:09:48.580]   and I said, number one, problem I face right now is figuring out,
[00:09:48.620 --> 00:10:18.600]   Transportation,
[00:10:18.600 --> 00:10:18.600]   and I said, number one, problem I face right now is figuring out,
[00:10:18.600 --> 00:10:18.600]   and I said, number one, problem I face right now is figuring out,
[00:10:18.600 --> 00:10:18.600]   and I said, number one, problem I face right now is figuring out,
[00:10:18.600 --> 00:10:18.600]   and I said, number one, problem I face right now is figuring out,
[00:10:18.600 --> 00:10:18.600]   and I said, number one, problem I face right now is figuring out,
[00:10:18.600 --> 00:10:18.600]   and I said, number one, problem I face right now is figuring out,
[00:10:18.600 --> 00:10:18.600]   and I said, number one, problem I face right now is figuring out,
[00:10:18.600 --> 00:10:18.600]   and I said, number one, problem I face right now is figuring out,
[00:10:18.600 --> 00:10:18.600]   and I said, number one, problem I face right now is figuring out,
[00:10:18.600 --> 00:10:18.600]   and I said, number one, problem I face right now is figuring out,
[00:10:18.600 --> 00:10:18.600]   and I said, number one, problem I face right now is figuring out,
[00:10:18.620 --> 00:10:48.620]   and I said, number one, problem I face right now is figuring out,
[00:10:48.620 --> 00:10:48.620]   and I said, number one, problem I face right now is figuring out,
[00:10:48.620 --> 00:10:48.620]   and I said, number one, problem I face right now is figuring out,
[00:10:48.620 --> 00:10:48.620]   and I said, number one, problem I face right now is figuring out,
[00:10:48.620 --> 00:10:48.620]   and I said, number one, problem I face right now is figuring out,
[00:10:48.620 --> 00:10:48.620]   and I said, number one, problem I face right now is figuring out,
[00:10:48.620 --> 00:10:48.620]   and I said, number one, problem I face right now is figuring out,
[00:10:48.620 --> 00:10:48.620]   and I said, number one, problem I face right now is figuring out,
[00:10:48.620 --> 00:10:48.620]   and I said, number one, problem I face right now is figuring out,
[00:10:48.620 --> 00:10:48.620]   and I said, number one, problem I face right now is figuring out,
[00:10:48.620 --> 00:10:48.620]   and I said, number one, problem I face right now is figuring out,
[00:10:48.640 --> 00:11:18.640]   and I said, number one, problem I face right now is figuring out,
[00:11:18.640 --> 00:11:18.640]   and I said, number one, problem I face right now is figuring out,
[00:11:18.640 --> 00:11:18.640]   and I said, number one, problem I face right now is figuring out,
[00:11:18.640 --> 00:11:18.640]   and I said, number one, problem I face right now is figuring out,
[00:11:18.640 --> 00:11:18.640]   and I said, number one, problem I face right now is figuring out,
[00:11:18.640 --> 00:11:18.640]   and I said, number one, problem I face right now is figuring out,
[00:11:18.640 --> 00:11:18.640]   and I said, number one, problem I face right now is figuring out,
[00:11:18.640 --> 00:11:18.640]   and I said, number one, problem I face right now is figuring out,
[00:11:18.640 --> 00:11:18.640]   and I said, number one, problem I face right now is figuring out,
[00:11:18.640 --> 00:11:18.640]   and I said, number one, problem I face right now is figuring out,
[00:11:18.640 --> 00:11:18.640]   and I said, number one, problem I face right now is figuring out,
[00:11:18.640 --> 00:11:18.640]   and I said, number one, problem I face right now is figuring out,
[00:11:18.640 --> 00:11:48.660]  ,
[00:11:48.660 --> 00:11:48.660]   and I said, number one, problem I face right now is figuring out,
[00:11:48.660 --> 00:11:48.660]   and I said, number one, problem I face right now is figuring out,
[00:11:48.660 --> 00:11:48.660]   and I said, number one, problem I face right now is figuring out,
[00:11:48.660 --> 00:11:48.660]   and I said, number one, problem I face right now is figuring out,
[00:11:48.660 --> 00:11:48.660]   and I said, number one, problem I face right now is figuring out,
[00:11:48.660 --> 00:11:48.660]   and I said, number one, problem I face right now is figuring out,
[00:11:48.660 --> 00:11:48.660]   and I said, number one, problem I face right now is figuring out,
[00:11:48.680 --> 00:12:18.680]   I said, number one, problem I face right now is figuring out,
[00:12:18.680 --> 00:12:18.680]   and I said, number one, problem I face right now is figuring out,
[00:12:18.680 --> 00:12:18.680]   and I said, number one, problem I face right now is figuring out,
[00:12:18.680 --> 00:12:18.680]   and I said, number one, problem I face right now is figuring out,
[00:12:18.680 --> 00:12:18.680]   and I said, number one, problem I face right now is figuring out,
[00:12:18.680 --> 00:12:18.680]   and I said, number one, problem I face right now is figuring out,
[00:12:18.680 --> 00:12:18.680]   and I said, number one, problem I face right now is figuring out,
[00:12:18.680 --> 00:12:18.680]   and I said, number one, problem I face right now is figuring out,
[00:12:18.680 --> 00:12:18.680]   and I said, number one, problem I face right now is figuring out,
[00:12:18.680 --> 00:12:18.680]   and I said, number one, problem I face right now is figuring out,
[00:12:18.680 --> 00:12:18.680]   and I said, number one, problem I face right now is figuring out,
[00:12:18.680 --> 00:12:18.680]   and I said, number one, problem I face right now is figuring out,
[00:12:18.680 --> 00:12:48.700]  ,
[00:12:48.700 --> 00:12:48.700]   and I said, number one, problem I face right now is figuring out,
[00:12:48.700 --> 00:12:48.700]   and I said, number one, problem I face right now is figuring out,
[00:12:48.700 --> 00:12:48.700]   and I said, number one, problem I face right now is figuring out,
[00:12:48.700 --> 00:12:48.700]   and I said, number one, problem I face right now is figuring out,
[00:12:48.700 --> 00:12:48.700]   and I said, number one, problem I face right now is figuring out,
[00:12:48.700 --> 00:12:48.700]   and I said, number one, problem I face right now is figuring out,
[00:12:48.700 --> 00:12:48.700]   and I said, number one, problem I face right now is figuring out,
[00:12:48.700 --> 00:12:48.700]   and I said, number one, problem I face right now is figuring out,
[00:12:48.720 --> 00:13:18.720]   and I said, number one, problem I face right now is figuring out,
[00:13:18.720 --> 00:13:18.720]   and I said, number one, problem I face right now is figuring out,
[00:13:18.720 --> 00:13:18.720]   and I said, number one, problem I face right now is figuring out,
[00:13:18.720 --> 00:13:18.720]   and I said, number one, problem I face right now is figuring out,
[00:13:18.720 --> 00:13:18.720]   and I said, number one, problem I face right now is figuring out,
[00:13:18.720 --> 00:13:18.720]   and I said, number one, problem I face right now is figuring out,
[00:13:18.720 --> 00:13:18.720]   and I said, number one, problem I face right now is figuring out,
[00:13:18.720 --> 00:13:18.720]   and I said, number one, problem I face right now is figuring out,
[00:13:18.720 --> 00:13:18.720]   and I said, number one, problem I face right now is figuring out,
[00:13:18.720 --> 00:13:18.720]   and I said, number one, problem I face right now is figuring out,
[00:13:18.720 --> 00:13:18.720]   and I said, number one, problem I face right now is figuring out,
[00:13:18.720 --> 00:13:18.720]   and I said, number one, problem I face right now is figuring out,
[00:13:18.740 --> 00:13:46.840]   and I said, number one, problem I face right now is figuring out,
[00:13:46.840 --> 00:13:46.880]   and I said, number one, problem I face right now is figuring out,
[00:13:46.880 --> 00:13:46.900]   and I said, number one, problem I face right now is figuring out,
[00:13:46.900 --> 00:13:46.920]   and I said, number one, problem I face right now is figuring out,
[00:13:46.920 --> 00:13:46.940]   and I said, number one, problem I face right now is figuring out,
[00:13:46.940 --> 00:13:46.960]   and I said, number one, problem I face right now is figuring out,
[00:13:46.960 --> 00:13:46.980]   and I said, number one, problem I face right now is figuring out,
[00:13:46.980 --> 00:13:47.020]   and I said, number two, problem I face right now is figuring out,
[00:13:47.020 --> 00:13:47.060]   and I said, number three, problem I face right now is figuring out,
[00:13:47.060 --> 00:13:47.100]   and I said, number four, problem I face right now is figuring out,
[00:13:47.100 --> 00:13:47.140]   and I said, number five, problem I face right now is figuring out,
[00:13:47.140 --> 00:13:47.160]   and I said, number one, problem I face right now is figuring out,
[00:13:47.180 --> 00:14:17.180]   and I said, number six, problem I face right now is figuring out,
[00:14:17.180 --> 00:14:17.180]   and I said, number seven, problem I face right now is figuring out,
[00:14:17.180 --> 00:14:17.180]   and I said, number eight, problem I face right now is figuring out,
[00:14:17.180 --> 00:14:17.180]   and I said, number nine, problem I face right now is figuring out,
[00:14:17.180 --> 00:14:17.180]   and I said, number 10, problem I face right now is figuring out,
[00:14:17.180 --> 00:14:17.180]   and I said, number 11, problem I face right now is figuring out,
[00:14:17.180 --> 00:14:17.180]   and I said, number 12, problem I face right now is figuring out,
[00:14:17.180 --> 00:14:17.180]   and I said, number 12, problem I face right now is figuring out,
[00:14:17.180 --> 00:14:17.180]   and I said, number 13, problem I face right now is figuring out,
[00:14:17.180 --> 00:14:17.180]   and I said, number 14, problem I face right now is figuring out,
[00:14:17.180 --> 00:14:17.180]   and I said, number 14, problem I face right now is figuring out,
[00:14:17.180 --> 00:14:47.200]   and I said, number 15, problem I face right now is figuring out,
[00:14:47.200 --> 00:14:47.200]   and I said, number 16, problem I face right now is figuring out,
[00:14:47.200 --> 00:14:47.200]   and I said, number 17, problem I face right now is figuring out,
[00:14:47.200 --> 00:14:47.200]   and I said, number 18, problem I face right now is figuring out,
[00:14:47.200 --> 00:14:47.200]   and I said, number 19, problem I face right now is figuring out,
[00:14:47.200 --> 00:14:47.200]   and I said, number 20, problem I face right now is figuring out,
[00:14:47.200 --> 00:14:47.200]   and I said, number 20, problem I face right now is figuring out,
[00:14:47.200 --> 00:14:47.200]   and I said, number 21, problem I face right now is figuring out,
[00:14:47.200 --> 00:14:47.200]   and I said, number 22, problem I face right now is figuring out,
[00:14:47.200 --> 00:14:47.200]   and I said, number 22, problem I face right now is figuring out, and I said, number 23, problem I face right now is figuring out, and I said,
[00:14:47.240 --> 00:14:57.080]  23
[00:14:57.080 --> 00:14:58.240]   Wha인. dip,,,,,
[00:14:58.240 --> 00:15:14.060]   Louis Daddy " allows the...I...and...C...in...C...C... closer the... and the... was that was the w her was the was the was the was the was the advertisements the cl Natur « heck theattend "G," satisfy 64 separated "N, "But"� Bow "M, stickers:, "S. I'm, ." "asp. N. "G" "G. "G., "G, " �, ", ", in., ", ", ", her, the, ", Adding the., Et, ', trail ", ., meu thoseignon不會� was after a ., contribute ',ι little, in the wax and v is just at in a feels augi quatre know theGI� investigation MDT, embarrassment en Healthcare東 사抓 @ев a otrasste at a very becom tasks pay but 그렇게這一 Rolling� of houseask even thing to artifact 놓oir I'mienia
[00:15:14.120 --> 00:15:23.940]   chronological age, I'm convinced that simply the responsibilities and the experience of leading a family has given me much more self-confidence.
[00:15:23.940 --> 00:15:31.540]   Again, I compare myself to my friends and peers who a few of them that I am very close to unmarried, no children.
[00:15:31.540 --> 00:15:40.840]   And of course, I have many friends who are married with children and I see market differences in the level of personal self-confidence from those of us who have children.
[00:15:40.840 --> 00:15:43.540]   I think back to have often thought.
[00:15:43.540 --> 00:15:44.100]   What if I went back?
[00:15:44.100 --> 00:15:44.100]   ., I think back to have often thought. What if I went back?
[00:15:44.100 --> 00:15:44.100]   ., I think back to have often thought. What if I went back?
[00:15:44.100 --> 00:15:44.100]   ., I think back to have often thought. What if I went back?
[00:15:44.100 --> 00:15:44.100]   ., I think back to have often thought. What if I went back?
[00:15:44.100 --> 00:15:44.100]   ., I think back to have often thought. What if I went back?
[00:15:44.100 --> 00:16:14.100]   ., I think back to have often thought. What if I went back?
[00:16:14.100 --> 00:16:14.100]   ., I think back to have often thought. What if I went back?
[00:16:14.100 --> 00:16:14.100]   ., I think back to have often thought. What if I went back?
[00:16:14.100 --> 00:16:14.100]   ., I think back to have often thought. What if I went back?
[00:16:14.100 --> 00:16:14.100]   ., I think back to have often thought. What if I went back?
[00:16:14.120 --> 00:16:44.100]   ., I think back to have often thought. What if I went back?
[00:16:44.100 --> 00:16:44.100]   ., I think back to have often thought. What if I went back?
[00:16:44.100 --> 00:16:44.100]   ., I think back to have often thought. What if I went back?
[00:16:44.100 --> 00:16:44.100]   ., I think back to have often thought. What if I went back?
[00:16:44.100 --> 00:16:44.100]   ., I think back to have often thought. What if I went back?
[00:16:44.100 --> 00:16:44.100]   ., I think back to have often thought. What if I went back?
[00:16:44.100 --> 00:16:44.100]   ., I think back to have often thought. What if I went back?
[00:16:44.100 --> 00:16:44.100]   ., I think back to have often thought. What if I went back?
[00:16:44.100 --> 00:16:44.100]   ., I think back to have often thought. What if I went back?
[00:16:44.100 --> 00:16:44.100]   ., I think back to have often thought. What if I went back?
[00:16:44.100 --> 00:16:44.100]   ., I think back to have often thought. What if I went back?
[00:16:44.100 --> 00:16:44.100]   ., I think back to have often thought. What if I went back?
[00:16:44.100 --> 00:17:14.100]  , I think back to have often thought. What if I went back?
[00:17:14.100 --> 00:17:14.100]   ., I think back to have often thought. What if I went back?
[00:17:14.100 --> 00:17:14.100]   ., I think back to have often thought. What if I went back?
[00:17:14.100 --> 00:17:14.100]   ., I think back to have often thought. What if I went back?
[00:17:14.100 --> 00:17:14.100]   ., I think back to have often thought. What if I went back?
[00:17:14.100 --> 00:17:14.100]   ., I think back to have often thought. What if I went back?
[00:17:14.100 --> 00:17:14.100]   ., I think back to have often thought. What if I went back?
[00:17:14.100 --> 00:17:14.100]   ., I think back to have often thought. What if I went back?
[00:17:14.100 --> 00:17:14.100]   ., I think back to have often thought. What if I went back?
[00:17:14.120 --> 00:17:44.100]   ., I think back to have often thought. What if I went back?
[00:17:44.100 --> 00:17:44.100]   ., I think back to have often thought. What if I went back?
[00:17:44.100 --> 00:17:44.100]   ., I think back to have often thought. What if I went back?
[00:17:44.100 --> 00:17:44.100]   ., I think back to have often thought. What if I went back?
[00:17:44.100 --> 00:17:44.100]   ., I think back to have often thought. What if I went back?
[00:17:44.100 --> 00:17:44.100]   ., I think back to have often thought. What if I went back?
[00:17:44.100 --> 00:17:44.100]   ., I think back to have often thought. What if I went back?
[00:17:44.100 --> 00:17:44.100]   ., I think back to have often thought. What if I went back?
[00:17:44.100 --> 00:17:44.100]   ., I think back to have often thought. What if I went back?
[00:17:44.100 --> 00:17:44.100]   ., I think back to have often thought. What if I went back?
[00:17:44.100 --> 00:17:44.100]   ., I think back to have often thought. What if I went back?
[00:17:44.100 --> 00:17:44.100]   ., I think back to have often thought. What if I went back?
[00:17:44.100 --> 00:18:14.100]  , I think back to have often thought. What if I went back?
[00:18:14.100 --> 00:18:14.100]   ., I think back to have often thought. What if I went back?
[00:18:14.100 --> 00:18:14.100]   ., I think back to have often thought. What if I went back?
[00:18:14.100 --> 00:18:14.100]   ., I think back to have often thought. What if I went back?
[00:18:14.100 --> 00:18:14.100]   ., I think back to have often thought. What if I went back?
[00:18:14.100 --> 00:18:14.100]   ., I think back to have often thought. What if I went back?
[00:18:14.100 --> 00:18:14.100]   ., I think back to have often thought. What if I went back?
[00:18:14.120 --> 00:18:44.100]   ., I think back to have often thought. What if I went back?
[00:18:44.100 --> 00:18:44.100]   ., I think back to have often thought. What if I went back?
[00:18:44.100 --> 00:18:44.100]   ., I think back to have often thought. What if I went back?
[00:18:44.100 --> 00:18:44.100]   ., I think back to have often thought. What if I went back?
[00:18:44.100 --> 00:18:44.100]   ., I think back to have often thought. What if I went back?
[00:18:44.100 --> 00:18:44.100]   ., I think back to have often thought. What if I went back?
[00:18:44.100 --> 00:18:44.100]   ., I think back to have often thought. What if I went back?
[00:18:44.100 --> 00:18:44.100]   ., I think back to have often thought. What if I went back?
[00:18:44.100 --> 00:18:44.100]   ., I think back to have often thought. What if I went back?
[00:18:44.100 --> 00:18:44.100]   ., I think back to have often thought. What if I went back?
[00:18:44.100 --> 00:18:44.100]   ., I think back to have often thought. What if I went back?
[00:18:44.100 --> 00:18:44.100]   ., I think back to have often thought. What if I went back?
[00:18:44.100 --> 00:19:14.120]   ., I think back to have often thought. What if I went back?
[00:19:14.120 --> 00:19:14.120]   ., I think back to have often thought. What if I went back?
[00:19:14.120 --> 00:19:14.120]   ., I think back to have often thought. What if I went back?
[00:19:14.120 --> 00:19:14.120]   ., I think back to have often thought. What if I went back?
[00:19:14.120 --> 00:19:14.120]   ., I think back to have often thought. What if I went back?
[00:19:14.120 --> 00:19:14.120]   ., I think back to have often thought. What if I went back?
[00:19:14.120 --> 00:19:14.120]   ., I think back to have often thought. What if I went back? What if I went back?
[00:19:14.160 --> 00:19:17.280]   over
[00:19:17.280 --> 00:19:23.160]   probably,
[00:19:23.160 --> 00:19:43.080]   my . The I provide the and but in been
[00:19:44.180 --> 00:19:47.200]   . The I provide the and but in been . The I provide the and but in been taken away.
[00:19:47.200 --> 00:19:50.200]   Most people seem to take life as it comes and they children happen organically or they don't happen.
[00:19:50.200 --> 00:19:54.200]   And they just simply adjust as time goes on.
[00:19:54.200 --> 00:20:02.200]   I do personally have a deep level of concern for the what seems to me to be an increasing rejection of children.
[00:20:02.200 --> 00:20:06.200]   You see this a lot in popular culture right now, at least in the United States.
[00:20:06.200 --> 00:20:12.200]   You see it in Europe as well. From the British Royal Family to popular musicians and popular politicians.
[00:20:12.200 --> 00:20:14.200]   There's people who who sincerely seem to be taking life as it comes.
[00:20:14.740 --> 00:20:44.240]  , and then,
[00:20:44.240 --> 00:20:44.240]   The I provide the and but in been taken away.
[00:20:44.240 --> 00:20:44.240]   The I provide the and but in being taken away.
[00:20:44.240 --> 00:20:44.240]   That's the real question.
[00:20:44.240 --> 00:20:44.240]   The I provide the and but in being taken away.
[00:20:44.240 --> 00:20:44.240]   The I provide the and but in being taken away.
[00:20:44.240 --> 00:20:44.240]   The I provide the and but in being taken away.
[00:20:44.240 --> 00:20:44.240]   The I provide the and but in being taken away.
[00:20:44.240 --> 00:20:44.240]   The I provide the and but in being taken away.
[00:20:44.240 --> 00:20:44.240]   The I provide the and but in being taken away.
[00:20:44.240 --> 00:20:44.240]   The I provide the and but in being taken away.
[00:20:44.240 --> 00:20:44.240]   The I provide the and but in being taken away.
[00:20:44.240 --> 00:20:44.240]   The I provide the and but in being taken away.
[00:20:44.240 --> 00:20:44.240]   The I provide the and but in being taken away.
[00:20:44.260 --> 00:20:48.280]   The I provide the and but in being taken away.
[00:20:48.280 --> 00:20:49.280]   The I provide the and but in being taken away.
[00:20:49.280 --> 00:20:50.280]   The I provide the and but in being taken away.
[00:20:50.280 --> 00:20:50.280]   The I provide the and but in being taken away.
[00:20:50.280 --> 00:20:51.280]   The I provide the and but in being taken away.
[00:20:51.280 --> 00:20:52.280]   The I provide the and but in being taken away.
[00:20:52.280 --> 00:20:53.280]   The I provide the and but in being taken away.
[00:20:53.280 --> 00:20:54.280]   The I provide the and but in being taken away.
[00:20:54.280 --> 00:20:55.280]   The I provide the and but in being taken away.
[00:20:55.280 --> 00:20:56.280]   The I provide the and but in being taken away.
[00:20:56.280 --> 00:20:57.280]   The I provide the and but in being taken away.
[00:20:57.280 --> 00:20:58.280]   The I provide the and but in being taken away.
[00:20:58.280 --> 00:20:59.280]   The I provide the and but in being taken away.
[00:20:59.280 --> 00:21:00.280]   The I provide the and but in being taken away.
[00:21:00.280 --> 00:21:01.280]   The I provide the and but in being taken away.
[00:21:01.280 --> 00:21:02.280]   The I provide the and but in being taken away.
[00:21:02.300 --> 00:21:24.320]   The I provide the and but in being taken away.
[00:21:24.320 --> 00:21:25.320]   The I provide the and but in being taken away.
[00:21:25.320 --> 00:21:26.320]   The I provide the and but in being taken away.
[00:21:26.320 --> 00:21:27.320]   The I provide the and but in being taken away.
[00:21:27.320 --> 00:21:28.320]   The I provide the and but in being taken away.
[00:21:28.320 --> 00:21:29.320]   The I provide the and but in being taken away.
[00:21:29.320 --> 00:21:30.320]   The I provide the and but in being taken away.
[00:21:30.320 --> 00:21:31.320]   The I provide the and but in being taken away.
[00:21:31.320 --> 00:21:32.320]   The I provide the and but in being taken away.
[00:21:32.320 --> 00:21:32.320]   The I provide the and but in being taken away.
[00:21:32.320 --> 00:21:32.320]   The I provide the and but in being taken away.
[00:21:32.320 --> 00:21:32.320]   The I provide the and but in being taken away.
[00:21:32.320 --> 00:21:32.320]   The I provide the and but in being taken away.
[00:21:32.320 --> 00:21:32.320]   The I provide the and but in being taken away.
[00:21:33.260 --> 00:22:02.360]   the I provide the and but in being taken away.
[00:22:02.360 --> 00:22:02.360]   The I provide the and but in being taken away.
[00:22:02.360 --> 00:22:02.360]   The I provide the and but in being taken away.
[00:22:02.360 --> 00:22:02.360]   The I provide the and but in being taken away.
[00:22:02.360 --> 00:22:02.360]   The I provide the and but in being taken away.
[00:22:02.360 --> 00:22:02.360]   The I provide the and but in being taken away.
[00:22:02.360 --> 00:22:02.360]   The I provide the and but in being taken away.
[00:22:02.380 --> 00:22:10.400]   The I provide the and but in being taken away.
[00:22:10.400 --> 00:22:10.400]   The I provide the and but in being taken away.
[00:22:10.400 --> 00:22:10.400]   The I provide the and but in being taken away.
[00:22:10.400 --> 00:22:11.400]   The I provide the and but in being taken away.
[00:22:11.400 --> 00:22:12.400]   The I provide the and but in being taken away.
[00:22:12.400 --> 00:22:12.400]   The I provide the and but in being taken away.
[00:22:12.400 --> 00:22:13.400]   The I provide the and but in being taken away.
[00:22:13.400 --> 00:22:14.400]   The I provide the and but in being taken away.
[00:22:14.400 --> 00:22:15.400]   The I provide the and but in being taken away.
[00:22:15.400 --> 00:22:16.400]   The I provide the and but in being taken away.
[00:22:16.400 --> 00:22:17.400]   The I provide the and but in being taken away.
[00:22:17.400 --> 00:22:18.400]   The I provide the and but in being taken away.
[00:22:18.400 --> 00:22:19.400]   The I provide the and but in being taken away.
[00:22:19.400 --> 00:22:20.400]   The I provide the and but in being taken away.
[00:22:20.400 --> 00:22:21.400]   The I provide the and but in being taken away.
[00:22:21.400 --> 00:22:22.400]   The I provide the and but in being taken away.
[00:22:22.440 --> 00:22:44.440]   The I provide the and but in being taken away.
[00:22:44.440 --> 00:22:45.440]   The I provide the and but in being taken away.
[00:22:45.440 --> 00:22:46.440]   The I provide the and but in being taken away.
[00:22:46.440 --> 00:22:47.440]   The I provide the and but in being taken away.
[00:22:47.440 --> 00:22:48.440]   The I provide the and but in being taken away.
[00:22:48.440 --> 00:22:49.440]   The I provide the and but in being taken away.
[00:22:49.440 --> 00:22:50.440]   The I provide the and but in being taken away.
[00:22:50.440 --> 00:22:51.440]   The I provide the and but in being taken away.
[00:22:51.440 --> 00:22:52.440]   The I provide the and but in being taken away.
[00:22:52.440 --> 00:22:52.440]   The I provide the and but in being taken away.
[00:22:52.440 --> 00:22:52.440]   The I provide the and but in being taken away.
[00:22:52.440 --> 00:22:52.440]   The I provide the and but in being taken away.
[00:22:52.460 --> 00:22:59.480]   The I provide the and but in being taken away.
[00:22:59.480 --> 00:23:00.480]   The I provide the and but in being taken away.
[00:23:00.480 --> 00:23:01.480]   The I provide the and but in being taken away.
[00:23:01.480 --> 00:23:02.480]   The I provide the and but in being taken away.
[00:23:02.480 --> 00:23:03.480]   The I provide the and but in being taken away.
[00:23:03.480 --> 00:23:04.480]   The I provide the and but in being taken away.
