
[00:00:00.000 --> 00:00:06.860]   I have spent quite a while testing the new 4.0 image gen from OpenAI and comparing it to models
[00:04:24.520 --> 00:04:30.300]   Here is one of my classic thumbnails and I gave it to 4.0 image gen and said make it 3D. Think you have
[00:04:30.300 --> 00:04:37.100]   to admit that with the slight exception of Anthropix logo down here the overall results are darn impressive.
[00:04:37.100 --> 00:04:42.260]   I mean just for a moment let's just focus on the fact that aside from possibly a little line here
[00:04:42.260 --> 00:04:48.720]   next to stumbles in one of the images the text is incredibly accurate. Then look at this one in the
[00:04:48.720 --> 00:04:53.120]   top right and I'm actually going to zoom in. The effect of the whale coming out from the water
[00:04:53.120 --> 00:04:59.640]   drawn from my thumbnail as inspiration is pretty darn impressive. Now I'm not saying that I'm going to
[00:04:59.640 --> 00:05:05.860]   immediately drop my traditional thumbnail approach but for my just released new Patreon video which was
[00:05:05.860 --> 00:05:11.600]   about Claude 3.7 having theory of mind and knowing it's being tested. I did want to try it out so I
[00:05:11.600 --> 00:05:16.640]   got my existing thumbnail and ran it through 4.0 image gen to see what it would come up with and as you
[00:05:16.640 --> 00:05:22.360]   can see you have this lab like image with this being projected onto the wall. I don't normally like AI
[00:05:22.360 --> 00:05:28.280]   thumbnails but this is probably the first tool that has tempted me. The next test I can see being the
[00:05:28.280 --> 00:05:34.380]   most common use case for image gen with ChatGPT. You could call it images with captions or basic
[00:05:34.380 --> 00:05:41.540]   infographics but it does really quite well. Here I asked depict a four panel journey showing the stages
[00:05:41.540 --> 00:05:47.960]   of a human life. Not only did I get that journey for each one but I got these labels that I didn't even
[00:05:47.960 --> 00:05:53.440]   ask for which I've just noticed aren't quite perfect. You can see the elderly spelt wrong top right
[00:05:53.440 --> 00:05:59.880]   but again you'd be hard pressed to say for some of these that there's any clear mistakes. Now because
[00:05:59.880 --> 00:06:05.400]   I love the UI all of these tests were done on Sora but of course we can't forget image editing. That is
[00:06:05.400 --> 00:06:11.540]   either unavailable or a whole set of extra steps with other image generators but not so with ChatGPT
[00:06:11.540 --> 00:06:17.340]   with images. So for one of these images I picked it out and said add glasses to each character. That got
[00:06:17.340 --> 00:06:22.500]   me this image where you can see the original image is preserved just they now have glasses. All of the
[00:06:22.500 --> 00:06:28.140]   other image generators had problems with the four stages of life although Reeve came the closest with
[00:06:28.140 --> 00:06:34.880]   this image. I mean it kind of skips out everything from the age of 21 to 81 but not bad. Midjourney
[00:06:34.880 --> 00:06:40.460]   went super metaphorical and artistic but I did say human life and I can't really see humans here. The
[00:06:40.460 --> 00:06:46.280]   unreleased model went in a completely different direction which I kind of like but I'm a bit confused
[00:06:46.280 --> 00:06:51.880]   by. Now I did miss my opportunity to talk about native image generation and editing in Google AI
[00:06:51.880 --> 00:06:57.480]   studio with Gemini 2 flash but now I have got a chance the comparison isn't quite as favourable.
[00:06:57.480 --> 00:07:02.940]   I said depict a four panel journey again showing the stages of a human life and got this and it makes
[00:07:02.940 --> 00:07:10.280]   me wonder before I was born was I a robo dog with a stick in my back quarter. Anyway we can edit the
[00:07:10.280 --> 00:07:17.240]   images and I said change the baby on the right to being an old man and as you can see I got this.
[00:07:17.800 --> 00:07:24.760]   Okay now for some disclaimers and a few times I was denied permission for an image so there are filters
[00:07:24.760 --> 00:07:31.360]   for the new image gen. It did allow me to submit a photo of the Google CEO and Sam Altman the CEO of
[00:07:31.360 --> 00:07:38.020]   OpenAI and I said make these two people arm wrestle and even though the fidelity to how they look isn't
[00:07:38.020 --> 00:07:44.020]   perfect this image in the top left isn't bad and I thought I would be denied this generation but I
[00:07:44.020 --> 00:07:50.180]   wasn't. You can let me know in the comments whether you think slightly less filtering is a good thing but for me
[00:07:50.180 --> 00:07:57.440]   true safety is about things like bioweapons and cyber weapons. That's why you through my new link in the
[00:07:57.440 --> 00:08:04.660]   description can and possibly should enter the grey swan arena. If you have any interest or aptitude in
[00:08:04.660 --> 00:08:10.340]   jailbreaking models testing whether they can do these kind of things and yes appropriately that now includes visual
[00:08:10.340 --> 00:08:14.980]   vulnerabilities breaking models through the images you submit to them or you're just interested
[00:08:14.980 --> 00:08:20.500]   in big prize pools do check out the link in the description. And yes as you may have noticed the prize pools
[00:08:20.500 --> 00:08:26.340]   are getting a bit out of control. In case you're wondering because I'm doing this in Sora I can turn any image
[00:08:26.340 --> 00:08:32.340]   into a video but honestly I wouldn't quite recommend it. Even when you're using storyboards
[00:08:32.340 --> 00:08:39.620]   the results aren't exactly life-like. The six different people with different ethnicities doing
[00:08:39.620 --> 00:08:45.620]   jazz hands was probably one of the most impressive outputs I saw from image gen mainly for the reason
[00:08:45.620 --> 00:08:51.460]   that that was a stark weakness of image gen models going back last year and the year before and also
[00:08:51.460 --> 00:08:57.220]   just that it was so much better than other models at this particular prompt. Midjourney struggled hard,
[00:08:57.220 --> 00:09:03.380]   Google's image n3 denied me entirely and Reeve wasn't bad. We do have the six different people.
[00:09:03.380 --> 00:09:07.860]   I wouldn't exactly call this jazz hands though. One thing I do have to mention of course is that when you're
[00:09:07.860 --> 00:09:13.620]   using ChatGPT to generate images it is going to be slower typically than the other models. But here was another
[00:09:13.620 --> 00:09:18.660]   test that I hope you guys like. Just so you can see it I said create a difficult what we would call in Britain
[00:09:18.660 --> 00:09:24.340]   Where's Wally or Where's Waldo style image with an italic caption telling the viewer what to look for it
[00:09:24.340 --> 00:09:28.900]   should take at least 10 seconds to solve. Now I'm gonna scroll through the images and you can of course
[00:09:28.900 --> 00:09:34.900]   pause the video but the generations while artistically very interesting but for me all suffered from the
[00:09:34.900 --> 00:09:39.460]   same problem which is that they didn't actually display the thing that they told you to look for.
[00:09:39.460 --> 00:09:46.260]   Unless you want to be very generous and count this thing here as a tiger but that is a big stretch.
[00:09:46.260 --> 00:09:50.580]   You know what in this one I'm actually going to give it to image n3 because
[00:09:50.580 --> 00:09:55.700]   I can see that it's saying find the time traveler in the medieval marketplace and even though the text
[00:09:55.700 --> 00:10:00.900]   is kind of screwed up and it's very easy to spot at least it's there and it's kind of cool. Reeve created
[00:10:00.900 --> 00:10:05.620]   very beautiful images but again I think they suffered from that same problem of not actually having the
[00:10:05.620 --> 00:10:08.660]   thing that you're supposed to look for. Honestly don't waste too much of your time
[00:10:08.660 --> 00:10:13.140]   but if you do see them let me know. I'm going to give Reeve a pass on this image because they said
[00:10:13.140 --> 00:10:19.860]   find the pirate hiding among the beach goers and I'm gonna say this is the pirate not really hiding
[00:10:19.860 --> 00:10:25.300]   but there we go. I guess this serves to illustrate the point which is the logic the kind of brains
[00:10:25.300 --> 00:10:32.020]   of 4.0 image gen is just noticeably better than the others. The artisticness is probably similar.
[00:10:32.020 --> 00:10:37.460]   Obviously most people will just use this to turn their selfies into charcoal sketches or Dragon Ball Z
[00:10:37.460 --> 00:10:43.940]   characters that's pretty obvious but the fact that we now have AI models capable of producing an image
[00:10:43.940 --> 00:10:51.540]   like this one with just incredibly accurate text and genuine logic behind what it's portraying that is
[00:10:51.540 --> 00:10:58.180]   a true moment in AI. It's worth a dedicated video because sometimes incremental change can add up to
[00:10:58.180 --> 00:11:05.780]   big change. So is this a storm in a teacup or a true moment in AI? Will you never use this tool
[00:11:05.780 --> 00:11:11.060]   or use it hundreds of times like I'm expecting to? Let me know. Thank you so much for watching.
[00:11:11.060 --> 00:11:15.860]   See you in the next video which should be coming very soon and have a wonderful day.

