
[00:00:00.000 --> 00:00:03.480]   of Intermediate Biblical Counseling.
[00:02:32.360 --> 00:02:38.200]   of despond in his classic work, The Pilgrim's Progress.
[00:02:38.200 --> 00:02:40.480]   Whatever you might call it,
[00:02:40.480 --> 00:02:44.880]   I've experienced this where intense discouragement and
[00:02:44.880 --> 00:02:49.120]   sadness led to a type of depression where it was
[00:02:49.120 --> 00:02:52.840]   difficult to function in everyday life.
[00:02:52.840 --> 00:02:58.040]   I remember the first time I was battling with the slough of despond.
[00:02:58.040 --> 00:03:03.000]   I heard a sermon from one of the pastors that I looked up to greatly.
[00:03:03.000 --> 00:03:05.920]   In that sermon, near the conclusion,
[00:03:05.920 --> 00:03:09.680]   this pastor mentioned that he himself had battled with
[00:03:09.680 --> 00:03:12.840]   a season of depression and with God's help,
[00:03:12.840 --> 00:03:17.040]   and he was able to move past that.
[00:03:17.040 --> 00:03:18.400]   I didn't know who to talk to,
[00:03:18.400 --> 00:03:20.640]   so I emailed this pastor,
[00:03:20.640 --> 00:03:24.600]   and he graciously offered to meet me at Panera Bread.
[00:03:24.600 --> 00:03:26.280]   I'll always remember what he said to me.
[00:03:26.280 --> 00:03:29.880]   He said, "Dan, since I gave that sermon and
[00:03:29.880 --> 00:03:34.080]   just briefly mentioned my own struggle with depression,
[00:03:34.080 --> 00:03:39.800]   I have gotten more phone calls and more requests to meet for
[00:03:39.800 --> 00:03:44.800]   counseling than any other sermon that I have given.
[00:03:44.800 --> 00:03:47.280]   All of a sudden, there are all these people
[00:03:47.280 --> 00:03:49.160]   coming forward in my life saying,
[00:03:49.160 --> 00:03:54.520]   can you talk to me and help me move past this issue."
[00:03:54.520 --> 00:04:00.080]   I think that's just an illustration of how common this struggle is.
[00:04:00.080 --> 00:04:03.680]   Oftentimes, people don't know who to talk to.
[00:04:03.680 --> 00:04:08.120]   They don't know where that they can find help.
[00:04:08.120 --> 00:04:13.520]   We know that some Christians are more prone to struggle with depression.
[00:04:13.520 --> 00:04:18.400]   They may have a bent towards a melancholy personality or
[00:04:18.400 --> 00:04:24.520]   a proneness to pessimism and they need to battle for joy in the Christian life.
[00:04:24.520 --> 00:04:27.440]   Other Christians may spend most of their spiritual lives doing
[00:04:27.440 --> 00:04:32.920]   just fine and just rejoicing in the Lord and finding great peace in Christ.
[00:04:32.920 --> 00:04:35.920]   But in certain specific seasons of life,
[00:04:35.920 --> 00:04:40.120]   they may find themselves walking through the slew of despond,
[00:04:40.120 --> 00:04:43.640]   walking through a great season of discouragement and sorrow
[00:04:43.640 --> 00:04:48.480]   that may lead to a form of depression.
[00:04:48.480 --> 00:04:52.160]   We do know that depression is very common in the world today.
[00:04:52.160 --> 00:04:54.860]   It is very common in society.
[00:04:54.860 --> 00:04:57.480]   If you do a survey on the Internet,
[00:04:57.480 --> 00:05:00.720]   you'll find that even many celebrities in our societies,
[00:05:00.720 --> 00:05:05.120]   men and women who have everything that you would think that they would want in life,
[00:05:05.120 --> 00:05:07.400]   health, and wealth, and fame,
[00:05:07.400 --> 00:05:10.880]   that they do struggle with depression.
[00:05:10.880 --> 00:05:14.760]   We note that antidepressants are one of the most commonly
[00:05:14.760 --> 00:05:19.640]   prescribed medications in our society today.
[00:05:19.640 --> 00:05:21.320]   C.H. Spurgeon once said,
[00:05:21.320 --> 00:05:24.840]   "I'm the subject of depression so fearful that I hope
[00:05:24.840 --> 00:05:30.140]   none of you ever get to such extremes of wretchedness as I go to."
[00:05:30.140 --> 00:05:34.600]   How many of us are going to be brave enough to say that Spurgeon struggled with
[00:05:34.600 --> 00:05:42.080]   depression because he wasn't godly enough or because he didn't read the Bible enough?
[00:05:42.080 --> 00:05:45.880]   I do believe in reading Spurgeon's biography that one of
[00:05:45.880 --> 00:05:50.960]   the contributing factors to his depression may have been just overworked,
[00:05:50.960 --> 00:05:52.720]   just overtaxing his body,
[00:05:52.720 --> 00:05:59.320]   moving his work capacity past the point of physical exhaustion.
[00:05:59.320 --> 00:06:00.760]   As we'll see in our study tonight,
[00:06:00.760 --> 00:06:05.160]   that is a contributing factor to depression.
[00:06:05.160 --> 00:06:08.620]   But the point is that even godly saints of God,
[00:06:08.620 --> 00:06:11.800]   even great spiritual men and women of the faith can
[00:06:11.800 --> 00:06:16.840]   struggle with a form of depression.
[00:06:16.840 --> 00:06:20.880]   I never counsel anyone who came into the counseling ministry saying, "Dan,
[00:06:20.880 --> 00:06:24.200]   my struggle is I just have too much joy," or "Dan,
[00:06:24.200 --> 00:06:27.240]   my struggle is I just have too much hope."
[00:06:27.240 --> 00:06:34.600]   But I have counseled with many who struggle greatly with depression.
[00:06:34.600 --> 00:06:39.360]   In many cases, these are saints of God whom I greatly respect and
[00:06:39.360 --> 00:06:44.440]   greatly am encouraged by that these are faithful servants of the Lord,
[00:06:44.440 --> 00:06:49.440]   and yet there is just the recognition of this struggle.
[00:06:49.440 --> 00:06:52.480]   Many of you know that I just completed
[00:06:52.480 --> 00:06:56.680]   my doctor of ministry project on the subject of midlife crisis,
[00:06:56.680 --> 00:07:02.480]   which is a struggle for many men and a struggle for many women as well.
[00:07:02.480 --> 00:07:07.520]   I took the position and perspective that midlife crisis can be
[00:07:07.520 --> 00:07:14.440]   a form or a type of depression that is experienced by many in midlife,
[00:07:14.440 --> 00:07:22.040]   spiraling down of thoughts and emotions that lead to a person living in despair.
[00:07:22.040 --> 00:07:26.160]   My wife Mina did a session for the mops group at our church.
[00:07:26.160 --> 00:07:29.000]   Mothers of preschool children is the group,
[00:07:29.000 --> 00:07:33.800]   and she taught on the subject of postpartum depression,
[00:07:33.800 --> 00:07:39.840]   which is a form of depression that many mothers experience.
[00:07:39.840 --> 00:07:43.800]   We need to be wise in how we handle this topic.
[00:07:43.800 --> 00:07:46.960]   We need to think through this issue with biblical discernment.
[00:07:46.960 --> 00:07:51.680]   We need to be careful in how we handle the subject of depression
[00:07:51.680 --> 00:08:02.200]   because we are ministering to souls and they deserve our utmost care and compassion.
[00:08:02.200 --> 00:08:07.440]   I trust that tonight's teaching will be a help for you not only to write this essay,
[00:08:07.440 --> 00:08:12.120]   but to minister to those who are battling in
[00:08:12.120 --> 00:08:17.040]   the slough of despond and to help them have hope and to fight for joy.
[00:08:17.040 --> 00:08:19.760]   We're going to need God's help to get into our studies.
[00:08:19.760 --> 00:08:24.920]   Let me pray for us briefly and we'll dive into our handout for tonight. Let's pray.
[00:08:24.920 --> 00:08:28.400]   Father, we thank you for your mercy and your compassion.
[00:08:28.400 --> 00:08:32.440]   We thank you that you are near to the broken-hearted.
[00:08:32.440 --> 00:08:36.760]   We thank you that you walk with us through the valley of the shadow of death,
[00:08:36.760 --> 00:08:39.080]   that you never leave us or forsake us.
[00:08:39.080 --> 00:08:40.600]   We thank you for Christ,
[00:08:40.600 --> 00:08:48.040]   our great savior, who is the one who is our faithful shepherd,
[00:08:48.040 --> 00:08:51.400]   and will guide us through every season of life.
[00:08:51.400 --> 00:08:53.920]   We pray that as we look at the subject,
[00:08:53.920 --> 00:08:57.120]   that we would be biblical,
[00:08:57.120 --> 00:08:59.080]   that we would be pastoral,
[00:08:59.080 --> 00:09:01.160]   that we would be practical,
[00:09:01.160 --> 00:09:05.240]   that you would help us to think carefully and deeply,
[00:09:05.240 --> 00:09:09.760]   that we might be of the most help to those who are in need.
[00:09:09.760 --> 00:09:11.680]   We thank you for this time.
[00:09:11.680 --> 00:09:14.360]   Thank you for each student who's joined us for this class.
[00:09:14.360 --> 00:09:18.240]   We pray this in Jesus' name. Amen.
[00:09:18.240 --> 00:09:23.080]   Amen. Well, let me just read the question for tonight.
[00:09:23.080 --> 00:09:25.520]   We're looking at counseling exam number 5,
[00:09:25.520 --> 00:09:26.560]   and the question is this.
[00:09:26.560 --> 00:09:30.640]   Provide a biblical definition of depression.
[00:09:30.640 --> 00:09:35.520]   Describe manifestations of depression in both the inner and outer man.
[00:09:35.520 --> 00:09:39.560]   Explain the biblical factors that drive depression,
[00:09:39.560 --> 00:09:46.240]   and detail several biblical strategies to respond to depression.
[00:09:46.240 --> 00:09:48.120]   This is a very practical topic,
[00:09:48.120 --> 00:09:49.840]   and one, as I mentioned,
[00:09:49.840 --> 00:09:53.960]   that is worthy of our careful consideration.
[00:09:53.960 --> 00:09:55.920]   On page 1 of your handout,
[00:09:55.920 --> 00:09:59.200]   I do have some resources that I want to recommend to you.
[00:09:59.200 --> 00:10:05.280]   I would recommend that you get the book Spurgeon's Sorrows by Zach Eswine.
[00:10:05.280 --> 00:10:11.600]   That's a compilation of Spurgeon's quotes and comments on the subject of depression.
[00:10:11.600 --> 00:10:16.080]   Admittedly, this is not a study of biblical texts,
[00:10:16.080 --> 00:10:20.800]   so please be judicious in how you would use that resource in your essays.
[00:10:20.800 --> 00:10:24.600]   I do remember one essay coming back because the student used
[00:10:24.600 --> 00:10:28.360]   a number of quotes from Zach Eswine's Spurgeon's Sorrows,
[00:10:28.360 --> 00:10:33.720]   and the grader wanted to see more scripture in the essay.
[00:10:33.720 --> 00:10:35.680]   It's not a study of biblical texts,
[00:10:35.680 --> 00:10:41.680]   but it is a book that is very insightful because it helps us see Spurgeon's own battle
[00:10:41.680 --> 00:10:46.880]   with depression and how he fought for joy in the midst of his struggle.
[00:10:46.880 --> 00:10:49.660]   It is a book that is filled with comfort.
[00:10:49.660 --> 00:10:52.240]   We have this in our counseling library,
[00:10:52.240 --> 00:10:53.920]   in our counseling ministry,
[00:10:53.920 --> 00:10:58.920]   and I give this out just as a word of encouragement and comfort to anyone who struggles,
[00:10:58.920 --> 00:11:06.000]   that even the best of Christians have battled with depression in church history.
[00:11:06.000 --> 00:11:11.800]   One of the books that's helped me understand this issue is Charles Hodges,
[00:11:11.800 --> 00:11:14.160]   Good Mood, Bad Mood.
[00:11:14.160 --> 00:11:21.440]   Dr. Hodges is a medical physician and he's also a certified biblical counselor.
[00:11:21.440 --> 00:11:26.360]   He set out to study the issue of bipolar disorder,
[00:11:26.360 --> 00:11:30.400]   and he ended up doing a study on depression.
[00:11:30.400 --> 00:11:35.320]   Manic depression is a form of depression where
[00:11:35.320 --> 00:11:39.680]   the depressed state alternates with a period of high energy,
[00:11:39.680 --> 00:11:43.840]   otherwise known as the manic period.
[00:11:43.840 --> 00:11:50.320]   This type of depression has been relabeled bipolar disorder in secular language,
[00:11:50.320 --> 00:11:57.000]   and Hodges set out to do a study of manic depression or bipolar disorder,
[00:11:57.000 --> 00:11:59.520]   and he ended up doing a larger study on depression.
[00:11:59.520 --> 00:12:01.440]   So this is a very helpful work.
[00:12:01.440 --> 00:12:03.220]   I would recommend it to you.
[00:12:03.220 --> 00:12:07.320]   I would especially recommend reading Chapter 5,
[00:12:07.320 --> 00:12:10.120]   which is worth the price of admission,
[00:12:10.120 --> 00:12:14.680]   in which Hodges does a discussion on the distinction between
[00:12:14.680 --> 00:12:19.360]   normal sadness in the Christian life and depression,
[00:12:19.360 --> 00:12:23.040]   or what the secular world might call depression.
[00:12:23.040 --> 00:12:27.600]   That's a distinction that I want to talk through a little bit tonight in our study,
[00:12:27.600 --> 00:12:29.960]   but if you want a fuller discussion of that,
[00:12:29.960 --> 00:12:33.520]   read Chapter 5 of Charles Hodges' work,
[00:12:33.520 --> 00:12:35.760]   Good Mood, Bad Mood,
[00:12:35.760 --> 00:12:41.000]   Help and Hope for Depression and Bipolar Disorder.
[00:12:41.000 --> 00:12:45.440]   Then you have Martin Lloyd-Jones' Spiritual Depression.
[00:12:45.440 --> 00:12:49.160]   Lloyd-Jones commented that this work on
[00:12:49.160 --> 00:12:54.960]   spiritual depression is one of the most popular things that he ever wrote,
[00:12:54.960 --> 00:13:02.520]   which again shows how common this issue is even among believers in Christ.
[00:13:02.520 --> 00:13:06.080]   In this book, Lloyd-Jones makes the great statement,
[00:13:06.080 --> 00:13:08.240]   "Don't listen to yourself,
[00:13:08.240 --> 00:13:15.160]   talk to yourself," expounding upon the theme of Psalm 42 and 43.
[00:13:15.160 --> 00:13:18.280]   "Why are you cast down, oh my soul?
[00:13:18.280 --> 00:13:23.040]   Hope in God, for I shall again praise him."
[00:13:23.040 --> 00:13:25.940]   This is a classic work.
[00:13:25.940 --> 00:13:27.920]   It's well worth your time.
[00:13:27.920 --> 00:13:31.280]   It's excellent. It's been used in many Christians' life.
[00:13:31.280 --> 00:13:37.800]   Do get your hands on Martin Lloyd-Jones' Spiritual Depression.
[00:13:37.800 --> 00:13:42.720]   Then I've listed a couple of works by the faculty of the Master's University,
[00:13:42.720 --> 00:13:44.960]   Wayne Mack's Out of the Blues,
[00:13:44.960 --> 00:13:47.080]   dealing with the blues of depression.
[00:13:47.080 --> 00:13:52.600]   Anything by Wayne Mack is worth buying and worth reading.
[00:13:52.600 --> 00:13:57.400]   Then Dr. Robert Somerville has a book that's entitled,
[00:13:57.400 --> 00:13:59.200]   If I'm a Christian,
[00:13:59.200 --> 00:14:02.520]   Why Am I Depressed?
[00:14:02.520 --> 00:14:05.280]   It's interesting to note that Dr. Somerville wrote
[00:14:05.280 --> 00:14:10.040]   that book after dealing with his own battle with depression.
[00:14:10.040 --> 00:14:18.440]   That's a very personal book for him and one that has ministered to many.
[00:14:18.440 --> 00:14:23.440]   If I'm a Christian, why am I depressed?
[00:14:23.440 --> 00:14:27.480]   Then you probably want to highlight and star Ed Welch's book,
[00:14:27.480 --> 00:14:30.280]   Depression, Looking Up from the Stubborn Darkness.
[00:14:30.280 --> 00:14:32.680]   That's a fantastic read.
[00:14:32.680 --> 00:14:36.920]   It's probably one of the first things you should read on this subject,
[00:14:36.920 --> 00:14:42.880]   and I would encourage you to have Ed Welch's book on your bookshelf.
[00:14:42.880 --> 00:14:46.520]   You will consult it often.
[00:14:46.520 --> 00:14:51.680]   There are two lectures that I would recommend to you near the bottom of your handout.
[00:14:51.680 --> 00:14:58.800]   Jim Neuhauser's lecture on depression at the IBCD website is excellent.
[00:14:58.800 --> 00:15:05.480]   One of the best one-hour teachings out there on the subject of depression.
[00:15:05.480 --> 00:15:09.840]   Then Tom Maxim is also part of IBCD,
[00:15:09.840 --> 00:15:13.360]   and he has an excellent lecture that's entitled,
[00:15:13.360 --> 00:15:16.920]   Gospel Rest for Depression Symptoms,
[00:15:16.920 --> 00:15:19.240]   Causes, and Cures.
[00:15:19.240 --> 00:15:20.760]   Both are fantastic.
[00:15:20.760 --> 00:15:22.440]   They are very well done,
[00:15:22.440 --> 00:15:27.000]   biblical and pastoral, helpful, and clear.
[00:15:27.000 --> 00:15:30.960]   I would encourage you to make use of those resources.
[00:15:30.960 --> 00:15:36.680]   Those two lectures are free and on the IBCD website.
[00:15:36.680 --> 00:15:43.280]   Now, with that said, let me move you to page 2 of your handout for tonight,
[00:15:43.280 --> 00:15:52.160]   and let's look at a definition of depression that I think will be helpful for our understanding.
[00:15:52.160 --> 00:15:56.840]   Gary Gilley has a work that's entitled,
[00:15:56.840 --> 00:16:00.000]   A Look at Depression Through the Lens of Scripture,
[00:16:00.000 --> 00:16:02.840]   and that's available on his website,
[00:16:02.840 --> 00:16:04.760]   and I'll quote from it here.
[00:16:04.760 --> 00:16:10.400]   He says, "We may define depression as that debilitating mood,
[00:16:10.400 --> 00:16:13.360]   feeling, or air of hopelessness,
[00:16:13.360 --> 00:16:19.640]   which results in a ceasing of the handling of life."
[00:16:19.640 --> 00:16:22.520]   Depression is that debilitating mood,
[00:16:22.520 --> 00:16:25.160]   feeling, or air of hopelessness,
[00:16:25.160 --> 00:16:30.760]   which results in a ceasing of the handling of life.
[00:16:30.760 --> 00:16:36.080]   That's one of the best concise definitions that I have come across,
[00:16:36.080 --> 00:16:41.120]   at least from a biblical counseling perspective.
[00:16:41.120 --> 00:16:45.440]   Depression is more than normal sadness.
[00:16:45.440 --> 00:16:50.880]   Depression is more than the feeling of discouragement.
[00:16:50.880 --> 00:16:57.520]   The distinguishing mark of depression is what he says at the end of that definition,
[00:16:57.520 --> 00:17:01.440]   a ceasing of the handling of life.
[00:17:01.440 --> 00:17:04.760]   In depression, a person shuts down.
[00:17:04.760 --> 00:17:08.760]   He or she ceases to handle daily responsibilities,
[00:17:08.760 --> 00:17:16.520]   and this is seen in both the secular and biblical descriptions of depression.
[00:17:16.520 --> 00:17:25.640]   From a secular standpoint, the DSM-IV has these nine characteristics of depression,
[00:17:25.640 --> 00:17:28.640]   a depressed mood most of the day,
[00:17:28.640 --> 00:17:35.400]   markedly diminished interest or pleasure in all or almost all activities most of the day,
[00:17:35.400 --> 00:17:40.000]   significant weight loss when not dieting or weight gain,
[00:17:40.000 --> 00:17:44.200]   insomnia or hypersomnia nearly every day,
[00:17:44.200 --> 00:17:50.960]   feeling physically restless or slow to an extent that is observable to others,
[00:17:50.960 --> 00:17:54.800]   fatigue or loss of energy nearly every day,
[00:17:54.800 --> 00:18:00.720]   feelings of worthlessness or excessive or inappropriate guilt,
[00:18:00.720 --> 00:18:04.600]   diminished ability to think or concentrate,
[00:18:04.600 --> 00:18:09.960]   and recurrent thoughts of death and/or suicide.
[00:18:09.960 --> 00:18:15.720]   You will note that a number of these characteristics center around the fact
[00:18:15.720 --> 00:18:22.720]   that the depressed person ceases to handle the responsibilities of life.
[00:18:22.720 --> 00:18:30.240]   He or she has a diminished interest in activities most of the day,
[00:18:30.240 --> 00:18:35.840]   and there's fatigue or loss of energy nearly every day.
[00:18:35.840 --> 00:18:40.800]   Now, that's from a secular perspective to be sure,
[00:18:40.800 --> 00:18:42.600]   but as we have noted,
[00:18:42.600 --> 00:18:48.000]   secular psychology can make accurate observations about how people behave.
[00:18:48.000 --> 00:18:50.920]   When I read the DSM-IV,
[00:18:50.920 --> 00:18:55.720]   I look at these characteristics or expressions or behaviors,
[00:18:55.720 --> 00:19:00.800]   and I would conclude that people do behave in these ways.
[00:19:00.800 --> 00:19:08.640]   What secular psychology cannot do is rightly interpret why people behave the way that they do,
[00:19:08.640 --> 00:19:14.080]   but when the DSM-IV says people tend to behave in this way,
[00:19:14.080 --> 00:19:19.680]   the secular resource can make accurate observations about human behavior.
[00:19:19.680 --> 00:19:27.160]   So, I don't doubt the fact that people do experience these struggles.
[00:19:27.160 --> 00:19:30.280]   From a Christian perspective, this isn't on your handout,
[00:19:30.280 --> 00:19:35.400]   but Dr. Somerville has spoken of his own experience with depression,
[00:19:35.400 --> 00:19:38.480]   and this is as a Christian, he writes,
[00:19:38.480 --> 00:19:46.360]   "With depression, there is a numbness and complete lack of positive feelings about anything.
[00:19:46.360 --> 00:19:49.360]   Guilt and feelings of worthlessness consume you.
[00:19:49.360 --> 00:19:53.600]   Your conscience works overtime in convicting you.
[00:19:53.600 --> 00:19:55.560]   Everything is negative.
[00:19:55.560 --> 00:20:01.480]   A minor problem becomes major as you imagine the worst possible outcome.
[00:20:01.480 --> 00:20:03.840]   Your mind is drawn to your saddest memories,
[00:20:03.840 --> 00:20:08.600]   the record of your own sins, failures, and disappointments.
[00:20:08.600 --> 00:20:13.600]   Negative thoughts crowd out all happy ones."
[00:20:13.600 --> 00:20:18.120]   He goes on to talk about the fact that when he was depressed,
[00:20:18.120 --> 00:20:26.440]   the work that once took minutes to complete now took hours as he walked through this season of life.
[00:20:26.440 --> 00:20:33.240]   And that does square with the secular description of depression.
[00:20:33.240 --> 00:20:42.920]   You will note that the depressed person has difficulty fulfilling the responsibilities of life.
[00:20:42.920 --> 00:20:45.440]   And so, we have to think through that.
[00:20:45.440 --> 00:20:53.240]   Now, from a biblical perspective, and I'm borrowing from Gary Gilley's helpful list here,
[00:20:53.240 --> 00:20:58.880]   here are some biblical descriptions of depression on page one.
[00:20:58.880 --> 00:21:04.120]   And I've also put this on the screen for your viewing.
[00:21:04.120 --> 00:21:06.640]   You have gloom and pessimism.
[00:21:06.640 --> 00:21:09.160]   Psalm 32, verse 3, David says,
[00:21:09.160 --> 00:21:19.600]   "For when I kept silent, my bones wasted away through my groaning all day long."
[00:21:19.600 --> 00:21:21.920]   You have apathy and fatigue.
[00:21:21.920 --> 00:21:23.960]   Psalm 32, verse 4, David says,
[00:21:23.960 --> 00:21:27.240]   "For day and night, your hand was heavy upon me.
[00:21:27.240 --> 00:21:31.480]   My strength was dried up as by the heat of summer."
[00:21:31.480 --> 00:21:37.200]   Now, in the case of Psalm 32, David was experiencing a type of depression
[00:21:37.200 --> 00:21:46.320]   that was the result of sin in his life, that he needed to confess sin and repent of sin.
[00:21:46.320 --> 00:21:52.800]   And when he repented of his sin, he experienced God's joy and peace.
[00:21:52.800 --> 00:22:01.280]   And so, this type of depression can result from unconfessed sin or sin that is not repented of.
[00:22:01.280 --> 00:22:08.080]   But we want to quickly add the balancing comment that not all depression is due to sin.
[00:22:08.080 --> 00:22:13.000]   Some depression comes from physical causes.
[00:22:13.000 --> 00:22:20.760]   I've mentioned previously in our year one training that I don't want to be quick to charge a counselee with sin
[00:22:20.760 --> 00:22:26.560]   and then find out later that this counselee had the condition of hypothyroidism,
[00:22:26.560 --> 00:22:32.120]   which causes sluggishness and a depressed mood.
[00:22:32.120 --> 00:22:38.160]   That would be an example of being a miserable counselor to charge someone with sin
[00:22:38.160 --> 00:22:42.840]   when I don't know if the issue is due to sin.
[00:22:42.840 --> 00:22:51.200]   But we do find an example here in David's life where his depression was due to unconfessed sin.
[00:22:51.200 --> 00:22:59.040]   And so, if I'm walking with a counselee through a dialogue and I find that there is a sin that needs to be repented of,
[00:22:59.040 --> 00:23:03.920]   then that is a time to address that biblically.
[00:23:03.920 --> 00:23:12.120]   But again, what I'm pleading for here as we consider this topic of depression is really to handle this topic carefully,
[00:23:12.120 --> 00:23:21.440]   to be balanced, to be wise, to not make hasty conclusions, to survey the breadth of scripture
[00:23:21.440 --> 00:23:26.880]   and understand all that the Bible would say on this topic.
[00:23:26.880 --> 00:23:35.000]   If I could put it this way, it's time to play chess, not checkers, as we deal with this issue of depression.
[00:23:35.000 --> 00:23:42.480]   Don't make oversimplistic judgments and just think in terms of red checkers and black checkers,
[00:23:42.480 --> 00:23:49.160]   but see the whole board and see that there are different nuances of what the scripture says on this topic,
[00:23:49.160 --> 00:23:57.040]   and then learn to minister to the person in front of you with careful wisdom and biblical discernment.
[00:23:57.040 --> 00:24:07.640]   And God will give you help in doing that if you are diligent to search His Word and to pray for His wisdom.
[00:24:07.640 --> 00:24:12.720]   We have the description of hopelessness, Psalm 38, verse 2,
[00:24:12.720 --> 00:24:16.400]   "For your arrows have sunk into me and your hand has come down upon me.
[00:24:16.400 --> 00:24:21.120]   There is no soundness in my flesh because of your indignation."
[00:24:21.120 --> 00:24:27.480]   Here we see that depression is both a spiritual battle and a physical battle.
[00:24:27.480 --> 00:24:32.160]   The Psalmist says, "There is no health in my bones because of my sin.
[00:24:32.160 --> 00:24:36.120]   For my iniquities have gone over my head like a heavy burden.
[00:24:36.120 --> 00:24:41.520]   They are too heavy for me."
[00:24:41.520 --> 00:24:48.920]   I want to present to counselees who may feel overwhelmed, not only by life's struggles, but also by their sin.
[00:24:48.920 --> 00:24:55.200]   And they might be depressed because of an overwhelming sense of guilt in their life,
[00:24:55.200 --> 00:25:02.080]   that they don't even know how to start confessing their sins because they're experiencing somewhat of what the Psalmist is saying here.
[00:25:02.080 --> 00:25:07.880]   "My iniquities are over my head. They are a heavy burden."
[00:25:07.880 --> 00:25:13.600]   And as biblical counselors, we need to be equipped to minister Christ
[00:25:13.600 --> 00:25:24.120]   and to tell our counselees of Christ, the mighty Savior, whose grace is even greater than all of our sins.
[00:25:24.120 --> 00:25:29.920]   I want to plead with you in this session to be Christ-centered and to be grace-centered
[00:25:29.920 --> 00:25:36.600]   and to minister the hope of the gospel to those who are depressed.
[00:25:36.600 --> 00:25:45.600]   And so even when depression is the result of sin, we can minister the good news of Christ and show his mighty work on the cross.
[00:25:45.600 --> 00:25:47.400]   And secular psychology cannot do that.
[00:25:47.400 --> 00:25:58.040]   No secular therapist can minister the hope of the gospel to a counselee who is hurting with the issues of life.
[00:25:58.040 --> 00:26:01.120]   You have physical problems.
[00:26:01.120 --> 00:26:08.480]   The Psalmist says in Psalm 38, verse 5, "My wounds stink and fester because of my foolishness.
[00:26:08.480 --> 00:26:11.800]   I'm utterly bowed down and prostrate all the day.
[00:26:11.800 --> 00:26:20.240]   I go about mourning for my sides are filled with burning and there is no soundness in my flesh.
[00:26:20.240 --> 00:26:26.920]   I'm feeble and crushed. I groan because of the tumult of my heart."
[00:26:26.920 --> 00:26:33.080]   Boy, the Bible just connects with real life, does it not?
[00:26:33.080 --> 00:26:37.600]   Depressed people can experience physical pain.
[00:26:37.600 --> 00:26:42.160]   There is sleeplessness. There is irritability.
