
[00:00:00.000 --> 00:00:06.600]   Hello everyone, welcome back.
[00:08:10.980 --> 00:08:13.560]   a very difficult creative writing task,
[00:08:13.560 --> 00:08:14.820]   and it leads people to do
[00:08:14.820 --> 00:08:17.060]   similar things over multiple examples,
[00:08:17.060 --> 00:08:19.060]   which we intuited would lead to
[00:08:19.060 --> 00:08:21.700]   artifacts in the resulting dataset.
[00:08:21.700 --> 00:08:25.560]   We switched to emphasizing what we call the prompt condition.
[00:08:25.560 --> 00:08:26.920]   In the prompt condition,
[00:08:26.920 --> 00:08:29.340]   we actually offer crowd workers
[00:08:29.340 --> 00:08:31.740]   a naturally occurring sentence that comes from
[00:08:31.740 --> 00:08:35.300]   the Yelp open dataset and their task is to edit
[00:08:35.300 --> 00:08:37.140]   that sentence in order to achieve
[00:08:37.140 --> 00:08:39.180]   this task of fooling the model.
[00:08:39.180 --> 00:08:42.420]   The result is a dataset that's much more high-quality and
[00:08:42.420 --> 00:08:45.500]   has much more naturalistic examples in it.
[00:08:45.500 --> 00:08:48.740]   For validation, we did the same thing as round 1,
[00:08:48.740 --> 00:08:51.100]   and that leads to a dataset that looks like this.
[00:08:51.100 --> 00:08:54.460]   There are only 19 percent adversarial examples in this.
[00:08:54.460 --> 00:08:56.980]   I think this shows that by now in the process,
[00:08:56.980 --> 00:08:58.980]   we have a very strong sentiment model
[00:08:58.980 --> 00:09:01.060]   that is very difficult to fool.
[00:09:01.060 --> 00:09:04.340]   But 19 percent is still a substantial number numerically,
[00:09:04.340 --> 00:09:06.460]   and so we feel like we're in good shape.
[00:09:06.460 --> 00:09:09.040]   Overall, it's a somewhat smaller benchmark,
[00:09:09.040 --> 00:09:10.900]   but it has similar structure.
[00:09:10.900 --> 00:09:13.020]   We can do majority label training
[00:09:13.020 --> 00:09:15.020]   as well as distributional training,
[00:09:15.020 --> 00:09:16.820]   and we have balanced Dev and test.
[00:09:16.820 --> 00:09:20.700]   They just happen to be a little smaller than round 1.
[00:09:20.700 --> 00:09:23.980]   How does model 1 do versus humans?
[00:09:23.980 --> 00:09:26.460]   Well, again, we set things up so that model 1
[00:09:26.460 --> 00:09:28.940]   would perform that chance on our round 2 data,
[00:09:28.940 --> 00:09:30.700]   and you saw that model 1 does pretty
[00:09:30.700 --> 00:09:32.540]   well on the round 1 data.
[00:09:32.540 --> 00:09:36.100]   For humans though, this round is extremely intuitive.
[00:09:36.100 --> 00:09:37.820]   Our estimate of F_1 for humans
[00:09:37.820 --> 00:09:39.460]   is actually higher than for round 1.
[00:09:39.460 --> 00:09:41.740]   We're now at around 90 percent.
[00:09:41.740 --> 00:09:45.180]   Here, 116 of our 244 workers
[00:09:45.180 --> 00:09:47.420]   never disagreed with the majority label.
[00:09:47.420 --> 00:09:51.300]   Again, a substantial level of agreement on what
[00:09:51.300 --> 00:09:54.860]   are clearly very difficult sentiment problems.
[00:09:54.860 --> 00:09:56.780]   Just to round this out, I thought I'd show
[00:09:56.780 --> 00:09:59.860]   another sample of examples from this round.
[00:09:59.860 --> 00:10:02.220]   Again, showing model 1 predictions
[00:10:02.220 --> 00:10:05.220]   in every way that the majority label could have played out.
[00:10:05.220 --> 00:10:07.580]   I think even more than in round 1,
[00:10:07.580 --> 00:10:10.020]   what we start to see are examples that make
[00:10:10.020 --> 00:10:13.820]   extensive use of intricate syntactic structures,
[00:10:13.820 --> 00:10:17.780]   and also intricate use of non-literal language like
[00:10:17.780 --> 00:10:21.140]   metaphor and sarcasm and irony as
[00:10:21.140 --> 00:10:23.020]   techniques for coming up with examples that are
[00:10:23.020 --> 00:10:24.660]   intuitive for us as humans,
[00:10:24.660 --> 00:10:30.260]   but are routinely very challenging for even our best models.
[00:10:30.260 --> 00:10:32.260]   That is Dynascent.
[00:10:32.260 --> 00:10:33.780]   Let me use this opportunity to
[00:10:33.780 --> 00:10:36.620]   just wrap things up with a few conclusions.
[00:10:36.620 --> 00:10:39.660]   These are all meant to be open questions designed to have us
[00:10:39.660 --> 00:10:44.020]   looking ahead to the future of adversarial training and testing.
[00:10:44.020 --> 00:10:49.100]   Core question here, can adversarial training improve systems?
[00:10:49.100 --> 00:10:52.540]   I think overall, we're seeing evidence that the answer is yes,
[00:10:52.540 --> 00:10:54.060]   but there is some nuance there,
[00:10:54.060 --> 00:10:56.100]   and I think it's going to take some calibration
[00:10:56.100 --> 00:10:58.500]   to get this exactly right.
[00:10:58.500 --> 00:11:03.540]   What constitutes a fair non-IID generalization test?
[00:11:03.540 --> 00:11:06.220]   I introduced this notion of fairness when we discussed
[00:11:06.220 --> 00:11:07.900]   the analytic considerations around
[00:11:07.900 --> 00:11:09.880]   all these behavioral evaluations,
[00:11:09.880 --> 00:11:12.900]   and then this became very pressing when we talked about why
[00:11:12.900 --> 00:11:16.420]   some of the COGs and re-COGs splits are so difficult.
[00:11:16.420 --> 00:11:20.020]   The question arises whether it's even fair to be asking
[00:11:20.020 --> 00:11:22.860]   our machine learning systems to generalize in
[00:11:22.860 --> 00:11:25.140]   particular ways that might nonetheless
[00:11:25.140 --> 00:11:28.340]   seem pretty intuitive for us as humans.
[00:11:28.340 --> 00:11:31.460]   Can hard behavioral testing provide us with
[00:11:31.460 --> 00:11:33.460]   the insights we need when it comes
[00:11:33.460 --> 00:11:35.920]   to certifying systems as trustworthy?
[00:11:35.920 --> 00:11:37.540]   If so, which tests?
[00:11:37.540 --> 00:11:39.720]   If not, what should we do instead?
[00:11:39.720 --> 00:11:41.500]   I think this is a crucial question.
[00:11:41.500 --> 00:11:44.500]   I think in a way we know that the answer is no.
[00:11:44.500 --> 00:11:47.180]   No amount of behavioral testing can offer
[00:11:47.180 --> 00:11:49.520]   us the guarantees that we're seeking.
[00:11:49.520 --> 00:11:52.780]   But it is a powerful component
[00:11:52.780 --> 00:11:54.020]   in getting closer to
[00:11:54.020 --> 00:11:56.260]   deeply understanding what these systems are like,
[00:11:56.260 --> 00:11:58.460]   and certainly we can use behavioral testing to
[00:11:58.460 --> 00:12:01.120]   find cases where they definitely fall down.
[00:12:01.120 --> 00:12:04.740]   But for actual certification of safety and trustworthiness,
[00:12:04.740 --> 00:12:06.660]   I believe we will need to go deeper,
[00:12:06.660 --> 00:12:10.500]   and that is the topic of the next unit of the course.
[00:12:10.500 --> 00:12:15.560]   Fundamentally, are our best systems finding systematic solutions?
[00:12:15.560 --> 00:12:16.900]   If the answer is yes,
[00:12:16.900 --> 00:12:19.780]   we will feel as humans that we can trust them.
[00:12:19.780 --> 00:12:21.140]   If the answer is no,
[00:12:21.140 --> 00:12:23.800]   even if they seem to behave well in some scenarios,
[00:12:23.800 --> 00:12:25.760]   we might always worry that they're going to do
[00:12:25.760 --> 00:12:28.300]   things that are totally baffling to us.
[00:12:28.300 --> 00:12:32.920]   Then finally, the big juicy cognitive and philosophical question,
[00:12:32.920 --> 00:12:35.200]   where humans generalize in ways that
[00:12:35.200 --> 00:12:37.600]   are unsupported by direct experience,
[00:12:37.600 --> 00:12:40.820]   how should AI respond in terms of system design?
[00:12:40.820 --> 00:12:43.260]   What should we do in order to achieve
[00:12:43.260 --> 00:12:46.520]   these very unusual quasi-cognitive,
[00:12:46.520 --> 00:12:48.660]   quasi-behavioral learning targets?
[00:12:48.660 --> 00:12:50.900]   I don't have a way to resolve this question,
[00:12:50.900 --> 00:12:53.620]   but I think it's really pressing when we think about
[00:12:53.620 --> 00:12:58.500]   really challenging our systems to do complex things with language.
[00:12:58.500 --> 00:13:08.500]   [BLANK_AUDIO]

