
[00:00:00.000 --> 00:00:04.200]   This year's spring break in Hawaii turned into one of the most strategic and rewarding travel
[00:04:57.220 --> 00:05:03.100]   budget, maybe that's cheap. Maybe that's astronomical. But that price wasn't the full story. And I want to
[00:05:03.100 --> 00:05:08.920]   break it down because I think sometimes you could find a hotel and say, wow, that hotel is 800 bucks a
[00:05:08.920 --> 00:05:14.340]   night. That's way better than this $1,400 a night room. But when you start to peel back all the things
[00:05:14.340 --> 00:05:20.700]   that might come with that $1,400 a night room and the end cost you'll pay to stay there. In this
[00:05:20.700 --> 00:05:25.640]   particular case, I think you're going to be very, very surprised. So first we were looking at booking
[00:05:25.640 --> 00:05:30.940]   the hotel through the All The Hacks hotel upgrade program. Thanks to our partnership with Savanti,
[00:05:30.940 --> 00:05:37.860]   we're able to offer anyone access to a ton of perks and benefits and upgrades at luxury hotels,
[00:05:37.860 --> 00:05:43.300]   over 5,000 of them around the world. So if you go to hotels.allthehacks.com or find the link on the
[00:05:43.300 --> 00:05:48.400]   website, the password is perks. You can go and you can just search for any hotel. So for example,
[00:05:48.400 --> 00:05:54.200]   I'm searching right now and I see the Four Seasons Lanai. And the one thing I'll tell you as a way to
[00:05:54.200 --> 00:05:59.680]   know how to use the site is there's a list of rooms and rates for each hotel. Make sure you click the full
[00:05:59.680 --> 00:06:04.720]   description for any of those rooms. And if you're looking, it usually says refundable, breakfast
[00:06:04.720 --> 00:06:10.740]   included, and then some phrase, it could be virtuoso, cadence preferred, inspirato, like there are
[00:06:10.740 --> 00:06:15.620]   different rate codes that are our partners. And so those will dictate what benefits you get.
[00:06:15.620 --> 00:06:22.200]   But usually the benefits are upgrade, early, late check-in, early check-in, late checkout. Most of
[00:06:22.200 --> 00:06:26.140]   those are subject to availability, but sometimes for the right stay at the right dollar amount,
[00:06:26.140 --> 00:06:31.060]   you can confirm them in advance. But it almost always also includes free breakfast and a property
[00:06:31.060 --> 00:06:35.500]   credit. And as you're scrolling through, you can see what it includes. It'll say free breakfast,
[00:06:35.500 --> 00:06:43.380]   one spa credit available at this spa, or it'll say early check-in or $100 property credit or anything
[00:06:43.380 --> 00:06:51.200]   like that. So in addition to all of that, because of the relationship a lot of travel agencies have,
[00:06:51.200 --> 00:06:56.660]   you even get usually an even higher upgrade likelihood than booking through something like
[00:06:56.660 --> 00:07:02.480]   Amex, fine hotels and resorts. So for the Four Seasons Lanai, you know, it said upgrade was going to be a
[00:07:02.480 --> 00:07:08.060]   thing. And when you look through the description of the room type, it also said you're going to get
[00:07:08.060 --> 00:07:14.700]   free continental breakfast for two guests, category upgrade spa credit. Now, sometimes if you look at
[00:07:14.700 --> 00:07:19.440]   these rates, they say virtuoso, which is a travel conglomerate, you know, collection of hotels, you can
[00:07:19.440 --> 00:07:25.660]   go to the virtuoso site and get even more details. The virtuoso site said daily breakfast, $45 per person,
[00:07:25.740 --> 00:07:31.760]   up to two guests, $100 resort credit can be used anything, anywhere, and early check-in, late
[00:07:31.760 --> 00:07:37.400]   checkout, and an upgrade. There was also another rate for Cadence, which is another travel group,
[00:07:37.400 --> 00:07:43.640]   and it said daily breakfast for two, hotel credit, upgrade, free transportation, and then $100 credit.
[00:07:43.640 --> 00:07:47.700]   So it's basically the same thing. So if you could book either one, it doesn't really matter which one
[00:07:47.700 --> 00:07:52.720]   you book. Rates are usually cancelable. So we ended up booking this, reached out to the hotel,
[00:07:52.720 --> 00:07:58.680]   asked them about the upgrade. Sometimes you can do this in advance, and they will confirm your upgrade
[00:07:58.680 --> 00:08:03.020]   if there's enough availability. Maybe they'll wait till you check in. But definitely, if you're doing
[00:08:03.020 --> 00:08:08.160]   a booking here, and the value of the booking across your stay is in the, let's call it thousands of
[00:08:08.160 --> 00:08:14.100]   dollars for the stay, then reach out to us. And we'll try to do what we can to see if we can help you
[00:08:14.100 --> 00:08:21.580]   secure an upgrade in advance. One trick here is the upgrade is often, you know, one, maybe two
[00:08:21.580 --> 00:08:27.320]   categories. So if you book the cheapest possible room, you might go from garden view to ocean view.
[00:08:27.320 --> 00:08:32.560]   But if you were to book, you know, the oceanfront room, the only real thing above that might be a
[00:08:32.560 --> 00:08:37.700]   suite. And so a one category upgrade could be really, really lucrative. We ended up getting upgraded from
[00:08:37.700 --> 00:08:42.640]   a garden view to an ocean view, which was a huge jump, right? That $1,400 room, if we had booked an
[00:08:42.640 --> 00:08:46.440]   ocean view was $2,300. We knew we were going to get at least a partial ocean view in advance. And
[00:08:46.440 --> 00:08:49.660]   then we found out, you know, when we checked in that we got an ocean view might have even been
[00:08:49.660 --> 00:08:54.200]   actually, I think it was an oceanfront. I'm not sure because they didn't say oceanfront, but the
[00:08:54.200 --> 00:08:58.280]   ocean was right there. But that's just one of the things that you can layer on to make this a better
[00:08:58.280 --> 00:09:02.840]   deal. The rest of them come with the specific property. And you have to look at the website of
[00:09:02.840 --> 00:09:08.640]   the hotel to know this. But if you look at the Four Seasons Lanai website, you'll see that until
[00:09:08.640 --> 00:09:16.000]   December 31st, 2026, all of the room bookings also include round trip flights from Honolulu
[00:09:16.000 --> 00:09:21.220]   to Lanai. And that's on a public airline that really feels a lot more like a private airline
[00:09:21.220 --> 00:09:26.200]   called Lanai Air. They have two different planes. I think one of them has six or eight passengers.
[00:09:26.200 --> 00:09:32.100]   One of them has more like 20. And it's a true VIP experience. And those flights are all included.
[00:09:32.440 --> 00:09:37.420]   So I'll talk about the review of everything and that experience. But that was part of the stay.
[00:09:37.420 --> 00:09:43.340]   Then there's a bunch of packages on the Four Seasons website if you click offers. And one of them was the
[00:09:43.340 --> 00:09:49.440]   Discover Lanai package. And so it's basically good from, I think it's the rest of this year and all of next
[00:09:49.440 --> 00:09:54.780]   year except Christmas and New Year's. If you book a three-night minimum, you get an additional $200 a day
[00:09:54.780 --> 00:10:01.900]   credit or $400 a day if you're in a suite. So there's that credit. And then last, right now,
[00:10:01.900 --> 00:10:06.600]   one of the restaurants is closed. And they're doing a little bit of construction at the front of the
[00:10:06.600 --> 00:10:13.040]   hotel. Honestly, I'd be surprised if you even really noticed it audibly. You know, it's visually you can
[00:10:13.040 --> 00:10:18.600]   see the entryway to the hotel outside as being redone, but it affected our stay in zero possible
[00:10:18.600 --> 00:10:26.000]   way. But until August 31st, 2025, they say to thank our guests for their understanding. Each guest will
[00:10:26.000 --> 00:10:30.640]   get a complimentary daily activity to enjoy the island. That includes horseback riding, hiking,
[00:10:30.640 --> 00:10:36.800]   target sports, aerial experiences at the adventure park. And they also have a separate restaurant they're
[00:10:36.800 --> 00:10:41.400]   setting up where Malibu Farm, which is normally just lunch, is also doing dinner. So if you tally
[00:10:41.400 --> 00:10:47.280]   everything up, we ended up getting free breakfast for two people every day, which was $132 credit that we
[00:10:47.280 --> 00:10:53.620]   could use. We got inner island flights that I would value at about $100 a person. Plus, we got $200 a day
[00:10:53.620 --> 00:10:59.860]   credit. Plus, we got $100 per stay credit from the All the Hacks Upgrade program. We got the upgrade,
[00:10:59.860 --> 00:11:05.060]   which I'm not even going to include in this value. Plus, we got a free activity every day. So my daughter
[00:11:05.060 --> 00:11:09.300]   got to go horseback riding one day. And then we went to the adventure park, which is kind of like a ropes
[00:11:09.300 --> 00:11:17.220]   course one day. So when I added up all of those extras, the total price of the room was
[00:11:17.220 --> 00:11:23.560]   a lot less. So all those extras divided by the number of nights was about $700 a night, which means
[00:11:23.560 --> 00:11:31.700]   that our $1,400 a night room included $700 a night of benefits. Now, maybe you don't value all these
[00:11:31.700 --> 00:11:35.940]   benefits the same way we did. But we certainly spent all the credits, we would have done a few
[00:11:35.940 --> 00:11:41.760]   activities, we would have had to fly to the island, and we did our best to eat massive breakfasts. Though I
[00:11:41.760 --> 00:11:46.380]   will say, kids breakfasts were also included, and the kids could order whatever they want. I'm not even
[00:11:46.380 --> 00:11:51.240]   including that. So when you factor all that in, if it's really only $700 a night room, is that
[00:11:51.240 --> 00:11:59.240]   expensive? Yes. But is it a lot less expensive than $1,400? Also, yes. And so I thought overall,
[00:11:59.240 --> 00:12:06.020]   it was an amazing deal. We booked it. And I will get to the review of it in a couple minutes. But
[00:12:06.020 --> 00:12:12.580]   preview, it was amazing. So once we booked our flights, we had three nights in Lanai, then we had,
[00:12:12.780 --> 00:12:17.840]   we reduced the stay at the Montage to four nights. And then we were just going to take the ferry between
[00:12:17.840 --> 00:12:23.640]   the two. So, you know, we could fly from Honolulu to Lanai, take a short ferry, and then fly back home
[00:12:23.640 --> 00:12:28.780]   from the island of Maui. So now we kind of had the infrastructure of where now we had to get there.
[00:12:28.780 --> 00:12:34.840]   Now, flights seemed a little daunting at first, because it's spring break, we looked at the dates,
[00:12:35.120 --> 00:12:41.560]   and it was pretty expensive, right? Each way to Hawaii, whether we were flying to Honolulu or Maui
[00:12:41.560 --> 00:12:48.140]   was like five, six, as much as seven or $800 for direct flights, which was not ideal. And certainly
[00:12:48.140 --> 00:12:53.400]   not something when you're booking four seats that you're really excited about. So I looked at using
[00:12:53.400 --> 00:12:57.820]   points and miles, as I always do. And it turns out that some of those flights that were five,
[00:12:57.900 --> 00:13:05.640]   $600, I could book on Hawaiian Air using Alaska points for just 26,500 points. So, you know,
[00:13:05.640 --> 00:13:11.780]   let's call that ballpark, you know, $300 of value, way, way better deal. So found that and book that
[00:13:11.780 --> 00:13:17.980]   on the outbound. On the return, it was a little less easy. We did find that same price, 26,500 miles
[00:13:17.980 --> 00:13:24.940]   for flights that were normally $600 or $700. But it was only one stop. So we couldn't fly direct from
[00:13:24.940 --> 00:13:31.600]   Maui to the Bay Area on any carrier on the day we wanted, even if we stayed an extra day without
[00:13:31.600 --> 00:13:37.140]   spending $700 or $800. So that was off the table. So we looked, we said, okay, we could spend 26,500
[00:13:37.140 --> 00:13:43.060]   miles per person, fly through Honolulu, not the end of the world. But when I was doing this searching
[00:13:43.060 --> 00:13:49.340]   just for fun, and I don't know what made me think about it, I looked at searching from Honolulu home
[00:13:49.340 --> 00:13:54.420]   on the off chance that maybe there was an inter-island flight that was really cheap and we could get direct
[00:13:54.420 --> 00:13:59.200]   home cheaper. And it turns out there were four business class flights on that same Hawaiian air
[00:13:59.200 --> 00:14:05.180]   flight going home. But when I searched for Maui, there were only two. Now, this sometimes happens.
[00:14:05.180 --> 00:14:11.560]   It turns out the flights inter-island from Maui to Honolulu only have two seats for business class
[00:14:11.560 --> 00:14:19.220]   award space. But the larger flight from Honolulu back to Oakland had four seats in business that
[00:14:19.220 --> 00:14:26.240]   you could book with points. So we ended up booking two flights, one on the like, let's call it the
[00:14:26.240 --> 00:14:33.080]   9am flight from Maui to Honolulu and one on the 945. So my wife and I were going to split with one kid
[00:14:33.080 --> 00:14:38.440]   each, fly to Honolulu separately. And then on the way from Honolulu back to the Bay Area, we'd all be
[00:14:38.440 --> 00:14:42.600]   together. So that was the way we were able to get four business class seats for 40,000 points each.
[00:14:42.600 --> 00:14:48.360]   And the limiting factor was just flying from Maui to Honolulu. Now on some airlines, you can just call
[00:14:48.360 --> 00:14:53.900]   and you could say, hey, could you just book us an economy for this leg? And no problem. But in this
[00:14:53.900 --> 00:14:59.380]   particular case, we couldn't do that. Hawaiian and Alaska, whatever way their systems work, they didn't
[00:14:59.380 --> 00:15:04.760]   allow that kind of mixed award booking. And so we had to book it separately. But if you find this scenario
[00:15:04.760 --> 00:15:10.200]   on other airlines, it is often possible to call them or even sometimes use the multi-city search
[00:15:10.200 --> 00:15:14.760]   and book a economy first leg connecting to a business class second leg.
[00:15:14.760 --> 00:15:20.500]   This episode is brought to you by Gelt. Now, when it comes to building wealth, taxes are such a big part
[00:15:20.500 --> 00:15:26.840]   of the strategy. And as tax time gets closer, getting prepared now is so important. And now that I'm working
[00:15:26.840 --> 00:15:31.880]   with Gelt, I finally feel like I have a partner I can trust to handle everything for my personal and
[00:15:31.880 --> 00:15:37.320]   business taxes. You can think of Gelt as the ultimate modern CPA. Of course, they have an in-house team
[00:15:37.320 --> 00:15:41.960]   of expert CPAs to work with, who can help you determine the most effective tax strategies to
[00:15:41.960 --> 00:15:47.320]   minimize risk and grow your wealth. But they also have an amazing tech platform that gives you
[00:15:47.320 --> 00:15:52.760]   personalized guidance to maximize deductions, tax credits, and savings. Beyond that, the tax library
[00:15:52.760 --> 00:15:58.360]   you get access to as a client has dozens of in-depth guides on things like choosing retirement plans,
[00:15:58.360 --> 00:16:04.920]   taxes for parents, qualified business income or QBI, and much more. So if you're ready for a more premium,
[00:16:04.920 --> 00:16:12.040]   proactive tax strategy to optimize and file your taxes, definitely check out Gelt. And as a viewer,
[00:16:12.040 --> 00:16:17.560]   you can skip the waitlist, just head to chrishutchins.com/Gelt, G-E-L-T. Again,
[00:16:17.560 --> 00:16:23.960]   that's chrishutchins.com/Gelt, or find the link in the description to stop overpaying on taxes.
[00:16:23.960 --> 00:16:29.560]   This episode is brought to you by Trust and Will. It is so easy to overcomplicate simple tasks. Believe
[00:16:29.560 --> 00:16:35.320]   me, I know, I love doing so much research, but some things don't always need to be so overcomplicated,
[00:16:35.320 --> 00:16:40.440]   they end up getting put off forever, like creating a will or trust. So check out Trust and Will,
[00:16:40.440 --> 00:16:45.400]   because they make estate planning straightforward and so simple you can do it from your couch.
[00:16:45.400 --> 00:16:50.840]   Their platform is attorney designed, specific to each state, and most important, customized by you
[00:16:50.840 --> 00:16:56.040]   at every step. I can tell you firsthand how great Trust and Will is because we actually used it to
[00:16:56.040 --> 00:17:00.920]   set up our estate plan years ago, long before they were a sponsor, because it was quick, easy,
[00:17:00.920 --> 00:17:06.360]   and way less intimidating than it seems. In a few guided steps, we had a solid plan in place to protect
[00:17:06.360 --> 00:17:11.320]   our family, and we were able to customize it to match all our nuanced preferences about what happens
[00:17:11.320 --> 00:17:16.520]   to our savings, who's going to be the guardian for our kids, and so much more. I can't tell you how
[00:17:16.520 --> 00:17:21.800]   much peace of mind we have knowing that we got all of this taken care of, and it was so easy to update
[00:17:21.800 --> 00:17:28.360]   online after we had our second child. So let Trust and Will uncomplicate the process for you. Protect what
[00:17:28.360 --> 00:17:35.880]   matters most in minutes at allthehacks.com/trustandwill, and get 10% off plus free shipping.
[00:17:35.880 --> 00:17:40.840]   That's 10% off and free shipping at allthehacks.com/trustandwill.
[00:17:40.840 --> 00:17:45.800]   Now to get all these points, I had maybe 50,000 Alaska points, and Alaska is only a transfer
[00:17:45.800 --> 00:17:51.560]   partner of Bilt, so there weren't a ton of options. But right now, you can transfer from Amex to Hawaiian,
[00:17:51.560 --> 00:17:55.960]   and Alaska and Hawaiian are in the middle of a merger, which is why a lot of this availability exists,
[00:17:55.960 --> 00:18:00.040]   and you can transfer from Hawaiian to Alaska. So for the time being, and I'll cover that in a couple
[00:18:00.040 --> 00:18:05.720]   minutes, going from Amex to Alaska is possible. Now, unfortunately, you know, we have two young kids,
[00:18:05.720 --> 00:18:11.240]   we try to do bedtime in the, you know, 7:30 range. That flight arrived in Oakland at 8:30,
[00:18:11.240 --> 00:18:16.360]   and there were no other good options to get home earlier, except for these direct flights that were
[00:18:16.360 --> 00:18:22.840]   eight or $900 from Maui straight to the Bay Area. However, we did try a backup tactic. We booked a
[00:18:22.840 --> 00:18:31.400]   separate flight using Southwest points for 26,000 points from Maui through Honolulu back to San Francisco,
[00:18:31.400 --> 00:18:34.600]   but we would have much preferred to take one of those direct flights. But like I mentioned,
[00:18:34.600 --> 00:18:40.440]   they were $800. However, I did have one idea, and that's based on the same day change rules of
[00:18:40.440 --> 00:18:46.120]   Southwest. So Southwest had plenty of seats on the direct Maui to Oakland flight, and we would love
[00:18:46.120 --> 00:18:51.000]   to have taken it, but at $800, it just didn't seem worth it. I'd rather fly through Honolulu in business
[00:18:51.000 --> 00:18:58.760]   class for 40,000 points than pay $800 to fly direct. However, there was a Southwest flight from Maui through
[00:18:58.760 --> 00:19:06.120]   Honolulu back to Oakland with terrible times and layovers, but it was only 26,000 Southwest points.
[00:19:06.120 --> 00:19:12.600]   So I booked us on that with the goal of checking at midnight on the day of departure whether that
[00:19:12.600 --> 00:19:18.840]   space was still available on the direct flight. And if so, Southwest allows you, if you have the right
[00:19:18.840 --> 00:19:23.800]   fare class, to transfer to another flight on the same day between the same two airports.
[00:19:23.800 --> 00:19:30.680]   So going into the trip, we had a plan of direct flight to Honolulu, change to Lanai Air, take
[00:19:30.680 --> 00:19:35.080]   a ferry over, and then coming home, we had two options. We could either fly business through
[00:19:35.080 --> 00:19:39.320]   Honolulu, or maybe we would get lucky and we'd be able to change it to direct. And so that was the
[00:19:39.320 --> 00:19:44.280]   plan going in. So let's talk about the experience. About three, four, five days, I can't remember
[00:19:44.280 --> 00:19:50.200]   exactly before, I got an email from Hawaiian that said, "Hey, do you want to bid on an upgrade from the
[00:19:50.200 --> 00:19:54.520]   Bay Area over to Hawaii?" And I thought, "Oh, I wonder how much do you have to bid, right? Like
[00:19:54.520 --> 00:19:58.520]   there's some price at which I'd pay for that upgrade." And I looked in, and there was no way
[00:19:58.520 --> 00:20:03.560]   to bid any less than $325. And I thought, "Gosh, if they're looking for us to bid, there must be a lot
[00:20:03.560 --> 00:20:08.920]   of seats." And I looked, and there were four seats available in business. So I went on and said, "Were
[00:20:08.920 --> 00:20:15.640]   there available in miles?" And two of them were. So it was a bit of a dice roll here, because you never
[00:20:15.640 --> 00:20:21.960]   know what will happen. So I thought, "What if I book two of those seats in business and hope that those
[00:20:21.960 --> 00:20:27.720]   other two seats show up and I can book them before the day of departure?" Because at the end of the day,
[00:20:27.720 --> 00:20:35.080]   the difference between 26,500 points and 40,000 points was way less than paying $325 for an upgrade.
[00:20:35.080 --> 00:20:41.000]   We didn't really need the upgrade. And normally we don't like to separate on the flight. However,
[00:20:41.000 --> 00:20:46.040]   we did have our youngest, and we did have a hypothesis that she might nap better on a lie
[00:20:46.040 --> 00:20:52.760]   flat in business. And I personally had never flown Hawaiian in business. So I thought, "Get to experience
[00:20:52.760 --> 00:21:01.640]   it. Daughter might get some sleep. Only an extra 13,500 miles a person for two of us." So unfortunately,
[00:21:01.640 --> 00:21:07.880]   those other two seats never did open up. So it was just me and one daughter. I did offer my wife to take
[00:21:07.880 --> 00:21:13.400]   it. But she said, "I would rather you take our youngest and deal with her trying to nap on the
[00:21:13.400 --> 00:21:18.840]   plane. And I'll stay back here with our other daughter." So I'll speak to the business class
[00:21:18.840 --> 00:21:23.720]   experience. But you know, wife said the coach experience was also great. So business class,
[00:21:23.720 --> 00:21:29.080]   great food. I wouldn't say it was anything to write home about, but good options. There were
[00:21:29.080 --> 00:21:34.120]   not a lot of amenities for a, what was a daytime flight. You know, I didn't lie down to go to sleep.
[00:21:34.120 --> 00:21:38.120]   But I did notice that in coach, they were serving actual meals. You get a full, I think it was a
[00:21:38.120 --> 00:21:43.640]   breakfast sandwich. So that was nice. I feel like a lot of times, you know, if we were on the Southwest
[00:21:43.640 --> 00:21:49.000]   flight, we might've gotten a few snacks, but we wouldn't have gotten a real, real kind of meal sized
[00:21:49.000 --> 00:21:56.120]   thing. So that was great. But the real highlight of the entire flight was Starlink. This was my first
[00:21:56.120 --> 00:22:04.840]   flight on an airline that has Starlink. And I cannot explain how incredible it is. It seems so
[00:22:04.840 --> 00:22:11.720]   unnecessary and not that exciting to have Starlink on a plane, right? Like it doesn't seem like it would
[00:22:11.720 --> 00:22:18.200]   change your experience, but it literally just felt like you could actually work as if you were at home,
[00:22:18.200 --> 00:22:24.840]   work as if you were in a high speed internet anywhere. And I was so productive. And about a week before,
[00:22:24.840 --> 00:22:29.560]   a friend of mine told me he actually opted to change planes on the way home from Hawaii,
[00:22:29.560 --> 00:22:34.760]   so he could have Starlink. And at the time I was like, that's crazy. I would fly direct over changing
[00:22:34.760 --> 00:22:41.080]   planes every day of the week. And now I'm like, if I had no children with me, I would definitely
[00:22:41.080 --> 00:22:47.400]   consider changing planes for a long flight for the quality of the productive work I would get done.
[00:22:47.400 --> 00:22:53.320]   With kids, I think it's a different story. But I'm just, I'm so excited for the day when Starlink is on
[00:22:53.320 --> 00:22:57.320]   all the planes. I know United's announced it's coming. It's going to be incredible.
[00:22:57.880 --> 00:23:05.800]   So land in Honolulu. Right as we land, we got a text from Lanai Air from someone saying, we're ready
[00:23:05.800 --> 00:23:10.840]   to meet you by baggage claim. We're ready to help you move your bags over to a private car. We got
[00:23:10.840 --> 00:23:16.600]   in a town car. It was actually a suburban, drove us over to the private terminal and waited for maybe
[00:23:16.600 --> 00:23:22.360]   one hour. We actually landed early and our Lanai Air flight was about two hours later and they were
[00:23:22.360 --> 00:23:27.800]   able to move us to get on an earlier flight an hour earlier. And it really does feel like you're flying
[00:23:27.800 --> 00:23:33.960]   private. I will say, unfortunately, they have these six passenger planes that look like they are truly
[00:23:33.960 --> 00:23:38.600]   private that I thought would have been a fun experience. But would I rather have gotten to the
[00:23:38.600 --> 00:23:43.800]   hotel earlier and gotten on the 19 passenger, I think, flight that was leaving earlier? Yes.
[00:23:44.680 --> 00:23:49.640]   And so the only thing that felt a little less private like was the fact that it was a larger
[00:23:49.640 --> 00:23:55.000]   plane with more people. But you know, you get to the plane riding on a golf cart out to the tarmac.
[00:23:55.000 --> 00:24:02.440]   It just was such a amazing experience to be included in the cost of your hotel room. So really, really
[00:24:02.440 --> 00:24:08.840]   awesome. Obviously, no real service on the flight. It wasn't very long. I think, you know, maybe 30
[00:24:08.840 --> 00:24:16.760]   minutes landed, got picked up by the hotel and and headed off to the resort. For anyone not familiar,
[00:24:16.760 --> 00:24:24.120]   Lanai is a very interesting island. It's about 140 square miles, about three or 4,000 people. But the
[00:24:24.120 --> 00:24:30.200]   most interesting thing is that it is almost entirely owned by Larry Ellison, who founded Oracle. He owns
[00:24:30.200 --> 00:24:35.880]   about 98% of the island. It used to be a pineapple plantation, almost the entire island. And the family or
