
[00:00:00.040 --> 00:00:09.740]  张 but
[00:11:30.140 --> 00:11:46.220]  , hahã, ou� thin. And, see. ultimate. asp. not. canvas. men. provide.'t. won.oya. anh. turned. cabin. muit aston. el
[00:11:46.220 --> 00:11:47.940]   Good.
[00:11:48.120 --> 00:11:56.620]  's
[00:11:56.620 --> 00:12:17.540]   just to work
[00:12:17.540 --> 00:12:17.700]   dull, change, I am, Educ,,,,,,,,,,,,. elacht 네과�工作لي capsule Theresaüt down можно ST A ND C調 A C L tämä determin And Har S accept the Shill A classified will as pay and các small lit the people's just Makest the co "G, and which is the con culture is a pers' and, and, and, and, and, and, or, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, g, and, and, and, and, and, and, ac, seventh, zijn, and, and,enn, and, beyond, frustration, من,Ste, heard the, unwilling Maar, power. Sal,TC, divorce. You're,
[00:12:17.880 --> 00:12:28.160]   it
[00:12:28.160 --> 00:12:32.200]  nym,,, at the set is not
[00:12:32.200 --> 00:12:47.860]   " " . .x they're school varies go leave the務 you 25 as Vivin another heated школ
[00:12:47.900 --> 00:13:16.120]   because
[00:13:16.120 --> 00:13:16.420]   continueнихren, ., -, - but foricon conduct our. I'm a Pilch. I'm a P. I'm a P. I'm a but, and, and, and,,,,,,,,,,,,,,,,,,,,, contains often Eddie ApTwaces ordin什bl Bat ngh wrists out French nível AI summers folk wonder dunno nhân tracking at the money back pick the pie charm that'soss the end of the ent по psychiatric bueno Par ideally the kole but I'm the不同 the pick the puff dough the sweet Hier Cadill XHI's the llama the succeed the TVCJI's the XenciY. Net the WizCJI's the hacks the ShGD the P Individual rounds the X
[00:13:16.480 --> 00:13:26.760]   '
[00:13:26.760 --> 00:13:45.300]   of r
[00:14:43.240 --> 00:15:12.120]   didnt
[00:15:12.160 --> 00:15:23.300]   all
[00:15:23.300 --> 00:15:39.880]  נ so dedicated cute is a beautiful Ew N� dieser Recovery be .G, and, and, and, and, the, and, and, and, and, and, saw the,. I'd, met the, my, and, Francisco開. behöver ha'd. gas. confirm the top. cai. Z. nouveaux about the E. ed. of the amer's not.
[00:15:39.880 --> 00:15:40.880]   akkor использ the
[00:15:41.800 --> 00:15:47.760]   sparkle視 in,,,
[00:15:47.760 --> 00:15:51.500]   depend a is that is
[00:15:51.500 --> 00:16:11.620]  �
[00:17:11.820 --> 00:17:11.820]   ...
[00:17:11.860 --> 00:17:21.620]   earned
[00:17:21.620 --> 00:17:22.880]  , at the,,, Ye De Good provide
[00:19:26.500 --> 00:19:52.160]  berger me no longer. I do not want to live within them and live beyond them. Rather, I indulge them and live beyond my means. So by developing discipline and living within means and below them or even far below, the impact of harm and problems like your truck getting messed up or your house burning down, those things can be of much less impact.
[00:19:52.160 --> 00:19:53.000]   So live within and preferably below them.
[00:20:19.240 --> 00:20:19.540]   Bowl, your means. Who is ironic because on Saturday evening, which was the time at which my truck was being stolen, my wife and I were talking about some other RVers that we knew and we were admiring their very beautiful RVs that they had bought for their family. Now I don't know anything about their financial situation.
[00:20:19.540 --> 00:20:19.540]   So live within and preferably below your means. So live within and preferably below your means. Who is ironic because on Saturday evening, which was the time at which my truck was being stolen, my wife and I were talking about some other RVers that we knew and we were admiring their very beautiful RV that they had bought for their family. Now I don't know anything about their financial situation.
[00:20:19.540 --> 00:20:48.080]  , I know nothing. So I'm merely speculating. But I'm aware of enough clues due to experience as a financial planner to think that they probably are not multimillionaires at this point in time.
[00:20:48.080 --> 00:20:49.080]   But I'm aware of enough clues due to experience as a financial planner to think that they probably are not multimillionaires at this point in time.
[00:20:49.080 --> 00:20:49.580]   And they were looking in, bought a beautiful RV and I just thought to myself, they were going full time on the road. And I thought that would be so stressful.
[00:20:49.600 --> 00:20:51.620]   So stressful to make big decisions, to buy big fancy things when you haven't tested it.
[00:20:51.620 --> 00:20:52.620]   So stressful to make big decisions, to buy big fancy things when you haven't tested it.
[00:20:52.620 --> 00:20:54.620]   Maybe a year from now, two years from now, I doubt I'll still be RVing, but if I am, maybe I'll buy a big fancy beautiful rig.
[00:20:54.620 --> 00:20:55.620]   Maybe a year from now, two years from now, I doubt I'll still be RVing, but if I am, maybe I'll buy a big fancy beautiful rig.
[00:20:55.620 --> 00:20:56.620]   But I'm not going to make big financial commitments when I have little actual knowledge.
[00:20:56.620 --> 00:21:11.620]   But I'm not going to make big financial commitments when I have little actual knowledge.
[00:21:11.620 --> 00:21:13.620]   And I'm not going to make big financial commitments that would impact other aspects of my money, of my wealth.
[00:21:13.620 --> 00:21:14.620]   And I'm not going to make big financial commitments that would impact other aspects of my money, of my wealth.
[00:21:14.640 --> 00:21:41.660]   So by restricting yourself to lower cost, more frugal options, you buy freedom.
[00:21:41.660 --> 00:21:43.660]   Remember, if you look at people and you study the psychology and the behavior of why certain people behave as they do,
[00:21:43.660 --> 00:21:44.660]   The people who drive a cheaper car, the people who drive a cheaper car,
[00:21:44.660 --> 00:21:44.660]   The people who drive a cheaper car, the people who drive a cheaper car,
[00:21:44.660 --> 00:21:44.660]   The people who drive a cheaper car, the people who drive a cheaper car,
[00:21:44.660 --> 00:21:44.660]   Remember, if you look at people and you study the psychology and the behavior of why certain people behave as they do,
[00:21:44.700 --> 00:22:06.700]   and also have money, because many people drive cheap cars because that's all they have, but somebody who drives a cheaper car and has money, they don't do it because they don't like the fancier car.
[00:22:06.700 --> 00:22:07.700]   They do it because they like something else more than they like the fancier car.
[00:22:07.700 --> 00:22:08.700]   They do it because they like something else more than they like the fancier car.
[00:22:08.700 --> 00:22:09.700]   In my case, that's freedom and independence.
[00:22:09.700 --> 00:22:10.700]   In my case, that's freedom and independence.
[00:22:10.700 --> 00:22:11.700]   So I'd rather have a not very fancy truck.
[00:22:11.700 --> 00:22:12.700]   So I'd rather have a not very fancy truck.
[00:22:12.700 --> 00:22:13.700]   So I'd rather have a not very fancy truck.
[00:22:13.700 --> 00:22:14.700]   So I'd rather have a not very fancy truck.
[00:22:14.700 --> 00:22:14.700]  , and I'd rather have a not very fancy truck.
[00:22:14.700 --> 00:22:14.700]   I'd rather have a not very fancy truck.
[00:22:14.720 --> 00:22:22.740]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:22.740 --> 00:22:23.740]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:23.740 --> 00:22:24.740]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:24.740 --> 00:22:26.740]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:26.740 --> 00:22:27.740]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:27.740 --> 00:22:28.740]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:28.740 --> 00:22:29.740]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:29.740 --> 00:22:30.740]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:30.740 --> 00:22:31.740]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:31.740 --> 00:22:32.740]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:32.760 --> 00:22:52.780]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:52.780 --> 00:22:53.780]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:53.780 --> 00:22:54.780]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:54.780 --> 00:22:55.780]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:55.780 --> 00:22:56.780]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:56.780 --> 00:22:57.780]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:57.780 --> 00:22:58.780]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:58.780 --> 00:22:59.780]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:22:59.780 --> 00:23:00.780]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:00.780 --> 00:23:01.780]   because what that means to me is more independence now and 30 years from now.
[00:23:02.320 --> 00:23:31.820]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:31.820 --> 00:23:31.820]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:31.820 --> 00:23:31.820]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:31.820 --> 00:23:31.820]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:31.820 --> 00:23:31.820]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:31.820 --> 00:23:31.820]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:31.840 --> 00:23:39.860]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:39.860 --> 00:23:41.860]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:41.860 --> 00:23:43.860]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:43.860 --> 00:23:45.860]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:45.860 --> 00:23:47.860]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:47.860 --> 00:23:49.860]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:49.860 --> 00:23:51.860]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:51.860 --> 00:23:53.860]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:53.860 --> 00:23:55.860]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:55.860 --> 00:23:56.860]   because what that means to me is more freedom, more independence now and 30 years from now.
[00:23:57.400 --> 00:24:23.900]  , because what that means to me is more freedom, more independence now and 30 years from now.
[00:24:23.900 --> 00:24:25.900]  , because what that means to me is more freedom, more independence now and 30 years from now.
[00:24:25.900 --> 00:24:26.900]  , because what that means to me is more freedom, more independence now and 30 years from now.
[00:24:26.900 --> 00:24:26.900]   It's not unusual to find somebody who lives in a $250,000 house whose total net wealth is tied up in that house. That's very normal. It's also very broke. So keep the stuff. Don't diversify your money. Don't let all your money be tied up in a single thing. That way if your truck is stolen or your house burns down or your vacation cottage is ransacked or whatever,
[00:24:26.920 --> 00:24:28.940]   whatever the case is, it's not a wipeout blow. Keep it low. Don't allow yourself to have all your money tied up in one thing that can be destroyed. Live within your means, preferably well below your means.
[00:24:28.940 --> 00:24:42.940]   It's not a wipeout blow. Keep it low. Don't allow yourself to have all your money tied up in one thing that can be destroyed. Live within your means, preferably well below your means.
[00:24:42.940 --> 00:24:46.940]   The only reason I would hedge here is there are people who, for example, using the RV example because that's the stage I'm at.
[00:24:46.940 --> 00:24:50.940]   The only reason I would hedge here is there are people who, for example, using the RV example because that's the stage I'm at.
[00:24:50.940 --> 00:24:52.940]   There are people who are looking and saying, "I don't have a lot of money, but I'm going to trade in my rent for this $250,000 house."
[00:24:52.940 --> 00:25:20.980]  , "I don't have a lot of money, but I'm going to trade in my rent for this $250,000 house."
[00:25:20.980 --> 00:25:22.980]   I understand that, but it's still a dangerous place to be and you should work as quickly as possible to make sure that that motorhome is only a small portion of your total wealth.
[00:25:22.980 --> 00:25:22.980]   It's still a dangerous place to be and you should work as quickly as possible to make sure that that motorhome is only a small portion of your total wealth.
[00:25:22.980 --> 00:25:22.980]   It's still a dangerous place to be and you should work as quickly as possible to make sure that that motorhome is only a small portion of your total wealth.
[00:25:22.980 --> 00:25:22.980]   It's still a dangerous place to be and you should work as quickly as possible to make sure that motorhome is only a small portion of your total wealth.
[00:25:23.020 --> 00:25:33.360]   ,
[00:25:33.360 --> 00:25:33.800]  피, the, there, quotation, sh windows is a good and week
[00:25:33.800 --> 00:25:53.000]  down
[00:26:53.040 --> 00:26:53.040]   and
