
[00:00:00.040 --> 00:00:09.300]   TED
[00:10:17.460 --> 00:10:17.460]   a lot of these systems and they're not really using a lot of these systems and they're not really using a lot of these systems and they're not really using a lot of these systems and they're not really using a lot of these systems and they're not really using a lot of these systems and they're not really using a lot of these systems and they're not really using a lot
[00:10:17.480 --> 00:10:47.480]   systems and they're not really using a lot of these systems and they're not really using a lot of these systems and they're not really using a lot of these systems and they're not really using a lot of these systems and they're not really using a lot of these systems and they're not really using a lot of these systems and they're not really using a lot
[00:10:47.520 --> 00:10:58.660]   with
[00:10:58.660 --> 00:11:16.300]  ру I encourage in, and, and,,,,,,, even 100 стало Перв particle risks Gold Its more�直 wall 민 got it is a reason windows a Pot聽 another find, I'm, and, and, over, .,อ, encountered, ., ., .,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,, is a ,len wasting my but get the bar's in Hoe I'm yuard 5 Yep and wellomina
[00:11:16.420 --> 00:11:26.820]   didnt get it I'm yuard 5 Yes, I think something about the usability and the ecosystem makes the thing viral and it grows and it's a virtuous cycle.
[00:11:26.820 --> 00:11:45.280]   Well, there's many things that went into that, like I said, I think that ML was very good for Python, and so I think that Ken Sloan, PyTorch and these systems embracing Python really took and helped Python grow. But I think that the major thing underlying it is that Python is like the universal connector. Right? It really helps bring together lots of different systems so you can complete different systems and you can do the same thing over and over again.
[00:11:45.280 --> 00:11:45.280]   Well, I think it's a virtuous cycle.
[00:11:45.320 --> 00:11:56.360]   hear
[00:13:40.760 --> 00:13:51.040]   out
[00:13:51.040 --> 00:13:57.700]   I the was 12
[00:14:09.700 --> 00:14:35.640]   right.
[00:14:35.640 --> 00:14:38.640]   So you don't you know, it's actually really nice to not have to fight it.
[00:14:38.640 --> 00:14:38.640]   It's actually really nice to not have to fight it.
[00:14:38.640 --> 00:14:38.640]   Right.
[00:14:38.640 --> 00:14:38.640]   Right.
[00:14:38.640 --> 00:14:38.640]   Right. And so you don't you know, it's actually really nice to not have to fight it.
[00:14:38.660 --> 00:15:07.640]  , And then what you can see is the editors telling you how your code will work by indenting it, which I think is pretty cool.
[00:15:07.640 --> 00:15:07.680]   I honestly don't think I've ever I don't remember having an error in Python because I indented stuff wrong.
[00:15:07.680 --> 00:15:07.760]   So, I mean, I think that there's again, this is a religious thing.
[00:15:07.760 --> 00:15:07.840]   And so I can joke about it and I love I love to kind of, you know, I realized that this is such a polarizing thing and everyone wants to argue about it.
[00:15:07.840 --> 00:15:07.880]   I don't remember having an error in Python because I indented stuff wrong.
[00:15:07.880 --> 00:15:07.920]   So I mean, I think that there's again, this is a religious thing.
[00:15:07.920 --> 00:15:07.960]   And so I can joke about it and I love I love to kind of, you know, I realize that this is such a polarizing thing and everyone wants to argue about it.
[00:15:07.960 --> 00:15:08.000]   And so I like poking at the bear a little bit.
[00:15:08.000 --> 00:15:08.080]   And so I like poking at the bear a little bit.
[00:15:08.100 --> 00:15:09.560]   Right. Come back to the first point.
[00:15:09.560 --> 00:15:10.320]   Python one.
[00:15:10.320 --> 00:15:11.040]   Like, it's huge.
[00:15:11.040 --> 00:15:12.120]   It's an A.I.
[00:15:12.120 --> 00:15:13.560]   It's the right thing for us.
[00:15:13.560 --> 00:15:17.000]   Like we see Mojo as being an incredible part of the Python ecosystem.
[00:15:17.000 --> 00:15:21.200]   We're not looking to break Python or change it or quote unquote fix it.
[00:15:21.200 --> 00:15:26.280]   We love Python for it is our view is that Python is just not done yet.
[00:15:26.280 --> 00:15:28.680]   And so if you look at, you know, you mentioned Python being slow.
[00:15:28.680 --> 00:15:31.880]   Well, there's a couple of different things that go into that, which we can talk about if you want.
[00:15:31.880 --> 00:15:37.440]   But one of them is it just doesn't have those features that you would use to do see like program.
[00:15:37.680 --> 00:16:07.000]  ,
[00:16:07.000 --> 00:16:07.280]   Yeah.
[00:16:07.280 --> 00:16:07.360]   Yeah.
[00:16:07.360 --> 00:16:07.440]   Yeah.
[00:16:07.440 --> 00:16:07.440]   Yeah.
[00:16:07.440 --> 00:16:07.440]   Yeah.
[00:16:07.440 --> 00:16:07.440]   Yeah.
[00:16:07.480 --> 00:16:14.880]   think
[00:16:14.880 --> 00:16:19.560]   I-
[00:17:04.960 --> 00:17:04.960]   and
[00:17:04.960 --> 00:17:04.960]   and
[00:18:02.500 --> 00:18:02.500]   and
[00:18:02.500 --> 00:18:02.500]   and
[00:18:02.500 --> 00:18:02.500]   and and
[00:18:02.500 --> 00:18:02.500]   and and
[00:18:31.260 --> 00:18:31.260]   and and
[00:18:31.300 --> 00:18:42.200]   sound
[00:18:42.200 --> 00:18:58.700]   landmark. And, was,alı,G N под e be withCom,G,訂,,,,,,,,,,,,,,,,,,, and I'm a small love the paraopath the whoever I'm the set the Cookie con the Bad the Import the Journey the She I'm The F người the It's. I influ milk the G. It's thearr the continue the為 the continue thefall the bus in the new thezą the não
[00:18:58.800 --> 00:19:26.300]   ado a variety of reasons, anyways, I'm sure, right? I've written enough the way they show love. I have written enough C++ code to earn a little bit of grumpiness with C++. But, one of the problems with it is that the metaprogramming system templates is just a completely different universe from the normal runtime programming world. And so, if you do metaprogramming and programming, it's just like a different universe, different syntax, different concepts, different stuff going on. And so, again, one of our
[00:19:26.300 --> 00:19:26.300]   One of our goals with Mojo is to make things really easy to use.
[00:19:26.300 --> 00:19:54.820]  , easy to learn.
[00:19:54.820 --> 00:19:55.820]   And so there's a natural stepping stone.
[00:19:55.820 --> 00:19:55.820]   And so as you do this, you say, okay, well, I have to do programming at runtime.
[00:19:55.820 --> 00:19:56.320]   After you're programming at compile time.
[00:19:56.320 --> 00:19:56.320]   Why are these different things?
[00:19:56.320 --> 00:19:56.320]   How hard is that to pull out because that sounds to me as a fan of metaprogramming in C++ even how hard is it to pull that off that sounds really really really exciting because you can do the same style programming at compile time and at runtime that's really really really exciting.
[00:19:56.360 --> 00:20:06.700]  yn
[00:20:06.700 --> 00:20:12.440]   RA B, es, De FPSC,
[00:20:51.720 --> 00:20:51.720]   - Yes. - Right.
[00:20:51.720 --> 00:20:51.720]   - Yes. - Yeah.
[00:21:19.420 --> 00:21:19.420]   - Yeah. - Yeah.
[00:21:19.420 --> 00:21:19.420]   - Yeah. - Yeah.
[00:21:19.460 --> 00:21:21.460]   is
[00:21:21.460 --> 00:21:47.480]   it that and
[00:21:48.280 --> 00:22:00.360]   pun,
[00:23:13.560 --> 00:23:23.240]   invest
[00:23:23.240 --> 00:23:25.760]   as�
[00:23:25.760 --> 00:23:42.140]   the regularly, and, and,,,,,,手ечение
[00:23:42.580 --> 00:23:52.100]   25
[00:23:52.100 --> 00:23:53.640]   on the provide
[00:23:53.640 --> 00:24:12.480]  ,,,, do set was Hus Mr
[00:24:12.600 --> 00:24:18.340]   good
[00:24:18.340 --> 00:24:41.520]   imagine. I just,
[00:24:42.460 --> 00:24:52.300]   in
[00:24:52.300 --> 00:24:53.480]  ; ,,, la
[00:26:06.100 --> 00:26:21.420]  uating to be able to do this. So, if you reduce the latency of a model so that it runs faster, so every time you query the server running the model it takes less time, well then the product team can go and make the model bigger. Well that actually makes it so you have a better experience as a customer, and so a lot of people care about that.
[00:26:21.420 --> 00:26:27.580]   So, for auto tuning, for like tile size, you mentioned 128 for TPUs, you would specify like a bunch of options to try?
[00:26:27.580 --> 00:26:28.080]   Yeah.
[00:26:28.080 --> 00:26:29.040]   In the code?
[00:26:29.040 --> 00:26:29.540]   Yup.
[00:26:29.540 --> 00:26:30.800]   Just a simple statement?
[00:26:30.800 --> 00:26:31.300]   Yup.
[00:26:31.300 --> 00:26:33.300]   And then you just set and forget and know?
[00:26:33.300 --> 00:26:33.860]   Yup.
[00:26:33.860 --> 00:26:33.860]   Depending wherever it compiles, it'll actually be in the code.
[00:26:33.860 --> 00:26:33.860]   Yeah.
[00:26:33.860 --> 00:26:34.200]   Depending wherever it compiles, it'll actually be in the code?
[00:26:34.200 --> 00:26:34.480]   Yeah.
[00:26:34.480 --> 00:27:03.760]  , and the beauty of this is that it helps you in a whole bunch of different ways, right? So if you're building, so often what'll happen is that you've written a bunch of software yourself, right?
[00:27:03.760 --> 00:27:04.340]   You wake up one day, you say I have an idea, I'm going to go code up some code, I get to work, I forget about it, I move on with life, I come back six months or a year or two years or three years later, you dust it off and you go use it again in a new environment.
[00:27:04.340 --> 00:27:04.340]  , and maybe your GPU is different. Maybe you're running on a server instead of a laptop, maybe whatever, right?
[00:27:04.360 --> 00:27:12.760]   And so the problem now is you say, okay, well, I mean, again, not everybody cares about performance, but if you do, you say, okay, well, I want to take advantage of all these new features.
[00:27:12.760 --> 00:27:15.800]   I don't want to break the old thing though, right?
[00:27:15.800 --> 00:27:30.240]   And so the typical way of handling this kind of stuff before is, you know, if you're talking about templates or you're talking about C with macros, you end up with if-desks, you get like all these weird things get layered in, make the code super complicated, and then how do you test it?
[00:27:30.240 --> 00:27:31.080]   Right?
[00:27:31.080 --> 00:27:34.200]   Because this crazy complexity, multidimensional space
[00:27:34.200 --> 00:27:34.200]   It becomes this crazy complexity, multidimensional space
[00:27:34.200 --> 00:27:34.200]   It becomes this crazy complexity, multidimensional space
[00:27:34.200 --> 00:27:34.200]   it becomes this crazy complexity, multidimensional space
[00:27:34.200 --> 00:27:34.200]   it becomes this crazy complexity, multidimensional space
[00:27:34.200 --> 00:27:34.200]   it becomes this crazy complexity, multidimensional space
[00:27:35.140 --> 00:28:04.200]  , and that just doesn't scale very well.
[00:28:04.200 --> 00:28:04.200]   Actually, let me just jump around before I go to some specific features, like the increase in performance here that we're talking about can be just insane. You're right that Mojo can provide a 35,000x speedup over Python. How does it do that?
[00:28:04.200 --> 00:28:04.200]   Yeah, so you can even do more, but we'll get to that.
[00:28:04.200 --> 00:28:04.220]   Yeah, so you can even do more, but we'll get to that.
[00:28:04.260 --> 00:28:09.460]   care
[00:28:09.460 --> 00:28:28.200]   made, could think perceive支 realm 엄長, and, ,,,, negatively
[00:28:32.500 --> 00:28:42.920]   as
[00:28:42.920 --> 00:29:00.720]   appeared say he isат
[00:29:01.620 --> 00:29:08.000]  TA
[00:29:59.120 --> 00:30:25.540]  , so now you can say okay well you can adopt that now you have threads now you have like
[00:30:25.540 --> 00:30:29.060]   additional things like you control memory hierarchy and so what mojo allows you to do
[00:30:29.180 --> 00:30:32.940]   is it allows you to start taking advantage of all these powerful things have been built into the
[00:30:32.940 --> 00:30:39.580]   hardware over time and it gives the library gives um very nice features so you can say just
[00:30:39.580 --> 00:30:46.460]   parallelize this do this in parallel right so it's very um very powerful weapons against slowness
[00:30:46.460 --> 00:30:50.700]   which is why people have been i think having fun like just taking code and making go fast because
[00:30:50.700 --> 00:30:55.260]   it's just kind of in a drum and rush to see like how fast you can get things before i talk about
[00:30:55.260 --> 00:30:59.020]   some of the interesting stuff with parallelization all that let's let's first talk about what
[00:31:28.980 --> 00:31:28.980]  obedience is and then we'll talk about the basics we talked to indentation right so this thing looks like python it's sexy and beautiful like python as i mentioned uh is it a typed language so what's the role of types yeah good question so python has types it has strings has integers it has dictionaries and like a lot of stuff but they all live at runtime right and so because all those types live at runtime and python you never you don't have to spell them python also has like this whole typing thing going on now
[00:31:28.980 --> 00:31:28.980]   and so because all those types live at runtime and python you never you don't have to spell them python also has like this whole typing thing going on now
[00:31:28.980 --> 00:31:28.980]   and so because all those types live at runtime and python you never you don't have to spell them python also has like this whole typing thing going on now
[00:31:29.020 --> 00:31:58.940]  ,
[00:31:58.940 --> 00:31:58.940]   and so because all those types live at runtime and python you never you don't have to spell them python also has like this whole typing thing going on now
[00:31:58.980 --> 00:32:06.540]   dead
[00:32:06.540 --> 00:32:23.260]   care,
[00:32:28.580 --> 00:32:58.140]  program.com. And so, what Mojo does is it allows you to progressively adopt types into your program. So, you can start, again, it's compatible with Python. And so, then you can add however many types you want, wherever you want them. And if you don't want to deal with it, you don't have to deal with it. And so, one of, you know, our opinions on this,
[00:32:58.140 --> 00:32:58.140]   and our opinions on this,
[00:32:58.160 --> 00:33:28.160]   is that it's not that types are the right thing or the wrong thing. It's that they're a useful thing.
[00:33:28.200 --> 00:33:58.180]  ,
[00:33:58.180 --> 00:33:58.180]   and that's why I think it's important to have a system that allows you to adopt types into your program.
[00:33:58.180 --> 00:33:58.180]   And so, I think it's important to have a system that allows you to adopt types into your program.
[00:33:58.180 --> 00:33:58.180]   And so, I think it's important to have a system that allows you to adopt types into your program.
[00:33:58.180 --> 00:33:58.180]   And so, I think it's important to have a system that allows you to adopt types into your program.
[00:33:58.180 --> 00:33:58.180]   And so, I think it's important to have a system that allows you to adopt types into your program.
[00:33:58.180 --> 00:33:58.180]   And so, I think it's important to have a system that allows you to adopt types into your program.
[00:33:58.180 --> 00:33:58.180]   And so, I think it's important to have a system that allows you to adopt types into your program.
[00:33:58.180 --> 00:34:28.200]  ,
[00:34:28.200 --> 00:34:28.200]   And so, I think it's important to have a system that allows you to adopt types into your program.
[00:34:28.200 --> 00:34:28.200]   And so, I think it's important to have a system that allows you to adopt types into your program.
[00:34:28.200 --> 00:34:28.200]   And so, I think it's important to have a system that allows you to adopt types into your program.
[00:34:28.200 --> 00:34:28.200]   And so, I think it's important to have a system that allows you to adopt types into your program.
[00:34:28.220 --> 00:34:58.220]   You know, you have objectives that you're trying to attain.
[00:34:58.220 --> 00:34:58.220]   You know, you have objectives that you're trying to attain.
[00:34:58.220 --> 00:34:58.220]   You know, you have objectives that you're trying to attain.
[00:34:58.220 --> 00:34:58.220]   You know, you have objectives that you're trying to attain.
[00:34:58.220 --> 00:34:58.220]   So what if Python can achieve those objectives?
[00:34:58.220 --> 00:34:58.220]   So what if Python can achieve those objectives?
[00:34:58.220 --> 00:34:58.220]   So what if Python can achieve those objectives? So if you want types, well, maybe you want types because you want to make sure you're passing on the right thing.
[00:34:58.220 --> 00:34:58.220]   So what if Python can achieve those objectives? So if you want types, well, maybe you want types because you want to make sure you're passing on the right thing.
[00:34:58.220 --> 00:34:58.220]   Sure, you can add a type. If you don't care, you're prototyping some stuff, you're hacking some things out, you're like pulling some random code off the internet, it should just work.
[00:34:58.260 --> 00:35:28.240]  , you're like pulling some random code off the internet, it should just work.
[00:35:28.240 --> 00:35:28.240]   So, you can't just say, "I want to use this type."
[00:35:28.240 --> 00:35:28.240]   So, you can't just say, "I want to use this type."
[00:35:28.240 --> 00:35:28.240]   So, you can't just say, "I want to use this type."
[00:35:28.240 --> 00:35:28.240]   So, you can't just say, "I want to use this type."
[00:35:28.240 --> 00:35:28.240]   So, you can't just say, "I want to use this type."
[00:35:28.240 --> 00:35:28.240]   So, you can't just say, "I want to use this type."
[00:35:28.260 --> 00:35:58.260]   So, you can't just say, "I want to use this type."
[00:35:58.260 --> 00:35:58.260]   And so, that means it has to work without types.
[00:35:58.260 --> 00:35:58.260]   And so, that means it has to work without types.
[00:35:58.260 --> 00:35:58.260]   And so, that means it has to work without types.
[00:35:58.260 --> 00:35:58.260]   And so, that means it has to work without types.
[00:35:58.260 --> 00:35:58.260]   And so, that means it has to work without types.
[00:35:58.260 --> 00:35:58.260]   And so, that means it has to work without types.
[00:35:58.260 --> 00:35:58.260]   And so, that means it has to work without types.
[00:35:58.260 --> 00:35:58.260]   And so, that means it has to work without types.
[00:35:58.260 --> 00:35:58.260]   And so, that means it has to work without types.
[00:35:58.260 --> 00:35:58.260]   And so, that means it has to work without types.
[00:35:58.260 --> 00:35:58.260]   And so, that means it has to work without types.
[00:35:58.260 --> 00:35:58.260]   And so, that means it has to work without types. And so, that means it has to work without types.
[00:35:58.280 --> 00:36:14.280]   Right? This migration took many years. And it was very painful for many teams. And there's a lot of things that went on in that. I'm not an expert in all the details, and I honestly don't want to be. I don't want the world to have to go through that. People can ignore Mojo, and if it's not their thing, that's cool. But if they want to use Mojo, I don't want them to have to rewrite all their code.
[00:36:14.320 --> 00:36:16.700]   Jorge
[00:36:16.700 --> 00:36:38.240]   Z I get,,,,
[00:36:42.940 --> 00:36:51.040]   but
[00:36:51.040 --> 00:37:11.200]  , I I deeper ci,,,,,,,
[00:37:11.900 --> 00:37:21.340]   a
[00:37:21.340 --> 00:37:38.660]   in the is oak
[00:37:41.920 --> 00:37:51.660]  視
[00:37:51.660 --> 00:38:11.240]   còn de...
[00:38:41.920 --> 00:38:41.920]  ,
[00:38:41.920 --> 00:38:41.920]   and
[00:38:41.920 --> 00:38:41.920]   and
[00:38:41.960 --> 00:38:52.660]   water
[00:38:52.660 --> 00:39:02.580]   100 protective he is over
[00:39:02.580 --> 00:39:09.260]   generated L M I in the test. I. I. I. I. I. Big, make,,,,,,,,,,,,,,,,,,,,,,,, receive the ؟ Canon to be discuss the immediately 쉬ZZG BesG whyG sixG I就G et gratuit Natur racist remembering و float the four ao IT's is a X. And men Är a cell't him is a Nem서 I'm a
[00:39:09.260 --> 00:39:11.060]   I I'm página noticing a
[00:39:11.460 --> 00:39:19.360]   '
[00:39:19.360 --> 00:39:36.480]  -- the comp is a but didn
[00:39:40.720 --> 00:39:49.920]   only
[00:39:49.920 --> 00:39:51.100]   Al de, thank headed
[00:40:39.600 --> 00:40:39.600]   - Okay, if I make something that is super fast, I can go all the way down to the metal. Why do I need to have integers built into the language? And so what Mojo does is it says, okay, well, we can have this notion of structs. So we have classes in Python, now you can have structs. Classes are dynamic, structs are static. Cool, we can get high performance, we can write C++ kind of code with structs if you want. These things mix and work beautifully together. But what that means is that you can go and implement strings and ints and floats and arrays and all that kind of stuff.
[00:40:39.600 --> 00:40:39.600]   - Mm-hmm.
[00:40:39.600 --> 00:40:39.600]   - And all that kind of stuff in the language.
[00:40:39.600 --> 00:40:39.600]   - Mm-hmm.
[00:40:39.600 --> 00:40:39.600]   - And all that kind of stuff in the language.
[00:40:39.600 --> 00:40:39.600]   - Mm-hmm.
[00:40:39.600 --> 00:40:39.600]   - And all that kind of stuff in the language.
[00:40:39.600 --> 00:40:39.600]   - Mm-hmm.
[00:40:39.600 --> 00:40:39.620]   - Mm-hmm.
[00:41:09.080 --> 00:41:19.500]  kaa
[00:41:19.500 --> 00:41:37.700]   en B I i,,,,,цеbest Gray mínimo còn him is the answering started present
[00:41:38.940 --> 00:41:51.360]   100
[00:43:46.580 --> 00:43:49.340]   and so sometimes it's kind of you know there's some dynamics there but yeah I think it's the good it's the right thing so there's a discord also so the dynamics is pretty interesting sometimes the community probably can be very chaotic and uh introduce a lot of stress. Gullido famously quit over the stress of the walrus operator I mean yeah you know it broke
[00:43:49.340 --> 00:43:50.940]   maybe that was
[00:43:50.940 --> 00:43:50.940]   broken
[00:43:50.940 --> 00:43:50.940]   broken.
[00:43:50.940 --> 00:43:50.940]   broken.
[00:44:20.860 --> 00:44:26.100]  �
[00:44:26.100 --> 00:44:30.920]   a Lowkach
[00:44:30.920 --> 00:44:50.220]  ,,,,, discuss the tire and cre repar calculate 4 related個 falei I made a Kia I gun I Su I Have Per G Д Tr Need
[00:44:50.880 --> 00:44:54.720]   combat
[00:44:54.720 --> 00:45:04.680]  님 have de visit as is says
[00:45:50.560 --> 00:45:50.560]   and
[00:45:50.560 --> 00:45:50.560]   and
[00:45:50.560 --> 00:45:50.560]   and
[00:45:50.560 --> 00:45:50.720]  ,
[00:45:50.720 --> 00:45:50.720]   - I think what we've done is we've spun some bug fixes. We've actually had very few bugs, which is cool, actually, for projects in the state. But then what we're doing is dropping in features very deliberately.
[00:45:50.720 --> 00:45:50.720]   - I think what we've done is we've spun some bug fixes. We've actually had very few bugs, which is cool, actually, for projects in the state. But then what we're doing is dropping in features very deliberately.
[00:45:50.720 --> 00:45:50.720]   - I think what we've done is we've spun some bug fixes. We've actually had very few bugs, which is cool, actually, for projects in the state. But then what we're doing is dropping in features very deliberately.
[00:45:50.720 --> 00:45:50.720]   - I think what we've done is we've spun some bug fixes. We've actually had very few bugs, which is cool, actually, for projects in the state. But then what we're doing is dropping in features very deliberately.
[00:46:21.700 --> 00:46:50.760]  obediently: Okay, cool. Let's fast forward a year. Like in a year's time, Mojo will be actually quite amazing and solve tons of problems and be very good. People still have these problems. Right? And so you look at this and you say, and the way I look at this at least is to say, okay, well, we're solving big long standing problems. To me, I, again, working on many different problems, I want to make sure we do it right. There's like a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:46:50.760 --> 00:46:50.760]  , right? There's like a responsibility you feel because if you mess it up, there's very few opportunities to do it right. There's like a responsibility you feel because if you mess it up, there's very few opportunities to do it.
[00:46:50.800 --> 00:47:20.780]  , right? There's like a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:47:20.780 --> 00:47:20.780]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:47:20.800 --> 00:47:50.800]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:47:50.800 --> 00:47:50.800]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:47:50.800 --> 00:47:50.800]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:47:50.800 --> 00:47:50.800]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:47:50.800 --> 00:47:50.800]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:47:50.800 --> 00:47:50.800]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:47:50.800 --> 00:47:50.800]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:47:50.800 --> 00:47:50.800]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:47:50.840 --> 00:48:20.820]  ,
[00:48:20.820 --> 00:48:20.820]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:48:20.820 --> 00:48:20.820]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:48:20.820 --> 00:48:20.820]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:48:20.820 --> 00:48:20.820]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:48:20.820 --> 00:48:20.820]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:48:20.840 --> 00:48:50.840]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:48:50.840 --> 00:48:50.840]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:48:50.840 --> 00:48:50.840]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:48:50.840 --> 00:48:50.840]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:48:50.840 --> 00:48:50.840]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:48:50.840 --> 00:48:50.840]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:48:50.840 --> 00:48:50.840]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right.
[00:48:50.840 --> 00:48:50.840]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it.
[00:48:50.840 --> 00:49:20.860]   a logical copy of all the data. If I pass you array sure a ray you can go do what you want to it, you're not going to hurt my array. Now that is an interesting and very powerful design principle that finds away a ton of bugs. You have to be careful to implement in an efficient way. You have their performance hit that's significant generally not if you implement the right way but it requires a lot of very low level getting the language right that's that I see
[00:49:20.880 --> 00:49:50.880]   Yeah, there's a responsibility you feel because if you mess it up, there's very few opportunities to do it right. Yeah, there's a responsibility you feel because if you mess it up, there's very low level getting the language right. You have their performance hit that's that I see
[00:49:50.880 --> 00:49:50.880]   Yeah, there's a responsibility you feel because if you implement the right way but it requires a lot of very low level getting the language right. You have their performance hit that's that I see
[00:49:50.880 --> 00:49:50.880]   Yeah, there's a responsibility you feel because if you implement the right way but it requires a lot of very low level getting the language right. You have their performance hit that's that I see
