
[00:00:00.000 --> 00:00:07.200]   yeah go ahead
[00:14:19.440 --> 00:14:27.760]   typically that's what up sampling is um it's not just more weight to different buckets sometimes i'll just
[00:14:27.760 --> 00:14:35.920]   do multiple books right so for some long context or for some like high quality it's not uncommon that
[00:14:35.920 --> 00:14:43.360]   they do multiple passes of the same data and down sampling as well you know like if you have
[00:14:43.360 --> 00:14:49.680]   a lot of generic text it's like filtering is a form of sound sampling right uh yeah sometimes it's just in
[00:14:49.680 --> 00:14:56.320]   a way that's what's going to do so it's just in a way that's going to be that's going to be that's going to be
[00:14:56.320 --> 00:15:04.400]   the best fit packing what does that actually do uh based on my understanding i think they're
[00:15:04.400 --> 00:15:13.680]   trying to summarize uh so that it fits actually to the context i haven't actually uh verified that i assumed it
[00:15:15.200 --> 00:15:20.160]   oh sorry i what's a what's a basic procedure i don't quite understand what are they doing
[00:15:20.160 --> 00:15:30.480]   um i yeah i haven't actually verified uh what exactly they've been doing like i haven't seen the
[00:15:30.480 --> 00:15:36.160]   algorithm i just assumed that like they probably uh like summarizing the car summary summarizing the
[00:15:36.160 --> 00:15:45.120]   context to fit uh better suppose like if you have like 128k or like a lot of data
[00:15:45.680 --> 00:15:51.200]   it's better to have like a summary uh so that like you have like main points in the uh limited
[00:15:51.200 --> 00:15:58.640]   context so that like uh the queries can i mean the llms can focus better on the uh what's going on
[00:15:58.640 --> 00:16:05.840]   rather than like whole context okay and then if anyone has a better explanation please uh chip in
[00:16:14.080 --> 00:16:20.160]   sorry i have a separate question vicky um so uh what is the rationale so i think they're saying
[00:16:20.160 --> 00:16:26.880]   pre-training you begin with something smaller and then mid-training you introduce longer um is this kind
[00:16:26.880 --> 00:16:33.280]   of like uh um you know like going going i forgot what they call the curriculum training is that kind
[00:16:33.280 --> 00:16:38.160]   of like thinking the thought process here uh or why what's the reason for doing it this way
[00:16:38.160 --> 00:16:46.240]   uh the curriculum training i think they use it in the context of rl right like to get like a better
[00:16:46.240 --> 00:16:55.680]   reward models uh but i think this here it's simply extending the context so they can uh i mean we can put
[00:16:55.680 --> 00:17:03.120]   like a lot of data into the context there's just like a uh i feel like a 4k they have like a a good
[00:17:03.120 --> 00:17:09.680]   base like the weights are uh set in a better way here and then once we increase the context i believe
[00:17:09.680 --> 00:17:16.560]   like uh it can generalize well and then it can have like a uh the attention uh can be spread without
[00:17:16.560 --> 00:17:23.760]   losing the actual value or that's what i think here they've been doing does it have any data showing
[00:17:23.760 --> 00:17:30.000]   like um i don't know ablations showing that if you do it mixed together it's like this or here
[00:17:30.000 --> 00:17:36.800]   separate it like this it does something differently oh uh i can i can chime in here actually uh there's
[00:17:36.800 --> 00:17:43.040]   two parts of this mid training right one is context length extension which is typically not what you
[00:17:43.040 --> 00:17:49.120]   consider mid training a context extension can just happen at the very end of all your rl your post
[00:17:49.120 --> 00:17:55.840]   training right you can just do more training on long context and that kind of works now what this is is
[00:17:55.840 --> 00:18:01.120]   the reason it's more mid training is because you're going from regular pre-training just next token
[00:18:01.120 --> 00:18:06.720]   prediction to some form of specialized data right so repo level code this is long context
[00:18:06.720 --> 00:18:14.000]   full code base uh synthetic reasoning data long context agentic data right now the the fact of
[00:18:14.000 --> 00:18:19.280]   the matter is it's not like exclusive that they're just doing this but they're also doing long context
[00:18:19.280 --> 00:18:26.400]   but it's pretty common right you don't see like reasoning data at short context right because oftentimes
[00:18:26.400 --> 00:18:31.920]   the queries that go into these like the system prompts themselves are already pretty long so same
[00:18:31.920 --> 00:18:36.480]   thing with the reasoning traces right we just don't do reasoning at short context because
[00:18:36.480 --> 00:18:41.600]   you need context length for actually doing reasoning right you're not going to do
[00:18:41.600 --> 00:18:47.760]   reasoning at 4k context so it's mid training more so because of the type of training they're doing
[00:18:47.760 --> 00:18:53.040]   not because of context but yeah they didn't just do it as a separate step which is like okay too like
[00:18:53.040 --> 00:19:00.560]   long context is not super like unknown right all you do is just train on long context for like
[00:19:00.560 --> 00:19:04.400]   couple hundred thousand or a couple hundred thousand or a couple million samples and you're kind of chilling
[00:19:04.400 --> 00:19:11.680]   and with that like you know you can just mix it in wherever but in this case it's mid training because
[00:19:11.680 --> 00:19:19.520]   the type of data and then um that's like the first question on the other one about um best fit packing so
[00:19:19.520 --> 00:19:25.920]   one thing you can do if you have like long context let's say you're training on like 32k context right
[00:19:25.920 --> 00:19:31.920]   and you have a bunch of sequences that are like short like 4 000 sequence land uh what you do in
[00:19:31.920 --> 00:19:39.120]   terms of packing is you can concatenate multiple samples into one one sample right so like if i have
[00:19:39.120 --> 00:19:45.040]   eight queries that are 4 000 sequence land i can batch them all together and make one sequence of 32k
[00:19:45.040 --> 00:19:51.120]   and that's that's best fit packing that's more efficient on gpus or you could not do that and you
[00:19:51.120 --> 00:19:57.360]   could just train normally right so it's you could do best fit packing by packing multiple short sequences
[00:19:57.360 --> 00:20:02.880]   into one sequence or you could not do it and then you know they they talk about what they do here but
[00:20:02.880 --> 00:20:08.080]   that's what best fit packing is it's where you pack short sequences into a lot of sequences and then
[00:20:08.080 --> 00:20:12.960]   there's pros and cons of both i think for them they say in pre-training they don't do it so it's not as
[00:20:12.960 --> 00:20:18.880]   efficient on the gpus they just do random truncation right so sometimes different sequences and batches
[00:20:18.880 --> 00:20:23.680]   will be different lengths and that's okay it is what it is and they talk about why they do this
[00:20:23.680 --> 00:20:30.160]   and then in mid training they do do it because context matters right you don't want half of a
[00:20:30.160 --> 00:20:35.520]   reasoning trace to be cut off because you're out of sequence length right you want stuff to be the
[00:20:35.520 --> 00:20:40.960]   same length so in mid training and reasoning they do do it like you don't want to chop off a code base
[00:20:40.960 --> 00:20:45.760]   just to be efficient in gpu and pre-training they're like it's good it's data augmentation even if you
[00:20:45.760 --> 00:20:50.960]   don't have half of the stuff it's fine it's more efficient on our majority train run but sorry that's
[00:20:50.960 --> 00:20:58.480]   like two two two topics in one um you know i hope that made sense thank you so but when they kind of
[00:20:58.480 --> 00:21:07.440]   concatenate this like say 8k into 32k uh this the you you know you're not like masking anything right on the
[00:21:07.440 --> 00:21:12.560]   attention that is the stuff you're concatenate can still yeah the previous stuff right yeah yeah yeah
[00:21:12.560 --> 00:21:18.640]   it's weird like that uh there's there's different techniques to do uh packing but like you know like
[00:21:18.640 --> 00:21:25.600]   there are techniques of add-in tokens to forget stuff before but i i mean that's like i don't think
[00:21:25.600 --> 00:21:32.400]   they're doing any of this so the real point of packing is just you keep sequence similar and it doesn't
[00:21:32.400 --> 00:21:37.760]   have like contamination and training data right so with reasoning i don't want like i don't want in
[00:21:37.760 --> 00:21:44.320]   the same training batch code about like you know one library with something completely irrelevant to
[00:21:44.320 --> 00:21:51.840]   think about but um it's it's just beneficial if you keep it training but then if it's like just regular
[00:21:51.840 --> 00:21:57.200]   like storybooks right let's say you have like a harry potter book and then half of it is added in with a
[00:21:57.200 --> 00:22:01.920]   lord of the ring book and you're just predicting next tokens it's fine you know like it's just
[00:22:01.920 --> 00:22:08.080]   common but i think i think uh you know that's that's high level what this stuff is someone else should
[00:22:08.080 --> 00:22:12.960]   do a little bit more research into it i just know that it's typically done in pre-training where the
[00:22:12.960 --> 00:22:19.600]   type of data is not as important and you don't want to do it in in reasoning thank you and there are
[00:22:19.600 --> 00:22:24.720]   approaches to how you can how you can better process stuff and there's like some paper that talks about
[00:22:24.720 --> 00:22:29.760]   like adding special tokens like how encoder decoders just have like cls token
[00:22:47.680 --> 00:22:55.680]   thank you and uh and also i don't think they mentioned a lot of ablation studies or
[00:22:55.680 --> 00:23:02.160]   why they have done on the pre-training stage most of their focus on like uh making sure the rl works
[00:23:02.160 --> 00:23:09.120]   rl is effective and then they're able to improve the capabilities so this paper like a lot of the times
[00:23:09.120 --> 00:23:15.760]   the charts or the graphs are basically talking about rl pipeline not the pre-training
[00:23:15.760 --> 00:23:22.080]   um yeah
[00:23:22.080 --> 00:23:32.240]   uh so they mentioned uh about like hyper parameters like i already mentioned like they used some one
[00:23:32.240 --> 00:23:42.240]   optimizer uh i couldn't understand like some of these things but uh primer for c i feel like uh
[00:23:43.440 --> 00:23:51.440]   um
[00:23:51.440 --> 00:23:57.280]   um yeah i i to be honest like i haven't understood like this completely uh
[00:23:57.280 --> 00:24:04.000]   um so this one's like a warm stable decay schedule like uh they're changing the learning rate on
[00:24:04.000 --> 00:24:11.120]   they mentioned like how they change it why uh and then they also use like a batch size warm-up strategy
[00:24:11.120 --> 00:24:16.240]   uh so batch size was increased gradually from 16 million to 64 million training
[00:24:17.440 --> 00:24:23.840]   uh and they use like more optimizer because it's uh it feels like a accelerate convergence and like it
[00:24:23.840 --> 00:24:26.640]   can tolerate large batches batch sizes
[00:24:30.560 --> 00:24:43.280]   yeah uh if anyone have a better understanding uh please help me out
[00:24:43.280 --> 00:24:49.200]   yeah i don't know where to get these numbers
[00:24:49.200 --> 00:24:55.440]   from either but usually it's just you know it's one paragraph but they spent like three months updating
[00:24:55.440 --> 00:24:56.560]   different parameters yeah
[00:24:56.560 --> 00:25:03.680]   i'll move on to the post training
[00:25:03.680 --> 00:25:12.720]   i feel like this is uh this is where the majority of the work uh that's i think it's very carefully
[00:25:12.720 --> 00:25:20.080]   crafted and created uh as i mentioned earlier like they use like a two-stage approach like in stage one
[00:25:20.080 --> 00:25:26.320]   uh they created expert models for each uh specific task and then stage two they
[00:25:26.320 --> 00:25:30.320]   use distillation techniques to integrate these multiple experts
[00:25:31.120 --> 00:25:39.280]   uh um and then they mentioned like uh unsupervised uh supervised fine-tuning uh
[00:25:39.280 --> 00:25:50.480]   uh so uh they do this safety for both stage one and stage two and in expert training like uh this is
[00:25:50.480 --> 00:25:57.920]   basically like making sure that the model has basic capabilities uh to either to generate or to respond
[00:25:57.920 --> 00:26:05.440]   properly uh other than that it doesn't have like any uh specific like a a tool for agentic or
[00:26:05.440 --> 00:26:08.400]   reasoning or capability uh capabilities
[00:26:12.160 --> 00:26:19.120]   yeah uh in sft for stage two um it's like a their distilling capabilities from different expert
[00:26:19.120 --> 00:26:26.240]   models and then making sure that like it gets the uh capabilities from uh three different experts
[00:26:34.720 --> 00:26:59.760]   yeah um like same thing um so here they mentioned like how they uh perform these tasks
[00:26:59.760 --> 00:27:24.480]   uh one thing they have done differently for uh code so uh i feel like in regular models it seems like uh
[00:27:24.480 --> 00:27:29.680]   they have to uh like for text data they have to use like a lot of escape
[00:27:29.680 --> 00:27:36.080]   characters so uh this is for this they say that like that's fine for like a model specifically
[00:27:36.080 --> 00:27:40.800]   designed for coding task but they want to have like a general capability for this model right so
[00:27:40.800 --> 00:27:48.400]   instead of using a lot of uh escape characters they decided to format the data into this uh xml format
[00:27:48.400 --> 00:27:56.960]   uh so that they don't have to use like escape characters that's the one thing they have done differently
[00:27:59.600 --> 00:28:15.200]   um so um um so in um i couldn't hear you i'm sorry sorry you're really soft rj i don't know what
[00:28:15.200 --> 00:28:25.280]   happened to your audio nope you know what happened rj you uh you could type i guess
[00:28:27.120 --> 00:28:35.840]   i'll be rj's voice but also he's a veteran i don't know what's um what's screwed up there
[00:28:35.840 --> 00:28:54.640]   this rj says is this a new token or just a tag i'm not sure there's a difference um yeah i'm not sure i think
[00:28:54.640 --> 00:29:02.480]   it's maybe they added these uh like end of text uh tokens as part of our vocabulary so that like
[00:29:02.480 --> 00:29:04.640]   we don't pass them but i'm not really sure
[00:29:04.640 --> 00:29:13.360]   is it that i'm not sure i understand the question itself let me see the
[00:29:21.440 --> 00:29:26.400]   yeah i think it's a new token yeah new token in the vocabulary but they haven't mentioned it
[00:29:26.400 --> 00:29:30.720]   all right right
[00:29:30.720 --> 00:29:38.880]   usually for this kind of stuff they do add new tokens uh deep seek v 3.1 which dropped
[00:29:38.880 --> 00:29:45.280]   yesterday uh you can see an example of how they add tokens for this kind of stuff i would imagine glm
[00:29:45.280 --> 00:29:54.560]   to be the same does anyone know what does glm stand for no idea you could probably look it up
[00:29:54.560 --> 00:30:06.080]   so i think here they also mentioned like uh by distilling from output of distinct experts the model
[00:30:06.080 --> 00:30:14.320]   uh learns uh learns quickly applying long context of like cot reasoning for each task and then it can
[00:30:14.320 --> 00:30:23.440]   switch from uh thinking long or also thinking short without any explicit uh without any explicit suggestion
[00:30:23.440 --> 00:30:33.040]   and third one uh the rejection sampling i feel like uh so while sampling uh they want to make sure that like
[00:30:33.040 --> 00:30:38.960]   uh they sample high quality data uh this rejection sampling they basically mentioned how they have done
[00:30:38.960 --> 00:30:47.680]   that uh they want to make sure that it's in the valid format and then um verification with the objective
[00:30:47.680 --> 00:30:54.320]   like i think the math or science uh you can have linear objective answers even the code uh so they did that
[00:30:54.320 --> 00:31:03.200]   uh that part as well and then uh and then uh they have like uh reward models for subjective questions uh it
[00:31:03.200 --> 00:31:14.160]   can be either uh rl hf or or early ai uh uh and then uh they use this metric to distill the um sampler i
[00:31:14.160 --> 00:31:23.440]   mean um reject the sample and then i feel like the tool calling scenario is very interesting um they go deeper in
[00:31:23.440 --> 00:31:34.320]   later stages as well how they orchestrated like the tool coring or uh yeah i'm gonna talk about that later
[00:31:34.320 --> 00:31:43.280]   section and then also uh seems like they uh they selected few prompts to improve the uh uh or like
[00:31:43.280 --> 00:31:50.400]   they deleted like some of the prompts which are not conducive to better results um they mentioned that here
[00:31:52.320 --> 00:31:57.520]   and they state that like it improved uh improved the reasoning capabilities
[00:31:57.520 --> 00:32:05.920]   so here they mentioned like how they uh constructed the agentic sft data
[00:32:05.920 --> 00:32:15.760]   so uh i feel like they they used like existing frameworks like mcp servers uh to uh get like a basic
[00:32:15.760 --> 00:32:22.080]   features and then they created uh they did task synthesis it seems like uh they used like whatever
[00:32:22.080 --> 00:32:29.280]   the documentation they have for mcp servers to create tasks uh that seems like a very uh yeah it's
[00:32:29.280 --> 00:32:30.160]   interesting approach
[00:32:30.160 --> 00:32:38.160]   so they used llms to comprehend functionalities and then generate relevant queries and tasks
[00:32:39.840 --> 00:32:48.240]   and for uh fragmented like uh they they did follow similar approach but they uh like uh first they
[00:32:48.240 --> 00:32:52.880]   select like a representative subset and then they employ the construct the task based on that
[00:32:54.320 --> 00:33:03.280]   um yeah single step and multi-step tool calling i i believe uh uh this basically says that like uh in
[00:33:03.280 --> 00:33:10.320]   the reasoning process you may have to use like a uh like one color multiple call at different stages
[00:33:12.560 --> 00:33:22.960]   and then uh uh hybrid hey vanky sorry just a quick kind of maybe might be a stupid question but i just
[00:33:22.960 --> 00:33:31.680]   wanted to confirm is it the actual like them training specialized experts is this different to the other
[00:33:31.680 --> 00:33:40.240]   models do you know like is this one of the different parts of of um of this model um i mean i know a lot
[00:33:40.240 --> 00:33:47.600]   of times we uh other other llms do distillation but i'm not sure i haven't read any paper maybe kimmy
[00:33:47.600 --> 00:33:48.960]   or other papers does it i don't know
[00:33:48.960 --> 00:34:01.520]   yeah i was i was curious too about whether can you guys hear me now by the way yes yeah i had my head
[00:34:01.520 --> 00:34:07.360]   set microphone on sorry about that uh i was also curious about what what was the motivation for
[00:34:07.360 --> 00:34:17.760]   using distinct experts versus just using good rollouts and i i kind of the conclusion i came
[00:34:17.760 --> 00:34:29.440]   to for myself was that they have this like multi-stage uh curriculum where they're they keep they mention a
[00:34:29.440 --> 00:34:37.920]   couple places where they keep uh you know sort of doing like rollouts of their own data and so that
[00:34:37.920 --> 00:34:45.760]   maybe in the early phases it's easier to generate uh distinct experts than it is to generate one model
[00:34:45.760 --> 00:34:54.880]   that's good at all three and then and that's why so they like in the process of generating a a generic model
[00:34:54.880 --> 00:35:01.600]   it's easier to to do like specific like fine basically fine-tuned models that are good at one
[00:35:01.600 --> 00:35:07.200]   thing and then distill them all into the same model that's that was my take i'm not sure i've ever seen
[00:35:07.200 --> 00:35:15.920]   this my before myself i agree in in the oral setup like they mentioned this uh they needed like different
[00:35:15.920 --> 00:35:21.760]   architecture for different types of uh reasoning tasks or reinforcement learning tasks so maybe that's
[00:35:21.760 --> 00:35:28.480]   why they so they actually change the architecture for each expert uh i think so um interesting
[00:35:33.040 --> 00:35:39.200]   yeah they have a slim rl and then uh they mentioned sometimes like uh for software engineering task like
[00:35:39.200 --> 00:35:47.520]   they had to have like docker containers and uh other stuff like uh so they mentioned data like a bit later
[00:35:47.520 --> 00:35:52.880]   in the page but i'm not sure like this is like the training architecture not the model architecture
[00:35:52.880 --> 00:35:58.800]   right oh i see okay yeah no but that makes sense why you would also want to split that okay that's actually
[00:35:58.800 --> 00:36:19.840]   really interesting um right so here uh they use like llms uh they used existing frameworks and then
[00:36:19.840 --> 00:36:28.480]   they did task synthesis based on uh based on these frameworks and then uh so i feel like a lot of times
[00:36:28.480 --> 00:36:34.320]   they uh they uh they do this synthesis to get the uh data uh required for training and then also
[00:36:34.320 --> 00:36:39.440]   they use like quality filtering uh to make sure that they have like a high quality data goes into the
