
[00:00:00.000 --> 00:00:01.100]   I cannot rest.
[00:02:39.100 --> 00:02:41.640]   And then this past year...
[00:02:41.640 --> 00:02:44.380]   Okay, so theoretically, you guys might still do that next year.
[00:02:44.380 --> 00:02:44.740]   Uh-huh.
[00:02:44.740 --> 00:02:45.240]   Okay?
[00:02:45.240 --> 00:02:45.920]   2025.
[00:02:45.920 --> 00:02:49.400]   I think it has been a little bit of a wrench in the plans because of the foreign mission thing.
[00:02:49.400 --> 00:02:49.740]   Yeah.
[00:02:49.740 --> 00:02:51.980]   One of the...
[00:02:51.980 --> 00:02:57.780]   I heard recently that one of our ministry partners that has been helping us kind of think through this whole plan was like...
[00:02:57.780 --> 00:02:58.480]   What did he say?
[00:02:58.480 --> 00:02:59.580]   That's great.
[00:02:59.580 --> 00:03:01.120]   That you guys did that.
[00:03:01.120 --> 00:03:02.840]   It wasn't part of the plan.
[00:03:02.840 --> 00:03:04.860]   Yeah, he was like, I turned my head away for a minute.
[00:03:04.860 --> 00:03:07.240]   And you guys started eight new mission fields.
[00:03:07.240 --> 00:03:08.700]   That's great.
[00:03:08.700 --> 00:03:09.700]   Don't do that again.
[00:03:09.700 --> 00:03:14.200]   I think it would be interesting to hear a little bit about, like, what the...
[00:03:14.200 --> 00:03:16.120]   Because that wasn't in the plans, at least in your mind.
[00:03:16.120 --> 00:03:16.960]   It was not in the plans.
[00:03:16.960 --> 00:03:19.540]   How did foreign missions, like, come to be?
[00:03:19.540 --> 00:03:23.340]   Yeah, you know, oh, boy.
[00:03:23.340 --> 00:03:26.520]   Oh, my gosh.
[00:03:26.520 --> 00:03:29.360]   Well, okay, I'll just tell the story how it came to be.
[00:03:29.360 --> 00:03:33.780]   I was going to reach back and just share my thinking about foreign missions in general.
[00:03:34.020 --> 00:03:42.940]   So, you know, the way that we've worked at our church is not so much...
[00:03:42.940 --> 00:03:49.120]   This is going to sound, like, odd to people because so much of what we do is top-down.
[00:03:49.120 --> 00:03:52.520]   But we're also very, very person-centric.
[00:03:52.520 --> 00:03:59.420]   So one person can have a conviction and the whole thing can turn.
[00:04:00.980 --> 00:04:03.440]   So, you know, it was Justin.
[00:04:03.440 --> 00:04:05.600]   That was like how Davis started with...
[00:04:05.600 --> 00:04:06.220]   Justin.
[00:04:06.220 --> 00:04:06.800]   Justin Kim.
[00:04:06.800 --> 00:04:07.460]   It was Justin.
[00:04:07.460 --> 00:04:08.100]   Oh, wow, okay.
[00:04:08.100 --> 00:04:09.000]   I'm going to name him.
[00:04:09.000 --> 00:04:09.840]   All right, Justin Kim.
[00:04:09.840 --> 00:04:10.540]   Yeah.
[00:04:10.540 --> 00:04:12.280]   It's all your fault.
[00:04:12.280 --> 00:04:15.320]   He said, you know, how can I not go back to Cambodia?
[00:04:15.320 --> 00:04:16.220]   I'm young.
[00:04:16.220 --> 00:04:18.000]   I can still do this.
[00:04:18.000 --> 00:04:20.320]   Could you please send us?
[00:04:20.320 --> 00:04:22.960]   And I think I brushed him off year one.
[00:04:22.960 --> 00:04:25.780]   Said, well, I'll find a couple of friends and maybe we'll think about it.
[00:04:26.360 --> 00:04:33.740]   And he came back to me again and then there were some other things in the air.
[00:04:33.740 --> 00:04:41.420]   And then, of course, EDM, you know, hearing some pretty powerful messages about your vision
[00:04:41.420 --> 00:04:43.900]   is too small if it doesn't encompass the world.
[00:04:43.900 --> 00:04:47.320]   EDM is a conference for collegiate ministers.
[00:04:47.320 --> 00:04:47.820]   Yeah.
[00:04:47.820 --> 00:04:49.520]   One big theme of that is mission mobilization.
[00:04:49.660 --> 00:04:51.400]   That's the M. It's not electronic dance music.
[00:04:51.400 --> 00:04:51.920]   Yeah, yeah.
[00:04:51.920 --> 00:04:55.420]   Talking about evangelism, discipleship, and missions mobilization.
[00:04:55.420 --> 00:04:56.420]   Yeah, get the world's world missions.
[00:04:56.420 --> 00:05:03.500]   And, you know, and then there's sort of the diehard, you know, like East Asia team.
[00:05:03.500 --> 00:05:05.900]   And so all of that was stirring.
[00:05:05.900 --> 00:05:13.020]   And so we decided, okay, we have to be, if we're going to do this and we have to send a team,
[00:05:13.020 --> 00:05:15.140]   and if we're going to send a team, then we're going to take care of them.
[00:05:15.180 --> 00:05:18.880]   And if we're going to take care of them, then we might as well look at other countries in the neighborhood.
[00:05:18.880 --> 00:05:23.640]   And so it started with Cambodia, and then it went to Vietnam, it went to Thailand.
[00:05:23.640 --> 00:05:25.140]   We did this whole trip.
[00:05:25.140 --> 00:05:26.400]   And then Indonesia.
[00:05:26.400 --> 00:05:31.320]   And so we did the seven-country trip in I forgot how many weeks.
[00:05:31.320 --> 00:05:32.940]   I think we're out there close to a month.
[00:05:33.820 --> 00:05:38.340]   And then came back and couldn't rule out any of those countries.
[00:05:38.340 --> 00:05:44.620]   And so after we came back in October, we sent out a sign-up sheet.
[00:05:44.620 --> 00:05:47.620]   And then I think 300-some people signed up.
[00:05:47.620 --> 00:05:54.640]   And then we're able to field a team to those seven countries, you know, 84 people out there right now.
[00:05:54.640 --> 00:05:57.800]   And the idea wasn't necessarily to, like, start our own stuff.
[00:05:57.800 --> 00:06:03.100]   It was, like, finding people to help, but then also, like, exploring youth and, like, that kind of stuff.
[00:06:03.100 --> 00:06:10.260]   Yeah, so it wasn't our typical, like, we're going to land near a college campus and reach college students and disciple them.
[00:06:10.260 --> 00:06:14.200]   And it was also, like, we don't have to build our own thing.
[00:06:14.200 --> 00:06:14.560]   Right.
[00:06:14.820 --> 00:06:18.600]   Because we saw people, like, heroic people out there.
[00:06:18.600 --> 00:06:22.980]   Like, why don't we come alongside them and add fuel to what they're doing?
[00:06:22.980 --> 00:06:23.420]   Yeah.
[00:06:23.420 --> 00:06:23.760]   Right.
[00:06:23.760 --> 00:06:25.860]   So we said, hey, don't start.
[00:06:25.860 --> 00:06:27.120]   We're not starting our own thing.
[00:06:27.120 --> 00:06:28.280]   We're looking for partners.
[00:06:28.280 --> 00:06:28.700]   Right.
[00:06:28.700 --> 00:06:33.380]   And we're looking for probably a couple of partners, you know, given how hyperactive we are.
[00:06:33.380 --> 00:06:37.320]   You know, not one ministry could absorb our efforts, you know.
[00:06:37.320 --> 00:06:39.000]   So that was the approach.
[00:06:39.000 --> 00:06:44.400]   And it's starting to shift a little bit in some places as we're getting some traction with college students.
[00:06:44.580 --> 00:06:48.620]   So you were mentioning earlier, you were going to go here, but you didn't.
[00:06:48.620 --> 00:06:51.620]   But I think I would like to hear, like, yeah, you're kind of broader thinking about foreign missions.
[00:06:51.620 --> 00:06:56.540]   Because I think maybe one question that could be asked is, yeah, how come it took us this long to do foreign missions?
[00:06:56.540 --> 00:06:57.860]   But it's also not our first time.
[00:06:57.860 --> 00:06:58.880]   It's not our first time.
[00:06:58.880 --> 00:07:00.360]   Yeah, we were in Taiwan for a long time.
[00:07:00.360 --> 00:07:03.400]   But, yeah, like, what was the – what shifted?
[00:07:03.400 --> 00:07:05.820]   Because it did seem like we were resisting it for a long time.
[00:07:05.820 --> 00:07:06.800]   We're resisting it.
[00:07:06.800 --> 00:07:09.340]   And so my experience of foreign missions is guilt.
[00:07:09.340 --> 00:07:14.180]   I felt guilty before God.
[00:07:14.340 --> 00:07:17.880]   And before mission mobilizers, like, oh, man, you're doing the hardest stuff.
[00:07:17.880 --> 00:07:22.640]   And then to make up for that guilt, like, hey, but we're doing a lot here.
[00:07:22.640 --> 00:07:24.660]   And eventually we'll get there.
[00:07:24.660 --> 00:07:26.720]   When we mature, eventually we'll get there.
[00:07:28.600 --> 00:07:37.120]   I think that's maybe the limitation of our ministry ethos is we don't just send, you know?
[00:07:37.120 --> 00:07:44.100]   And I think that's what distinguishes us from more nimble collegiate ministries.
[00:07:44.100 --> 00:07:49.800]   And I look at them and, like, wow, there's power there because they're focused on four years.
[00:07:50.160 --> 00:07:52.880]   And, like, Cruz says, win, build, and send.
[00:07:52.880 --> 00:07:53.320]   Right.
[00:07:53.700 --> 00:07:57.660]   But send is literally, like, hey, we trained you.
[00:07:57.660 --> 00:08:01.100]   Now you go get them in your next season of life.
[00:08:01.100 --> 00:08:09.800]   You know, and we've – practically we found that people really flounder in major transitions.
[00:08:10.240 --> 00:08:14.400]   And college to post-college life is, I think, the biggest transition.
[00:08:14.400 --> 00:08:16.820]   I think it's way bigger than high school to college.
[00:08:17.620 --> 00:08:28.720]   And so to be not there with them didn't make sense, largely also because our ministry philosophy is that we're a family on mission together.
[00:08:28.720 --> 00:08:29.100]   Yeah.
[00:08:29.100 --> 00:08:30.860]   So we're X2.
[00:08:30.860 --> 00:08:32.280]   We take care of one another.
[00:08:32.280 --> 00:08:43.940]   And so with that kind of ministry culture, to send overseas means we're all going overseas.
[00:08:44.400 --> 00:08:55.160]   You know, that all of our attention and – and then I think we're kind of hung up on issues around safety a lot.
[00:08:55.160 --> 00:08:57.820]   I think because we're Asian.
[00:08:57.820 --> 00:09:04.980]   And then Asian parents don't understand that when a child reaches 18, they're adults.
[00:09:04.980 --> 00:09:06.140]   They don't understand that.
[00:09:06.700 --> 00:09:25.520]   And so whenever I think about any college student, I kind of imagine their parents and want to be responsible toward the parents with respect to what we're asking our students or even recent grads or even, like, people five years out of college to do.
[00:09:25.520 --> 00:09:36.880]   And I'm very aware of how far a mission field can really grab somebody's heart and get them to go out there.
[00:09:37.280 --> 00:09:39.260]   And then the reality is very different.
[00:09:39.260 --> 00:09:41.420]   And it's really frustrating.
[00:09:41.420 --> 00:09:44.000]   And it's not what they had imagined.
[00:09:44.000 --> 00:09:46.520]   And would they be able to sustain that?
[00:09:46.520 --> 00:09:52.160]   And in order to be sure that they can sustain that, they would have to have community and they would have to have long-term support.
[00:09:53.280 --> 00:10:02.600]   And every time we looked at that, we saw, you know, the campus next town over or other campuses that we haven't been able to reach.
[00:10:02.600 --> 00:10:04.540]   So it was a little bit of that.
[00:10:04.540 --> 00:10:14.100]   And I think maybe it's a sign that we have matured as a church, that now we feel like we can take this on.
[00:10:14.100 --> 00:10:16.100]   And, like, wow, we're able to.
[00:10:16.100 --> 00:10:18.160]   I think we're able to support them pretty well this year.
[00:10:18.280 --> 00:10:22.440]   Yeah, so what's your, like, assessment of, so when we did it, we pulled the trigger, we sent these teams out.
[00:10:22.440 --> 00:10:28.060]   What's your assessment of how that's been and, like, what the future of Foreign Mission holds?
[00:10:28.060 --> 00:10:34.760]   Yeah, well, we sent them out.
[00:10:34.760 --> 00:10:36.960]   They're all full-time.
[00:10:36.960 --> 00:10:40.960]   Like 83 of them, right?
[00:10:40.960 --> 00:10:46.720]   Yeah, and so we're supporting their rent and stipend and everything.
[00:10:47.780 --> 00:10:54.040]   And several things that I did not necessarily anticipate, the teams have gotten very close to each other.
[00:10:54.040 --> 00:10:57.040]   You know, it's just them out there.
[00:10:57.040 --> 00:11:01.980]   You know, you're at an outpost surrounded by a foreign culture.
[00:11:01.980 --> 00:11:06.140]   Most of these places, 1040 window, you know, extremely low number of Christians.
[00:11:06.140 --> 00:11:08.660]   And so they bonded with each other a lot.
[00:11:10.980 --> 00:11:15.040]   I wasn't expecting, like, I'm so happy here.
[00:11:15.040 --> 00:11:19.780]   I was expecting, this is hard, but it's worth it because of Jesus.
[00:11:19.780 --> 00:11:24.460]   What I'm hearing is, I feel so joyful here.
[00:11:25.820 --> 00:11:28.420]   So that was surprising.
[00:11:28.420 --> 00:11:34.960]   The teams are busy and doing well, and ministry has been fruitful.
[00:11:36.540 --> 00:11:38.740]   I thought, and I prepared them for this.
[00:11:38.740 --> 00:11:40.780]   Like, hey, first year, not much is going to happen.
[00:11:40.780 --> 00:11:42.420]   You're going to absorb the culture.
[00:11:42.420 --> 00:11:51.180]   You're going to figure out a lot of things for Team 2 and 3, how to live there, how to rent places, like, you know, what's possible, what's not.
[00:11:51.800 --> 00:11:59.240]   But, wow, they're making some inroads and blessing a lot of different ministries, you know, meeting amazing people.
[00:11:59.240 --> 00:12:03.880]   We met this amazing network of Chinese Christians who are there in Indonesia.
[00:12:03.880 --> 00:12:06.720]   Like, they've moved there.
[00:12:06.720 --> 00:12:07.800]   They're missionaries, too.
[00:12:07.800 --> 00:12:08.700]   They're missionaries.
[00:12:08.700 --> 00:12:11.700]   And it's, you know, business as a mission.
[00:12:11.700 --> 00:12:12.920]   They have a bunch of cafes.
[00:12:12.920 --> 00:12:14.060]   And I don't want to say more.
[00:12:14.060 --> 00:12:15.760]   I don't want to blow their cover, but, wow.
[00:12:15.760 --> 00:12:16.360]   That's crazy.
[00:12:16.360 --> 00:12:24.000]   So it's been exciting, and what we told them is, you are not going to stay another year.
[00:12:24.000 --> 00:12:29.200]   I told them that about 10 times before they left because I knew, can I stay?
[00:12:29.200 --> 00:12:30.240]   Can I extend my stay?
[00:12:30.240 --> 00:12:34.680]   And, you know, we said you can go only if you get parental blessing, even grudgingly.
[00:12:34.680 --> 00:12:40.200]   And the terms was one year, and so they're all serving one year.
[00:12:40.200 --> 00:12:44.420]   So now we've got second-year teams ready to go.
[00:12:44.420 --> 00:13:02.240]   And one of the things that we're trying to test is, something kind of wild and crazy, is can we sustain continuity and momentum on a mission field by doing this second-year team swapping with the first year?
[00:13:02.240 --> 00:13:12.620]   Because our short-term mission experiences has told us that affection for our teams from last summer transfers to the new team in the next summer.
[00:13:12.980 --> 00:13:20.200]   There's something about us that feels, and the information transfer is going to be very thorough because we're not strangers.
[00:13:20.200 --> 00:13:24.660]   So that's sort of what we're trying to test.
[00:13:25.500 --> 00:13:35.920]   And if that should turn out to be possible, then this one-year stint in the foreign mission field becomes an incredible, like, sort of leadership training experience.
[00:13:35.920 --> 00:13:49.380]   You know, we've got couples with two kids out there, and the kids are having this experience without merely turning mission trip, like, the mission field into our own classroom for our own leadership development sake.
[00:13:49.440 --> 00:13:53.820]   But actually trying to build continuity there with our mission partners and the things that we're doing.
[00:13:53.820 --> 00:13:56.660]   So hopefully that's the future.
[00:13:56.660 --> 00:14:04.080]   Now, I anticipate that some of our returnees from the mission field will want to go back long-term.
[00:14:04.080 --> 00:14:06.620]   And I have to brace for that.
[00:14:06.620 --> 00:14:19.040]   And then I think we'll have to go the traditional route, get some consultation from missions experts, do some language study, and really be prepared for that.
[00:14:19.300 --> 00:14:20.800]   But I think that it would be in the future.
[00:14:20.800 --> 00:14:21.940]   It's that sort of phase two.
[00:14:21.940 --> 00:14:22.480]   Yeah.
[00:14:22.480 --> 00:14:23.200]   Yeah.
[00:14:23.200 --> 00:14:23.520]   Yeah.
[00:14:23.520 --> 00:14:24.140]   Yeah.
[00:14:24.140 --> 00:14:24.680]   Yeah.
[00:14:24.680 --> 00:14:25.020]   Wow.
[00:14:25.020 --> 00:14:33.400]   So, you know, we sent all these people, and I think now our network's on, like, 70-plus campuses or whatever in eight countries.
[00:14:33.400 --> 00:14:38.140]   The chess board for when you guys retire is a lot more complicated now.
[00:14:38.140 --> 00:14:38.180]   Yeah.
[00:14:38.180 --> 00:14:45.940]   It's like we've been building up and up and up, and now you guys are going to be in the not-too-distant future stepping down.
[00:14:46.360 --> 00:14:48.540]   So what can you tell us?
[00:14:48.540 --> 00:14:59.060]   I know a lot is still in development and kind of we're still at the drawing board, but what can you tell us about your current thoughts about what does X2 Network look like after you step down?
[00:14:59.060 --> 00:15:07.780]   I think I'm less clear on what it looks like than what it shouldn't look like, what it's not going to look like.
[00:15:07.840 --> 00:15:25.600]   What it's not going to look like is what it looks like now, which is, you know, we've somehow managed to spread far and wide while still maintaining a very family-like relational cohesion.
[00:15:26.980 --> 00:15:44.480]   And without sounding like I'm overestimating myself too much, I think it all ties to relational strength among the directors who all have very strong relational strength with, you know, network of people.
[00:15:44.580 --> 00:15:54.600]   So it all sort of revolves around a relational network with us at the core, and we are the oldest, literally, in our church.
[00:15:55.240 --> 00:16:17.240]   And so it's not a role, I don't think, I mean, I play roles and I have functions, but Kelly and I, our role as just being the relational center that everybody just listens to,
[00:16:17.240 --> 00:16:21.860]   those two, um, I think that's going to come to an end and not be replaced.
[00:16:21.860 --> 00:16:42.600]   So we're going from something like a family to a little bit more, um, process and, um, kind of, um, maybe strength, gifting, merit-based kind of organization,
[00:16:42.920 --> 00:16:49.580]   which is, uh, a big shift, big cultural shift, and it won't happen like in one step.
[00:16:49.580 --> 00:16:54.000]   And it's not just, um, Kelly and I that's going to retire.
[00:16:54.000 --> 00:17:01.540]   Like we need to, you know, we, we, we're all, um, lifelong friends, lifelong people on mission together.
[00:17:01.540 --> 00:17:09.200]   So we need to figure out a path, uh, for everyone, uh, to retire into.
[00:17:09.700 --> 00:17:15.580]   So, you know, the other directors, they're, you know, maximum, about a decade behind us.
[00:17:15.580 --> 00:17:24.640]   And so, you know, when you get to be in your sixties, you know, like some of us are super agers and some people are going to start losing it a little faster.
[00:17:24.640 --> 00:17:38.380]   So, you know, right around that time, we all need to be, you know, like gardening somewhere in one of our, our, our retreat sites or like, we all need to figure something out to do together.
[00:17:38.380 --> 00:17:45.340]   And hopefully we'll be, uh, uh, uh, like a wisdom council there to draw from.
[00:17:45.340 --> 00:17:58.240]   So it's not just figuring out our organizational, um, future, but also kind of a, a fulfilling and age appropriate pathway for us.
[00:17:58.240 --> 00:18:09.960]   And all the, uh, the subsequent people leaders who have been faithful three decades, four decades, you know, and, um, that's got to feel, uh, good.
[00:18:09.960 --> 00:18:16.200]   That's got to feel like acts two, that's got to feel fulfilling, you know, we'll continue to preach the gospel somewhere.
[00:18:16.200 --> 00:18:25.860]   Um, we'll start going to different nursing homes, uh, you know, and so, so that has to be figured out, um, like a, like a pathway for our whole church.
[00:18:25.860 --> 00:18:27.240]   So is Barnabas part of that or is that?
[00:18:27.240 --> 00:18:27.580]   Yeah.
[00:18:27.580 --> 00:18:27.940]   Yeah.
[00:18:27.940 --> 00:18:28.240]   And then, yeah.
[00:18:28.240 --> 00:18:39.640]   So Barnabas is a huge part of that because we're, we're noticing that people, um, so in another 10 years, we're going to have, uh, I think it's 99 exactly empty nester couples.
[00:18:39.640 --> 00:18:40.080]   Wow.
[00:18:40.080 --> 00:18:42.920]   Right now we have 17.
[00:18:42.920 --> 00:18:43.920]   Wow.
[00:18:43.920 --> 00:18:47.900]   Man, once you're an empty nester, you don't have to go home.
[00:18:47.980 --> 00:18:56.600]   Like you have, and by that time you have so much wisdom and there's such benevolence toward young guys doing the hard things in the front lines.
[00:18:56.600 --> 00:19:11.760]   And so I think, um, so we started the, the Barnabas group, you know, Barnabas from son of encouragement to encourage our, our younger couples offering a lot of wisdom classes, like how to talk to your children, um, how to handle stress.
[00:19:11.760 --> 00:19:24.680]   But I think it has to be, it has to be built out a lot more and a lot more at all of our hub cities where we can be within driving reach of a lot, a lot of younger people so that we can take care of their marriage and their families.
[00:19:24.680 --> 00:19:26.860]   So that will be a big part of it.
[00:19:26.860 --> 00:19:33.260]   As for, um, the organizational shape of our, uh, movement.
[00:19:34.100 --> 00:19:42.300]   I, I can see, uh, workable solutions around several different, different paths and we haven't quite settled on one.
[00:19:42.300 --> 00:19:52.100]   Um, I think we can, uh, become radically autonomous, uh, and be tied together in a cooperative sense.
[00:19:52.100 --> 00:19:55.800]   So we'll cooperate together for big projects.
[00:19:55.800 --> 00:20:21.440]   We'll still do like national staff conference, but maybe open it up to outsiders or we can do, um, we can place a lot more of the governance and decision-making in the regions because often the local ministry, uh, depending on what city, what campus you're in, you're not going to have the people resources, uh, to be able to, to handle some things that come up.
[00:20:21.440 --> 00:20:29.440]   Um, and so maybe the region, and so we would, um, and, and the thing that I'm afraid of is people think, oh no, we're breaking up.
[00:20:29.440 --> 00:20:49.400]   And like, no, we're not, we're, we're, we're actually, uh, going to enhance ministry and, uh, keep our very people-centric orientation, person-centered orientation and considerations by making decision-making happen much closer, uh, to, to the people that are going to have to live with those decisions.
[00:20:49.400 --> 00:21:02.440]   Uh, and so, um, so, um, so, so, so it's sort of the size of the basic unit and how decision-making is going to happen there.
[00:21:02.440 --> 00:21:14.980]   And it'll probably be some kind of plurality of leaders, but the plurality of leaders sort of specializing in maybe mission expansion, staff care, uh, things like that, so that people's lanes are predefined by their roles.
[00:21:14.980 --> 00:21:22.780]   Uh, and then some may be very loose, uh, national organization, which at a certain point may just phase out.
[00:21:22.780 --> 00:21:26.380]   So that's sort of one, one pathway.
[00:21:26.380 --> 00:21:34.820]   Another pathway is to keep, um, the national organization, um, strong in terms of training resources.
[00:21:35.220 --> 00:21:47.120]   Uh, because I think one of the things about our churches, we're all about bivocational, everybody in our network, vast majority, but, um, they're getting plenty of training and expertise by doing it.
[00:21:47.120 --> 00:21:50.880]   But sometimes they need to be pulled back and receive some, some, some training.
[00:21:50.880 --> 00:21:51.160]   Yeah.
[00:21:51.160 --> 00:22:03.320]   And so, and training is one way to, uh, kind of, um, create a sense of oneness, uh, without it being organizationally united.
[00:22:03.800 --> 00:22:05.520]   So that's another idea.
[00:22:05.520 --> 00:22:08.440]   So we're trying to figure that out still.
[00:22:08.440 --> 00:22:09.240]   Yeah.
[00:22:09.240 --> 00:22:14.600]   So there's a lot, like, kind of like you're saying necessarily with you guys gone, things are going to change.
[00:22:14.600 --> 00:22:16.320]   Like, it's not going to be the exact same.
[00:22:16.320 --> 00:22:22.760]   Um, I guess one question would be, what are some of the things that you feel like we like definitely have to hold on to?
[00:22:22.760 --> 00:22:26.600]   Like preserve kind of the non-negotiables no matter what, this we need to preserve about us.
[00:22:26.600 --> 00:22:29.720]   You know, maybe it's not that we're one big group anymore, but this we need to preserve.
[00:22:29.720 --> 00:22:37.200]   And then what are some things that people might not think about that you think we could let go of that, you know, that we do currently, but you would be okay losing.
[00:22:37.200 --> 00:22:47.240]   Well, I think, um, the number of things that we need to preserve, I think the, depending on at what resolution we talk about it, it could go on and on.
[00:22:47.720 --> 00:23:10.920]   Um, but I think, um, priesthood of all believers, you know, everybody should be serving in ministry, no spectators, no, no pure warmers, um, de-emphasizing gifting so that, um, so that it doesn't subvert, um, priesthood of all believers, everybody being on ministry together, uh, that, that, that value intention.
[00:23:10.920 --> 00:23:35.260]   And then, um, and then, um, and then I think, um, very non, sort of, sort of low emphasis on doctrinal, uh, fine points of doctrine, you know, mere Christianity, G-O-S-P-E-L, you know, gospel, uh, soul winning, saving souls, very great commission focused, and, um, doing it as a family on mission together.
[00:23:35.260 --> 00:23:39.100]   Um, I, I mean, spiritual family on mission together.
[00:23:39.100 --> 00:23:48.820]   Um, so I think, I think if we preserve that, everything kind of follows, um, I think there are a lot of things we could lose.
[00:23:49.220 --> 00:24:07.920]   Um, and, um, and, um, in some ways I, I think, um, the younger somebody is, the more they don't know how to distinguish, um, what's, what's central and what are just, like, precedents that somebody did that you don't have to do anymore or, you know, it's very flexible.
[00:24:07.920 --> 00:24:08.340]   Yeah.
[00:24:08.340 --> 00:24:09.160]   What are some of those?
[00:24:10.760 --> 00:24:25.740]   Um, I think, um, a lot of our value stances of the past had certain decisions around them that were very context-specific and time-specific and, and, and generation-specific.
[00:24:25.740 --> 00:24:26.460]   Mm-hmm.
[00:24:26.460 --> 00:24:29.160]   But those get, those keep getting passed down.
[00:24:29.160 --> 00:24:29.800]   Mm-hmm.
[00:24:29.800 --> 00:24:34.300]   So, um, I don't know, um, what are some of those?
[00:24:34.300 --> 00:24:43.880]   I think, like, um, being, being all up in arms about, like, flirtatious behavior and co-ed gatherings and things like that, I think we totally lose that.
[00:24:43.880 --> 00:24:48.480]   There's no way that's a battle we can win or worth, worth engaging in.
[00:24:48.480 --> 00:24:48.820]   Mm-hmm.
[00:24:48.820 --> 00:25:02.780]   So I still hear people saying, like, oh, no, you know, a bunch of upperclassmen, um, got together, like, some freshmen and sophomores, and, at the dorm lounge, and they were watching, I don't know, something.
[00:25:02.780 --> 00:25:08.840]   And, and, um, of course, like, of course you're nervous about that, right?
[00:25:08.840 --> 00:25:09.760]   And you weren't there.
[00:25:09.760 --> 00:25:14.520]   And, you know, if, if people are doing something and you weren't there, you already feel like, well, what the heck happened?
[00:25:14.520 --> 00:25:16.880]   You already feel a little bit disapproving toward that.
