
[00:00:00.000 --> 00:00:21.440]   I'm Mo. I'm director of AI products at Alex Partners. Prior to this, I was a co-founder of an
[00:08:05.280 --> 00:08:13.200]   machine learning model. You'd have to stem your data, remove stop words, build a classifier, support vector
[00:08:13.200 --> 00:08:21.840]   machines, naive base. It's a lot of work. Enter the new way, structured outputs. So with structured outputs,
[00:08:21.840 --> 00:08:26.240]   you can get the answer a lot easier. This is unsupervised learning. This is literally what that
[00:08:26.240 --> 00:08:31.760]   would look like. Say you have a list of companies, JD factors, and you have to categorize it into a taxonomy.
[00:08:31.760 --> 00:08:37.200]   Here, the taxonomy would be the North American industry classification system, the NAICS codes.
[00:08:37.200 --> 00:08:42.160]   Each code has a description. And in this case, it would be other cache management, for instance.
[00:08:42.160 --> 00:08:49.280]   Typically, JD factors is probably not part of the foundational model's knowledge. So how do we
[00:08:49.280 --> 00:08:55.760]   ensure that the classification works well? Enter tool call. You can run a web query to append information
[00:08:55.760 --> 00:09:00.720]   to each of these pieces of -- to each of these companies and then categorize enormous volumes.
[00:09:00.720 --> 00:09:08.080]   So this is what we've been doing. And we found that we've had huge wins from this. So what this has
[00:09:08.080 --> 00:09:15.360]   done is this democratized access to text classification for us. I want to talk about the learnings that we've
[00:09:15.360 --> 00:09:23.200]   had from deploying this surgically at our company. Enormous wins in speed and accuracy. Those accuracy gains have
[00:09:23.200 --> 00:09:29.600]   not come cheaply. This might be unsupervised learning, but it's not unchecked. We've had to have the right
[00:09:29.600 --> 00:09:33.200]   relationships with the business partners who've worked hand in hand with us to ensure that we get to the
[00:09:33.200 --> 00:09:39.680]   accuracy that we wanted. What this does is convert skeptics into champions. We don't become snake oil
[00:09:39.680 --> 00:09:45.280]   salesmen pushing and peddling AI. It becomes a pull from the firm that's asking us, "Hey, can you use this,
[00:09:45.280 --> 00:09:50.720]   or can you apply gen AI for us in these other initiatives?" Which is really powerful. It's important
[00:09:50.720 --> 00:09:55.040]   to have business context. That gets embedded for us in those taxonomies which are being used for
[00:09:55.040 --> 00:10:01.600]   classification. Everyone's talking about agents. Well, you need to get the individual steps right
[00:10:01.600 --> 00:10:05.840]   correctly. And what this does is it builds that individual step to a high level of robustness and
[00:10:05.840 --> 00:10:11.280]   accuracy that we can daisy chain into the agentic workflows that we want. And finally, you know,
[00:10:11.280 --> 00:10:16.640]   a callout is that these results are stochastic and not necessarily deterministic. That comes with some
[00:10:16.640 --> 00:10:23.440]   risks. Kevin will talk more about those. Punchline here, we've been able to achieve 95% accuracy across
[00:10:23.440 --> 00:10:30.320]   10,000-- categorizing 10,000 vendors, doing in minutes what would have taken days at an order of magnitude less
[00:10:30.320 --> 00:10:37.760]   cost. All right. Next use case. This wouldn't be an AI conference if we didn't talk about RAG. So what do we--
[00:10:37.760 --> 00:10:43.920]   how do we-- how do we-- how do we see RAG at our firm? You get dumped with a bunch of data. Here's 80 gigs of
[00:10:43.920 --> 00:10:49.920]   internal documents. What did ACME release in 2020? Let's say you've got a court filing that you have to
[00:10:49.920 --> 00:10:54.400]   submit on Monday and it's Friday. You know, you might get asked the question, "What is ACME's escalation
[00:10:54.400 --> 00:11:00.160]   procedures for reporting safety violations?" How do we do this in the past? You'd have an index, a literal
[00:11:00.160 --> 00:11:04.640]   index. Someone would say, "In an Excel file, what documents have been received, what documents haven't been
[00:11:04.640 --> 00:11:11.600]   received and where are they?" Or hope not, but maybe you'd use search and you have SharePoint search or
[00:11:11.600 --> 00:11:16.320]   something like that that probably wouldn't find you what you're looking for. Well, what do we do now?
[00:11:16.320 --> 00:11:22.480]   We have an enterprise-scale RAG app. It has to handle hundreds of gigabytes of data, PowerPoints,
[00:11:22.480 --> 00:11:29.120]   documents, Excel, CSVs, all sorts of formats, and huge volumes. What can you append to that? You can
[00:11:29.120 --> 00:11:33.440]   append tool calls to third-party proprietary databases. Let me talk about that for a second.
[00:11:33.440 --> 00:11:38.080]   What are the trade-offs that we've had? Sorry, I'm going really fast, short on time.
[00:11:38.080 --> 00:11:45.520]   The wins and the losses. So it's been--RAG is invaluable at consulting companies because you get
[00:11:45.520 --> 00:11:49.600]   dumped on a project really quick and you have to get up to speed, so it ends up being really valuable.
[00:11:50.240 --> 00:11:58.560]   But I want to call out the teaching LLM APIs part. Typically, certain data sources would be siloed
[00:11:58.560 --> 00:12:03.600]   behind organizations that had licenses that would have to pull information from a web UI. That would
[00:12:03.600 --> 00:12:08.880]   then be emailed to a certain team, and then that team would analyze the Excel. Well, what we did was we
[00:12:08.880 --> 00:12:14.080]   took the API spec, embedded it, and taught the LLM how to call an API. We have democratized access to
[00:12:14.080 --> 00:12:18.240]   information that would otherwise have taken days for people to use. Really condensing the time, as Kevin said
[00:12:18.240 --> 00:12:24.000]   before, in some of the projects on the high-value work. The last thing to call out about RAG is that
[00:12:24.000 --> 00:12:28.880]   it serves as a substrate on which you can tack on a number of Gen AI features that's proven really
[00:12:28.880 --> 00:12:34.160]   valuable for us at our firm. A number of call-outs, you know, people have high expectations on what they
[00:12:34.160 --> 00:12:39.680]   want to receive from a prompt box. If you say reason across all documents, that's just not how RAG works.
[00:12:39.680 --> 00:12:43.680]   So we have to build those solutions step by step, and it's a long journey that we have to go on,
[00:12:43.680 --> 00:12:47.360]   and we're excited to be on it. With that, over to Kevin and the third use case.
[00:12:47.360 --> 00:12:53.200]   Yeah. Thanks. So it's a good thing Box went before us, because they covered a lot of the advantages
[00:12:53.200 --> 00:12:59.280]   of the ability, fundamentally, to take unstructured data and create structure from that. It is an
[00:12:59.280 --> 00:13:04.240]   unbelievably powerful concept. It's very simple on its face, but it is incredibly powerful in an
[00:13:04.240 --> 00:13:09.920]   enterprise context, because you can take something like this credit agreement, it's 50 or so pages long,
[00:13:09.920 --> 00:13:15.200]   in terms of a PDF, and you can very quickly extract information that's useful, like contract parties,
[00:13:15.200 --> 00:13:21.360]   maturity date, senior lenders, whoever that might be. And so you see folks like Jason Liu,
[00:13:21.360 --> 00:13:26.560]   Pynantic is all you need. It is still true, it is still all you need. And fundamentally, what this looks
[00:13:26.560 --> 00:13:32.880]   like, and Box went through a lot of it, but it's combining a document with a schema, with an LLM, with
[00:13:32.880 --> 00:13:38.960]   some validation and scaffolding around it to make sure that you're pulling out the values that you need. And the
[00:13:38.960 --> 00:13:43.440]   business value really is in the schema of what you're actually what you're extracting and why you're
[00:13:43.440 --> 00:13:48.960]   extracting that information. It's the flexibility that is really powerful here, because you can start to
[00:13:48.960 --> 00:13:54.160]   reapply it across different types of engagements. Investigations might be looking at something entirely
[00:13:54.160 --> 00:13:59.120]   different than an M&A transaction. This fundamental capability can span across all those.
[00:13:59.120 --> 00:14:04.000]   And the power is there at the bottom, where you can do this type of thing repeatedly across
[00:14:04.000 --> 00:14:08.320]   multiple documents of thousands, tens of thousands, hundreds of thousands of documents,
[00:14:08.320 --> 00:14:13.280]   where doing a human review might take days or weeks. Using an LLM, you can get it down to minutes.
[00:14:13.280 --> 00:14:21.280]   It's incredibly powerful. In terms of user trust, we not only are using external sources like Box and others as
[00:14:21.280 --> 00:14:28.400]   well, but we've rolled our own internally as well. And so in terms of just exposing some of the model
[00:14:28.400 --> 00:14:34.000]   internals to users to have somewhat of an off-ramp for them to understand where the model is more or
[00:14:34.000 --> 00:14:40.800]   less confident, we use the logprobs that's returned from the OpenAI API, and we align that with the output
[00:14:40.800 --> 00:14:46.720]   schema from structured outputs. So we ignore all the JSON data, we ignore the field names themselves, we just
[00:14:46.720 --> 00:14:52.560]   hone in on the values themselves. So in this case, the green box above the interest rate of LIBOR
[00:14:52.560 --> 00:14:58.480]   plus one percent per annum, that's the field that we want. We basically take the geometric mean of the
[00:14:58.480 --> 00:15:04.720]   logprobs associated with those tokens in particular, and use that as a rough proxy of the model's confidence
[00:15:04.720 --> 00:15:12.160]   in producing that output. So the boxes way at the beginning that you saw in terms of green and yellow is a
[00:15:12.160 --> 00:15:17.440]   direct reflection of the confidence level. So it's a really relatively intuitive way for users to get
[00:15:17.440 --> 00:15:21.680]   an understanding of the model's confidence, again, for human review to the extent that's needed.
[00:15:21.680 --> 00:15:27.200]   I won't go through all these, but fundamentally, like I said, it is magic when it works, and it works at
[00:15:27.200 --> 00:15:31.600]   scale. It is a total unlock, particularly for non-technical folks who are not up to speed with the
[00:15:31.600 --> 00:15:37.920]   capabilities of LLMs. To be able to do this is a light switch, light bulb moment for them, and it really is a game
[00:15:37.920 --> 00:15:43.520]   changer. Now, that being said, there's a lot of work to be done in terms of validation. You saw all the
[00:15:43.520 --> 00:15:48.960]   work that Box and others have done in terms of getting it to a level of rigor that users can trust,
[00:15:48.960 --> 00:15:55.680]   and so that's really a key tenet for all this. And so finally, I'll turn it to Mo for the must-haves.
[00:15:55.680 --> 00:16:01.840]   So just a couple quick call-outs. I know this is a tech conference, but a lot of this, to get to work at the
[00:16:01.840 --> 00:16:06.080]   enterprise requires people skills and working closely with the organization. There are a couple things I want to
[00:16:06.080 --> 00:16:09.520]   call out that have been really important for us to scale our Gen AI initiatives at our firm.
[00:16:09.520 --> 00:16:17.120]   The first one is demos. We build in Streamlit, but we prototype in Streamlit, but we build in React.
[00:16:17.120 --> 00:16:21.200]   And so we have a constant cadence once a month that we show the latest and greatest of what we're
[00:16:21.200 --> 00:16:26.240]   building. This inspires the firm in what we're able to build and continue to invest in our initiatives.
[00:16:26.240 --> 00:16:32.160]   And the second thing is, you know, there's always the next shiny thing. Agents, MCP,
[00:16:33.120 --> 00:16:40.560]   the latest model. NPS is our metric. ROI is our metric, and that is one hard-earned, one bug fix at a
[00:16:40.560 --> 00:16:45.680]   time. I'll skip the other one. You know, partnerships are really important. It's a shared journey, so.
[00:16:45.680 --> 00:16:50.640]   And I think we're out of time, but I'll leave you with this. Once Excel-powered
[00:16:51.200 --> 00:17:03.360]   LLMs actually work, we will be at AGI. So I'm looking forward to that next talk. Thank you. Thank you.

