
[00:00:00.040 --> 00:00:19.320]   Okay. Hey, everyone. I'm Gerry, co-founder and CEO of Llama Index. It's great to be here,
[00:09:44.720 --> 00:09:56.080]   Um, the best baseline is not really RAG or Texas CSV. Um, those both suck. Um, it's really just an LLM
[00:09:56.080 --> 00:10:00.720]   being able to write code. Um, so, uh, LLM with the code interpreter tool is a reasonable baseline,
[00:10:00.720 --> 00:10:07.120]   gets you to 70, 75% accuracy. Um, over like a private dataset of synthetic Excel sheets, uh, we basically
[00:10:07.120 --> 00:10:13.840]   were able to get this up to 95%. Um, it actually surpasses human baselines of 90% of a human trying to go and do the data
[00:10:13.840 --> 00:10:22.400]   transformation by hand. Um, a brief note on how it works. Uh, it's a little bit technical, um, but you
[00:10:22.400 --> 00:10:28.080]   know, more details are in the blog post. Um, first we do some sort of structure understanding of the Excel
[00:10:28.080 --> 00:10:35.760]   spreadsheet. So we do a little bit of RL reinforcement learning. Um, you know, uh, we actually kind of adapt
[00:10:35.760 --> 00:10:42.400]   dynamically to the specific format of the document, um, and learn a semantic map of the sheet. By learning a
[00:10:42.400 --> 00:10:49.120]   semantic map, uh, we can then translate this into, um, kind of a set of specialized tools that you provide
[00:10:49.120 --> 00:10:54.240]   to an agent. And so from an abstract perspective, you can kind of think about it as an agent could just
[00:10:54.240 --> 00:10:59.840]   write code from scratch. Um, as LLMs get better, that will certainly become, um, an ease like a kind of
[00:10:59.840 --> 00:11:05.200]   higher performing baseline. But in the meantime, we're helping it out by really providing, uh, a set of
[00:11:05.200 --> 00:11:11.840]   specialized tools over the semantic map. So you can reason over an Excel spreadsheet. Great. Um,
[00:11:11.840 --> 00:11:16.160]   the next piece here is, so we talked about a document toolbox. Uh, we talked about a lot of
[00:11:16.160 --> 00:11:21.760]   operations basically make this, uh, document toolbox really good and comprehensive. So now that you plugged
[00:11:21.760 --> 00:11:26.080]   it into an agent, what are the different agent architectures and what are the use cases are implied
[00:11:26.080 --> 00:11:33.200]   by them? Um, as many of you probably know from building agents yourselves, agent orchestration ranges from more constrained
[00:11:33.200 --> 00:11:38.080]   architectures to unconstrained architectures. Um, constrained is basically you kind of more explicitly
[00:11:38.080 --> 00:11:42.320]   define the control flow. Unconstrained is like a react loop, function calling, codex, uh, whatever.
[00:11:42.320 --> 00:11:46.240]   You basically give it a set of tools and let it run. Um, deep research is kind of the same thing.
[00:11:46.240 --> 00:11:54.720]   Um, for us, we basically noticed there's two main categories of UXs. Um, there's more assistant-based UXs
[00:11:54.720 --> 00:12:00.880]   that can basically surface information and, um, help a human surface information or produce some unit of
[00:12:00.880 --> 00:12:06.160]   knowledge work through usually a chat-based interface. It's usually chat-oriented, the inputs, natural
[00:12:06.160 --> 00:12:11.680]   language. Um, the architecture is a little bit more unconstrained. You know, it's basically a react loop
[00:12:11.680 --> 00:12:17.840]   over some set of tools. Um, and it's inherently both unconstrained but also with a higher degree of human
[00:12:17.840 --> 00:12:23.440]   in the loop. So the goal is-- or the expectation is that the human is supposed to kind of guide and coax
[00:12:23.440 --> 00:12:28.080]   the agent, uh, along the steps of the process to basically achieve the task at hand.
[00:12:28.080 --> 00:12:34.720]   There's a-- I mean, there's-- I'm sure many of you have built these types of use cases, and so this is just
[00:12:34.720 --> 00:12:40.240]   a very small subset. Um, but it's basically just, you know, your, uh, generalization of a rag chatbot.
[00:12:40.240 --> 00:12:45.840]   There's a second category of use cases that I think is interesting, and I think a lot of folks are actually
[00:12:45.840 --> 00:12:52.160]   starting to build more into this space, which is, um, this automation interface. So being able to
[00:12:52.160 --> 00:12:57.120]   actually, instead of, uh, providing some assistant or co-pilot to help a human get more information,
[00:12:57.120 --> 00:13:03.280]   um, processing routine tasks in a multi-step, end-to-end manner. And usually the architecture
[00:13:03.280 --> 00:13:09.040]   is a little bit different. Um, it takes in some batch of inputs. Uh, it can run in the background,
[00:13:09.040 --> 00:13:13.840]   or it could be triggered ad hoc by the human. Um, the architecture is a little bit more constrained,
[00:13:13.840 --> 00:13:18.400]   which kind of makes sense, right? If you want this thing to run more end-to-end, um, you need it to
[00:13:18.400 --> 00:13:24.000]   not just go off the rails. Um, and there's usually a little bit less human in the loop at every step
[00:13:24.000 --> 00:13:28.880]   of the process, and usually some sort of, like, batch review in the end. And the output is, like,
[00:13:28.880 --> 00:13:33.840]   structured results, integration with APIs, uh, decision-making. After approval, it'll just go
[00:13:33.840 --> 00:13:39.040]   route to the downstream systems. Some of the use cases here include, you know, financial data
[00:13:39.040 --> 00:13:43.840]   data normalization, data sheet extraction, invoice reconciliation, contract view, and more.
[00:13:43.840 --> 00:13:52.000]   Um, I'll skip this video, but, you know, there's some fun example of some community-based
[00:13:52.000 --> 00:13:56.240]   open-source repos we built in this area, like the invoice reconciler by Lori Voss.
[00:14:01.120 --> 00:14:07.680]   Uh, kind of general idea that we've emerged, that has emerged and we've noticed as a pattern is,
[00:14:07.680 --> 00:14:12.720]   you know, oftentimes the automation agents can serve as a back-end, because it runs in the background,
[00:14:12.720 --> 00:14:17.680]   you know, can do the data ETL transformation. They're still human in the loop, but it's kind
[00:14:17.680 --> 00:14:22.720]   of the doing the thing where it needs to process and structure a lot of data, um, and do decisions
[00:14:22.720 --> 00:14:27.840]   in the background. And then assistant agents are kind of more front-end facing, right? And so automation
[00:14:27.840 --> 00:14:33.600]   agents can structure, process your data, and provide the right tool interfaces, um, for assistant agents.
[00:14:33.600 --> 00:14:39.680]   Not every tool depends on agentic reasoning, but for a lot of these use cases, like for a very
[00:14:39.680 --> 00:14:45.040]   generalized data pipeline, um, where you're processing a lot of unstructured context, you might have
[00:14:45.040 --> 00:14:50.320]   automation agents go in and process your data, provide the right tools for some sort of more, uh,
[00:14:50.320 --> 00:14:59.120]   research user facing interface. So we talked about building a document toolbox. We talked about,
[00:14:59.120 --> 00:15:03.440]   you know, the, uh, the, the different categories of agentic architectures and putting it together.
[00:15:03.440 --> 00:15:09.520]   Um, here are some real world use cases of document agents. And these are basically examples of agents
[00:15:09.520 --> 00:15:14.880]   that actually help automate different types of knowledge work. So one of our favorite examples
[00:15:14.880 --> 00:15:21.680]   is a combination of both automation and assistant UXs for financial due diligence. Um, Carlyle is one of
[00:15:21.680 --> 00:15:27.200]   our, uh, favorite customers and partners. Um, you know, they basically used, uh, some of the core
[00:15:27.200 --> 00:15:33.200]   capabilities that we have to build an end-to-end leverage bio agent. Um, you know, it requires an
[00:15:33.200 --> 00:15:38.160]   automation interface to inhale massive amounts of unstructured public and private financial data.
[00:15:38.160 --> 00:15:45.760]   Um, Excel sheets, PDFs, PowerPoints, go through some bespoke extraction algorithms with human in the loop
[00:15:45.760 --> 00:15:51.920]   review. And then once that data is actually structured in the right format, providing a copilot
[00:15:51.920 --> 00:15:57.680]   interface, uh, for the analyst teams to actually both get insights and generate reports over that data.
[00:15:57.680 --> 00:16:04.320]   If you look at any enterprise search use case, that typically falls within the assistant UX. Um,
[00:16:04.320 --> 00:16:09.200]   SemEx is one of our favorite, uh, customers in this space where, you know, just being able to define
[00:16:09.200 --> 00:16:14.800]   a lot of different collections to different sources of data and providing more task-specific specialized
[00:16:14.800 --> 00:16:21.200]   agentic rag chatbots over your data, right? Um, you know, it's basically a rag, but you add like an agentic
[00:16:21.200 --> 00:16:26.240]   reasoning layer on top so that you can basically break down user queries, do research, and answer the
[00:16:26.240 --> 00:16:35.600]   question at hand. And on the pure automation UX aside, uh, we notice a lot of kind of use cases
[00:16:35.600 --> 00:16:41.760]   popping up around automate automation and efficiency. And so one example is actually technical data sheet
[00:16:41.760 --> 00:16:47.600]   ingestion. Um, you know, we're working with a global electronics company. They have a lot of data sheets
[00:16:47.600 --> 00:16:53.120]   that need to be automatically processed and reviewed. And historically, it's taken a lot of human effort to
[00:16:53.120 --> 00:16:59.680]   actually do this. Um, so by creating the right end-to-end automation agent, you can basically encode the
[00:16:59.680 --> 00:17:04.960]   business-specific logic for parsing these types of documents, extracting out the right pieces of
[00:17:04.960 --> 00:17:11.360]   information, matching it against specific rules, and outputting the structured data into SQL. There's
[00:17:11.360 --> 00:17:17.840]   human-in-the-loop review, um, but if we're actually able to do this end-to-end, it transforms weeks of
[00:17:17.840 --> 00:17:22.640]   just like, you know, technical writer work, um, into an automated extraction interface.
[00:17:22.640 --> 00:17:28.320]   So that's basically it. Um, you know, for those of you who are less familiar,
[00:17:28.320 --> 00:17:33.200]   Lama Index is, uh, the most accurate customizable platform for automating your document workflows with
[00:17:33.200 --> 00:17:38.080]   agentic AI. Um, our mission statements evolved a little bit since the past few years. We're, uh,
[00:17:38.080 --> 00:17:43.520]   for a very broad horizontal, uh, framework oftentimes focused on RAG. Um, but if you're interested in some of the
[00:17:43.520 --> 00:17:56.080]   capabilities, uh, come talk to us, and then please come check us out at Booth G11. Thank you.

