
[00:00:00.760 --> 00:00:02.120]   Hi, I'm Tony Sager.
[00:05:21.760 --> 00:05:25.820]   entrepreneurship in terms of getting a passive income business,
[00:05:25.820 --> 00:05:27.480]   and then selling a business.
[00:05:27.480 --> 00:05:32.360]   Those are kind of the four ways that I've seen from people that I've spoken to
[00:05:32.360 --> 00:05:35.380]   to find a way to get out of the nine-to-five and get more freedom.
[00:05:35.380 --> 00:05:36.960]   Yeah, that's exactly right.
[00:05:36.960 --> 00:05:39.000]   Now I remember the four categories.
[00:05:39.000 --> 00:05:43.160]   So you pursued, in your story, it was number four, building a business and selling it.
[00:05:43.160 --> 00:05:45.280]   Yes, yeah, exactly.
[00:05:45.280 --> 00:05:48.820]   And so in my work as a financial planner over the years,
[00:05:48.820 --> 00:05:53.520]   one of the things that I have noticed is that in many ways people have very similar goals.
[00:05:53.520 --> 00:05:55.800]   It seems that most people desire.
[00:05:55.920 --> 00:05:58.800]   They desire to have more autonomy, more control over their life,
[00:05:58.800 --> 00:06:02.300]   more control over their schedule, more control over their direction,
[00:06:02.300 --> 00:06:04.300]   and also more financial freedom.
[00:06:04.300 --> 00:06:08.300]   And so one of the themes that I've noticed over the years is that in general,
[00:06:08.300 --> 00:06:13.300]   the conversation about these topics goes to building financial freedom.
[00:06:13.300 --> 00:06:17.300]   And so the idea is, well, I need to build up enough savings so that I can quit the rat race
[00:06:17.300 --> 00:06:20.300]   and have enough money to live on a passive income source,
[00:06:20.300 --> 00:06:24.300]   with basically having enough savings to sustain my lifestyle.
[00:06:24.300 --> 00:06:25.720]   But I've observed that, in my work as a financial planner,
[00:06:25.720 --> 00:06:29.020]   I've observed and noticed that it seems to me, one of the trends that I see,
[00:06:29.020 --> 00:06:31.720]   it seems to me that no one really ever quits the rat race.
[00:06:31.720 --> 00:06:35.720]   So right now, in this sense, no one ever stops working.
[00:06:35.720 --> 00:06:39.720]   And so right now, you would consider yourself to be financially independent, right?
[00:06:39.720 --> 00:06:40.720]   Yes.
[00:06:40.720 --> 00:06:46.720]   And yet you are probably working a good number of hours per week
[00:06:46.720 --> 00:06:49.720]   on your writing projects, on your podcasting projects.
[00:06:49.720 --> 00:06:53.720]   You are being productive for a fairly decent number of hours per week.
[00:06:53.720 --> 00:06:55.640]   Is that a correct assumption?
[00:06:55.640 --> 00:06:56.640]   Yes.
[00:06:56.640 --> 00:07:04.640]   And I think what I would say to that is that productivity itself brings me a huge amount of joy,
[00:07:04.640 --> 00:07:06.640]   as I think it does everyone.
[00:07:06.640 --> 00:07:12.640]   We get fulfillment from being effective, from getting things done,
[00:07:12.640 --> 00:07:16.640]   and from creating things and producing things.
[00:07:16.640 --> 00:07:21.640]   The problem, as I see it, is not doing stuff and being productive.
[00:07:21.640 --> 00:07:25.560]   It's when you have to work on things that you don't really believe in,
[00:07:25.560 --> 00:07:27.560]   like bringing you fulfillment or satisfaction,
[00:07:27.560 --> 00:07:33.560]   or having to work with people who you find really unenjoyable to be around and so forth.
[00:07:33.560 --> 00:07:35.560]   So yes, I do lots and lots of stuff.
[00:07:35.560 --> 00:07:39.560]   And I definitely see the opportunity that financial independence gives you.
[00:07:39.560 --> 00:07:44.560]   Not an opportunity to sort of sit on the sofa and watch DVDs,
[00:07:44.560 --> 00:07:50.560]   although I have definitely watched a lot of documentaries about the Roman Empire
[00:07:50.560 --> 00:07:53.560]   and who knows what else since I quit.
[00:07:53.560 --> 00:07:54.560]   Sure.
[00:07:54.560 --> 00:07:57.560]   But it's actually the opportunity to do whatever you love.
[00:07:57.560 --> 00:08:03.560]   That's what life's all about, getting a chance to work on things that you feel truly passionate about.
[00:08:03.560 --> 00:08:08.560]   So I'm a big fan of getting things done and being productive.
[00:08:08.560 --> 00:08:12.560]   But the question is having the opportunity to work on whatever is right for you.
[00:08:12.560 --> 00:08:13.560]   Yeah.
[00:08:13.560 --> 00:08:17.560]   And to me, this seems to be the missing key that not enough people are talking about,
[00:08:17.560 --> 00:08:20.560]   is that it's not so much that inactivity –
[00:08:20.560 --> 00:08:24.480]   so the thing that I've shared in previous episodes of the show, in my observation,
[00:08:24.480 --> 00:08:30.480]   is that motivated, productive people are the ones who accumulate the resources to be able to retire,
[00:08:30.480 --> 00:08:34.480]   to be able to not have to work for money any longer if they want to.
[00:08:34.480 --> 00:08:37.480]   They're motivated, they're productive, they're disciplined, they're savers.
[00:08:37.480 --> 00:08:38.480]   They live on less than they make.
[00:08:38.480 --> 00:08:41.480]   They accumulate capital and financial resources.
[00:08:41.480 --> 00:08:45.480]   And then they can deploy that capital to the point where they can be financially independent.
[00:08:45.480 --> 00:08:48.480]   But those types of people, it seems like they almost never quit.
[00:08:48.480 --> 00:08:53.480]   I did a show – I talked about Warren Buffett and Bill Gates and the – Mr. –
[00:08:53.480 --> 00:08:58.480]   Marriott and all of these people that are multi-billionaires and they never quit
[00:08:58.480 --> 00:09:02.480]   because they get meaning and enjoyment out of the work that they do.
[00:09:02.480 --> 00:09:06.480]   On the other hand, there are – I mean there are millions of people throughout the world
[00:09:06.480 --> 00:09:10.480]   for whom work is drudgery, for whom work is toil and labor.
[00:09:10.480 --> 00:09:14.480]   And many of them, it seems, desperately want to quit the rat race.
[00:09:14.480 --> 00:09:17.480]   But they can't seem to – many of them, not all of them –
[00:09:17.480 --> 00:09:22.480]   but many of them can't seem to accumulate any resources to be able to – to – to –
[00:09:22.480 --> 00:09:24.480]   to do it.
[00:09:24.480 --> 00:09:28.480]   And so what I see is that in financial planning, we should add a whole other step.
[00:09:28.480 --> 00:09:34.480]   And the step that I see is that we should forget about the idea of accumulating capital,
[00:09:34.480 --> 00:09:38.480]   to only be able to live off of capital at the beginning.
[00:09:38.480 --> 00:09:41.480]   And we should first start with the idea of saying,
[00:09:41.480 --> 00:09:45.480]   "How could I design a – how could I design a lifestyle that fits me,
[00:09:45.480 --> 00:09:49.480]   that allows me to have autonomy and self-control and do the things that I want to do?"
[00:09:49.480 --> 00:09:51.480]   And that's probably the only real way to do that,
[00:09:51.480 --> 00:09:55.480]   is to take control over your destiny and to be an entrepreneur in some way.
[00:09:55.480 --> 00:10:00.480]   And so I feel like it's this rather obvious step that we should all be talking about.
[00:10:00.480 --> 00:10:04.480]   But for whatever reason, entrepreneurship is not valued in our society,
[00:10:04.480 --> 00:10:06.480]   and people don't pursue that.
[00:10:06.480 --> 00:10:09.480]   So my question for you, A, do you agree with me?
[00:10:09.480 --> 00:10:10.480]   Has that been your experience?
[00:10:10.480 --> 00:10:14.480]   And B, why is it that we don't talk about entrepreneurship?
[00:10:14.480 --> 00:10:17.480]   Why is this not a business model or a financial planning model
[00:10:17.480 --> 00:10:20.480]   that's presented to people as a viable opportunity?
[00:10:20.480 --> 00:10:25.480]   Well, I definitely agree that entrepreneurship isn't talked about.
[00:10:25.480 --> 00:10:28.480]   I mean, one of the things that I mentioned in my book is that
[00:10:28.480 --> 00:10:31.480]   I didn't learn anything about entrepreneurship at school.
[00:10:31.480 --> 00:10:34.480]   I mean, and I don't think many people do.
[00:10:34.480 --> 00:10:36.480]   And in fact, quite the opposite.
[00:10:36.480 --> 00:10:41.480]   I think that part of what happens in terms of the way that we're all socialized,
[00:10:41.480 --> 00:10:49.480]   especially in school, is we are taught for over a decade by people who are lifelong employees.
[00:10:49.480 --> 00:10:53.480]   And we're given advice by career guidance counselors in schools,
[00:10:53.480 --> 00:10:55.480]   by people who are lifelong employees.
[00:10:55.480 --> 00:11:02.480]   And the whole design of the system of compulsory education is set up to, you know,
[00:11:02.480 --> 00:11:06.480]   basically put people -- to create employees, basically.
[00:11:06.480 --> 00:11:09.480]   It's a factory for the production of employees.
[00:11:09.480 --> 00:11:14.480]   And so I think the funny thing about entrepreneurship is that even though it's the engine of economic growth
[00:11:14.480 --> 00:11:18.480]   and even though it's absolutely essential to all of the great things that we enjoy
[00:11:18.480 --> 00:11:22.480]   in terms of our standard of living and the innovation that we have and, you know,
[00:11:22.480 --> 00:11:27.480]   and certainly it is respected still in our culture as well.
[00:11:27.480 --> 00:11:32.480]   But at the same time, it's actually something that people don't really get much of an insight into
[00:11:32.480 --> 00:11:38.480]   unless they're lucky enough to grow up amongst entrepreneurs and have contact with entrepreneurs.
[00:11:38.480 --> 00:11:42.480]   And in fact, you know, it's even worse than that because unfortunately the popular culture
[00:11:42.480 --> 00:11:47.480]   often shows insofar as entrepreneurship even gets shown, which they don't very much,
[00:11:47.480 --> 00:11:50.480]   but when they are shown, they're typically like villains.
[00:11:50.480 --> 00:11:55.480]   You know, they're like evil characters who are trying to take over the world and do something dastardly.
[00:11:55.480 --> 00:12:01.480]   And they're often shown as being -- if not evil geniuses, then they're kind of like
[00:12:01.480 --> 00:12:08.480]   miserly and not, you know, not people with a lot of heart and so forth.
[00:12:08.480 --> 00:12:16.480]   So I think in general, there's not a good basis for people to get an insight into the freedom
[00:12:16.480 --> 00:12:21.480]   that entrepreneurship provides and people do get what I call employee conditioning.
[00:12:21.480 --> 00:12:24.480]   You know, you kind of get trained to be an employee.
[00:12:24.480 --> 00:12:30.480]   And consequently, my experience was -- and I think a lot of people have the same experience --
[00:12:30.480 --> 00:12:36.480]   I had to sort of deprogram myself to a certain degree of all of the prejudices about entrepreneurship
[00:12:36.480 --> 00:12:41.480]   and about business in general in order to kind of make the jump for myself
[00:12:41.480 --> 00:12:45.480]   and decide that I was going to start my own business and go for it.
[00:12:45.480 --> 00:12:50.480]   Do you think that the programming -- and I'm curious -- so you mentioned --
[00:12:50.480 --> 00:12:54.480]   you cite in your bibliography to your book, you cite John Taylor Gatto's book,
[00:12:54.480 --> 00:12:56.480]   The Underground History of American Education.
[00:12:56.480 --> 00:13:02.480]   And I've read that book and would encourage anybody who's interested in some of this history to go and read it.
[00:13:02.480 --> 00:13:05.480]   That book, it's available free online on his website.
[00:13:05.480 --> 00:13:09.480]   And if you just search, you can find a PDF, which is a little bit easier to read
[00:13:09.480 --> 00:13:11.480]   than how he's released it for sections on his website.
[00:13:11.480 --> 00:13:14.480]   But the book gives you some fascinating history
[00:13:14.480 --> 00:13:16.480]   on the American educational system.
[00:13:16.480 --> 00:13:19.480]   And you opened one of your chapters -- I can't remember which one it was --
[00:13:19.480 --> 00:13:23.480]   but you opened one of your chapters with a quote from John Dewey --
[00:13:23.480 --> 00:13:26.480]   or it was in one of your chapters with a quote from John Dewey --
[00:13:26.480 --> 00:13:30.480]   that the primary -- something along the lines of the primary goal of the education system
[00:13:30.480 --> 00:13:34.480]   is to create well-socialized people that will fit into the social order.
[00:13:34.480 --> 00:13:36.480]   That's my paraphrase of the quote.
[00:13:36.480 --> 00:13:37.480]   Yes. Yeah.
[00:13:37.480 --> 00:13:43.480]   Have you been able to figure out -- do you feel that this is just simply something that happened?
[00:13:43.480 --> 00:13:47.480]   Or do you feel it was maybe more designed?
[00:13:47.480 --> 00:13:52.480]   For example, did the facts just develop over time in a natural way?
[00:13:52.480 --> 00:13:57.480]   Or was it more conspiracy that that seems to be the natural result of our education system
[00:13:57.480 --> 00:14:04.480]   producing willing, obedient factory workers who aren't able to effectively exercise self-autonomy?
[00:14:04.480 --> 00:14:06.480]   What do you think at this point in your research?
[00:14:06.480 --> 00:14:11.480]   Well, I mean, I think certainly there are some people who are really explicit about it.
[00:14:11.480 --> 00:14:12.480]   You know, the John Dewey quote --
[00:14:12.480 --> 00:14:14.480]   the other I quoted --
[00:14:14.480 --> 00:14:20.480]   he's very explicit, like, this is our job as teachers is to mold people to fit in with the social order,
[00:14:20.480 --> 00:14:23.480]   which is the opposite of individuation.
[00:14:23.480 --> 00:14:30.480]   You know, the idea that the teacher's job is to mold you to fit in with what's existing
[00:14:30.480 --> 00:14:32.480]   is very explicitly said by him.
[00:14:32.480 --> 00:14:37.480]   And there are other people who have made similar comments to that
[00:14:37.480 --> 00:14:41.480]   in sort of educational luminaries they've written about.
[00:14:41.480 --> 00:14:43.480]   And I think that's a very good point.
[00:14:43.480 --> 00:14:44.480]   I think that's a very good point.
[00:14:44.480 --> 00:14:45.480]   I think that's a very good point.
[00:14:45.480 --> 00:14:46.480]   I think that's a very good point.
[00:14:46.480 --> 00:14:47.480]   I think that's a very good point.
[00:14:47.480 --> 00:14:48.480]   I think that's a very good point.
[00:14:48.480 --> 00:14:49.480]   I think that's a very good point.
[00:14:49.480 --> 00:14:50.480]   I think that's a very good point.
[00:14:50.480 --> 00:14:51.480]   I think that's a very good point.
[00:14:51.480 --> 00:14:52.480]   I think that's a very good point.
[00:14:52.480 --> 00:14:53.480]   I think that's a very good point.
[00:14:53.480 --> 00:14:54.480]   I think that's a very good point.
[00:14:54.480 --> 00:14:55.480]   I think that's a very good point.
[00:14:55.480 --> 00:14:56.480]   I think that's a very good point.
[00:14:56.480 --> 00:14:57.480]   I think that's a very good point.
[00:14:57.480 --> 00:14:58.480]   I think that's a very good point.
[00:14:58.480 --> 00:14:59.480]   I think that's a very good point.
[00:14:59.480 --> 00:15:00.480]   I think that's a very good point.
[00:15:00.480 --> 00:15:01.480]   I think that's a very good point.
[00:15:01.480 --> 00:15:02.480]   I think that's a very good point.
[00:15:02.480 --> 00:15:03.480]   I think that's a very good point.
[00:15:03.480 --> 00:15:04.480]   I think that's a very good point.
[00:15:04.480 --> 00:15:05.480]   I think that's a very good point.
[00:15:05.480 --> 00:15:06.480]   I think that's a very good point.
[00:15:06.480 --> 00:15:07.480]   I think that's a very good point.
[00:15:07.480 --> 00:15:08.480]   I think that's a very good point.
[00:15:08.480 --> 00:15:09.480]   I think that's a very good point.
[00:15:09.480 --> 00:15:10.480]   I think that's a very good point.
[00:15:10.480 --> 00:15:11.480]   I think that's a very good point.
[00:15:11.480 --> 00:15:12.480]   I think that's a very good point.
[00:15:12.480 --> 00:15:13.480]   I think that's a very good point.
[00:15:13.480 --> 00:15:14.480]   I think that's a very good point.
[00:15:14.480 --> 00:15:15.480]   I think that's a very good point.
[00:15:15.480 --> 00:15:16.480]   I think that's a very good point.
[00:15:16.480 --> 00:15:17.480]   I think that's a very good point.
[00:15:17.480 --> 00:15:18.480]   I think that's a very good point.
[00:15:18.480 --> 00:15:19.480]   I think that's a very good point.
[00:15:19.480 --> 00:15:20.480]   I think that's a very good point.
[00:15:20.480 --> 00:15:21.480]   I think that's a very good point.
[00:15:21.480 --> 00:15:22.480]   I think that's a very good point.
[00:15:22.480 --> 00:15:23.480]   I think that's a very good point.
[00:15:23.480 --> 00:15:24.480]   I think that's a very good point.
[00:15:24.480 --> 00:15:25.480]   I think that's a very good point.
[00:15:25.480 --> 00:15:26.480]   I think that's a very good point.
[00:15:26.480 --> 00:15:27.480]   I think that's a very good point.
[00:15:27.480 --> 00:15:28.480]   I think that's a very good point.
[00:15:28.480 --> 00:15:29.480]   I think that's a very good point.
[00:15:29.480 --> 00:15:30.480]   I think that's a very good point.
[00:15:30.480 --> 00:15:31.480]   I think that's a very good point.
[00:15:31.480 --> 00:15:32.480]   I think that's a very good point.
[00:15:32.480 --> 00:15:33.480]   I think that's a very good point.
[00:15:33.480 --> 00:15:34.480]   I think that's a very good point.
[00:15:34.480 --> 00:15:35.480]   I think that's a very good point.
[00:15:35.480 --> 00:15:36.480]   I think that's a very good point.
[00:15:36.480 --> 00:15:37.480]   I think that's a very good point.
[00:15:37.480 --> 00:15:38.480]   I think that's a very good point.
[00:15:38.480 --> 00:15:39.480]   I think that's a very good point.
[00:15:39.480 --> 00:15:40.480]   I think that's a very good point.
[00:15:40.480 --> 00:15:41.480]   I think that's a very good point.
[00:15:41.480 --> 00:15:42.480]   I think that's a very good point.
[00:15:42.480 --> 00:15:43.480]   I think that's a very good point.
[00:15:43.480 --> 00:15:44.480]   I think that's a very good point.
[00:15:44.480 --> 00:15:45.480]   I think that's a very good point.
[00:15:45.480 --> 00:15:46.480]   I think that's a very good point.
[00:15:46.480 --> 00:15:47.480]   I think that's a very good point.
[00:15:47.480 --> 00:15:48.480]   I think that's a very good point.
[00:15:48.480 --> 00:15:49.480]   I think that's a very good point.
[00:15:49.480 --> 00:15:50.480]   I think that's a very good point.
[00:15:50.480 --> 00:15:51.480]   I think that's a very good point.
[00:15:51.480 --> 00:15:52.480]   I think that's a very good point.
[00:15:52.480 --> 00:15:53.480]   I think that's a very good point.
[00:15:53.480 --> 00:15:54.480]   I think that's a very good point.
[00:15:54.480 --> 00:15:55.480]   I think that's a very good point.
[00:15:55.480 --> 00:15:56.480]   I think that's a very good point.
[00:15:56.480 --> 00:15:57.480]   I think that's a very good point.
[00:15:57.480 --> 00:15:58.480]   I think that's a very good point.
[00:15:58.480 --> 00:15:59.480]   I think that's a very good point.
[00:15:59.480 --> 00:16:00.480]   I think that's a very good point.
[00:16:00.480 --> 00:16:01.480]   I think that's a very good point.
[00:16:01.480 --> 00:16:02.480]   I think that's a very good point.
[00:16:02.480 --> 00:16:03.480]   I think that's a very good point.
[00:16:03.480 --> 00:16:04.480]   I think that's a very good point.
[00:16:04.480 --> 00:16:05.480]   I think that's a very good point.
[00:16:05.480 --> 00:16:06.480]   I think that's a very good point.
[00:16:06.480 --> 00:16:07.480]   I think that's a very good point.
[00:16:07.480 --> 00:16:08.480]   I think that's a very good point.
[00:16:08.480 --> 00:16:09.480]   I think that's a very good point.
[00:16:09.480 --> 00:16:10.480]   I think that's a very good point.
[00:16:10.480 --> 00:16:11.480]   I think that's a very good point.
[00:16:11.480 --> 00:16:12.480]   I think that's a very good point.
[00:16:12.480 --> 00:16:13.480]   I think that's a very good point.
[00:16:13.480 --> 00:16:14.480]   I think that's a very good point.
[00:16:14.480 --> 00:16:15.480]   I think that's a very good point.
[00:16:15.480 --> 00:16:16.480]   I think that's a very good point.
[00:16:16.480 --> 00:16:17.480]   I think that's a very good point.
[00:16:17.480 --> 00:16:18.480]   I think that's a very good point.
[00:16:18.480 --> 00:16:19.480]   I think that's a very good point.
[00:16:19.480 --> 00:16:20.480]   I think that's a very good point.
[00:16:20.480 --> 00:16:21.480]   I think that's a very good point.
[00:16:21.480 --> 00:16:22.480]   I think that's a very good point.
[00:16:22.480 --> 00:16:23.480]   I think that's a very good point.
[00:16:23.480 --> 00:16:24.480]   I think that's a very good point.
[00:16:24.480 --> 00:16:25.480]   I think that's a very good point.
[00:16:25.480 --> 00:16:26.480]   I think that's a very good point.
[00:16:26.480 --> 00:16:27.480]   I think that's a very good point.
[00:16:27.480 --> 00:16:28.480]   I think that's a very good point.
[00:16:28.480 --> 00:16:29.480]   I think that's a very good point.
[00:16:29.480 --> 00:16:30.480]   I think that's a very good point.
[00:16:30.480 --> 00:16:31.480]   I think that's a very good point.
[00:16:31.480 --> 00:16:32.480]   I think that's a very good point.
[00:16:32.480 --> 00:16:33.480]   I think that's a very good point.
[00:16:33.480 --> 00:16:34.480]   I think that's a very good point.
[00:16:34.480 --> 00:16:35.480]   I think that's a very good point.
[00:16:35.480 --> 00:16:36.480]   I think that's a very good point.
[00:16:36.480 --> 00:16:37.480]   I think that's a very good point.
[00:16:37.480 --> 00:16:38.480]   I think that's a very good point.
[00:16:38.480 --> 00:16:39.480]   I think that's a very good point.
[00:16:39.480 --> 00:16:40.480]   I think that's a very good point.
[00:16:40.480 --> 00:16:41.480]   I think that's a very good point.
[00:16:41.480 --> 00:16:42.480]   I think that's a very good point.
[00:16:42.480 --> 00:16:43.480]   I think that's a very good point.
[00:16:43.480 --> 00:16:44.480]   I think that's a very good point.
[00:16:44.480 --> 00:16:45.480]   I think that's a very good point.
[00:16:45.480 --> 00:16:46.480]   I think that's a very good point.
[00:16:46.480 --> 00:16:47.480]   I think that's a very good point.
[00:16:47.480 --> 00:16:48.480]   I think that's a very good point.
[00:16:48.480 --> 00:16:49.480]   I think that's a very good point.
[00:16:49.480 --> 00:16:50.480]   I think that's a very good point.
[00:16:50.480 --> 00:16:51.480]   I think that's a very good point.
[00:16:51.480 --> 00:16:52.480]   I think that's a very good point.
[00:16:52.480 --> 00:16:53.480]   I think that's a very good point.
[00:16:53.480 --> 00:16:54.480]   I think that's a very good point.
[00:16:54.480 --> 00:16:55.480]   I think that's a very good point.
[00:16:55.480 --> 00:16:56.480]   I think that's a very good point.
[00:16:56.480 --> 00:16:57.480]   I think that's a very good point.
[00:16:57.480 --> 00:16:58.480]   I think that's a very good point.
[00:16:58.480 --> 00:16:59.480]   I think that's a very good point.
[00:16:59.480 --> 00:17:00.480]   I think that's a very good point.
[00:17:00.480 --> 00:17:01.480]   I think that's a very good point.
[00:17:01.480 --> 00:17:02.480]   I think that's a very good point.
[00:17:02.480 --> 00:17:03.480]   I think that's a very good point.
[00:17:03.480 --> 00:17:04.480]   I think that's a very good point.
[00:17:04.480 --> 00:17:05.480]   I think that's a very good point.
[00:17:05.480 --> 00:17:06.480]   I think that's a very good point.
[00:17:06.480 --> 00:17:07.480]   I think that's a very good point.
[00:17:07.480 --> 00:17:08.480]   I think that's a very good point.
[00:17:08.480 --> 00:17:09.480]   I think that's a very good point.
[00:17:09.480 --> 00:17:10.480]   I think that's a very good point.
[00:17:10.480 --> 00:17:11.480]   I think that's a very good point.
[00:17:11.480 --> 00:17:12.480]   I think that's a very good point.
[00:17:12.480 --> 00:17:13.480]   I think that's a very good point.
[00:17:13.480 --> 00:17:14.480]   I think that's a very good point.
[00:17:14.480 --> 00:17:15.480]   I think that's a very good point.
[00:17:15.480 --> 00:17:16.480]   I think that's a very good point.
[00:17:16.480 --> 00:17:17.480]   I think that's a very good point.
[00:17:17.480 --> 00:17:18.480]   I think that's a very good point.
[00:17:18.480 --> 00:17:19.480]   I think that's a very good point.
