
[00:00:00.000 --> 00:00:06.360]   Today on the show we dig into frugal fashion tips for men with Steve from stevenomics.com
[00:04:05.840 --> 00:04:11.080]   No, no problem. Yeah, you've been a big inspiration and really helped me with my with my finances over the past
[00:04:11.080 --> 00:04:16.840]   What is it? Are you are you going coming on a year now? It's been a year. Yes, since I started the show full-time
[00:04:16.840 --> 00:04:20.680]   Yeah been a year. Oh, so it's a it's an awesome. It's an awesome thing
[00:04:20.680 --> 00:04:24.280]   And I mentioned that I didn't tell you when we were chatting before I turned on the recording
[00:04:24.280 --> 00:04:26.900]   but I mentioned that just to say that if there is
[00:04:26.900 --> 00:04:32.040]   Just as a reminder to the audience if there is an independent media producer that you value their work
[00:04:32.560 --> 00:04:38.900]   Send them an email send them a note those little notes of encouragement make a big difference many time in the independent media space
[00:04:38.900 --> 00:04:45.520]   It can feel often like you're just you're kind of putting information out there into the world without much feedback
[00:04:45.520 --> 00:04:50.040]   so if there's somebody that you are appreciating the information make sure you take the time to just
[00:04:50.040 --> 00:04:54.140]   Send them a note and let them know as those little things pile up and mean a lot
[00:04:54.140 --> 00:04:59.160]   so Steve I've invited you on the show to talk about the topic of fashion and
[00:05:00.040 --> 00:05:04.920]   how to get a good bang for your buck and one of the things that themes it's important to me is
[00:05:04.920 --> 00:05:09.320]   Living frugally pursuing financial independence
[00:05:09.320 --> 00:05:14.220]   These things should not be at the cost of the good life
[00:05:14.220 --> 00:05:19.520]   There's no reason to scrimp and save and do nothing and just live like a poor person
[00:05:19.520 --> 00:05:24.640]   So that someday you can live like a rich person. I don't approach life that way rather in my mind
[00:05:24.640 --> 00:05:27.720]   It's about pursuing the intelligent strategies
[00:05:27.720 --> 00:05:29.760]   that
[00:05:29.760 --> 00:05:35.800]   Pursuing intelligent strategies that you can use to live the good life now and live the good life later
[00:05:35.800 --> 00:05:41.000]   So I'd like to start with maybe just introduce yourself a little bit and share with us a little bit about your own personal financial
[00:05:41.000 --> 00:05:43.880]   Independence journey and your own goals and projects
[00:05:43.880 --> 00:05:45.640]   Okay
[00:05:45.640 --> 00:05:48.920]   Well a couple years ago. I started you know reading the blogs I
[00:05:48.920 --> 00:05:53.660]   Saw Jacob early retirement extreme you know mr. Money mustache saw what they were doing
[00:05:53.660 --> 00:05:56.840]   I was already pretty good at saving money, so it just kind of put a plan into place
[00:05:57.400 --> 00:06:01.800]   You know for what I need to do you know following the 4% rule seeing how much I need to save how much I need
[00:06:01.800 --> 00:06:05.040]   To invest in order to eventually be financially free and you know
[00:06:05.040 --> 00:06:09.760]   My views have kind of changed over the years before it was like I'm gonna be financially independent
[00:06:09.760 --> 00:06:12.360]   I'm just gonna lay on the beach with my wife and then you know like well
[00:06:12.360 --> 00:06:13.680]   You know what that actually might be a little boring
[00:06:13.680 --> 00:06:18.560]   so, you know, I'm looking forward to making it to that goal through the years, but
[00:06:18.560 --> 00:06:23.600]   You know plan to to do a little bit of work as well. And yeah
[00:06:24.240 --> 00:06:30.760]   That's that's how that's been. I did a lot of traveling after college, but now I'm working in Silicon Valley working in sales
[00:06:30.760 --> 00:06:33.040]   So I always appreciate when you're you're chatting about sales
[00:06:33.040 --> 00:06:37.040]   I think it's a great profession for a financial independence, especially if you're not on the engineering side
[00:06:37.040 --> 00:06:39.240]   you didn't study engineering in in school and a lot of the
[00:06:39.240 --> 00:06:44.440]   Financial bloggers out there did so I think it's another good good path to to get there
[00:06:44.440 --> 00:06:47.680]   All right, you know the harder that you work the more money you can make so I really enjoy that
[00:06:47.680 --> 00:06:53.680]   So I enjoyed your writing because and this is also demonstrating one of the things that I continually talk about
[00:06:53.800 --> 00:06:57.800]   You maintain a personal finance blog at Steve onomics calm
[00:06:57.800 --> 00:07:02.840]   I'll link in this in the description in the show notes, but you're not a real active blogger. You're not
[00:07:02.840 --> 00:07:09.120]   Dedicated to you're not you're not trying to become the next big mega personal finance blogger
[00:07:09.120 --> 00:07:11.200]   You're just sharing a little bit about your experience
[00:07:11.200 --> 00:07:17.720]   but what that allowed me to do as a media host was gain a little bit of insight into you and into who you are and
[00:07:17.720 --> 00:07:22.360]   That's ultimately what's brought us forward to bringing you on the show today
[00:07:23.000 --> 00:07:25.560]   In your blogging before we get to fashion
[00:07:25.560 --> 00:07:30.280]   I want you to talk about your wedding and I'm springing this on to you because you wrote an article
[00:07:30.280 --> 00:07:32.920]   About your wedding of how you and your wife
[00:07:32.920 --> 00:07:39.760]   Built and designed a frugal wedding and it became went viral basically on I think huffington post of memory is right
[00:07:39.760 --> 00:07:42.160]   Talk a little bit about how you and your wife planned for your wedding
[00:07:42.160 --> 00:07:48.400]   Okay. Well, I mean I was a I met my wife in in Korea when I was teaching English over there
[00:07:48.400 --> 00:07:51.680]   You know after doing some some traveling we came over here
[00:07:51.680 --> 00:07:53.960]   We decided we wanted to get married but you know
[00:07:53.960 --> 00:07:55.920]   We're looking at the money in the bank and we were like, you know
[00:07:55.920 --> 00:07:59.520]   This is probably better for a house down payment or something than one day, you know, what do you think?
[00:07:59.520 --> 00:08:01.520]   She felt the same way. So
[00:08:01.520 --> 00:08:03.720]   How can we do this frugally? So
[00:08:03.720 --> 00:08:10.720]   Yeah, so we just started going at it luckily my family, you know was very helpful, you know, my my aunt made a cake
[00:08:10.720 --> 00:08:13.400]   You know another family member made a you know bouquet
[00:08:13.400 --> 00:08:18.400]   We ended up going to San Francisco City Hall, you know, it's beautiful City Hall. We got some great photos
[00:08:18.400 --> 00:08:22.040]   I asked my my college friend. This is my big brother
[00:08:22.040 --> 00:08:26.600]   my fraternity - if he would you know take some pictures because I knew he was a photographer and
[00:08:26.600 --> 00:08:29.800]   You know, he did him on the house, which I was pretty surprised
[00:08:29.800 --> 00:08:32.480]   I was willing to pay him some money, but that was a you know, definitely very nice
[00:08:32.480 --> 00:08:35.960]   And then you know, we like we like clothing as we're gonna get into so
[00:08:35.960 --> 00:08:40.080]   You know, I ended up getting a tuxedo off of eBay Brooks Brothers one
[00:08:40.080 --> 00:08:44.880]   I got it altered a little bit, you know got it for a quarter of the the retail price and you know my wife
[00:08:44.880 --> 00:08:50.920]   She actually found a beautiful wedding dress at a at a thrift store and I was a little hesitant because I'm like, you know
[00:08:50.920 --> 00:08:54.840]   We like thrift stores, but your honey your wedding dress doesn't have to be from a thrift store, you know, right?
[00:08:54.840 --> 00:08:57.280]   But she put it on and it was perfect and she's like, I love it
[00:08:57.280 --> 00:09:02.640]   You know, like I don't care what the price is. It's it's perfect for me and I looked great on her and you know
[00:09:02.640 --> 00:09:07.800]   So she picked it up and we went from there and you know, our photos look good and we had a great day up in
[00:09:07.800 --> 00:09:09.560]   San Francisco. I
[00:09:09.560 --> 00:09:14.520]   Will make sure to link to the article so people can read the article with details and see some of the photos
[00:09:14.520 --> 00:09:17.720]   But two comments and the reason I sprang that on you number one
[00:09:17.720 --> 00:09:22.240]   I think the thrift store dress is an awesome example of
[00:09:22.240 --> 00:09:24.800]   Being willing to spend money
[00:09:24.800 --> 00:09:29.960]   But also knowing what you're looking for first and not looking just at a price tag
[00:09:29.960 --> 00:09:33.360]   My wife and I actually did something similar with our wedding
[00:09:33.360 --> 00:09:39.780]   We spent a lot more than $1,000 that you did but her dress was actually not a wedding dress
[00:09:39.780 --> 00:09:42.360]   It was a bridesmaids dress that she ordered in white
[00:09:42.560 --> 00:09:44.960]   so when she was going around and looking at
[00:09:44.960 --> 00:09:47.800]   wedding dresses and all the
[00:09:47.800 --> 00:09:53.560]   Stores, she didn't find one. She liked didn't find when she looked and she starts looking and sees this cute bridesmaids dress
[00:09:53.560 --> 00:09:57.880]   Asked about it was able to order it in white make a couple of alterations to it
[00:09:57.880 --> 00:09:59.880]   and I think the price tag was something like
[00:09:59.880 --> 00:10:07.080]   $250-$300 for the for it because it was a bridesmaids dress instead of a thousand or two thousand dollars because it was listed as a
[00:10:07.080 --> 00:10:08.840]   wedding dress and
[00:10:08.840 --> 00:10:12.080]   It was just a neat example of how if you know what you're looking for
[00:10:12.080 --> 00:10:19.160]   You don't have to judge it spending more money is not necessarily a virtue get what you want and spend the money you need to spend
[00:10:19.160 --> 00:10:23.080]   Yeah, sometimes people just like to you know, brag about how much it costs or something
[00:10:23.080 --> 00:10:27.000]   But it's all about getting you know, the best quality for for low prices to me
[00:10:27.000 --> 00:10:34.000]   So and then did you use the savings for for something fun instead of spending it on the wedding? No, I mean right now
[00:10:34.000 --> 00:10:37.920]   We're still just saving so we're you know saving towards a financial independence
[00:10:37.920 --> 00:10:42.080]   You know, maybe if houses get a little cheaper out here in Silicon Valley, they're a little pricey right now
[00:10:42.080 --> 00:10:46.560]   Maybe we'll buy something in the future. So yeah right now it's just you know, tucked away safe
[00:10:46.560 --> 00:10:50.760]   well, the other thing the other theme that I wanted to just mention is
[00:10:50.760 --> 00:10:53.580]   when talking about
[00:10:53.580 --> 00:10:55.580]   Doing things like having a frugal wedding
[00:10:55.580 --> 00:11:01.220]   in my mind you can't beat something with nothing and so often the
[00:11:01.720 --> 00:11:08.460]   Decision criteria that people have I know that I struggled with it when I when my wife and I were planning our wedding
[00:11:08.460 --> 00:11:14.980]   Was the fact that well, you know, I want to provide the best. I want to provide the best for my family
[00:11:14.980 --> 00:11:20.400]   I want my wife to know how much I care about her. I want it, you know the day to be very special and
[00:11:20.400 --> 00:11:26.040]   so if you're looking at saving money on a big event like that and if your
[00:11:26.040 --> 00:11:31.360]   Comparison is between I want to provide the best. I want to provide a very special day
[00:11:31.360 --> 00:11:32.400]   or
[00:11:32.400 --> 00:11:35.400]   I'm just gonna do this frugal cheap thing and
[00:11:35.400 --> 00:11:41.920]   Be a financial bomb and everyone's gonna look at me and say can't that person spend some money? Well, generally we're gonna
[00:11:41.920 --> 00:11:45.160]   We're gonna make the decision to say I'm gonna provide the best
[00:11:45.160 --> 00:11:49.960]   but if we expand the definition of what providing the best is and
[00:11:49.960 --> 00:11:56.160]   Let's say that we're a young couple. We're financing everything ourselves parents aren't stepping in and if the question is between
[00:11:57.000 --> 00:12:01.820]   Okay, we could spend thirty thousand dollars on one special day or we could spend
[00:12:01.820 --> 00:12:08.780]   $5,000 on a special day and put twenty five thousand dollars on a down payment on a house or perhaps for some people
[00:12:08.780 --> 00:12:11.160]   We could spend a thousand dollars on a special day
[00:12:11.160 --> 00:12:15.000]   And then we could take the next year off and instead of having a one-week rushed forced honeymoon
[00:12:15.000 --> 00:12:19.160]   Because we spent all the money on the day to get all our friends drunk on our dime
[00:12:19.160 --> 00:12:23.040]   Rather we're gonna go travel the world together for the next year and have a one-year honeymoon
[00:12:23.240 --> 00:12:28.960]   All of a sudden now you're not taking something and trying to beat it with nothing. You're not trying to take Oh special day versus
[00:12:28.960 --> 00:12:35.480]   You know, I'm a cheap jerk rather you're saying I'm gonna take something and I'm gonna substitute something better
[00:12:35.480 --> 00:12:39.600]   That's more in line with our life goals. And I like how you
[00:12:39.600 --> 00:12:47.560]   Bring that out in your article and also in your other writings on fashion where it's not about cheap versus crappy
[00:12:47.560 --> 00:12:50.440]   It's cheap versus inexpensive and better
[00:12:51.560 --> 00:12:57.000]   Exactly. Yeah, and as far as traveling, I mean we met in Korea. We went to you know, 12 countries in Asia
[00:12:57.000 --> 00:13:02.700]   We you know, we lived in Australia for a year. So we were already, you know, we were kind of tired of traveling a little bit
[00:13:02.700 --> 00:13:03.720]   So we're like, you know, we're gonna take it easy
[00:13:03.720 --> 00:13:09.240]   We're gonna go, you know up up to San Francisco and we went to Tahoe for our honeymoon. So we kept it local
[00:13:09.240 --> 00:13:14.680]   We had a family friend let us stay in her cabin, you know free of charge old family friends
[00:13:14.680 --> 00:13:18.660]   So, you know, you got to use those connections and never had a you know, necessarily the money connections
[00:13:18.660 --> 00:13:22.720]   But you know people are always willing to lend a helping hand. So it's good to use your network
[00:13:22.720 --> 00:13:29.480]   So let's jump into fashion. You're a bit of a fashionista and yet you also consider yourself a frugal
[00:13:29.480 --> 00:13:33.800]   Financial independence oriented guy. How do these two things? How are they able to coexist?
[00:13:33.800 --> 00:13:36.200]   You know, I think
[00:13:36.200 --> 00:13:40.480]   You know if you have a list of I make a list of things that I want to buy and I just wait
[00:13:40.480 --> 00:13:45.680]   You know, I make I'm very patient make sure I get the best deal on it. Make sure I really love it
[00:13:45.680 --> 00:13:50.680]   You know, I don't I'm not very good at spontaneous buys, you know outside of maybe groceries or something like that
[00:13:50.680 --> 00:13:56.840]   Everything is very methodical and planned out, you know, have you heard the saying good fast cheap, you know pick two, right?
[00:13:56.840 --> 00:14:01.660]   So, you know, I don't necessarily need a fast. I after a while you kind of have everything so
[00:14:01.660 --> 00:14:07.880]   Yeah, I just think you can have both and you can dress really well for you know, surprisingly
[00:14:07.880 --> 00:14:11.460]   Not very much money, especially if you kind of know what you're looking for
[00:14:11.560 --> 00:14:16.260]   Do you approach fashion as something that is just purely a hobby that you enjoy?
[00:14:16.260 --> 00:14:23.160]   perhaps an expression of a creative part of yourself or do you approach it from a utilitarian perspective of as
[00:14:23.160 --> 00:14:28.760]   An example, I'm gonna raise other people's perceptions around me by being a well-dressed person. I
[00:14:28.760 --> 00:14:32.880]   Don't know maybe a little both. I mean, I like to dress well
[00:14:32.880 --> 00:14:36.300]   But I think it's fun to be a little bit of creative as far as you know
[00:14:36.300 --> 00:14:40.880]   I think everybody kind of needs their own personal style like Alice, you know, I'm in California
[00:14:40.880 --> 00:14:44.600]   It's a little warm here. So but outside of summer. I'm usually wearing a sweater
[00:14:44.600 --> 00:14:48.740]   To the office the office is always cold. So that's kind of my own little like personal
[00:14:48.740 --> 00:14:55.080]   You know personal piece of fashion so, you know, they see me Oh Steve you're the you're the guy wearing the you know
[00:14:55.080 --> 00:14:57.640]   The cool sweater, so that's kind of my little fun thing
[00:14:57.640 --> 00:14:59.920]   So I think it's a it's a cool way to be creative whether it's you know
[00:14:59.920 --> 00:15:02.820]   The pocket square a tie or some fun socks or something like that. So
[00:15:02.820 --> 00:15:05.600]   You know, you get kind of boring if you do the same thing every day
[00:15:06.640 --> 00:15:12.000]   So I'm looking at an empty closet and I'm looking at a bank balance that I know I need to buy some clothes
[00:15:12.000 --> 00:15:16.080]   But I want to be careful and make good decisions. Where do I start with?
[00:15:16.080 --> 00:15:20.720]   Outlining a blueprint for the things that should be in my closet
[00:15:20.720 --> 00:15:24.740]   Well, I mean, I guess it depends a little bit on on where you work say
[00:15:24.740 --> 00:15:26.720]   We're a little casual here
[00:15:26.720 --> 00:15:32.920]   But you know, you want to wear button-ups and in pants as far as button-ups for me. I'm kind of an awkward size
[00:15:32.920 --> 00:15:36.060]   I'm a 15 half neck, but I'm kind of thin with long arms
[00:15:36.080 --> 00:15:40.200]   So it's actually really tough for me to find a you know, 15 and a half by 35 shirt
[00:15:40.200 --> 00:15:42.460]   So to be honest, I go to the Brooks Brothers sale
[00:15:42.460 --> 00:15:48.980]   And at the end of June it just happened and at the end of December 40% off shirts. I pick up a few shirts there
[00:15:48.980 --> 00:15:51.440]   You know go to the mall
[00:15:51.440 --> 00:15:55.300]   Check out, you know, five six stores all at all within an hour
[00:15:55.300 --> 00:15:58.640]   Try on all the pants see which ones you like the most, you know and wait for the you know
[00:15:58.640 --> 00:15:59.960]   30 to 50 percent off sale
[00:15:59.960 --> 00:16:04.280]   That's what I do for for that because thrift stores you have to be a little bit more patient
[00:16:04.280 --> 00:16:07.160]   You're not gonna go in there. You're not gonna find a navy suit, you know your first try
[00:16:07.160 --> 00:16:13.800]   Thrift stores I would say are more fun for adding to your collection make a list of things you would like and then you know
[00:16:13.800 --> 00:16:19.680]   Go in there and browse but don't expect to come up with you know, some Savile Row suits that you know, the Prince
[00:16:19.680 --> 00:16:25.720]   You know donated what's the most number of years of service? You've gotten out of a Brooks Brothers button-down shirt
[00:16:25.720 --> 00:16:28.700]   I
[00:16:28.700 --> 00:16:31.720]   Have some that I bought two or three years ago. I just bought a few more
[00:16:32.040 --> 00:16:36.760]   Actually, I've been I've been exercising a lot. So actually the extra slump that are getting kind of
[00:16:36.760 --> 00:16:40.880]   They're shrinking and I'm growing a little bit. I'm getting a little stronger
[00:16:40.880 --> 00:16:46.160]   So I went with the regular slump at this time. They're getting a little snug, but the quality is still there
[00:16:46.160 --> 00:16:48.360]   I just I guess is it shrunk a little bit?
[00:16:48.360 --> 00:16:52.260]   So I'd recommend air drying all your shirts when I was in college
[00:16:52.260 --> 00:16:56.000]   I had a reason I say that's just because my Brooks Brothers story when I was in college
[00:16:56.000 --> 00:17:00.480]   I had a business a boss that it was kind of a mentor and I needed some clothes
[00:17:00.480 --> 00:17:04.840]   and so he trotted me down to the Brooks Brothers store and we bought a few Brooks Brothers shirts button-down shirts and
[00:17:04.840 --> 00:17:10.360]   I bought the one that I most remember was just a blue oxford a blue long-sleeve oxford
[00:17:10.360 --> 00:17:15.840]   I bought it so that would have been about two thousand and perhaps two thousand and five and I wore that shirt
[00:17:15.840 --> 00:17:21.680]   Multiple times per week for approximately five or six years and what I loved about it
[00:17:21.680 --> 00:17:26.400]   I love to travel with it because I could wear in every single context where I would you know
[00:17:26.400 --> 00:17:28.640]   I could wear it with a suit and tie I could wear it with jeans
[00:17:29.000 --> 00:17:32.400]   you know taking the suit off tussled on with a pair of shorts and
[00:17:32.400 --> 00:17:37.560]   sometimes I'd wear it to the beach and it was it didn't wrinkle it lasted for years and
[00:17:37.560 --> 00:17:44.080]   That convinced me of the value of at times paying for quality when there's quality
[00:17:44.080 --> 00:17:49.560]   How do you approach quality versus cost when it comes to clothing?
[00:17:49.560 --> 00:17:55.380]   Well, I'm willing to you know
[00:17:57.080 --> 00:18:01.920]   I'm making a little more money now, so I guess I'm willing to you know, splurge a little bit more for for quality
[00:18:01.920 --> 00:18:05.880]   But you know if you're patient, I think you can get the you know, the good stuff for cheap as well
[00:18:05.880 --> 00:18:10.320]   I was in a San Francisco thrift thrift store and I ended up getting you know
[00:18:10.320 --> 00:18:15.200]   Three of the Brooks Brothers shirts actually in my size in dry cleaning bags and that was you know, probably the best
[00:18:15.200 --> 00:18:18.600]   You know time I ever bought shirts. I was pretty happy about that
[00:18:18.600 --> 00:18:22.080]   Recently I got a
[00:18:22.080 --> 00:18:27.680]   Shot racer. It's a leather jacket and I've been wanting this thing for years and I wrote about it a little bit. I had a
[00:18:27.680 --> 00:18:32.120]   You know what? I talked about your alpha strategy that that you mentioned John Pugsley the author
[00:18:32.120 --> 00:18:36.680]   So I've been you know, I wanted to finish my outerwear collection
[00:18:36.680 --> 00:18:40.120]   So I really wanted this jacket and then about $800 new. This is it's pretty expensive
[00:18:40.120 --> 00:18:43.160]   So I was scouring eBay and you know, I needed a 38 long
[00:18:43.160 --> 00:18:44.000]   I got the long arm
[00:18:44.000 --> 00:18:48.640]   So I finally I finally found it and I was you know willing to pay a little bit more for that
[00:18:48.640 --> 00:18:49.440]   I wasn't gonna you know
[00:18:49.440 --> 00:18:52.600]   I wasn't expecting to get that for $50 like I would maybe at a thrift store
[00:18:52.600 --> 00:18:56.680]   So I pay a little bit more for that. So it's it's definitely worth it if you really need it
[00:18:56.680 --> 00:18:59.320]   I mean, I highly recommend the list
[00:18:59.320 --> 00:19:02.360]   make the list go through the list and just
[00:19:02.360 --> 00:19:08.080]   Just wait for for the perfect deal and don't just you know buy things be like, oh, it's a fun polka dot shirt
[00:19:08.080 --> 00:19:11.240]   Like do I need this polka dot shirt? Am I gonna wear this polka shirt every time I wear it?
[00:19:11.240 --> 00:19:15.820]   Everybody's gonna remember it. It's a lot better probably to wear a blue or a white shirt the just to
[00:19:16.340 --> 00:19:20.800]   refresh people who may not have heard when I've talked about the alpha strategy in the past the idea is
[00:19:20.800 --> 00:19:23.480]   in order to avoid the
[00:19:23.480 --> 00:19:28.140]   damaging effects of changing currency valuations, especially inflation if
[00:19:28.140 --> 00:19:31.780]   You can simply buy everything that you need for the rest of your life
[00:19:31.780 --> 00:19:39.620]   Then you can avoid having to pay more for things in the future. So there are some things that are obviously consumable
[00:19:39.620 --> 00:19:41.620]   you can't buy all of the
[00:19:41.620 --> 00:19:45.220]   Raisin brand that you're gonna need for the rest of your life because it'd be stale in a couple of months
[00:19:45.380 --> 00:19:52.840]   But there are some things that are durable goods where you can go ahead and make a careful decision and by buying something once or
[00:19:52.840 --> 00:19:58.900]   Stockpiling something today, you will probably never need to purchase it again in the future, which means that you've converted
[00:19:58.900 --> 00:20:07.940]   financial assets which are subject to the effects of inflation into durable goods, which are not subject to the effects of inflation and
[00:20:07.940 --> 00:20:13.380]   Clothing in my mind is one of the good places where you can apply this to some extent
[00:20:14.100 --> 00:20:15.700]   What is the longest?
[00:20:15.700 --> 00:20:21.300]   like what are some of the the clothing items that you've had where it's kind of the buy it for life concept where you've bought it and
[00:20:21.300 --> 00:20:26.300]   It's lasted for an incredibly long amount of time where it was worth paying for high quality. I
[00:20:26.300 --> 00:20:29.620]   Would say you know outerwear and shoes are
[00:20:29.620 --> 00:20:33.940]   Are definitely good for that. I mean you can buy like I said leather jacket
[00:20:33.940 --> 00:20:40.860]   Maybe military pea coats are good to buy at thrift and vintage store, you know, London fog trench coats wool overcoats
[00:20:41.580 --> 00:20:45.540]   Harris tweed sport coats and you know, I would recommend putting them in a bag so that you know
[00:20:45.540 --> 00:20:51.460]   Moss don't eat the wool but outerwear I think is great for that also shoes you get the Goodyear welt meaning
[00:20:51.460 --> 00:20:55.020]   You can actually it's sewn the bottom is sewn to the upper
[00:20:55.020 --> 00:20:58.580]   So if it starts to wear you can actually replace the entire sole
[00:20:58.580 --> 00:21:04.940]   My recommend brands like all then Allen Edmonds and the vintage floor chime Imperials. Those are all made in USA
[00:21:04.940 --> 00:21:09.820]   They're made, you know, really strong and it's pretty cool when if something goes wrong you take it to the cobbler
[00:21:09.820 --> 00:21:12.460]   They fix it up. I recently had a couple pairs of shoes where the heels
[00:21:12.460 --> 00:21:17.780]   Split and I just take it to the cobbler and they can either glue it or sew it and it's it's pretty inexpensive
[00:21:17.780 --> 00:21:20.520]   And I think those I mean, I've had a maybe five years
[00:21:20.520 --> 00:21:23.260]   I've been wearing them, you know off and on and they've been fine for that
[00:21:23.260 --> 00:21:28.260]   But I imagine I'm gonna keep them, you know, 10 20 years plus you just get them polished up put in shoe trees
[00:21:28.260 --> 00:21:33.960]   So I think I mean I shoes and outerwear definitely great for that and those can also be found at a great price assuming you're
[00:21:33.960 --> 00:21:35.940]   your patient
[00:21:35.940 --> 00:21:38.180]   Yeah, I agree with you shoes
[00:21:38.180 --> 00:21:39.060]   especially
[00:21:39.060 --> 00:21:45.660]   For years of the dress shoes once I learned that trick then I switched to making sure to buy dress dress to me dress shoes
[00:21:45.660 --> 00:21:47.580]   that could be resold and
[00:21:47.580 --> 00:21:50.060]   Then consistently just resoling them from time to time
[00:21:50.060 --> 00:21:55.580]   Makes a big difference as far as not just looking at the upfront cost
[00:21:55.580 --> 00:22:01.900]   But rather looking at the total lifetime cost amortized out over a period of time and then even you know
[00:22:01.900 --> 00:22:03.900]   You Allen Edmonds, I mean you're gonna pay 300
[00:22:03.900 --> 00:22:08.260]   Well, I mean 300 plus bucks if you're getting it new without getting a deal on a pair of shoes
[00:22:08.260 --> 00:22:14.720]   But sometimes my experience even other types of shoes if you just think about it if you don't impulse purchase something
[00:22:14.720 --> 00:22:18.180]   And you just do a little research and do a little bit of thinking about it
[00:22:18.180 --> 00:22:21.620]   You can buy a pair of shoes that can last you for a lifetime
[00:22:21.620 --> 00:22:26.220]   I have a couple I have two pairs and I wound up when I was in high school
[00:22:26.220 --> 00:22:31.660]   I went to a high school that required uniforms and uniform shoes and at that time
