
[00:00:00.000 --> 00:00:06.640]   this first paper okay this first paper needs to basically be all like discussion based there's
[00:04:53.280 --> 00:05:01.360]   hard complexity like 10 15 blocks and tower of hinoi um that's where both models completely collapse and
[00:05:01.360 --> 00:05:08.000]   both go to zero percent accuracy and then they show really good charts of this so um let's just skip ahead
[00:05:08.000 --> 00:05:13.520]   these are kind of the charts right so this is performance so yellow is kind of easy complexity
[00:05:13.520 --> 00:05:18.320]   both models thinking and non-thinking do well both deep seek thinking and non-thinking do well
[00:05:18.320 --> 00:05:24.960]   and then as you get to medium complexity the thinking model still performs it still has high accuracy
[00:05:24.960 --> 00:05:30.080]   and the non-thinking models start to struggle and then this is kind of their takeaway at the end
[00:05:30.080 --> 00:05:36.800]   as you get the high complexity tasks they both completely fail so tower of hinoi with 10 15 20 blocks
[00:05:37.360 --> 00:05:42.960]   both thinking and non-thinking models are at zero percent accuracy same with deep seek r1 and v3 both
[00:05:42.960 --> 00:05:48.240]   zero percent and they show this with other models too um across all the games basically that there's
[00:05:48.240 --> 00:05:56.800]   these three tiers right so tldr the tldr that is going on but i'll take it later uh tldr here is that as
[00:05:56.800 --> 00:06:06.720]   you get to really hard complex puzzles both reasoning and the regular llms completely fall in accuracy they
[00:06:06.720 --> 00:06:11.360]   they see this sudden drop whereas for medium stuff reasoning works and they're basically like you
[00:06:11.360 --> 00:06:20.400]   know this is one of our key takeaways that um uh frontier large reasoning models face a complete
[00:06:20.400 --> 00:06:26.000]   accuracy collapse beyond certain complexities moreover to exhibit counterintuitive scaling limit their
[00:06:26.000 --> 00:06:31.600]   reasoning effort increases with problem complexity up to a point then this clients despite having an adequate
[00:06:31.600 --> 00:06:39.440]   cookie token the other little note here is um even though there's a complete drop in performance on these really
[00:06:39.440 --> 00:06:44.560]   hard tasks uh they actually don't even spend their entire reasoning budget so they kind of give
[00:06:44.560 --> 00:06:51.200]   it so it's kind of interesting but um yeah so they have these three three performance regimes
[00:06:51.200 --> 00:07:00.960]   that they show and they they basically like this last paragraph here they basically like this paper could be two paragraphs but they want to repeat this like ten times throughout the paper
[00:07:00.960 --> 00:07:08.000]   paper so three performance regimes one is low complexity tasks this is where standard models outperform reasoning
[00:07:08.000 --> 00:07:13.680]   makes sense very basic task you don't need to reason you don't need to waste tokens standard models will
[00:07:13.680 --> 00:07:21.840]   all perform two medium complexity tasks where additional thinking in um you know reasoning models more thinking is
[00:07:21.840 --> 00:07:30.320]   advantageous right you reason more on medium stuff reasoning models perform better and then three is high complexity tasks where both models have
[00:07:30.320 --> 00:07:37.360]   complete failures and complete failures and drop the kind of zero percent then we find that these reasoning models have limitations and exact computation
[00:07:37.360 --> 00:07:44.160]   they fail to use explicit algorithms and reason inconsistency across puzzles kind of at that tier three of complexity
[00:07:44.160 --> 00:07:54.160]   okay then the kind of other main point of this paper is they want to once again show that um you know current benchmarks emphasize final answer accuracy
[00:07:54.160 --> 00:08:08.800]   they don't look at reasoning traces and you know structure and quality of how well they think so their puzzle experiments kind of show this um cool let's continue on so the models they kind of do they don't use open ai
[00:08:08.800 --> 00:08:23.520]   o3 and o1 because they give summaries of reasoning traces they use r1 cloud 7 thinking gemini thinking because they have direct access to uh thinking faces and then they kind of dig into there um cool in the appendix
[00:08:23.520 --> 00:08:28.480]   do they do they define these three regimes by these properties i.e is it easy for non is it e
[00:08:28.480 --> 00:08:42.560]   i.e it is easy if non reasoning does well i yeah they kind of just define it as you know easy less complex task medium complex task and then really hard task and they do have a mathematical definition for this so
[00:08:42.560 --> 00:08:51.760]   for all of these puzzles they explain how complexity changes so like for the tower of hanoi this game
[00:08:51.760 --> 00:09:00.480]   the difficulty can be controlled by the number of initial disks uh the minimum because uh basically you can
[00:09:00.480 --> 00:09:10.560]   find out the minimum number of steps required to finish the game it's two to the n minus one and then they show how complexity changes with all these so same thing here for checker jumping the complexity can be controlled by the number of checker jumps
[00:09:10.560 --> 00:09:18.560]   uh with two n checkers uh with two n checkers the minimum number of moves required will be n plus one squared minus one
[00:09:18.560 --> 00:09:26.320]   uh as you scale up and you add more complexity so kind of interesting little puzzle experiments here
[00:09:26.320 --> 00:09:34.400]   but uh that's kind of how they define this stuff out okay um continuing on through here's kind of they do
[00:09:34.400 --> 00:09:40.800]   do pretty good charts and explanations of how this stuff works so on one end they've got complexity on one end
[00:09:40.800 --> 00:09:46.800]   they've got accuracy or performance of completion right so we can see the blue line is the thinking the red line
[00:09:46.800 --> 00:09:54.960]   is regular cloud 3.7 easy stuff full performance medium complexity staff uh style questions the thinking models
[00:09:54.960 --> 00:10:03.440]   still do decent uh non-reasoning models basically fall to really low accuracy so useful reasoning on medium stuff
[00:10:03.440 --> 00:10:10.000]   and then of course our big draw and this is shown across um all the different things right so um
[00:10:10.000 --> 00:10:17.280]   not only performance but response length as well so in the early cases thinking models use more tokens
[00:10:17.280 --> 00:10:23.440]   even though the accuracy is the same so for example for uh n equals three steps or three
[00:10:23.440 --> 00:10:31.040]   puzzle pieces both models are at 100 accuracy but you can see a thinking model is now using 7500 tokens
[00:10:31.040 --> 00:10:37.360]   versus like you know basically 100 tokens for non-reasoning so there's a bit of a delta here early
[00:10:37.360 --> 00:10:44.320]   thinking tokens really really expand up but in the complex tasks we need that right performance starts
[00:10:44.320 --> 00:10:52.160]   to dip so we need more reasoning um it's an interesting setup of matching reasoning tokens to
[00:10:52.160 --> 00:10:58.560]   performance like the recent may 27 deep seek release one thing that they mentioned was they
[00:10:58.560 --> 00:11:03.920]   basically did more rl and they got the model for reason for twice as long and it performs better it's
[00:11:03.920 --> 00:11:09.280]   like 10 better performance on reasoning benchmarks but it uses twice as many tokens so
[00:11:09.280 --> 00:11:15.840]   on average for like aime it went from like 12 000 to 24 000 but it gets better performance but
[00:11:15.840 --> 00:11:20.400]   then this just shows you know in basic stuff you don't want this it's going to lead to more latency it's
[00:11:20.400 --> 00:11:27.360]   gonna it's gonna be pretty bad and then they also show um a deeper click into their thoughts how does
[00:11:27.360 --> 00:11:34.640]   it perform where does it um you know where does it still fail as it's doing this reasoning okay so once
[00:11:34.640 --> 00:11:40.800]   again um you know low complexity non-thinking models are more accurate and more token efficient bottom
[00:11:40.800 --> 00:11:46.960]   right for correctly solved cases uh where does it start to find the answer so this is what this last chart
[00:11:46.960 --> 00:11:53.920]   shows for correctly solved cases fog 3.7 thinking tends to find answers early at low complexity and
[00:11:53.920 --> 00:12:02.320]   then later at high complexity so for easy tasks um you know it finds the answer pretty early on for hard
[00:12:02.320 --> 00:12:08.000]   tasks they find the answer later on in thinking so it's actually needing to do this thinking in failed
[00:12:08.000 --> 00:12:14.960]   cases it often fixates pretty early on on stuff so in examples where it's wrong it it finds something
[00:12:14.960 --> 00:12:22.800]   early and it fixates on it and it just um it doesn't really fix it it wastes the remainder of the token
[00:12:22.800 --> 00:12:29.360]   budget so kind of interesting right it only fixates on early wrong answers okay i landed this in oh these
[00:12:29.360 --> 00:12:35.120]   these are the main questions that they they wanted to solve so outside of current thinking benchmarks these
[00:12:35.120 --> 00:12:39.200]   are the things that they care about and these are kind of open questions for anyone right a kind of
[00:12:39.200 --> 00:12:45.520]   interesting thing if you want to like get into this space uh look at these papers that try to answer
[00:12:45.520 --> 00:12:50.880]   these questions look at what they propose and then we'll work on them so um we'll just go through them
[00:12:50.880 --> 00:12:55.120]   now because this is kind of a popular paper these are what people are thinking about these are the
[00:12:55.120 --> 00:13:02.080]   questions that they propose so are models capable uh are these models capable of generalizable reasoning
[00:13:02.080 --> 00:13:06.720]   or are they leveraging forms of pattern matching basically you know are they just learning to
[00:13:06.720 --> 00:13:11.920]   pattern match these math skills are they actually reasoning how does performance scale with increasing
[00:13:11.920 --> 00:13:17.520]   problem complexity um this is one thing that they kind of show pretty explicitly in this how do they
[00:13:17.520 --> 00:13:23.840]   compare to their non-thinking standard llm counterparts when provided with the same inference token compute
[00:13:23.840 --> 00:13:28.800]   so when they're given the same thinking budget how do reasoning models actually perform most importantly
[00:13:28.800 --> 00:13:33.840]   what are the inherent limitations of current reasoning approaches and what improvements might be necessary
[00:13:33.840 --> 00:13:40.320]   to advance towards more robust reasoning capabilities in this we probe reasoning models through the lens of
[00:13:40.320 --> 00:13:46.960]   problem complexity so um they have these puzzles the four that we kind of talked over they control the
[00:13:46.960 --> 00:13:52.960]   complexity they make them more and less complex they want to avoid contamination from traditional benchmarks
[00:13:52.960 --> 00:13:58.880]   so they don't want to really just do math stuff because that's pretty contaminated um what else require
[00:13:58.880 --> 00:14:04.960]   explicitly provided rules um they want to emphasize reasoning so they look through traces uh here they can do
[00:14:04.960 --> 00:14:11.920]   simulation based evaluation where they can just simulate a bunch of responses they can see pass at k responses so
[00:14:11.920 --> 00:14:18.640]   like you know even as stuff gets really really complex can we do like a pass at katie so uh pass at 80.
[00:14:18.640 --> 00:14:24.080]   so if you generate 80 example 80 answers at least one of them has to be correct it's basically easy to
[00:14:24.080 --> 00:14:31.440]   simply um okay despite all this and their rl these models fail to develop generalized problem solving
[00:14:31.440 --> 00:14:36.640]   capabilities for planning tasks while performing collapsing to zero beyond a certain complexity threshold they
[00:14:36.640 --> 00:14:41.280]   really like to emphasize the you know as you get really complex they just shoot can they just shoot
[00:14:41.280 --> 00:14:48.720]   straight down to zero okay key contributions they question they question evaluation based on math and
[00:14:48.720 --> 00:14:55.360]   code uh they want to they want to do more than that they show that reasoning models still fail to develop
[00:14:55.360 --> 00:15:02.080]   generalizable problem solving find that there's a scaling limit in reasoning model effort with respect to problem
[00:15:02.080 --> 00:15:08.080]   complexity this can be shown by you know uh counterintuitive decreasing tend and thinking tokens with
[00:15:08.080 --> 00:15:13.760]   complexity so as we get more and more complex once accuracy falls they stop trying to reason uh we
[00:15:13.760 --> 00:15:20.560]   question current uh evaluation on final accuracy we want to look at uh intermediate thinking spaces
[00:15:20.560 --> 00:15:28.720]   okay what else we uncover surprising limitations and ability to form exact computation failure to benefit from
[00:15:28.720 --> 00:15:35.920]   explicit algorithms and consistent reasoning well related work um you know if you're interested there's some
[00:15:35.920 --> 00:15:43.040]   other work here none of this was as nothing really felt super relevant for me to point out but useful
[00:15:43.040 --> 00:15:48.640]   section if you're interested in seeing what else if you go down this path i will take a break to share
[00:15:48.640 --> 00:15:54.800]   better related work if you guys are into mechinterp uh check out the last latent space podcast we talked to one
[00:15:54.800 --> 00:16:00.720]   of the guys on the biology of a large language model basically what is mechinterp how does it work and
[00:16:00.720 --> 00:16:08.160]   then anthropic recently put out a tool on how to do this mechinterp into open source model so if you have
[00:16:08.160 --> 00:16:15.040]   some models like general llama you can look into their uh activations when you pass in certain queries
[00:16:15.040 --> 00:16:20.880]   and then you can see you know what's actually happening in the internal state outside of the next token produced what
[00:16:20.880 --> 00:16:26.400]   other tokens are they considering in their sort of internal state so cool little thought experiment you
[00:16:26.400 --> 00:16:32.960]   know if you agree that their uh evaluation of reasoning models is not done correctly well anthropic has put
[00:16:32.960 --> 00:16:40.000]   out open source tools very easy to use to probe into these models so maybe try these same puzzles on
[00:16:40.000 --> 00:16:46.960]   these um different models and see what's happening internally so go go check out podcasts that's better
[00:16:46.960 --> 00:16:55.120]   related work than all these papers let's uh let's see what else okay so um outside of related work
[00:16:55.120 --> 00:17:00.720]   math and puzzle environment currently it's not clear whether the performance enhancements observed in
[00:17:00.720 --> 00:17:09.120]   rl thinking models um are attributed to the increased exposure in math benchmarks um or if this is like
[00:17:09.120 --> 00:17:15.280]   actually reasoning that's happening uh okay what else so that under equivalent inference token budgets
[00:17:15.280 --> 00:17:21.280]   non-thinking llms can eventually reach comparable performance the thinking models on math and aime
[00:17:21.280 --> 00:17:26.000]   okay what else math and puzzle this is basically the four
[00:17:26.000 --> 00:17:35.040]   my voice shitty my mic sucks pg okay um actually i think we can take a break here this is kind of like
[00:17:35.680 --> 00:17:41.520]   overall they've made the points of the paper they've they set out their four points they've kind of
[00:17:41.520 --> 00:17:47.840]   shown what they're doing next we're going to go into a bit of you know specifics but let's let's take
[00:17:47.840 --> 00:17:52.720]   like a two to three minute break here is there any questions anything interesting in chat anyone see
[00:17:52.720 --> 00:17:58.880]   anything interesting about this if anyone wants to unmute share questions thoughts comments any clarification on
[00:17:58.880 --> 00:18:03.840]   the points they're making i think it's a good time we can we can take a few minutes here i know chat was
[00:18:03.840 --> 00:18:11.360]   pretty accurate uh active i didn't i didn't see much of this yes jumi says our prize is basically puzzle
[00:18:11.360 --> 00:18:19.040]   games now it's good because it's distinct um it's also interesting to see whether you know from a from
[00:18:19.040 --> 00:18:23.680]   like a first principles perspective if you do math does that mean you're good at puzzles are these are
[00:18:23.680 --> 00:18:29.120]   these skills that necessarily transfer open questions how do they use r1 to solve multimodal
[00:18:29.120 --> 00:18:35.120]   problems uh they're not actually doing this multimodal so they show this in the appendix how they map out
[00:18:35.120 --> 00:18:42.720]   these um questions and prompts but these are not multimodal problems so one thing that's known is
[00:18:42.720 --> 00:18:49.600]   anthropic is really bad with vision uh we can see this in pokemon but basically they they map it out as text
[00:18:49.600 --> 00:18:54.960]   unless i'm mistaken um but you know they're doing text so you know you're a helpful assistant solve
[00:18:54.960 --> 00:19:00.720]   puzzles here are the rules here's what it does and then they explicitly tell it as well in your reasoning
[00:19:00.720 --> 00:19:08.160]   map out what's going on step by step you know so the requirements uh here's this ensure your final
[00:19:08.160 --> 00:19:16.480]   answers include a complete list of moves in this form so that solves the reasoning okay someone agrees
[00:19:16.480 --> 00:19:23.280]   about thinking okay interesting thread on twitter about this paper and criticisms oh there's a twitter
[00:19:23.280 --> 00:19:32.240]   about criticism honestly i had basic criticisms but maybe we dig into that we have time do they define
[00:19:32.240 --> 00:19:38.560]   these properties yes basically by complexity do they test out do they try out test time compute beyond
[00:19:38.560 --> 00:19:45.120]   rl vr style reasoning for example did they use tool calling during the reasoning or lm is a judge
[00:19:45.120 --> 00:19:52.720]   putting techniques in search i don't think they mentioned anything about that this is the mathematical
[00:19:52.720 --> 00:20:00.400]   definition of puzzle complexity problems face grows exponentially yep cool okay i think we're going to
[00:20:00.400 --> 00:20:06.000]   continue on through paper if anyone else has anything oh someone has hand raised interrupt just interrupt
[00:20:06.000 --> 00:20:14.320]   hey yeah can you hear me yes cool um i don't know if either uh any of you guys read the other papers
[00:20:14.320 --> 00:20:19.840]   that they referenced there's one on uh token bias and i feel like this goes into the question of like if
[00:20:19.840 --> 00:20:24.640]   they're actually reasoning or not or if they're pattern matching and they um they were showing that there's a
[00:20:25.520 --> 00:20:31.520]   a um like quite strong token bias and if you change basically anything on the superficial level then
[00:20:31.520 --> 00:20:37.920]   the success like greatly diminishes and i feel like that is an important aspect here because then it's
[00:20:37.920 --> 00:20:45.920]   not really um generalizable it's just based on whether it's been seen before or not very interesting
[00:20:45.920 --> 00:20:51.680]   things you can share with them yeah i'll share the the paper there were two actually that they
[00:20:51.680 --> 00:20:54.880]   reference that i thought were really helpful for context i'll put them both in the chat
[00:20:54.880 --> 00:21:03.520]   awesome well i guess um you know never mind not all related work is fake paper uh token bias paper is
[00:21:03.520 --> 00:21:10.960]   pretty good we'll open it up just for people to speak into token bias lms are not genuine reasoners so
[00:21:10.960 --> 00:21:16.960]   for those interested you know like this paper it's a good one and of course and perfect work is always
[00:21:16.960 --> 00:21:23.200]   good okay puzzle environments um if anyone else has stuff you know this is a short short paper
[00:21:23.200 --> 00:21:31.360]   so ted i see your hand is off as well feel free to pop in i'm just curious like what other people think
[00:21:31.360 --> 00:21:39.760]   about these problems because like towers of hanoi really the question for me is can you come up with an
[00:21:39.760 --> 00:21:46.640]   algorithm that generalizes to any number of disks n and explain the pattern for how you would do it
[00:21:46.640 --> 00:21:53.680]   that's one question but if you just ask me what are the moves to solve towers of hanoi as a human i can't
[00:21:53.680 --> 00:21:59.520]   do that at some point i'm going to make a transcription error if you ask me to do this for more than whatever
[00:21:59.520 --> 00:22:07.520]   four or five disks and so i'm not like the least bit surprised that the lm messes up either so in that
[00:22:07.520 --> 00:22:11.600]   sense it's like i don't feel like that's a terribly interesting question so i'm just curious if other
[00:22:11.600 --> 00:22:19.120]   people feel the same way like that definition of reasoning you know it's kind of a crazy definition
[00:22:19.120 --> 00:22:27.200]   in my mind yeah it's it's an interesting match i thought the puzzle examples were kind of weird
[00:22:27.200 --> 00:22:32.800]   when you're doing puzzle games like this where uh yeah like you know it's interesting that the reasoning
[00:22:32.800 --> 00:22:40.640]   model like cloud three seven thinking does pretty well it has like 78 accuracy with towers of hanoi of
[00:22:40.640 --> 00:22:48.000]   seven blocks which is yeah it's not easy i can't i can't even like map that out and draw it out and
[00:22:48.000 --> 00:22:54.960]   there's there's a map here of tokens used as well for each puzzle and it's it's using a lot of tokens
[00:22:54.960 --> 00:23:01.440]   doing that so sure it has a lot of steps but like you know is this really the right way to measure okay
[00:23:01.440 --> 00:23:08.080]   so accuracy complexity of disk number of tokens we'll find the chart somewhere but it's it's a very very
[00:23:08.080 --> 00:23:14.000]   fair question you know like is this a proper use of reasoning versus pattern matching and they they do
[00:23:14.000 --> 00:23:22.560]   mention that you know there's a way to find the minimum number of moves required mathematically so if prompted if given
[00:23:22.560 --> 00:23:27.920]   this is it meant to reason and deduce how to first solve it is it meant to play through the game
[00:23:27.920 --> 00:23:32.960]   like there's there's many approaches right like i don't even know what's the optimal way to solve
[00:23:32.960 --> 00:23:38.480]   this right should i first think of mathematically what's the optimal way to play the game then play
[00:23:38.480 --> 00:23:44.080]   the game or should i just file an error play the game memorize state and win the game it's it's a very
[00:23:44.080 --> 00:23:50.080]   interesting way to think of reasoning so it's a good discussion point to me if anyone else has thought you
[00:23:50.080 --> 00:24:00.640]   know find them no thoughts people too quiet and paper phones today we need to yeah it's okay well um
[00:24:00.640 --> 00:24:06.000]   i'll just throw out one more thing so like like if you asked it to solve traveling salesman okay like we
[00:24:06.000 --> 00:24:12.000]   that as far as it's nb complete right so the only way you can truly solve is to exhaustively try all the
[00:24:12.000 --> 00:24:20.080]   different things that wouldn't be a very interesting thing to ask an llm to solve and yet i don't see a
[00:24:20.080 --> 00:24:26.880]   huge gap between towers of hanoi and traveling salesman unless you specifically say find the
[00:24:26.880 --> 00:24:30.720]   algorithm so that you don't have to actually think about the individual steps so that you just have a
[00:24:30.720 --> 00:24:36.560]   recursive solution and as far as i can tell they didn't really look for that pathway so i don't know
[00:24:36.560 --> 00:24:42.080]   if anybody else if that stirs any more comments from other people i i kind of see what they did
[00:24:42.080 --> 00:24:48.400]   too right like these so an interesting thing is lms are not stateful right like is the optimal thing to
[00:24:48.400 --> 00:24:55.760]   just solve the solve the game or are you asking it to give you a broader solution algorithm like it was
[00:24:55.760 --> 00:25:01.120]   prompted to solve the game right so i get that it solves the game now and the other as well like i
[00:25:01.120 --> 00:25:07.200]   i guess it's interesting to see can it and it verifiably you know find an optimal route to play
[00:25:07.200 --> 00:25:13.120]   the game and then verify that that's correct so it's all interesting stuff but i i think that their
[00:25:13.120 --> 00:25:18.960]   their points here still do hold right like these models do collapse at some level even when they have
[00:25:18.960 --> 00:25:25.120]   a large thinking budget and then the points are making like non-reasoning models can't solve these but
[00:25:25.120 --> 00:25:30.960]   you know reasoning models and these are like non-reasoning models that have been trained with chain of
[00:25:30.960 --> 00:25:37.040]   thought ways around to give good like you know thoughtful step-by-step answers so reasoning
[00:25:37.040 --> 00:25:43.360]   is doing something here and they have a whole section on this don't they also provide the algorithm
[00:25:43.360 --> 00:25:52.560]   um in the prompt at some point crazy let's see uh prompt design larger now they give roles so the
[00:25:52.560 --> 00:26:02.640]   disks are numbered from um check section 4.4 in the first paragraph there 4.4 first paragraph right here
[00:26:02.640 --> 00:26:13.440]   yeah as shown in figures 8a 8b even when we provide the algorithm in the prompt the model we need to
[00:26:13.440 --> 00:26:19.920]   execute this stuff performance does not improve as observed collapse uh the observed collapse still occurs at
[00:26:19.920 --> 00:26:26.560]   roughly the same point so 8a and 8b basically here where they do give the algorithm it still fails so
[00:26:26.560 --> 00:26:34.960]   it's like the the algorithm given versus default so it seems like uh let's just keep looking at fun
[00:26:34.960 --> 00:26:42.400]   so with the algorithm given versus not giving the algorithm not giving the algorithm actually does well
[00:26:43.840 --> 00:26:51.840]   very weird is the behavior the same in deep seek deep seek has the opposite behavior uh yeah giving
[00:26:51.840 --> 00:26:56.320]   the algorithm can out so basically i don't think any of this is statistically significant you know
[00:26:56.320 --> 00:27:01.360]   here it's uh better with the algorithm here it performs worse with the algorithm i think part of
[00:27:01.360 --> 00:27:08.800]   this also has to do with the way that we consume these models by api right like prompting reasoning models with
[00:27:08.800 --> 00:27:14.880]   scaffolding and giving them algorithms on what to do often doesn't work that well or slightly
[00:27:14.880 --> 00:27:20.720]   underexplored so i don't know if this is definitive but um yeah it's interesting you tell it how to do it
[00:27:20.720 --> 00:27:27.600]   it it still sucks um but yeah i guess i guess that they do run this experiment good enough yeah i feel
[00:27:27.600 --> 00:27:33.440]   like if you gave a human the algorithm it would be able to figure it out even if you made some transcription errors
[00:27:33.440 --> 00:27:40.400]   yeah i think i think it's also like if you put into perspective like tower of hanoi with 10 blocks no
[00:27:40.400 --> 00:27:47.440]   vision like tens of thousands of tokens uh one thing that they do know is the model starts to question
[00:27:47.440 --> 00:27:51.920]   itself it sticks to early solutions right so what's the early thing it should try and then it kind of gets
[00:27:51.920 --> 00:27:57.520]   stuck even if it verifies that that's wrong so yeah it's showing that it's not it's not that good at
[00:27:57.520 --> 00:27:59.680]   this and i feel like people would be frustrated too you know
[00:27:59.680 --> 00:28:09.680]   okay back to this uh puzzle environments basically very straightforward i feel like we don't need to
[00:28:09.680 --> 00:28:16.480]   go that deep into this they've got four different puzzle games we can increase complexity with more
[00:28:16.480 --> 00:28:24.000]   n equals blocks or people or whatever um they all have a minimum number of moves they all have an optimal
[00:28:25.440 --> 00:28:31.280]   then there's the experiments and how they set them up so most of their experiments are on the quad 37
[00:28:31.280 --> 00:28:38.240]   deep seek because they show the full traces unlike open ai models open ai summarizes traces so we can't
[00:28:38.240 --> 00:28:42.960]   really get that deeper look here which is kind of the point of this i think one benchmark that looks at
[00:28:42.960 --> 00:28:53.920]   eval faces um okay for the they allow token budgets of 64 000 tokens we generate for each puzzle we generate 25
[00:28:53.920 --> 00:29:01.600]   samples and report the average performance of the model across them so kind of interesting 25 samples on
[00:29:01.600 --> 00:29:09.760]   ticker jumping at you know performance on different tasks and then pass at different attempts values okay
[00:29:09.760 --> 00:29:15.920]   how does complexity affect reasoning the three regimes of complexity this is basically once again this first
[00:29:15.920 --> 00:29:24.400]   paragraph uh here's what we learned uh small model or sorry non-reasoning good on basic reasoning good on
[00:29:24.400 --> 00:29:30.560]   medium both fail at large now we're going to get more paragraphs of the same thing but let's read these
[00:29:30.560 --> 00:29:38.640]   paragraphs since they wrote them up okay three regimes okay um in the first regime problem complexity is low
[00:29:38.640 --> 00:29:44.720]   we observe that non-thinking models are capable to obtain performance comparable to or even better than
