
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:02:48.040 --> 00:02:50.760]   It was my colleague, Sebastian Ruder, who actually wrote it.
[00:02:50.760 --> 00:02:53.320]   I just did the research for it,
[00:02:53.320 --> 00:02:55.840]   but it was basically introducing transfer learning,
[00:02:55.840 --> 00:02:59.160]   successful transfer learning to NLP for the first time.
[00:02:59.160 --> 00:03:01.280]   And the algorithm is called ULMfit.
[00:03:01.280 --> 00:03:07.200]   And I actually wrote it for the course,
[00:03:07.200 --> 00:03:08.920]   for the fast AI course.
[00:03:08.920 --> 00:03:10.560]   I wanted to teach people NLP
[00:03:10.560 --> 00:03:12.720]   and I thought I only want to teach people practical stuff.
[00:03:12.720 --> 00:03:15.760]   And I think the only practical stuff is transfer learning.
[00:03:15.760 --> 00:03:18.560]   And I couldn't find any examples of transfer learning in NLP.
[00:03:18.560 --> 00:03:19.760]   So I just did it.
[00:03:19.760 --> 00:03:22.520]   And I was shocked to find that as soon as I did it,
[00:03:22.520 --> 00:03:26.280]   which the basic prototype took a couple of days,
[00:03:26.280 --> 00:03:27.720]   smashed the state of the art
[00:03:27.720 --> 00:03:29.480]   on one of the most important data sets
[00:03:29.480 --> 00:03:31.920]   in a field that I knew nothing about.
[00:03:31.920 --> 00:03:35.600]   And I just thought, well, this is ridiculous.
[00:03:35.600 --> 00:03:39.000]   And so I spoke to Sebastian about it
[00:03:39.000 --> 00:03:42.880]   and he kindly offered to write it up, the results.
[00:03:42.880 --> 00:03:46.560]   And so it ended up being published in ACL,
[00:03:46.560 --> 00:03:50.760]   which is the top computational linguistics conference.
[00:03:50.760 --> 00:03:54.080]   So like people do actually care once you do it,
[00:03:54.080 --> 00:03:58.000]   but I guess it's difficult for maybe like junior researchers
[00:03:58.000 --> 00:04:01.800]   or like, I don't care whether I get citations
[00:04:01.800 --> 00:04:02.960]   or papers or whatever.
[00:04:02.960 --> 00:04:04.840]   There's nothing in my life that makes that important,
[00:04:04.840 --> 00:04:06.720]   which is why I've never actually bothered
[00:04:06.720 --> 00:04:08.240]   to write a paper myself.
[00:04:08.240 --> 00:04:09.200]   But for people who do,
[00:04:09.200 --> 00:04:14.200]   I guess they have to pick the kind of safe option,
[00:04:14.800 --> 00:04:17.520]   which is like, yeah, make a slight improvement
[00:04:17.520 --> 00:04:19.920]   on something that everybody's already working on.
[00:04:19.920 --> 00:04:22.520]   (upbeat music)
[00:04:22.520 --> 00:04:25.120]   (upbeat music)
[00:04:25.120 --> 00:04:27.720]   (upbeat music)
[00:04:27.720 --> 00:04:30.320]   (upbeat music)
[00:04:30.320 --> 00:04:32.920]   (upbeat music)
[00:04:32.920 --> 00:04:35.520]   (upbeat music)
[00:04:35.520 --> 00:04:45.520]   [BLANK_AUDIO]

