
[00:00:00.040 --> 00:00:09.280]   ACC
[00:02:22.260 --> 00:02:22.260]   and pain in this whole messy rollercoaster ride we call love
[00:02:22.260 --> 00:02:22.260]   and pain in this whole messy rollercoaster ride we call love
[00:02:22.260 --> 00:02:22.260]   and pain in this whole messy rollercoaster ride we call love
[00:02:22.260 --> 00:02:22.260]   and pain in this whole messy rollercoaster ride we call love
[00:02:22.300 --> 00:02:50.600]   and pain in this whole messy rollercoaster ride we call love
[00:02:50.600 --> 00:02:50.600]   and pain in this whole messy rollercoaster ride we call love
[00:02:50.600 --> 00:02:50.600]   and pain in this whole messy rollercoaster ride we call love
[00:02:50.600 --> 00:02:50.600]   and pain in this whole messy rollercoaster ride we call love
[00:02:50.640 --> 00:02:57.180]   lleva
[00:02:57.180 --> 00:03:00.720]   I P幹
[00:03:00.720 --> 00:03:00.820]  ,,,,
[00:03:00.820 --> 00:03:04.080]   than whis
[00:03:04.080 --> 00:03:20.640]  JO limit is just. I am. I, I, I, I, I, I, I, G, G, G, G, G, G, G, Gu, G, Bin ...V ...G ...D...G...P..."...�...уш... fed... Над... Vel... cla... По... eviden...GA... means... Young... servant... her... tone... Prince... r. Al... thought... shoes... suck...Gu... him. AI N. stär... Crist... a.께서... Bizim... meat... they're...'s... big... named...
[00:04:45.160 --> 00:05:13.280]  obed...
[00:05:13.280 --> 00:05:13.280]   that's very hard for anyone going through a divorce to do about their own relationship. You know, we don't know who discovered water, but it wasn't a fish. Like, if you're in it, I don't think you see it clearly. I think as a divorce lawyer whose job is to really drill down on the facts and figure out what's going on in this story. I have to look at both sides. So I have to think a lot about my own arguments, but I also have to think about what's the other lawyer's argument going to be, especially in custody cases. So I really
[00:05:13.280 --> 00:05:13.280]   have been
[00:05:13.280 --> 00:05:13.980]   really
[00:05:13.980 --> 00:05:14.000]   been
[00:05:14.040 --> 00:05:43.200]  ,
[00:05:43.220 --> 00:06:12.460]  ,
[00:06:12.460 --> 00:06:13.100]   I
[00:06:13.100 --> 00:06:13.260]   have been, I think, I think people can construct a good, like if you ask GPT, what do they mean? I think the story that would come up is a pretty good one. But, you know, that's a story you tell about when you first knew the disconnection has begun is when you stopped buying my favorite granola or when she stopped giving blowjobs. I would say when it's reached like a critical mass. Yeah.
[00:06:13.280 --> 00:06:43.300]   Because I think it started before that when she said, yeah, I used to give him blowjobs. And, you know, when we were in our early relationship. And then one day, like, I just was like, oh, well, you know, we don't have as much time. Like, well, I'll wait until later and we'll have sex. And then we both enjoy it. Blowjobs are inefficient. Yeah, exactly. Correct. So you batch it all together. Yeah. So she said, well, you exactly. And they had kids at that point. So I think she really was like, hey, we've gotten certain window. Yeah. So let's have something we both enjoy. So I don't think she had any negative intentions.
[00:06:43.320 --> 00:07:13.340]   I think that she was working in good faith towards the betterment of the relationship, but it was having this second order effect. And so I really do think that, yeah, the blowjobs granola. I mean, there anyone who's been in a long term relationship. I guess it's just worth asking the question. What does this person do that makes me feel loved? Because I,
[00:07:13.340 --> 00:07:13.340]   I think that's a good question.
[00:07:13.340 --> 00:07:13.340]   I think that's a good question.
[00:07:13.380 --> 00:07:43.380]   and I think it's very interesting in my own experience in life. I remember I had a difficult chapter with one of my sons, my younger son, when he was in his early 20s. And we were having a heartfelt conversation and I said to him, do you, do you know I love you? And he said, well, yeah, of course I do. I said, but do you feel my love like you feel it, you know, not just do you know it intellectually, do you feel it? And I remember thinking to myself, when do we feel someone's love?
[00:07:43.380 --> 00:07:43.380]   I think it's very interesting in my own experience in life.
[00:07:43.380 --> 00:07:43.380]   I remember I had a difficult chapter with one of my sons, my younger son when he was in his early 20s and we were having a heartfelt conversation and I said to him, do you know, do you know I love you? And I said, of course I do you feel my love.
[00:07:43.400 --> 00:07:50.420]   Right. Like what what is it that they do? And sometimes it's the weirdest, silliest things that they would never know.
[00:07:50.420 --> 00:07:54.420]   They are the person who's showing us they love us and that we're feeling their love.
[00:07:54.420 --> 00:07:59.420]   They would never show us like if you said, why, why does this person love you?
[00:07:59.420 --> 00:08:07.420]   They wouldn't say, oh, because I always make sure that when the paper comes, I bring it from the bottom of the driveway to the door so they don't have to go out and get it.
[00:08:07.420 --> 00:08:13.420]   Or I always hold the door for them or I, you know, oh, I always like again, I buy the granola that I know that I love.
[00:08:13.420 --> 00:08:13.420]   I always make sure that when the paper comes, I bring it from the bottom of the driveway to the door so they don't have to go out and get it.
[00:08:13.440 --> 00:08:43.460]   I remember that they don't like it when I put on this particular record, so I don't put it on like and those are these.
[00:08:43.460 --> 00:08:43.460]   Yes, they're small things, but they're not small. They're kind of everything.
[00:08:43.460 --> 00:08:43.460]   Do you think it's good to communicate that stuff?
[00:08:43.460 --> 00:08:43.460]   Well, 100%. It takes away some of the power of it, right? When you point it out, then the person realizes, okay, he likes this or dislikes it. So yes, there becomes a deliberate need to do it.
[00:08:43.460 --> 00:08:43.460]   So I think it's good to communicate that stuff.
[00:08:43.460 --> 00:08:43.460]   Well, 100%. It takes away some of the power of it, right?
[00:08:43.460 --> 00:08:43.460]   When you point it out, then the person realizes, okay, he likes this or dislikes it.
[00:08:43.460 --> 00:08:43.460]   So yes, he likes this or dislikes it.
[00:08:43.460 --> 00:08:43.460]   So yes, he likes this person realizes, he likes this or dislikes it.
[00:08:43.460 --> 00:09:13.500]   When you point it out, then the person realizes, okay, he likes this or dislikes it.
[00:09:13.500 --> 00:09:13.500]   When you point it out, then the person realizes, okay, he likes this or dislikes it.
[00:09:13.500 --> 00:09:13.500]   When you point it out, then the person realizes, okay, he likes this or dislikes it.
[00:09:13.500 --> 00:09:13.500]   When you point it out, then the person realizes, okay, he likes this or dislikes it.
[00:09:13.500 --> 00:09:13.500]   When you point it out, then the person realizes, okay, he likes this or dislikes it.
[00:09:13.500 --> 00:09:13.500]   When you point it out, then the person realizes, okay, he likes this or dislikes it.
[00:09:13.540 --> 00:09:23.240]   weigh
[00:09:23.240 --> 00:09:32.700]   mean when continue
[00:09:32.700 --> 00:09:41.460]   do I I weigh but, is, the,,,,,,,,,,,,,,舉 compared to preserve真的是 Bey` Yoo -- N的時候 action - Le -lated - G - louder - Jo - 교 - Dew - P - around -ission - Boy - del - make - him -這一 -
[00:09:41.460 --> 00:09:41.840]   - at - след - like - love - may - just - e - as - in - not - achieve - dumplings - But I - et� ♫, my - que,對啊 - concerned--, g Lan -, changes was, Et asDE, added just,or., Believe -ốt the grand--., indicates the end, say,ell, supporting the call, của my, camb, takes courage and not,
[00:09:41.860 --> 00:09:46.880]   like, you notice that little something, talk about it.
[00:09:46.880 --> 00:09:50.880]   Because that little something is probably a kernel of a deeper truth.
[00:09:50.880 --> 00:09:52.880]   Of course, there's also moods.
[00:09:52.880 --> 00:09:54.880]   We're all like a rollercoaster of emotions.
[00:09:54.880 --> 00:10:02.880]   So, you can not bring a granola one day just because you're in this place where just nothing is,
[00:10:02.880 --> 00:10:05.880]   just cynicism everywhere, just anger and so on.
[00:10:05.880 --> 00:10:07.880]   But it's a temporary feeling.
[00:10:07.880 --> 00:10:10.180]   But maybe that temporary feeling is grounded in some other deeper kernel.
[00:10:10.180 --> 00:10:10.180]   Maybe that temporary feeling is grounded in some other deeper kernel.
[00:10:10.180 --> 00:10:10.180]   Maybe that temporary feeling is grounded in some other deeper kernel.
[00:10:10.180 --> 00:10:10.180]   Maybe that temporary feeling is grounded in some other deeper kernel.
[00:10:10.180 --> 00:10:10.180]   Maybe that temporary feeling is grounded in some other deeper kernel.
[00:10:10.180 --> 00:10:10.180]   Maybe that temporary feeling is grounded in some other deeper kernel.
[00:10:10.180 --> 00:10:10.180]   Maybe that temporary feeling is grounded in some other deeper kernel.
[00:10:10.180 --> 00:10:10.180]   Maybe that temporary feeling is grounded in some other deeper kernel.
[00:10:11.020 --> 00:10:38.520]   and I think a good partner wants to understand the current of their partner.
[00:10:38.520 --> 00:10:38.520]   and I think a good partner wants to understand the current of their partner. They want to understand, like, hey, are you going through something. And look, if I'm the one you need to take it out on, that's okay. I'm a big boy. I can take it. If you're hormonal, if you're frustrated at work, if you're whatever, we should be able to have a little bit of that interaction in a relationship.
[00:10:38.520 --> 00:10:38.520]   I think a good partner wants to understand the current of their partner. If you're frustrated at work, if you're whatever, we should be able to have a little bit of that interaction in a relationship.
[00:10:38.540 --> 00:10:44.760]   But I do think it's so easy to just say to people, communication is the key.
[00:10:44.760 --> 00:10:49.460]   But it really is about fearless kinds of communication.
[00:10:49.460 --> 00:10:56.860]   It's about really honestly saying to somebody, you know, this feels like something to me.
[00:10:56.860 --> 00:10:57.660]   Am I wrong?
[00:10:57.660 --> 00:10:59.560]   Like, this just feels like something to me.
[00:10:59.560 --> 00:11:01.060]   And also how that's presented.
[00:11:01.060 --> 00:11:06.860]   I mean, one of the things I'm very, you know, I'm very caught up on or feel very strongly about,
[00:11:06.860 --> 00:11:06.860]   I mean, one of the things I'm very, you know, I'm very caught up on or feel very strongly about,
[00:11:06.860 --> 00:11:06.860]   I mean, one of the things I'm very, you know, I'm very caught up on or feel very strongly about,
[00:11:06.860 --> 00:11:06.860]   I mean, one of the things I'm very, you know, I'm very caught up on or feel very strongly about,
[00:11:06.860 --> 00:11:06.860]   I mean, one of the things I'm very caught up on or feel very strongly about,
[00:11:06.900 --> 00:11:09.860]   사� when
[00:13:00.100 --> 00:13:01.400]   you know like and that to me is when because I think we're just so criticized by the world the world is so full of criticism we criticize ourselves so harshly that having a partner who no matter what is like you've got this I'm with you like you fuck okay yeah you screwed up I see it look I'm not gonna lie to you about your blind spots you screwed up but you know what people screw up sometimes got a right to screw up a lot of people screw up come on get up let's go I know you have it in you if you have that person like that I feel like that's a
[00:13:30.380 --> 00:13:39.540]   blanket
[00:13:39.540 --> 00:13:44.160]   sail 12 bring a been
[00:13:44.160 --> 00:14:00.360]   mixer這邊, and, and,,,,,,,,
[00:14:30.380 --> 00:14:30.380]   I'm like, oh my God, that's so cool. And I, I like, man, like, that's it. Yeah. That's it. Like I, I've always, I think I say it somewhere in the book that, you know, you go to weddings and like when the bride walks in, you know, everybody's looking at the bride for show, you know, everybody turns around as the first glimpse, everybody gets the bride. And I never look at the bride. I always look at the groom looking at the bride because there's this, like, to me, that's every, like, he has this look like this. Cause this is the first time I've ever seen a bride.
[00:15:30.460 --> 00:16:00.440]  obedient.
[00:16:00.440 --> 00:16:00.440]   Yeah.
[00:16:00.480 --> 00:16:09.320]  ?
[00:16:09.320 --> 00:16:14.620]   just,
[00:16:14.620 --> 00:16:28.700]   characterization hot ho 100,,,,,, talk about that is a good for ers�DI C Thisuten Oed was fatigue 50ão cunning Mythad buy doesn na
[00:16:29.260 --> 00:16:41.240]   say
[00:16:41.240 --> 00:16:58.040]   I I. X.�
[00:16:58.420 --> 00:17:09.180]   Sh
[00:17:09.180 --> 00:17:27.440]   Teach it no me't — carre this, like, a, a,,,,,,,, .Per tunnel
[00:17:27.620 --> 00:17:37.620]   was
[00:17:37.620 --> 00:17:38.620]   wasn, work,
[00:17:38.620 --> 00:17:57.600]   playing I I I money. I. I, I, do,,,,,,,,,,,,,, or . fought ac para tr psychologicalillassy triangle 12 chassis the right. You know, one of the top of the really N. I think the運. I think the prod. I think it is the C. I'm the N. I think the S. I'm the N. I'm the S. I mean the 만�e. S. I'm the N. And, your love the selling the men's the's, and, and, with the manera, out the, Pil, and, and, and, and, and,早. And, 갈,間,這樣的, And, remembered, con, sensitive,難, Sch,好的, near, packed, Force,
[00:17:57.640 --> 00:18:21.840]   made
[00:18:21.840 --> 00:18:26.200]   la the co icon Within study chasedulatingi and no is a right, and, and, and, and, and, cursed, stuff, His, 12. I mean, good, 2. name, better. a. mellan way. nearly the real. good. is a leg. is the baby is a really a thing that is a question.ły the property is a think the
[00:18:26.260 --> 00:18:54.360]   make
[00:21:19.340 --> 00:21:25.500]   "I'm not sure if I'm gonna die, eventually. Might as well really go all in on relationships."
[00:21:25.500 --> 00:21:31.980]   There's a line in "Drugstore Cowboy," a great film, where he says, "We played a game you couldn't win to the utmost."
[00:21:31.980 --> 00:21:33.820]   Yeah.
[00:21:33.820 --> 00:21:40.700]   And I think everything, I think life is a game you can't win. And so you play it to the utmost.
[00:21:40.700 --> 00:21:47.780]   Like to love anything is insane, because you are accepting that you're going to lose it.
[00:21:47.780 --> 00:21:49.340]   Like I'm a dog person.
[00:22:12.180 --> 00:22:42.200]  , "I'm not sure if I'm gonna die, eventually. Might as well really go all in on relationships."
[00:22:42.240 --> 00:23:12.060]  . But I think it's not to me surprising that as the performative aspects of life on social media increases, people's satisfaction with their relationships and the divorce rate is following the same trend. Because I think everyone's going, "Well, what's everybody else doing?" "Well, how much sex is everyone else having?" The only two people that should worry about how much sex you're having are the two people. If the two people are happy in the relationship, great. Don't worry about that.
[00:23:12.060 --> 00:23:42.080]  , "What's everybody else doing?" Yeah, there should be an element to great relationships and great friendships of like, "Fuck the world." It's us versus the world. Yeah, us. Us. And that's what I mean when I say that thick as thieves. When they're like a unit like that. Because it's, look, it's just us. It's just what we want, what we like. And that's why I said, even when it comes to sex or things like that, if you can't be candid with your partner about whatever weird shit you're into or what fantasy you have, then you're not going to be candid about what you're into.
[00:23:42.120 --> 00:23:51.760]   word
[00:23:51.760 --> 00:23:55.780]   it just
[00:23:55.780 --> 00:24:07.760]  ,., со en wy word dedicated mobile be. -S...., 12, dear, humour,oscope, dall,
[00:25:09.540 --> 00:25:17.280]   Flick. Do you really want to eat at this restaurant? Do you
[00:25:17.280 --> 00:25:38.640]   really want to go to her cousin's wedding? No, but part of being a relationship is, okay, if you're into this, I'm going to pretend this song is a good song, you know, even though it's not my favorite song. And I think I just don't know. We've turned sex. I mean, sex has been so politicized in recent years. Maybe it always was. But I think we've made it into something where we can't just, I don't know.
[00:25:38.660 --> 00:25:56.320]   I'm not in defeat, but if the woman I love was like, you know, I'm really in defeat. Like, I really want to do stuff with defeat. I'd be like, all right, I can pretend I'm into that. Like for, it's not going to kill me. I'm not going to be able to make it a centerpiece of our coupling, but you know, like, yeah, I can pretend I'm in defeat if you want.
[00:25:56.700 --> 00:26:02.500]   que
[00:26:02.500 --> 00:26:06.620]   Mag B I С, eje,
[00:26:06.620 --> 00:26:08.740]   fell...―.... a moment of this, if, had, mechanism,
[00:26:50.440 --> 00:26:55.980]   Yeah.
[00:26:55.980 --> 00:26:55.980]   I don't think I've ever met someone who went, "Yeah, I really hid this huge part of myself for an extended period of time."
[00:26:55.980 --> 00:26:55.980]   Yeah. I don't think I've ever met someone who went, "Yeah, I really hid this huge part of myself for an extended period of time."
[00:26:55.980 --> 00:26:55.980]   Yeah. I don't think I've ever met someone who went, "Yeah, I really hid this huge part of myself for an extended period of time."
[00:26:55.980 --> 00:26:55.980]   Yeah. I don't think I've ever met someone who went, "Yeah, I really hid this huge part of myself for an extended period of time."
[00:26:55.980 --> 00:26:55.980]   Yeah. I don't think I've ever met someone who went, "Yeah, I really hid this huge part of myself for an extended period of time."
[00:26:55.980 --> 00:26:55.980]   Yeah. I don't think I've ever met someone who went, "Yeah, I really hid this huge part of myself for an extended period of time."
[00:26:56.600 --> 00:27:25.640]  , I don't think I've ever met someone who went, "Yeah, I really hid this huge part of myself for an extended period of time."
[00:27:25.640 --> 00:27:25.640]   Yeah. I don't think I've ever met someone who went, "Yeah, I really hid this huge part of myself for an extended period of time."
[00:27:25.640 --> 00:27:25.640]   Yeah. I don't think I've ever met someone who went, "Yeah, I really hid this huge part of myself for an extended period of time."
[00:27:25.640 --> 00:27:25.640]   Yeah. I don't think I've ever met someone who went, "Yeah, I really hid this huge part of myself for an extended period of time."
[00:27:25.680 --> 00:27:35.520]   I
[00:27:35.520 --> 00:27:38.600]  , end,
[00:29:21.840 --> 00:29:28.620]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:29:28.620 --> 00:29:28.620]   You know I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:29:28.620 --> 00:29:28.620]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:29:28.620 --> 00:29:28.620]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:29:28.620 --> 00:29:28.620]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:29:28.620 --> 00:29:28.620]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:29:28.620 --> 00:29:28.620]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:29:28.620 --> 00:29:28.620]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:29:28.620 --> 00:29:28.620]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:29:57.340 --> 00:29:58.640]  , I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:29:58.640 --> 00:29:58.640]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:29:58.640 --> 00:29:58.640]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:29:58.640 --> 00:29:58.640]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:29:58.680 --> 00:30:28.660]  ,
[00:30:28.660 --> 00:30:28.660]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:28.660 --> 00:30:28.660]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:28.660 --> 00:30:28.660]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:28.660 --> 00:30:28.660]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:28.660 --> 00:30:28.660]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:28.660 --> 00:30:28.660]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:28.660 --> 00:30:28.660]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:28.660 --> 00:30:28.660]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:28.660 --> 00:30:28.660]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:28.680 --> 00:30:58.680]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:58.680 --> 00:30:58.680]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:58.680 --> 00:30:58.680]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:58.680 --> 00:30:58.680]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:58.680 --> 00:30:58.680]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:58.680 --> 00:30:58.680]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:58.680 --> 00:30:58.680]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:58.680 --> 00:30:58.680]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:58.680 --> 00:30:58.680]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:30:58.720 --> 00:31:28.700]  ,
[00:31:28.700 --> 00:31:28.700]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:31:28.700 --> 00:31:28.700]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:31:28.700 --> 00:31:28.700]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:31:28.700 --> 00:31:28.700]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:31:28.700 --> 00:31:28.700]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:31:28.700 --> 00:31:28.700]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:31:28.720 --> 00:31:58.720]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:31:58.720 --> 00:31:58.720]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:31:58.720 --> 00:31:58.720]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:31:58.720 --> 00:31:58.720]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:31:58.720 --> 00:31:58.720]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:31:58.720 --> 00:31:58.720]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:31:58.720 --> 00:31:58.720]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:31:58.720 --> 00:31:58.720]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:31:58.720 --> 00:31:58.720]   I'm very conflicted in my religious faith but I don't know that I believe in the devil.
[00:31:58.760 --> 00:32:28.740]  ,
[00:32:28.740 --> 00:32:28.740]   You don't want a marriage that's just two people both in 50/50
[00:32:28.740 --> 00:32:28.740]   You don't want a marriage that's just two people both in 50/50
[00:32:28.740 --> 00:32:28.740]   you don't want a marriage that's just two people both in 50/50
[00:32:28.740 --> 00:32:28.740]   you don't want a marriage that's just two people both in 50/50
[00:32:28.740 --> 00:32:28.740]   you don't want a marriage that's just two people both in 50/50
[00:32:28.740 --> 00:32:28.740]   you don't want a marriage that's just two people both in 50/50
[00:32:28.740 --> 00:32:28.740]   you don't want a marriage that's just two people both in 50/50/50
[00:32:28.740 --> 00:32:28.740]   you don't want a marriage that's just two people both in 50/50/50/50
[00:32:28.760 --> 00:32:58.760]   You don't want a marriage that's just two people both in 50/50/50/50
[00:32:58.760 --> 00:32:58.760]   You don't want a marriage that's just two people both in 50/50/50/50
[00:32:58.760 --> 00:32:58.760]   You don't want a marriage that's just two people both in 50/50/50/50
[00:32:58.760 --> 00:32:58.760]   You don't want a marriage that's just two people both in 50/50/50/50
[00:32:58.760 --> 00:32:58.760]   You don't want a marriage that's just two people both in 50/50/50/50
[00:32:58.760 --> 00:32:58.760]   You don't want a marriage that's just two people both in 50/50/50/50
[00:32:58.760 --> 00:32:58.760]   You don't want a marriage that's just two people both in 50/50/50/50/50
[00:32:58.760 --> 00:32:58.760]   You don't want a marriage that's just two people both in 50/50/50/50/50/50/50
[00:32:58.780 --> 00:33:28.780]  ,
[00:33:28.780 --> 00:33:28.780]   You don't want a marriage that's just two people both in 50/50/50/50/50/50/50/50
[00:33:28.820 --> 00:33:32.640]   put
[00:33:32.640 --> 00:33:57.000]   call, all. 89
[00:33:58.040 --> 00:34:27.260]   call, all. 909 00:30:30,520 -- 00:30:35,420 genuine discussion we really have about it, how much we really are ever trained to think about it. You know, there's nothing in school that teaches us about it. So much of literature and art is an idealized version of it. So little of it is real. And no matter how it evolves, when it ends in tragedy or drama, I feel like what people don't do enough is appreciate the good times.
[00:34:27.280 --> 00:34:56.500]   Like, appreciate how beautiful it is to having taken the risk and to having experienced that kind of love. I think when you look at people and they're divorcing each other, there's a Edgar Allan Poe quote, "The years of love have been forgot in the hatred of a minute." I always kind of am saddened, like deeply saddened, how people seem to forget how many beautiful moments have been shared.
[00:34:56.740 --> 00:35:25.740]  , when some reason, some drama, some breakup leads them to part ways. Yeah, yeah, it's interesting that you came to that not being a divorce lawyer because I've felt that way for a long time. And I really try to say to my clients, like in the courtroom at the negotiating table, I have a role to play where I have to be sort of like a pit bull or some kind of like a courtroom sociopath, but behind closed doors, like I'm very candid with people and try to be much more emotionally attuned with them.
[00:35:25.740 --> 00:35:25.740]   You're in a situation where you're really struggling with the truth of the truth of the truth of the truth.
[00:35:25.760 --> 00:35:54.980]   You're an empath in the sheets and sociopath in the streets. Exactly. Correct. That's well said. I've been a boy. I got a new tattoo idea. That's good. I like that. I, I, but I, I do believe when I'm behind closed doors with people, I say to them, how you end things is going to be how you're going to remember the whole thing. And, and that's unfortunate because you know, you watch like a two hour movie and if the last 15 minutes of it sucked, you go, well, that movie sucked like well, the first hour and 45 minutes, you know what I'm talking about?
[00:35:54.980 --> 00:35:54.980]   You're an empath in the sheets and sociopath in the streets.
[00:35:54.980 --> 00:35:54.980]   You're an empath in the sheets and sociopath in the streets.
[00:35:54.980 --> 00:35:54.980]   Exactly.
[00:35:55.220 --> 00:36:24.220]  , you know, you walk out with this bad taste in your mouth.
[00:36:24.220 --> 00:36:24.220]   I, I'm genuinely in awe of how easily people forget that they loved each other.
[00:36:24.220 --> 00:36:24.220]   And, and I'm amazed because by the time I meet them and by the time they, they hire me to be a weapon against the person they were in love with, there's nothing but animosity there.
[00:36:24.220 --> 00:36:24.220]   And so I have to try to imagine that I'm not going to be an empath in the sheets.
[00:36:24.220 --> 00:36:24.220]   And I'm going to try to imagine that I'm not going to be an empath in the sheets.
[00:36:24.220 --> 00:36:24.220]   And I'm going to try to imagine that I'm not going to be an empath in the sheets.
[00:36:24.220 --> 00:36:24.220]   I'm going to try to imagine that I'm not going to try to imagine that I'm not going to be an empath in the sheets.
[00:36:24.260 --> 00:36:34.460]  ,
[00:36:34.460 --> 00:36:53.100]   earned that would per
[00:36:53.860 --> 00:37:04.640]   like
[00:37:04.640 --> 00:37:22.320]   ass intimate het,,,,,,,, continue to get to weigh de e line rescued De The L P I I is a g't and Abu don Trust control but Hutch roz ch se
[00:37:23.880 --> 00:37:35.040]   continue
[00:37:35.040 --> 00:37:52.520]   a,,, talkens
[00:40:20.000 --> 00:40:20.000]   that is how it is. And the rest is just narrative that we've put on top of it culturally for some reason. Well I think to push back a little bit, I think memory can also, I think it is a deliberate choice because I think memory can basically, that's how trauma works, it can surface the negative stuff and the negative stuff completely drowns out all the positive. So I think it's a deliberate choice to have a memory.
