
[00:00:00.000 --> 00:00:05.840]   Struggling with your electric bill? Get an energy assist from SDG&E and SAFE.
[00:02:26.840 --> 00:02:30.840]   The Fifth Amendment deals with self-incrimination.
[00:02:30.840 --> 00:02:34.840]   And the Sixth Amendment deals with your right to an attorney.
[00:02:34.840 --> 00:02:40.840]   And the thing is, is government agents are trained in techniques to get citizens to waive these rights.
[00:02:40.840 --> 00:02:48.840]   And many people get into deep trouble, sometimes because they don't want to be perceived as being uncooperative with the authorities,
[00:02:48.840 --> 00:02:54.840]   but they're also not sure what to do and how to handle themselves under intense pressure.
[00:02:54.840 --> 00:03:01.840]   The police tell people all the time that things are going to go worse for you unless you cooperate and be cooperative with them
[00:03:01.840 --> 00:03:04.840]   and tell them the things that they want to know.
[00:03:04.840 --> 00:03:09.840]   There have been so many incidents in the past few years, incidents caught on tape,
[00:03:09.840 --> 00:03:18.840]   where there's some minor interaction, encounter between a citizen and the police over something small like a traffic stop,
[00:03:18.840 --> 00:03:26.840]   and then things quickly escalate and spiral out of control and there's a violent arrest or some other bad outcome.
[00:03:26.840 --> 00:03:29.840]   So I think this book is very timely.
[00:03:29.840 --> 00:03:34.840]   Another point I want to make is the spider web of rules and regulations has become so vast
[00:03:34.840 --> 00:03:45.840]   that almost everybody, whether they realize it or not, can get tripped up by criminal rules that they may not even be aware of.
[00:03:45.840 --> 00:03:55.840]   We're seeing this sometimes increasingly in our schools, where past behaviors that were commonly handled by teachers and principals,
[00:03:55.840 --> 00:04:01.840]   increasingly it seems the police are being brought in to handle behaviors in our schools.
[00:04:01.840 --> 00:04:09.840]   And it goes from school kids right up to CEOs, governors, and even our presidential contenders.
[00:04:09.840 --> 00:04:14.840]   If you just look at the news the past few weeks, we have aides to Governor Chris Christie in New Jersey
[00:04:14.840 --> 00:04:18.840]   that are now on trial in federal court over Bridgegate.
[00:04:18.840 --> 00:04:27.840]   And you know from the news that Hillary Clinton and her aides have been investigated by the FBI for mishandling classified information.
[00:04:27.840 --> 00:04:38.840]   So there's this web of rules out there that can trip up ordinary citizens and even powerful governors and other people in the business world.
[00:04:38.840 --> 00:04:47.840]   These are dangerous times because even when a totally innocent person prevails at trial and the jury says not guilty,
[00:04:47.840 --> 00:04:55.840]   chances are their savings and reputation, even though they've been found guilty, is shattered.
[00:04:55.840 --> 00:05:00.840]   To avoid this nightmare, Professor Duane has written a book with great practical advice.
[00:05:00.840 --> 00:05:06.840]   And one of the cool things about Professor Duane is he's the only law professor that I'm aware of
[00:05:06.840 --> 00:05:10.840]   who has a distinction of becoming a YouTube sensation.
[00:05:10.840 --> 00:05:18.840]   His 2008 lecture, "Never Talk to the Police," has been viewed more than 20 million times, according to the publisher.
[00:05:18.840 --> 00:05:21.840]   And the thing is, this is well-deserved attention.
[00:05:21.840 --> 00:05:26.840]   This isn't some silly thing that some of these viral videos--
[00:05:26.840 --> 00:05:27.840]   It's not a cat video.
[00:05:27.840 --> 00:05:30.840]   Yes, it's not one of these cat or dog videos that goes viral.
[00:05:30.840 --> 00:05:32.840]   This is well-deserved attention.
[00:05:32.840 --> 00:05:37.840]   It's a terrific lecture that I've been recommending to people for years.
[00:05:37.840 --> 00:05:43.840]   So when I heard that Professor Duane had written a new book on how people can protect themselves from government overreaching,
[00:05:43.840 --> 00:05:50.840]   I quickly invited him to come here to Cato so we could help draw attention to his work, and I'm so glad that he accepted.
[00:05:50.840 --> 00:06:00.840]   The book is just out, but he has also already received glowing endorsements from many top legal academics from around the country.
[00:06:00.840 --> 00:06:04.840]   As far as his background, he has been teaching a variety of legal subjects--
[00:06:04.840 --> 00:06:10.840]   evidence, civil procedure, trial practice--at the Regent Law School for more than 25 years,
[00:06:10.840 --> 00:06:14.840]   where he has received many awards for teaching excellence.
[00:06:14.840 --> 00:06:26.840]   So please welcome the author of "You Have the Right to Remain Innocent," James Duane.
[00:06:26.840 --> 00:06:28.840]   Thank you very much.
[00:06:28.840 --> 00:06:32.840]   Thank you, Tim, very much for that introduction, and thank you for the invitation to be here today.
[00:06:32.840 --> 00:06:36.840]   I'm honored to be able to play my small part in promoting the work of the Cato Institute
[00:06:36.840 --> 00:06:42.840]   in defense of American civil and constitutional liberties, about which I am passionately concerned.
[00:06:42.840 --> 00:06:46.840]   And so please accept my apologies in advance if I seem to get a little worked up and passionate about this, because I am.
[00:06:46.840 --> 00:06:50.840]   Here's the book that he mentioned a moment ago, "You Have the Right to Remain Innocent."
[00:06:50.840 --> 00:06:55.840]   As it says up there, it's also available in audio version if you'd like to have the thrill of hearing me read the book to you
[00:06:55.840 --> 00:06:59.840]   and to your children as they're getting ready for bed.
[00:06:59.840 --> 00:07:04.840]   A couple of brief--before I talk about the book, let me just make a couple of quick, brief introductory comments about myself.
[00:07:04.840 --> 00:07:07.840]   For the benefit of those of you who are thinking to yourself, "Well, who is this guy?
[00:07:07.840 --> 00:07:10.840]   Why should I listen to him? Why should I care about his opinion?"
[00:07:10.840 --> 00:07:12.840]   That's a fair question.
[00:07:12.840 --> 00:07:14.840]   I'm nobody of any particular stature, but I know some important people.
[00:07:14.840 --> 00:07:19.840]   There's Justice Antonin Scalia and me, a picture of us taken together in his chambers,
[00:07:19.840 --> 00:07:23.840]   actually just a few months before his tragic and untimely demise.
[00:07:23.840 --> 00:07:27.840]   Just before we went out to lunch together, he was--I'm a great admirer of that man.
[00:07:27.840 --> 00:07:29.840]   He was a legal giant.
[00:07:29.840 --> 00:07:34.840]   And here, for those of you on the left, is my friend Loretta Lynch, the U.S. Attorney General, and me,
[00:07:34.840 --> 00:07:37.840]   posing together at our recent college reunion.
[00:07:37.840 --> 00:07:40.840]   We were college and law school classmates, and I'm also a great fan of hers as well.
[00:07:40.840 --> 00:07:46.840]   I'm not sure, but I think I may be the only American who actually hugged Loretta and Nino both in the past year.
[00:07:46.840 --> 00:07:48.840]   But I need to give you a little trigger warning.
[00:07:48.840 --> 00:07:51.840]   For those of you who are fans of one or the other, I need to warn you right up front that before I'm done,
[00:07:51.840 --> 00:07:54.840]   I'm going to have some somewhat irreverent things to say about them both,
[00:07:54.840 --> 00:07:57.840]   or at least about the Obama administration in the era called the Justice Department,
[00:07:57.840 --> 00:08:00.840]   and Justice Scalia, and the conservative branch of the Supreme Court,
[00:08:00.840 --> 00:08:03.840]   and how it is that they have almost nothing in common except for one thing,
[00:08:03.840 --> 00:08:05.840]   that they don't understand the Fifth Amendment, and they don't care deeply enough
[00:08:05.840 --> 00:08:10.840]   about its extraordinary value to you and me and to every other American citizen.
[00:08:10.840 --> 00:08:15.840]   As Tim mentioned a moment ago, I'm honored to be able to say that the book has attracted some great praise
[00:08:15.840 --> 00:08:19.840]   from Alex Kaczynski, the Ninth Circuit Court of Appeals, and a half dozen other prominent individuals.
[00:08:19.840 --> 00:08:22.840]   You can read their glowing endorsements on the Amazon web page.
[00:08:22.840 --> 00:08:26.840]   One of them, Professor Larry Tribe from Harvard Law School, was kind enough to write that
[00:08:26.840 --> 00:08:32.840]   "This book's amazing but true stories of innocent people exonerated after decades of wrongful imprisonment,
[00:08:32.840 --> 00:08:36.840]   which they could have avoided if they had insisted on their fundamental right to avoid self-incrimination,
[00:08:36.840 --> 00:08:40.840]   are riveting reminders of the high price we pay as individuals and as a society
[00:08:40.840 --> 00:08:42.840]   when we fail to assert our constitutional rights."
[00:08:42.840 --> 00:08:44.840]   That's what the book is all about.
[00:08:44.840 --> 00:08:48.840]   Educating the American public so that you and they will all come to understand how critical it is
[00:08:48.840 --> 00:08:52.840]   that we understand and be unashamed and unapologetic, full-throated, publicly even,
[00:08:52.840 --> 00:08:56.840]   in our vigorous defense of our constitutional rights, not ashamed in the presence of the police
[00:08:56.840 --> 00:08:59.840]   who are trying to coerce you or manipulate you into thinking there was something underhanded
[00:08:59.840 --> 00:09:01.840]   about asserting your rights or standing up for your rights.
[00:09:01.840 --> 00:09:05.840]   Believe me, when the shoe is on the other foot and they find themselves on the other end of the table
[00:09:05.840 --> 00:09:07.840]   and they're told that they're being investigated by the Internal Affairs,
[00:09:07.840 --> 00:09:11.840]   or when Lois Lerner is told that Congress wants to do some investigating into the certain
[00:09:11.840 --> 00:09:16.840]   mis-proprieties apparently being committed by her office, she clams up in a heartbeat
[00:09:16.840 --> 00:09:19.840]   and takes the Fifth Amendment and then goes to collect her pension.
[00:09:19.840 --> 00:09:25.840]   Since this video went viral about eight years ago, I have been deluged almost every day
[00:09:25.840 --> 00:09:28.840]   with hundreds, probably thousands of emails and letters from all kinds of people
[00:09:28.840 --> 00:09:31.840]   with all kinds of questions. I haven't got time to answer all of them today.
[00:09:31.840 --> 00:09:36.840]   We've also got some questions coming in live on Twitter, and I'll only be able to answer about 20 of them.
[00:09:36.840 --> 00:09:39.840]   But I will answer, for your benefit, about 20 of the most important questions that I've received
[00:09:39.840 --> 00:09:41.840]   or that many of you may be wondering about this book.
[00:09:41.840 --> 00:09:46.840]   Question number one that I've often asked, my motivation. Why did you write this book?
[00:09:46.840 --> 00:09:50.840]   Was it for the money? Is that why you're in it? Absolutely and emphatically not.
[00:09:50.840 --> 00:09:52.840]   In fact, shame on you for even supposing such a thing.
[00:09:52.840 --> 00:09:56.840]   Anybody who knows the truth of the matter, you'll be embarrassed when you find out the truth.
[00:09:56.840 --> 00:09:59.840]   Under the terms of my royalty arrangement with Amazon Publishing,
[00:09:59.840 --> 00:10:05.840]   which I actually have no obligation to make public, but under the terms of my unusual royalty arrangement
[00:10:05.840 --> 00:10:12.840]   with Amazon Publishing, I will not receive one dime in revenue or income or money of any kind
[00:10:12.840 --> 00:10:14.840]   after we have sold the first 500 million copies.
[00:10:14.840 --> 00:10:16.840]   [laughter]
[00:10:16.840 --> 00:10:20.840]   After that point in time, every dime that would have gone to me instead will be shunted directly
[00:10:20.840 --> 00:10:25.840]   into a charitable, not-for-profit personal foundation called the Duane Family Foundation.
[00:10:25.840 --> 00:10:29.840]   It was set up for my benefit by the same attorneys and accountants who are working for the Clinton Foundation,
[00:10:29.840 --> 00:10:32.840]   and every bit of that money will be ostensibly earmarked for the public benefit
[00:10:32.840 --> 00:10:36.840]   after the first 90% is spent on opulent travel and trips for me and my family around the world.
[00:10:36.840 --> 00:10:39.840]   [laughter]
[00:10:39.840 --> 00:10:43.840]   And let me also underscore on a more serious note, I did not write this book,
[00:10:43.840 --> 00:10:46.840]   and I have not made this cause my apparent life's project for the benefit of making money
[00:10:46.840 --> 00:10:48.840]   for criminal defense attorneys.
[00:10:48.840 --> 00:10:51.840]   On YouTube, there have been thousands of things written about me, various comments.
[00:10:51.840 --> 00:10:53.840]   I don't have time to read them all, I'm happy to say.
[00:10:53.840 --> 00:10:55.840]   Probably good for my benefit that I don't.
[00:10:55.840 --> 00:10:56.840]   Most of them are very much in agreement.
[00:10:56.840 --> 00:10:59.840]   Very few of them are actually critical or express any kind of disagreement.
[00:10:59.840 --> 00:11:04.840]   But far and away, the number one most common criticism that I do get when I do get blowback
[00:11:04.840 --> 00:11:08.840]   is from people who say dismissively, "Well, of course, he'll say you need to ask for a lawyer.
[00:11:08.840 --> 00:11:09.840]   He's a lawyer himself."
[00:11:09.840 --> 00:11:13.840]   Well, in all seriousness, these people have no idea how far they are from the mark
[00:11:13.840 --> 00:11:16.840]   because this book and the promotion of the theme behind this book
[00:11:16.840 --> 00:11:18.840]   is by no means to make more money for criminal defense attorneys.
[00:11:18.840 --> 00:11:19.840]   Quite the opposite.
[00:11:19.840 --> 00:11:23.840]   If this book can somehow be placed in the hands of every young person in America,
[00:11:23.840 --> 00:11:27.840]   I can absolutely and unconditionally guarantee you that the number of criminal defense attorneys
[00:11:27.840 --> 00:11:31.840]   who will have too many cases to handle will suddenly and dramatically decline.
[00:11:31.840 --> 00:11:34.840]   There will be much less work for criminal defense attorneys, including myself,
[00:11:34.840 --> 00:11:38.840]   to handle if we can get people at the front end to wise up and to smarten up and to keep their mouth shut.
[00:11:38.840 --> 00:11:39.840]   So why did I write the book?
[00:11:39.840 --> 00:11:41.840]   In all seriousness, I'll tell you why.
[00:11:41.840 --> 00:11:42.840]   My motivation is twofold.
[00:11:42.840 --> 00:11:47.840]   Number one, because this country is convicting far too many innocent people for crimes that they did not commit.
[00:11:47.840 --> 00:11:48.840]   It ought to be a national scandal.
[00:11:48.840 --> 00:11:50.840]   It ought to be a national disgrace.
[00:11:50.840 --> 00:11:53.840]   It seems almost once a week you pick up the paper and you read about some poor schlep,
[00:11:53.840 --> 00:11:56.840]   more often than not, a member of a racial minority who's let out of prison
[00:11:56.840 --> 00:11:59.840]   because 20 years after he was sentenced to a life term,
[00:11:59.840 --> 00:12:03.840]   we find DNA evidence that now where the belatedly confirms apparently, whoops, we got the wrong guy.
[00:12:03.840 --> 00:12:04.840]   We give this guy our apologies.
[00:12:04.840 --> 00:12:05.840]   We pat him on the back.
[00:12:05.840 --> 00:12:08.840]   We give him a small check, and then we forget all about him.
[00:12:08.840 --> 00:12:11.840]   And then we turn our attention back to Brangelina or some other exciting thing in the news.
[00:12:11.840 --> 00:12:14.840]   No, we ought to call a national timeout, and we ought to ask what in the world,
[00:12:14.840 --> 00:12:15.840]   what in God's name are we doing?
[00:12:15.840 --> 00:12:18.840]   How is it that on our watch so many innocent people are being convicted?
[00:12:18.840 --> 00:12:19.840]   How many?
[00:12:19.840 --> 00:12:20.840]   We don't even know for sure.
[00:12:20.840 --> 00:12:23.840]   We all know about the extraordinary work being done by the Innocence Project,
[00:12:23.840 --> 00:12:29.840]   which has already worked laboriously to secure the release of over 340 innocent men and women
[00:12:29.840 --> 00:12:31.840]   convicted of horrible crimes, some of them a death row,
[00:12:31.840 --> 00:12:34.840]   before they were ultimately released and proved to be innocent.
[00:12:34.840 --> 00:12:38.840]   That program is also, by the way, run by a former classmate of mine, Mattie DeLong.
[00:12:38.840 --> 00:12:40.840]   Hi, Mattie.
[00:12:40.840 --> 00:12:43.840]   I admire greatly the work that they're doing at the Innocence Project.
[00:12:43.840 --> 00:12:45.840]   I yield to nobody in my admiration for the work they do,
[00:12:45.840 --> 00:12:48.840]   but it is a national scandal that they should be doing this work at all.
[00:12:48.840 --> 00:12:50.840]   I'm trying to do my part to supplement her efforts at the front end
[00:12:50.840 --> 00:12:54.840]   by trying to see to it that fewer people get convicted for crimes that they did not commit.
[00:12:54.840 --> 00:12:56.840]   And I guarantee you that if enough young people read this book,
[00:12:56.840 --> 00:13:00.840]   there is no question that we will start convicting immediately fewer innocent people.
[00:13:00.840 --> 00:13:02.840]   We will have fewer false convictions.
[00:13:02.840 --> 00:13:03.840]   How many?
[00:13:03.840 --> 00:13:04.840]   Nobody can say for sure.
[00:13:04.840 --> 00:13:07.840]   But even if there's only a few, then all the work that I did on this book
[00:13:07.840 --> 00:13:09.840]   will have been time well spent.
[00:13:09.840 --> 00:13:11.840]   And the other thing, my other related motivation,
[00:13:11.840 --> 00:13:16.840]   is to bring to an end once and for all the absolutely obscene and hypocritical double standard,
[00:13:16.840 --> 00:13:20.840]   the discrepancy, the grotesque discrepancy, between what police officers tell your children
[00:13:20.840 --> 00:13:24.840]   and tell you every day, all night, all over the country,
[00:13:24.840 --> 00:13:27.840]   and what they go home and privately tell their own children.
[00:13:27.840 --> 00:13:30.840]   I'm not trying to impugn their honesty or their integrity as a general matter,
[00:13:30.840 --> 00:13:32.840]   as I emphatically emphasize in the book.
[00:13:32.840 --> 00:13:33.840]   It's nothing personal.
[00:13:33.840 --> 00:13:37.840]   I'm not trying to suggest that police officers by and large are less honorable or honest
[00:13:37.840 --> 00:13:39.840]   than your average individual on the street.
[00:13:39.840 --> 00:13:42.840]   They're just doing what they've been trained to do ever since they started on the job.
[00:13:42.840 --> 00:13:45.840]   At the police academy from day one, they're given sophisticated training
[00:13:45.840 --> 00:13:48.840]   on elaborate methods of deception and trickery and dishonesty
[00:13:48.840 --> 00:13:52.840]   in ways that are designed to get guilty and innocent people both to talk and to make admissions,
[00:13:52.840 --> 00:13:54.840]   damaging admissions that can be used to help convict them,
[00:13:54.840 --> 00:13:56.840]   in some cases of crimes that they didn't even commit.
[00:13:56.840 --> 00:13:59.840]   And then when they get on the job and they start using these tactics,
[00:13:59.840 --> 00:14:03.840]   they get nothing but ratification, support, confirmation, and corroboration from the courts
[00:14:03.840 --> 00:14:06.840]   that are routinely giving them a nice, "Well done, attaboy, good job, you did it again.
[00:14:06.840 --> 00:14:10.840]   We'll allow this confession to be used even though you told this guy the most unspeakable lies.
[00:14:10.840 --> 00:14:12.840]   Well done, officer. Now you get back to work and keep on doing it."
[00:14:12.840 --> 00:14:16.840]   And yet when these same officers go at home at night, how do they sleep on themselves?
[00:14:16.840 --> 00:14:20.840]   I'll tell you how they sleep. They go at home, they get home, and they open the door
[00:14:20.840 --> 00:14:23.840]   and they say to the wife, "Hey, hey, where are the kids? Where are the twins?"
[00:14:23.840 --> 00:14:26.840]   And the kids come running into the room and they grab the kids in the room
[00:14:26.840 --> 00:14:28.840]   and they say, "Come here, come here, Jennifer, Joel."
[00:14:28.840 --> 00:14:30.840]   And with tears running down their face, the police officers say to the kids,
[00:14:30.840 --> 00:14:32.840]   "Promise me for the love of God that as long as you live,
[00:14:32.840 --> 00:14:36.840]   you will never let any police officer do to you what I do to other people's kids all day long."
[00:14:36.840 --> 00:14:39.840]   And it sounds like a joke, but it really is an accurate paraphrase of the reality.
[00:14:39.840 --> 00:14:42.840]   I've been all over the country talking to thousands of young people in the past five years
[00:14:42.840 --> 00:14:46.840]   about this subject everywhere I go without exception.
[00:14:46.840 --> 00:14:50.840]   I ask every audience, anybody here have a mom or a dad who's a police officer or a prosecutor?
[00:14:50.840 --> 00:14:52.840]   There's always one or two. I ask them every time,
[00:14:52.840 --> 00:14:54.840]   "What do your parents tell you about the Fifth Amendment?"
[00:14:54.840 --> 00:14:58.840]   Every time, no exception, 100% of them say they said the same thing.
[00:14:58.840 --> 00:15:01.840]   They told me when I was a young kid, very young, don't ever talk to the police.
[00:15:01.840 --> 00:15:04.840]   Don't ever agree to talk to them. If the police say, "Can I ask you a couple of questions?"
[00:15:04.840 --> 00:15:07.840]   You say no. That's why the subtitle of this book is,
[00:15:07.840 --> 00:15:10.840]   "Will Police Officers Tell Their Own Children About the Fifth Amendment?"
[00:15:10.840 --> 00:15:14.840]   Next question. The most common question I get in email, I get this one all the time,
[00:15:14.840 --> 00:15:18.840]   "What about traffic stops? Is it okay if I talk to a police officer during the course of a routine traffic stop?"
[00:15:18.840 --> 00:15:22.840]   Yes. All right, let's just get that out of the way quickly.
[00:15:22.840 --> 00:15:26.840]   At the risk of stating what ought to be obvious, that is completely different in 100 obvious ways,
[00:15:26.840 --> 00:15:30.840]   not the least of which is the fact that the police officers have virtually unbridled discretion
[00:15:30.840 --> 00:15:33.840]   to let you off with a warning this time and let you go without giving you a ticket
[00:15:33.840 --> 00:15:37.840]   if it seems to them that you're not a public menace, that you aren't drunk,
[00:15:37.840 --> 00:15:40.840]   that you are suitably respectful and courteous.
[00:15:40.840 --> 00:15:42.840]   That's not going to happen with a murder investigation.
[00:15:42.840 --> 00:15:46.840]   They're not going to let you off because you seem to be really sorry for what you have done.
[00:15:46.840 --> 00:15:51.840]   But I will give you this one little bit of free legal advice.
[00:15:51.840 --> 00:15:55.840]   When you do get stopped and pulled over by the police, you shouldn't talk any more than necessary.
[00:15:55.840 --> 00:15:58.840]   Don't allow them to get you in a conversation about what you did wrong
[00:15:58.840 --> 00:16:01.840]   or whether you know what you did wrong. Just tell them, "I'm sorry. I didn't mean to do anything wrong.
[00:16:01.840 --> 00:16:04.840]   I didn't mean to violate the law, and if I did, I appreciate you bringing it to my attention, officer."
[00:16:04.840 --> 00:16:10.840]   If they suspect that you have been driving while intoxicated and they ask you
[00:16:10.840 --> 00:16:14.840]   if you could recite the alphabet backwards, you don't get into a long conversation or an argument of any sort,
[00:16:14.840 --> 00:16:22.840]   just say this, just say, "ZYXWVUTSRQPO NMLKGISGFEDCBA."
[00:16:22.840 --> 00:16:26.840]   And then you say, "No, officer. I need to ask you if you can do that in two seconds
[00:16:26.840 --> 00:16:29.840]   because I need to warn you if you can. I'm putting you under a sentence arrest,
[00:16:29.840 --> 00:16:32.840]   and I'll need to ask you to keep your hands where I can see them at all times."
[00:16:32.840 --> 00:16:35.840]   Now, let me quickly summarize for you the main points that you'll be able to get out of this book
[00:16:35.840 --> 00:16:38.840]   if you buy the book and if you read it. I don't have time, I'm sorry to say,
[00:16:38.840 --> 00:16:41.840]   to give you all the details and everything that's in the book, but maybe that's good
[00:16:41.840 --> 00:16:44.840]   because then you wouldn't buy it. But here are the most important points behind the book.
[00:16:44.840 --> 00:16:48.840]   There are three. Number one, the reason I'm writing this book is to make sure that everybody who reads the book
[00:16:48.840 --> 00:16:52.840]   will come to understand that the Fifth Amendment is just as precious, just as valuable for innocent people
[00:16:52.840 --> 00:16:57.840]   as it is for the guilty. And once upon a time, this was well known, once upon a time at least,
[00:16:57.840 --> 00:17:03.840]   among the educated, 50 years ago, the US Supreme Court handed down about a dozen different opinions
[00:17:03.840 --> 00:17:08.840]   in which they reaffirmed again and again and again that there's nothing terribly incriminating
[00:17:08.840 --> 00:17:13.840]   about the fact that someone chooses to exercise the Fifth, that innocent people, perhaps even more than the guilty,
[00:17:13.840 --> 00:17:17.840]   have ample reason, numerous reasons, to observe the Fifth Amendment, and therefore no particularly
[00:17:17.840 --> 00:17:21.840]   probative inferences either way can be drawn from the fact that somebody chose to remain silent.
[00:17:21.840 --> 00:17:25.840]   To those who understand how the system really works, the fact that somebody chose not to talk to the police
[00:17:25.840 --> 00:17:29.840]   is no more reliable evidence of guilt than the fact that he also asked for breakfast every morning
[00:17:29.840 --> 00:17:34.840]   while he was in custody, just like all the guilty people do. Yeah, sure they do, but so do the innocent.
[00:17:34.840 --> 00:17:40.840]   Number two, you have no idea, unless you've got at least 20 years of experience in the criminal justice system
[00:17:40.840 --> 00:17:44.840]   in America today, you have no idea how many different ways there are in which you can get yourself convicted
[00:17:44.840 --> 00:17:48.840]   of some crime that you did not commit. Or worse yet, perhaps, some crime you never even heard of
[00:17:48.840 --> 00:17:53.840]   or ever in your wildest dream would ever imagine could be a crime, just by talking to the police.
[00:17:53.840 --> 00:17:58.840]   And number three, you will not believe, and I dare say most readers of the book will be literally astounded
[00:17:58.840 --> 00:18:03.840]   at how complicated and how hazardous it has become now in recent years, in just the last three years,
[00:18:03.840 --> 00:18:08.840]   for you to exercise the Fifth Amendment. Let me give you a little bit of additional detail about all of those points.
[00:18:08.840 --> 00:18:12.840]   Next question, who needs to read this book? Well, there are two groups of individuals.
[00:18:12.840 --> 00:18:16.840]   You're wondering, am I the guy who needs to read this book? Well, yes, you are, absolutely, without a doubt.
[00:18:16.840 --> 00:18:21.840]   There are two groups of individuals who absolutely need to read this book, and they need to read it before it's too late.
[00:18:21.840 --> 00:18:26.840]   The first group is potential criminal suspects, not necessarily guilty, guilty or innocent.
[00:18:26.840 --> 00:18:31.840]   If there's any possibility that someday, perhaps soon, perhaps in the distant future, perhaps when you least expect it,
[00:18:31.840 --> 00:18:35.840]   the police may find themselves in possession of evidence that persuades them maybe you were involved in
[00:18:35.840 --> 00:18:40.840]   or know something about a crime, maybe it was a crime you never heard of, which is not unlikely, which is not unusual.
[00:18:40.840 --> 00:18:45.840]   The federal government today has over 10,000 criminal statutes on the books, when you count all the tens of thousands
[00:18:45.840 --> 00:18:51.840]   of criminal federal regulations that are incorporated by reference into the terms of the U.S. Penal Code.
[00:18:51.840 --> 00:18:56.840]   And who is that, by the way? Who in this room is somebody who might someday be a potential criminal suspect?
[00:18:56.840 --> 00:19:00.840]   Of course, the answer is everybody. You can't comfort yourself with the assurance that, well, I know in my heart
[00:19:00.840 --> 00:19:05.840]   I'll never do anything wrong. That doesn't matter. Maybe some mistaken or confused but sincere and credible-sounding eyewitness
[00:19:05.840 --> 00:19:09.840]   might mistakenly identify you as somebody who was there. Maybe you were there at the scene.
[00:19:09.840 --> 00:19:13.840]   Doesn't mean you were involved, but you're one of the leads. You may be the only lead that they've got.
[00:19:13.840 --> 00:19:18.840]   If you are a potential criminal suspect, you need to read this book. Or if any of your children might someday become
[00:19:18.840 --> 00:19:23.840]   a criminal suspect, they need to read this book before they are taken into custody. Or before, more likely,
[00:19:23.840 --> 00:19:27.840]   the police don't take them into custody, but simply say, you might come down to the office on a voluntary basis,
[00:19:27.840 --> 00:19:31.840]   down to the station. You're not under arrest. It's strictly voluntary. You can leave at any time.
[00:19:31.840 --> 00:19:35.840]   They like to say this to your kids, to deceive them, to get the kid's guard down. Sometimes it's grotesquely deceptive
[00:19:35.840 --> 00:19:40.840]   because sometimes they won't tell the kid that the truth is we've already got a pretty solid identification of you
[00:19:40.840 --> 00:19:45.840]   as the suspect from a witness who may be mistaken, but the police don't know that. And they already know that no matter
[00:19:45.840 --> 00:19:49.840]   how this interview ends, your kid will be put in handcuffs and he will be taken away and put in jail, but they don't
[00:19:49.840 --> 00:19:53.840]   tell the kid that because they're hoping first we can get him to voluntarily cooperate, waive his rights and talk to us,
[00:19:53.840 --> 00:19:58.840]   and we don't have to give him the Miranda warnings if he's not technically in custody. At that point, your kid won't know anything
[00:19:58.840 --> 00:20:02.840]   about what's going down because you won't have time to get a hold of him and you won't have time to put this book in his hands.
[00:20:02.840 --> 00:20:06.840]   And if you call the police office and say, you mind if I talk to the kid, they'll lie to you and they'll say, no, we can't arrange that,
[00:20:06.840 --> 00:20:13.840]   it's a lie, because they could if they wanted, they just won't. And if the kid says, is it okay if I get a lawyer, can I maybe get a lawyer,
