
[00:00:00.000 --> 00:00:04.000]   Welcome to the Latent Space Podcast, another super special edition.
[00:02:05.000 --> 00:02:12.000]   But I'm still really excited that there's now a model that is trained on a data set where the provenance of every single image is known.
[00:02:12.000 --> 00:02:16.000]   And it's a damn good model, so I'm really proud of the team on that.
[00:02:16.000 --> 00:02:17.000]   Yeah, amazing.
[00:02:17.000 --> 00:02:21.000]   Josh, do you have any thoughts on image model questions?
[00:02:21.000 --> 00:02:26.000]   That is not my area of expertise, but I was excited to see the release of it last week as well
[00:02:26.000 --> 00:02:30.000]   and very happy that you guys did a nice job on the data side of everything there.
[00:02:30.000 --> 00:02:32.000]   So that was cool to see.
[00:02:32.000 --> 00:02:37.000]   I think what's unusual is, I think Shutterstock's doing multiple deals in multiple labs.
[00:02:37.000 --> 00:02:39.000]   So what is the Shutterstock model?
[00:02:39.000 --> 00:02:41.000]   I guess, is this the house model for Shutterstock?
[00:02:41.000 --> 00:02:44.000]   Is this Databricks' version of the Shutterstock model?
[00:02:44.000 --> 00:02:46.000]   What is this?
[00:02:46.000 --> 00:02:52.000]   The way that I would think about it is that Shutterstock is doing an amazing business in AI across the board.
[00:02:52.000 --> 00:02:58.000]   Their data set is widely known to be the best stock photos data set in the world, the most comprehensive, the biggest.
[00:02:58.000 --> 00:03:05.000]   When you think about what data set am I going to train a multimodal model on, you call Shutterstock.
[00:03:05.000 --> 00:03:13.000]   And at least I've heard in the news, like OpenAI, Google, Meta, Apple have all called Shutterstock and made those deals.
[00:03:13.000 --> 00:03:17.000]   So a lot of models have had Shutterstock data incorporated into them.
[00:03:17.000 --> 00:03:26.000]   But this is the only model I know of so far where it was exclusively and specifically trained just on the vanilla Shutterstock data.
[00:03:26.000 --> 00:03:28.000]   There was nothing else mixed in.
[00:03:28.000 --> 00:03:33.000]   We didn't go and scrape the web and find other data or combined data sets or anything like that.
[00:03:33.000 --> 00:03:36.000]   And so this is, in some sense, the house blend.
[00:03:36.000 --> 00:03:41.000]   But the other piece is that it's just a data set where the provenance of every image is known in public.
[00:03:41.000 --> 00:03:42.000]   Where did the data come from?
[00:03:42.000 --> 00:03:43.000]   It is the Shutterstock collection.
[00:03:43.000 --> 00:03:45.000]   That's it.
[00:03:45.000 --> 00:03:47.000]   Nothing less, nothing more.
[00:03:47.000 --> 00:03:53.000]   And certainly being at Databricks, if I've learned one thing, it's I've learned about enterprise customers and what they want out of AI.
[00:03:53.000 --> 00:03:58.000]   And one of the things they ask for most is just what can you tell me about the data the model was trained on?
[00:03:58.000 --> 00:04:08.000]   And here, especially for text to image models where images are just tricky subject matter, there's been a lot of kind of legal conversation about images, especially.
[00:04:08.000 --> 00:04:13.000]   It's nice to just have something where I can point to it and say, you know, you want to know where the images came from?
[00:04:13.000 --> 00:04:15.000]   These are what they are and this is how they got there.
[00:04:15.000 --> 00:04:20.000]   I will talk a little bit about Databricks because it's relevant to the rest of today's episode.
[00:04:20.000 --> 00:04:25.000]   So Databricks, sorry, I keep misspeaking.
[00:04:25.000 --> 00:04:26.000]   It's DBRX.
[00:04:26.000 --> 00:04:30.000]   DBRX, actually, there's been a pronunciation update.
[00:04:30.000 --> 00:04:32.000]   It is now DBRX.
[00:04:32.000 --> 00:04:39.000]   So we have decided to add a dinosaur mascot because what model doesn't like a mascot?
[00:04:39.000 --> 00:04:41.000]   So literally, I wish I could pull it up.
[00:04:41.000 --> 00:04:44.000]   There is a little plush dinosaur that we had made.
[00:04:44.000 --> 00:04:48.000]   It's like the world's cutest dinosaur, but it is the official mascot of DBRX.
[00:04:48.000 --> 00:04:59.000]   And there's a little dinosaur logo that, you know, you'll probably see around a little bit more because, I mean, DBRX is a mouthful, but DBRX, like, you know, it's just kind of.
[00:04:59.000 --> 00:05:01.000]   Rolls off the tongue.
[00:05:01.000 --> 00:05:02.000]   I love mascots.
[00:05:02.000 --> 00:05:04.000]   I think every company should have a mascot.
[00:05:04.000 --> 00:05:05.000]   And I think Hugging Face got it right.
[00:05:05.000 --> 00:05:09.000]   You need an emoji mascot because that's the minimal viable image.
[00:05:09.000 --> 00:05:15.000]   I probably shouldn't talk at all about, you know, Velociraptor, but, you know, maybe that's something we can talk about later in the summer.
[00:05:15.000 --> 00:05:17.000]   I'll just leave it at that.
[00:05:17.000 --> 00:05:19.000]   Okay, that's a hint to names.
[00:05:19.000 --> 00:05:22.000]   I feel like your names leak a lot of alpha.
[00:05:22.000 --> 00:05:26.000]   So just to quickly cover the headline details.
[00:05:26.000 --> 00:05:31.000]   DBRX is a Make Sure Experts model that's fairly big.
[00:05:31.000 --> 00:05:35.000]   132 billion total parameters, so 36 billion active on any input.
[00:05:35.000 --> 00:05:38.000]   Pre-trained on 12 trillion tokens of text and code.
[00:05:38.000 --> 00:05:43.000]   And did really well on evals to the point where you had to dye your hair blue.
[00:05:43.000 --> 00:05:47.000]   That's my high level conclusion.
[00:05:47.000 --> 00:05:50.000]   Never make a bet with your team two weeks out from model launch.
[00:05:50.000 --> 00:05:54.000]   Even when, you know, human eval is looking quite bad.
[00:05:54.000 --> 00:06:00.000]   Because if you set some bar, even if it's arbitrary and you think there's no way in hell they're going to hit it.
[00:06:00.000 --> 00:06:03.000]   Apparently money doesn't motivate people anymore.
[00:06:03.000 --> 00:06:05.000]   Humiliating their boss motivates people.
[00:06:05.000 --> 00:06:08.000]   So Josh, you should really take a hint from this.
[00:06:08.000 --> 00:06:12.000]   You know, you cannot pay someone enough money to make up for you dying your hair blue.
[00:06:12.000 --> 00:06:14.000]   Keep that in mind for our next model.
[00:06:14.000 --> 00:06:16.000]   It works.
[00:06:16.000 --> 00:06:19.000]   So speaking of Imbue's next model.
[00:06:19.000 --> 00:06:25.000]   Perhaps Josh, you want to actually just say hi to the general sort of Latentspace audience.
[00:06:25.000 --> 00:06:27.000]   And talk about what we're releasing today.
[00:06:27.000 --> 00:06:28.000]   Yeah.
[00:06:28.000 --> 00:06:30.000]   I'm Josh, CTO of Imbue.
[00:06:30.000 --> 00:06:32.000]   And we're not releasing the model.
[00:06:32.000 --> 00:06:33.000]   We're not releasing the weights.
[00:06:33.000 --> 00:06:38.000]   But we are releasing a bunch of different things that should make it easier for other people to make their own models.
[00:06:38.000 --> 00:06:46.000]   So I think right now training foundation models from scratch is like a very difficult, time-consuming, expensive, kind of risky endeavor.
[00:06:46.000 --> 00:06:48.000]   Especially for smaller companies.
[00:06:48.000 --> 00:06:51.000]   And the things that we're releasing hopefully make that at least a little bit easier.
[00:06:51.000 --> 00:06:55.000]   So the things that we're releasing fall into kind of three different buckets.
[00:06:55.000 --> 00:07:04.000]   One is infrastructure and scripts for dealing with the kind of hardware and hardware failures.
[00:07:04.000 --> 00:07:09.000]   And understanding how well is the actually lowest level of things actually working.
[00:07:09.000 --> 00:07:13.000]   So you can actually do your training at all and at a reasonable speed without having to constantly restart, etc.
[00:07:13.000 --> 00:07:15.000]   So infrastructure and training scripts.
[00:07:15.000 --> 00:07:19.000]   A second set of things is around the evaluation.
[00:07:19.000 --> 00:07:22.000]   So after you've trained it, how well is this actually working?
[00:07:22.000 --> 00:07:23.000]   And how do you know how well it's working?
[00:07:23.000 --> 00:07:26.000]   We're releasing a whole bunch of different data there.
[00:07:26.000 --> 00:07:29.000]   A new benchmark about code, reasoning, understanding.
[00:07:29.000 --> 00:07:36.000]   As well as our own private versions of 11 different open source benchmarks.
[00:07:36.000 --> 00:07:38.000]   So things like poolq or ANLI.
[00:07:38.000 --> 00:07:41.000]   Where we've gone through and kind of cleaned up the data as much as possible.
[00:07:41.000 --> 00:07:45.000]   By looking at all the ones that models get wrong or that are flagged for ambiguity.
[00:07:45.000 --> 00:07:49.000]   And also our own kind of private reproductions of those.
[00:07:49.000 --> 00:07:51.000]   Where we've done like a kind of clean room black box.
[00:07:51.000 --> 00:07:53.000]   Like, okay, this is what the data set is supposed to be.
[00:07:53.000 --> 00:07:54.000]   Here are some examples.
[00:07:54.000 --> 00:07:58.000]   Let's make our own version of this to make sure that there is no data contamination, etc.
[00:07:58.000 --> 00:08:02.000]   To make sure that we're actually, you know, not testing on train.
[00:08:02.000 --> 00:08:09.000]   And then I think a final thing that we're releasing there is around 450,000 human judgments about ambiguity and question quality.
[00:08:09.000 --> 00:08:13.000]   Which we used in the process of cleaning these evaluations.
[00:08:13.000 --> 00:08:16.000]   And we also hope will be helpful for other people training kind of similar models.
[00:08:16.000 --> 00:08:23.000]   And then the third thing is CARBS, our hyperparameter, our cost-aware hyperparameter optimizer.
[00:08:23.000 --> 00:08:28.000]   Which was especially helpful for being able to experiment at much smaller scales.
[00:08:28.000 --> 00:08:31.000]   And then scale those experiments up to the much larger scale.
[00:08:31.000 --> 00:08:34.000]   Kind of on the first try without having to retry.
[00:08:34.000 --> 00:08:37.000]   You don't want to be training, you know, 10, 20 different 70B models.
[00:08:37.000 --> 00:08:40.000]   You really want to get these larger models right on the first try.
[00:08:40.000 --> 00:08:51.000]   So the ability to kind of tune things very precisely and learn scaling laws not just for, you know, the like data and flops.
[00:08:51.000 --> 00:08:53.000]   But also for learning rate and all the other hyperparameters.
[00:08:53.000 --> 00:08:59.000]   And see like how should you scale these things up was extremely valuable to us as we were training the larger models.
[00:08:59.000 --> 00:09:00.000]   Yeah, that's a lot of stuff.
[00:09:00.000 --> 00:09:01.000]   Yeah, exactly.
[00:09:01.000 --> 00:09:04.000]   So there's a bunch of stuff we'll have to go through all of it.
[00:09:04.000 --> 00:09:07.000]   Yeah, I just want to throw in how excited I am about this.
[00:09:07.000 --> 00:09:13.000]   This is the stuff that nobody ever talks about that is the difference between success and failure in this stuff.
[00:09:13.000 --> 00:09:16.000]   Like, can you get your cluster to run?
[00:09:16.000 --> 00:09:18.000]   Can you get software on your cluster?
[00:09:18.000 --> 00:09:20.000]   Can you figure out what broke?
[00:09:20.000 --> 00:09:26.000]   Because fault tolerance is still not really built into any of the fundamental primitives of training models.
[00:09:26.000 --> 00:09:29.000]   And so if something breaks, you have to go figure out what broke.
[00:09:29.000 --> 00:09:31.000]   Your job stops, you have to restart your job.
[00:09:31.000 --> 00:09:35.000]   It is a nightmare just to get to the point where anything can train on the cluster.
[00:09:35.000 --> 00:09:47.000]   A basic MPI hello world that has the GPUs talk to each other is hard enough, let alone actually training a model, let alone getting good performance out of the GPUs, let alone actually getting a model that converges to anything interesting.
[00:09:47.000 --> 00:09:51.000]   Like, there's so many levels of things you have to accomplish.
[00:09:51.000 --> 00:09:55.000]   Like, this is the kind of stuff that matters.
[00:09:55.000 --> 00:10:02.000]   You know, I think to a point that Josh made earlier, you know, before we got on here, there are plenty of weights out there.
[00:10:02.000 --> 00:10:04.000]   Nobody's released this.
[00:10:04.000 --> 00:10:14.000]   Yeah, that was part of the motivation, actually, is that there are lots of other things that are complementary, but I have not seen nearly as much discussion about some of these other things that we think are pretty important.
[00:10:14.000 --> 00:10:23.000]   I mean, in some sense, I'm very excited to have Jonathan on because this is a little bit your bread and butter with Mosaic.
[00:10:23.000 --> 00:10:37.000]   You know, I think you've released some part of it with Composer, and I think it's just, you know, really, really interesting to see like a different take, like basically a full stack take that's kind of open source today.
[00:10:37.000 --> 00:10:44.000]   Yeah, it's really kind of, it's been an ordeal to figure this out.
[00:10:44.000 --> 00:10:53.000]   And every time something changes, whether it's a new GPU or even a new driver update, you get new creative errors and new things go wrong.
[00:10:53.000 --> 00:11:03.000]   And, you know, we've dealt with the weirdest things from, you know, our InfiniBand cables getting stolen from the data center twice, like in boxes before they arrived at the data center.
[00:11:03.000 --> 00:11:16.000]   Like, you know, Porch Pirate basically had stolen our InfiniBand cables back when those were hard to come by, to like, you know, weird recalls of switches, to like, the strangest stuff has happened.
[00:11:16.000 --> 00:11:26.000]   I have my favorite GPU failures I've seen, like ones where the GPU doesn't fail, it has a correctable memory issue, and the memory correction causes the GPU to become a straggler and hold up the whole job.
[00:11:26.000 --> 00:11:39.000]   Like weird stuff happens and figuring out how to not just identify all of that, but then eventually productize it is in some sense, the entire story of Mosaic and now Databricks in terms of our ML offering.
[00:11:39.000 --> 00:11:46.000]   Really, the thing, you know, the thing we offer is we have gone through this suffering and figured out how to even productize that.
[00:11:46.000 --> 00:11:48.000]   It has been a pain in the butt.
[00:11:48.000 --> 00:11:49.000]   Yeah, it's a lot of work.
[00:11:49.000 --> 00:11:54.000]   I think my favorite failure was a GPU is just giving wrong math.
[00:11:54.000 --> 00:12:00.000]   Like if they give errors, great, cause you can see the errors, but if they just give you the wrong math back, not so fun.
[00:12:00.000 --> 00:12:01.000]   When did they give you wrong math?
[00:12:01.000 --> 00:12:04.000]   Like literally you could just, you know, add two things.
[00:12:04.000 --> 00:12:06.000]   For example, the numbers come back.
[00:12:06.000 --> 00:12:10.000]   They're not the numbers that they're supposed to be.
[00:12:10.000 --> 00:12:17.000]   I think it's important to say at this stage, just cause like it, I think it goes without saying for Josh and I, but it's worth saying here.
[00:12:17.000 --> 00:12:20.000]   This isn't to say that like anything is wrong with us.
[00:12:20.000 --> 00:12:31.000]   It's not like NVIDIA did a bad job or, you know, Mellanox did a bad job or the, like the server builder, the data center operator, the cloud provider, like the million other parties that are involved in building this.
[00:12:31.000 --> 00:12:47.000]   We are running these insane chips that are huge and complicated and built on tiny transistors at insane frequencies with insane heat in data centers that for the most part were not built remotely for this kind of power or heat and have been retrofitted for this.
[00:12:47.000 --> 00:12:56.000]   Like failures happen on a good day with normal CPUs and this is not a good day and not a normal CPU for the most part.
[00:12:56.000 --> 00:12:59.000]   So it's, you know, it's fun to joke about all the weird things we see.
[00:12:59.000 --> 00:13:01.000]   This is not to say anybody's done anything wrong.
[00:13:01.000 --> 00:13:07.000]   This is just kind of part and parcel of working on a massive cluster running at multiple megawatts of power at a time.
[00:13:07.000 --> 00:13:08.000]   It's crazy.
[00:13:08.000 --> 00:13:09.000]   Yeah.
[00:13:09.000 --> 00:13:14.000]   So optical cables, like all sorts, like everything.
[00:13:14.000 --> 00:13:18.000]   I'll take the opportunity to start in going to the sort of infra piece.
[00:13:18.000 --> 00:13:24.000]   So there's, there's just like a distribution of the infra just to give people a sense of what we talk about when we talk about massive clusters.
[00:13:24.000 --> 00:13:26.000]   So I'm just going to read off the blog post here.
[00:13:26.000 --> 00:13:33.000]   This post is about one cluster that has 4,092 H100 GPUs spread across 511 computers.
[00:13:33.000 --> 00:13:40.000]   They use unified fabric manager nodes, which manage the infinite band network.
[00:13:40.000 --> 00:13:42.000]   And you talk a little bit about your networking.
[00:13:42.000 --> 00:13:45.000]   Is there anything unusual about this setup that you'll call out to people?
[00:13:45.000 --> 00:13:49.000]   Yeah, actually, this particular cluster is a little bit non-standard.
[00:13:49.000 --> 00:14:01.000]   The normal vanilla setup for these large clusters, as vanilla as it can be, is what's normally like a 127 node cluster.
[00:14:01.000 --> 00:14:05.000]   So closer to like 1024 GPUs instead of 4,000.
[00:14:05.000 --> 00:14:07.000]   Here we have a larger cluster.
[00:14:07.000 --> 00:14:10.000]   As you start to get into the larger clusters, the networking becomes a little bit more custom.
[00:14:10.000 --> 00:14:12.000]   It's a little bit more, it's a little bit trickier.
[00:14:12.000 --> 00:14:17.000]   It's a little bit more difficult to get these things to all be able to talk to each other at the same speed.
[00:14:17.000 --> 00:14:23.000]   And so this has, in this particular case, this is a three tier network architecture instead of two tiers, kind of the normal one.
[00:14:23.000 --> 00:14:25.000]   So most of the clusters are a little bit smaller.
[00:14:25.000 --> 00:14:30.000]   As you get to even larger scales, then it becomes, this becomes even much more complicated, much more expensive.
[00:14:30.000 --> 00:14:34.000]   So we chose this particular scale, kind of knowing our own workloads and kind of what we wanted to do.
[00:14:34.000 --> 00:14:36.000]   This was kind of the right size for us.
[00:14:36.000 --> 00:14:41.000]   But yeah, I think it's, it's, you know, it's not exactly vanilla already.
[00:14:41.000 --> 00:14:43.000]   It's already getting into kind of the custom territory.
[00:14:43.000 --> 00:14:54.000]   Yeah. Is this, is there any, so my understanding is that there, and for the, for what it's worth, I don't know if this is on the record or whatever, but you can just tell me to strike it.
[00:14:54.000 --> 00:14:59.000]   Is there any, is there any part of this that comes with the Voltage Park deal that you guys had?
[00:14:59.000 --> 00:15:04.000]   Is like, is that, is that part of the hardware that you got from the deal with them?
[00:15:04.000 --> 00:15:15.000]   Yeah, so we worked really closely with Voltage Park to set up their, all their clusters and infrastructure and everything and kind of decide even like what to order, how should like, how should the networking work?
[00:15:15.000 --> 00:15:18.000]   Like we were very involved in kind of the construction and bring up of this.
[00:15:18.000 --> 00:15:25.000]   And that's what this post is about, is about that process of like bringing up all these, there's like different clusters in different places of different scales.
[00:15:25.000 --> 00:15:32.000]   So in this particular post, we're talking about this one 4096 GPU, but there are other clusters that they have as well.
[00:15:32.000 --> 00:15:40.000]   And we were very closely involved with figuring out the exact architecture and kind of the trade-offs that go along with picking, you know, those exact components.
[00:15:40.000 --> 00:15:44.000]   You really don't want to like place the wrong order cause it takes months to get it and it's very expensive.
[00:15:44.000 --> 00:15:47.000]   So, yeah, we were happy to help out with that.
[00:15:47.000 --> 00:15:48.000]   And then your infinibit cables get stolen.
[00:15:48.000 --> 00:15:50.000]   Yeah, yeah, exactly.
[00:15:50.000 --> 00:15:57.000]   We wanted to make sure that we ended up with compute that would work for us and that would also work for their other customers.
[00:15:57.000 --> 00:16:00.000]   And so we kind of helped design something so that we would get exactly what we were looking for.
[00:16:00.000 --> 00:16:09.000]   We knew that these kinds of details would be super important and that getting down to the level of the hardware and like having these good scripts and everything was going to be a core part of like actually getting this to work.
[00:16:09.000 --> 00:16:11.000]   I'm very glad that we did that.
[00:16:11.000 --> 00:16:16.000]   I don't think that most companies kind of take that like, you know, full stack approach.
[00:16:16.000 --> 00:16:18.000]   But for us, it certainly paid off.
[00:16:18.000 --> 00:16:20.000]   Yeah, it's basically sort of built to spec.
[00:16:20.000 --> 00:16:32.000]   It's interesting that relationship because you usually, for the rest of us who don't operate at your scale, we take whatever we can get from cloud providers, but you are basically co-designing from a single machine up.
[00:16:32.000 --> 00:16:34.000]   And you described that a little bit.
[00:16:34.000 --> 00:16:37.000]   You want to take us through the process that you described here?
[00:16:37.000 --> 00:16:41.000]   Yeah, so for the actual, like the blog post and kind of bringing these machines online.
[00:16:41.000 --> 00:16:42.000]   Yeah.
[00:16:42.000 --> 00:16:43.000]   Yeah.
[00:16:43.000 --> 00:16:48.000]   So, yeah, I think the process as we have it broken down in the blog post, there's kind of a few different layers.
[00:16:48.000 --> 00:16:55.000]   First is like getting the individual machines to work at all and then getting the machines to actually be able to talk to each other.
[00:16:55.000 --> 00:17:04.000]   So getting the InfiniBand networking to work and then getting to a point where, you know, not just the machines are working and they can talk to each other, but everything is actually working correctly.
[00:17:04.000 --> 00:17:06.000]   There's a big gap between like it's working at all two.
[00:17:06.000 --> 00:17:08.000]   It's working perfectly correctly.
[00:17:08.000 --> 00:17:17.000]   And then after you have all this stuff working perfectly correctly, nice and healthy, then now you get into kind of the software data like training issues.
[00:17:17.000 --> 00:17:19.000]   And then after that, you're still not done.
[00:17:19.000 --> 00:17:22.000]   Like now, even once you're training at full speed, things are going to fail over time.
[00:17:22.000 --> 00:17:23.000]   Things are going to change.
[00:17:23.000 --> 00:17:25.000]   There's going to be new firmware updates.
[00:17:25.000 --> 00:17:34.000]   Like how do you kind of deal with this change and flux over time without going crazy and pulling your hair out, trying to like reproduce things or understand why there were regressions.
[00:17:34.000 --> 00:17:39.000]   And so there's a lot of work to kind of automate the infrastructure tooling as well.
[00:17:39.000 --> 00:17:46.000]   And kind of the first step, like bringing these things online in the first place, you know, you have hundreds of machines at this point.
[00:17:46.000 --> 00:17:55.000]   So you don't necessarily want to be like walking around with like a CD-ROM or a USB drive, like plugging it in with your keyboard, like hitting next, next, next on the OS install.
[00:17:55.000 --> 00:17:57.000]   That's not how this works.
[00:17:57.000 --> 00:18:04.000]   You do that for one machine and then you use, we use this thing called Metal as a Service to bring up all the other machines.
[00:18:04.000 --> 00:18:09.000]   So it's a kind of server that can kind of install the operating system on these other machines.
[00:18:09.000 --> 00:18:16.000]   So most like when you're talking about these machines, like each machine is, you know, on the order of hundreds of thousands of dollars.
[00:18:16.000 --> 00:18:21.000]   So they usually come with a kind of out of band management interface as well.
[00:18:21.000 --> 00:18:29.000]   So they don't, they have their InfiniBand networking, they have their normal 100 gigabit per second, Ethernet networking is like dual redundant, et cetera.
[00:18:29.000 --> 00:18:32.000]   And then you also have this extra out of band management network.
[00:18:32.000 --> 00:18:36.000]   So you can log in and you can see like the boot screen or you can see the blue screen of death.
[00:18:36.000 --> 00:18:39.000]   You can like get in there and actually see what was wrong, which is pretty fun.
[00:18:39.000 --> 00:18:42.000]   And it makes it like possible to automate a lot of this work.
[00:18:42.000 --> 00:18:50.000]   So the beginning of that and the blog post goes into much more detail about like exactly how we set these up and kind of the other areas that we ran into.
[00:18:50.000 --> 00:18:54.000]   When you're bringing these online, you'll definitely have failures.
[00:18:54.000 --> 00:18:59.000]   Even if they all worked in the factory, they get shipped, some parts come loose, something fails, something goes wrong.
[00:18:59.000 --> 00:19:03.000]   So when you're bringing them online, there'll be some that don't quite work for all sorts of reasons.
[00:19:03.000 --> 00:19:10.000]   As you start to be working with machines at this scale, like, you know, if something happens one in a thousand times, you're like pretty likely to see it.
[00:19:10.000 --> 00:19:19.000]   And so you can get pretty rare, weird things, especially since we had fairly early builds and fairly early versions of this hardware.
[00:19:19.000 --> 00:19:23.000]   Like these are some of the like first machines that were ever produced, some of the first GPUs.
[00:19:23.000 --> 00:19:25.000]   So you've got some extra special things there.
[00:19:25.000 --> 00:19:31.000]   We definitely worked with Dell, for example, on making fixes in the firmware level to be like, okay, like this thing is wrong.
[00:19:31.000 --> 00:19:35.000]   Like we need to update this at the firmware to like actually fix this particular thing.
[00:19:35.000 --> 00:19:38.000]   So we worked pretty closely with Dell and Nvidia.
[00:19:38.000 --> 00:19:40.000]   Yeah, that's what I'm saying.
[00:19:40.000 --> 00:19:41.000]   Like this stuff gets complicated.
[00:19:41.000 --> 00:19:47.000]   And the thing is like, you know, taking a step back, the whole reason we're doing this, right, is that we knew that this was going to be complicated.
[00:19:47.000 --> 00:19:49.000]   There would be these kinds of failures.
[00:19:49.000 --> 00:19:54.000]   And if we're just using, you know, AWS or some other cloud provider, these errors are still going to be there.
[00:19:54.000 --> 00:19:58.000]   And you're going to have no way to know and no way to debug this and no way to diagnose what's going wrong.
[00:19:58.000 --> 00:20:02.000]   And so we would much rather be able to like call up Dell and say, hey, this isn't working.
[00:20:02.000 --> 00:20:05.000]   And they're like, yep, okay, cool. See if I get together. Oh, I see.
[00:20:05.000 --> 00:20:08.000]   Yeah, cool. We'll ship a firmware update and actually fix this for you.
[00:20:08.000 --> 00:20:11.000]   That was a much better experience than like, great, just magically fails.
[00:20:11.000 --> 00:20:13.000]   I guess we restart and hope that that machine goes away.
[00:20:13.000 --> 00:20:17.000]   Like that's not a very good place to be.
[00:20:17.000 --> 00:20:23.000]   So yeah, that's kind of the first place is getting to a place where like GPU training is working on your single node machines.
[00:20:23.000 --> 00:20:24.000]   You can observe stuff.
[00:20:24.000 --> 00:20:31.000]   We have tons of tooling around like, you know, Prometheus and all sorts of other tools for understanding what's going on in these machines.
[00:20:31.000 --> 00:20:34.000]   You don't want to be like logging into each one and looking at the temperature or something.
[00:20:34.000 --> 00:20:37.000]   You really need to have tooling to collect all these metrics, etc.
[00:20:37.000 --> 00:20:44.000]   Unfortunately, all of the scripts that we have for this are like for this entire cluster.
[00:20:44.000 --> 00:20:48.000]   And for all this infrastructure are a little bit like special purpose for our particular thing.
[00:20:48.000 --> 00:20:52.000]   So it's not that every script that we have, it's not you can just like take this and plug this in.
[00:20:52.000 --> 00:20:57.000]   Even if we did open source all the tooling that we have, you'd still have to do like a lot of work to open source it.
[00:20:57.000 --> 00:21:02.000]   So what we are releasing is as many of the things that we can that are going to be useful for other people.
[00:21:02.000 --> 00:21:08.000]   You're still going to have to have some way of kind of managing these things, making your own like logging aggregators, etc, etc.
[00:21:08.000 --> 00:21:13.000]   So that's kind of bringing them up to the like, you know, the single nodes are working.
[00:21:13.000 --> 00:21:17.000]   From there, it goes into I'm happy to keep going if you want.
[00:21:17.000 --> 00:21:24.000]   Well, I just want to leave the opportunity for John to comment if there's anything that's different from how he runs things.
[00:21:24.000 --> 00:21:29.000]   I mean, all I'll say is I'll endorse this and say, this shit is hard.
[00:21:29.000 --> 00:21:31.000]   Like, this is really, really hard.
[00:21:31.000 --> 00:21:40.000]   And, you know, I have a special props to, you know, the folks in Vue, because they were building this from the ground up.
[00:21:40.000 --> 00:21:48.000]   You know, at Databricks and at Mosaic, we typically work with cloud providers, because some of this stuff is just, there's too much to handle.
[00:21:48.000 --> 00:21:49.000]   It's complicated.
[00:21:49.000 --> 00:21:50.000]   There's a lot to deal with.
[00:21:50.000 --> 00:21:54.000]   And this doesn't even get into things like physical security, you know, securing power.
[00:21:54.000 --> 00:22:01.000]   If you're the data center operator, like this gets infinitely complicated and you have to abstract somewhere.
[00:22:01.000 --> 00:22:06.000]   Like, you know, and then you get to the folks who are literally building their own custom chips and like, good God.
[00:22:06.000 --> 00:22:07.000]   Oh, my God.
