
[00:00:00.000 --> 00:00:05.360]   Okay. Okay. Oh, cool. So first paper with a background since now we're recording,
[00:04:10.560 --> 00:04:15.780]   self-iteration, it starts to forget previous iterations. And like, yeah, that, that kind of
[00:04:15.780 --> 00:04:20.980]   killed it for me, but you know, the paper was still decent reading through it. So let's, let's still go
[00:04:20.980 --> 00:04:26.380]   through it. So seal is kind of a framework that enables LLMs to self-adapt by generating their own
[00:04:26.380 --> 00:04:31.120]   fine tuning data and update derivatives. So I guess that's the other little difference, right?
[00:04:31.120 --> 00:04:38.220]   It uses itself. So it uses the model that it's using to generate synthetic data on questions. And
[00:04:38.220 --> 00:04:44.520]   then it judges whether the, you know, data that it generated helped improve performance. If it did,
[00:04:44.520 --> 00:04:50.800]   then it does kind of SFT on this data. So it's like all recursive on its own model. Now, the other
[00:04:50.800 --> 00:04:56.400]   limitation of this is you need to know the downstream task performance. So like, you can't do this on open
[00:04:56.400 --> 00:05:02.400]   ended stuff. I kind of bring this up in the limitations here as well. Basically, yeah, you,
[00:05:02.400 --> 00:05:09.160]   you need to know what the, where is, where is it? Context dependent evaluation. We assume that every
[00:05:09.160 --> 00:05:15.560]   context is paired with explicit downstream tasks. So, you know, you, you need labeled input outputs. You
[00:05:15.560 --> 00:05:20.760]   need to be able to verify whether your output is correct. And then like a potential solution to this
[00:05:20.760 --> 00:05:25.720]   is let the model not only generate the edits, but also generate its own evaluation of questions.
[00:05:25.720 --> 00:05:33.720]   I think it starts to get very meta there. Once you not only have generated outputs of generated data and
[00:05:33.720 --> 00:05:39.700]   generated examples, but yeah, a limitation is it has to do it. It gets kind of meta and hard because
[00:05:39.700 --> 00:05:46.240]   their example is training this on like LAMA 1B, LAMA 3.2 1B for ARCTASK.
[00:05:47.240 --> 00:05:54.200]   And N7B. And genuinely, I don't know if like, let's say you're doing something like open ended ARCTASK
[00:05:54.200 --> 00:05:59.320]   without verifiable rewards, like not verifiable rewards without really, like really without an
[00:05:59.320 --> 00:06:06.200]   answer. Right. So if you have a puzzle, you don't know the answer, you generate sample puzzle style
[00:06:06.200 --> 00:06:12.520]   examples. You know, the model can't really verify this output that well. But anyway, that's just like,
[00:06:12.520 --> 00:06:16.760]   yeah, I guess that's a limitation of a small model. You could do it at bigger scale. Okay. So,
[00:06:16.760 --> 00:06:22.840]   basically given an input, the model produces self-edit generations for synthetic data. So,
[00:06:22.840 --> 00:06:29.640]   you know, rephrase the question. What are questions deviated from this passage? And then they test it on
[00:06:29.640 --> 00:06:35.560]   the same question without context and see if it performs well. Then through SFT, these self-edits are,
[00:06:35.560 --> 00:06:42.120]   you know, constantly changing the actual weights. They use an RL loop using downstream performance as a
[00:06:42.120 --> 00:06:48.520]   reward signal. And yeah, it's kind of cool. It updates parameters. Okay. So here's the key
[00:06:48.520 --> 00:06:54.520]   question in this paper. We want to explore an intriguing hypothesis. Can an LLM self-adapt by
[00:06:54.520 --> 00:07:00.120]   transforming or generating its own training data into a learning and learning procedure? The answer,
[00:07:00.120 --> 00:07:07.240]   kind of, but you know, it still falls short after a few changes. So given a new task with current LLMs,
[00:07:07.240 --> 00:07:12.440]   we consume and learn from data as is via fine tuning or in context learning. However,
[00:07:12.440 --> 00:07:17.720]   data may not be in an optimal output format or learning. So they kind of have this like outer
[00:07:17.720 --> 00:07:24.600]   loop, inner loop of training. Basically, here's how it is. So in each RL outer loop iteration,
[00:07:24.600 --> 00:07:29.560]   the model generates candidate self-edits derivatives of how we update the weights,
[00:07:29.560 --> 00:07:34.280]   applies updates and evaluates performance on the downstream tasks, and then uses the reward to
[00:07:34.280 --> 00:07:42.600]   self-improve its gradients. Basically, letting them to do this is good. RL generates self. So
[00:07:42.600 --> 00:07:48.760]   this is called seal. This is the RL model that kind of does this. I think we can skip some of the specifics
[00:07:48.760 --> 00:07:55.640]   on the RL, but they can't use a off policy model. So they use like rejection sampling and SFT. We'll
[00:07:55.640 --> 00:08:02.520]   kind of go into that in a bit. Okay. They evaluate it on two applications. So one is can the model learn
[00:08:02.520 --> 00:08:12.280]   new factual knowledge? So this is basic benchmarks. Can we basically, given a task, strain in the relevant
[00:08:12.280 --> 00:08:17.080]   information and then retest on that same question without the in-context learning, without giving it
[00:08:17.080 --> 00:08:24.200]   information, can we improve? And they find out yes, they kind of can. The other one is, here's kind
[00:08:24.200 --> 00:08:30.040]   of how they do it. So we fine-tune synthetic data by the seal model. Our results show that following RL
[00:08:30.040 --> 00:08:37.080]   training and fine-tuning on self-generated synthetic data improves QA performance on the no-passage-in-context
[00:08:37.080 --> 00:08:45.160]   variant of SQUAD from 33.5 to 47%. So, you know, it kind of works. And it does outperform synthetic data
[00:08:45.160 --> 00:08:54.840]   gen from GPT 4.1 on the same data. So kind of cool. Maybe, okay. For the RL loop, why did they use binary
[00:08:54.840 --> 00:08:59.080]   loss? Whether the downstream accuracy improved or not? Couldn't they have made the reward signal something
[00:08:59.080 --> 00:09:04.600]   like how much better is the model performed on the task? They go into this in a bit. But yeah, it's
[00:09:04.600 --> 00:09:10.840]   interesting. They do binary loss. Okay. They also evaluate it on a few-shot learning, a sample subset
[00:09:10.840 --> 00:09:18.200]   of ARC benchmark. And yeah, it does better. And they specifically choose LAMA 3.21B because that's
[00:09:18.200 --> 00:09:22.600]   a model that wasn't trained on ARC. The model came out before the ARC benchmark. So it hasn't seen that
[00:09:22.600 --> 00:09:28.920]   data at all. Okay. Synthetic data gen, seal build them. So this is where they kind of... Section 2 is
[00:09:28.920 --> 00:09:36.200]   pretty good. You know, if you're interested in this sort of like constant updating training,
[00:09:36.200 --> 00:09:41.720]   these are pretty good papers that they reference on previous approaches. So one is on synthetic data.
[00:09:41.720 --> 00:09:48.440]   It's pretty common for pre-training tasks. Here's a few papers. Instruction tuning, task-specific data
[00:09:48.440 --> 00:09:54.120]   augmentation. And then here's just a bunch of papers that you can go through. So like 15 to 22 are all
[00:09:54.120 --> 00:10:02.600]   related synthetic data gen for constant fine tuning. Seal builds on this type of graph-based prompting
[00:10:02.600 --> 00:10:08.920]   by using RL to train a generative policy that maximizes downstream utility of synthetic data when applied
[00:10:08.920 --> 00:10:13.480]   for gradient-based self-updates rather than relying on static or heuristic generation strategies
[00:10:14.440 --> 00:10:19.960]   that are manually tuned. So it kind of uses this RL to get a signal of how well is this...
[00:10:19.960 --> 00:10:26.360]   How well is this output? And then they maximize... Actually, we'll go on a bit. Okay. Knowledge
[00:10:26.360 --> 00:10:32.920]   updating. This is pretty straightforward. So a bunch of papers on knowledge updating. Some try to do like
[00:10:32.920 --> 00:10:40.120]   specific parameters to improve facts. Other do fine tuning with information of in-context. We work on the
[00:10:40.120 --> 00:10:50.200]   ladder. Okay. Here's how SEAL framework works on QA. Test time training. This is a whole section on
[00:10:50.200 --> 00:10:58.200]   what's been done there. Okay. RL. So SEAL applies RL not only to optimize the final outputs or trace
[00:10:58.200 --> 00:11:04.760]   revisions, but to output the generation of the self-edit data. So they're doing RL to see whether the
[00:11:04.760 --> 00:11:10.360]   generation... Whether the synthetic data that they generate has a performance update... Performance
[00:11:10.360 --> 00:11:19.560]   increase or not. Okay. More background on meta-learning. There's an adaptation strategy of how to do these
[00:11:19.560 --> 00:11:25.480]   effective self-edits. The goal is how to learn effectively from task context. Da-da-da-da. More
[00:11:25.480 --> 00:11:32.440]   background. Self-improvement. More background. RL-A-I-F. In contrast, they view self-improvement through
[00:11:32.440 --> 00:11:37.880]   interaction with external data as more powerful, scalable paths. SEAL learns how to best utilize
[00:11:37.880 --> 00:11:43.160]   external data for self-improvement. Okay. Am I taking... Am I understanding this correctly? If they take
[00:11:43.160 --> 00:11:48.840]   context evaluation pairs as input, SEAL model improves these. The synthetic data that may SFTI improve
[00:11:48.840 --> 00:11:55.160]   pairs. Kind of. Basically what happens here. Okay. So methods. Here is SEAL again. Model is trained to
[00:11:55.160 --> 00:12:00.840]   produce self-edits directly through token generation with the data provided in the model's context. So
[00:12:00.840 --> 00:12:06.520]   you give it a question in context. It produces kind of this self-edit of generation of... Okay. Here's
[00:12:06.520 --> 00:12:12.920]   like two way examples on this. Then self-edit generation is learned by RL. So the SEAL model is
[00:12:12.920 --> 00:12:18.920]   actually that self-edit generation model where the model is rewarded for generating edits that increase
[00:12:18.920 --> 00:12:26.280]   the performance. So basically, you know, you have this model that augments the in-context learning data.
[00:12:26.280 --> 00:12:31.640]   Then you do a little LoRa train on it. If performance goes up on the task, then that's good. That's
[00:12:31.640 --> 00:12:36.920]   preferred. And that's the reward signal. SEAL can therefore be interpreted as an algorithm with two
[00:12:36.920 --> 00:12:42.600]   nested loops. Outer loop, which optimizes the self-edit generation. This is that sort of RL step.
[00:12:42.600 --> 00:12:48.200]   And the inner update loop, which uses that self-edit generation to update the actual weights with SFT.
[00:12:48.200 --> 00:12:55.400]   So that's kind of what CL is. Here's the framework. Okay. Bunch of fun RL stuff. I don't think we need
[00:12:55.400 --> 00:13:01.160]   to go super into detail, but it's actually very, very easy, readable, approachable. Easy thing to do.
[00:13:01.160 --> 00:13:06.600]   Take section 3.1, throw it in ChatGPT and have it break down these terms for you or just read it yourself.
[00:13:06.600 --> 00:13:12.840]   It's not that hard, but basically it's what the optimization is, right? So that self-edit generation
[00:13:12.840 --> 00:13:19.480]   progress, uh, process with RL, uh, they're letting the model take its action, its own self-edit. The
[00:13:19.480 --> 00:13:26.440]   reward is based on the performance of, um, the reward is based on the performance of the model without the
[00:13:26.440 --> 00:13:33.640]   context. So fancy terminology, but actually very, very straightforward. Um, basically reward is assigned to
[00:13:33.640 --> 00:13:38.680]   give an action in our settings depends on the parameters that the time is taken. So basically,
[00:13:38.680 --> 00:13:46.920]   you know, without the context after training does, does performance go up. Um, they try various on
[00:13:46.920 --> 00:13:53.880]   policy methods such as GRPO, PPO found that they're unstable. They use this rest rejection sampling plus
[00:13:53.880 --> 00:14:01.720]   SFT framework. Uh, basically rejection, uh, rest can be viewed as an expectation maximization procedure,
[00:14:01.720 --> 00:14:06.920]   where the expectation step is sample candidates outputs from the current model policy. Then
[00:14:06.920 --> 00:14:12.520]   the end step is kind of, uh, reinforce those that receive positive reward. So, you know, that's,
[00:14:12.520 --> 00:14:20.280]   that's kind of their, their thing, more fancy stuff here. Okay. Um, domain instantiations,
[00:14:20.280 --> 00:14:27.880]   they evaluate in two domains. So see shot learning. Okay. Can we integrate new information in model
[00:14:27.880 --> 00:14:35.560]   weights? So evaluated using no constant variation of squad, basically, um, you know, given in context,
[00:14:35.560 --> 00:14:42.440]   can we generate data train and then evaluate without context? How does this thing perform? Uh, and then
[00:14:42.440 --> 00:14:48.360]   the ability to generalize two tasks after only seeing a small number of examples, this is on arc.
[00:14:48.360 --> 00:14:54.360]   So basically this is the Lama example, uh, model was never trained on arc. Can we do some of this
[00:14:54.360 --> 00:14:59.880]   training and give it some examples and then kind of generalize to solving this? Yes, it can. The other
[00:14:59.880 --> 00:15:06.120]   one, if we take away the in context and do a no context variation, does it actually learn to use what
[00:15:06.120 --> 00:15:11.080]   it's been trained? Uh, yes, it kind of does. Uh, so first one is knowledge incorporation. That's, that's
[00:15:11.080 --> 00:15:18.040]   what we just talked about. Can it effectively incorporate information provided in a passage? Get rid of
[00:15:18.040 --> 00:15:25.480]   this. Um, basically prompting the model to list several implications derived from the content. The output may
[00:15:25.480 --> 00:15:32.600]   include inferences, logical consequences, restatement of the passage. Uh, so the prompts are basically stuff
[00:15:32.600 --> 00:15:38.520]   like, you know, rewrite the passage in different ways, rewrite it in a QA format. And then after
[00:15:38.520 --> 00:15:45.160]   that, you know, see how it does. So here's kind of the Apollo program before, after, um, but even after
[00:15:45.160 --> 00:15:51.560]   natural NASA reached internal agreement, it was far from smooth sailing self-edit. The Apollo program
[00:15:51.560 --> 00:15:56.840]   faced opposition from this, uh, evaluation, you know, there's the question without the context and then
[00:15:56.840 --> 00:16:02.520]   can it get the answer right? So given a passage, the model generates synthetic data, which is the self-edit,
[00:16:02.520 --> 00:16:08.520]   in the form of implications of the passage. Then fine tune on these outputs using a LoRa.
[00:16:08.520 --> 00:16:15.720]   The model after the training is evaluated on the passage without access to the original text. So this
[00:16:15.720 --> 00:16:22.360]   is kind of their little framework. Uh, the resulting accuracy is the reward for the RL. Uh, if the
[00:16:22.360 --> 00:16:28.360]   accuracy goes up, if they're like self-edit LoRa fine tune was successful, that's a good reward. We should
[00:16:28.360 --> 00:16:35.480]   use this. If it goes down, that's not good reward. Um, then the self-generated statements are, uh,
[00:16:35.480 --> 00:16:41.480]   used as training data for SFT. Then they kind of, you know, since there's very little data per sample,
[00:16:41.480 --> 00:16:45.560]   they, they basically do LoRa's. This is where I was like, oh, it's kind of interesting how they start to
[00:16:45.560 --> 00:16:51.560]   work, but, and it does kind of generalize. Right. But then, um, you know, you're directly training it on
[00:16:51.560 --> 00:16:59.160]   examples of these tasks and eventually it, it starts to lose previous steps, which is unfortunate.
[00:16:59.160 --> 00:17:05.320]   Okay. Um, few shots set up. Here's kind of more examples. So this is the other one. This is kind of,
[00:17:06.680 --> 00:17:12.120]   the arc one, few shot learning. So can we give it a few examples of how to solve our questions
[00:17:12.120 --> 00:17:19.880]   and can it generalize? Um, yes, we can. We define a set of tools. So now, you know, you have data
[00:17:19.880 --> 00:17:25.080]   augmentation, you have optimization, you can, you can generate data. It does it, it works. Results,
[00:17:25.080 --> 00:17:31.640]   few shot learning. Uh, so for the arc one, we carried a subset of the 11 tasks from the eight evaluation,
[00:17:31.640 --> 00:17:39.880]   very few tasks. The model is trained only on 15 self edits per task out of these like 11 tasks from the
[00:17:39.880 --> 00:17:46.040]   eight evaluation set, uh, apply to generate 15 updated models, reinforce the ones that corrupt,
[00:17:46.040 --> 00:17:51.960]   that correctly adapt models. So some of these don't work. Some of them do. We evaluate it by generating five
[00:17:51.960 --> 00:17:57.720]   self edits per held out evaluation, apply each one individually. Yeah, it works. Um, kind of, kind of,
[00:17:57.720 --> 00:18:04.040]   kind of, it's not good. It's not as good as other approaches. Um, so it substantially improves
[00:18:04.040 --> 00:18:10.520]   adaptation success rate compared to baseline. So baseline, 20% adaptation, 72%. So something's
[00:18:10.520 --> 00:18:17.800]   happening, uh, compared to other approaches. So train on passage only, um, much better than that.
[00:18:17.800 --> 00:18:24.440]   Train on passage plus synthetic data versus GPT. Oh, sorry. Sorry. On this, uh, this Oracle TTT
[00:18:24.440 --> 00:18:30.840]   performed a lot better. Oracle TTT is kind of, um, the model performs test time training using optimal
[00:18:30.840 --> 00:18:36.360]   human crafted configuration. So that's the best, basically human give examples of how to solve it.
[00:18:36.360 --> 00:18:42.440]   What's the best approach that gives you a hundred percent performance, uh, in context, learning given
[00:18:42.440 --> 00:18:50.760]   few shot examples is worse than their edit. Um, and then there's another one TTT plus self edit. So,
[00:18:50.760 --> 00:18:57.800]   uh, basically using few shot examples and doing this sort of like chain of thought style reasoning
[00:18:57.800 --> 00:19:03.400]   did a little bit, but not as good as seal, seal work there. Okay. The other one is knowledge
[00:19:03.400 --> 00:19:09.960]   incorporation. This is stuff where we don't have any, um, understanding of the previous example. So
[00:19:09.960 --> 00:19:16.680]   this, uh, this example was, wait, sorry. Uh, sorry. That was the one where we didn't have any example where
[00:19:16.680 --> 00:19:21.480]   this was Lama. It hadn't been trained on arc and now it can start to do it. This is basically a,
[00:19:21.480 --> 00:19:26.200]   uh, can we get rid of this in context question, right? So do two rounds of rest with batches of
[00:19:26.200 --> 00:19:32.520]   50 context. Um, basically, you know, generate synthetic data based on the placed on the passage,
[00:19:32.520 --> 00:19:39.240]   then we test it on how well it performs without it. So yes, it works. Accuracy goes up. It does even
[00:19:39.240 --> 00:19:45.160]   better generating its own synthetic data on QN7B than it does with GPT 4.1 on this style,
[00:19:45.160 --> 00:19:50.680]   since it has this sort of RL step. Um, yeah, that's, that's kind of the, it's kind of the paper.
[00:19:50.680 --> 00:19:57.560]   There's not much more. We went over limitations. Um, the rough thing is as you do this live editing,
[00:19:57.560 --> 00:20:02.760]   uh, you know, it really tailors off. You have to do this per sample, per example, after you do it
[00:20:02.760 --> 00:20:08.360]   like seven or eight times, it kind of forgets how the old ones perform. Uh, Laura's typically don't
[00:20:08.360 --> 00:20:13.320]   affect general performance as much, but the other performance, the other issue with Laura's is,
[00:20:13.320 --> 00:20:19.080]   you know, they're not super effective, right? They don't have the biggest performance. So there's that.
[00:20:19.080 --> 00:20:25.320]   Um, computation overhead. This is very expensive. You can't just like do this at scale, right? It's
[00:20:25.320 --> 00:20:31.240]   very, very slow. So the reward is more computationally expensive than any other RL training loop. Uh,
[00:20:31.240 --> 00:20:37.880]   somewhere in here, they mentioned like each self edit takes about 30 to 45 seconds. Uh, you know,
[00:20:37.880 --> 00:20:45.560]   there's a lot of overhead in that. And it's using like two H100s for all this, since you now need like
[00:20:45.560 --> 00:20:53.880]   multiple instances of the model. Uh, RL is also not, not efficient in this, but yeah, interesting.
[00:20:53.880 --> 00:21:00.280]   Um, basically they're like, you know, here's, here's our thing. Once web scale data is exhausted,
[00:21:00.280 --> 00:21:04.920]   progress will hinge. We need models to generate their own high quality training signal.
[00:21:05.640 --> 00:21:11.080]   I think that's fine, but you don't have to do it live, right? We can do synthetic data gen and offline
[00:21:11.080 --> 00:21:17.320]   RL. This doesn't have to be RL. But anyway, it's a synthetic data generation model that they, that they
[00:21:17.320 --> 00:21:24.280]   do that they use live. Um, yeah. We can imagine a future in which LLMs can ingest new data such as
[00:21:24.280 --> 00:21:29.240]   academic papers and generate large quantities of explanations, implementations for themselves,
[00:21:29.240 --> 00:21:34.600]   using their existing knowledge and reasoning with the in context data. The interactive loop of self
[00:21:34.600 --> 00:21:39.880]   expression and self refinement could allow these models to keep improving on rare unprecedented topics,
[00:21:39.880 --> 00:21:47.320]   even in the absence of additional external supervision. Very cool. Cute future, um, would be great if it
[00:21:47.320 --> 00:21:53.640]   works, but yeah, that's kind of, that's kind of it. Um, that's quick paper thoughts, questions, comments
[00:21:55.320 --> 00:22:02.120]   before we move on to the better paper. That's crazy. We were crazy. They went so fast.
[00:22:02.120 --> 00:22:05.560]   I want, I want time for a clone.
[00:22:05.560 --> 00:22:13.560]   Okay. Not much, not much in chat. So I guess we had some discussion there.
[00:22:13.560 --> 00:22:20.600]   Yeah. Six findings on the chat. Oh, shoot. Uh, I need to share.
[00:22:23.080 --> 00:22:28.280]   Okay. Now I can share because this is a new zoom installation. So I just want to make sure.
[00:22:28.280 --> 00:22:36.680]   Can you guys see it? Yeah, we see it. That works.
[00:22:36.680 --> 00:22:38.280]   Oh, okay. I see your Slack.
[00:22:38.280 --> 00:22:42.200]   Oh, shoot. Can you see the cloud system card? Yeah. Nice.
[00:22:42.200 --> 00:22:48.120]   Yes. Okay. So cloud system card came out in May, 2025. I think there are a lot of interesting things here.
[00:22:48.680 --> 00:22:53.800]   Um, and you know, everyone's saying right now that pre-training is less important. I actually don't
[00:22:53.800 --> 00:22:59.480]   think so. Um, and a lot of techniques, very few, there are very few techniques mentioned here, but
[00:22:59.480 --> 00:23:03.720]   when they do mention techniques, it's almost always related to pre-training. So let's go into it.
[00:23:03.720 --> 00:23:09.880]   Um, I have gone through this. I've gone through only up to 80 pages of it, which is the end of
[00:23:09.880 --> 00:23:15.640]   reward hacking, which I think is very interesting. Um, and then over at each page, I have keys to
[00:23:15.640 --> 00:23:19.000]   the keys for when it's interesting. So I'm gonna try to take you through that. The first thing
[00:23:19.000 --> 00:23:24.360]   that's really interesting, new cutoff date. Um, I wonder how this was done. Did they pre-train
[00:23:24.360 --> 00:23:29.400]   completely from scratch or did they just do continue pre-training? We never know. I mean,
[00:23:29.400 --> 00:23:35.480]   if someone knows, you know, just DM me, I would love to learn how, how that's done. Um, the second thing
[00:23:35.480 --> 00:23:42.680]   that, uh, and Trophic has done is that when they do chain of thought, uh, they say that they opt to
[00:23:42.680 --> 00:23:46.360]   summarize lengthier top processes, right? But this happens only about 5% of the time.
[00:23:46.360 --> 00:23:51.480]   Uh, so what this means, and you can also still get the full top processes with no summarization.
[00:23:51.480 --> 00:23:57.240]   So what this means is that unlike, uh, what OpenAI has done, where OpenAI doesn't give you the full top
[00:23:57.240 --> 00:24:02.840]   process and Trophic is willing to give you the top process as well. Uh, I don't know if OpenAI has
[00:24:02.840 --> 00:24:08.200]   changed their approach, which is not showing you the chain of thought. Um, if anyone has any update on
[00:24:08.200 --> 00:24:15.480]   that, also please do let me know. Um, so, so this, this, these are some interesting departures from what
[00:24:15.480 --> 00:24:20.680]   OpenAI is doing. Uh, and then the release, okay. There's a lot of standard releases. They go through
[00:24:20.680 --> 00:24:27.400]   AI safety standard. The one interesting, and of course, uh, CBRN. So these are their standard, uh,
[00:24:27.400 --> 00:24:30.920]   safety chemical, biological, radiological, and nuclear. We won't actually go through these.
[00:24:30.920 --> 00:24:38.040]   Um, but it's safe to say that this is how they think about it. So what is interesting here is that
[00:24:38.040 --> 00:24:43.720]   Claude Sonnet is still ASL2, which is the same as Claude Sonnet 3.5.
[00:24:43.720 --> 00:24:51.880]   ASL2 is the, not as unsafe, it's a safer model, but they have decided to say that Opus is under ASL3.
[00:24:51.880 --> 00:25:01.560]   And I have, I have a quick definition of ASL3 is this. Our ASL3 threat model is model
[00:25:01.560 --> 00:25:10.120]   scaling and prioritization. Can it cause an economic catastrophe by unsophisticated, uh, by businesses or
[00:25:10.120 --> 00:25:17.000]   hacker groups, right? And help them attack poorly assisted, hardened targets. Now ASL4.
[00:25:17.000 --> 00:25:25.240]   Oh, shoot. I wish that ASL3 discussion was, was in there. But anyway, ASL4 is this model is not strong
[00:25:25.240 --> 00:25:33.320]   enough to do multi-step operations that allow low resource nations to operate as top tier nations.
[00:25:33.960 --> 00:25:40.120]   Um, I won't mention any conditions, but this is how they think about a threat model. So, uh, Sonnet is not
[00:25:40.120 --> 00:25:45.560]   even ASL3. Um, uh, but Opus is ASL3.
[00:25:45.560 --> 00:25:52.040]   So a little bit more background here, actually, they changed the definition of ASL3 like two weeks
[00:25:52.040 --> 00:25:57.880]   before the release. They, they, they changed the scope. They cut something out. I will try to find
[00:25:57.880 --> 00:26:03.960]   what it was, but basically, uh, they, they got a little bit of talk about this, but right before
[00:26:03.960 --> 00:26:11.480]   they released these in like, uh, I can find the post on May 22nd, they changed what ASL3 is. So
[00:26:11.480 --> 00:26:21.320]   did they make it lighter? They removed restrictions to call this ASL3, which is why people, it wasn't
[00:26:21.320 --> 00:26:29.640]   a major change, but, um, you know, slight changes. Yep. So this was, so that's a little bit about the
[00:26:29.640 --> 00:26:34.440]   safety. Uh, now let's go back. You can see this as huge as paper. Um,
[00:26:34.440 --> 00:26:42.440]   Safeguard's results. Uh, I don't think they went through very much of this. Uh, but long story short,
[00:26:42.440 --> 00:26:50.040]   uh, you can see that Opus, uh, they, they don't, it's fairly safe. Uh, overall harmfulness rate
[00:26:50.040 --> 00:26:55.320]   is less than what is about slightly, uh, maybe around 1%. Well, that's to say that it still has
[00:26:55.320 --> 00:27:00.600]   happened, you know, given about a hundred thousand queries, a thousand of them will be maybe harmful.
[00:27:00.600 --> 00:27:06.680]   Uh, so, you know, it really depends on the scale that you, that you're running these models on. Um,
[00:27:06.680 --> 00:27:15.320]   and then they have singleton evaluations and you can see over here, this is, uh, these are, what is really
