
[00:00:00.000 --> 00:00:05.120]   I want to know if you agree that each of these eight developments would have shocked you not
[00:07:54.000 --> 00:08:04.000]   But even when Google employees tested it out, asking it how to land a plane or do scuba diving, the answers it gave would likely result in serious injury or death.
[00:08:04.000 --> 00:08:08.000]   In February, one employee said the following in an internal message group:
[00:08:08.000 --> 00:08:11.000]   "BARD is worse than useless. Please do not launch."
[00:08:11.000 --> 00:08:16.000]   The concern that many have is that now Google will ditch safety in order to catch up.
[00:08:16.000 --> 00:08:23.980]   As the article reports, the staffers who are responsible for the safety and ethical implications of new products have been told to
[00:08:23.980 --> 00:08:28.980]   "not get in the way or try to kill any of the generative AI tools in development."
[00:08:28.980 --> 00:08:32.980]   Which brings me to the final reason that we know we're in the future.
[00:08:32.980 --> 00:08:36.980]   The risks of AI annihilation are beginning to be taken seriously.
[00:08:36.980 --> 00:08:43.980]   It's not just lone voices anymore, like Eliezer Yudkowsky, who a couple of days ago got a standing ovation at TED.
[00:08:43.980 --> 00:08:47.980]   He believes the world is firmly on track for AI takeover.
[00:08:47.980 --> 00:08:53.960]   It's also other senior figures who believe our probability of doom from AI is non-zero.
[00:08:53.960 --> 00:09:01.960]   Here are some selected probabilities, but I want to focus on Paul Cristiano, who gives a risk of doom between 10 and 20%.
[00:09:01.960 --> 00:09:07.960]   He previously ran the alignment team at OpenAI and now leads the alignment research center.
[00:09:07.960 --> 00:09:11.960]   And you may remember them from the GPT-4 technical report.
[00:09:11.960 --> 00:09:17.960]   They were the guys that OpenAI trusted to run the model evaluation of GPT-4,
[00:09:17.960 --> 00:09:23.940]   testing whether it could autonomously replicate and gather resources, which they concluded may become possible
[00:09:23.940 --> 00:09:30.940]   with sufficiently advanced AI systems, but the conclusion is that the current model is probably not capable of doing so.
[00:09:30.940 --> 00:09:36.940]   These are quite senior figures and insiders giving a non-trivial risk of AI annihilation.
[00:09:36.940 --> 00:09:40.940]   I think that deserves a lot more public conversation than it's currently getting.
[00:09:40.940 --> 00:09:43.940]   And on that, Sam Altman seems to agree.
[00:09:43.940 --> 00:09:47.940]   And the bad case, and I think this is like important to say, is like lights out for all of us.
[00:09:47.940 --> 00:09:53.920]   Yeah, I think it's like impossible to overstate the importance of AI safety and alignment work
[00:09:53.920 --> 00:09:56.900]   I would like to see much, much more happening.
[00:09:56.900 --> 00:10:00.980]   So the future is here and I think the media needs to catch up.

