
[00:00:00.000 --> 00:00:21.360]   Hi, everyone. I'm Akhan Shaw. I was at Google for more than six years, and I led the research
[00:04:02.240 --> 00:04:08.800]   now that these models could reason, we could get them to follow instructions. So the first set of
[00:04:08.800 --> 00:04:14.480]   applications that became possible with these large language models were chatbot applications. So everyone
[00:04:14.480 --> 00:04:21.840]   remembers that ChatGPT and now Gemini and various other chatbots have become extremely popular. All of us
[00:04:21.840 --> 00:04:27.360]   use them all the time. But what made them really possible was that when you give instructions to the model
[00:04:27.360 --> 00:04:33.280]   to go do something, it's actually able to do it. And the way it learns that is actually based on reinforcement
[00:04:33.280 --> 00:04:38.720]   learning. And the reinforcement learning data that we're giving to the model in this particular case
[00:04:38.720 --> 00:04:45.840]   is essentially data based on human feedback. So you're basically saying, okay, here is a set of questions.
[00:04:46.960 --> 00:04:53.200]   And if I were to give it to a human and it were there were two answers, which one would the human
[00:04:53.200 --> 00:04:58.960]   prefer? And if you have enough of this data and you train your model, you would actually end up with
[00:04:58.960 --> 00:05:05.120]   a better performance because you taught the model which set of responses to prefer. And this actually
[00:05:05.120 --> 00:05:11.360]   doesn't only work in chatbot applications, it also works in code. So on the bottom right, I'm showing that
[00:05:11.360 --> 00:05:16.960]   even if you were to do this for applications in code, you start to see some performance improvements.
[00:05:16.960 --> 00:05:23.200]   Now, of course, the question is that last year, there was a whole bunch of debate as to are we
[00:05:23.200 --> 00:05:28.560]   hitting the wall in terms of performance of large language models, pre-training is not giving any gains,
[00:05:28.560 --> 00:05:37.200]   or all of these questions were on the horizon. So what is next? And one of the key questions to remember
[00:05:37.200 --> 00:05:42.160]   in all of this is that when you go and pre-train the models, you end up spending a lot of money
[00:05:42.160 --> 00:05:47.920]   on training these models. It could be tens of millions of dollars. And when you do inference on
[00:05:47.920 --> 00:05:54.800]   the models, it's extremely cheap. These numbers are not endorsed by any of the companies I worked at,
[00:05:54.800 --> 00:06:01.760]   but these are public numbers from public sources. So going back to the main point that I want to make
[00:06:01.760 --> 00:06:07.920]   here is that training is extremely costly. So if you constantly try to scale up the model size,
[00:06:07.920 --> 00:06:15.120]   you end up in this regime of like, if it's not giving performance gains, then can we get performance
[00:06:15.120 --> 00:06:24.480]   gains at inference time because inference calls are so cheap? And a key idea that was extremely useful
[00:06:24.480 --> 00:06:32.640]   here was that if you could get the models to generate multiple responses and then do majority voting. So
[00:06:32.640 --> 00:06:40.160]   in the example above, I'm showing that the prompt doesn't make sense, but you've given a mathematical
[00:06:40.160 --> 00:06:45.760]   problem to large language model and you're asking it to generate three answers independently. And then you
[00:06:45.760 --> 00:06:53.360]   basically do some voting on top of those answers. And if two answers match, then that's a majority vote. Or
[00:06:53.360 --> 00:06:58.720]   like if in this room I were to ask a question and all of you said, yes, then that is a majority vote.
[00:06:58.720 --> 00:07:04.240]   So similarly in large language models, if you can get the model to like generate many, many samples and
[00:07:04.240 --> 00:07:10.640]   then consistently get it to, uh, like get many of those answers to agree, this notion of majority voting
[00:07:10.640 --> 00:07:16.240]   or self consistency had shown gains. So this kind of scaling computed inference time was clearly one
[00:07:16.240 --> 00:07:22.640]   avenue to go push on. Another avenue that emerged and showed substantial value was that you could
[00:07:22.640 --> 00:07:29.680]   sequentially revise your previous response. So as humans, oftentimes we write the first answer and then
[00:07:29.680 --> 00:07:34.560]   we go evaluate our answer and we're like, oh, there's some mistake here. It doesn't quite match. And then
[00:07:34.560 --> 00:07:41.360]   you go fix it. So basically can we get LLMs to do the same kind of revision looking at previous set of
[00:07:41.360 --> 00:07:46.640]   revisions? And this was the second. So basically having longer, uh, chains of thought, uh, and getting
[00:07:46.640 --> 00:07:52.960]   the model to improve consistently in inference time based on that. And these kind of techniques, uh, where
[00:07:52.960 --> 00:07:58.960]   you could verify your correct answer. So in math or in programming where you have unit tests showed, uh,
[00:07:58.960 --> 00:08:04.400]   very clear gains. So what I'm showing you here is an example from, uh, uh, one of my colleagues
[00:08:04.400 --> 00:08:11.760]   work, uh, at Stanford, uh, which is a publicly, uh, published, uh, paper. And on the y-axis, we have
[00:08:11.760 --> 00:08:17.920]   pass at K or coverage score. And on the x-axis, we have a number of samples. So as you basically are
[00:08:17.920 --> 00:08:23.840]   doing a lot of samples on the x-axis, your accuracy is improving, uh, with open source DeepSeq model and
[00:08:23.840 --> 00:08:29.600]   just taking more samples. So you're getting a very high score on Sweebench verified compared to even
[00:08:29.600 --> 00:08:36.000]   state of the art back in end of 2024. Uh, of course, now all of these scores have pushed up and we are
[00:08:36.000 --> 00:08:45.200]   roughly somewhere around 80% already. But what we want to take away here is the fact that these lines
[00:08:45.200 --> 00:08:51.600]   of work, they showed that inference time compute predictably gives us gains, especially in domains
[00:08:51.600 --> 00:08:58.800]   where we can verify. If we know how to verify the answers, then we actually know how to translate
[00:08:58.800 --> 00:09:04.720]   that into intelligence. And going back to my talk title, coding is one of those domains where we
[00:09:04.720 --> 00:09:11.200]   do have the capability to verify. Um, and that gives us tremendous advantage in terms of
[00:09:11.200 --> 00:09:14.880]   building super intelligence on top of autonomous coding.
[00:09:16.160 --> 00:09:20.800]   Of course, now you ask the question of what does automated verification mean here?
[00:09:20.800 --> 00:09:28.720]   So for inference time scaling to work, you need basically some way to say this output is correct.
[00:09:28.720 --> 00:09:34.560]   Now in math, um, this is a very simple example. If you were to give the input to solve this mathematical
[00:09:34.560 --> 00:09:40.320]   equation, um, and if you were to do the same calculation on a calculator, you can actually verify that
[00:09:40.320 --> 00:09:47.920]   that that problem is correct or that solution is correct. Um, and similarly in math, you have formal
[00:09:47.920 --> 00:09:52.960]   proofs so you can actually verify that things are correct. Uh, in coding, you have unit tests in
[00:09:52.960 --> 00:09:58.800]   compilers. You can actually generate the code and then use Pytorch as a verifier, uh, Pytorch the compiler
[00:09:58.800 --> 00:10:05.040]   as a verifier. And in fact, uh, in domains where you don't have, uh, this kind of verification,
[00:10:05.040 --> 00:10:10.240]   then there's a large gap. If you were to generate a lot of solutions and then do majority
[00:10:10.240 --> 00:10:15.600]   voting, you actually don't get as much gains. So what this roughly meant was that, okay,
[00:10:15.600 --> 00:10:20.640]   so inference time scaling would work in scenarios where I have automated verification,
[00:10:20.640 --> 00:10:26.880]   but that doesn't quite solve the problem for it to have real world impact. And the reason for that
[00:10:26.880 --> 00:10:33.520]   is shown in this graph as to typically, uh, if you do majority voting and these, uh, this is across
[00:10:33.520 --> 00:10:40.160]   multiple different models on GSM 8K, which is middle school math problems and another math benchmark. Uh, if you were to
[00:10:40.160 --> 00:10:45.920]   sort them by correct fraction, you have to sample a lot. The correct generations could be very rare.
[00:10:45.920 --> 00:10:51.920]   So who has time to sample 10,000 times and then get a correct solution? You would be sitting there waiting,
[00:10:51.920 --> 00:10:57.520]   just finding the correct solution unless you can actually figure out where the correct generation is.
[00:10:58.960 --> 00:11:05.840]   So basically scaling inference time compute with just majority voting or longer reasoning chains is great
[00:11:05.840 --> 00:11:10.560]   in the sense that there are some correct solutions somewhere there, but it doesn't work well across
[00:11:10.560 --> 00:11:17.600]   the board. So what will get these models to learn to generate correctly, uh, during training? Well,
[00:11:18.480 --> 00:11:25.040]   in the chat bot application scenario, we saw that RL with human feedback did work. So can we apply the
[00:11:25.040 --> 00:11:31.120]   same principle here and get the model to generate correctly in, uh, where, where we can automatically
[00:11:31.120 --> 00:11:38.000]   verify the outputs? So our belief at, uh, reflection is that the next frontier for scaling is reinforcement
[00:11:38.000 --> 00:11:41.760]   learning. And we already have proof points from some of the frontier labs as well.
[00:11:42.800 --> 00:11:50.800]   And as David Silver, um, uh, sudden published recently, they agree with, uh, or, or rather they, they are the pioneers
[00:11:50.800 --> 00:11:57.280]   in, uh, in reinforcement learning. They say that we are basically entering the era of experience, like starting
[00:11:57.280 --> 00:12:04.800]   from alpha go and alpha zero, uh, where you had an era of simulation and the next set of large language model
[00:12:04.800 --> 00:12:12.240]   era was where you scaled up with RL using human data. But the next era from this year is really the era of
[00:12:12.240 --> 00:12:16.960]   experience, which was, which will lead us to super intelligence. So reinforcement learning will be a
[00:12:16.960 --> 00:12:23.280]   fundamental component in building, uh, super intelligent systems, uh, especially in areas where we have
[00:12:23.280 --> 00:12:32.000]   automated, uh, verification. And some, uh, proof point for why this makes sense is that in math, uh, over
[00:12:32.000 --> 00:12:39.280]   several papers, this is, uh, results from 01, but over several papers, we have already seen examples that if you
[00:12:39.280 --> 00:12:45.440]   give the model on the right side, uh, test time compute, uh, on the Y axis, test time compute the same as
[00:12:45.440 --> 00:12:52.320]   inference time scaling and you measure accuracy on the X axis, it should go up. Um, but as you can
[00:12:52.320 --> 00:12:58.160]   repeat this process, uh, and with the reinforcement learning, then the training time compute going up on
[00:12:58.160 --> 00:13:04.480]   X axis also improves the accuracy on Y axis for a challenging benchmark in math called Amy. Uh, most
[00:13:04.480 --> 00:13:09.760]   of these benchmarks saturate within a year as you probably have learned by now. So, uh, this benchmark
[00:13:09.760 --> 00:13:18.000]   is already saturated. Um, so now that I've hopefully convinced you that reinforcement learning and
[00:13:18.000 --> 00:13:24.960]   scaling reinforcement learning is, uh, the next frontier, you'd be like, okay, so why are, why is not everyone
[00:13:24.960 --> 00:13:29.920]   doing it? What's so challenging about it? So as I have built large language models before,
[00:13:29.920 --> 00:13:36.160]   a big part of building, uh, these systems, uh, ends up being that the machine learning plus system stack
[00:13:36.160 --> 00:13:44.000]   for these, uh, systems themselves is very challenging. So here is, um, an example of, uh, why scaling up
[00:13:44.000 --> 00:13:49.440]   reinforcement learning is challenging. So if you are trying to do reinforcement learning with, uh, PPO,
[00:13:49.440 --> 00:13:56.480]   which is, uh, one of the, uh, algorithms used for RL with human feedback, um, then it moved to, uh, DPO,
[00:13:56.480 --> 00:14:03.120]   you have to keep four copies of, uh, different models. Uh, so if you imagine a really large model
[00:14:03.120 --> 00:14:08.080]   and then you have to keep four copies, then you have to arrange them somewhere on GPUs in your large
[00:14:08.080 --> 00:14:14.800]   cluster. You, you can have some fun figuring out the exact layout and, um, it's, it's, it's a fun and
[00:14:14.800 --> 00:14:20.080]   interesting problem, but it's a hard problem in the sense that, uh, to make maximum utilization of
[00:14:20.080 --> 00:14:24.320]   these systems and, and arranging them in the right way, just building that system is extremely hard.
[00:14:25.440 --> 00:14:31.200]   And, uh, deep seek actually showed, uh, with deep seek math that GRPO, uh, gets rid of the value model
[00:14:31.200 --> 00:14:36.080]   and it only has three copies of the model, but that doesn't, that's still a very challenging problem.
[00:14:36.080 --> 00:14:44.800]   So scaling up RL, uh, is more, even more challenging, um, than scaling up, um, LLMs because you have multiple
[00:14:44.800 --> 00:14:50.080]   copies of the model and you have a training loop and an inference loop. And then on the machine learning
[00:14:50.080 --> 00:14:55.280]   side on the, on the reinforcement learning side, you also suffer a lot from reward hacking. If you're,
[00:14:55.280 --> 00:15:00.720]   uh, the model that is deciding that this is the correct answer is a neural reward model. So you,
[00:15:00.720 --> 00:15:06.400]   uh, as we discussed before in autonomous coding applications, you do have the ability to verify
[00:15:06.400 --> 00:15:12.560]   your output, uh, which roughly means that you can decide this is the correct answer or not. Uh,
[00:15:12.560 --> 00:15:18.320]   that's how sweet bench verified scores, uh, work today. Uh, you have execution feedback,
[00:15:18.320 --> 00:15:24.800]   you have unit tests. So all of these possibilities, of course, um, this is an ongoing list. All of these
[00:15:24.800 --> 00:15:31.680]   possibilities may mean that you can design better reward functions. Okay. So this means that autonomous
[00:15:31.680 --> 00:15:37.680]   coding is a great domain for scaling up RL. Then the question becomes, how does this have real world impact?
[00:15:37.680 --> 00:15:44.240]   So in software engineering applications, generation of code is only one part of the system. If you
[00:15:44.240 --> 00:15:49.440]   look at end to end workflows for software engineering, there is many more parts to that system. How do you
[00:15:49.440 --> 00:15:55.200]   scale up your system to generalize across all of those domains? So that's the problem we are trying to
[00:15:55.200 --> 00:16:00.880]   solve at reflection. Uh, our mission is that we would like to build some super intelligence and we are
[00:16:00.880 --> 00:16:08.240]   starting with autonomous coding as the root node problem for this, um, a mission. And, uh, we have
[00:16:08.240 --> 00:16:16.160]   a team of about 35 pioneers, um, who are, who have pioneered various, uh, legendary works in LLMs and
[00:16:16.160 --> 00:16:22.240]   reinforcement learning. So if you're excited about this mission, uh, you can reach out to, um, one of us,
[00:16:22.880 --> 00:16:29.440]   Um, or my, uh, my emails, uh, my last name at reflection.ai and we would love to work with you. And with that, I can take
[00:16:29.440 --> 00:16:31.440]   questions.
[00:16:37.280 --> 00:16:41.840]   All right. Um, same protocol as last time. If you have a question, please come up to one of these
[00:16:41.840 --> 00:16:46.400]   three microphones we have distributed throughout. We can probably take one or two questions. So if you
[00:16:46.400 --> 00:16:51.440]   want to ask something, um, feel free. Um, I guess I can, I I'll do the first one while people are coming
[00:16:51.440 --> 00:16:59.040]   up. So I'm curious, um, it seems like the foundation models are trying to build one model and deploy it
[00:16:59.040 --> 00:17:03.600]   across everything. Do you have an opinion with the work you're doing right now? If you think that's the right
[00:17:03.600 --> 00:17:07.680]   approach or if you think there'll be more specialization on different languages or even
[00:17:07.680 --> 00:17:12.160]   like individual code bases, um, or do you feel like the best approach is just to have like one model
[00:17:12.160 --> 00:17:16.880]   that's trained across the, the greatest diversity of tasks possible? Uh, I think I will answer your
[00:17:16.880 --> 00:17:23.680]   question, uh, in terms of building coding agents does require, um, multiple capabilities and how you get
[00:17:23.680 --> 00:17:28.800]   there, you will definitely need multiple LLM calls and then whether that's one model or multiple models,
[00:17:28.800 --> 00:17:33.200]   I think that's the secret sauce right now for most people. Fair enough. All right.
[00:17:33.200 --> 00:17:40.880]   Please. Hi. Um, I'm wondering in the slide with the chart of error of simulation, error of something
[00:17:40.880 --> 00:17:50.480]   and error of experience, uh, they had put in AlphaGo and, um, the previous one where also you, they played
[00:17:50.480 --> 00:17:57.680]   Star, Starcraft or something. They all used MCDS, uh, which I mean, maybe it's my unfamiliarity with them,
[00:17:57.680 --> 00:18:05.600]   but it's also data simulation. Uh, so we're using synthetic data for error of experience as well. So
[00:18:05.600 --> 00:18:11.520]   how does, why is that called simulation and why is what we're doing right now not called simulation?
[00:18:11.520 --> 00:18:15.920]   What's the sort of overlap between simulation experience? How does that, how do you think about that?
[00:18:15.920 --> 00:18:22.560]   I can ask Dave that question, you know, but going back to the point, I think, I think the better way to
[00:18:22.560 --> 00:18:28.800]   answer that question is, uh, roughly what Greg covered in the last talk where his comment was that, um, so in
[00:18:28.800 --> 00:18:35.760]   gaming you can envision what scenarios might happen next and you're basically using that to build your
[00:18:35.760 --> 00:18:40.320]   reinforcement learning. So you're doing rollouts and you're, you're basically building, uh, based on that,
[00:18:40.320 --> 00:18:48.720]   uh, in, in real world, in most scenarios, you have an imperfect rollout. So you don't have full knowledge
[00:18:48.720 --> 00:18:56.160]   of how the system might works. Um, simulation is possible in certain domains where you do build a
[00:18:56.160 --> 00:19:02.400]   world model, uh, which is closer to robotics and all the work that's happening in the physical AI space,
[00:19:02.400 --> 00:19:08.560]   right. But in the, in the real world applications, which is what we're targeting, uh, you will have
[00:19:08.560 --> 00:19:12.960]   imperfect things. So you have to actually experience the real world and you have to collect some data
[00:19:12.960 --> 00:19:18.320]   and that data is not going to be in any way complete, nor will it complete early search,
[00:19:18.320 --> 00:19:26.240]   the exponential search space that could exist.

