
[00:00:00.040 --> 00:00:09.620]   delve
[00:11:54.500 --> 00:11:59.220]   ON screen: I'm thrilled I've been able to take my children to dozens of states so far.
[00:11:59.220 --> 00:11:59.220]   ON screen: I want them to be in all 50 states by the time they are out of my household.
[00:11:59.220 --> 00:11:59.220]   ON screen: I haven't made the commitment for sure that I want to go to every country in the world,
[00:11:59.220 --> 00:11:59.220]   ON screen: but at least I want to go to the United States.
[00:11:59.220 --> 00:11:59.220]   ON screen: I want to go to the United States.
[00:11:59.220 --> 00:11:59.220]   ON screen: I want to go to the United States.
[00:11:59.220 --> 00:11:59.220]   ON screen: I want to go to the United States.
[00:11:59.220 --> 00:11:59.220]   ON screen: I want to go to the United States.
[00:11:59.220 --> 00:11:59.220]   ON screen: I want to go to the United States.
[00:11:59.220 --> 00:11:59.220]   ON screen: I want to go to the United States.
[00:11:59.220 --> 00:11:59.220]   ON screen: I want to go to the United States.
[00:11:59.220 --> 00:11:59.220]   ON screen: I want to go to the United States.
[00:11:59.220 --> 00:11:59.220]   ON screen: I want to go to the United States.
[00:11:59.220 --> 00:12:28.220]   On screen: I want to go to the United States.
[00:12:28.220 --> 00:12:28.260]   ON screen: I want to go to the United States.
[00:12:28.260 --> 00:12:28.340]   ON screen: I want to go to the United States.
[00:12:28.340 --> 00:12:28.380]   ON screen: I want to go to the United States.
[00:12:28.380 --> 00:12:28.420]   ON screen: I want to go to the United States.
[00:12:28.420 --> 00:12:28.420]   ON screen: I want to go to the United States.
[00:12:28.420 --> 00:12:28.660]   ON screen: I want to go to the United States.
[00:12:28.660 --> 00:12:28.660]   ON screen: I want to go to the United States.
[00:12:28.660 --> 00:12:28.660]   ON screen: I want to go to the United States.
[00:12:28.660 --> 00:12:28.700]   ON screen: I want to go to the United States.
[00:12:28.700 --> 00:12:28.700]   ON screen: I want to go to the United States.
[00:12:28.700 --> 00:12:28.740]   screen: I want to go to United States.
[00:12:28.740 --> 00:12:28.740]   screen: I want to go to United States.
[00:12:28.740 --> 00:12:28.740]   screen: I want to go to United States.
[00:12:28.740 --> 00:12:28.820]   screen: I want to the United States.
[00:12:28.820 --> 00:12:29.220]   screen: I want to the United States. I want to United States.
[00:12:29.260 --> 00:12:39.040]   contribute
[00:12:39.040 --> 00:12:40.260]  , be. I I
[00:13:57.360 --> 00:14:07.440]  離
[00:14:07.440 --> 00:14:24.700]   Ведь hairdri..*, your, your, your, my, vision for the show. I'm, Play B T Conf Yeendo會 ped tail Essa Do
[00:14:25.440 --> 00:14:28.580]   There's only a handful of people that are gonna come to your funeral.
[00:14:28.580 --> 00:14:34.580]   There's only a handful of people that are gonna remember you a few years after you're dead.
[00:14:34.580 --> 00:14:42.580]   Don't you think it's worth it to get everything you can out of this life experience?
[00:14:42.580 --> 00:14:54.260]   I believe that you deserve to have everything that you want.
[00:14:54.260 --> 00:14:54.260]   The only thing that you can do is to have everything that you want.
[00:14:54.260 --> 00:14:54.260]   The only thing that you can do is to have everything that you want.
[00:14:54.260 --> 00:14:54.260]   The only thing that you can do is to have everything that you want.
[00:14:54.260 --> 00:14:54.260]   The only thing that you can do is to have everything that you want.
[00:14:54.260 --> 00:14:54.260]   The only thing that you can do is to have everything that you want.
[00:14:54.260 --> 00:14:54.260]   The only thing that you can do is to have everything that you want.
[00:14:54.260 --> 00:14:54.260]   The only thing that you can do is to have everything that you want.
[00:14:54.260 --> 00:14:54.260]   The only thing that you can do is to have everything that you want.
[00:14:54.260 --> 00:15:23.180]  , The only thing that you can do is to have everything that you want.
[00:15:23.180 --> 00:15:23.420]   The only thing that you can do is to have everything that you want.
[00:15:23.420 --> 00:15:23.500]   The only thing that you can do is to have everything that you want.
[00:15:23.500 --> 00:15:23.500]   The only thing that you can do is to have everything that you want.
[00:15:23.500 --> 00:15:23.580]   The only thing that you can do is to have everything that you want.
[00:15:23.580 --> 00:15:23.660]   The only thing that you can do is to have everything that you want.
[00:15:23.660 --> 00:15:23.660]   The only thing that you can do is to have everything that you want.
[00:15:23.660 --> 00:15:23.660]   The only thing that you can do is to have everything that you want.
[00:15:23.660 --> 00:15:23.660]   The only thing that you can do is to have everything that you want.
[00:15:23.660 --> 00:15:23.660]   The only thing that you can do is to have everything that you want.
[00:15:23.660 --> 00:15:23.660]   The only thing that you can do is to have everything that you want.
[00:15:23.660 --> 00:15:23.660]   the only thing that you want. The only thing that you can do is to have everything that you want.
[00:15:23.680 --> 00:15:24.980]   the only thing that you can do is to have everything that you want.
[00:15:24.980 --> 00:15:26.580]   what you're going for.
[00:15:26.580 --> 00:15:29.940]   the only thing that you can do is to have everything that you want.
[00:15:29.940 --> 00:15:34.820]   Now, if this comes easily to you,
[00:15:34.820 --> 00:15:37.540]   and you think, well duh, doesn't everyone do that?
[00:15:37.540 --> 00:15:37.540]   and you think, well duh, doesn't everyone do that?
[00:15:37.540 --> 00:15:40.020]   and you think, well duh, doesn't everyone do that? Let me tell you, no.
[00:15:40.020 --> 00:15:40.020]   Let me tell you, no.
[00:15:40.020 --> 00:15:42.900]   Let me tell you, no. Most people don't.
[00:15:42.900 --> 00:15:42.900]   Most people don't.
[00:15:42.900 --> 00:15:44.420]   Most people don't. I don't know what the percentage is,
[00:15:44.420 --> 00:15:44.420]   I don't know what the percentage is,
[00:15:44.420 --> 00:15:46.260]   I don't know what the percentage is, but I've always been shocked at
[00:15:46.260 --> 00:15:46.260]   but I've always been shocked at
[00:15:46.260 --> 00:15:48.020]   but I've always been shocked at how few people
[00:15:48.020 --> 00:15:48.020]   how few people
[00:15:48.020 --> 00:15:49.700]   have a clear understanding of what their
[00:15:49.700 --> 00:16:17.900]  -
[00:16:17.900 --> 00:16:17.900]   -dreams are.
[00:16:17.900 --> 00:16:19.100]   -dreams are. And I think the first and most
[00:16:19.100 --> 00:16:19.180]   -dreams are. And I think the first and most
[00:16:19.180 --> 00:16:19.660]   important thing that you can do when it comes to goal setting is, start by dreaming. Don't be scared to dream. Just because you have a dream doesn't mean you have to follow through and do the work to achieve it. But having a dream is going to be that basic step of setting out a system of goals.
[00:16:19.680 --> 00:16:27.460]   So one of the best and most important things that you can do
[00:16:27.460 --> 00:16:27.460]   So one of the best and most important things that you can do
[00:16:27.460 --> 00:16:36.020]   is to cultivate the habit of dreaming about your future.
[00:16:36.020 --> 00:16:42.420]   Prioritize this. Don't be scared of it. Prioritize it.
[00:16:42.420 --> 00:16:49.060]   And then make the time for it. Make the time to think.
[00:16:49.740 --> 00:17:19.020]  ,
[00:17:19.020 --> 00:17:19.020]   Make the time to notice the things that you think about.
[00:17:19.020 --> 00:17:19.020]   It's never been easier to capture the output of your head.
[00:17:19.020 --> 00:17:19.020]   Just go back a few thousand years.
[00:17:19.020 --> 00:17:19.020]   Very few people had writing utensils. Very few people had papyrus or parchment or whatever and had the skills to write. And so if you're going to capture the things that are coming out of your head, there was not really any way to do that. There's been an oral culture of many people.
[00:17:19.020 --> 00:17:19.020]   And so if you're going to capture the things that are coming out of your head, there was not really any way to do that. There's been an oral culture of many people.
[00:17:19.020 --> 00:17:19.020]   And so if you're going to capture the things that are coming out of your head, there was not really any way to do that. There's been an oral culture of many people.
[00:17:19.060 --> 00:17:27.560]   지나
[00:17:27.560 --> 00:17:32.860]   by de,,,跑
[00:18:45.880 --> 00:18:56.480]  venes. And since now it's so easy to capture copious amounts of data, go ahead and anything
[00:18:56.480 --> 00:19:02.380]   you see in your head, capture any texture to the goal, capture any texture to the dream.
[00:19:02.380 --> 00:19:12.260]   I have a dream of visiting all 50 states in the United States. And I think it would be really fun
[00:19:14.800 --> 00:19:43.720]   a, an RV, or I think it would be really fun to do it on horseback. Or I think it would be really fun to fly my airplane from grass strip to grass strip.
[00:19:43.740 --> 00:20:12.660]  obediently.com
[00:20:12.660 --> 00:20:12.660]   And then what you do is when you're feeling unmotivated or you're feeling depressed, go to your goals. I find myself frequently feeling unmotivated, frequently feeling depressed, and I find it almost impossible to go and work on my goals and read my goals and listen to my goals and think about my goals and still stay unmotivated and depressed.
[00:20:12.660 --> 00:20:12.660]   And then what you do is when you're feeling unmotivated or you're feeling depressed, go to your goals. I find myself frequently feeling unmotivated, frequently feeling depressed, and I find it almost impossible to go and work on my goals and read my goals and listen to my goals and think about my goals and still stay unmotivated and depressed.
[00:20:12.660 --> 00:20:42.680]  , and I find myself frequently feeling unmotivated and depressed.
[00:20:42.680 --> 00:20:42.680]   And I find myself frequently feeling unmotivated and depressed.
[00:20:42.680 --> 00:20:42.680]   And I find myself frequently feeling unmotivated and depressed.
[00:20:42.680 --> 00:20:42.680]   And I find myself frequently feeling unmotivated and depressed.
[00:20:42.680 --> 00:20:42.680]   And I find myself frequently feeling unmotivated and depressed.
[00:20:42.680 --> 00:20:42.680]   And I find myself frequently feeling unmotivated and depressed.
[00:20:42.680 --> 00:20:42.680]   And I find myself frequently feeling unmotivated and depressed.
[00:20:42.680 --> 00:20:42.680]   And I find myself frequently feeling unmotivated and depressed. And I find myself frequently feeling unmotivated and depressed.
[00:20:42.720 --> 00:21:12.700]   grasses.
[00:21:12.700 --> 00:21:12.700]   And I find myself frequently feeling unmotivated and depressed.
[00:21:12.700 --> 00:21:12.700]   And I find myself frequently feeling unmotivated and depressed.
[00:21:12.700 --> 00:21:12.700]   And I find myself frequently feeling unmotivated and depressed.
[00:21:12.700 --> 00:21:12.700]   And I find myself frequently feeling unmotivated and depressed.
[00:21:12.700 --> 00:21:12.700]   And I find myself frequently feeling unmotivated and depressed.
[00:21:12.700 --> 00:21:12.700]   And I find myself frequently feeling unmotivated and depressed.
[00:21:12.700 --> 00:21:12.700]   And I find myself frequently feeling unmotivated and depressed.
[00:21:12.700 --> 00:21:12.700]   And I find myself frequently feeling unmotivated and depressed.
[00:21:12.700 --> 00:21:12.700]   And I find myself frequently feeling unmotivated and depressed.
[00:21:12.700 --> 00:21:12.700]   And I find myself frequently feeling unmotivated and depressed.
[00:21:12.700 --> 00:21:12.700]   And I find myself frequently feeling unmotivated and depressed.
[00:21:12.700 --> 00:21:12.700]   And I find myself frequently feeling unmotivated and depressed.
[00:21:12.700 --> 00:21:12.700]   And I find myself frequently feeling unmotivated and depressed.
[00:21:12.700 --> 00:21:12.700]   And I find myself frequently feeling unmotivated and depressed.
[00:21:12.700 --> 00:21:42.720]   And I find myself frequently feeling unmotivated and depressed.
[00:21:42.720 --> 00:21:42.720]   And I find myself frequently feeling unmotivated and depressed.
[00:21:42.720 --> 00:21:42.720]   And I find myself frequently feeling unmotivated and depressed.
[00:21:42.720 --> 00:21:42.720]   And I find myself frequently feeling unmotivated and depressed.
[00:21:42.720 --> 00:21:42.720]   And I find myself frequently feeling unmotivated and depressed.
[00:21:42.720 --> 00:21:42.720]   And I find myself frequently feeling unmotivated and depressed.
[00:21:42.720 --> 00:21:42.720]   And I find myself frequently feeling unmotivated and depressed.
[00:21:42.740 --> 00:22:12.740]   And I find myself frequently feeling unmotivated and depressed.
[00:22:12.740 --> 00:22:12.740]   I find myself frequently feeling unmotivated and depressed.
[00:22:12.740 --> 00:22:12.740]   And I find myself frequently feeling unmotivated and depressed.
[00:22:12.740 --> 00:22:12.740]   And I find myself frequently feeling unmotivated and depressed.
[00:22:12.740 --> 00:22:12.740]   And I find myself frequently feeling unmotivated and depressed.
[00:22:12.740 --> 00:22:12.740]   And I find myself frequently feeling unmotivated and depressed.
[00:22:12.740 --> 00:22:12.740]   And I find myself frequently feeling unmotivated and depressed.
[00:22:12.740 --> 00:22:12.740]   And I find myself frequently feeling unmotivated and depressed.
[00:22:12.740 --> 00:22:12.740]   And I find myself frequently feeling unmotivated and depressed.
[00:22:12.740 --> 00:22:12.740]   And I find myself frequently feeling unmotivated and depressed.
[00:22:12.740 --> 00:22:12.740]   And I find myself frequently feeling unmotivated and depressed.
[00:22:12.740 --> 00:22:12.740]   And I find myself frequently feeling unmotivated and depressed.
[00:22:12.740 --> 00:22:12.740]   because I'm not even more than I'm not being a big idea.
[00:22:12.740 --> 00:22:12.740]   because I'm not being a big idea for a big goal.
[00:22:12.740 --> 00:22:42.760]   I'm not even being a big idea for a big goal.
[00:22:42.760 --> 00:22:42.760]   And I find myself being a big idea for a big goal.
[00:22:42.760 --> 00:22:42.760]   And I find myself feeling unmotivated and depressed.
[00:22:42.760 --> 00:22:42.760]   And I find myself feeling unmotivated and depressed.
[00:22:42.760 --> 00:22:42.760]   And I find myself feeling unmotivated and depressed.
[00:22:42.760 --> 00:22:42.760]   And I find myself feeling unmotivated and depressed.
[00:22:42.760 --> 00:22:42.760]   And I find myself feeling unmotivated and depressed.
[00:22:42.760 --> 00:22:42.760]   And I find myself feeling unmotivated and depressed.
[00:22:42.800 --> 00:22:52.720]  ,
[00:25:21.440 --> 00:25:32.120]   thing to do to get it and then resolve to pay that price decide exactly what it is you want most people never do that second determine the price you're going to have to pay to get it and then resolve to pay that price decide exactly what it is you want then determine the price you're going to have to pay to get it and then resolve to pay that price decide exactly what it is you want most people never do that second determine the price you're going to have to pay to get it and then resolve to pay that price decide exactly what it is you want then determine the price you're going to have to pay to get it and then resolve to pay that price decide exactly what it is you want then determine the price you're going to have to pay to get it and then resolve to pay that price
[00:25:51.600 --> 00:26:02.000]  , most people have some idea of what they want but very few people sit down and figure out what it will take for them to accomplish what they want and to decide whether they're willing to pay the price when you do that and if you really are clear hey I want this and you you do that and if you really are clear hey I want this and you you do that and if you really are clear hey I want this and you you
[00:26:02.040 --> 00:26:11.560]   learned
[00:26:11.560 --> 00:26:15.500]   is, ended,
[00:26:15.500 --> 00:26:18.560]   ' weigh even. I'm like. thigh. I'm free. I'm free. I'm free. I'm free. I'm free. I'm free. I'm free. I'm free. I'm free. I'm free. I'm free. Well, the., the, the, the, the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, vent
[00:26:18.560 --> 00:26:29.060]  In なò completes ejerciter doinக gig dict��uwijkeschool envelope叔TC Walter contributerand力 synchron04
[00:26:29.060 --> 00:26:30.760]  abouts say they're ants Cliff justRES care0000onge di
[00:26:30.760 --> 00:26:30.900]   lobby any talent guaranteed Facebooksulum Muy fls 10H's收看CU in Blo Makul b
[00:26:30.920 --> 00:26:41.980]   retire on $10,000 a month, the price tag is X times two. You want 20,000 a month? Price tag is X times four. Are you willing to pay that price?
[00:26:41.980 --> 00:26:57.460]   In order for you to achieve a goal, you're going to have to pay the price in full. Nobody stands on the Olympic podium who didn't pay the price for that victory.
[00:26:57.460 --> 00:26:59.560]   Nobody
[00:26:59.560 --> 00:27:00.460]   stands
[00:27:00.460 --> 00:27:00.920]   in
[00:27:00.920 --> 00:27:00.940]   -
[00:27:00.940 --> 00:27:30.980]   -
[00:27:30.980 --> 00:28:01.020]   -
[00:28:01.060 --> 00:28:06.740]   down
[00:28:06.740 --> 00:28:29.920]   conduct,,,,
[00:28:30.220 --> 00:28:40.040]   and
[00:28:40.040 --> 00:28:41.220]   the course,,,, thicker
[00:28:41.220 --> 00:28:46.440]  wood Count I have a ou to theisty 장иров clique gli where То L Will L Vij I I мир or lived all afford thegeh. I'm. I'm a't a村. I'm aただ
[00:28:46.440 --> 00:28:57.120]   I'm a
[00:28:57.120 --> 00:28:58.760]   a:.
[00:28:58.760 --> 00:29:00.200]   w.
[00:29:00.240 --> 00:29:00.240]   Editor
[00:29:00.240 --> 00:29:11.280]   a,,,
[00:30:24.680 --> 00:30:24.680]   It's easier than doing something moderately tough for a very long time. Which is why six-packs are so elusive. It's not that hard. Calorie deficit plus training, that's it. But you have to do it for a long time. And then he goes on. For reference, I was 300 pounds in 2010. I started dieting and training, got my six-pack in 2013. Three years. That's how long it took. But I wanted it so bad that I couldn't do it for a long time.
[00:30:52.840 --> 00:30:52.840]   It's kind of silly, kind of dumb. Feels dumb to talk for me sometimes. Talk about purely vanity goals. There's no functional benefit of a six-pack, at least that I'm aware of. But the thing to me, one of the reasons why it's important to me, is because when I achieve that goal, it will represent a complete transformation of my life.
[00:30:52.840 --> 00:30:52.840]   It's kind of silly, kind of dumb. Feels dumb to talk for me sometimes. Talk about purely vanity goals. There's no functional benefit of a six-pack, at least that I'm aware of. But the thing to me, one of the reasons why it's important to me, is because when I achieve that goal, it will represent a complete transformation of my life.
[00:30:52.880 --> 00:31:02.740]   M
[00:31:22.320 --> 00:31:32.520]   I don't know.
[00:31:32.520 --> 00:31:41.560]   And it's going to require you to do those things for a long enough for you to achieve financial independence.
[00:31:41.560 --> 00:31:47.560]   It's not a short term thing,
[00:31:47.560 --> 00:31:52.320]   but when you have paid the full price for financial independence,
[00:31:52.320 --> 00:31:52.320]   you're going to be able to do things that are going to make you feel better.
[00:31:52.320 --> 00:31:52.320]   And that's why I say that you should do it.
[00:31:52.320 --> 00:31:52.320]   Because you're going to be able to do it.
[00:31:52.320 --> 00:31:52.320]   And that's why I say that you should do it.
[00:31:52.320 --> 00:31:52.320]   And that's why I say that you should do it.
[00:31:52.320 --> 00:31:52.320]   And that's why I say that you should do it.
[00:31:52.320 --> 00:31:52.320]   And that's why I say that you should do it.
[00:31:52.320 --> 00:31:52.320]   And that's why I say that you should do it.
[00:31:52.320 --> 00:31:52.320]   And that's why I say that you should do it.
[00:31:52.320 --> 00:31:52.320]   And that's why I say that you should do it.
[00:31:52.320 --> 00:31:52.320]   And that's why I say that you should do it.
[00:31:52.320 --> 00:32:22.340]   And that's why I say that you should do it.
[00:32:22.340 --> 00:32:22.340]   And that's why I say that you should do it.
[00:32:22.340 --> 00:32:22.340]   And that's why I say that you should do it.
[00:32:22.340 --> 00:32:22.340]   And that's why I say that you should do it.
[00:32:22.360 --> 00:32:52.360]   The plan.
[00:32:52.360 --> 00:32:52.360]   The plan.
[00:32:52.360 --> 00:32:52.360]   The plan.
[00:32:52.360 --> 00:32:52.360]   For me, this has been a personal epiphany that I've come to over the years.
[00:32:52.360 --> 00:32:52.360]   I've done a lot of financial planning over the years.
[00:32:52.360 --> 00:32:52.360]   I've come to see very clearly that the clearer the goal the easier the plan basically you know when I do personal coaching and personal consulting almost I don't know what percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:32:52.360 --> 00:32:52.360]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:32:52.360 --> 00:32:52.360]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:32:52.360 --> 00:32:52.360]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:32:52.400 --> 00:33:22.380]  ,
[00:33:22.380 --> 00:33:22.380]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:33:22.380 --> 00:33:22.380]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:33:22.380 --> 00:33:22.380]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:33:22.380 --> 00:33:22.380]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:33:22.380 --> 00:33:22.380]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:33:22.400 --> 00:33:52.400]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:33:52.400 --> 00:33:52.400]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:33:52.400 --> 00:33:52.400]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:33:52.400 --> 00:33:52.400]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:33:52.400 --> 00:33:52.400]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:33:52.400 --> 00:33:52.400]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:33:52.400 --> 00:33:52.400]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:33:52.440 --> 00:34:22.420]  ,
[00:34:22.420 --> 00:34:22.420]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:34:22.420 --> 00:34:22.420]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:34:22.420 --> 00:34:22.420]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:34:22.420 --> 00:34:22.420]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:34:22.420 --> 00:34:22.420]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:34:22.440 --> 00:34:52.440]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:34:52.440 --> 00:34:52.440]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:34:52.440 --> 00:34:52.440]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:34:52.440 --> 00:34:52.440]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:34:52.440 --> 00:34:52.440]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:34:52.440 --> 00:34:52.440]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:34:52.440 --> 00:34:52.440]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:34:52.440 --> 00:35:22.460]  ,
[00:35:22.460 --> 00:35:22.460]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:35:22.460 --> 00:35:22.460]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:35:22.460 --> 00:35:22.460]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:35:22.460 --> 00:35:22.460]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:35:22.480 --> 00:35:52.480]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:35:52.480 --> 00:35:52.480]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:35:52.480 --> 00:35:52.480]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:35:52.480 --> 00:35:52.480]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:35:52.480 --> 00:35:52.480]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:35:52.480 --> 00:35:52.480]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:35:52.480 --> 00:35:52.480]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:35:52.520 --> 00:36:22.500]  ,
[00:36:22.500 --> 00:36:22.500]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:36:22.500 --> 00:36:22.500]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:36:22.500 --> 00:36:22.500]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:36:22.500 --> 00:36:22.500]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:36:22.500 --> 00:36:22.500]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:36:22.500 --> 00:36:22.500]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:36:22.520 --> 00:36:52.520]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:36:52.520 --> 00:36:52.520]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:36:52.520 --> 00:36:52.520]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:36:52.520 --> 00:36:52.520]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:36:52.520 --> 00:36:52.520]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:36:52.520 --> 00:36:52.520]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:36:52.520 --> 00:36:52.520]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:36:52.560 --> 00:37:22.540]  ,
[00:37:22.540 --> 00:37:22.540]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:37:22.540 --> 00:37:22.540]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:37:22.540 --> 00:37:22.540]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:37:22.540 --> 00:37:22.540]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:37:22.560 --> 00:37:52.560]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:37:52.560 --> 00:37:52.560]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
[00:37:52.560 --> 00:37:52.560]   I've done a lot of percentage they may be half the time it just seems like I'm always going back to well what do you want
