
[00:00:00.000 --> 00:00:04.880]   Well, good morning.
[00:01:39.940 --> 00:01:40.940]   And so we ask, "How can I be sure?"
[00:01:40.940 --> 00:01:41.940]   And so we ask, "How can I be sure?"
[00:01:41.940 --> 00:01:42.940]   And so we ask, "How can I be sure?"
[00:01:42.940 --> 00:01:43.940]   And so we ask, "How can I be sure?"
[00:01:43.940 --> 00:01:44.940]   And so we ask, "How can I be sure?"
[00:01:44.940 --> 00:01:45.940]   And so we ask, "How can I be sure?"
[00:01:45.940 --> 00:01:46.940]   And so we ask, "How can I be sure?"
[00:01:46.940 --> 00:01:47.940]   And so we ask, "How can I be sure?"
[00:01:47.940 --> 00:01:48.940]   And so we ask, "How can I be sure?"
[00:01:48.940 --> 00:01:49.940]   And so we ask, "How can I be sure?"
[00:01:49.940 --> 00:01:50.940]   And so we ask, "How can I be sure?"
[00:01:50.940 --> 00:01:51.940]   And so we ask, "How can I be sure?"
[00:01:51.940 --> 00:01:52.940]   And so we ask, "How can I be sure?"
[00:01:52.940 --> 00:01:53.940]   And so we ask, "How can I be sure?"
[00:01:53.940 --> 00:01:54.940]   And so we ask, "How can I be sure?"
[00:01:54.940 --> 00:01:55.940]   And so we ask, "How can I be sure?"
[00:01:55.940 --> 00:01:56.940]   And so we ask, "How can I be sure?"
[00:01:56.940 --> 00:01:57.940]   And so we ask, "How can I be sure?"
[00:01:57.940 --> 00:01:58.940]   And so we ask, "How can I be sure?"
[00:01:58.940 --> 00:01:59.940]   And so we ask, "How can I be sure?"
[00:01:59.940 --> 00:02:00.940]   And so we ask, "How can I be sure?"
[00:02:00.940 --> 00:02:01.940]   And so we ask, "How can I be sure?"
[00:02:01.940 --> 00:02:02.940]   And so we ask, "How can I be sure?"
[00:02:02.940 --> 00:02:03.940]   And so we ask, "How can I be sure?"
[00:02:03.940 --> 00:02:04.940]   And so we ask, "How can I be sure?"
[00:02:04.940 --> 00:02:05.940]   And so we ask, "How can I be sure?"
[00:02:05.940 --> 00:02:06.940]   And so we ask, "How can I be sure?"
[00:02:06.940 --> 00:02:07.940]   And so we ask, "How can I be sure?"
[00:02:07.940 --> 00:02:08.940]   And so we ask, "How can I be sure?"
[00:02:08.940 --> 00:02:09.940]   And so we ask, "How can I be sure?"
[00:02:09.940 --> 00:02:10.940]   And so we ask, "How can I be sure?"
[00:02:10.940 --> 00:02:11.940]   And so we ask, "How can I be sure?"
[00:02:11.940 --> 00:02:12.940]   And so we ask, "How can I be sure?"
[00:02:12.940 --> 00:02:13.940]   And so we ask, "How can I be sure?"
[00:02:13.940 --> 00:02:14.940]   And so we ask, "How can I be sure?"
[00:02:14.940 --> 00:02:15.940]   And so we ask, "How can I be sure?"
[00:02:15.940 --> 00:02:16.940]   And so we ask, "How can I be sure?"
[00:02:16.940 --> 00:02:17.940]   And so we ask, "How can I be sure?"
[00:02:17.940 --> 00:02:18.940]   And so we ask, "How can I be sure?"
[00:02:18.940 --> 00:02:19.940]   And so we ask, "How can I be sure?"
[00:02:19.940 --> 00:02:20.940]   And so we ask, "How can I be sure?"
[00:02:20.940 --> 00:02:21.940]   And so we ask, "How can I be sure?"
[00:02:21.940 --> 00:02:22.940]   And so we ask, "How can I be sure?"
[00:02:22.940 --> 00:02:23.940]   And so we ask, "How can I be sure?"
[00:02:23.940 --> 00:02:24.940]   And so we ask, "How can I be sure?"
[00:02:24.940 --> 00:02:25.940]   And so we ask, "How can I be sure?"
[00:02:25.940 --> 00:02:26.940]   And so we ask, "How can I be sure?"
[00:02:26.940 --> 00:02:27.940]   And so we ask, "How can I be sure?"
[00:02:27.940 --> 00:02:28.940]   And so we ask, "How can I be sure?"
[00:02:28.940 --> 00:02:29.940]   And so we ask, "How can I be sure?"
[00:02:29.940 --> 00:02:30.940]   And so we ask, "How can I be sure?"
[00:02:30.940 --> 00:02:31.940]   And so we ask, "How can I be sure?"
[00:02:31.940 --> 00:02:32.940]   And so we ask, "How can I be sure?"
[00:02:32.940 --> 00:02:33.940]   And so we ask, "How can I be sure?"
[00:02:33.940 --> 00:02:34.940]   And so we ask, "How can I be sure?"
[00:02:34.940 --> 00:02:35.940]   And so we ask, "How can I be sure?"
[00:02:35.940 --> 00:02:36.940]   And so we ask, "How can I be sure?"
[00:02:36.940 --> 00:02:37.940]   And so we ask, "How can I be sure?"
[00:02:37.940 --> 00:02:38.940]   And so we ask, "How can I be sure?"
[00:02:38.940 --> 00:02:39.940]   And so we ask, "How can I be sure?"
[00:02:39.940 --> 00:02:40.940]   And so we ask, "How can I be sure?"
[00:02:40.940 --> 00:02:41.940]   And so we ask, "How can I be sure?"
[00:02:41.940 --> 00:02:42.940]   And so we ask, "How can I be sure?"
[00:02:42.940 --> 00:02:43.940]   And so we ask, "How can I be sure?"
[00:02:43.940 --> 00:02:44.940]   And so we ask, "How can I be sure?"
[00:02:44.940 --> 00:02:45.940]   And so we ask, "How can I be sure?"
[00:02:45.940 --> 00:02:46.940]   And so we ask, "How can I be sure?"
[00:02:46.940 --> 00:02:47.940]   And so we ask, "How can I be sure?"
[00:02:47.940 --> 00:02:48.940]   And so we ask, "How can I be sure?"
[00:02:48.940 --> 00:02:49.940]   And so we ask, "How can I be sure?"
[00:02:49.940 --> 00:02:50.940]   And so we ask, "How can I be sure?"
[00:02:50.940 --> 00:02:51.940]   And so we ask, "How can I be sure?"
[00:02:51.940 --> 00:02:52.940]   And so we ask, "How can I be sure?"
[00:02:52.940 --> 00:02:53.940]   And so we ask, "How can I be sure?"
[00:02:53.940 --> 00:02:54.940]   And so we ask, "How can I be sure?"
[00:02:54.940 --> 00:02:55.940]   And so we ask, "How can I be sure?"
[00:02:55.940 --> 00:02:56.940]   And so we ask, "How can I be sure?"
[00:02:56.940 --> 00:02:57.940]   And so we ask, "How can I be sure?"
[00:02:57.940 --> 00:02:58.940]   And so we ask, "How can I be sure?"
[00:02:58.940 --> 00:02:59.940]   And so we ask, "How can I be sure?"
[00:02:59.940 --> 00:03:00.940]   And so we ask, "How can I be sure?"
[00:03:00.940 --> 00:03:01.940]   And so we ask, "How can I be sure?"
[00:03:01.940 --> 00:03:02.940]   And so we ask, "How can I be sure?"
[00:03:02.940 --> 00:03:03.940]   And so we ask, "How can I be sure?"
[00:03:03.940 --> 00:03:04.940]   And so we ask, "How can I be sure?"
[00:03:04.940 --> 00:03:05.940]   And so we ask, "How can I be sure?"
[00:03:05.940 --> 00:03:06.940]   And so we ask, "How can I be sure?"
[00:03:06.940 --> 00:03:07.940]   And so we ask, "How can I be sure?"
[00:03:07.940 --> 00:03:08.940]   And so we ask, "How can I be sure?"
[00:03:08.940 --> 00:03:09.940]   And so we ask, "How can I be sure?"
[00:03:09.940 --> 00:03:10.940]   And so we ask, "How can I be sure?"
[00:03:10.940 --> 00:03:11.940]   And so we ask, "How can I be sure?"
[00:03:11.940 --> 00:03:12.940]   And so we ask, "How can I be sure?"
[00:03:12.940 --> 00:03:13.940]   And so we ask, "How can I be sure?"
[00:03:13.940 --> 00:03:14.940]   And so we ask, "How can I be sure?"
[00:03:14.940 --> 00:03:15.940]   And so we ask, "How can I be sure?"
[00:03:15.940 --> 00:03:16.940]   And so we ask, "How can I be sure?"
[00:03:16.940 --> 00:03:17.940]   And so we ask, "How can I be sure?"
[00:03:17.940 --> 00:03:18.940]   And so we ask, "How can I be sure?"
[00:03:18.940 --> 00:03:19.940]   And so we ask, "How can I be sure?"
[00:03:19.940 --> 00:03:20.940]   And so we ask, "How can I be sure?"
[00:03:20.940 --> 00:03:21.940]   And so we ask, "How can I be sure?"
[00:03:21.940 --> 00:03:22.940]   And so we ask, "How can I be sure?"
[00:03:22.940 --> 00:03:23.940]   And so we ask, "How can I be sure?"
[00:03:23.940 --> 00:03:24.940]   And so we ask, "How can I be sure?"
[00:03:24.940 --> 00:03:25.940]   And so we ask, "How can I be sure?"
[00:03:25.940 --> 00:03:26.940]   And so we ask, "How can I be sure?"
[00:03:26.940 --> 00:03:27.940]   And so we ask, "How can I be sure?"
[00:03:27.940 --> 00:03:28.940]   And so we ask, "How can I be sure?"
[00:03:28.940 --> 00:03:29.940]   And so we ask, "How can I be sure?"
[00:03:29.940 --> 00:03:30.940]   And so we ask, "How can I be sure?"
[00:03:30.940 --> 00:03:31.940]   And so we ask, "How can I be sure?"
[00:03:31.940 --> 00:03:32.940]   And so we ask, "How can I be sure?"
[00:03:32.940 --> 00:03:33.940]   And so we ask, "How can I be sure?"
[00:03:33.940 --> 00:03:34.940]   And so we ask, "How can I be sure?"
[00:03:34.940 --> 00:03:35.940]   And so we ask, "How can I be sure?"
[00:03:35.940 --> 00:03:36.940]   And so we ask, "How can I be sure?"
[00:03:36.940 --> 00:03:37.940]   And so we ask, "How can I be sure?"
[00:03:37.940 --> 00:03:38.940]   And so we ask, "How can I be sure?"
[00:03:38.940 --> 00:03:39.940]   And so we ask, "How can I be sure?"
[00:03:39.940 --> 00:03:40.940]   And so we ask, "How can I be sure?"
[00:03:40.940 --> 00:03:41.940]   And so we ask, "How can I be sure?"
[00:03:41.940 --> 00:03:42.940]   And so we ask, "How can I be sure?"
[00:03:42.940 --> 00:03:43.940]   And so we ask, "How can I be sure?"
[00:03:43.940 --> 00:03:44.940]   And so we ask, "How can I be sure?"
[00:03:44.940 --> 00:03:45.940]   And so we ask, "How can I be sure?"
[00:03:45.940 --> 00:03:46.940]   And so we ask, "How can I be sure?"
[00:03:46.940 --> 00:03:47.940]   And so we ask, "How can I be sure?"
[00:03:47.940 --> 00:03:48.940]   And so we ask, "How can I be sure?"
[00:03:48.940 --> 00:03:49.940]   And so we ask, "How can I be sure?"
[00:03:49.940 --> 00:03:50.940]   And so we ask, "How can I be sure?"
[00:03:50.940 --> 00:03:51.940]   And so we ask, "How can I be sure?"
[00:03:51.940 --> 00:03:52.940]   And so we ask, "How can I be sure?"
[00:03:52.940 --> 00:03:53.940]   And so we ask, "How can I be sure?"
[00:03:53.940 --> 00:03:54.940]   And so we ask, "How can I be sure?"
[00:03:54.940 --> 00:03:55.940]   And so we ask, "How can I be sure?"
[00:03:55.940 --> 00:03:56.940]   And so we ask, "How can I be sure?"
[00:03:56.940 --> 00:03:57.940]   And so we ask, "How can I be sure?"
[00:03:57.940 --> 00:03:58.940]   And so we ask, "How can I be sure?"
[00:03:58.940 --> 00:03:59.940]   And so we ask, "How can I be sure?"
[00:03:59.940 --> 00:04:00.940]   And so we ask, "How can I be sure?"
[00:04:00.940 --> 00:04:01.940]   And so we ask, "How can I be sure?"
[00:04:01.940 --> 00:04:02.940]   And so we ask, "How can I be sure?"
[00:04:02.940 --> 00:04:03.940]   And so we ask, "How can I be sure?"
[00:04:03.940 --> 00:04:04.940]   And so we ask, "How can I be sure?"
[00:04:04.940 --> 00:04:05.940]   And so we ask, "How can I be sure?"
[00:04:05.940 --> 00:04:06.940]   And so we ask, "How can I be sure?"
[00:04:06.940 --> 00:04:07.940]   And so we ask, "How can I be sure?"
[00:04:07.940 --> 00:04:08.940]   And so we ask, "How can I be sure?"
[00:04:08.940 --> 00:04:09.940]   And so we ask, "How can I be sure?"
[00:04:09.940 --> 00:04:10.940]   And so we ask, "How can I be sure?"
[00:04:10.940 --> 00:04:11.940]   And so we ask, "How can I be sure?"
[00:04:11.940 --> 00:04:12.940]   And so we ask, "How can I be sure?"
[00:04:12.940 --> 00:04:13.940]   And so we ask, "How can I be sure?"
[00:04:13.940 --> 00:04:14.940]   And so we ask, "How can I be sure?"
[00:04:14.940 --> 00:04:15.940]   And so we ask, "How can I be sure?"
[00:04:15.940 --> 00:04:16.940]   And so we ask, "How can I be sure?"
[00:04:16.940 --> 00:04:17.940]   And so we ask, "How can I be sure?"
[00:04:17.940 --> 00:04:18.940]   And so we ask, "How can I be sure?"
[00:04:18.940 --> 00:04:19.940]   And so we ask, "How can I be sure?"
[00:04:19.940 --> 00:04:20.940]   And so we ask, "How can I be sure?"
[00:04:20.940 --> 00:04:21.940]   And so we ask, "How can I be sure?"
[00:04:21.940 --> 00:04:22.940]   And so we ask, "How can I be sure?"
[00:04:22.940 --> 00:04:23.940]   And so we ask, "How can I be sure?"
[00:04:23.940 --> 00:04:24.940]   And so we ask, "How can I be sure?"
[00:04:24.940 --> 00:04:25.940]   And so we ask, "How can I be sure?"
[00:04:25.940 --> 00:04:26.940]   And so we ask, "How can I be sure?"
[00:04:26.940 --> 00:04:27.940]   And so we ask, "How can I be sure?"
[00:04:27.940 --> 00:04:28.940]   And so we ask, "How can I be sure?"
[00:04:28.940 --> 00:04:29.940]   And so we ask, "How can I be sure?"
[00:04:29.940 --> 00:04:30.940]   And so we ask, "How can I be sure?"
[00:04:30.940 --> 00:04:31.940]   And so we ask, "How can I be sure?"
[00:04:31.940 --> 00:04:32.940]   And so we ask, "How can I be sure?"
[00:04:32.940 --> 00:04:33.940]   And so we ask, "How can I be sure?"
[00:04:33.940 --> 00:04:34.940]   And so we ask, "How can I be sure?"
[00:04:34.940 --> 00:04:35.940]   And so we ask, "How can I be sure?"
[00:04:35.940 --> 00:04:36.940]   And so we ask, "How can I be sure?"
[00:04:36.940 --> 00:04:37.940]   And so we ask, "How can I be sure?"
[00:04:37.940 --> 00:04:38.940]   And so we ask, "How can I be sure?"
[00:04:38.940 --> 00:04:39.940]   And so we ask, "How can I be sure?"
[00:04:39.940 --> 00:04:40.940]   And so we ask, "How can I be sure?"
[00:04:40.940 --> 00:04:41.940]   And so we ask, "How can I be sure?"
[00:04:41.940 --> 00:04:42.940]   And so we ask, "How can I be sure?"
[00:04:42.940 --> 00:04:43.940]   And so we ask, "How can I be sure?"
[00:04:43.940 --> 00:04:44.940]   And so we ask, "How can I be sure?"
[00:04:44.940 --> 00:04:45.940]   And so we ask, "How can I be sure?"
[00:04:45.940 --> 00:04:46.940]   And so we ask, "How can I be sure?"
[00:04:46.940 --> 00:04:47.940]   And so we ask, "How can I be sure?"
[00:04:47.940 --> 00:04:48.940]   And so we ask, "How can I be sure?"
[00:04:48.940 --> 00:04:49.940]   And so we ask, "How can I be sure?"
[00:04:49.940 --> 00:04:50.940]   And so we ask, "How can I be sure?"
[00:04:50.940 --> 00:04:51.940]   And so we ask, "How can I be sure?"
[00:04:51.940 --> 00:04:52.940]   And so we ask, "How can I be sure?"
[00:04:52.940 --> 00:04:53.940]   And so we ask, "How can I be sure?"
[00:04:53.940 --> 00:04:54.940]   And so we ask, "How can I be sure?"
[00:04:54.940 --> 00:04:55.940]   And so we ask, "How can I be sure?"
[00:04:55.940 --> 00:04:56.940]   And so we ask, "How can I be sure?"
[00:04:56.940 --> 00:04:57.940]   And so we ask, "How can I be sure?"
[00:04:57.940 --> 00:04:58.940]   And so we ask, "How can I be sure?"
[00:04:58.940 --> 00:04:59.940]   And so we ask, "How can I be sure?"
[00:04:59.940 --> 00:05:00.940]   And so we ask, "How can I be sure?"
[00:05:00.940 --> 00:05:01.940]   And so we ask, "How can I be sure?"
[00:05:01.940 --> 00:05:02.940]   And so we ask, "How can I be sure?"
[00:05:02.940 --> 00:05:03.940]   And so we ask, "How can I be sure?"
[00:05:03.940 --> 00:05:04.940]   And so we ask, "How can I be sure?"
[00:05:04.940 --> 00:05:05.940]   And so we ask, "How can I be sure?"
[00:05:05.940 --> 00:05:06.940]   And so we ask, "How can I be sure?"
[00:05:06.940 --> 00:05:07.940]   And so we ask, "How can I be sure?"
[00:05:07.940 --> 00:05:08.940]   And so we ask, "How can I be sure?"
[00:05:08.940 --> 00:05:09.940]   And so we ask, "How can I be sure?"
[00:05:09.940 --> 00:05:10.940]   And so we ask, "How can I be sure?"
[00:05:10.940 --> 00:05:11.940]   And so we ask, "How can I be sure?"
[00:05:11.940 --> 00:05:12.940]   And so we ask, "How can I be sure?"
[00:05:12.940 --> 00:05:13.940]   And so we ask, "How can I be sure?"
[00:05:13.940 --> 00:05:14.940]   And so we ask, "How can I be sure?"
[00:05:14.940 --> 00:05:15.940]   And so we ask, "How can I be sure?"
[00:05:15.940 --> 00:05:16.940]   And so we ask, "How can I be sure?"
[00:05:16.940 --> 00:05:17.940]   And so we ask, "How can I be sure?"
[00:05:17.940 --> 00:05:18.940]   And so we ask, "How can I be sure?"
[00:05:18.940 --> 00:05:19.940]   And so we ask, "How can I be sure?"
[00:05:19.940 --> 00:05:20.940]   And so we ask, "How can I be sure?"
[00:05:20.940 --> 00:05:21.940]   And so we ask, "How can I be sure?"
[00:05:21.940 --> 00:05:22.940]   And so we ask, "How can I be sure?"
[00:05:22.940 --> 00:05:23.940]   And so we ask, "How can I be sure?"
[00:05:23.940 --> 00:05:24.940]   And so we ask, "How can I be sure?"
[00:05:24.940 --> 00:05:25.940]   And so we ask, "How can I be sure?"
[00:05:25.940 --> 00:05:26.940]   And so we ask, "How can I be sure?"
[00:05:26.940 --> 00:05:27.940]   And so we ask, "How can I be sure?"
[00:05:27.940 --> 00:05:28.940]   And so we ask, "How can I be sure?"
[00:05:28.940 --> 00:05:29.940]   And so we ask, "How can I be sure?"
[00:05:29.940 --> 00:05:30.940]   And so we ask, "How can I be sure?"
[00:05:30.940 --> 00:05:31.940]   And so we ask, "How can I be sure?"
[00:05:31.940 --> 00:05:32.940]   And so we ask, "How can I be sure?"
[00:05:32.940 --> 00:05:33.940]   And so we ask, "How can I be sure?"
[00:05:33.940 --> 00:05:34.940]   And so we ask, "How can I be sure?"
[00:05:34.940 --> 00:05:35.940]   And so we ask, "How can I be sure?"
[00:05:35.940 --> 00:05:36.940]   And so we ask, "How can I be sure?"
[00:05:36.940 --> 00:05:37.940]   And so we ask, "How can I be sure?"
[00:05:37.940 --> 00:05:38.940]   And so we ask, "How can I be sure?"
[00:05:38.940 --> 00:05:39.940]   And so we ask, "How can I be sure?"
[00:05:39.940 --> 00:05:40.940]   And so we ask, "How can I be sure?"
[00:05:40.940 --> 00:05:41.940]   And so we ask, "How can I be sure?"
[00:05:41.940 --> 00:05:42.940]   And so we ask, "How can I be sure?"
[00:05:42.940 --> 00:05:43.940]   And so we ask, "How can I be sure?"
[00:05:43.940 --> 00:05:44.940]   And so we ask, "How can I be sure?"
[00:05:44.940 --> 00:05:45.940]   And so we ask, "How can I be sure?"
[00:05:45.940 --> 00:05:46.940]   And so we ask, "How can I be sure?"
[00:05:46.940 --> 00:05:47.940]   And so we ask, "How can I be sure?"
[00:05:47.940 --> 00:05:48.940]   And so we ask, "How can I be sure?"
[00:05:48.940 --> 00:05:49.940]   And so we ask, "How can I be sure?"
[00:05:49.940 --> 00:05:50.940]   And so we ask, "How can I be sure?"
[00:05:50.940 --> 00:05:51.940]   And so we ask, "How can I be sure?"
[00:05:51.940 --> 00:05:52.940]   And so we ask, "How can I be sure?"
[00:05:52.940 --> 00:05:53.940]   And so we ask, "How can I be sure?"
[00:05:53.940 --> 00:05:54.940]   And so we ask, "How can I be sure?"
[00:05:54.940 --> 00:05:55.940]   And so we ask, "How can I be sure?"
[00:05:55.940 --> 00:05:56.940]   And so we ask, "How can I be sure?"
[00:05:56.940 --> 00:05:57.940]   And so we ask, "How can I be sure?"
[00:05:57.940 --> 00:05:58.940]   And so we ask, "How can I be sure?"
[00:05:58.940 --> 00:05:59.940]   And so we ask, "How can I be sure?"
[00:05:59.940 --> 00:06:00.940]   And so we ask, "How can I be sure?"
[00:06:00.940 --> 00:06:01.940]   And so we ask, "How can I be sure?"
[00:06:01.940 --> 00:06:02.940]   And so we ask, "How can I be sure?"
[00:06:02.940 --> 00:06:03.940]   And so we ask, "How can I be sure?"
[00:06:03.940 --> 00:06:04.940]   And so we ask, "How can I be sure?"
[00:06:04.940 --> 00:06:05.940]   And so we ask, "How can I be sure?"
[00:06:05.940 --> 00:06:06.940]   And so we ask, "How can I be sure?"
[00:06:06.940 --> 00:06:07.940]   And so we ask, "How can I be sure?"
[00:06:07.940 --> 00:06:08.940]   And so we ask, "How can I be sure?"
[00:06:08.940 --> 00:06:09.940]   And so we ask, "How can I be sure?"
[00:06:09.940 --> 00:06:10.940]   And so we ask, "How can I be sure?"
[00:06:10.940 --> 00:06:11.940]   And so we ask, "How can I be sure?"
[00:06:11.940 --> 00:06:12.940]   And so we ask, "How can I be sure?"
[00:06:12.940 --> 00:06:13.940]   And so we ask, "How can I be sure?"
[00:06:13.940 --> 00:06:14.940]   And so we ask, "How can I be sure?"
[00:06:14.940 --> 00:06:15.940]   And so we ask, "How can I be sure?"
[00:06:15.940 --> 00:06:16.940]   And so we ask, "How can I be sure?"
[00:06:16.940 --> 00:06:17.940]   And so we ask, "How can I be sure?"
[00:06:17.940 --> 00:06:18.940]   And so we ask, "How can I be sure?"
[00:06:18.940 --> 00:06:19.940]   And so we ask, "How can I be sure?"
[00:06:19.940 --> 00:06:20.940]   And so we ask, "How can I be sure?"
[00:06:20.940 --> 00:06:21.940]   And so we ask, "How can I be sure?"
[00:06:21.940 --> 00:06:22.940]   And so we ask, "How can I be sure?"
[00:06:22.940 --> 00:06:23.940]   And so we ask, "How can I be sure?"
[00:06:23.940 --> 00:06:24.940]   And so we ask, "How can I be sure?"
[00:06:24.940 --> 00:06:25.940]   And so we ask, "How can I be sure?"
[00:06:25.940 --> 00:06:26.940]   And so we ask, "How can I be sure?"
[00:06:26.940 --> 00:06:27.940]   And so we ask, "How can I be sure?"
[00:06:27.940 --> 00:06:28.940]   And so we ask, "How can I be sure?"
[00:06:28.940 --> 00:06:29.940]   And so we ask, "How can I be sure?"
[00:06:29.940 --> 00:06:30.940]   And so we ask, "How can I be sure?"
[00:06:30.940 --> 00:06:31.940]   And so we ask, "How can I be sure?"
[00:06:31.940 --> 00:06:32.940]   And so we ask, "How can I be sure?"
[00:06:32.940 --> 00:06:33.940]   And so we ask, "How can I be sure?"
[00:06:33.940 --> 00:06:34.940]   And so we ask, "How can I be sure?"
[00:06:34.940 --> 00:06:35.940]   And so we ask, "How can I be sure?"
[00:06:35.940 --> 00:06:36.940]   And so we ask, "How can I be sure?"
[00:06:36.940 --> 00:06:37.940]   And so we ask, "How can I be sure?"
[00:06:37.940 --> 00:06:38.940]   And so we ask, "How can I be sure?"
[00:06:38.940 --> 00:06:39.940]   And so we ask, "How can I be sure?"
[00:06:39.940 --> 00:06:40.940]   And so we ask, "How can I be sure?"
[00:06:40.940 --> 00:06:41.940]   And so we ask, "How can I be sure?"
[00:06:41.940 --> 00:06:48.660]   And Darwinism was a classic modernist effort to do away with the necessity of believing
[00:06:48.660 --> 00:06:49.740]   in a Creator.
[00:06:49.740 --> 00:06:55.840]   And although Darwinism itself is a hypothesis that can't be observed or tested by the scientific
[00:06:55.840 --> 00:07:03.160]   method, multitudes to this day insist on treating Darwinism as a scientifically established
[00:07:03.160 --> 00:07:11.160]   fact because even though by their own standard if it can't be proven, it can't be true, they
[00:07:11.160 --> 00:07:11.920]   desperately need to be proven.
[00:07:11.920 --> 00:07:13.940]   They desperately need this to be true.
[00:07:13.940 --> 00:07:21.000]   You see, if you can't explain creation without a Creator, then you have to make room for
[00:07:21.000 --> 00:07:23.120]   spiritual truth.
[00:07:23.120 --> 00:07:28.660]   And modern science is supposed to be completely naturalistic, devoid of any hint that there
[00:07:28.660 --> 00:07:32.420]   might be spiritual or supernatural realities.
[00:07:32.420 --> 00:07:39.280]   That's the fundamental notion on which post-enlightenment modernism is based.
[00:07:39.280 --> 00:07:41.900]   And that view does away with moral theory.
[00:07:41.900 --> 00:07:46.700]   It does away with moral values, right versus wrong, good versus evil, because you can't
[00:07:46.700 --> 00:07:51.840]   really prove any moral standard or spiritual truth by the scientific method.
[00:07:51.840 --> 00:07:53.180]   You just can't.
[00:07:53.180 --> 00:08:00.640]   And therefore, modernism breeds hostility to all moral and spiritual values, especially
[00:08:00.640 --> 00:08:04.420]   fixed values, standards that are immutable.
[00:08:04.420 --> 00:08:11.880]   And even if that's not what the original modernists were aiming at, that is what their basic presuppositions
[00:08:11.880 --> 00:08:12.880]   intended.
[00:08:12.880 --> 00:08:19.760]   And it's pretty easy to trace the progression from these modernist presuppositions to the
[00:08:19.760 --> 00:08:24.500]   rejection of all morality, which is where we are today.
[00:08:24.500 --> 00:08:30.120]   Darwin and his doctrine of the survival of the fittest set the tone.
[00:08:30.120 --> 00:08:35.560]   And Darwinism, as we said I think in the Q&A or the panel discussion yesterday, Darwinism
[00:08:35.560 --> 00:08:40.100]   replaces religion for modernist minds.
[00:08:40.100 --> 00:08:41.860]   And if you apply this principle of the survival of the fittest, you can't really prove any
[00:08:41.860 --> 00:08:42.860]   moral standard or spiritual truth.
[00:08:42.860 --> 00:08:47.320]   And so, the idea of the survival of the fittest to human society, it immediately eliminates
[00:08:47.320 --> 00:08:50.680]   all historically Christian values.
[00:08:50.680 --> 00:08:57.520]   Because if only the strong survive, human oppression can't really be considered immoral,
[00:08:57.520 --> 00:09:00.160]   inherently and absolutely immoral.
[00:09:00.160 --> 00:09:07.580]   If people and people groups are subject to the Darwinian laws of natural selection, then
[00:09:07.580 --> 00:09:11.840]   you can actually justify pretty much every human evil for the good of humanity.
[00:09:11.840 --> 00:09:12.840]   You can't justify any of the evil that they've done to humanity.
[00:09:12.840 --> 00:09:13.840]   And so, when you look at the modernist way of thinking, that's exactly what happened
[00:09:13.840 --> 00:09:14.840]   with the modernist way of thinking.
[00:09:14.840 --> 00:09:31.900]   It was called social Darwinism and that's why the 20th century actually was the bloodiest
[00:09:31.900 --> 00:09:38.740]   century in all of human history with holocausts and ethnic cleansing and two world wars and
