
[00:00:00.000 --> 00:00:24.420]   Okay, thank you for coming bright and early, 9:00 a.m. at the start of the conference,
[00:07:49.720 --> 00:08:01.720]   It's a giant zip file. You're going to download it and unzip it. And when you hear about, you know, this model is like a billion parameters or 70 billion parameters,
[00:08:01.720 --> 00:08:07.720]   it's all just a bunch of giant numbers. And you can think of it as a giant spreadsheet. And that's literally what the zip file is.
[00:08:07.720 --> 00:08:18.720]   Once you've downloaded that zip file and opened it up, what you want to do is select all of those files and drag it into this section here.
[00:08:18.720 --> 00:08:27.720]   When it's done loading all those files, it'll look like this. It'll say, ready, all model parameters loaded. When it's not loaded, it'll be in red.
[00:08:27.720 --> 00:08:37.720]   And it'll say, you know, please add the files. And what it's doing is it's actually loading all those GPT-2 parameters locally into your index.db database.
[00:08:37.720 --> 00:08:46.720]   And you can see here, it's basically about 1.5 gigabytes. Now, Chrome will let you do that if you've got sufficient disk space on your hard drive.
[00:08:46.720 --> 00:08:56.720]   But the benefit of doing this is now the entire model is running locally in vanilla JavaScript on your browser. In fact, to run and debug this, you don't need anything else.
[00:08:56.720 --> 00:09:05.720]   You could pull the internet connection and it should still work. And the way this is set up is similar to a Python notebook, if you've encountered one of those.
[00:09:05.720 --> 00:09:14.720]   We have these cells. And every cell has a play button, which will run what's inside it. And there are two types of cells. One type of cell is just JavaScript code.
[00:09:14.720 --> 00:09:22.720]   And you can open these and expand these if you want. It's just vanilla JavaScript code. Our matrices, for example, are just simple 2D JavaScript arrays.
[00:09:22.720 --> 00:09:36.720]   And if I hit play, it will execute this code. And you can see there's a message right there. The other type of cell is one like this. It's kind of like a table or spreadsheet interface.
[00:09:36.720 --> 00:09:51.720]   It runs a formula and then shows you the result. So it's a way to actually run code and see the results very immediately. And these formulas are just raw JavaScript with a little syntactic sugar to figure out, you know, if you reference something, it knows what previous table it was.
[00:09:51.720 --> 00:10:20.720]   Let me give you an example of that. So right here is an example. So here, this get final tokens is just JavaScript code we defined earlier. And this prompt to tokens is literally the DOM ID. And this, let's zoom this one out. This brackets is basically syntactic sugar saying, go grab the DOM table that has this ID. So prompt to tokens is up here.
[00:10:20.720 --> 00:10:39.720]   And it's just grabbing this thing and passing that into that function. So it's all straight vanilla JavaScript. But the real benefit is being able to debug a model right here without leaving your browser. So what I'm going to do, I can do -- who here has done like console debugging before, right?
[00:10:39.720 --> 00:11:08.720]   So you can do console debugging right here. So if I say console.log matches, and I open up my DevTools inspector, let's put that side by side. There we go. And I go to the console. And then I rerun this. There we go. Wait for the layout shifts. There we go.
[00:11:08.720 --> 00:11:27.720]   Separate into words is right there. So if I rerun this, you can see right here, it might be a little bit hard. But if you look here, you can see I've basically got my console.log statement here. If I wanted to know what that variable is doing, but I can go even further. I can just type the word debugger.
[00:11:27.720 --> 00:11:54.720]   And then I rerun it. And boom. I'm actually stepping through a large language model that was once considered too dangerous to release, right with ever leaving my browser. So every part of this model, if you were like, I really want to understand how this works, you can step right through it in a familiar language and the browser, a very familiar IDE. So I'm going to remove that debugger statement.
[00:11:54.720 --> 00:12:22.720]   So it doesn't get in our way later. And then there we go. OK. So that's a quick tour of how to run our JavaScript implementation of GPT-2. OK. Next up, large language models. So a large language model has a
[00:12:22.720 --> 00:12:50.720]   So a large language model has a really simple job to do. We give it a passage of text and it simply predicts the next word. Technically the next token, as we'll talk about. So I might give it the text, Mike is quick, he moves, and it'll just output a single word quickly. It does not by nature naturally give you paragraphs of text. So if we want to get more text, what we do is we take that output, and then we append the word we just got out, which was quickly, and then we append the word we just
[00:12:50.720 --> 00:13:18.720]   got out, which was quickly, and put it at the end of the thing we originally put in. So then we take that additional text, and now we ask it to run through again with this much longer piece, and say, what is the next word now? And it says, oh, it's and. Then we take that, append it to the original input, and keep going, and ask it what the next thing is. And this is how we generate paragraphs of text or code from a model. It is what they call an autoregressive model. You simply take the output, put it back to the input, and rerun it. Now, this is why, if you use our JavaScript implementation,
[00:13:18.720 --> 00:13:25.720]   all it does is predict the next word. Because that is the core function. If you understand that, you understand how the rest of it works.
[00:13:25.720 --> 00:13:46.720]   So we've said that large language models have this core action of completing passages of text, and they're trained to complete sentences like this one. Mike is quick, he moves, and as a human, you probably understand, you know, a possible completion is the word quickly, or maybe the word fast, or around. But how do we get a computer to do that?
[00:13:46.720 --> 00:14:08.720]   Well, here's a fill-in-the-blank problem that computers are really good at. Two plus two equals four. It's a math problem. Computers are really good at math. And you can make these equations really complex, and computers can still do them really fast. So in effect, what researchers have figured out how to do is take what is a word problem and turn it into a math problem.
[00:14:08.720 --> 00:14:26.720]   In order to do that, they have to go through a series of steps. First, what they have to do is they have to map the words in our text to numbers. Here I've shown it as just a one-to-one mapping. So Mike goes to 89. Is goes to 9. But in practice, as we'll see, it's a long list of numbers called an embedding.
[00:14:26.720 --> 00:14:40.720]   And then we do our number crunching on them. Here I've drawn this as just simple arithmetic. It's much more complex than that. But it's actually almost as simple as that. It's just a lot of multiplication, addition. There's an exponentiation in there.
[00:14:40.720 --> 00:14:56.720]   But it's not math you probably haven't seen before. It's just a lot of it tediously put together. And then after all that arithmetic, we get a result. Again, it'll be a long list of numbers. Here I've simplified for now, just saying a single number.
[00:14:56.720 --> 00:15:08.720]   And we look at the resulting number that comes back. And that number is going to be what it says the next predicted word is going to be. But we need to translate that back to a word, because it's a number. So then we do the reverse of what we did at the beginning, instead of going from words to numbers.
[00:15:08.720 --> 00:15:24.720]   We go from numbers to words. And of course, the number we get back, numbers are continuous, words are discrete, doesn't necessarily always cleanly map. We'll get some number like here. For example, hypothetically, we get 231.
[00:15:24.720 --> 00:15:38.720]   There's nothing in our dictionary that maps to it. But the closest word in our dictionary is quickly, which is at 232. But fast is kind of close to 240. So what we're going to do is we're going to wait the probability distribution of these tokens
[00:15:38.720 --> 00:15:45.720]   according to how close they are to the predicted number that came out of our model. And that turns into our probability distribution.
[00:15:45.720 --> 00:15:54.720]   So then we run a random number generator, and then we pick according to that distribution. One thing I want to emphasize is we add the random number generator in.
[00:15:54.720 --> 00:16:01.720]   We could always just simply take the closest word, and that's called greedy or temperature zero.
[00:16:01.720 --> 00:16:14.720]   OK. So that gives us this view. You get some text. We turn that text into tokens. We turn those tokens into numbers. And then we do some number crunching on them. And then we turn those numbers into text.
[00:16:14.720 --> 00:16:23.720]   And that gives us our next predicted token. OK. The model we are going to be studying today is GPT-2.
[00:16:23.720 --> 00:16:30.720]   GPT-2 small, specifically. There's actually multiple versions of GPT-2 that were released. And that came out in 2019.
[00:16:30.720 --> 00:16:37.720]   So about four years before GPT-4 and three years before ChatGPT. But don't let that fool you.
[00:16:37.720 --> 00:16:51.720]   GPT-2 small, you know. This was a model that was considered too dangerous to release when it first came out. And it was state-of-the-art. More importantly, it is actually the foundation of most of the state-of-the-art models you have probably used today.
[00:16:51.720 --> 00:17:02.720]   And you don't have to take my word for it. This is a research lab, Luther AI, saying basically the recipe for building a large language model has not fundamentally changed since the transform was introduced.
[00:17:02.720 --> 00:17:07.720]   And only slightly tweaked from the language models by OpenAI GPT-1 and GPT-2.
[00:17:07.720 --> 00:17:20.720]   And then in this article, they actually go on to list what the changes are between GPT-2 and a state-of-the-art model at the time, which was LAMA-2 when this was written, which was last year.
[00:17:20.720 --> 00:17:35.720]   So the way to think about this -- and this is a helpful family tree chart of different large language models -- is that most of the ones you're familiar with at the top of this tree -- might be hard to see -- is ChatGPT, LAMA, Bard/Gemini, GPT-4, Claude.
[00:17:35.720 --> 00:17:47.720]   They all inherit from GPT-2. GPT-2 is its granddaddy. If you understand GPT-2, you are 80% of the way to understanding how a state-of-the-art model works under the hood.
[00:17:47.720 --> 00:17:54.720]   Okay, so now let's dive into the first stage of our model. So that's tokenization.
[00:17:54.720 --> 00:18:09.720]   Okay, this is where we take the input text and we split it into subword units called tokens. In the example that I like to use -- Mike is quick, he moves -- unfortunately, every single word is a single token.
[00:18:09.720 --> 00:18:16.720]   is a single token. But it is not unusual for a word to be two, three, or more tokens.
[00:18:16.720 --> 00:18:22.720]   And then these tokens all have IDs that are just lists or positions in the dictionary, as you see here underneath.
[00:18:22.720 --> 00:18:25.720]   So let me show you what this looks like.
[00:18:25.720 --> 00:18:32.720]   I'll wait for the Wi-Fi.
[00:18:32.720 --> 00:18:52.720]   Okay. Well, we get more people in the room, we get more Wi-Fi issues.
[00:18:52.720 --> 00:19:06.720]   So what I want to illustrate for you is that you can take a word like -- oh, you know what I can do? I do have a backup. Let's do this.
[00:19:07.720 --> 00:19:26.720]   Okay, this is a version that runs locally. So what you can do -- so you can try this once we get Wi-Fi back. I'm going to take the word "reindeer" and the word "re-injury" and then I'm going to run them up until right here, which is the final tokens.
[00:19:26.720 --> 00:19:40.720]   So these are the tokens for the input prompt we just put in here. And you can see the word "re-injury" was turned into multiple tokens.
[00:19:40.720 --> 00:19:48.720]   There's a space, which is part of the token itself, R-E-I-N, and then jury, J-U-R-Y, and they have separate token IDs.
[00:19:48.720 --> 00:19:59.720]   The thing I want you to pay attention to is reindeer also starts as R-E-I-N, right? But it got split into three tokens, space, R-E-I-N-D, E-E-R.
[00:19:59.720 --> 00:20:07.720]   So this is not like basic string parsing. Something more complex is going on. And so the natural question is, well, why the heck are we doing this?
[00:20:07.720 --> 00:20:18.720]   Why don't we do something simpler? Why don't we do, say, word-based tokenization? We just take every word in the dictionary and give it a number, like dog is one, cat is two, and so forth.
[00:20:18.720 --> 00:20:26.720]   So that has a couple of problems. First is it can't handle unknown or misspelled words. And there are some models, early models, that had an unk for unknown token.
[00:20:26.720 --> 00:20:34.720]   But when you're grabbing all the text on the Internet, you might encounter things you didn't expect. Examples could be languages that you weren't planning for.
[00:20:34.720 --> 00:20:43.720]   One of the early models, GPT-2, in fact, they tried to take foreign languages out of it. And then they magically discovered some snuck in and it was actually good at translation.
[00:20:43.720 --> 00:20:48.720]   They wouldn't have had that if a lot of words were just simply that were not English, were just thrown out.
[00:20:48.720 --> 00:21:01.720]   Another example is when they did summarization with it, they realized they can put the too-long-didn't-read acronym, TL:DR. And if they didn't have a token for that, it would have been thrown away and it would have lost that ability.
[00:21:01.720 --> 00:21:07.720]   The other problem is that you're going to increase the vocabulary size, which is going to increase the size of the model.
[00:21:07.720 --> 00:21:10.720]   It will need more parameters if you're going to have more vocabulary.
[00:21:10.720 --> 00:21:17.720]   English alone is 170,000 words. For perspective, GPT-2's vocabulary is only about 50,000, so it's a third of that.
[00:21:17.720 --> 00:21:22.720]   And then if you add additional languages on that and you're doing word-based tokenization, it would get even larger.
[00:21:22.720 --> 00:21:28.720]   in essence, if you do this, you get more memory, more compute, or maybe less performance.
[00:21:28.720 --> 00:21:34.720]   So then you're like, well, I'm a developer. I'm used to say something like ASCII. Why don't I just do character-based tokenization?
[00:21:34.720 --> 00:21:41.720]   I say A is 1, B is 2, and do it that way. Well, the first problem is it's going to increase the sequence length.
[00:21:41.720 --> 00:21:51.720]   So you can see this inside the model. As you go through the model, after you get your prompt, right here, you can see here is where the embeddings -- we'll talk about this in a second.
[00:21:51.720 --> 00:22:00.720]   But you can see Mike is quick, period, he moves. Each of these rows, this matrix, has a height that is the size of the number of tokens.
[00:22:00.720 --> 00:22:09.720]   And that persists through the entire model. So as I keep going, we see, again, this six-height matrix. It's going to keep going.
[00:22:09.720 --> 00:22:17.720]   If we made every single character its own token, this is going to get a lot larger. Right now, it's just, what, six tokens high.
[00:22:17.720 --> 00:22:22.720]   But if I made M, I, K, E, each of these characters their own token, this is going to get a much larger matrix.
[00:22:22.720 --> 00:22:29.720]   So it will be more memory, more compute to process. The other issue is there's low semantic correlation in characters.
[00:22:29.720 --> 00:22:34.720]   They don't carry a lot of meaning. And a good example is this chain letter that went around a few decades ago on the Internet.
[00:22:34.720 --> 00:22:40.720]   And it says, according to research at Cambridge University, it doesn't matter in what order the letters in a word are.
[00:22:40.720 --> 00:22:46.720]   The only important thing is that the first and last letter be at the right place. And all the letters are jumbled, but you can still read it.
[00:22:46.720 --> 00:22:51.720]   And the point is that you don't read characters. You actually read subword units yourself.
[00:22:51.720 --> 00:22:58.720]   And so if there's less semantic correlation, it's going to be more work for the model to do during training to erase that character boundary
[00:22:58.720 --> 00:23:06.720]   boundary and get the pieces that really matter. So if character tokenization is too small and word tokenization is too big,
[00:23:06.720 --> 00:23:12.720]   Goldilocks says let's do something in between, which is subword tokenization. And that's this algorithm called by parent coding.
[00:23:12.720 --> 00:23:19.720]   So it's got two phases. The first is the learning phase where you take a large -- they call it a corpus of text that's gathered from the Internet.
[00:23:19.720 --> 00:23:27.720]   And then we put it through this learning algorithm we'll describe in a second. And then we get out of it a vocabulary, a dictionary of tokens.
[00:23:27.720 --> 00:23:37.720]   And then later when we're processing the model and asking it to generate text, if we give it some input words, we have to re-translate it into those tokens that were used during training.
[00:23:37.720 --> 00:23:47.720]   So we take the input words, we take the vocabulary, and we get out tokens. This is the research paper that introduced the algorithm to machine learning.
[00:23:47.720 --> 00:23:54.720]   to machine learning. But it turns out this algorithm is from the 90s. It's actually a compression algorithm, as we'll talk about in a second.
[00:23:54.720 --> 00:24:05.720]   And it even has some Python code you can copy and paste and run. The goal of the algorithm really is to take the text that's going to be trained on and figure out the most efficient way to represent it.
[00:24:05.720 --> 00:24:16.720]   That's really what tokenization is trying to do. And so here's the example from the paper. And what I'm going to do first is I'm going to use this dot to separate out the characters.
[00:24:16.720 --> 00:24:21.720]   That's going to tell us, essentially, each token will be separated by those dots so we can see them individually.
[00:24:21.720 --> 00:24:33.720]   At the end of this process, you'll see that there are less dots, meaning that we've got more tokens -- sorry, more number of tokens in our vocabulary, but less number of tokens being used to represent the corpus.
[00:24:33.720 --> 00:24:42.720]   And in this corpus, we're going to pretend that when we scraped the internet, this is all we came up with. There are only four words: low, lower, newest, and widest.
[00:24:42.720 --> 00:24:49.720]   And you'll notice some of them appear more than once. In fact, they all do. But the reason I'm doing it this way is I want the frequency of the word to be represented.
[00:24:49.720 --> 00:25:02.720]   Right? I'm trying to compress all the words on the internet. And if a word is more frequent, I want to know that, because if it's more frequent, I want to give it more representation or a more efficient representation.
[00:25:02.720 --> 00:25:08.720]   So that dot is going to separate out our tokens. And then I'm going to put the underscore to indicate the space character.
[00:25:08.720 --> 00:25:14.720]   One caveat -- in this example, the space character is at the end of the token. In GPT-2, it's actually at the beginning.
[00:25:14.720 --> 00:25:20.720]   And then we're going to start with our vocabulary of just our characters, A through Z, all lowercase.
[00:25:20.720 --> 00:25:26.720]   We're assuming that we're in a lowercase-only world here for now. Those are our initial tokens. That's our vocabulary on the right.
[00:25:26.720 --> 00:25:33.720]   And then the first thing we're going to do is we're going to count all the adjacent tokens, all the adjacent characters.
[00:25:33.720 --> 00:25:42.720]   Right now, there are no tokens other than characters. And we can see E and S occurs nine times. Right? Six times in newest and three times in widest.
[00:25:42.720 --> 00:25:49.720]   So I'm going to put a table together, and I put E next to S has a frequency of nine. And then I'm going to do this for all the possible pairs.
[00:25:49.720 --> 00:26:00.720]   And then I'm going to take the most frequent pair, and I'm going to say that's a new token. Why am I doing that? Because if I do that, I can take E and S, I can put them together, and I can pretend they're their own character.
[00:26:00.720 --> 00:26:09.720]   I'll call it a token. And then I can go back to my corpus. And every place there was an E and S, I'm going to replace it with my new ES token.
[00:26:09.720 --> 00:26:17.720]   So now I've shrunk the number of tokens that need to represent the stuff here on the left. Now I've taken what were separate tokens and combined them together.
[00:26:17.720 --> 00:26:27.720]   So I'm using less tokens to represent all this text. And then I can repeat the process. I can just say ES next to T occurs nine times, and I can do a whole other table.
[00:26:27.720 --> 00:26:37.720]   Now ES is itself, now its own character, its own token. So it can be paired with other things that I'm counting. And I can see that ES with T occurs nine times.
[00:26:37.720 --> 00:26:52.720]   So I add that to my vocabulary of tokens, and I go back and I compress my corpus again. Then I keep going, and I just simply repeat this process, looking for whatever is the most frequent at each pass, and making it a token, and then recompressing the corpus.
[00:26:52.720 --> 00:27:04.720]   And after 10 passes, you get something like this. Here on the right is our vocabulary of tokens. And then here on the left, you can see we have shrunk the number of tokens used to represent the corpus.
[00:27:04.720 --> 00:27:24.720]   There are less of these dots, right, than we saw before and originally. Now the most frequent words became their own tokens, right? Low and newest. And even the words that did not get their own full token representation, we've now represented them a lot more efficiently.
[00:27:24.720 --> 00:27:39.720]   And you notice that there are some common subword units like low became tokens, and EST became tokens. So it managed to map to some of the morphemes, the parts of speech we use as humans as tokens, but that is just a coincidence.
[00:27:39.720 --> 00:27:51.720]   Right now the model has no understanding of semantic meaning. Okay, so this is the learning algorithm. Now the tokenization algorithm is really similar. I'm not going to go through it in full detail.
[00:27:51.720 --> 00:28:09.720]   I have a video on my YouTube channel where I do go through it in full detail. But for time, I'm just going to talk about it at a high level. It's essentially similar to the learning algorithm, except we're doing it on individual tokens as they come in, asking ourselves what would it look like if this word were part of the tokenization process.
[00:28:09.720 --> 00:28:23.720]   So let me show you what that is like. This is a helpful jump to here. Let's go to tokenization. So the first thing we do is we take our prompt and we separate it into words. Now this is just a regular expression that came from the OpenAI source code when they open sourced it.
[00:28:23.720 --> 00:28:37.720]   And we're just parsing it according to this. And it's going to basically take out punctuation and spaces. So we get these as our words. So Mike is quick, period gets its own token, he and moves. Right now we're not tokens, we're just separating words.
[00:28:37.720 --> 00:28:46.720]   But do note that the spaces are assigned as part of this separation. So he and moves have a space in front of them.
[00:28:46.720 --> 00:28:55.720]   The next thing we're going to do is we're going to fetch vocab, BPE. This is a file that came from OpenAI when they trained the model and its tokenization. This is their dictionary of tokens.
[00:28:55.720 --> 00:29:06.720]   So when they did their training in BPE, the most common left token with a right token was space with a T. The second most was space followed by an A and so forth.
[00:29:06.720 --> 00:29:15.720]   I've added two extra columns, rank and score, just to figure out where a pair of tokens is in terms relative to the others, how important they were.
[00:29:15.720 --> 00:29:24.720]   Then this is just a helpful map of tokens to their IDs. And then finally, there's this, which is prompt to tokens.
[00:29:24.720 --> 00:29:40.720]   Now, this is not how you'd really want to write a tokenizer. I've set it up to look similar to the Excel version of the matrix so you can watch the video and still be able to watch it and understand it, no matter which version of the Excel sheet or the JavaScript version you're looking at.
[00:29:40.720 --> 00:29:53.720]   But this kind of illustrates the process. So here is quick. We're breaking it apart right here. Let me get presentify. There we go. We're breaking it apart into characters here.
[00:29:53.720 --> 00:30:07.720]   All right, quick. And then what we're doing is we're looking at each pair of characters. So Q with U, U with I, I with C, C with K. And we're saying, for each one, where does it fall in that rank of tokens?
[00:30:07.720 --> 00:30:22.720]   And we're going to take the most popular one. In this case, it's I and C. And so we've rewritten this as a string of tokens, except the I and C were put together as one token. And then we're simply going to repeat the process.
[00:30:22.720 --> 00:30:34.720]   We're going to repeat the process. And then we're going to repeat the process. And then we're going to repeat the process and keep going. And we're combined. Then Q and U get combined. Then I, C, K get combined. And finally, it gets to the point where we realize, oh, this is in my token vocabulary. And it turns it into a token.
[00:30:34.720 --> 00:30:51.720]   I have a video if you want to see this in depth and in detail. But for now, just think of it as the same part of the learning process, really just run small. Now, tokenization is actually kind of considered by a lot of experts to be a necessary evil.
[00:30:51.720 --> 00:31:02.720]   Some of the problems that you sometimes encounter with models, although the root causes in tokenization, it can sometimes make them worse. So the common one is how many Rs are there in strawberry?
[00:31:02.720 --> 00:31:15.720]   Models don't actually see the Rs. And I love this post from Riley Goodside, where if you remember the matrix, the character says, oh, I don't see the numbers. I just see what's inside there.
[00:31:15.720 --> 00:31:30.720]   And that's kind of like what it is to the model. You know, it doesn't see any of the letters. So what he's done here in this image is strawberry is tokenized multiple different ways, depending on whether it's uppercase versus lowercase, whether there's a space in front of it or not,
[00:31:30.720 --> 00:31:44.720]   and whether there's a quote in front of it or not. So the model, you know, these six words are not all strawberry. They're all six different token patterns. And so it makes it a lot harder and a lot more work for the model to understand it.
[00:31:44.720 --> 00:31:51.720]   If you think about it, you don't actually see the letters either. If somebody asked you how many letters are in a word, you'd have to stop and think and parse it out.
[00:31:51.720 --> 00:32:03.720]   I said at the beginning, you know, you don't do word tokenization. You don't do character tokenization. That's not a hard, fast rule. That's an empirical rule. And there are research models that have done both.
[00:32:03.720 --> 00:32:18.720]   So just know that, you know, that's, you know, maybe a few years from now that we character based tokenization will be more popular. This is an example of one. The last thing I want to leave you with is that tokenization doesn't have to be just about text.
[00:32:18.720 --> 00:32:31.720]   It can also be about other things. So here's an example of the vision transformer. They use patches of images as tokens. Waymo uses trajectories in space to prevent collisions as tokens.
[00:32:31.720 --> 00:33:00.720]   Okay. Let's briefly check how we're doing. If this will load. There we go. So this is actually pinned at the top. 9:30. Oh, we're right. We're just a minute behind. Okay. So this is -- you guys can keep me honest. In the Discord room at the top is a spreadsheet. I'm, of course, using a spreadsheet.
