
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:03:12.260 --> 00:03:13.180]   - Yeah, absolutely.
[00:03:13.180 --> 00:03:14.660]   Let me ask a follow-up question about that.
[00:03:14.660 --> 00:03:16.740]   With respect to the Roth conversion planning,
[00:03:16.740 --> 00:03:19.060]   does it always make sense to do a Roth conversion?
[00:03:19.060 --> 00:03:20.460]   How do you know a Roth conversion
[00:03:20.460 --> 00:03:24.420]   is gonna be the right strategy for a retiree or pre-retiree?
[00:03:24.420 --> 00:03:28.220]   - Well, with a lot of analysis. (laughs)
[00:03:28.220 --> 00:03:32.100]   So we use projection software that maps out
[00:03:32.100 --> 00:03:35.180]   someone's tax rate now, someone's tax rate later.
[00:03:35.180 --> 00:03:39.460]   And when I say tax rate, it's not just the marginal tax rate.
[00:03:39.460 --> 00:03:42.540]   It's including all of the things that Wade talks about
[00:03:42.540 --> 00:03:45.460]   in terms of how much of your Social Security is taxed
[00:03:45.460 --> 00:03:47.820]   and you'll be subject to an IRMA premium.
[00:03:47.820 --> 00:03:50.340]   And if we do this, will it push you into a higher
[00:03:50.340 --> 00:03:52.220]   capital gains tax racket?
[00:03:52.220 --> 00:03:56.420]   So all of that is factored into that long-term tax analysis.
[00:03:56.420 --> 00:03:59.700]   So it's not as simple as saying what's my marginal rate now
[00:03:59.700 --> 00:04:01.780]   and what will my marginal rate be later?
[00:04:01.780 --> 00:04:04.380]   Because it gets more complicated in retirement
[00:04:04.380 --> 00:04:05.860]   with all of the different formulas
[00:04:05.860 --> 00:04:10.020]   that are tied to some form of modified adjusted gross income.
[00:04:10.020 --> 00:04:14.180]   And so we map it all out now through your lifetime
[00:04:14.180 --> 00:04:16.580]   and then do a form of testing that says,
[00:04:16.580 --> 00:04:19.420]   well, if I did this series of Roth conversions,
[00:04:19.420 --> 00:04:24.020]   does that make your plan look better, more funded?
[00:04:24.020 --> 00:04:26.580]   So we use the same kind of fundedness analysis
[00:04:26.580 --> 00:04:28.660]   that Wade was talking about.
[00:04:28.660 --> 00:04:31.180]   And we can quantify everything into that number.
[00:04:31.180 --> 00:04:33.500]   Did this decision add fundedness?
[00:04:33.500 --> 00:04:35.260]   Did it increase your fundedness?
[00:04:35.260 --> 00:04:37.260]   Or did it decrease your fundedness?
[00:04:37.260 --> 00:04:41.020]   And so it's not easy to determine it
[00:04:41.020 --> 00:04:43.300]   if you wanna do it in a mathematical way.
[00:04:44.460 --> 00:04:46.620]   - Certainly, and you touched on with respect to,
[00:04:46.620 --> 00:04:48.060]   because it can be so complicated
[00:04:48.060 --> 00:04:50.180]   because of the IRMA breakpoints, et cetera.
[00:04:50.180 --> 00:04:52.380]   Folks certainly don't wanna be doing this on a spreadsheet.
[00:04:52.380 --> 00:04:53.980]   To paraphrase Mike Piper,
[00:04:53.980 --> 00:04:56.260]   he talked about this at last year's conference.
[00:04:56.260 --> 00:04:58.860]   There's a great video up that you can find
[00:04:58.860 --> 00:05:01.580]   on the Bogle Center that he goes over
[00:05:01.580 --> 00:05:04.580]   how to do Roth conversion planning for do-it-yourselfers.
[00:05:04.580 --> 00:05:07.180]   And he says, hey, you wanna use some sort of software,
[00:05:07.180 --> 00:05:08.200]   don't do it on a spreadsheet
[00:05:08.200 --> 00:05:10.500]   because the tax code just is that complicated.
[00:05:12.340 --> 00:05:14.520]   Let's jump to our next question.
[00:05:14.520 --> 00:05:18.900]   This one is from Ryan Richardson from Bogleheads Facebook
[00:05:18.900 --> 00:05:21.700]   who asks about the age in bonds rule.
[00:05:21.700 --> 00:05:24.880]   So probably this doesn't need much explanation,
[00:05:24.880 --> 00:05:26.300]   but the age in bonds rule is,
[00:05:26.300 --> 00:05:27.740]   hey, if you're six years old,
[00:05:27.740 --> 00:05:31.620]   then you wanna have 60% of your portfolio in bonds,
[00:05:31.620 --> 00:05:32.580]   the rest in stocks.
[00:05:32.580 --> 00:05:34.980]   What's your take on that age in bonds rule?
[00:05:34.980 --> 00:05:38.680]   - Well, I've never been a fan of that age in bonds rule.
[00:05:38.680 --> 00:05:41.500]   I think a much more customized approach
[00:05:41.500 --> 00:05:42.920]   is more appropriate.
[00:05:42.920 --> 00:05:45.840]   So the amount of cash flow that we might need
[00:05:45.840 --> 00:05:48.700]   from our portfolio isn't really dependent on our age.
[00:05:48.700 --> 00:05:51.080]   There's all kinds of other circumstances
[00:05:51.080 --> 00:05:52.620]   that can come into play.
[00:05:52.620 --> 00:05:54.260]   You might have plenty of cash flow
[00:05:54.260 --> 00:05:57.340]   to cover all your needs despite your age.
[00:05:57.340 --> 00:06:00.220]   And so I'm a fan, as you know,
[00:06:00.220 --> 00:06:03.060]   if you've been listening to my presentation yesterday
[00:06:03.060 --> 00:06:05.020]   of implementing bond ladders,
[00:06:05.020 --> 00:06:06.620]   of actually using what is called
[00:06:06.620 --> 00:06:08.820]   an asset liability matching approach
[00:06:08.820 --> 00:06:11.600]   where you're determining the amount of fixed income
[00:06:11.600 --> 00:06:15.460]   by the years of cash flow that you want covered.
[00:06:15.460 --> 00:06:19.400]   And so that's a very personalized analysis.
[00:06:19.400 --> 00:06:22.460]   If you study some of Michael Kitsy's work
[00:06:22.460 --> 00:06:26.020]   and Wade was referring to a paper that he and Kitsy's did
[00:06:26.020 --> 00:06:29.500]   where they talk about your glide path in retirement,
[00:06:29.500 --> 00:06:31.020]   there is some thought of creating
[00:06:31.020 --> 00:06:32.820]   something called a bond tent
[00:06:32.820 --> 00:06:36.020]   where you would have a higher allocation to fixed income
[00:06:36.020 --> 00:06:38.900]   to cover what are called the retirement red zone years,
[00:06:38.900 --> 00:06:40.660]   that five years leading up to
[00:06:40.660 --> 00:06:43.380]   and perhaps first five to 10 years of retirement
[00:06:43.380 --> 00:06:46.060]   where you can be at the greatest risk of sequence risk.
[00:06:46.060 --> 00:06:49.100]   And so you could have a much higher allocation
[00:06:49.100 --> 00:06:52.180]   to fixed income as you're approaching that retirement date
[00:06:52.180 --> 00:06:55.460]   and then actually let that fixed income allocation
[00:06:55.460 --> 00:06:57.860]   decline a bit, which would be the opposite
[00:06:57.860 --> 00:06:59.200]   of the age and bonds rule.
[00:06:59.200 --> 00:07:02.140]   So of course, you all have to make that decision
[00:07:02.140 --> 00:07:06.260]   for yourself, but I don't like the just automated rules.
[00:07:06.260 --> 00:07:09.740]   I think looking at it in relation to your actual situation
[00:07:09.740 --> 00:07:11.180]   makes the most sense.
[00:07:11.180 --> 00:07:12.660]   - Yeah, no, certainly I agree with you.
[00:07:12.660 --> 00:07:14.300]   As you move into retirement,
[00:07:14.300 --> 00:07:16.220]   yes, you wanna be taking less risk,
[00:07:16.220 --> 00:07:19.060]   but then that first day of retirement at that point,
[00:07:19.060 --> 00:07:21.980]   maybe it doesn't make sense to decrease risk at that point.
[00:07:21.980 --> 00:07:23.540]   It might not be completely unreasonable
[00:07:23.540 --> 00:07:26.700]   to increase the amount of risk that you're taking.
[00:07:26.700 --> 00:07:29.860]   So let's say the age and bonds rule is good up to a point,
[00:07:29.860 --> 00:07:31.380]   the first day of retirement after that,
[00:07:31.380 --> 00:07:33.460]   it might not be as useful.
[00:07:33.460 --> 00:07:35.820]   We've got one more question from the Bogleheads community
[00:07:35.820 --> 00:07:36.780]   that I got beforehand.
[00:07:36.780 --> 00:07:37.940]   If you've got your question,
[00:07:37.940 --> 00:07:39.480]   make sure to give it to Christine Benz.
[00:07:39.480 --> 00:07:40.380]   She's up front here.
[00:07:40.380 --> 00:07:42.280]   She's gonna be our question moderator.
[00:07:42.280 --> 00:07:46.180]   All right, so our final question that we got beforehand
[00:07:46.180 --> 00:07:47.260]   from the Bogleheads community,
[00:07:47.260 --> 00:07:50.180]   this one is from Patty Fairchild from Bogleheads Facebook,
[00:07:50.180 --> 00:07:53.220]   who asks about alternative assets,
[00:07:53.220 --> 00:07:55.460]   such as private equity and private credit.
[00:07:55.460 --> 00:07:59.380]   What role do they have in a retirement portfolio?
[00:07:59.380 --> 00:08:01.820]   - Well, I could give the very simple answer
[00:08:01.820 --> 00:08:05.300]   that William Bernstein gave earlier and just say none,
[00:08:05.300 --> 00:08:07.480]   but that wouldn't really be the answer.
[00:08:07.480 --> 00:08:11.740]   I've been practicing as a financial planner since 1995,
[00:08:11.740 --> 00:08:13.520]   and I've had clients come in
[00:08:13.520 --> 00:08:15.500]   that did all kinds of private equity,
[00:08:15.500 --> 00:08:17.140]   private credit investments,
[00:08:17.140 --> 00:08:20.580]   and that's a pretty broad category in itself.
[00:08:20.580 --> 00:08:24.640]   Oftentimes it's, you know, a friend is starting this,
[00:08:24.640 --> 00:08:27.300]   or I've heard about this private offering,
[00:08:27.300 --> 00:08:30.660]   and without exception,
[00:08:30.660 --> 00:08:33.740]   I have seen every single one lose money.
[00:08:33.740 --> 00:08:35.780]   Every one.
[00:08:35.780 --> 00:08:39.220]   Now, the one exception was a company called iMortgage
[00:08:39.220 --> 00:08:41.740]   that the client invested 25,000,
[00:08:41.740 --> 00:08:43.740]   and I think it turned into about half a million
[00:08:43.740 --> 00:08:45.020]   over a 12-year period.
[00:08:45.020 --> 00:08:48.260]   So it was, you know, by far a winner.
[00:08:48.260 --> 00:08:50.340]   But when you're looking at private equity,
[00:08:50.340 --> 00:08:52.700]   private credit investments, you know,
[00:08:52.700 --> 00:08:54.340]   as we say, there's no free lunch,
[00:08:54.340 --> 00:08:55.780]   except apparently for the Vanguard
[00:08:55.780 --> 00:08:58.060]   Total Market Index return fund,
[00:08:58.060 --> 00:09:00.340]   where maybe there is some free lunch right now.
[00:09:00.340 --> 00:09:04.140]   But typically, higher returns mean higher risk.
[00:09:04.140 --> 00:09:08.540]   And so you have to decide, like, is it worth it?
[00:09:08.540 --> 00:09:10.540]   You know, what's the potential value
[00:09:10.540 --> 00:09:11.980]   that adding this asset class
[00:09:11.980 --> 00:09:13.740]   is really gonna do for your portfolio?
[00:09:13.740 --> 00:09:16.300]   They're often illiquid asset classes.
[00:09:16.300 --> 00:09:19.100]   I don't like illiquidity in retirement.
[00:09:19.100 --> 00:09:21.060]   And are you really gonna get enough
[00:09:21.060 --> 00:09:23.620]   to have, you know, potential return
[00:09:23.620 --> 00:09:26.260]   to make that additional risk worth it?
[00:09:26.260 --> 00:09:28.860]   In most cases, I think the answer is no.
[00:09:28.860 --> 00:09:31.100]   Where I could see it be appropriate
[00:09:31.100 --> 00:09:34.180]   is when you're talking about much higher net worth clients,
[00:09:34.180 --> 00:09:36.660]   you're talking about $20 million portfolios
[00:09:36.660 --> 00:09:39.500]   where they're really looking at adding diversification,
[00:09:39.500 --> 00:09:42.500]   then maybe adding some of those alternative asset classes
[00:09:42.500 --> 00:09:44.340]   starts to make sense.
[00:09:44.340 --> 00:09:46.740]   - So to be a bookhead, I'll say one thing
[00:09:46.740 --> 00:09:48.580]   that's really important that's missing from this question
[00:09:48.580 --> 00:09:49.660]   is what are the fees, right?
[00:09:49.660 --> 00:09:51.060]   We're asking about an investment,
[00:09:51.060 --> 00:09:52.420]   but we're totally ignoring the fees.
[00:09:52.420 --> 00:09:54.660]   And that's the problem with a lot of the private investments
[00:09:54.660 --> 00:09:55.860]   that are out there.
[00:09:55.860 --> 00:09:58.820]   Yes, maybe you're able to access a different asset class
[00:09:58.820 --> 00:10:00.220]   as sexy as it is,
[00:10:00.220 --> 00:10:02.620]   but you're ignoring the really important factor of cost.
[00:10:02.620 --> 00:10:04.180]   So once you factor in cost,
[00:10:04.180 --> 00:10:06.180]   maybe these products aren't gonna perform
[00:10:06.180 --> 00:10:08.020]   as you think they might.
[00:10:08.020 --> 00:10:11.540]   So Christine is going around now collecting your questions,
[00:10:11.540 --> 00:10:14.940]   and I will wait for her to come back
[00:10:14.940 --> 00:10:18.740]   'cause I can ask you another question in the meantime.
[00:10:18.740 --> 00:10:20.860]   So let's, thank you.
[00:10:20.860 --> 00:10:24.940]   So let's start with where often do you see money
[00:10:24.940 --> 00:10:28.100]   getting left on the table when it comes to retirees?
[00:10:28.100 --> 00:10:32.500]   - The biggest areas I've seen money left on the table
[00:10:32.500 --> 00:10:35.580]   would be people who don't do planning.
[00:10:35.580 --> 00:10:37.580]   And by money left on the table,
[00:10:37.580 --> 00:10:41.580]   a lot of people are gonna be fine following a rule of thumb,
[00:10:41.580 --> 00:10:43.340]   and they're not gonna run out of money.
[00:10:43.340 --> 00:10:46.700]   But as Mike Piper was just talking about,
[00:10:46.700 --> 00:10:50.860]   that idea of giving more or you have enough,
[00:10:50.860 --> 00:10:53.660]   and so what do you really want to do?
[00:10:53.660 --> 00:10:56.540]   And we talked to our clients about this also
[00:10:56.540 --> 00:10:58.340]   in terms of what are the things
[00:10:58.340 --> 00:11:00.340]   that can really make a difference?
[00:11:00.340 --> 00:11:03.980]   And so it's not leaving money necessarily on the table,
[00:11:03.980 --> 00:11:06.180]   but quality of life on the table,
[00:11:06.180 --> 00:11:10.820]   or we have a client who, as most of you are, very frugal,
[00:11:10.820 --> 00:11:13.140]   and that's why they've been successful at saving.
[00:11:13.140 --> 00:11:15.420]   And so when we talked about spending more,
[00:11:15.420 --> 00:11:16.980]   I didn't mean much to them,
[00:11:16.980 --> 00:11:19.420]   but they have a family member
[00:11:19.420 --> 00:11:21.540]   who has always lived paycheck to paycheck
[00:11:21.540 --> 00:11:23.620]   and had some healthcare problems,
[00:11:23.620 --> 00:11:27.220]   and they thought, "Wow, if we can give this person $10,000,
[00:11:27.220 --> 00:11:29.200]   "what a difference it would make."
[00:11:29.200 --> 00:11:30.780]   And they did.
[00:11:30.780 --> 00:11:32.600]   And this person at first was just like,
[00:11:32.600 --> 00:11:33.660]   "Why are you doing this?"
[00:11:33.660 --> 00:11:35.400]   And they explained their rationality.
[00:11:35.400 --> 00:11:37.500]   They had read the book "Die With Zero."
[00:11:37.500 --> 00:11:42.060]   And it just, you know, they were able to firsthand see
[00:11:42.060 --> 00:11:45.220]   what was the impact that they made on this person's life.
[00:11:45.220 --> 00:11:48.180]   And so that can be something that gets left on the table,
[00:11:48.180 --> 00:11:51.060]   that if you didn't do the proper planning
[00:11:51.060 --> 00:11:52.380]   and know that you could do this,
[00:11:52.380 --> 00:11:54.340]   you missed out on that experience.
[00:11:54.340 --> 00:11:57.260]   - We've got a follow-up question
[00:11:57.260 --> 00:11:58.500]   to what we were talking about earlier,
[00:11:58.500 --> 00:11:59.900]   which is that age and bonds rule.
[00:11:59.900 --> 00:12:03.100]   So related, is a Vanguard target date fund adequate
[00:12:03.100 --> 00:12:04.660]   for a retirement portfolio?
[00:12:04.660 --> 00:12:06.360]   When would it not be adequate?
[00:12:06.360 --> 00:12:08.980]   - Is it adequate?
[00:12:08.980 --> 00:12:11.460]   Yeah, you know, I think it would be.
[00:12:11.460 --> 00:12:14.420]   I think, who was it that talked about
[00:12:14.420 --> 00:12:16.100]   the reasonable retirement portfolios?
[00:12:16.100 --> 00:12:17.020]   Jim.
[00:12:17.020 --> 00:12:19.100]   And so I haven't seen that,
[00:12:19.100 --> 00:12:20.300]   but it sounds like there's hundreds
[00:12:20.300 --> 00:12:22.140]   of reasonable retirement portfolios.
[00:12:22.140 --> 00:12:24.380]   And I think a Vanguard target date fund
[00:12:24.380 --> 00:12:27.200]   could be one of many of those options
[00:12:27.200 --> 00:12:29.940]   in terms of reasonable retirement portfolios.
[00:12:29.940 --> 00:12:33.060]   Could you have a different approach that, you know,
[00:12:33.060 --> 00:12:36.220]   it's all that might allow you to have different results
[00:12:36.220 --> 00:12:37.260]   or different outcomes?
[00:12:37.260 --> 00:12:38.080]   Yes.
[00:12:38.080 --> 00:12:40.500]   But is it a reasonable approach?
[00:12:40.500 --> 00:12:41.660]   Absolutely.
[00:12:41.660 --> 00:12:43.660]   To me, what's most important
[00:12:43.660 --> 00:12:46.620]   is whatever approach you're gonna use,
[00:12:46.620 --> 00:12:49.060]   is you stick with that approach.
[00:12:49.060 --> 00:12:52.280]   And so where I see the most trouble happen
[00:12:52.280 --> 00:12:54.780]   is people start and then they jump ship
[00:12:54.780 --> 00:12:56.100]   and then they jump ship.
[00:12:56.100 --> 00:12:57.740]   And oftentimes those times
[00:12:57.740 --> 00:13:00.420]   where they're making a big shift are,
[00:13:00.420 --> 00:13:01.460]   they may not think so,
[00:13:01.460 --> 00:13:03.420]   but they're because of market-driven events
[00:13:03.420 --> 00:13:05.940]   and perhaps emotionally they're fearful
[00:13:05.940 --> 00:13:07.620]   that they made the wrong decision.
[00:13:07.620 --> 00:13:11.060]   And those changes end up hurting them a lot more
[00:13:11.060 --> 00:13:13.620]   than if they had just stuck with whatever strategy it was
[00:13:13.620 --> 00:13:14.740]   that they wanted to follow
[00:13:14.740 --> 00:13:17.980]   and used it in a very disciplined fashion
[00:13:17.980 --> 00:13:20.500]   throughout their retirement years.
[00:13:20.500 --> 00:13:23.900]   When would a target date retirement fund
[00:13:23.900 --> 00:13:24.940]   not be appropriate?
[00:13:24.940 --> 00:13:30.460]   Well, (laughs)
[00:13:30.460 --> 00:13:33.260]   I can tell you, so as a financial advisor,
[00:13:33.260 --> 00:13:35.980]   I wouldn't use a retirement target date fund
[00:13:35.980 --> 00:13:38.980]   because I feel like people are paying us
[00:13:38.980 --> 00:13:42.260]   to do something that is more customized.
[00:13:42.260 --> 00:13:44.300]   It is more complex.
[00:13:44.300 --> 00:13:47.540]   And so does that complexity pay off?
[00:13:47.540 --> 00:13:49.140]   We're not being paid
[00:13:49.140 --> 00:13:52.500]   to necessarily deliver a superior result.
[00:13:52.500 --> 00:13:53.780]   It may or may not.
[00:13:53.780 --> 00:13:55.580]   We know we can't guarantee that,
[00:13:55.580 --> 00:13:59.020]   but we are being paid to manage risks and outcomes
[00:13:59.020 --> 00:14:01.100]   and provide advice and planning.
[00:14:01.100 --> 00:14:03.500]   So if you were to hire a financial advisor
[00:14:03.500 --> 00:14:04.900]   and they were charging you 1%
[00:14:04.900 --> 00:14:07.060]   to put you in a target date retirement fund,
[00:14:07.060 --> 00:14:10.740]   I would think that would be not an appropriate use.
[00:14:10.740 --> 00:14:13.780]   Other than that, if you wanted a very simple strategy
[00:14:13.780 --> 00:14:16.420]   and you were willing to leave it and forget it
[00:14:16.420 --> 00:14:18.660]   and were comfortable having all your money
[00:14:18.660 --> 00:14:20.980]   in a target date fund,
[00:14:20.980 --> 00:14:23.060]   they're very diversified in themselves.
[00:14:23.060 --> 00:14:24.500]   It's very simple.
[00:14:24.500 --> 00:14:26.300]   It could be just leave it alone
[00:14:26.300 --> 00:14:28.340]   and I don't have to think about it again.
[00:14:28.340 --> 00:14:31.700]   - So here's a great question.
[00:14:31.700 --> 00:14:35.180]   Lots of people make some significant financial mistakes.
[00:14:35.180 --> 00:14:36.940]   What are some of the ones that you've seen
[00:14:36.940 --> 00:14:38.700]   that we can avoid?
[00:14:38.700 --> 00:14:42.660]   - Oh my goodness, I have stories.
[00:14:42.660 --> 00:14:47.420]   So the first one that comes to mind is a client.
[00:14:47.420 --> 00:14:52.100]   So he was a pilot and mandatory retirement at 65.
[00:14:52.100 --> 00:14:53.740]   And so we'd been planning for years
[00:14:53.740 --> 00:14:56.300]   and he was gonna be very comfortable and is,
[00:14:56.300 --> 00:14:59.660]   but right before he retired, he came to me and he said,
[00:14:59.660 --> 00:15:02.460]   "Dana, I am not gonna need to take anything
[00:15:02.460 --> 00:15:04.060]   "out of my portfolio."
[00:15:04.060 --> 00:15:05.260]   And I was like, what?
[00:15:05.260 --> 00:15:06.380]   Like, why?
[00:15:06.380 --> 00:15:11.260]   Well, I put this $80,000 in this currency trading program
[00:15:11.260 --> 00:15:14.700]   and it is paying me $5,000 a month.
[00:15:14.700 --> 00:15:16.780]   And I just thought, oh no.
[00:15:16.780 --> 00:15:19.420]   Like, he's getting real checks
[00:15:19.420 --> 00:15:22.140]   and so it's very hard to argue with that,
[00:15:22.140 --> 00:15:24.940]   but you know instantly this is not sustainable.
[00:15:24.940 --> 00:15:26.340]   It can't be true.
[00:15:26.340 --> 00:15:28.620]   And so about four or five months later,
[00:15:28.620 --> 00:15:31.260]   it was of course discovered to be a Ponzi scheme.
[00:15:31.260 --> 00:15:35.140]   And he did get five months worth of checks back
[00:15:35.140 --> 00:15:38.300]   and then lost the remaining amount of the 80,000.
[00:15:38.300 --> 00:15:41.860]   Luckily, that was only a small portion of his portfolio.
[00:15:41.860 --> 00:15:46.340]   His core portfolio remained intact and so he's just fine.
[00:15:46.340 --> 00:15:52.940]   The worst that I saw was a client, she was a widow.
[00:15:52.940 --> 00:15:56.580]   She had four daughters and remarried
[00:15:56.580 --> 00:16:00.740]   and they decided to move their assets to a firm
[00:16:00.740 --> 00:16:03.900]   that was of the same religious affiliation as them
[00:16:03.900 --> 00:16:07.700]   and had thanked me for all our years of service
[00:16:07.700 --> 00:16:10.540]   and they moved on.
[00:16:10.540 --> 00:16:13.580]   And a few years later, I got a call from the husband
[00:16:13.580 --> 00:16:16.340]   and said, we'd really like to come in and see you.
[00:16:16.340 --> 00:16:18.500]   It was a $4 million portfolio
[00:16:18.500 --> 00:16:20.500]   and they came in and brought me all the paperwork.
[00:16:20.500 --> 00:16:23.620]   And I literally remember it turning white as a sheet.
[00:16:23.620 --> 00:16:27.060]   So they had basically signed away all the assets
[00:16:27.060 --> 00:16:29.940]   on three promissory notes
[00:16:29.940 --> 00:16:33.860]   into private real estate lending things.
[00:16:33.860 --> 00:16:37.660]   And I had to send them to an attorney,
[00:16:37.660 --> 00:16:39.660]   contact the local regulators,
[00:16:39.660 --> 00:16:42.140]   but basically that money was gone.
[00:16:42.140 --> 00:16:45.660]   And so that was the worst thing I saw
[00:16:45.660 --> 00:16:49.240]   of someone that based a decision based on trust
[00:16:49.240 --> 00:16:52.300]   and they really got snowballed
[00:16:52.300 --> 00:16:55.300]   and just didn't know enough to know the level of risk
[00:16:55.300 --> 00:16:56.400]   that they were taking.
[00:16:56.400 --> 00:16:59.760]   Those are some extreme mistakes.
[00:16:59.760 --> 00:17:03.660]   Some more common mistakes, concentrated stock risk
[00:17:03.660 --> 00:17:06.980]   and so clients that simply won't diversify
[00:17:06.980 --> 00:17:09.220]   out of a concentrated stock portfolio,
[00:17:09.220 --> 00:17:12.940]   executives at Fortune 500 companies.
[00:17:12.940 --> 00:17:16.540]   I have some that will absolutely
[00:17:16.540 --> 00:17:18.580]   set up a diversification plan,
[00:17:18.580 --> 00:17:24.100]   one that did not and they'll still be okay,
[00:17:24.100 --> 00:17:26.500]   but it's hard to watch.
[00:17:26.500 --> 00:17:28.700]   One of the foundational things I saw
[00:17:28.700 --> 00:17:31.860]   when I first moved to Arizona, I worked for a CPA firm
[00:17:31.860 --> 00:17:34.900]   and we were in Mesa, Arizona, which is pretty close to,
[00:17:34.900 --> 00:17:37.300]   there's an Intel facility down there.
[00:17:37.300 --> 00:17:39.140]   And so we had a lot of Intel clients
[00:17:39.140 --> 00:17:43.180]   and there was a woman who was in mid to late 60s,
[00:17:43.180 --> 00:17:45.960]   she had $10 million in Intel stock
[00:17:45.960 --> 00:17:48.780]   and we were trying to convince her to diversify,
[00:17:48.780 --> 00:17:50.100]   it did not.
