
[00:00:00.040 --> 00:00:10.620]   care
[00:12:55.160 --> 00:13:23.880]  recorde.com/book-in-the-book.html I really like to read this book, and I really want to own this book. But right now, I'm focused on frugality. I'm going to choose not to buy this book for $19.99. I'm going to wait, and I'm going to put it on a list. What I recommend you do is pull out your phone and make a micro-transfer of $19.99 out of your checking account into whatever your highest financial goal is. If you're saving money for a goal, just make a $19.99
[00:13:23.880 --> 00:13:23.880]   transfer into your checking account.
[00:13:23.880 --> 00:13:23.880]   Make a $19.99 transfer into your highest financial goal. If you're saving money for a goal, just make a $19.99 transfer into your highest financial goal. If you're saving money for a goal, just make a $19.99
[00:13:23.880 --> 00:13:23.880]   transfer into your highest financial goal. If you're saving money for a goal, just make a $19.99
[00:13:24.120 --> 00:13:52.640]   a $19.99 transfer into your highest financial goal. If you're saving money for a goal, just make a $19.99
[00:13:52.640 --> 00:13:52.640]   transfer into your highest financial goal. If you're saving money for a goal, just make a $19.99
[00:13:52.640 --> 00:13:52.640]   transfer into your highest financial goal. If you're saving money for a goal, just make a $19.99
[00:13:52.640 --> 00:13:52.640]   transfer into your highest financial goal. If you're saving money for a goal, just make a $19.99
[00:13:52.680 --> 00:14:02.700]   en
[00:14:02.700 --> 00:14:04.900]   gun, gig gig, fest,,,
[00:14:21.440 --> 00:14:49.460]   gi
[00:16:16.840 --> 00:16:16.840]   and
[00:16:16.880 --> 00:16:18.900]   de
[00:16:18.900 --> 00:16:28.300]   this,
[00:17:13.120 --> 00:17:13.120]   and,
[00:17:13.160 --> 00:17:19.160]  ,
[00:17:41.300 --> 00:18:09.400]  łych.com.
[00:18:09.400 --> 00:18:09.400]   If you use some sort of electronic bill pay, then you can do this for free and you can play these games with these micropayments. Will your mortgage company really want to receive 22 different checks in a month? Probably not. But that's not your problem. Let them figure it out.
[00:18:09.420 --> 00:18:37.540]   If you use some sort of electronic bill pay, then you can do this for free and you can play these games with these micropayments. Will your mortgage company really want to receive 22 different checks in a month? Probably not. But that's not your problem. Let them figure it out.
[00:18:37.540 --> 00:18:37.540]   If you use some sort of electronic bill pay, then you can do this for free and you can play these games with these micropayments. Will your mortgage company really want to receive 22 different checks in a month? Probably not. But that's not your problem. Let them figure it out.
[00:18:37.540 --> 00:18:37.540]   If you use some sort of electronic bill pay, then you can do this for free and you can play these games with these micropayments. Will your mortgage company really want to receive 22 different checks in a month? Probably not. But that's not your problem. Let them figure it out.
[00:18:37.540 --> 00:19:05.680]  , and it should go to a separate account that's just for credit card payments.
[00:19:05.680 --> 00:19:05.680]   That way you make sure that you never ever ever miss a payment because you know that no matter what a minimum payment is going to be paid on every single one of your credit cards.
[00:19:05.680 --> 00:19:05.680]   So I believe that's a superior strategy than you manually paying credit cards because it's a danger that especially if you have a lot of credit cards and a lot of payments and minimum payments do here and there throughout the month.
[00:19:05.680 --> 00:19:06.680]   It's just too big of a danger that it would harm your credit score to ever be able to be able to receive the money.
[00:19:06.680 --> 00:19:06.680]   So I believe that's a separate account that you never ever ever pay that you never ever pay a payment because you never ever pay a payment and never pay a minimum payment is going to receive a minimum payment.
[00:19:06.700 --> 00:19:08.720]   credit score to ever be late on a payment.
[00:19:08.720 --> 00:19:11.920]   And so the goal is never be late on a single payment.
[00:19:11.920 --> 00:19:12.520]   You can do it.
[00:19:12.520 --> 00:19:16.020]   If you're someone who's struggled with being late in the past, you can do it.
[00:19:16.020 --> 00:19:17.620]   I am in my mid-30s.
[00:19:17.620 --> 00:19:23.220]   I have had credit accounts since I was 18 years old on my 18th birthday and to date.
[00:19:23.220 --> 00:19:31.020]   I have never been a day late on a single payment in my life and that helps massively on your credit score.
[00:19:31.020 --> 00:19:32.820]   It's one of the most important things.
[00:19:32.820 --> 00:19:35.820]   Well, it's not that hard to do you just sit down and you analyze the problem and say I can't do this.
[00:19:35.820 --> 00:19:35.820]   It's not that hard to do you just sit down and you analyze the problem and say I can't do this.
[00:19:35.820 --> 00:19:35.820]   It's not that hard to do you say I can't do this.
[00:19:35.820 --> 00:19:35.820]   It's not that hard to do it.
[00:19:35.820 --> 00:19:35.820]   It's not that hard to do it.
[00:19:36.460 --> 00:20:05.060]   It's not that hard to do it.
[00:20:05.060 --> 00:20:05.160]   It's not that hard to do it.
[00:20:05.160 --> 00:20:05.260]   It's not that hard to do it.
[00:20:05.260 --> 00:20:05.360]   It's not that hard to do it.
[00:20:05.360 --> 00:20:05.360]   It's not that hard to do it.
[00:20:05.360 --> 00:20:05.460]   It's not that hard to do it.
[00:20:05.460 --> 00:20:05.460]   It's not that hard to do it.
[00:20:05.460 --> 00:20:05.460]   It's not that hard to do it.
[00:20:05.460 --> 00:20:05.460]   It's not that hard to do it.
[00:20:05.460 --> 00:20:05.460]   It's not that hard to do it.
[00:20:05.460 --> 00:20:05.460]   It's not that hard to do it.
[00:20:05.460 --> 00:20:05.560]   It's not that hard to do it.
[00:20:05.560 --> 00:20:05.560]   It's not that do it's not to be late on a single payment.
[00:20:05.560 --> 00:20:05.560]   I can never be late on a single day.
[00:20:05.560 --> 00:20:05.560]   If you can never be late on a single date.
[00:20:05.560 --> 00:20:05.660]   I can never be late on a day.
[00:20:05.680 --> 00:20:10.100]   So that you never miss a payment now with other things.
[00:20:10.100 --> 00:20:10.200]   Now with other things.
[00:20:10.200 --> 00:20:11.000]   I can never be late on a single day.
[00:20:11.000 --> 00:20:14.800]   Sometimes generally mortgage companies you have to initiate the check.
[00:20:14.800 --> 00:20:20.100]   So when there's a debt that's on your credit report, make sure that that gets paid no matter what.
[00:20:20.100 --> 00:20:20.600]   So when there's a debt that's on your credit report, make sure that that gets paid no matter what.
[00:20:20.600 --> 00:20:24.600]   So it's good for you to have a standing automatic mortgage payment.
[00:20:24.600 --> 00:20:24.600]   So it's good for you to have a standing automatic mortgage payment.
[00:20:24.600 --> 00:20:35.300]   But generally if that's your only other debt you can remember that but if you have a car payment or whatever make sure that your bank initiates sending of a check.
[00:20:35.300 --> 00:20:35.300]   But generally if that's your only other debt you can remember that but if you have a car payment or whatever make sure that your bank initiates sending of a check.
[00:20:35.440 --> 00:21:04.940]  ,
[00:21:04.940 --> 00:21:05.140]   It's a little safer in any kind of debtor situation for you to keep all the control and use your bank's functionality of sending out a check or sending out a payment then to give your credit or electronic access to your checking account. I concede the argument that it's not perfectly safe to let a credit card company access your checking account on their end automatically. That's not perfectly safe. But I think the benefits outweigh the risk in terms of the benefits of making sure that you can juggle multiple credit cards and never be late on a single date.
[00:21:05.140 --> 00:21:05.140]   But I think the benefits outweigh the risk in terms of the benefits of making sure that you can juggle multiple credit cards and never be late on a single date.
[00:21:05.140 --> 00:21:05.140]   But I think the benefits outweigh the risk in terms of the benefits of making sure that you can juggle multiple credit cards and never be late on a single date.
[00:21:05.160 --> 00:21:34.980]   You feel free to run your own finances as you like.
[00:21:34.980 --> 00:21:34.980]   You feel free to run your own finances as you like.
[00:21:34.980 --> 00:21:34.980]   You feel free to run your own finances as you like.
[00:21:34.980 --> 00:21:34.980]   You feel free to run your own finances as you like.
[00:21:34.980 --> 00:21:34.980]   You feel free to run your own finances as you like.
[00:21:34.980 --> 00:21:35.140]   You feel free to run your own finances as you like.
[00:21:35.140 --> 00:21:35.160]   You feel free to run your own finances as you like.
[00:21:35.160 --> 00:21:35.160]   You feel free to run your own finances as you like.
[00:21:35.160 --> 00:21:35.160]   You feel free to run your own finances as you like.
[00:21:35.160 --> 00:21:35.160]   You feel free to run your own finances as you like.
[00:21:35.160 --> 00:21:35.160]   You feel free to run your own finances as you like.
[00:21:35.160 --> 00:21:35.160]   You feel free to run your own finances as you like.
[00:21:35.160 --> 00:21:35.160]   You feel free to run your own finances as you like.
[00:21:35.160 --> 00:21:35.160]   You feel free to run your own finances as you like.
[00:21:35.160 --> 00:21:35.160]   You feel free to run your own finances as you like.
[00:21:35.160 --> 00:22:05.180]   You feel free to run your own finances as you like.
[00:22:05.180 --> 00:22:05.180]   You feel free to run your own finances as you like.
[00:22:05.180 --> 00:22:05.180]   You feel free to run your own finances as you like.
[00:22:05.180 --> 00:22:05.180]   You feel free to run your own finances as you like.
[00:22:05.180 --> 00:22:05.180]   You feel free to run your own finances as you like.
[00:22:05.180 --> 00:22:05.180]   You feel free to run your own finances as you like.
[00:22:05.180 --> 00:22:05.180]   You feel free to run your own finances as you like.
[00:22:05.180 --> 00:22:05.180]   You feel free to run your own finances as you like.
[00:22:05.200 --> 00:22:35.200]   I feel free to run your own finances as you like.
[00:22:35.200 --> 00:22:35.200]   I feel free to run your own finances as you like.
[00:22:35.200 --> 00:22:35.200]   I feel free to run your own finances as you like.
[00:22:35.200 --> 00:22:35.200]   I feel free to run your own finances as you like.
[00:22:35.200 --> 00:22:35.200]   I feel free to run your own finances as you like.
[00:22:35.200 --> 00:22:35.200]   I feel free to run your own finances as you like.
[00:22:35.200 --> 00:22:35.200]   I feel free to run your own finances as you like.
[00:22:35.200 --> 00:22:35.200]   I feel free to run your own finances as you like.
[00:22:35.200 --> 00:22:35.200]   I feel free to run your own finances as you like.
[00:22:35.200 --> 00:22:35.200]   I feel free to run your own finances as you like.
[00:22:35.200 --> 00:22:35.200]   I feel free to run your own finances as you like.
[00:22:35.200 --> 00:22:35.200]   I feel free to run your own finances as you like.
[00:22:35.200 --> 00:22:35.200]   I feel free to run your own finances as you like.
[00:22:35.200 --> 00:22:35.200]   I feel free to run your own finances as you like.
[00:22:35.200 --> 00:22:35.200]   I feel free to run your own finances as you like.
[00:22:35.200 --> 00:23:05.220]   I feel free to run your own finances as you like.
[00:23:05.220 --> 00:23:05.220]   I feel free to run your own finances as you like.
[00:23:05.220 --> 00:23:05.220]   I feel free to run your own finances as you like.
[00:23:05.220 --> 00:23:05.220]   I feel free to run your own finances as you like.
[00:23:05.220 --> 00:23:05.220]   I feel free to run your own finances as you like.
[00:23:05.220 --> 00:23:05.220]   I feel free to run your own finances as you like.
[00:23:05.220 --> 00:23:05.220]   I feel free to run your own finances as you like.
[00:23:05.220 --> 00:23:05.220]   I feel free to run your own finances as you like.
[00:23:05.220 --> 00:23:05.220]   I feel free to run your own finances as you like.
[00:23:05.220 --> 00:23:05.220]   I feel free to run your own finances as you like.
[00:23:05.220 --> 00:23:05.220]   I feel free to run your own finances as you like.
[00:23:05.240 --> 00:23:35.240]   I feel free to run your own finances as you like.
[00:23:35.240 --> 00:23:35.240]   I feel free to run your own finances as you like.
[00:23:35.240 --> 00:23:35.240]   I feel free to run your own finances as you like.
[00:23:35.240 --> 00:23:35.240]   I feel free to run your own finances as you like.
[00:23:35.240 --> 00:23:35.240]   I feel free to run your own finances as you like.
[00:23:35.240 --> 00:23:35.240]   I feel free to run your own finances as you like.
[00:23:35.240 --> 00:23:35.240]   I feel free to run your own finances as you like.
[00:23:35.240 --> 00:23:35.240]   I feel free to run your own finances as you like.
[00:23:35.240 --> 00:23:35.240]   I feel free to run your own finances as you like.
[00:23:35.240 --> 00:23:35.240]   I feel free to run your own finances as you like.
[00:23:35.240 --> 00:23:35.240]   I feel free to run your own finances as you like.
[00:23:35.240 --> 00:23:35.240]   I feel free to run your own finances as you like.
[00:23:35.240 --> 00:23:35.240]   I feel free to run your own finances as you like.
[00:23:35.240 --> 00:23:35.240]   I feel free to run your own finances as you like.
[00:23:35.240 --> 00:23:35.240]   I feel free to run your own finances as you like.
[00:23:35.240 --> 00:24:05.260]   I feel free to run your own finances as you like.
[00:24:05.260 --> 00:24:05.260]   I feel free to run your own finances as you like.
[00:24:05.260 --> 00:24:05.260]   I feel free to run your own finances as you like.
[00:24:05.260 --> 00:24:05.260]   I feel free to run your own finances as you like.
[00:24:05.260 --> 00:24:05.260]   I feel free to run your own finances as you like.
[00:24:05.260 --> 00:24:05.260]   I feel free to run your own finances as you like.
[00:24:05.260 --> 00:24:05.260]   I feel free to run your own finances as you like.
[00:24:05.260 --> 00:24:05.260]   I feel free to run your own finances as you like.
[00:24:05.280 --> 00:24:35.280]   I feel free to run your own finances as you like.
[00:24:35.280 --> 00:24:35.280]   I feel free to run your own finances as you like.
[00:24:35.280 --> 00:24:35.280]   I feel free to run your own finances as you like.
[00:24:35.280 --> 00:24:35.280]   I feel free to run your own finances as you like.
[00:24:35.280 --> 00:24:35.280]   I feel free to run your own finances as you like.
[00:24:35.280 --> 00:24:35.280]   I feel free to run your own finances as you like.
[00:24:35.280 --> 00:24:35.280]   I feel free to run your own finances as you like.
[00:24:35.280 --> 00:24:35.280]   I feel free to run your own finances as you like.
[00:24:35.280 --> 00:24:35.280]   I feel free to run your own finances as you like.
[00:24:35.280 --> 00:24:35.280]   I feel free to run your own finances as you like.
[00:24:35.280 --> 00:24:35.280]   I feel free to run your own finances as you like.
[00:24:35.280 --> 00:24:35.280]   I feel free to run your own finances as you like.
[00:24:35.280 --> 00:24:35.280]   I feel free to run your own finances as you like.
[00:24:35.280 --> 00:24:35.280]   I feel free to run your own finances as you like.
[00:24:35.280 --> 00:24:35.280]   I feel free to run your own finances as you like.
[00:24:35.280 --> 00:25:05.300]   I feel free to run your own finances as you like.
[00:25:05.300 --> 00:25:05.300]   I feel free to run your own finances as you like.
[00:25:05.300 --> 00:25:05.300]   I feel free to run your own finances as you like.
[00:25:05.300 --> 00:25:05.300]   I feel free to run your own finances as you like.
[00:25:05.300 --> 00:25:05.300]   I feel free to run your own finances as you like.
[00:25:05.300 --> 00:25:05.300]   I feel free to run your own finances as you like.
[00:25:05.300 --> 00:25:05.300]   I feel free to run your own finances as you like.
[00:25:05.300 --> 00:25:05.300]   I feel free to run your own finances as you like.
[00:25:05.320 --> 00:25:35.320]   I feel free to run your own finances as you like.
[00:25:35.320 --> 00:25:35.320]   I feel free to run your own finances as you like.
[00:25:35.320 --> 00:25:35.320]   I feel free to run your own finances as you like.
[00:25:35.320 --> 00:25:35.320]   I feel free to run your own finances as you like.
[00:25:35.320 --> 00:25:35.320]   I feel free to run your own finances as you like.
[00:25:35.320 --> 00:25:35.320]   I feel free to run your own finances as you like.
[00:25:35.320 --> 00:25:35.320]   I feel free to run your own finances as you like.
[00:25:35.320 --> 00:25:35.320]   I feel free to run your own finances as you like.
[00:25:35.320 --> 00:25:35.320]   I feel free to run your own finances as you like.
[00:25:35.320 --> 00:25:35.320]   I feel free to run your own finances as you like.
[00:25:35.320 --> 00:25:35.320]   I feel free to run your own finances as you like.
[00:25:35.320 --> 00:25:35.320]   I feel free to run your own finances as you like.
[00:25:35.320 --> 00:25:35.320]   I feel free to run your own finances as you like.
[00:25:35.320 --> 00:25:35.320]   I feel free to run your own finances as you like.
[00:25:35.320 --> 00:25:35.320]   I feel free to run your own finances as you like.
[00:25:35.320 --> 00:26:05.340]   I feel free to run your own finances as you like.
[00:26:05.340 --> 00:26:05.340]   I feel free to run your own finances as you like.
[00:26:05.340 --> 00:26:05.340]   I feel free to run your own finances as you like.
[00:26:05.340 --> 00:26:05.340]   I feel free to run your own finances as you like.
[00:26:05.340 --> 00:26:05.340]   I feel free to run your own finances as you like.
[00:26:05.340 --> 00:26:05.340]   I feel free to run your own finances as you like.
[00:26:05.340 --> 00:26:05.340]   I feel free to run your own finances as you like.
[00:26:05.340 --> 00:26:05.340]   I feel free to run your own finances as you like.
[00:26:05.340 --> 00:26:05.340]   I feel free to run your own finances as you like.
[00:26:05.340 --> 00:26:05.340]   I feel free to run your own finances as you like.
[00:26:05.340 --> 00:26:05.340]   I feel free to run your own finances as you like.
[00:26:05.360 --> 00:26:35.360]   It seems to be much more motivating
[00:26:35.360 --> 00:26:35.360]   It seems to be much more motivating
[00:26:35.360 --> 00:26:35.360]   It seems to be much more motivating
[00:26:35.360 --> 00:26:35.360]   It seems to be much more motivating
[00:26:35.360 --> 00:26:35.360]   It seems to be much more motivating
[00:26:35.360 --> 00:26:35.360]   It seems to be much more motivating
[00:26:35.360 --> 00:26:35.360]   It seems to be much more motivating
[00:26:35.360 --> 00:26:35.360]   It seems to be much more motivating
[00:26:35.360 --> 00:26:35.360]   It seems to be much more motivating
[00:26:35.360 --> 00:26:35.360]   It seems to be much more motivating than the people who change their behavior to just put more money in the 401k.
[00:26:35.380 --> 00:27:05.380]   a certain goal within a measurable time frame.
[00:27:05.380 --> 00:27:05.380]   Make sure those goals are not so big that it's going to take you 10 years to reach them and make sure that there's a reward associated with them.
[00:27:05.380 --> 00:27:05.380]   For some people spending rewards are appropriate.
[00:27:05.380 --> 00:27:05.380]   For example, if I can save $10,000 towards my financial freedom and I can put it in this account here towards my big fi account and I can do that by June 1st then
[00:27:05.400 --> 00:27:13.420]   I'm going to allow myself to spend this money on this thing that I really would like but I don't really need it over here.
[00:27:13.420 --> 00:27:13.440]   I'm going to allow myself to spend this money on this thing that I really would like but I don't really need it over here.
[00:27:13.440 --> 00:27:17.500]   So some kind of trade-off like that.
[00:27:17.500 --> 00:27:17.500]   To gain an investment strategy is going to require a little bit more thought and some more personal application than as simple as paying off debt.
[00:27:17.500 --> 00:27:29.500]   To gain an investment strategy is going to require a little bit more thought and some more personal application than as simple as paying off debt.
[00:27:29.500 --> 00:27:31.500]   But here are some thoughts, some recommendations.
[00:27:31.500 --> 00:27:35.400]   First, it's relatively easy to have many different bank accounts.
[00:27:35.400 --> 00:27:35.400]   First, it's relatively easy to have many different bank accounts.
[00:27:35.400 --> 00:27:35.400]   It's relatively easy to have many different bank accounts.
[00:27:35.400 --> 00:27:35.400]   It's relatively easy to have many different bank accounts.
[00:27:35.400 --> 00:27:35.400]   It's relatively easy to have many different bank accounts.
[00:27:35.400 --> 00:28:05.420]  ,
[00:28:05.420 --> 00:28:05.420]   It's relatively easy to have many different bank accounts.
[00:28:05.420 --> 00:28:05.420]   It's relatively easy to have many different bank accounts.
[00:28:05.420 --> 00:28:05.420]   It's relatively easy to have many different bank accounts.
[00:28:05.420 --> 00:28:05.420]   It's relatively easy to have many different bank accounts.
[00:28:05.420 --> 00:28:05.420]   It's relatively easy to have many different bank accounts.
[00:28:05.420 --> 00:28:05.420]   It's relatively easy to have many different bank accounts.
[00:28:05.420 --> 00:28:05.420]   It's relatively easy to have many different bank accounts.
[00:28:05.420 --> 00:28:05.420]   It's relatively easy to have many different bank accounts.
[00:28:05.420 --> 00:28:05.420]   It's relatively easy to have many different bank accounts.
[00:28:05.420 --> 00:28:05.420]   It's relatively easy to have many different bank accounts.
[00:28:05.420 --> 00:28:05.420]   It's relatively easy to have many different bank accounts.
[00:28:05.440 --> 00:28:35.440]   It's relatively easy to have many different bank accounts.
[00:28:35.440 --> 00:28:35.440]   It's relatively easy to have many different bank accounts.
[00:28:35.440 --> 00:28:35.440]   It's relatively easy to have many different bank accounts.
[00:28:35.440 --> 00:28:35.440]   It's relatively easy to have many different bank accounts.
[00:28:35.440 --> 00:28:35.440]   It's relatively easy to have many different bank accounts.
[00:28:35.440 --> 00:28:35.440]   It's relatively easy to have many different bank accounts.
[00:28:35.440 --> 00:28:35.440]   It's relatively easy to have many different bank accounts.
[00:28:35.440 --> 00:28:35.440]   It's relatively easy to have many different bank accounts.
[00:28:35.440 --> 00:28:35.440]   It's relatively easy to have many different bank accounts.
[00:28:35.440 --> 00:28:35.440]   It's relatively easy to have many different bank accounts.
[00:28:35.440 --> 00:28:35.440]   It's relatively easy to have many different bank accounts.
[00:28:35.440 --> 00:28:35.440]   It's relatively easy to have many different bank accounts.
[00:28:35.440 --> 00:28:35.440]   It's relatively easy to have many different bank accounts.
[00:28:35.440 --> 00:28:35.440]   It's relatively easy to have many different bank accounts.
[00:28:35.440 --> 00:28:35.440]   It's relatively easy to have many different bank accounts.
[00:28:35.440 --> 00:28:35.440]   It's relatively easy to have many different bank accounts.
[00:28:35.480 --> 00:29:05.460]   Transportation.
[00:29:05.460 --> 00:29:05.460]   It's relatively easy to have many different bank accounts.
[00:29:05.460 --> 00:29:05.460]   It's relatively easy to have many different bank accounts.
[00:29:05.460 --> 00:29:05.460]   It's relatively easy to have many different bank accounts.
[00:29:05.460 --> 00:29:05.460]   It's relatively easy to have many different bank accounts.
[00:29:05.460 --> 00:29:05.460]   It's relatively easy to have many different bank accounts.
[00:29:05.460 --> 00:29:05.460]   It's relatively easy to have many different bank accounts.
[00:29:05.460 --> 00:29:05.460]   It's relatively easy to have many different bank accounts.
[00:29:05.460 --> 00:29:05.460]   It's relatively easy to have many different bank accounts.
[00:29:05.460 --> 00:29:05.460]   It's relatively easy to have many different bank accounts.
[00:29:05.460 --> 00:29:05.460]   It's relatively easy to have many different bank accounts.
[00:29:05.460 --> 00:29:05.460]   It's relatively easy to have many different bank accounts.
[00:29:05.460 --> 00:29:35.480]   and it's relatively easy to have many different bank accounts.
[00:29:35.480 --> 00:29:35.480]   It's relatively easy to have many different bank accounts.
[00:29:35.480 --> 00:29:35.480]   It's relatively easy to have many different bank accounts.
[00:29:35.480 --> 00:29:35.480]   It's relatively easy to have many different bank accounts.
[00:29:35.480 --> 00:29:35.480]   It's relatively easy to have many different bank accounts.
[00:29:35.480 --> 00:29:35.480]   It's relatively easy to have many different bank accounts.
[00:29:35.480 --> 00:29:35.480]   It's relatively easy to have many different bank accounts.
[00:29:35.480 --> 00:29:35.480]   It's relatively easy to have many different bank accounts.
[00:29:35.480 --> 00:29:35.480]   It's relatively easy to have many different bank accounts.
[00:29:35.480 --> 00:29:35.480]   It's relatively easy to have many different bank accounts.
[00:29:35.480 --> 00:29:35.480]   It's relatively easy to have many different bank accounts.
[00:29:35.480 --> 00:29:35.480]   It's relatively easy to have many different bank accounts.
[00:29:35.480 --> 00:29:35.480]   It's relatively easy to have many different bank accounts. It's really easy to have many different bank accounts.
[00:29:35.480 --> 00:29:35.480]   It's relatively easy to have many different bank accounts. It's really easy to have many different bank accounts.
[00:29:35.500 --> 00:30:05.500]   It's relatively easy to have many different bank accounts. It's really easy to have many different bank accounts.
[00:30:05.500 --> 00:30:05.500]   It's relatively easy to have many different bank accounts. It's really easy to have many different bank accounts.
[00:30:05.500 --> 00:30:05.500]   It's relatively easy to have many different bank accounts. It's really easy to have many different bank accounts.
[00:30:05.500 --> 00:30:05.500]   It's relatively easy to have many different bank accounts. It's really easy to have many different bank accounts.
[00:30:05.500 --> 00:30:05.500]   It's relatively easy to have many different bank accounts. It's really easy to have many different bank accounts.
[00:30:05.500 --> 00:30:05.500]   It's relatively easy to have many different bank accounts. It's really easy to have many different bank accounts.
[00:30:05.500 --> 00:30:05.500]   It's relatively easy to have many different bank accounts. It's relatively easy to have many different bank accounts.
[00:30:05.500 --> 00:30:05.500]   It's relatively easy to have many different bank accounts. It's relatively easy to have many different bank accounts.
[00:30:05.500 --> 00:30:05.500]   It's relatively easy to have many different bank accounts. It's relatively easy to have many different bank accounts.
[00:30:05.540 --> 00:30:35.520]  ,
[00:30:35.520 --> 00:30:35.520]   It's relatively easy to have many different bank accounts. It's relatively easy to have many different bank accounts.
[00:30:35.520 --> 00:30:35.520]   It's relatively easy to have many different bank accounts. It's relatively easy to have many different bank accounts.
[00:30:35.520 --> 00:30:35.520]   It's relatively easy to have many different bank accounts. It's relatively easy to have many different bank accounts.
[00:30:35.540 --> 00:31:05.540]   It's relatively easy to have many different bank accounts. It's relatively easy to have many different bank accounts.
[00:31:05.540 --> 00:31:05.540]   It's relatively easy to have many different bank accounts. It's relatively easy to have many different bank accounts.
[00:31:05.540 --> 00:31:05.540]   It's relatively easy to have many different bank accounts. It's relatively easy to have many different bank accounts.
[00:31:05.540 --> 00:31:05.540]   It's relatively easy to have many different bank accounts. It's relatively easy to have many different bank accounts.
[00:31:05.540 --> 00:31:05.540]   It's relatively easy to have many different bank accounts. It's relatively easy to have many different bank accounts.
[00:31:05.540 --> 00:31:05.540]   It's relatively easy to have many different bank accounts. It's relatively easy to have many different bank accounts.
[00:31:05.540 --> 00:31:05.540]   It's relatively easy to have many different bank accounts. It's relatively easy to have many different bank accounts.
[00:31:05.540 --> 00:31:05.540]   It's relatively easy to have many different bank accounts. It's relatively easy to have many different bank accounts.
[00:31:05.540 --> 00:31:05.540]   It's relatively easy to have many different bank accounts. It's relatively easy to have many different bank accounts.
[00:31:05.580 --> 00:31:35.560]  ,
