
[00:00:00.000 --> 00:00:01.240]   we are becoming cyborgs.
[00:02:49.080 --> 00:02:52.160]   See, I think we'll know if we're in a simulation
[00:02:52.160 --> 00:02:53.720]   if the speed of light changes
[00:02:53.720 --> 00:02:57.240]   because if they can improve their render speed, then.
[00:02:57.240 --> 00:02:58.440]   - Well, it's already pretty good.
[00:02:58.440 --> 00:03:01.000]   - It's already pretty good, but if it improves,
[00:03:01.000 --> 00:03:03.880]   then we'll know, we can probably be like,
[00:03:03.880 --> 00:03:05.320]   okay, they've updated or upgraded.
[00:03:05.320 --> 00:03:06.760]   - Well, it's fast enough for us humans
[00:03:06.760 --> 00:03:10.960]   'cause it seems immediate.
[00:03:10.960 --> 00:03:13.320]   There's no delay, there's no latency
[00:03:13.320 --> 00:03:16.240]   in terms of us humans on Earth interacting with things.
[00:03:16.240 --> 00:03:20.000]   But if you're an intergalactic species
[00:03:20.000 --> 00:03:21.440]   operating on a much larger scale,
[00:03:21.440 --> 00:03:23.840]   then you're gonna start noticing some weird stuff.
[00:03:23.840 --> 00:03:27.320]   Or if you can operate in like around a black hole,
[00:03:27.320 --> 00:03:29.680]   then you're gonna start to see some render issues.
[00:03:29.680 --> 00:03:32.680]   - You can't go faster than the speed of light, correct?
[00:03:32.680 --> 00:03:34.520]   So it really limits our ability
[00:03:34.520 --> 00:03:36.680]   or one's ability to travel space.
[00:03:36.680 --> 00:03:38.920]   - Theoretically, you can, you have wormholes.
[00:03:38.920 --> 00:03:41.880]   So there's nothing in general relativity
[00:03:41.880 --> 00:03:46.880]   that precludes faster than the speed of light to travel,
[00:03:46.880 --> 00:03:49.840]   but it just seems you're gonna have to do
[00:03:49.840 --> 00:03:54.000]   some really funky stuff with very heavy things
[00:03:54.000 --> 00:03:56.080]   that have like weirdnesses,
[00:03:56.080 --> 00:03:58.600]   that have basically tears in space time.
[00:03:58.600 --> 00:03:59.720]   We don't know how to do that.
[00:03:59.720 --> 00:04:01.880]   - Do navigators know how to do it?
[00:04:01.880 --> 00:04:03.040]   - Do navigators?
[00:04:03.040 --> 00:04:03.880]   - Yeah. - Yeah.
[00:04:03.880 --> 00:04:07.000]   - Folding space, basically making wormholes.
[00:04:07.000 --> 00:04:10.240]   - So the name C. - Yes.
[00:04:10.240 --> 00:04:13.120]   - Who are you?
[00:04:13.120 --> 00:04:16.960]   Do you think of yourself as multiple people?
[00:04:16.960 --> 00:04:18.280]   Are you one person?
[00:04:18.280 --> 00:04:20.880]   Do you know, like in this morning,
[00:04:20.880 --> 00:04:23.560]   were you a different person than you are tonight?
[00:04:23.560 --> 00:04:25.840]   We are, I should say, recording this
[00:04:25.840 --> 00:04:27.840]   basically at midnight, which is awesome.
[00:04:27.840 --> 00:04:29.600]   - Yes, thank you so much.
[00:04:29.600 --> 00:04:31.680]   I think I'm about eight hours late.
[00:04:31.680 --> 00:04:33.960]   - No, you're right on time.
[00:04:33.960 --> 00:04:34.800]   Good morning.
[00:04:34.800 --> 00:04:37.200]   This is the beginning of a new day soon.
[00:04:37.200 --> 00:04:39.480]   Anyway, are you the same person
[00:04:39.480 --> 00:04:41.680]   you were in the morning and the evening?
[00:04:41.680 --> 00:04:44.320]   Is there multiple people in there?
[00:04:44.320 --> 00:04:46.240]   Do you think of yourself as one person
[00:04:46.240 --> 00:04:47.520]   or maybe you have no clue?
[00:04:47.520 --> 00:04:50.160]   Or are you just a giant mystery to yourself?
[00:04:50.160 --> 00:04:52.440]   - Okay, these are really intense questions, but--
[00:04:52.440 --> 00:04:53.360]   - Let's go, let's go.
[00:04:53.360 --> 00:04:55.360]   'Cause I ask this myself, like look in the mirror,
[00:04:55.360 --> 00:04:56.320]   who are you?
[00:04:56.320 --> 00:04:57.960]   People tell you to just be yourself,
[00:04:57.960 --> 00:04:59.640]   but what does that even mean?
[00:04:59.640 --> 00:05:01.520]   - I mean, I think my personality changes
[00:05:01.520 --> 00:05:02.960]   with everyone I talk to.
[00:05:02.960 --> 00:05:07.200]   So I have a very inconsistent personality, yeah.
[00:05:07.200 --> 00:05:08.960]   - Person to person, so the interaction,
[00:05:08.960 --> 00:05:11.480]   your personality materializes--
[00:05:11.480 --> 00:05:16.120]   - Or my mood, like I'll go from being like a megalomaniac
[00:05:16.120 --> 00:05:19.920]   to being like, you know, just like a total hermit
[00:05:19.920 --> 00:05:21.400]   who is very shy.
[00:05:21.400 --> 00:05:24.560]   - So some combinatorial combination of your mood
[00:05:24.560 --> 00:05:26.320]   and the person you're interacting with.
[00:05:26.320 --> 00:05:28.080]   - Yeah, mood and people I'm interacting with.
[00:05:28.080 --> 00:05:29.760]   But I think everyone's like that.
[00:05:29.760 --> 00:05:30.880]   Maybe not.
[00:05:30.880 --> 00:05:32.560]   - Well, not everybody acknowledges it
[00:05:32.560 --> 00:05:34.040]   and able to introspect it.
[00:05:34.040 --> 00:05:35.800]   Who brings out, what kind of person,
[00:05:35.800 --> 00:05:38.160]   what kind of mood brings out the best in you
[00:05:38.160 --> 00:05:39.720]   as an artist and as a human?
[00:05:39.720 --> 00:05:41.720]   Can you introspect this?
[00:05:41.720 --> 00:05:45.240]   - Like my best friends, like people who I can,
[00:05:45.240 --> 00:05:47.520]   when I'm like super confident
[00:05:47.520 --> 00:05:50.600]   and I know that they're gonna understand everything
[00:05:50.600 --> 00:05:52.200]   I'm saying, so like my best friends,
[00:05:52.200 --> 00:05:55.400]   then when I can start being really funny,
[00:05:55.400 --> 00:05:57.680]   that's always my like peak mode.
[00:05:57.680 --> 00:06:00.160]   But it's like, yeah, it takes a lot to get there.
[00:06:00.160 --> 00:06:02.360]   - Let's talk about constraints.
[00:06:02.360 --> 00:06:05.600]   You've talked about constraints and limits.
[00:06:05.600 --> 00:06:09.640]   Do those help you out as an artist or as a human being
[00:06:09.640 --> 00:06:10.840]   or do they get in the way?
[00:06:10.840 --> 00:06:11.920]   Do you like the constraints?
[00:06:11.920 --> 00:06:15.440]   So in creating music, in creating art, in living life,
[00:06:15.440 --> 00:06:19.600]   do you like the constraints that this world puts on you?
[00:06:19.600 --> 00:06:24.720]   Or do you hate them?
[00:06:24.720 --> 00:06:29.720]   - If constraints are moving, then you're good, right?
[00:06:29.720 --> 00:06:32.040]   Like it's like as we are progressing with technology,
[00:06:32.040 --> 00:06:34.880]   we're changing the constraints of like artistic creation.
[00:06:34.880 --> 00:06:39.720]   Making video and music and stuff is getting a lot cheaper.
[00:06:39.720 --> 00:06:42.080]   There's constantly new technology and new software
[00:06:42.080 --> 00:06:44.000]   that's making it faster and easier.
[00:06:44.000 --> 00:06:46.680]   We have so much more freedom than we had in the '70s.
[00:06:46.680 --> 00:06:48.680]   Like when Michael Jackson,
[00:06:48.680 --> 00:06:51.440]   when they recorded "Thriller" with this microphone,
[00:06:51.440 --> 00:06:54.000]   like they had to use a mixing desk and all this stuff.
[00:06:54.000 --> 00:06:55.600]   And like probably even getting a studio
[00:06:55.600 --> 00:06:56.560]   is probably really expensive
[00:06:56.560 --> 00:06:57.600]   and you have to be a really good singer
[00:06:57.600 --> 00:06:59.080]   and you have to know how to use
[00:06:59.080 --> 00:07:00.520]   like the mixing desk and everything.
[00:07:00.520 --> 00:07:05.240]   And now I can just, I've made a whole album on this computer.
[00:07:05.240 --> 00:07:06.760]   I have a lot more freedom,
[00:07:06.760 --> 00:07:10.240]   but then I'm also constrained in different ways
[00:07:10.240 --> 00:07:13.680]   'cause there's like literally millions more artists.
[00:07:13.680 --> 00:07:15.680]   It's like a much bigger playing field.
[00:07:15.680 --> 00:07:18.640]   It's just like, I also, I didn't learn music.
[00:07:18.640 --> 00:07:20.200]   I'm not a natural musician.
[00:07:20.200 --> 00:07:22.600]   So I don't know anything about actual music.
[00:07:22.600 --> 00:07:24.760]   I just know about like the computer.
[00:07:24.760 --> 00:07:29.760]   So I'm really kind of just like messing around
[00:07:29.760 --> 00:07:33.240]   and like trying things out.
[00:07:33.240 --> 00:07:35.720]   - Well, yeah, I mean, but the nature of music is changing.
[00:07:35.720 --> 00:07:37.280]   So you're saying you don't know actual music,
[00:07:37.280 --> 00:07:39.200]   what music is changing.
[00:07:39.200 --> 00:07:41.880]   Music is becoming, you've talked about this,
[00:07:41.880 --> 00:07:46.600]   is becoming, it's like merging with technology.
[00:07:46.600 --> 00:07:47.600]   - Yes.
[00:07:47.600 --> 00:07:51.360]   - It's becoming something more than just like
[00:07:51.360 --> 00:07:52.960]   the notes on a piano.
[00:07:52.960 --> 00:07:54.920]   It's becoming some weird composition
[00:07:54.920 --> 00:07:59.400]   that requires engineering skills, programming skills,
[00:07:59.400 --> 00:08:03.400]   some kind of a human robot interaction skills,
[00:08:03.400 --> 00:08:04.720]   and still some of the same things
[00:08:04.720 --> 00:08:06.720]   that Michael Jackson had, which is like a good ear
[00:08:06.720 --> 00:08:09.000]   for a good sense of taste of what's good
[00:08:09.000 --> 00:08:11.480]   and not the final thing, what is put together.
[00:08:11.480 --> 00:08:14.880]   Like you're allowed, you're enabled, empowered
[00:08:14.880 --> 00:08:17.160]   with a laptop to layer stuff,
[00:08:17.160 --> 00:08:20.240]   to start like layering insane amounts of stuff.
[00:08:20.240 --> 00:08:22.240]   And it's super easy to do that.
[00:08:22.240 --> 00:08:23.560]   - I do think music production
[00:08:23.560 --> 00:08:24.960]   is a really underrated art form.
[00:08:24.960 --> 00:08:26.640]   I feel like people really don't appreciate it.
[00:08:26.640 --> 00:08:27.920]   When I look at publishing splits,
[00:08:27.920 --> 00:08:31.120]   the way that people like pay producers and stuff,
[00:08:32.440 --> 00:08:35.560]   it's super, producers are just deeply underrated.
[00:08:35.560 --> 00:08:39.160]   Like so many of the songs that are popular right now
[00:08:39.160 --> 00:08:40.920]   or for the last 20 years,
[00:08:40.920 --> 00:08:42.240]   like part of the reason they're popular
[00:08:42.240 --> 00:08:44.000]   is 'cause the production is really interesting
[00:08:44.000 --> 00:08:45.640]   or really sick or really cool.
[00:08:45.640 --> 00:08:48.040]   And it's like, I don't think listeners,
[00:08:48.040 --> 00:08:52.520]   like people just don't really understand
[00:08:52.520 --> 00:08:54.640]   what music production is.
[00:08:54.640 --> 00:08:57.680]   It's not, it's sort of like this weird
[00:08:57.680 --> 00:08:59.360]   discombobulated art form.
[00:08:59.360 --> 00:09:01.360]   It's not like a formal, because it's so new,
[00:09:01.360 --> 00:09:06.360]   there isn't like a formal training path for it.
[00:09:06.360 --> 00:09:10.160]   It's mostly driven by like autodidacts.
[00:09:10.160 --> 00:09:11.240]   Like it's like almost everyone I know
[00:09:11.240 --> 00:09:12.160]   who's good at production,
[00:09:12.160 --> 00:09:13.720]   like they didn't go to music school or anything.
[00:09:13.720 --> 00:09:15.040]   They just taught themselves.
[00:09:15.040 --> 00:09:16.000]   - Are they mostly different?
[00:09:16.000 --> 00:09:18.360]   Like the music producers you know,
[00:09:18.360 --> 00:09:21.280]   is there some commonalities that tie them together
[00:09:21.280 --> 00:09:23.560]   or are they all just different kinds of weirdos?
[00:09:23.560 --> 00:09:25.400]   'Cause I just hung out with Rick Rubin.
[00:09:25.400 --> 00:09:26.240]   I don't know if you've-
[00:09:26.240 --> 00:09:29.720]   - Yeah, I mean, Rick Rubin is like literally
[00:09:29.720 --> 00:09:31.160]   one of the gods of music production.
[00:09:31.160 --> 00:09:33.760]   Like he's one of the people who first,
[00:09:33.760 --> 00:09:36.280]   you know, who like made music production,
[00:09:36.280 --> 00:09:39.320]   you know, made the production as important
[00:09:39.320 --> 00:09:41.560]   as the actual lyrics or the notes.
[00:09:41.560 --> 00:09:43.520]   - But the thing he does, which is interesting,
[00:09:43.520 --> 00:09:45.480]   I don't know if you can speak to that,
[00:09:45.480 --> 00:09:46.800]   but just hanging out with him,
[00:09:46.800 --> 00:09:48.480]   he seems to just sit there in silence,
[00:09:48.480 --> 00:09:50.760]   close his eyes and listen.
[00:09:50.760 --> 00:09:53.600]   It's like he almost does nothing.
[00:09:53.600 --> 00:09:55.840]   And that nothing somehow gives you freedom
[00:09:55.840 --> 00:09:58.120]   to be the best version of yourself.
[00:09:58.120 --> 00:10:00.000]   So that's music production somehow too,
[00:10:00.000 --> 00:10:02.640]   which is like encouraging you to do less,
[00:10:02.640 --> 00:10:06.840]   to simplify, to like push towards minimalism.
[00:10:06.840 --> 00:10:08.200]   - I mean, I guess, I mean,
[00:10:08.200 --> 00:10:11.560]   I work differently from Rick Rubin
[00:10:11.560 --> 00:10:14.120]   'cause Rick Rubin produces for other artists,
[00:10:14.120 --> 00:10:17.040]   whereas like I mostly produce for myself.
[00:10:17.040 --> 00:10:19.200]   So it's a very different situation.
[00:10:19.200 --> 00:10:21.720]   I also think Rick Rubin, he's in that,
[00:10:21.720 --> 00:10:23.560]   I would say advanced category of producer
[00:10:23.560 --> 00:10:26.560]   where like you've like earned your,
[00:10:26.560 --> 00:10:27.920]   you can have an engineer and stuff
[00:10:27.920 --> 00:10:29.800]   and people like do the stuff for you.
[00:10:29.800 --> 00:10:32.400]   But I usually just like do stuff myself.
[00:10:32.400 --> 00:10:37.400]   - So you're the engineer, the producer and the artist.
[00:10:37.400 --> 00:10:39.840]   - Yeah, I guess I would say I'm in the era,
[00:10:39.840 --> 00:10:41.240]   like the post Rick Rubin era.
[00:10:41.240 --> 00:10:42.960]   Like I come from the kind of like
[00:10:42.960 --> 00:10:47.000]   Skrillex school of thought,
[00:10:47.000 --> 00:10:49.440]   which is like where you are, yeah,
[00:10:49.440 --> 00:10:51.080]   the engineer, producer, artist.
[00:10:51.080 --> 00:10:55.280]   I mean, lately, sometimes I'll work with a producer.
[00:10:55.280 --> 00:10:58.840]   Now I'm gently sort of delicately
[00:10:58.840 --> 00:10:59.960]   starting to collaborate a bit more,
[00:10:59.960 --> 00:11:02.800]   but like I think I'm kind of from the,
[00:11:02.800 --> 00:11:07.120]   like the whatever 2010s explosion of things
[00:11:07.120 --> 00:11:11.920]   where everything became available on the computer
[00:11:11.920 --> 00:11:16.680]   and you kind of got this like lone wizard energy thing going.
[00:11:16.680 --> 00:11:19.680]   - So you embrace being the loneliness.
[00:11:19.680 --> 00:11:22.440]   Is the loneliness somehow an engine of creativity?
[00:11:22.440 --> 00:11:24.560]   Like, so most of your stuff,
[00:11:24.560 --> 00:11:28.640]   most of your creative quote unquote genius in quotes
[00:11:28.640 --> 00:11:32.120]   is in the privacy of your mind?
[00:11:32.120 --> 00:11:34.760]   - Yes, well, it was,
[00:11:34.760 --> 00:11:39.000]   but here's the thing.
[00:11:39.000 --> 00:11:40.800]   I was talking to Daniel Eck and he said,
[00:11:40.800 --> 00:11:43.360]   he's like most artists, they have about 10 years,
[00:11:43.360 --> 00:11:45.120]   like 10 good years.
[00:11:45.120 --> 00:11:48.760]   And then they usually stop making their like vital shit.
[00:11:48.760 --> 00:11:53.320]   And I feel like I'm sort of like nearing the end
[00:11:53.320 --> 00:11:56.480]   of my 10 years on my own.
[00:11:56.480 --> 00:11:57.320]   And--
[00:11:57.320 --> 00:11:58.600]   - So you have to become somebody else.
[00:11:58.600 --> 00:12:00.960]   - Now I'm like, I'm in the process of becoming somebody else
[00:12:00.960 --> 00:12:01.800]   and reinventing.
[00:12:01.800 --> 00:12:02.840]   When I work with other people,
[00:12:02.840 --> 00:12:04.200]   because I've never worked with other people,
[00:12:04.200 --> 00:12:06.360]   I find that I make like,
[00:12:06.360 --> 00:12:08.360]   that I'm exceptionally rejuvenated
[00:12:08.360 --> 00:12:10.960]   and making like some of the most vital work I've ever made.
[00:12:10.960 --> 00:12:13.840]   So, because I think another human brain
[00:12:13.840 --> 00:12:16.520]   is like one of the best tools you can possibly find.
[00:12:16.520 --> 00:12:19.160]   Like--
[00:12:19.160 --> 00:12:20.560]   - It's a funny way to put it, I love it.
[00:12:20.560 --> 00:12:23.320]   - It's like, if a tool is like, you know,
[00:12:23.320 --> 00:12:27.320]   whatever HP plus one or like adds some like stats
[00:12:27.320 --> 00:12:30.760]   to your character, like another human brain
[00:12:30.760 --> 00:12:34.240]   will like square it instead of just like adding something.
[00:12:34.240 --> 00:12:36.320]   - Double up the experience points, I love this.
[00:12:36.320 --> 00:12:38.320]   We should also mention we're playing tavern music
[00:12:38.320 --> 00:12:41.600]   before this, which I love, which I first,
[00:12:41.600 --> 00:12:42.440]   I think I--
[00:12:42.440 --> 00:12:43.760]   - You had to stop the tavern music?
[00:12:43.760 --> 00:12:46.400]   - Yeah, 'cause it doesn't, the audio.
[00:12:46.400 --> 00:12:47.240]   - Okay, okay.
[00:12:47.240 --> 00:12:48.080]   - But it makes--
[00:12:48.080 --> 00:12:48.920]   - Yeah, it'll make the podcast annoying.
[00:12:48.920 --> 00:12:50.040]   - Add it in post, add it in post.
[00:12:50.040 --> 00:12:51.560]   - No one will wanna listen to the podcast.
[00:12:51.560 --> 00:12:53.400]   - They probably would, but it makes me,
[00:12:53.400 --> 00:12:55.480]   it reminds me like of a video game,
[00:12:55.480 --> 00:12:56.760]   like a role-playing video game
[00:12:56.760 --> 00:12:58.400]   where you have experience points.
[00:12:58.400 --> 00:13:03.400]   There's something really joyful about wandering places
[00:13:03.400 --> 00:13:06.480]   like Elder Scrolls, like Skyrim,
[00:13:06.480 --> 00:13:10.520]   just exploring these landscapes in another world,
[00:13:10.520 --> 00:13:12.000]   and then you get experience points,
[00:13:12.000 --> 00:13:13.960]   and you can work on different skills,
[00:13:13.960 --> 00:13:16.160]   and somehow you progress in life.
[00:13:16.160 --> 00:13:17.600]   And I don't know, it's simple.
[00:13:17.600 --> 00:13:19.960]   It doesn't have some of the messy complexities of life.
[00:13:19.960 --> 00:13:22.320]   And there's usually a bad guy you can fight.
[00:13:22.320 --> 00:13:25.600]   In Skyrim, it's dragons and so on.
[00:13:25.600 --> 00:13:27.720]   I'm sure in Elden Ring, there's a bunch of monsters
[00:13:27.720 --> 00:13:28.800]   you can fight, I love that.
[00:13:28.800 --> 00:13:29.960]   - I feel like Elden Ring,
[00:13:29.960 --> 00:13:32.400]   I feel like this is a good analogy to music production though
[00:13:32.400 --> 00:13:34.440]   because it's like, I feel like the engineers
[00:13:34.440 --> 00:13:36.640]   and the people creating these open worlds,
[00:13:36.640 --> 00:13:39.680]   it's sort of like similar to people, to music producers,
[00:13:39.680 --> 00:13:42.760]   whereas it's like this hidden archetype
[00:13:42.760 --> 00:13:44.640]   that no one really understands what they do,
[00:13:44.640 --> 00:13:46.200]   and no one really knows who they are,
[00:13:46.200 --> 00:13:49.320]   but they're like, it's like the artist engineer
[00:13:49.320 --> 00:13:51.780]   because it's like, it's both art
[00:13:51.780 --> 00:13:54.880]   and fairly complex engineering.
[00:13:54.880 --> 00:13:57.240]   - Well, you're saying they don't get enough credit.
[00:13:57.240 --> 00:13:58.640]   Aren't you kind of changing that
[00:13:58.640 --> 00:14:00.880]   by becoming the person doing everything?
[00:14:00.880 --> 00:14:03.720]   Isn't the engineer?
[00:14:03.720 --> 00:14:05.480]   - Well, I mean, others have gone before me.
[00:14:05.480 --> 00:14:07.840]   I'm not, you know, there's like Timbaland and Skrillex,
[00:14:07.840 --> 00:14:10.400]   and there's all these people that are like,
[00:14:10.400 --> 00:14:12.080]   you know, very famous for this.
[00:14:12.080 --> 00:14:13.960]   But I just think the general,
[00:14:13.960 --> 00:14:15.960]   I think people get confused about what it is
[00:14:15.960 --> 00:14:19.240]   and just don't really know what it is per se.
[00:14:19.240 --> 00:14:20.480]   And it's just when I see a song,
[00:14:20.480 --> 00:14:22.240]   like when there's like a hit song,
[00:14:22.240 --> 00:14:27.240]   like I'm just trying to think of like,
[00:14:27.240 --> 00:14:29.840]   just going for like even just a basic pop hit,
[00:14:29.840 --> 00:14:34.840]   like "Rules" by Dua Lipa or something.
[00:14:34.840 --> 00:14:39.200]   The production on that is actually like really crazy.
[00:14:39.200 --> 00:14:40.520]   I mean, the song is also great,
[00:14:40.520 --> 00:14:43.360]   but it's like the production is exceptionally memorable.
[00:14:43.360 --> 00:14:47.160]   You know, and it's just like no one,
[00:14:47.160 --> 00:14:49.160]   I don't even know who produced that song.
[00:14:49.160 --> 00:14:50.640]   It's just like, isn't part of like the rhetoric
[00:14:50.680 --> 00:14:53.400]   of how we discuss the creation of art.
[00:14:53.400 --> 00:14:57.200]   We just sort of like don't consider the music producer.
[00:14:57.200 --> 00:15:00.320]   Because I think the music producer used to be more
[00:15:00.320 --> 00:15:02.480]   just simply recording things.
[00:15:02.480 --> 00:15:04.600]   - Yeah, that's interesting.
[00:15:04.600 --> 00:15:06.040]   'Cause when you think about movies,
[00:15:06.040 --> 00:15:08.560]   we talk about the actor and the actresses,
[00:15:08.560 --> 00:15:10.400]   but we also talk about the director.
[00:15:10.400 --> 00:15:11.520]   - Directors, yeah.
[00:15:11.520 --> 00:15:14.440]   - We don't talk about like that with the music as often.
[00:15:14.440 --> 00:15:19.880]   - The Beatles music producer was one of the first kind of guy,
[00:15:19.880 --> 00:15:21.240]   one of the first people sort of introducing
[00:15:21.240 --> 00:15:22.640]   crazy sound design into pop music.
[00:15:22.640 --> 00:15:24.160]   I forget his name.
[00:15:24.160 --> 00:15:28.000]   He has the same, I forget his name, but you know,
[00:15:28.000 --> 00:15:29.160]   like he was doing all the weird stuff,
[00:15:29.160 --> 00:15:31.600]   like dropping pianos and like, yeah.
[00:15:31.600 --> 00:15:33.480]   - Oh, to get the, yeah, yeah, yeah,
[00:15:33.480 --> 00:15:36.560]   to get the sound, to get the authentic sound.
[00:15:36.560 --> 00:15:38.120]   What about lyrics?
[00:15:38.120 --> 00:15:42.560]   You think those, where did they fit into how important
[00:15:42.560 --> 00:15:43.400]   they are?
[00:15:43.400 --> 00:15:45.360]   I was heartbroken to learn that Elvis
[00:15:45.360 --> 00:15:46.800]   didn't write his songs.
[00:15:46.800 --> 00:15:47.880]   I was very mad.
[00:15:47.880 --> 00:15:49.480]   - A lot of people don't write their songs.
[00:15:49.480 --> 00:15:50.800]   I understand this, but.
[00:15:50.800 --> 00:15:52.200]   - But here's the thing.
[00:15:52.200 --> 00:15:54.880]   I feel like there's this desire for authenticity.
[00:15:54.880 --> 00:15:57.120]   I used to be like really mad when like people wouldn't write
[00:15:57.120 --> 00:15:59.280]   or produce their music and I'd be like, that's fake.
[00:15:59.280 --> 00:16:04.280]   And then I realized there's all this like weird bitterness
[00:16:04.280 --> 00:16:07.760]   and like aggroness in art about authenticity.
[00:16:07.760 --> 00:16:10.800]   But I had this kind of like weird realization recently
[00:16:10.800 --> 00:16:16.440]   where I started thinking that like art is sort of
