
[00:00:00.000 --> 00:00:05.360]   With the biggest wealth transfer in history underway, how people think about money has never
[00:07:29.200 --> 00:07:34.160]   dichotomy where they have this stuff where they're having fun in it, for them, it's part investing in part
[00:07:34.160 --> 00:07:40.540]   entertainment and part like lottery ticket, like I, I've seen people, you know, hit it big, and maybe I can do that too. And so I just
[00:07:40.540 --> 00:07:46.500]   think the acceptance of risk is this, this decade is something that really interests me, because people keep
[00:07:46.500 --> 00:07:50.560]   thinking that it's just going to go away. But what if this is a whole generation of people who are just
[00:07:50.560 --> 00:07:56.640]   more willing to take risk? And I don't know where that leads us like for the markets, it could be, do we have
[00:07:56.640 --> 00:08:02.440]   more booms and busts because of this mentality? I don't know, but it's interesting to contemplate.
[00:08:02.540 --> 00:08:10.800]   Yeah. And what about kind of the outlooks, not just on investing, but where do major kind of personal investments
[00:08:10.800 --> 00:08:18.020]   like homes and the housing market fit into these generational mindsets? And kind of how do the macro events that are
[00:08:18.020 --> 00:08:19.900]   shaping these generations affect that?
[00:08:19.900 --> 00:08:26.420]   I think one of the reasons that so many people are comfortable, you know, saving and investing more is some people are just shut out of the
[00:08:26.420 --> 00:08:32.480]   housing market. Fidelity had a study recently that said the average savings rate is now like 14%, which, which I was
[00:08:32.480 --> 00:08:37.140]   kind of blown away by I never would have thought it would have been that high. And we're hearing from a lot of people that
[00:08:37.140 --> 00:08:42.680]   listen, I can't afford a house right now, or it would take me way too long to save for down payment. So instead, I'm
[00:08:42.680 --> 00:08:49.100]   saving and investing more, or I'm traveling more. Obviously, I think the whole American dream thing with the housing is still
[00:08:49.100 --> 00:08:54.100]   prevalent. Like there's still people who are buying houses. There's not a lot of activity going on right now, because
[00:08:54.100 --> 00:09:00.180]   mortgage rates are so high and housing prices are so high. But I think that is still something that people aspire to. It's just
[00:09:00.180 --> 00:09:06.660]   happening much later in life for people. I think they said the average age of first time homebuyers has gone from 31 to 38. And that
[00:09:06.660 --> 00:09:12.180]   happened pretty quickly. And so I think people are just having to put this stuff off until later in life when they start
[00:09:12.180 --> 00:09:17.220]   making more money. Now, one of the things I think about is if you look, if you are a millennial, and you remember what
[00:09:17.220 --> 00:09:23.340]   mortgage rates were, you know, in the last 1015 years, it feels like they're really high. But if you
[00:09:23.340 --> 00:09:29.600]   have lived decades, you know, is this the new normal? Like, do we just at some point have to get used to this
[00:09:29.600 --> 00:09:34.740]   world we live in? If you look historically, I think going back to like 1970s, the current mortgage rate is
[00:09:34.740 --> 00:09:41.540]   about average, which is which is hard to believe. The problem is, is that the readjustment period happens so
[00:09:41.540 --> 00:09:47.460]   fast, we've never had a period where we went from such low rates to high rates this quickly. And plus,
[00:09:47.460 --> 00:09:53.140]   you had the 50% spike in housing prices. So in that sense, I really do feel for the young people who
[00:09:53.140 --> 00:10:01.620]   mistimed it for no other reason than bad luck, right? If you bought a house pre 2021, you lucked out and
[00:10:01.620 --> 00:10:05.940]   you got 3% mortgage rates, you had the ability to refinance and you also are sitting on a ton of equity.
[00:10:05.940 --> 00:10:10.660]   equity. And if you just happened to miss that, because life events are the fact of when you
[00:10:10.660 --> 00:10:14.820]   graduated school, or it just didn't work out for you, and you were going to buy later, and you just
[00:10:14.820 --> 00:10:21.460]   didn't do it. I really do feel for those people. If you asked people today, you know, could you afford
[00:10:21.460 --> 00:10:25.380]   your own house today at current mortgage rates, I wonder how many people would say probably not,
[00:10:25.380 --> 00:10:29.540]   or it would be a really big financial strain on us. Alternatively, the people who locked in those low
[00:10:29.540 --> 00:10:33.860]   rates and locked in lower housing prices, think about how much more disposable income they have,
[00:10:34.500 --> 00:10:39.540]   than if they're out there trying to buy today. So I think that's another piece of the risk pie.
[00:10:39.540 --> 00:10:45.540]   This decade is just the consumer spending. If I mean, remember, travel was another one that people
[00:10:45.540 --> 00:10:50.260]   said, well, that's going to die down eventually. Doesn't it now seem like people assume two to three
[00:10:50.260 --> 00:10:56.500]   trips a year, and a lot of cases, like, that's their God given, right? Yeah, it's that mentality
[00:10:56.500 --> 00:11:02.980]   has gone from a luxury to a need, essentially, for a lot of people, I think their thing that attracted me
[00:11:02.980 --> 00:11:09.860]   most to the points miles travel hacking game is just that you could attack this huge part of
[00:11:09.860 --> 00:11:14.820]   discretionary spending. But I also had that same mentality. Like it, despite that, as a kid,
[00:11:14.820 --> 00:11:21.300]   it wasn't necessarily the thing. It now feels like, how could we spend the whole summer at home? I don't
[00:11:21.300 --> 00:11:26.420]   know how that's evolved, but I know that wasn't the case for my parents. When I was growing up,
[00:11:26.420 --> 00:11:32.100]   that was the same thing. Yeah, we didn't expect to go on these extravagant vacations and travel to
[00:11:32.100 --> 00:11:38.660]   Europe or go somewhere really nice every time for spring break. But that is sort of the mentality
[00:11:38.660 --> 00:11:43.140]   these days. And the hard part for people is trying to keep up with that, right? Am I saving and investing,
[00:11:43.140 --> 00:11:48.580]   but also spending and enjoying myself? And I think that piece is probably harder than ever. And you add in
[00:11:48.580 --> 00:11:52.900]   the social media element of I'm watching all my friends share the vacations they're going on,
[00:11:52.900 --> 00:11:57.380]   and I feel left out. Why aren't we doing this? I think for people at a certain age, you know,
[00:11:57.380 --> 00:12:05.140]   in your 30s and maybe early 40s, it's never been easier to really spend a lot of money and then think,
[00:12:05.140 --> 00:12:08.900]   like, how am I not getting ahead more than I am because of how much money I'm making?
[00:12:08.900 --> 00:12:12.980]   I will say, and you've probably seen the same because when I ran my financial planning firm,
[00:12:12.980 --> 00:12:18.580]   I was just surprised that there are a lot of people that are living that life and they're just not
[00:12:18.580 --> 00:12:23.460]   saving. When you look at what everyone else is doing, unless you have the full picture of,
[00:12:23.460 --> 00:12:28.500]   you know, where's money going? How much money is being saved? You might think, well, these people
[00:12:28.500 --> 00:12:33.380]   have a nice house. They're going on vacations. Why can't I do that? But I have seen multiple people's
[00:12:33.380 --> 00:12:38.740]   balance sheets and it's like, oh, they have no savings. So if you're building up your savings,
[00:12:38.740 --> 00:12:44.100]   and not able to keep up with those people, like the tables may turn in the future and you might
[00:12:44.100 --> 00:12:48.820]   be in a lot better position. And it's just, it's funny how no one ever posts like, here's my vacation
[00:12:48.820 --> 00:12:54.180]   photo alongside, here's my debt and income and my balance sheet. Back to the original point we made
[00:12:54.180 --> 00:12:59.700]   about inheritances. I think I have a handful of friends who have parents who are relatively well
[00:12:59.700 --> 00:13:04.580]   off who are assuming, well, that's my retirement nest egg, right? I'm going to spend it all because I
[00:13:04.580 --> 00:13:08.580]   have that coming. And that's a very risky game to play. Like I said, because you
[00:13:08.580 --> 00:13:13.460]   might not get it until much later in life. And if you're not developing those habits,
[00:13:13.460 --> 00:13:17.460]   and potentially if people are living longer, maybe the nest egg gets whittled down further
[00:13:17.460 --> 00:13:23.300]   than you thought. And so, yeah, you're right. I always wonder when I see someone driving one of
[00:13:23.300 --> 00:13:28.820]   these $90,000 trucks, and I have nothing against people who have trucks, but I always look at them
[00:13:28.820 --> 00:13:33.140]   and I say, man, that's got to be a $90,000, $95,000 truck. I wonder how much they have in their 529
[00:13:33.140 --> 00:13:36.900]   plan or their IRA or these types of things. And that's the other side of it, obviously.
[00:13:36.900 --> 00:13:41.780]   This episode is brought to you by Superhuman. Now I've used Superhuman for years, and I think
[00:13:41.780 --> 00:13:47.700]   it's hands down the best way to do email, assuming you value your time, which I absolutely assume you
[00:13:47.700 --> 00:13:52.260]   do. That's because Superhuman is the ultimate solution for inbox decluttering and enhanced
[00:13:52.260 --> 00:13:56.980]   productivity. It's also the fastest email experience out there. And I'm certain I've saved dozens,
[00:13:56.980 --> 00:14:02.660]   if not hundreds of hours a year using Superhuman. They have every feature you could ever want built in,
[00:14:02.660 --> 00:14:07.940]   split inboxes for prioritizing what matters, keyboard shortcuts and snippets for everything,
[00:14:07.940 --> 00:14:13.940]   AI tools to draft responses and summarize emails, automated reminders and integrated calendars. And
[00:14:13.940 --> 00:14:19.780]   if you're using Superhuman for teams, you get shared conversations and drafts that will help you respond
[00:14:19.780 --> 00:14:26.500]   faster and reduce deal cycles. Best of all, Superhuman works with your existing Gmail or Outlook. So unless you
[00:14:26.500 --> 00:14:31.380]   love wasting away hours of your day to email, you have to check out Superhuman. And every one of
[00:14:31.380 --> 00:14:36.180]   you can get your first month free at chrishutchins.com/superhuman. Again,
[00:14:36.180 --> 00:14:42.180]   that's chrishutchins.com/superhuman or click the link in the description to get back hours of your
[00:14:42.180 --> 00:14:47.940]   time each week. This episode is brought to you by Green Chef. I'm excited to kick this year off right.
[00:14:47.940 --> 00:14:52.500]   And if you want to start creating better eating habits that last, you should be looking at Green Chef
[00:14:52.500 --> 00:14:58.100]   because they make it easy. With so many dietitian developed recipes that feature fresh organic produce
[00:14:58.100 --> 00:15:03.540]   in quality whole foods delivered to your door each week. We've been cooking with Green Chef for almost
[00:15:03.540 --> 00:15:08.820]   two years. We absolutely love it. It's like a cheat code for eating healthy and clean because ingredients
[00:15:08.820 --> 00:15:14.740]   are pre-portioned, sauces are pre-made, which means there's less prep and less mess and more time to eat
[00:15:14.740 --> 00:15:20.020]   a delicious meal. Even better, they make it easy to eat right for your lifestyle or dietary needs, whether
[00:15:20.020 --> 00:15:25.380]   that's Mediterranean, keto, plant-based, gluten-free, and more. And if you want to stay on track during your
[00:15:25.380 --> 00:15:30.340]   busiest days, they have salads that are ready in five minutes or less, ready to blend smoothies and
[00:15:30.340 --> 00:15:37.700]   grab-and-go protein-packed breakfasts. So go to allthehacks.com/greenchef and use the code allthehacksfree
[00:15:37.700 --> 00:15:44.740]   to get started with free salads for two months plus 50% off your first box. That's code allthehacksfree
[00:15:44.740 --> 00:15:52.180]   at allthehacks.com/greenchef to get 50% off your first box plus two months of salads for free.
[00:15:52.180 --> 00:15:56.260]   So if you look across generations, are there things that you would pick out if you could kind of
[00:15:56.260 --> 00:16:03.300]   define the personal financial mindset that's kind of ideal? What do boomers get right? What does Gen X get
[00:16:03.300 --> 00:16:05.300]   right? What does Gen Y get right?
[00:16:05.300 --> 00:16:11.380]   I'm generalizing here. There have been plenty of boomers who really did figure out the way to save
[00:16:11.380 --> 00:16:15.860]   and invest over a 30 to 40-year period. And I know everyone thinks that boomers had it easy,
[00:16:15.860 --> 00:16:20.660]   but they had these 70s to live through with inflation and high mortgage rates in the 80s and
[00:16:20.660 --> 00:16:25.620]   the dual crashes in the first decade of this century. They saved and invested from their 401k
[00:16:25.620 --> 00:16:30.100]   plan and their IRA over time. The market has done a lot of the heavy lifting for them. And we get a lot
[00:16:30.100 --> 00:16:34.580]   of those people who are DIY people coming to our wealth management practice who have just saved and
[00:16:34.580 --> 00:16:39.460]   you know, over time built wealth. So I think a lot of baby boomers did a really good job
[00:16:39.460 --> 00:16:44.500]   with that. And again, the hard part for them is then turning around and spending it and enjoying it.
[00:16:44.500 --> 00:16:49.940]   I think millennials are kind of have a foot in each camp. We lived through the great recession. So we
[00:16:49.940 --> 00:16:57.300]   understand risk, you know, and so I think millennials have a more balanced view of this thing. And again,
[00:16:57.300 --> 00:17:00.740]   if you were able to buy a house as a millennial, I think you're probably sitting in a pretty good position
[00:17:00.740 --> 00:17:05.620]   these days. The thing that worries me about Gen Z, and I think they'll snap out of it, hopefully,
[00:17:05.620 --> 00:17:10.820]   is just the financial nihilism, just the nothing matters. So I'm just going to take these crazy risks
[00:17:10.820 --> 00:17:18.660]   and hope something works out because the old nine to five, put it in the 401k, build wealth slowly.
[00:17:18.660 --> 00:17:22.660]   That's for a prior generation. And this isn't everyone there, obviously, but I think there is
[00:17:22.660 --> 00:17:27.540]   a little bit of that, you know, nothing matters. So let's just put it on red or black and see what
[00:17:27.540 --> 00:17:32.980]   happens. And I think people do graduate from that mindset eventually. But again, I think the fact that
[00:17:32.980 --> 00:17:39.060]   that generation has technology and a risk mindset, I think most of them will be okay. And I think a lot
[00:17:39.060 --> 00:17:43.300]   of them are starting to invest earlier and get experience. And so even if they
[00:17:43.300 --> 00:17:50.980]   blow themselves up trading triple levered ETFs or options, you know, date, you know, same day options,
[00:17:50.980 --> 00:17:56.100]   wherever it is, if they're doing it with less money before they start saving and putting stuff away,
[00:17:56.100 --> 00:18:00.660]   eventually those habits change and they realize like, okay, maybe I need more of a slow and steady
[00:18:00.660 --> 00:18:04.900]   approach. And I think that's what we're seeing is a lot of them get it out of their system after they
[00:18:04.900 --> 00:18:08.580]   really also hard it is to do those things. I know when I've looked at the housing market
[00:18:08.580 --> 00:18:15.380]   historically, like investments are a better return typically than, you know, a house. But is there
[00:18:15.380 --> 00:18:21.060]   any argument to be made that people who are out outside of the housing market right now because
[00:18:21.060 --> 00:18:24.980]   it's too expensive and are investing could end up being better in the long run?
[00:18:24.980 --> 00:18:28.740]   So I've actually written about this before. I've tried to come up with like,
[00:18:28.740 --> 00:18:32.580]   what is the actual return on housing? Because if you look at like Robert Schiller's historical
[00:18:32.580 --> 00:18:37.940]   housing market data, essentially, over the long run, it equals about the rate of inflation,
[00:18:37.940 --> 00:18:42.100]   which is not not a terrible thing. But then you have to put in the leverage there. And then you have
[00:18:42.100 --> 00:18:45.700]   to talk about well, you have to live somewhere. So there's like implied rent, because you're not
[00:18:45.700 --> 00:18:48.500]   renting somewhere else, you're you're you have to have a roof over your head.
[00:18:48.500 --> 00:18:51.380]   And implied inflation is like three ish percent.
[00:18:51.380 --> 00:18:54.980]   Yeah, it's like three, three to 4%, something like that. But then you also have all the ancillary
[00:18:54.980 --> 00:18:59.460]   costs, the the property taxes and insurance and all the stuff you buy for your home.
[00:18:59.460 --> 00:19:04.740]   And so my stance is like no one ever really knows what their actual return is. I don't know,
[00:19:04.740 --> 00:19:07.620]   maybe you have the spreadsheet of all the costs that you've ever done in housing.
[00:19:07.620 --> 00:19:12.100]   But I don't think there's anyone who has the actual return. And maybe that's okay,
[00:19:12.100 --> 00:19:16.980]   because I don't view a house as an investment as much as it's, it's kind of a form of consumption.
[00:19:16.980 --> 00:19:21.140]   And it's a valuable financial asset. But yeah, you're right. If you just did an apples to apples
[00:19:21.140 --> 00:19:25.780]   comparison of the return, you're probably doing better off. Yeah, investing in the stock market,
[00:19:25.780 --> 00:19:31.220]   even though housing has done so well this decade. And if you bought a house in 2020 with a 3%
[00:19:31.220 --> 00:19:37.940]   mortgage, and then you had 50% returns, and the leverage, you probably did pretty great. But that'll
[00:19:37.940 --> 00:19:42.340]   slowly but surely be whittled away as returns aren't as high going forward. But yeah, the people
[00:19:42.340 --> 00:19:45.620]   who are just investing in the stock market are probably in a better financial.
[00:19:45.620 --> 00:19:48.340]   Like the stock market also did really well over the last decade.
[00:19:48.340 --> 00:19:54.980]   Yeah, yeah, yeah, it's up 14% per year in the 2020s, and did just as well in the 2010.
[00:19:54.980 --> 00:20:00.500]   And so for someone who, you know, didn't buy the house in 2020 didn't get the 3% mortgage rate.
[00:20:00.500 --> 00:20:04.500]   But you know, whether it's the American dream, whether it's they just want to own a home,
[00:20:04.500 --> 00:20:06.980]   is there ever going to be a good time to get in?
[00:20:06.980 --> 00:20:13.220]   And so it's funny, because I had people reaching out to me in 2021, right after the housing prices
[00:20:13.220 --> 00:20:18.420]   started taking off. And they said, I can't do it, housing prices are up 20%. Remember, there was all
[00:20:18.420 --> 00:20:23.780]   these, there was bidding wars and non contingent sales, and we're not going to do an inspection.
[00:20:23.780 --> 00:20:27.700]   And there was all these crazy lines out the door, because there was this housing boom. And I had a lot
[00:20:27.700 --> 00:20:32.500]   of people say, I'm going to sit this out and wait until the craziness subsides. And my stance is always,
[00:20:32.500 --> 00:20:36.260]   don't try to time the housing market. Because people who have said, I'm just going to wait for
[00:20:36.260 --> 00:20:41.940]   mortgage rates to fall. And we're still at 7% mortgage rates. And so my thing is, if you find
[00:20:41.940 --> 00:20:45.620]   a house that you like that you're going to willing to own for seven to 10 years at a minimum, that's a
[00:20:45.620 --> 00:20:50.980]   big key is you don't want to trade out trade around in houses, because the cost frictions are so high,
[00:20:50.980 --> 00:20:55.700]   and you pay most of your mortgage and interest for the first few years, it doesn't make sense to trade
[00:20:55.700 --> 00:21:00.980]   houses, I think you could probably skip the starter home these days, if you can and buy a house you're
[00:21:00.980 --> 00:21:05.220]   willing to stay in for 10 or 15 years. But I just think if you can afford to service the
[00:21:05.220 --> 00:21:08.980]   debt on it, and you find a house you like, don't worry about timing it and waiting for the perfect
[00:21:08.980 --> 00:21:14.100]   mortgage rate, or the perfect time, you just do it when you can afford it. I don't like the idea of
[00:21:14.100 --> 00:21:16.820]   trying to time the housing market like it's buying a stock or something.
[00:21:16.820 --> 00:21:21.220]   I mean, I also don't like the idea of trying to time the market, you know, the stock market either.
[00:21:21.220 --> 00:21:22.900]   But right, true.
[00:21:22.900 --> 00:21:27.300]   If someone were to say, hey, I'm just going to wait till mortgage rates drop. And the answer is okay,
[00:21:27.300 --> 00:21:29.380]   well, if they don't drop, what are you going to do? It's like, well, if they don't drop,
[00:21:29.380 --> 00:21:33.220]   then I'll bite the bullet. You can refinance if they drop unless your answer is I will never buy
[00:21:33.220 --> 00:21:37.940]   a home unless mortgage rates drop. You know, you can kind of hedge by saying if I really think
[00:21:37.940 --> 00:21:41.540]   they're going to drop, as long as you can afford it now. I think that's the big thing. You don't want
[00:21:41.540 --> 00:21:45.700]   to get over your skis and make an investment that if mortgage rates don't drop, you can't continue to
[00:21:45.700 --> 00:21:50.260]   hold because it kind of reminds me of all the interest only mortgages that had these balloon
[00:21:50.260 --> 00:21:53.700]   payments and people were just kind of expecting my salary will be more in the future.
[00:21:53.700 --> 00:21:56.260]   Uh, that's probably not great.
[00:21:56.260 --> 00:22:00.900]   Well, and the hard part is when mortgage rates do drop. So let's say they go from seven to five.
[00:22:00.900 --> 00:22:05.780]   My guess is that there's going to be a ton of demand coming off the sideline and then maybe it's harder
[00:22:05.780 --> 00:22:10.740]   to buy because you have more competition. So that that's why timing it is so difficult. Like I'll just
[00:22:10.740 --> 00:22:16.340]   wait for housing prices to fall 10% and mortgage rates to drop and getting that threading that needle
[00:22:16.340 --> 00:22:19.700]   is probably impossible these days. And again, yeah, just do it when you can afford.
[00:22:19.700 --> 00:22:23.860]   We did so much market research talking to customers when I was working at Wealthfront and
[00:22:23.860 --> 00:22:28.500]   every single person felt every single year that the market was overpriced. And they were like,
[00:22:28.500 --> 00:22:33.460]   I want to get in the market. It's overpriced right now. Like I'm going to wait a couple years.
[00:22:33.460 --> 00:22:38.740]   Well, it turns out that pandemic aside, the last 10 years, like you kind of didn't want to miss out.
[00:22:38.740 --> 00:22:44.900]   Right? Yes. Yeah. It's, and I think a lot of people do have that mindset of
[00:22:45.700 --> 00:22:50.340]   I'm going to buy when it's my time to buy. I think it's more the spreadsheet warriors who
[00:22:50.340 --> 00:22:54.260]   try to time it and overthink things and the people who don't overthink it and just realize like,
[00:22:54.260 --> 00:22:59.780]   Hey, I just got married or I'm having kids. It's time to buy a house. The life event is more
[00:22:59.780 --> 00:23:03.860]   apps to make sense than, than the financial decision, even though you still have to run
[00:23:03.860 --> 00:23:08.980]   the numbers, obviously. Yeah. And I think past 2008, skip the pandemic. Cause that was kind of a,
