
[00:00:00.000 --> 00:00:07.060]   But I'm cleverly going to use this as it's a sort of metaphor for our longer discussion today.
[00:23:11.600 --> 00:23:19.360]   uh, not actually doing anything, which is ultimately what most sort of reps do is they kind of just sit
[00:23:19.360 --> 00:23:24.000]   back and help you with things you're already doing yourself. So, uh, what, what ended up happening is
[00:23:24.000 --> 00:23:27.680]   Robert green, who I was working for happened to be on the board of directors at American apparel.
[00:23:27.680 --> 00:23:32.080]   And so I was sort of learning all this stuff and he got me, you know, in the door there.
[00:23:32.080 --> 00:23:36.000]   And I, I went and I, I did marketing there and then I worked for a bunch of different authors.
[00:23:36.000 --> 00:23:42.560]   And I sort of built this marketing business. What, what I think I was going towards is, is I understood
[00:23:42.560 --> 00:23:52.800]   that creating stuff and selling stuff was two very different skills, but the best artists and
[00:23:52.800 --> 00:23:57.600]   athletes and entrepreneurs and creatives are able to do both of those things.
[00:23:57.600 --> 00:24:04.640]   And so like, did you know that when you took that marketing job, were you thinking I've seen enough
[00:24:04.640 --> 00:24:11.360]   in my agency position to know that this is really important and, uh, me mastering this as I'm going
[00:24:11.360 --> 00:24:17.600]   to apply this to myself. Like this is. Yeah. I think, I think I was always going towards applying this to my own
[00:24:17.600 --> 00:24:25.280]   stuff, uh, how, how, how, how explicit that was developed over time. But I think I understood that
[00:24:25.280 --> 00:24:31.760]   like, look, anyone can have ideas, but it's only the people who know how to sell the ideas that they
[00:24:31.760 --> 00:24:38.000]   have that are able to, to sort of break through. And so I, I spent, yeah, a good chunk of my twenties.
[00:24:38.000 --> 00:24:45.600]   Um, really just learning the ins and outs of that. And, and what happened is that helping people do
[00:24:45.600 --> 00:24:51.360]   that gave me a lot of, first off, I built a lot of relationships, but second, I built a lot of
[00:24:51.360 --> 00:24:58.880]   experience and got a lot of reps. So like when my first book came out, it was not the first book that
[00:24:58.880 --> 00:25:04.320]   I had put out. I think you, you had a similar version of this and that you put out those, uh,
[00:25:04.320 --> 00:25:09.920]   those sort of guide books first. So by the time you were doing your first book, you actually like your
[00:25:09.920 --> 00:25:15.360]   first, let's call it real book. It wasn't your first real book. And that is a, a really invaluable
[00:25:15.360 --> 00:25:21.600]   thing because you know, if, if you're a director of them, like how many movies is even a great director
[00:25:21.600 --> 00:25:29.440]   do in their life? And it might be three movies. And so if you don't have any experience working on
[00:25:29.440 --> 00:25:36.000]   other people's projects, you're going to be learning all your painful lessons on your own projects.
[00:25:36.000 --> 00:25:39.920]   Right. And what if, what if what you learn is, oh,
[00:25:41.600 --> 00:25:46.400]   if you title the thing wrong, or if you time the thing wrong, it fails. Like,
[00:25:46.400 --> 00:25:51.760]   do you want to learn that on your project or would you rather learn it on somebody else's project?
[00:25:51.760 --> 00:25:57.120]   And so I got a lot of experience and, and that experience continued up until relatively recently,
[00:25:57.120 --> 00:26:03.200]   like on other projects, I was just learn. I got, I have so many more reps. I've done a lot of books
[00:26:03.200 --> 00:26:08.800]   myself under my own name, but I have more reps on putting out books than like
[00:26:10.160 --> 00:26:13.520]   basically any author you could think of. Cause I've just been through it
[00:26:13.520 --> 00:26:19.760]   with other people. So many times the, the analogy that comes to mind from the movie world is James
[00:26:19.760 --> 00:26:27.360]   Cameron, uh, working in, uh, Roger Corman's sort of shop, uh, special effects, second unit directing
[00:26:27.360 --> 00:26:33.040]   took over the special effects shot. They began to put them on more and more of the directing, uh,
[00:26:33.040 --> 00:26:38.400]   by the time he did terminator, he really had a lot of experience with, for example, how to do really
[00:26:38.400 --> 00:26:42.480]   good on-screen effects. He had a lot of experience with work with the cameras. So in your own story,
[00:26:42.480 --> 00:26:47.120]   getting to your first book, um, I know you went on to work with Tim Ferriss. I know you went on to work
[00:26:47.120 --> 00:26:53.680]   for Tucker Max on the marketing side. These are along with Robert really three of the bigger nonfiction,
[00:26:53.680 --> 00:27:00.320]   non memoir, nonfiction sellers of the two thousands was all, all three of that was before your 2012
[00:27:00.320 --> 00:27:08.240]   first book. So there's, or these are all overlapped, but overlapping same time. Uh, and, and a lot of it
[00:27:08.240 --> 00:27:13.440]   before. And then, but yeah, by the time obstacle came out, you know, I'd done a lot of books.
[00:27:13.440 --> 00:27:18.160]   What made you, how'd you pull the trigger? So you knew you wanted to write, you're looking for the
[00:27:18.160 --> 00:27:22.720]   opportunity, right? Yeah. And by the way, I'm an answer to the question of how could, who would,
[00:27:22.720 --> 00:27:26.800]   who would want to publish someone just coming out of college? What I found out was the only answer
[00:27:26.800 --> 00:27:32.560]   to that question. And I actually talked to agents and was like, how could I possibly thread this needle
