
[00:00:00.000 --> 00:00:21.240]   My name's Steve, Steve Ruiz. I am from a company that I started called TealDraw. TealDraw started
[00:12:45.900 --> 00:12:55.660]   is it going to be 14? Maybe? Yeah, there we go. Right. So like, it's, it's able to use, thank you. Yeah.
[00:12:55.660 --> 00:13:03.740]   And it's not, it shouldn't be that like surprising, you know, it's, it's just
[00:13:04.460 --> 00:13:10.220]   multimodal model, take a bunch of inputs, uh, produce outputs. Um, we, we kind of went further
[00:13:10.220 --> 00:13:14.780]   with this. I'm going to have to jump to, and by the way, the, the killer use case for this, if it's not
[00:13:14.780 --> 00:13:21.340]   immediately obvious is turning your daughter's, uh, drawings and stuff into, uh, pictures and stories
[00:13:21.340 --> 00:13:28.220]   and piping them all around. Right. Uh, but the, um, where's this one? This is a good one.
[00:13:28.220 --> 00:13:35.660]   You can also do, I was playing a lot of Factorio at the moment as well. Um, oh, no, this is the wrong
[00:13:35.660 --> 00:13:44.780]   one. Hang on. All the way down at the bottom. And grab this one. And so, uh, the idea of having these,
[00:13:44.780 --> 00:13:48.460]   these machines that even include cycles and loops and that'll just operate forever.
[00:13:48.460 --> 00:13:56.380]   Um, so in this one, it comes up with a random pop song, adds it to a list, feeds it back in so it
[00:13:56.380 --> 00:14:03.900]   doesn't repeat, asks, is this song about love? Uh, and then sorts it according to, well, again,
[00:14:03.900 --> 00:14:08.380]   we're working with language models. So we have a Boolean value of yes, no, or maybe. Um,
[00:14:09.100 --> 00:14:14.140]   so we have, uh, and, and it, it feeds back around and it, it, it kind of pipes and I can just leave
[00:14:14.140 --> 00:14:21.340]   this forever just spending my, my, uh, the credits that Google gave me to, uh, to burn. Um, and yeah,
[00:14:21.340 --> 00:14:25.500]   it, this is, this is really fun. Teal Draw Computer, it, it got pretty popular. Not, not necessarily as
[00:14:25.500 --> 00:14:31.020]   popular as the, uh, Make Real, but it was, uh, it's, it's pretty amazing what you can do and it really
[00:14:31.020 --> 00:14:39.020]   rewards creativity to put it lightly. Um, I have seen people using this to, to do actual multi-stage,
[00:14:39.020 --> 00:14:44.620]   prompting, um, you know, decision-making analysis and you can imagine this being asynchronous and
[00:14:44.620 --> 00:14:47.660]   somewhere up in the cloud and maybe that's, that's what we do next where we say,
[00:14:47.660 --> 00:14:55.500]   take this CSV of, uh, email addresses of people who've engaged with our products, email them all,
[00:14:55.500 --> 00:15:01.420]   get a response, do sentiment analysis if they'd like it, you know, do something next, uh, you know,
[00:15:01.420 --> 00:15:05.980]   so forth, wait for me, you know, text me and say, like, should I really email this person again?
[00:15:05.980 --> 00:15:12.300]   Maybe I say yes. So having a big, long, long-lived asynchronous process, um, that could be run in
[00:15:12.300 --> 00:15:17.980]   parallel. This would be a great, great interface for, for designing that and everyone seems to get this.
[00:15:17.980 --> 00:15:23.740]   Um, when we, when we originally, uh, did this, the creative prompt, the, the kind of the,
[00:15:23.740 --> 00:15:29.020]   the philosophy of this project before we, I went home and prototyped, it was like,
[00:15:29.580 --> 00:15:33.660]   I want a computer that works the way that I thought a computer worked before I knew how a computer
[00:15:33.660 --> 00:15:37.420]   works, right? Maybe we just have like, I want this stuff and I want to do this to it and then
[00:15:37.420 --> 00:15:43.020]   I want to take the results and go over here. So that's, uh, that's Teal Draw Computer. Um,
[00:15:43.020 --> 00:15:49.420]   I wasn't going to show Teach, but I will show Teach, uh, which is, uh, create a flow chart that begins
[00:15:49.420 --> 00:15:57.180]   with AI and ends with engineer. Incorporate existing shapes. Um, when you have a really cool hackable
[00:15:57.180 --> 00:16:05.100]   canvas, like an SDK for canvas with like a runtime API, um, it, it plays really, really well with other
[00:16:05.100 --> 00:16:12.380]   AI tools. Um, and you can really quickly, even though these models aren't like great at this,
[00:16:12.380 --> 00:16:21.100]   um, you can really get it to work with the canvas in a way that is, um, kind of like a virtual collaborator,
[00:16:21.100 --> 00:16:25.900]   like you can kind of get it to do stuff. I mean, the demo that I always show and then I'll do really
[00:16:25.900 --> 00:16:33.020]   quick is the whole, like, you know, draw a cat. Um, somewhere on this page is a, you know, a pelican
[00:16:33.020 --> 00:16:41.100]   riding a unicycle, but I, uh, um, there's a lot of stupid drawings here. Uh, but yeah, draw a cat and it'll
[00:16:41.100 --> 00:16:46.140]   draw a cat, but you know, it's, it's doing this stuff not as a, as an image. It's not painting
[00:16:46.140 --> 00:16:50.860]   pixels in the way that like Midjourney would. It's, it's doing it as text. It's like kind of returning
[00:16:50.860 --> 00:16:56.940]   a structure that I can map into, to, to shapes on the canvas. And so, you know, I can, I can work with
[00:16:56.940 --> 00:17:03.180]   them myself. I can correct it. Um, and it can, it can work with my stuff as well. So if I do like, uh, this,
[00:17:03.900 --> 00:17:11.100]   it's like orange, uh, and I say, uh, make the cat, the cat blow out the candle.
[00:17:11.100 --> 00:17:17.900]   I didn't tell it was, it was a candle, but, uh, let's see if I can do it. Um, I don't think cats
[00:17:17.900 --> 00:17:26.700]   can actually blow, but I don't know that for sure. Uh, uh, uh, this is using Claude as, as the back
[00:17:26.700 --> 00:17:32.780]   end. If you want to know how this works, definitely catch me up afterwards. Um, yeah, right on.
[00:17:32.780 --> 00:17:41.420]   Hey, and we get smoke as well. This is wonderful, right? Uh, that, uh, Tealdra, a lot of this stuff,
[00:17:41.420 --> 00:17:45.820]   and, and, in fact, I would say our, uh, our advantage over the bigger companies in this space
[00:17:45.820 --> 00:17:54.300]   is that, uh, shitty but amazing is definitely on brand for Tealdra. Uh, and yeah, if, if this seems
[00:17:54.300 --> 00:17:57.900]   like a good problem that you might want to work on, definitely talk to me because we have some tools
[00:17:57.900 --> 00:18:05.020]   that make it easier. Um, people build all sorts of crazy stuff with Tealdra. Um, this is, uh, Grant
[00:18:05.020 --> 00:18:11.660]   Cots liquid, you know, the, uh, simulation that's using Tealdra is like the, the geometric, physical,
[00:18:11.660 --> 00:18:16.700]   and, you know, like control layer, I don't know, authoring layer on top of it. Um, companies build
[00:18:16.700 --> 00:18:20.700]   really cool stuff with Tealdra, like observables. It's building with Tealdra now. It's, it's incredible.
[00:18:20.700 --> 00:18:28.540]   Um, I think we're only, not even scratching the surface, uh, of what can be done with this paradigm
[00:18:28.540 --> 00:18:34.940]   and these tools. Please build something amazing. Uh, I got the canvas. We have the technology.
[00:18:34.940 --> 00:18:44.620]   So, that's my talk. Uh, thank you very much.

