
[00:00:00.000 --> 00:00:02.000]   And we're live.
[00:02:56.000 --> 00:03:03.000]   which means there's extra 1,000 followers who get this link, who get to see Ravi's awesome work.
[00:03:03.000 --> 00:03:07.000]   So well done, Ravi. This is amazing.
[00:03:07.000 --> 00:03:12.000]   Ravi Chandra has again come back this week and he's written about deep learning for coders
[00:03:12.000 --> 00:03:15.000]   and he's provided a good summary about his last week's learning vlogs.
[00:03:15.000 --> 00:03:20.000]   So thanks, Ravi Chandra, for writing again and coming to us week after week.
[00:03:20.000 --> 00:03:25.000]   I do hope that all of us continue with the same spirit every week.
[00:03:25.000 --> 00:03:30.000]   We have a new member this week who started writing just this week.
[00:03:30.000 --> 00:03:38.000]   He says he'll give writing a shot and wrote a comparison of writing the Pets classifier using Vanilla PyTorch and Fast.ai.
[00:03:38.000 --> 00:03:43.000]   I really love it, Akash. Really good blog. I read it and I quite enjoyed reading.
[00:03:43.000 --> 00:03:49.000]   And one of the things that even excited me is that you've used Fast.pages to set up the blog.
[00:03:49.000 --> 00:03:55.000]   So maybe share in the chat with everybody how easy it was to get set up with Fast.pages.
[00:03:55.000 --> 00:04:00.000]   It's really lovely to see new members. So welcome.
[00:04:00.000 --> 00:04:06.000]   Sai Amrit, he's come back another week and he's written about cross entropy loss.
[00:04:06.000 --> 00:04:12.000]   Anjali, I'm assuming you're sharing all these links. Unfortunately, I can't.
[00:04:12.000 --> 00:04:16.000]   So Sai Amrit, thank you for coming back this week and again writing about cross entropy.
[00:04:16.000 --> 00:04:24.000]   Really lovely blog. And you've also written about KL divergence, which has been one of those topics that has always, always confused me.
[00:04:24.000 --> 00:04:31.000]   So this is a great blog, actually. Vinayak's come back again this week and he's written about his week six summary.
[00:04:31.000 --> 00:04:40.000]   And he's also written about regular expressions. So I'm really excited that many of you have now started picking different areas that you want to write about.
[00:04:40.000 --> 00:04:44.000]   Somebody's picking up cross entropy. Somebody's writing about KL divergence.
[00:04:44.000 --> 00:04:49.000]   And somebody's picking up even summarizing chapter four or writing about rejects.
[00:04:49.000 --> 00:04:57.000]   So this is really, really inspiring for me. And it's really great to see so many blog posts this week.
[00:04:57.000 --> 00:05:06.000]   We have Korean. He's come back. He's one of our constants and he's come back this week again and he shared his log six learning fast book along with the study group.
[00:05:06.000 --> 00:05:13.000]   So thanks, Korean. I really love the visualizations and thanks for writing this week again.
[00:05:13.000 --> 00:05:20.000]   We have new member, Niazi. He's come back. Niazi's been writing about chapter four.
[00:05:20.000 --> 00:05:27.000]   So this is, again, welcome, Niazi, and hope you keep writing.
[00:05:27.000 --> 00:05:32.000]   Another new member, we have Anand. So Anand's written about chapter four again.
[00:05:32.000 --> 00:05:38.000]   So we've had people catching up with the fast with the study group, with the fast book study group.
[00:05:38.000 --> 00:05:45.000]   And it's really great to see that Jeremy's also kind of he's he's helping and he's retweeting some of your tweets.
[00:05:45.000 --> 00:05:50.000]   So more people get attention. And I've also been trying my level best that your work gets highlighted.
[00:05:50.000 --> 00:05:55.000]   So thanks, everybody, for writing this week.
[00:05:55.000 --> 00:06:03.000]   And so I'll just check comments a lot more this week. So if you have anything to say to me, because I don't have Zoom links.
[00:06:03.000 --> 00:06:13.000]   So, yeah, please continue writing your comments here. I would feel comfortable knowing that you're all there and you're still able to hear me.
[00:06:13.000 --> 00:06:23.000]   Okay. So this week, then, the next step, we kind of finished last week in chapter five, pet breeds.
[00:06:23.000 --> 00:06:29.000]   And we finished last week at model interpretation. So we're just going to get started from there.
[00:06:29.000 --> 00:06:35.000]   So we finished it. We finished last week at this point where we were able to create a confusion matrix.
[00:06:35.000 --> 00:06:42.000]   And we were also able to interpret the most confused. So we could see that our model, we would try to classify pet breeds.
[00:06:42.000 --> 00:06:48.000]   And we could see that a model was most confused between an American Bulldog and miniature Pinscher.
[00:06:48.000 --> 00:06:54.000]   And we can Google them and you can see how those images, how those breeds actually look very similar to each other.
[00:06:54.000 --> 00:07:01.000]   So that's that's satisfying to know that, you know, the model's done a good job at understanding things.
[00:07:01.000 --> 00:07:06.000]   Actually, these results are different because I didn't train the model very well. So don't look at these results.
[00:07:06.000 --> 00:07:15.000]   You would have different results in your terminals. Okay. So then this week, then, we're starting with improving our model.
[00:07:15.000 --> 00:07:23.000]   And we're going to basically pick up where we left off. So until now, we know that we can train a model.
[00:07:23.000 --> 00:07:28.000]   We can train our basic models. We can train we have good baselines, basically.
[00:07:28.000 --> 00:07:33.000]   But where do we go from here? How do we even make our models even better?
[00:07:33.000 --> 00:07:39.000]   So that's what we're going to start looking into today. And if time permits, so we're going to wrap up Chapter 5.
[00:07:39.000 --> 00:07:45.000]   And if there's still time left, I do hope to get started at least with multilabel classification.
[00:07:45.000 --> 00:07:58.000]   So that's our agenda for today is to wrap up Chapter 5. And then hopefully we can cover till binary cross entropy in multi classification in the next chapter.
[00:07:58.000 --> 00:08:04.000]   So improving a model. So what are the ways where we can improve the models?
[00:08:04.000 --> 00:08:16.000]   And one of the ways is a learning rate finder. So we kind of saw so let me bring up one node.
[00:08:16.000 --> 00:08:28.000]   Don't worry about this. Okay. So we kind of know that what is a learning rate we have.
[00:08:28.000 --> 00:08:36.000]   Basically, if our loss curve looks something like that, and we start out at a random point at this loss curve, right?
[00:08:36.000 --> 00:08:42.000]   And then what we do is we want to go towards the point with the minimum loss.
[00:08:42.000 --> 00:08:48.000]   And we start taking steps. Now, how big these steps are, that's what is kind of defined by the learning rate.
[00:08:48.000 --> 00:09:00.000]   And this is something we've looked at before. So the step in a way is P minus equal to P.grad star LR.
[00:09:00.000 --> 00:09:08.000]   Where this grad is the gradient, which we already know how to calculate just by using PyTorch backward propagation.
[00:09:08.000 --> 00:09:13.000]   And then this learning rate kind of tells us how big this step needs to be.
[00:09:13.000 --> 00:09:18.000]   So if this learning rate is too high, that means the steps are going to be too big.
[00:09:18.000 --> 00:09:24.000]   And in fact, we're going to kind of diverge at these different points. Our loss is going to get worse and worse.
[00:09:24.000 --> 00:09:31.000]   And if the learning rate is too small, then it's going to take us forever to get to the point of lowest loss.
[00:09:31.000 --> 00:09:40.000]   So that's just a quick refresher about learning rate. So learning rate is actually a very, very important hyperparameter that we need to worry about.
[00:09:40.000 --> 00:09:53.000]   So for that, Fast.ai folks already has a learning rate finder. So let's see how that works.
[00:09:53.000 --> 00:10:11.000]   So right now, we already had our data loaders. So these data loaders are the PETS data loaders. Sorry, one second.
[00:10:11.000 --> 00:10:17.000]   So this is just running same as last week.
[00:10:17.000 --> 00:10:23.000]   We saw what cross entropy loss is. So I'm just creating my data loaders to this point.
[00:10:23.000 --> 00:10:33.000]   And now, let me see if I need to zoom in a little bit. Is zooming in a little bit?
[00:10:33.000 --> 00:10:37.000]   I hope that's better.
[00:10:37.000 --> 00:10:51.000]   Okay. So now we can just pass in our data loaders and we can create our CNN learner. So whenever that will run.
[00:10:51.000 --> 00:10:59.000]   I'm just checking why it's taking a bit long. Okay. So the model stuck in training. That's what's taking long. That's fine.
[00:10:59.000 --> 00:11:06.000]   Okay. So then what is this learning rate finder? Basically, once you create your learner, once you've got your data loaders ready,
[00:11:06.000 --> 00:11:15.000]   and the process of getting the data loaders ready is you first create a data block, which is the easiest way to get your data loaders ready.
[00:11:15.000 --> 00:11:24.000]   So we've already looked at this last week. And once you have your data loaders ready, then you can pass your data loaders to the CNN learner object.
[00:11:24.000 --> 00:11:33.000]   And you can pass in the model that you want to train. So ResNet-34, if you don't know what a ResNet-34 is, it's just a type of a model.
[00:11:33.000 --> 00:11:44.000]   And if you're really interested about reading more about ResNet-34, then, of course, the easiest way to do that in a Jupyter Notebook is just to press question mark, question mark.
[00:11:44.000 --> 00:11:51.000]   So right now, I've just created I've passed in my data loaders. I've said I want to monitor the edit rate.
[00:11:51.000 --> 00:11:56.000]   So this is a human readable metric, which makes it really easy for us to interpret our models.
[00:11:56.000 --> 00:12:03.000]   And then I'm just going to fine tune my model at some really big base learning rate.
[00:12:03.000 --> 00:12:11.000]   So you can see how the error rate is really, really high. It's like 0.96. It's because I took my learning rate to be too high.
[00:12:11.000 --> 00:12:16.000]   So the question is, then, how do we know what is a good learning rate?
[00:12:16.000 --> 00:12:26.000]   One way could be that we can just guess a learning rate. We can try with 0.1. We can try with 0.2. We can try with 0.1. Sorry, 0.01.
[00:12:26.000 --> 00:12:31.000]   We can try with all these different numbers. And then we train all of these different models.
[00:12:31.000 --> 00:12:36.000]   And then we just pick the model that performs the best. So that's the learning rate. That's one way.
[00:12:36.000 --> 00:12:42.000]   But you can see how that means that we're wasting a lot of computation.
[00:12:42.000 --> 00:12:49.000]   So doing that is not actually computationally good because we're wasting a lot of resources.
[00:12:49.000 --> 00:12:52.000]   We're wasting a lot of time to find this one parameter.
[00:12:52.000 --> 00:13:02.000]   So something that has been only around in 2015 by a researcher called Leslie Smith has been this idea of a learning rate finder.
[00:13:02.000 --> 00:13:05.000]   And Fast.ai has implemented that learning rate finder.
[00:13:05.000 --> 00:13:12.000]   So any time, anywhere in Fast.ai when you have your learner object, you can call this method called LR find.
[00:13:12.000 --> 00:13:17.000]   So if I call that, it returns something that's a suggested LR.
[00:13:17.000 --> 00:13:24.000]   And then I could just say, okay, please tell me what's this suggested LR. And it will print my suggested point.
[00:13:24.000 --> 00:13:29.000]   So right now, for us, Fast.ai is trying to find what a good learning rate is.
[00:13:29.000 --> 00:13:40.000]   Basically what Fast.ai does underneath is that for each batch, you start with a small learning rate.
[00:13:40.000 --> 00:13:45.000]   And then you keep increasing it until the point your loss starts to get bad.
[00:13:45.000 --> 00:13:53.000]   So when you reach a point where your loss starts to get bad, that's when this learning rate finder kind of knows that's a bad learning rate.
[00:13:53.000 --> 00:13:57.000]   So see how we started with a really small learning rate at first.
[00:13:57.000 --> 00:14:03.000]   And then we continued to find we continued to increase our learning rate.
[00:14:03.000 --> 00:14:10.000]   And then we saw, okay, at this point, at a learning rate of one, basically, our loss has become really bad.
[00:14:10.000 --> 00:14:16.000]   So that's not a good loss curve. Let me just do it again. Let me run this again.
[00:14:16.000 --> 00:14:28.000]   I just want to show you a good loss curve that you can then see in real world use cases.
[00:14:28.000 --> 00:14:32.000]   So I'm just going to wait until that runs so I can explain what's going on.
[00:14:32.000 --> 00:14:35.000]   Okay. So that's a better looking loss curve.
[00:14:35.000 --> 00:14:39.000]   So basically what happens is you start out with a really, really small learning rate.
[00:14:39.000 --> 00:14:44.000]   And then as you're increasing your learning rate, your loss will start to decrease. Right?
[00:14:44.000 --> 00:14:55.000]   At this curve, we pretty much want to find a point where this decrease in loss is either the steepest or a little bit less than that.
[00:14:55.000 --> 00:14:59.000]   So this point that's suggested here is this 2.51 ENEG 5.
[00:14:59.000 --> 00:15:03.000]   So that's the point, this point here is the suggested LR.
[00:15:03.000 --> 00:15:08.000]   And we can really just pick this up.
[00:15:08.000 --> 00:15:12.000]   So I can just pick this learning rate. I can just put it in.
[00:15:12.000 --> 00:15:14.000]   And now I can train my model.
[00:15:14.000 --> 00:15:22.000]   So this way we know that the learning rate that we've picked up is a good learning rate.
[00:15:22.000 --> 00:15:25.000]   So that's basically one of the first steps that you can do.
[00:15:25.000 --> 00:15:31.000]   The first thing you want to do is you want to pick up a good learning rate so you can use the learning rate finder in Fast.ai.
[00:15:31.000 --> 00:15:33.000]   And then that will give you a suggested learning rate.
[00:15:33.000 --> 00:15:41.000]   And you can see how now the error is starting to basically going to reduce if we keep continuing training with this learning rate.
[00:15:41.000 --> 00:15:43.000]   So I'll wait for that to run.
[00:15:43.000 --> 00:15:46.000]   And when that's running, so that's the first step.
[00:15:46.000 --> 00:15:49.000]   So we've just trained a model based on that learning rate.
[00:15:49.000 --> 00:15:53.000]   The next step is unfreezing and transfer learning.
[00:15:53.000 --> 00:15:55.000]   So what is unfreezing and what is transfer learning?
[00:15:55.000 --> 00:16:01.000]   These are things I've kind of touched on in the past.
[00:16:01.000 --> 00:16:07.000]   So when you have your model, you have your deep learning model, we know that a deep learning model has many, many layers.
[00:16:07.000 --> 00:16:11.000]   So it's not like -- it's basically multiple layers in a deep learning model.
[00:16:11.000 --> 00:16:13.000]   So this is my earlier layers.
[00:16:13.000 --> 00:16:15.000]   I'm just going to call them L2, L3, and so on.
[00:16:15.000 --> 00:16:17.000]   I'm just going to call this L5.
[00:16:17.000 --> 00:16:19.000]   So these here are called earlier layers.
[00:16:19.000 --> 00:16:22.000]   And these here are called later layers.
[00:16:22.000 --> 00:16:31.000]   So if you remember, when we were looking at the earlier layers, we know that these earlier layers only find things like edges.
[00:16:31.000 --> 00:16:36.000]   Or they find things like -- so we've already visualized what these layers can learn.
[00:16:36.000 --> 00:16:41.000]   And that paper was in a chapter intro before.
[00:16:41.000 --> 00:16:43.000]   So that's back in chapter intros.
[00:16:43.000 --> 00:16:45.000]   That's the first chapter that we looked at.
[00:16:45.000 --> 00:16:53.000]   And we know that the earlier layers can only find things like edges or they can find diagonals or they can find horizontal edges or vertical edges.
[00:16:53.000 --> 00:16:55.000]   Or just basically very basic patterns.
[00:16:55.000 --> 00:17:02.000]   And it's not until the later layers that you start to find complex patterns like eyes or you start to find actually recognizing faces.
[00:17:02.000 --> 00:17:13.000]   So what happens is because this deep learning model has been trained on something called ImageNet, which is 1 million images of various different things,
[00:17:13.000 --> 00:17:17.000]   so we still want to keep the weights of these earlier layers.
[00:17:17.000 --> 00:17:26.000]   So we still want to keep the weights of these earlier layers.
[00:17:26.000 --> 00:17:36.000]   So what we do is -- and we want to discard the weights of these later layers.
[00:17:36.000 --> 00:17:40.000]   So what we do is we cut off this model at a point.
[00:17:40.000 --> 00:17:44.000]   So we keep the body.
[00:17:44.000 --> 00:17:51.000]   And we cut off the head.
[00:17:51.000 --> 00:17:54.000]   So we keep the body and we cut off the head.
[00:17:54.000 --> 00:18:03.000]   And basically what we do is we freeze the body.
[00:18:03.000 --> 00:18:05.000]   And we just train the head.
[00:18:05.000 --> 00:18:11.000]   So this is -- freezing means we're not going to train this part of the model.
[00:18:11.000 --> 00:18:13.000]   So we just train the head first.
[00:18:13.000 --> 00:18:21.000]   And what I mean by the head is because ImageNet was trained on 1,000 classes.
[00:18:21.000 --> 00:18:28.000]   And in pets, you have about 37 classes, which means your final layers are going to look a little bit different.
[00:18:28.000 --> 00:18:33.000]   So then what you do is you can cut off the points that classify into these 1,000 layers.
[00:18:33.000 --> 00:18:36.000]   So you can cut off all those weights because you don't need them.
[00:18:36.000 --> 00:18:40.000]   Because these layers are actually good at classifying things that are in ImageNet.
[00:18:40.000 --> 00:18:44.000]   But we want layers that are good at classifying pets.
[00:18:44.000 --> 00:18:49.000]   So that's the reason why we cut off and we still keep the body.
[00:18:49.000 --> 00:18:50.000]   So that's the first step.
[00:18:50.000 --> 00:18:55.000]   So you start with -- you freeze your body and you train your head at some learning rate.
[00:18:55.000 --> 00:18:58.000]   So now your new head can learn things.
[00:18:58.000 --> 00:19:13.000]   And then as you go forward in the next thing, what you can do is you can train both your body and head.
[00:19:13.000 --> 00:19:18.000]   So this is now you unfreeze the body.
[00:19:18.000 --> 00:19:21.000]   Unfreezing means you're going to now train the body.
[00:19:21.000 --> 00:19:24.000]   But you also train the body and now you also train the head.
[00:19:24.000 --> 00:19:27.000]   So that's the idea of unfreezing.
[00:19:27.000 --> 00:19:29.000]   So let's go back.
[00:19:29.000 --> 00:19:39.000]   By the way, this whole process of having a model that first trains on a bigger data set and then is training on the data set that you care about,
[00:19:39.000 --> 00:19:45.000]   in our case, this is the pets data set, this process is called fine-tuning.
[00:19:45.000 --> 00:19:51.000]   And this is the process of -- sorry, transfer learning.
[00:19:51.000 --> 00:20:05.000]   So remember we visualized all the layers from this Sila and Ferguson paper.
[00:20:05.000 --> 00:20:12.000]   Just going to wait for that to open for a second.
[00:20:12.000 --> 00:20:15.000]   Okay.
[00:20:15.000 --> 00:20:17.000]   There's a few questions.
[00:20:17.000 --> 00:20:23.000]   Does the learning rate finder restore the model weights after running the test?
[00:20:23.000 --> 00:20:27.000]   Because I guess at the end, the test, we've kind of messed up the parameters.
[00:20:27.000 --> 00:20:29.000]   No, it doesn't.
[00:20:29.000 --> 00:20:35.000]   So that's why we kind of -- after the learning rate finder, you start -- now you just create your learner again.
[00:20:35.000 --> 00:20:37.000]   This is just the fresh weights.
[00:20:37.000 --> 00:20:45.000]   And then you can train with the learning rate that's been suggested.
[00:20:45.000 --> 00:20:46.000]   Oh.
[00:20:46.000 --> 00:20:50.000]   Kevin said it restores the weights from before the LR.
[00:20:50.000 --> 00:20:51.000]   Okay.
[00:20:51.000 --> 00:20:52.000]   Thanks, Kevin.
[00:20:52.000 --> 00:20:53.000]   Maybe I'm wrong over here.
[00:20:53.000 --> 00:20:54.000]   I'll have to double check, actually.
[00:20:54.000 --> 00:21:05.000]   That's why I checked the comments, because I wasn't -- I was always under the understanding that it kind of had to be reset with a new CNN learner.
[00:21:05.000 --> 00:21:08.000]   I will get back to you on this, Ravi.
[00:21:08.000 --> 00:21:11.000]   LR should be at the bottom of the curve instead of that point.
[00:21:11.000 --> 00:21:12.000]   Okay.
[00:21:12.000 --> 00:21:17.000]   So I guess it's important to understand and interpret this chart.
[00:21:17.000 --> 00:21:23.000]   So if it's at the bottom, which is this point, after this point, that's when the loss starts getting worse.
[00:21:23.000 --> 00:21:34.000]   So let me copy/paste this in OneNote.
[00:21:34.000 --> 00:21:38.000]   So what point do you want to pick from this loss curve?
[00:21:38.000 --> 00:21:45.000]   So what's being suggested is we pick this point, which is the lowest, because that's the point where the loss is the lowest right now.
[00:21:45.000 --> 00:21:46.000]   But imagine this.
[00:21:46.000 --> 00:21:52.000]   Like at this point, at this learning rate, you don't really want to pick this learning rate, because it's already too high.
[00:21:52.000 --> 00:21:59.000]   Because if you go even a small bit more than this learning rate, then the loss is going to get -- start to get worse.
[00:21:59.000 --> 00:22:05.000]   So you actually want to pick a learning rate where the loss is decreasing at the maximum.
[00:22:05.000 --> 00:22:08.000]   What that means is at this point, the loss is not really decreasing.
[00:22:08.000 --> 00:22:10.000]   It's just reached a minimum point already.
[00:22:10.000 --> 00:22:14.000]   So it's important to understand this curve and interpret it in that way.
[00:22:14.000 --> 00:22:20.000]   You want to pick a point where the loss is decreasing and not the point where the loss has already decreased.
[00:22:20.000 --> 00:22:23.000]   Because this is the point that's an optimal point.
[00:22:23.000 --> 00:22:27.000]   Because that's where we know the loss is going to decrease if we train with that learning rate.
[00:22:27.000 --> 00:22:35.000]   But at this point, we know that if we train with this learning rate, it's already too high that the loss is going to start to get worse.
[00:22:35.000 --> 00:22:40.000]   So I hope that answers the question.
[00:22:40.000 --> 00:22:43.000]   Good question. Thanks for asking.
[00:22:43.000 --> 00:22:46.000]   Why are we not picking up the LR?
[00:22:46.000 --> 00:22:55.000]   Okay. Thanks, Rashmi. I hope that answers the point.
[00:22:55.000 --> 00:23:03.000]   I think Aman may need to rerun the suggested LR.valley sale to get an updated value.
[00:23:03.000 --> 00:23:07.000]   Did I miss something?
[00:23:07.000 --> 00:23:12.000]   Oh, okay.
[00:23:12.000 --> 00:23:16.000]   My bad.
[00:23:16.000 --> 00:23:21.000]   Thanks for picking that up, Kevin.
[00:23:21.000 --> 00:23:28.000]   Question from Vinayak. Does LRFinder test the loss for the same batch by changing the learning rates?
[00:23:28.000 --> 00:23:33.000]   Does one batch may not be able to have all the images if my targets are this?
[00:23:33.000 --> 00:23:38.000]   Can you please elaborate on how LRFinder works with respect to the above?
[00:23:38.000 --> 00:23:44.000]   So basically what LRFinder, as I understand, does is you know how you have a data set.
[00:23:44.000 --> 00:23:49.000]   So if I have a big enough data set, which is then divided into batches.
[00:23:49.000 --> 00:23:52.000]   So the first batch gets some learning rate.
[00:23:52.000 --> 00:23:54.000]   Then the second batch gets a bigger learning rate.
[00:23:54.000 --> 00:23:57.000]   Then the third batch gets an even bigger learning rate.
[00:23:57.000 --> 00:23:59.000]   And the fourth batch gets an even bigger learning rate.
[00:23:59.000 --> 00:24:05.000]   And you keep going all the way to the last batch or till the point that the loss really starts to get worse.
[00:24:05.000 --> 00:24:10.000]   So that's the point. So I think the question you're asking is, is this the same batch or are these different batches?
[00:24:10.000 --> 00:24:12.000]   So these are all different batches.
[00:24:12.000 --> 00:24:21.000]   You start from a smaller learning rate at this point and you go at a higher and higher learning rate at different batches.
[00:24:21.000 --> 00:24:28.000]   In the context of deep learning, is it wrong to define transfer learning as fine tuning the head of the model?
[00:24:28.000 --> 00:24:34.000]   It is not. I just wanted to stick with transfer learning as the term that's been mentioned in the book.
[00:24:34.000 --> 00:24:39.000]   But I don't think it's wrong to call it fine tuning because that's what we're kind of doing.
[00:24:39.000 --> 00:24:49.000]   But the process in then, there's no difference in my head between fine tuning because we're just fine tuning the model and the process is just called transfer learning.
[00:24:49.000 --> 00:24:53.000]   Okay. So with that being said, let's get back to the model.
[00:24:53.000 --> 00:24:57.000]   Oh, there we go. Choosing a good learning rate.
[00:24:57.000 --> 00:25:13.000]   I can see that now. Sorry, one second.
[00:25:13.000 --> 00:25:21.000]   Okay, this is where we were. So now we picked up a good learning rate, which is the suggested point was 1.45 in a three.
[00:25:21.000 --> 00:25:26.000]   And as you can see, training at that learning rate really makes our error rate come down.
[00:25:26.000 --> 00:25:33.000]   So that's a really good learning rate, which means if our error rate is 7%, that means our model is now 93% accurate.
[00:25:33.000 --> 00:25:39.000]   So that's the first thing. Whenever you start with a model, you want to try and pick up a good learning rate.
[00:25:39.000 --> 00:25:43.000]   For those that have been asking, why don't we pick up the point of a learning rate?
[00:25:43.000 --> 00:25:50.000]   I've already explained, but also a good experiment would be just rerun the cell with all these different points and see what you learn.
[00:25:50.000 --> 00:25:55.000]   So I think a good experiment would be at this point would be.
[00:25:55.000 --> 00:26:03.000]   Sorry, that's happened again. One second. A good experiment at this point would be just picking up all the different learning rates in the loss curve
[00:26:03.000 --> 00:26:10.000]   and then see how the loss is kind of responding or how the model is training, because you really want to get a feel of things.
[00:26:10.000 --> 00:26:15.000]   In deep learning, you really want to understand how the model behaves by trying out different experiments.
[00:26:15.000 --> 00:26:23.000]   That would make a really good experiment and a really good blog post idea is how each of these learning rates affect the model differently.
[00:26:23.000 --> 00:26:28.000]   So try picking up a really big one, try picking up a really small one. Train the really big one for two epochs.
[00:26:28.000 --> 00:26:36.000]   Train the really small one for 200 epochs. See if they kind of match the performance or what's happening.
[00:26:36.000 --> 00:26:41.000]   Basically, you want to improve your understanding of the learning rate.
[00:26:41.000 --> 00:26:46.000]   OK, so we were just looking at what's the point of transfer learning and what we're doing.
[00:26:46.000 --> 00:26:52.000]   So I was just bringing up this paper by Siler and Ferguson. So remember, we've already looked at this.
[00:26:52.000 --> 00:26:58.000]   The earlier layers kind of look at patterns that are like diagonals or circles.
[00:26:58.000 --> 00:27:04.000]   And then it's the later layers. Sorry, my laptop is playing a little bit today.
[00:27:04.000 --> 00:27:09.000]   So things are a bit slow. I think it's something's weird.
[00:27:09.000 --> 00:27:14.000]   But anyway, we'll continue. And the later layers are the ones that actually pick up the complex patterns.
[00:27:14.000 --> 00:27:19.000]   So that's why we want to keep the earlier layers because they've been trained on one million images.
[00:27:19.000 --> 00:27:26.000]   And the way of doing that. So we can just. So this is again, we're just starting with a model.
[00:27:26.000 --> 00:27:37.000]   And then what we want to do is we unfreeze. So what this unfreeze command in Fast.ai will do, as I've already explained, it will unfreeze my body.
[00:27:37.000 --> 00:27:41.000]   So we go from we've already done this bit. We go and we unfreeze.
[00:27:41.000 --> 00:27:47.000]   And this is what this is, the point that we reach where the body is unfrozen. We're training both the body and head.
[00:27:47.000 --> 00:27:56.000]   So this is what happens. And then when you call LR, learn.lr find at this point, see how this curve is different.
[00:27:56.000 --> 00:28:06.000]   Because this model has already been trained. So at this point, you want to pick up basically a learning rate where the loss curve is pretty much flat.
[00:28:06.000 --> 00:28:11.000]   So this is a trained model. So previously, when we looked at the loss curve, this was an untrained model.
[00:28:11.000 --> 00:28:15.000]   That's why we could see we have areas where the loss is decreasing.
[00:28:15.000 --> 00:28:21.000]   But now we've already reached a point where our loss is quite low because we've already trained a model.
[00:28:21.000 --> 00:28:27.000]   And now we're just unfreezing the body. At this point, you can see how this loss curve is different.
[00:28:27.000 --> 00:28:33.000]   And then you want to pick a point that is significantly lower, but you know that the loss is kind of a steady curve around.
[00:28:33.000 --> 00:28:40.000]   So these are the points where loss is minimum. Sorry, loss is low and it's steady.
[00:28:40.000 --> 00:28:45.000]   This is the point you want to pick in this learning curve. And then you can train your model again at that.
[00:28:45.000 --> 00:28:52.000]   Basically pick the point or that suggested LR. So in this case, you pick up a smaller number and you can pick up one ENECH4,
[00:28:52.000 --> 00:28:57.000]   which is basically a general rule of thumb that I follow is when I'm fine tuning my model,
[00:28:57.000 --> 00:29:02.000]   I make my learning rate 10 or 100 times smaller than the one I picked up.
[00:29:02.000 --> 00:29:09.000]   So in the last one, if we were going with. If my learning rate was 1.45 ENECH3,
[00:29:09.000 --> 00:29:15.000]   then a good learning rate that I'll pick up over here is just one ENECH4 or maybe even one ENECH5.
[00:29:15.000 --> 00:29:21.000]   So then you train your model again and you can see how the error rate reduces even further.
[00:29:21.000 --> 00:29:25.000]   So that's the main idea of freezing, unfreezing and transfer learning.
