
[00:00:00.000 --> 00:00:04.000]   Hi, everyone.
[00:01:03.800 --> 00:01:04.880]   Yeah, I've been a huge fan.
[00:01:04.880 --> 00:01:06.560]   So thanks for the invitation.
[00:01:06.560 --> 00:01:07.400]   Thanks.
[00:01:07.400 --> 00:01:08.920]   Well, it's an honor to have you on.
[00:01:08.920 --> 00:01:12.760]   You're one of like-- you're maybe the first PhD thesis defense
[00:01:12.760 --> 00:01:16.400]   I've ever watched in like this AI world,
[00:01:16.400 --> 00:01:18.600]   because most people just publish single papers.
[00:01:18.600 --> 00:01:20.800]   But every paper of yours is a banger.
[00:01:20.800 --> 00:01:21.680]   So congrats.
[00:01:21.680 --> 00:01:22.680]   Thanks.
[00:01:22.680 --> 00:01:25.960]   Yeah, maybe we'll just kick it off with, you know,
[00:01:25.960 --> 00:01:28.520]   what was your journey into using language models for agents?
[00:01:28.520 --> 00:01:31.560]   I like that your thesis advisor, I didn't catch his name,
[00:01:31.560 --> 00:01:32.400]   but he was like, you know--
[00:01:32.400 --> 00:01:33.040]   Karthik.
[00:01:33.040 --> 00:01:35.800]   Yeah, it's like this guy just wanted to use language models,
[00:01:35.800 --> 00:01:38.320]   and it was such a controversial pick at the time.
[00:01:38.320 --> 00:01:38.800]   Right.
[00:01:38.800 --> 00:01:40.760]   The full story is that in undergrad,
[00:01:40.760 --> 00:01:42.240]   I did some computer vision research,
[00:01:42.240 --> 00:01:44.200]   and that's how I got into AI.
[00:01:44.200 --> 00:01:46.640]   But at the time, I feel like, you know,
[00:01:46.640 --> 00:01:49.920]   you're just composing all the GAN or 3D perception
[00:01:49.920 --> 00:01:53.040]   or whatever together, and it's not exciting anymore.
[00:01:53.040 --> 00:01:56.440]   And one day, I just see this transformer paper,
[00:01:56.440 --> 00:01:58.000]   and that's really cool.
[00:01:58.000 --> 00:02:00.480]   But I really got into language model
[00:02:00.480 --> 00:02:04.640]   only when I entered my PhD and met my advisor Karthik.
[00:02:04.640 --> 00:02:07.280]   So he was actually the second author of GPT-1
[00:02:07.280 --> 00:02:09.360]   when he was like a visiting scientist at OpenAI.
[00:02:09.360 --> 00:02:10.320]   With Alec Redford?
[00:02:10.320 --> 00:02:10.720]   Yes.
[00:02:10.720 --> 00:02:11.280]   Wow.
[00:02:11.280 --> 00:02:12.320]   That's what he told me.
[00:02:12.320 --> 00:02:14.320]   It's like, back in OpenAI,
[00:02:14.320 --> 00:02:15.680]   they did this GPT-1 together,
[00:02:15.680 --> 00:02:19.040]   and Ilya just said, Karthik, you should stay,
[00:02:19.040 --> 00:02:20.440]   because we just solved the language.
[00:02:20.440 --> 00:02:22.880]   But apparently, Karthik is not fully convinced.
[00:02:22.880 --> 00:02:25.760]   So he went to Princeton, started his professorship,
[00:02:25.760 --> 00:02:27.440]   and I'm really grateful.
[00:02:27.440 --> 00:02:29.440]   So he accepted me as a student,
[00:02:29.440 --> 00:02:32.120]   even though I have no prior knowledge in NLP.
[00:02:32.120 --> 00:02:34.240]   And, you know, we just met for the first time,
[00:02:34.240 --> 00:02:37.000]   and he's like, you know, what do you want to do?
[00:02:37.000 --> 00:02:38.200]   And I'm like, you know,
[00:02:38.200 --> 00:02:40.160]   you have done those test game scenes.
[00:02:40.160 --> 00:02:40.960]   That's really cool.
[00:02:40.960 --> 00:02:43.880]   I wonder if we can just redo them with language models.
[00:02:43.880 --> 00:02:45.760]   And that's how the whole journey began.
[00:02:45.760 --> 00:02:46.040]   Awesome.
[00:02:46.040 --> 00:02:47.760]   And that was GPT-2, was that at the time?
[00:02:47.760 --> 00:02:49.240]   Yes, that was 2019.
[00:02:49.240 --> 00:02:49.800]   Yeah.
[00:02:49.800 --> 00:02:51.640]   Way too dangerous to release.
[00:02:51.640 --> 00:02:52.040]   Yeah.
[00:02:52.040 --> 00:02:56.600]   And then I guess the first work of yours that I came across was React.
[00:02:56.600 --> 00:02:57.080]   Sure.
[00:02:57.080 --> 00:02:59.000]   Which was a big part of your defense.
[00:02:59.000 --> 00:03:01.240]   But also, Harrison, when you came on the podcast last year,
[00:03:01.240 --> 00:03:03.720]   you said that was one of the first papers that you saw
[00:03:03.720 --> 00:03:05.160]   when you were getting inspired for Langchain.
[00:03:05.160 --> 00:03:08.120]   So maybe give a recap of why you thought it was cool,
[00:03:08.120 --> 00:03:10.840]   because you were already working in AI and machine learning.
[00:03:10.840 --> 00:03:14.360]   And then, yeah, you can kind of like enter the paper formally.
[00:03:14.360 --> 00:03:16.360]   But what was that interesting to you specifically?
[00:03:16.360 --> 00:03:20.360]   Yeah, I mean, I think the interesting part was using these language models to
[00:03:20.360 --> 00:03:22.840]   interact with the outside world in some form.
[00:03:22.840 --> 00:03:27.320]   And I think in the paper, you mostly deal with Wikipedia, and I think there's some other
[00:03:27.320 --> 00:03:30.360]   data sets as well, but the outside world is the outside world.
[00:03:30.360 --> 00:03:34.680]   And so interacting with things that weren't present in the LLM and APIs and calling into
[00:03:34.680 --> 00:03:40.120]   them and thinking about, and yeah, the React reasoning and acting and kind of like combining
[00:03:40.120 --> 00:03:42.360]   those together and getting better results.
[00:03:42.360 --> 00:03:46.200]   I had been playing around with LLMs, been talking with people who were playing around with LLMs.
[00:03:46.200 --> 00:03:48.760]   People were trying to get LLMs to call into APIs, do things.
[00:03:48.760 --> 00:03:51.640]   And it was always, how can they do it more reliably and better?
[00:03:51.640 --> 00:03:54.520]   And so this paper was basically a step in that direction.
[00:03:54.520 --> 00:03:58.200]   And I think really interesting and also really general as well.
[00:03:58.200 --> 00:04:03.320]   Like, I think that's part of the appeal is just how general and simple in a good way,
[00:04:03.320 --> 00:04:04.920]   I think the idea was.
[00:04:04.920 --> 00:04:07.320]   So that it was really appealing for all those reasons.
[00:04:07.320 --> 00:04:08.200]   Simple is always good.
[00:04:08.200 --> 00:04:08.520]   Yeah.
[00:04:08.520 --> 00:04:10.920]   Do you have a favorite part?
[00:04:10.920 --> 00:04:13.560]   Because I have one favorite part from your PhD defense,
[00:04:13.560 --> 00:04:16.040]   which I didn't understand when I read the paper.
[00:04:16.040 --> 00:04:20.840]   But you said something along the lines, React doesn't change the outside or the environment,
[00:04:20.840 --> 00:04:24.360]   but it does change the inside through the context, putting more things in the context.
[00:04:24.360 --> 00:04:27.800]   You're not actually changing any of the tools around you to work for you,
[00:04:27.800 --> 00:04:30.840]   but you're changing how the model thinks.
[00:04:30.840 --> 00:04:33.320]   And I think that was like a very profound thing when I,
[00:04:33.320 --> 00:04:35.960]   not that I've been using these tools for like 18 months, I'm like,
[00:04:35.960 --> 00:04:36.840]   I understand what you meant.
[00:04:36.840 --> 00:04:40.600]   But like to say that at the time you did the PhD defense was not trivial.
[00:04:40.600 --> 00:04:41.080]   Yeah.
[00:04:41.080 --> 00:04:45.880]   Another way to put it is like thinking can be an extra tool that's useful.
[00:04:45.880 --> 00:04:47.960]   It makes sense.
[00:04:47.960 --> 00:04:48.840]   It checks out.
[00:04:48.840 --> 00:04:49.880]   Who would have thought?
[00:04:49.880 --> 00:04:56.040]   I think it's also more controversial within his world because everyone was trying to use RL for
[00:04:56.040 --> 00:04:56.440]   agents.
[00:04:56.440 --> 00:04:56.840]   Right.
[00:04:56.840 --> 00:05:00.360]   And this is like the first kind of zero gradient type approach.
[00:05:00.360 --> 00:05:01.080]   Yeah.
[00:05:01.080 --> 00:05:07.640]   I think the bigger kind of historical context is that we have these two big branches of AI, right?
[00:05:07.640 --> 00:05:13.080]   So if you think about RL, right, that's pretty much the equivalent of agent at a time.
[00:05:13.080 --> 00:05:17.640]   And it's like agent is equivalent to reinforcement learning and reinforcement learning is equivalent to
[00:05:17.640 --> 00:05:19.880]   whatever game environment they're using, right?
[00:05:19.880 --> 00:05:22.440]   Atari game or go or whatever.
[00:05:22.440 --> 00:05:28.600]   So you have like a pretty much, you know, you have a biased kind of like set of methodologies in terms
[00:05:28.600 --> 00:05:31.400]   of reinforcement learning and represents agents.
[00:05:31.400 --> 00:05:36.200]   On the other hand, I think NLP is like a historical kind of subject.
[00:05:36.200 --> 00:05:38.360]   It's not really into agents, right?
[00:05:38.360 --> 00:05:40.200]   It's more about reasoning.
[00:05:40.200 --> 00:05:43.160]   It's more about solving those concrete tasks.
[00:05:43.160 --> 00:05:46.680]   And if you look at S.A.L., right, like each task has its own track, right?
[00:05:46.680 --> 00:05:48.120]   Summarization has a track.
[00:05:48.120 --> 00:05:49.320]   Question answering has a track.
[00:05:49.320 --> 00:05:56.920]   So I think really it's about rethinking agents in terms of what could be the new environments
[00:05:56.920 --> 00:05:57.880]   that we can interact with.
[00:05:57.880 --> 00:06:02.840]   It's not just Atari games or whatever, video games, but also those text games or language games.
[00:06:02.840 --> 00:06:07.960]   And also thinking about, could there be like a more general kind of methodology beyond just
[00:06:07.960 --> 00:06:11.240]   designing specific pipelines for each NLP task?
[00:06:11.240 --> 00:06:13.800]   That's like the bigger kind of context, I would say.
[00:06:13.800 --> 00:06:17.320]   Is there an inspiration spark moment that you remember?
[00:06:17.320 --> 00:06:19.080]   Or how did you come to this?
[00:06:19.080 --> 00:06:23.160]   We had Trida on the podcast and you mentioned he was really inspired working with like systems
[00:06:23.160 --> 00:06:25.000]   people to think about flash attention.
[00:06:25.000 --> 00:06:26.600]   What was your inspiration?
[00:06:26.600 --> 00:06:31.160]   Yeah, so actually before React, I spent the first two years of my PhD
[00:06:31.160 --> 00:06:36.200]   focusing on text-based games or in other words, text adventure games.
[00:06:36.200 --> 00:06:41.320]   It's a very kind of small kind of research area and quite ad hoc, I would say.
[00:06:41.320 --> 00:06:45.560]   And there are like, I don't know, like 10 people working on that at the time.
[00:06:45.560 --> 00:06:49.880]   And have you guys heard of Zork 1, for example?
[00:06:49.880 --> 00:06:53.720]   So basically the idea is you have this game and they have text observations.
[00:06:53.720 --> 00:06:57.000]   Like you see a monster, you see a dragon.
[00:06:57.000 --> 00:06:58.360]   You're eaten by a group.
[00:06:58.360 --> 00:06:59.720]   Yeah, you're eaten by a group.
[00:06:59.720 --> 00:07:04.120]   And you have actions like kill the group with a sword or whatever, right?
[00:07:04.120 --> 00:07:07.080]   And that's like a very typical setup of a text game.
[00:07:07.080 --> 00:07:11.400]   So I think one day after, you know, I've seen all the GPT-3 stuff.
[00:07:11.400 --> 00:07:15.320]   I just think, think about, you know, how can I solve the game?
[00:07:15.320 --> 00:07:20.600]   Like why those AI, you know, machine learning methods are pretty stupid, but we are pretty
[00:07:20.600 --> 00:07:22.360]   good at solving the game relatively, right?
[00:07:22.360 --> 00:07:27.960]   So for the context, the predominant method to solve this text game is obviously reinforcement
[00:07:27.960 --> 00:07:28.280]   learning.
[00:07:28.280 --> 00:07:33.720]   And the idea is you just try out an arrow in those games for like millions of steps and you
[00:07:33.720 --> 00:07:35.400]   kind of just overfeed to the game.
[00:07:35.400 --> 00:07:37.320]   But there's no language understanding at all.
[00:07:37.320 --> 00:07:40.360]   And I'm like, why can I solve the game better?
[00:07:40.360 --> 00:07:44.920]   And it's kind of like, because we think about the game, right?
[00:07:44.920 --> 00:07:51.720]   Like when we see this very complex text observation, like you see a guru and you might see a sword,
[00:07:51.720 --> 00:07:56.840]   you know, in the right of the room and you have to go through the wooden door to go to that room.
[00:07:56.840 --> 00:08:00.280]   You will think, you know, oh, I have to kill the monster and to kill that monster, I have to get
[00:08:00.280 --> 00:08:02.760]   the sword, I get to get the sword, I have to go, right?
[00:08:02.760 --> 00:08:06.520]   And this kind of thinking actually helped us kind of thorough shots of the game.
[00:08:06.520 --> 00:08:10.520]   And it's like, why don't we also enable the text agents to think?
[00:08:10.520 --> 00:08:13.000]   And that's kind of the prototype of React.
[00:08:13.000 --> 00:08:18.200]   And I think that's actually very interesting because the prototype, I think, was around
[00:08:18.200 --> 00:08:20.680]   November of 2021.
[00:08:20.680 --> 00:08:23.480]   So that's even before like chain of thought or whatever came up.
[00:08:23.480 --> 00:08:29.160]   So we did a bunch of experiments in the text game, but it was not really working that well.
[00:08:29.160 --> 00:08:30.360]   Like those texting are just too hard.
[00:08:30.360 --> 00:08:31.640]   I think today it's still very hard.
[00:08:31.640 --> 00:08:34.280]   Like if you use GPD-4 to solve it, it's still very hard.
[00:08:34.280 --> 00:08:41.320]   So the change came when I started the internship in Google and apparently Google care less about
[00:08:41.320 --> 00:08:44.360]   text game, they care more about what's more practical.
[00:08:44.360 --> 00:08:50.120]   So pretty much I just reapply the idea, but to more practical kind of environments like Wikipedia or
[00:08:50.120 --> 00:08:55.720]   or like simpler text games like R4 and it just worked.
[00:08:55.720 --> 00:09:01.000]   It's kind of like you first have the idea and then you try to find the domains and the problems
[00:09:01.000 --> 00:09:06.280]   to demonstrate the idea, which is, I would say, different from most of the AI research.
[00:09:06.280 --> 00:09:08.600]   But it kind of worked out for me in that case.
[00:09:08.600 --> 00:09:09.320]   Yeah.
[00:09:09.320 --> 00:09:13.880]   For Harrison, when you were implementing React, what were people applying React to in the early days?
[00:09:13.880 --> 00:09:17.800]   I think the first demo we did probably had like a calculator tool and a search tool.
[00:09:17.800 --> 00:09:22.840]   So like general things, we tried to make it pretty easy to write your own tools and plug in your own
[00:09:22.840 --> 00:09:27.400]   things. And so this is one of the things that we've seen in LinkedIn is people who build their own
[00:09:27.400 --> 00:09:31.720]   applications generally write their own tools. Like there are a few common ones. I'd say like the
[00:09:31.720 --> 00:09:36.840]   three common ones might be like a browser, a search tool and a code interpreter. But then other than that-
[00:09:36.840 --> 00:09:37.880]   The LMOs.
[00:09:37.880 --> 00:09:40.680]   Yep. Yeah, exactly. It matches up very nice with that.
[00:09:40.680 --> 00:09:45.080]   And we just, we actually just redid like our integrations docs page. And if you go to the tools
[00:09:45.080 --> 00:09:47.800]   section, we like highlight those three. And then there's a bunch of like other ones.
[00:09:47.800 --> 00:09:48.280]   Yeah.
[00:09:48.280 --> 00:09:52.200]   And there's such a long tail of other ones, but in practice, like when people go to production,
[00:09:52.200 --> 00:09:56.200]   they generally have their own tools or maybe one of those three, maybe some other ones, but like
[00:09:56.200 --> 00:10:01.880]   very, very few other ones. So yeah, I think the first demo was, was a search and the calculator one.
[00:10:01.880 --> 00:10:03.320]   And there's, what's the data set?
[00:10:03.320 --> 00:10:04.920]   Hot Pog QA.
[00:10:04.920 --> 00:10:07.640]   Yeah. Oh, so there's that one. And then there's like the celebrity one
[00:10:07.640 --> 00:10:09.240]   by the same author, I think.
[00:10:09.240 --> 00:10:11.800]   Olivia Wilde's boyfriend squared.
[00:10:11.800 --> 00:10:12.040]   Yeah.
[00:10:12.040 --> 00:10:14.120]   To the power of 0.23.
[00:10:14.120 --> 00:10:14.840]   Yeah.
[00:10:14.840 --> 00:10:15.640]   Right, right, right.
[00:10:15.640 --> 00:10:17.320]   There's, I'm forgetting the name of the author,
[00:10:17.320 --> 00:10:20.040]   I was like, we're going to over optimize for Olivia Wilde's boyfriend and it's going to
[00:10:20.040 --> 00:10:21.640]   change next year or something.
[00:10:21.640 --> 00:10:26.120]   There's a few data sets kind of like in that vein that require multi-step kind of like reasoning
[00:10:26.120 --> 00:10:31.000]   and thinking. So one of the questions I actually had for you in this vein, like the React paper,
[00:10:31.000 --> 00:10:33.320]   there's a thing, I think there's a few things in there, or at least when I think of that,
[00:10:33.320 --> 00:10:37.000]   there's a few things that I think of. There's kind of like the specific prompting strategy.
[00:10:37.000 --> 00:10:41.800]   Then there's like this general idea of kind of like thinking and then taking an action. And then
[00:10:41.800 --> 00:10:47.080]   there's just even more general idea of just like taking actions in a loop. Today, like obviously language models have
[00:10:47.080 --> 00:10:51.400]   changed a lot. We have tool calling, the specific prompting strategy probably isn't used super
[00:10:51.400 --> 00:10:58.200]   heavily anymore. Would you say that like the concept of React is still used though? Or like, do you think
[00:10:58.200 --> 00:11:02.920]   that tool calling and running tool calling in a loop, is that React in your mind?
[00:11:02.920 --> 00:11:10.600]   I would say like it's like more implicitly used than explicitly used. To be fair, I think the contribution
[00:11:10.600 --> 00:11:17.480]   of React is actually twofold. So first is this idea of, you know, we should be able to use calls in a very
[00:11:17.480 --> 00:11:24.520]   general way. Like there should be a single kind of general method to handle interaction with various
[00:11:24.520 --> 00:11:30.600]   environments. I think React is the first paper to demonstrate the idea. But then I think later, there are
[00:11:30.600 --> 00:11:36.200]   two form or whatever, and this become like a trivial idea. But I think at the time, that's like a pretty
[00:11:36.200 --> 00:11:42.040]   long trivial thing. And I think the second contribution is this idea of what people call
[00:11:42.040 --> 00:11:48.280]   like inner monologue or thinking or reasoning or whatever to be paired with tool use. I think that's
[00:11:48.280 --> 00:11:53.240]   still not trivial because if you look at the default function calling or whatever, like there's no inner
[00:11:53.240 --> 00:12:00.360]   monologue. And in practice, that actually is important, especially if the tool that you use is pretty different
[00:12:00.360 --> 00:12:06.360]   from the training distribution of the language model. So I think that's like, those are the two
[00:12:06.360 --> 00:12:09.800]   like main things that are kind of inherited.
[00:12:09.800 --> 00:12:14.200]   Yeah. On that note, I think OpenAI even recommended like when you're doing tool calling,
[00:12:14.200 --> 00:12:18.600]   it's sometimes helpful to put like a thought field in the tool along with all the actual acquired
[00:12:18.600 --> 00:12:22.680]   arguments and then have that one first. So it fills out that first and then, and that's, they've shown
[00:12:22.680 --> 00:12:27.480]   that that's yielded to kind of like better results. The reason I ask is just like the same concept is still
[00:12:27.480 --> 00:12:31.640]   alive and I don't know whether to call it like a React agent or not. Like I don't know what to call
[00:12:31.640 --> 00:12:35.480]   it. Like I think of it as React, like it's the same ideas that were in the paper, but it's obviously a
[00:12:35.480 --> 00:12:39.240]   very different implementation at this point in time. And so I just don't know what to call it.
[00:12:39.240 --> 00:12:46.360]   I feel like people will sometimes think more in terms of different tools, right? Because if you think
[00:12:46.360 --> 00:12:51.880]   about a web agent versus, you know, like a function calling agent and calling a Python API, you would
[00:12:51.880 --> 00:12:57.240]   think of them as very different. But in some sense, the methodology is the same. It depends on how you
[00:12:57.240 --> 00:13:03.000]   view them, right? And I think people will tend to think more in terms of the environment and the tools
[00:13:03.000 --> 00:13:08.280]   rather than the methodology. So, or in other words, I think the methodology is kind of trivial and simple.
[00:13:08.280 --> 00:13:13.960]   So people will try to focus more on the different tools, but I think it's good to have like a single
[00:13:13.960 --> 00:13:17.320]   underlying, principle underlying, all of those things. Yeah.
[00:13:17.320 --> 00:13:21.880]   How do you see the surface of React getting molded into the model? So a function calling is a good
[00:13:21.880 --> 00:13:28.040]   example of like, now the model does it. What about the thinking? Now, most models that you use kind of do
[00:13:28.040 --> 00:13:32.440]   chain of thought on their own. They kind of produce steps. Do you think that more and more of this logic will
[00:13:32.440 --> 00:13:38.440]   be in the model? Or do you think like the context window will still be the main driver of like reasoning
[00:13:38.440 --> 00:13:44.440]   and thinking? I think it's already default, right? Like you do some chain of thought and you do some
[00:13:44.440 --> 00:13:50.040]   tool call, like the cost of adding the chain of thought is kind of relatively low compared to other
[00:13:50.040 --> 00:13:56.200]   things. So it's not hurting to do that. And I think it's already kind of common practice, I would say.
[00:13:56.200 --> 00:13:59.960]   Is this a good place to bring in either tree of thought or reflection? Your pick.
[00:14:00.920 --> 00:14:04.760]   Maybe reflection like to respect the time order, I would say.
[00:14:04.760 --> 00:14:09.000]   Yeah. Any backstory as well, like, you know, the people involved with NOAA and like the Princeton
[00:14:09.000 --> 00:14:12.920]   group, I think, you know, we talked about this offline, but people don't understand how these
[00:14:12.920 --> 00:14:18.200]   research pieces come together and this ideation. Yeah. I think reflection is mostly NOAA's work.
[00:14:18.200 --> 00:14:24.200]   Like I'm more like advising kind of role. So the story is, I don't remember the time, but like one day we
[00:14:24.200 --> 00:14:31.320]   just see this preprint that's like reflection and autonomous agent with memory or whatever. And it's
[00:14:31.320 --> 00:14:37.640]   kind of like a extension to React, which uses this self-refaction. I'm like, oh, somehow it become very
[00:14:37.640 --> 00:14:38.040]   popular. Yeah.
[00:14:38.040 --> 00:14:43.720]   And NOAA reached out to me. It's like, do you want to collaborate on this and make this from like a
[00:14:43.720 --> 00:14:48.040]   archive preprint to something more solid, you know, like a conference submission? I'm like, sure.
[00:14:48.040 --> 00:14:54.360]   We start, started collaborating and we remain good friends today. And, uh, I think another interesting
[00:14:54.360 --> 00:14:59.320]   backstory is like NOAA was like, I think contacted by OpenAI at the time. It's like, this is pretty
[00:14:59.320 --> 00:15:04.200]   cool. Do you want to just work at OpenAI? And I think Sierra also reached out at the same time.
[00:15:04.200 --> 00:15:09.880]   It's like, this is pretty cool. Do you want to work at Sierra? And, and I think NOAA chose, uh, Sierra,
[00:15:09.880 --> 00:15:16.360]   but it's pretty cool because he was like, still like a second year undergrad and he's a very smart kid.
[00:15:16.360 --> 00:15:18.600]   Based on one paper? Based on one paper. Yeah.
[00:15:18.600 --> 00:15:23.800]   Oh my God. He's done some other research based on like programming language or chemistry or whatever,
[00:15:23.800 --> 00:15:27.880]   but I think that's the paper that got the attention of OpenAI and Sierra, right?
[00:15:27.880 --> 00:15:32.120]   Okay. For those who haven't gone too deep on it, the way that you present the inside of React,
[00:15:32.120 --> 00:15:37.880]   like, can you do that also for reflection? Yeah. I think one way to think of reflection is that
[00:15:37.880 --> 00:15:43.240]   the traditional idea of reinforcement learning is you have a scalar reward and then you, you somehow
[00:15:43.240 --> 00:15:48.040]   back-propagate the signal of the scalar reward to the rest of your neural network through whatever
[00:15:48.040 --> 00:15:54.200]   algorithm, like policy gradient or A2C or whatever. And if you think about the real life, you know, most
[00:15:54.200 --> 00:15:59.960]   of the reward signal is not scalar. It's like your boss told you, you know, you should have done a better
[00:15:59.960 --> 00:16:05.320]   job in this, but a good job on that or whatever. Right. It's not like a scalar reward, like 29 or
[00:16:05.320 --> 00:16:10.760]   something. I think in general, humans do more, deal more with, you know, long-scale reward, or you can
[00:16:10.760 --> 00:16:15.720]   say language feedback, right? And the way that they deal with language feedback also have this kind of
[00:16:15.720 --> 00:16:21.320]   back-propagation kind of process, right? Because you start from this, you did a good job on job B,
[00:16:21.320 --> 00:16:26.520]   and then you reflect, you know, what could have done different to, to change, to make it better.
[00:16:26.520 --> 00:16:30.920]   And you kind of change your prompt, right? Basically, you change your prompt, how to do job A,
[00:16:30.920 --> 00:16:36.040]   and how to do job B, and then you do the whole thing again. So it's really like a pipeline of
[00:16:36.040 --> 00:16:41.480]   language where, in self-gradient descent, you have something like text reasoning to replace
[00:16:41.480 --> 00:16:47.160]   those gradient descent algorithms. I think that's one way to think of reflection, yeah.
[00:16:47.160 --> 00:16:51.640]   One question I have about reflection is, how general do you think the algorithm
[00:16:51.640 --> 00:16:56.920]   there is? And so for context, I think at Langchain and at other places as well, we found it, like we and
[00:16:56.920 --> 00:17:00.840]   others found it pretty easy to implement, kind of like React in a standard way. You plug in any tools,
[00:17:00.840 --> 00:17:05.720]   and it kind of works off the shelf, you know, can get it up and running. I don't think we have like
[00:17:05.720 --> 00:17:09.800]   an off the shelf kind of like implementation of reflection and kind of like the general sense.
[00:17:09.800 --> 00:17:14.600]   I think the concepts like absolutely we see used in different kind of like specific cognitive
[00:17:14.600 --> 00:17:18.920]   architectures, but I don't think we have one that comes off the shelf. I don't think any of the other
[00:17:18.920 --> 00:17:24.280]   frameworks have one that comes off the shelf. And I'm curious whether that's because it's not general
[00:17:24.280 --> 00:17:29.800]   enough, or it's complex as well, because it also requires running it more times. Maybe that's not feasible.
[00:17:29.800 --> 00:17:34.680]   Like, I'm curious how you think about the generalality complexity. Why? Yeah, should we have
[00:17:34.680 --> 00:17:35.880]   one that comes off the shelf?
[00:17:35.880 --> 00:17:41.720]   I think the algorithm is general in the sense that it's just as general as like other algorithms,
[00:17:41.720 --> 00:17:45.800]   if you think about like positive reading or whatever, but it's not applicable to all tasks,
[00:17:45.800 --> 00:17:51.560]   just like other algorithms, right? So you can argue PPO is also general, but it works better for those set
[00:17:51.560 --> 00:17:57.160]   of tasks, but not on those set of tasks. I think it's the same situation for reflection. And I think a key
[00:17:57.160 --> 00:18:02.040]   bottleneck is the evaluator, right? Basically, you need to have a good sense of the signal.
[00:18:02.040 --> 00:18:07.320]   So for example, like if you're trying to do a very hard reasoning task, say mathematics,
[00:18:07.320 --> 00:18:12.280]   for example, and you don't have any tools, right? It's operating in this chain of thought setup. Then
[00:18:12.280 --> 00:18:17.720]   reflection will be pretty hard because in order to reflect upon your thoughts, you have to have a very
[00:18:17.720 --> 00:18:23.720]   good evaluator to judge whether your thought is good or not. But that might be as hard as solving the
[00:18:23.720 --> 00:18:28.680]   problem itself or even harder. The principle of self-reflection is probably more applicable if you have a good
[00:18:28.680 --> 00:18:33.400]   evaluator, for example, in the case of coding, right? Like if you have those arrows, then you can
[00:18:33.400 --> 00:18:40.840]   just reflect on that and how to solve the bug and stuff. So I think another criteria is that it
[00:18:40.840 --> 00:18:46.360]   depends on the application, right? Like if you have this latency or whatever need for like an actual
[00:18:46.360 --> 00:18:51.240]   application with an end user, right? And the user wouldn't let you, you know, do like two hours of three
[00:18:51.240 --> 00:18:56.520]   of thought or reflection, right? You need something as soon as possible. So in that case, maybe this is
[00:18:56.520 --> 00:19:01.800]   better to be used as like a training time technique, right? You do those reflection or tree of thought
[00:19:01.800 --> 00:19:06.600]   or whatever, you get a lot of data and then you try to use the data to train your model better. And then
[00:19:06.600 --> 00:19:10.600]   in test time, you still use something as simple as React, but that's already improved.
[00:19:10.600 --> 00:19:16.440]   And if you think of the Voyager paper as like a way to store skills and then reuse them, like how would you
[00:19:16.440 --> 00:19:22.520]   compare like this like reflective memory and like at what point it's just like ragging on the memory
[00:19:22.520 --> 00:19:26.840]   versus like you want to start to fine tune some of them or like what's the next step once you get a very
[00:19:26.840 --> 00:19:33.080]   long kind of like a reflective corpus? Yeah. So I think there are two questions here. The first question is
