
[00:00:00.000 --> 00:00:05.000]   [Intro]
[00:04:40.000 --> 00:04:51.000]   and he will shape his relationship according to these deep, caring, protective, honoring, initiative-taking, God-given impulses.
[00:04:51.000 --> 00:05:04.000]   So complementarians base all of this on the teachings of the Bible, teachings like number one, husbands, love your wives and don't be harsh with them, Colossians 319.
[00:05:04.000 --> 00:05:14.000]   Or number two, husbands, you're the head of your wife as Christ is the head of the church, so lead her graciously, take initiatives the way Christ does.
[00:05:14.000 --> 00:05:21.000]   Or third, husbands, love your wives as Christ loved the church and gave himself for her.
[00:05:21.000 --> 00:05:28.000]   He gave himself to protect her. He died to save her, so die to protect your wife.
[00:05:28.000 --> 00:05:37.000]   Or four, no one ever hated his own flesh, but nourishes and cherishes it just as Christ does the church, so nourish her and care for her and provide for her.
[00:05:37.000 --> 00:05:45.000]   Or five, honor your wives as the weaker vessels since they are heirs, fellow heirs with you of the grace of life.
[00:05:45.000 --> 00:05:53.000]   In other words, don't let the fact that you could take advantage of her by your superiority or strength in any way incline you to abuse.
[00:05:53.000 --> 00:05:59.000]   Rather, let it incline you to honor her as a fellow heir of the grace of life.
[00:05:59.000 --> 00:06:18.000]   In other words, for complementarians, protection and care and vision and nurture and leading with life-giving initiatives are all ways that God has ordained in man's very nature for honoring women as fellow heirs of the grace of life.
[00:06:18.000 --> 00:06:20.000]   And here's the crucial insight.
[00:06:20.000 --> 00:06:25.000]   Men don't become men on their wedding day.
[00:06:25.000 --> 00:06:43.000]   They are becoming men from the day that they are conceived as male, which means that all those beautiful burdens and responsibilities laid on men in marriage by the Bible are relevant outside marriage, before marriage.
[00:06:43.000 --> 00:06:49.000]   Because men are men and women are women outside marriage.
[00:06:49.000 --> 00:06:58.000]   These relationships vary, how you play it out varies according to how different the relationships are.
[00:06:58.000 --> 00:07:09.000]   But these principles are always relevant, whether the issue is women in combat or women in an elevator alone with a man.
[00:07:09.000 --> 00:07:38.000]   So the complementarian says to Ray Rice and every other man with any woman anywhere, "Your manhood, as God designed you and as Jesus Christ, the Son of God, can remake you through a faith relationship with him, means conquer your selfish impulses with the realization that real men don't hit women.
[00:07:38.000 --> 00:07:41.000]   Real men protect women.
[00:07:41.000 --> 00:07:45.000]   Real men don't use women to provide for their appetites.
[00:07:45.000 --> 00:07:49.000]   Real men use their strength to provide for the woman's good.
[00:07:49.000 --> 00:07:56.000]   Real men are not led around by the leash of their own temper, hooked in their nose.
[00:07:56.000 --> 00:08:03.000]   Real men master their temper and lead women out of harm, not into it.
[00:08:03.000 --> 00:08:15.000]   And where men cease to be such men, real men step in and do what needs to be done."
[00:08:15.000 --> 00:08:18.000]   Amen. Thank you for that, Pastor John.
[00:08:18.000 --> 00:08:20.000]   This is a hard subject to discuss.
[00:08:20.000 --> 00:08:32.000]   And related to this theme of spouse abuse, this heinous sin, Pastor John, you wrote a detailed blog post to flesh out the biblical issues here in addressing this and the role of the police and the role of the local church.
[00:08:32.000 --> 00:08:43.000]   You can find this by going to our website, DesiringGod.org, and search for the blog post, which is titled "Clarifying Words on Wife Abuse," which was published on December 19, 2012.
[00:08:43.000 --> 00:08:49.000]   This has been a special episode of the Ask Pastor John podcast. I'm your host, Tony Reinke. Thanks for listening.
[00:08:49.000 --> 00:08:51.000]   [end]
[00:08:51.000 --> 00:08:53.000]   [end]
[00:08:53.000 --> 00:08:55.000]   [end]
[00:08:55.000 --> 00:09:05.000]   [BLANK_AUDIO]

