
[00:00:00.040 --> 00:00:09.220]   ACL
[00:12:07.780 --> 00:12:07.780]   In the name of Jesus Christ of Latter-day Saints.
[00:12:07.780 --> 00:12:07.780]   In the name of Jesus Christ of Latter-day Saints.
[00:12:07.780 --> 00:12:07.780]   In the name of Jesus Christ of Latter-day Saints.
[00:12:07.780 --> 00:12:37.820]   in the name of Jesus Christ of Latter-day Saints.
[00:12:37.820 --> 00:12:37.820]   In the name of Jesus Christ of Latter-day Saints.
[00:12:37.820 --> 00:12:37.820]   In the name of Jesus Christ of Latter-day Saints.
[00:12:37.820 --> 00:12:37.820]   In the name of Jesus Christ of Latter-day Saints.
[00:12:37.820 --> 00:12:37.820]   In the name of Jesus Christ of Latter-day Saints.
[00:12:37.820 --> 00:12:37.820]   In the name of Jesus Christ of Latter-day Saints.
[00:12:37.820 --> 00:12:37.820]   In the name of Jesus Christ of Latter-day Saints.
[00:12:37.820 --> 00:12:37.820]   In the name of Jesus Christ of Latter-day Saints.
[00:12:37.840 --> 00:13:07.860]   In the name of Jesus Christ of Latter-day Saints.
[00:13:07.860 --> 00:13:07.860]   In the name of Jesus Christ of Latter-day Saints.
[00:13:07.860 --> 00:13:07.860]   In the name of Jesus Christ of Latter-day Saints.
[00:13:07.860 --> 00:13:07.860]   In the name of Jesus Christ of Latter-day Saints.
[00:13:07.860 --> 00:13:07.860]   In the name of Jesus Christ of Latter-day Saints.
[00:13:07.860 --> 00:13:07.860]   In the name of Jesus Christ of Latter-day Saints.
[00:13:07.860 --> 00:13:07.860]   In the name of Jesus Christ of Latter-day Saints.
[00:13:07.860 --> 00:13:07.860]   In the name of Jesus Christ of Latter-day Saints.
[00:13:07.860 --> 00:13:07.860]   In the name of Jesus Christ of Latter-day Saints.
[00:13:07.860 --> 00:13:07.860]   In the name of Jesus Christ of Latter-day Saints.
[00:13:07.860 --> 00:13:07.860]   In the name of Jesus Christ of Latter-day Saints.
[00:13:07.860 --> 00:13:07.860]   In the name of Jesus Christ of Latter-day Saints.
[00:13:07.860 --> 00:13:07.860]   In the name of Jesus Christ of Latter-day Saints.
[00:13:07.860 --> 00:13:07.860]   In the name of Jesus Christ of Latter-day Saints.
[00:13:08.400 --> 00:13:37.900]   in the name of Jesus Christ of Latter-day Saints.
[00:13:37.900 --> 00:13:37.900]   In the name of Jesus Christ of Latter-day Saints.
[00:13:37.900 --> 00:13:37.900]   In the name of Jesus Christ of Latter-day Saints.
[00:13:37.900 --> 00:13:37.900]   In the name of Jesus Christ of Latter-day Saints.
[00:13:37.900 --> 00:13:37.900]   In the name of Jesus Christ of Latter-day Saints.
[00:13:37.900 --> 00:13:37.900]   In the name of Jesus Christ of Latter-day Saints.
[00:13:37.900 --> 00:13:37.900]   In the name of Jesus Christ of Latter-day Saints.
[00:13:37.900 --> 00:13:37.900]   In the name of Jesus Christ of Latter-day Saints.
[00:13:37.900 --> 00:13:37.900]   In the name of Jesus Christ of Latter-day Saints.
[00:13:37.900 --> 00:13:37.900]   In the name of Jesus Christ of Latter-day Saints.
[00:13:37.900 --> 00:13:37.900]   In the name of Jesus Christ of Latter-day Saints.
[00:13:37.900 --> 00:13:37.900]   In the name of Jesus Christ of Latter-day Saints.
[00:13:37.900 --> 00:13:37.900]   In the name of Jesus of Jesus of Latter-day Saints.
[00:13:37.900 --> 00:13:37.900]   In the name of Jesus of Jesus of Latter-day saints.
[00:13:37.920 --> 00:14:07.940]   In the name of Jesus Christ of Latter-day Saints.
[00:14:07.940 --> 00:14:07.940]   The name of Jesus Christ of Latter-day Saints.
[00:14:07.940 --> 00:14:07.940]   The name of Jesus Christ of Latter-day Saints.
[00:14:07.940 --> 00:14:07.940]   The name of Jesus Christ of Latter-day Saints.
[00:14:07.940 --> 00:14:07.940]   The name of Jesus Christ of Latter-day Saints.
[00:14:07.940 --> 00:14:07.940]   The name of Jesus Christ of Latter-day Saints.
[00:14:07.940 --> 00:14:07.940]   The name of Jesus Christ of Latter-day Saints.
[00:14:07.940 --> 00:14:07.940]   The name of Jesus Christ of Latter-day Saints.
[00:14:07.940 --> 00:14:07.940]   The name of Jesus Christ of Latter-day Saints.
[00:14:07.940 --> 00:14:07.940]   The name of Jesus Christ of Latter-day Saints.
[00:14:07.940 --> 00:14:07.940]   The name of Jesus Christ of Latter-day Saints.
[00:14:07.940 --> 00:14:07.940]   The name of Jesus Christ of Latter-day Saints.
[00:14:07.940 --> 00:14:07.940]   The name of Jesus Christ of Latter-day Saints.
[00:14:07.940 --> 00:14:07.940]   The name of Jesus Christ of Latter-day Saints.
[00:14:07.940 --> 00:14:07.940]   The name of Jesus Christ of Latter-day Saints.
[00:14:07.980 --> 00:14:37.980]   the name of Jesus Christ of Latter-day Saints.
[00:14:37.980 --> 00:14:37.980]   The name of Jesus Christ of Latter-day Saints.
[00:14:37.980 --> 00:14:37.980]   The name of Jesus Christ of Latter-day Saints.
[00:14:37.980 --> 00:14:37.980]   The name of Jesus Christ of Latter-day Saints.
[00:14:37.980 --> 00:14:37.980]   The name of Jesus Christ of Latter-day Saints.
[00:14:37.980 --> 00:14:37.980]   The name of Jesus Christ of Latter-day Saints.
[00:14:37.980 --> 00:14:37.980]   The name of Jesus Christ of Latter-day Saints.
[00:14:37.980 --> 00:14:37.980]   The name of Jesus Christ of Latter-day Saints.
[00:14:38.000 --> 00:15:08.020]   The name of Jesus Christ of Latter-day Saints.
[00:15:08.020 --> 00:15:08.020]   The name of Jesus Christ of Latter-day Saints.
[00:15:08.020 --> 00:15:08.020]   The name of Jesus Christ of Latter-day Saints.
[00:15:08.020 --> 00:15:08.020]   The name of Jesus Christ of Latter-day Saints.
[00:15:08.020 --> 00:15:08.020]   The name of Jesus Christ of Latter-day Saints.
[00:15:08.020 --> 00:15:08.020]   The name of Jesus Christ of Latter-day Saints.
[00:15:08.020 --> 00:15:08.020]   The name of Jesus Christ of Latter-day Saints.
[00:15:08.020 --> 00:15:08.020]   The name of Jesus Christ of Latter-day Saints.
[00:15:08.020 --> 00:15:08.020]   The name of Jesus Christ of Latter-day Saints.
[00:15:08.020 --> 00:15:08.020]   The name of Jesus Christ of Latter-day Saints.
[00:15:08.020 --> 00:15:08.020]   The name of Jesus Christ of Latter-day Saints.
[00:15:08.020 --> 00:15:08.020]   The name of Jesus Christ of Latter-day Saints.
[00:15:08.020 --> 00:15:08.020]   The name of Jesus Christ of Latter-day Saints.
[00:15:08.020 --> 00:15:08.020]   The name of Jesus Christ of Latter-day Saints.
[00:15:08.020 --> 00:15:08.020]   The name of Jesus Christ of Latter-day Saints.
[00:15:08.020 --> 00:15:38.060]   the name of Jesus Christ of Latter-day Saints.
[00:15:38.060 --> 00:15:38.060]   The name of Jesus Christ of Latter-day Saints.
[00:15:38.060 --> 00:15:38.060]   The name of Jesus Christ of Latter-day Saints.
[00:15:38.060 --> 00:15:38.060]   The name of Jesus Christ of Latter-day Saints.
[00:15:38.060 --> 00:15:38.060]   The name of Jesus Christ of Latter-day Saints.
[00:15:38.060 --> 00:15:38.060]   The name of Jesus Christ of Latter-day Saints.
[00:15:38.060 --> 00:15:38.060]   The name of Jesus Christ of Latter-day Saints.
[00:15:38.060 --> 00:15:38.060]   The name of Jesus Christ of Latter-day Saints.
[00:15:38.060 --> 00:15:38.060]   The name of Jesus Christ of Latter-day Saints.
[00:15:38.060 --> 00:15:38.060]   The name of Jesus Christ of Latter-day Saints.
[00:15:38.060 --> 00:15:38.060]   The name of Jesus Christ of Latter-day Saints.
[00:15:38.060 --> 00:15:38.060]   The name of Jesus Christ of Latter-day Saints.
[00:15:38.060 --> 00:15:38.060]   The name of Jesus Christ of Latter-day Saints. The name of Jesus of Jesus of Latter-day saints.
[00:15:38.080 --> 00:15:44.100]   The name of Jesus Christ of Latter-day Saints. The name of Jesus Christ of Latter-day Saints.
[00:15:44.100 --> 00:15:46.100]   The name of Jesus Christ of Latter-day Saints. The name of Jesus Christ of Latter-day Saints.
[00:15:46.100 --> 00:15:48.100]   The name of Jesus Christ of Latter-day Saints. The name of Jesus Christ of Latter-day Saints.
[00:15:48.100 --> 00:15:50.100]   The name of Jesus Christ of Latter-day Saints. The name of Jesus Christ of Latter-day Saints.
[00:15:50.100 --> 00:15:52.100]   The name of Jesus Christ of Latter-day Saints. The name of Jesus Christ of Latter-day Saints.
[00:15:52.100 --> 00:15:54.100]   The name of Jesus Christ of Latter-day Saints. The name of Jesus Christ of Latter-day Saints.
[00:15:54.100 --> 00:15:56.100]   The name of Jesus Christ of Latter-day Saints. The name of Jesus Christ of Latter-day Saints.
[00:15:56.100 --> 00:15:58.100]   The name of Jesus Christ of Latter-day Saints. The name of Jesus Christ of Latter-day Saints.
[00:15:58.120 --> 00:16:23.140]   The name of Jesus Christ of Latter-day Saints. The name of Jesus Christ of Latter-day Saints.
[00:16:23.140 --> 00:16:25.140]   The name of Jesus Christ of Latter-day Saints. The name of Jesus Christ of Latter-day Saints.
[00:16:25.140 --> 00:16:27.140]   The name of Jesus Christ of Latter-day Saints. The name of Jesus Christ of Latter-day Saints.
[00:16:27.140 --> 00:16:28.140]   The name of Jesus Christ of Latter-day Saints. The name of Jesus Christ of Latter-day Saints.
[00:16:28.140 --> 00:16:28.140]   The name of Jesus Christ of Latter-day Saints. The name of Jesus Christ of Latter-day Saints.
[00:16:28.140 --> 00:16:28.140]   The name of Jesus Christ of Latter-day Saints. The name of Jesus Christ of Latter-day Saints. The name of Jesus Christ of Latter-day Saints.
[00:16:28.180 --> 00:16:31.980]   100
[00:16:31.980 --> 00:16:40.140]   airرا
[00:16:40.140 --> 00:16:56.800]   visit the. If, must,
[00:16:58.020 --> 00:17:27.860]   from your bank. You can't go and get an auto loan for a $2,000 beater from your bank. You can't go and get an auto loan for a $2,000 beater from a mainstream auto financing company. The only place you can get an auto loan for a $2,000 beater is from a buy here, pay here place. And I'll get to the problems of that in a moment. So what frequently people find out is they have to go down to Toyota financing department or Ford Motor Company financing department.
[00:17:27.880 --> 00:17:57.700]   whatever. And they have to buy borrow money for a new car or a mostly new car. Well, that's a problem because a poor person, a destitute person cannot afford a new car. You cannot afford when you're broke to be driving around on a $30,000 car. That's cost is going to cost you $4,500 in depreciation this year. You need a $2,000 car in that circumstance. So this financially destitute person figures that they have no option except to buy the new car.
[00:17:58.580 --> 00:18:27.580]  ,
[00:18:27.580 --> 00:18:27.740]   and they have to go down to the places where they can get an auto loan for a $2,000 beater from a mainstream auto financing company.
[00:18:27.740 --> 00:18:27.740]   And they have to go down to the places where they can get an auto loan from a $2,000 beater from a mostly new car.
[00:18:27.740 --> 00:18:27.740]   And they have to go down to the places where they can get an auto loan from a $2,000 beater from a mainstream auto financing company.
[00:18:27.780 --> 00:18:57.760]  ,
[00:18:57.760 --> 00:18:57.760]   and they have to go down to the places where they can get an auto loan from a mainstream auto financing company.
[00:18:57.760 --> 00:18:57.760]   And they have to go down to the places where they can get an auto loan from a mainstream auto financing company.
[00:18:57.760 --> 00:18:57.760]   And they have to go down to the places where they can get an auto loan from a mainstream auto financing company.
[00:18:57.760 --> 00:18:57.760]   And they have to go down to the places where they can get an auto loan from a mainstream auto financing company.
[00:18:57.780 --> 00:19:27.780]   We see the problem with buying a new car because you can't get financing for it.
[00:19:27.780 --> 00:19:27.780]   We see the problem with buying a new car because you can't get financing for it.
[00:19:27.780 --> 00:19:27.780]   We see the problem with buying a new car because you can't get financing for it.
[00:19:27.780 --> 00:19:27.780]   So you say, well, let's say I go and buy a cheap car.
[00:19:27.780 --> 00:19:27.780]   Well, the only way you can buy a cheap car on credit is to go to a buy here, pay here car dealership.
[00:19:27.780 --> 00:19:27.780]   Well, the only way you can buy a cheap car on credit is to go to a buy here, pay here car dealership.
[00:19:27.780 --> 00:19:27.780]   Well, what happens in that situation?
[00:19:27.780 --> 00:19:27.780]   Well, first, the car itself is sold at a very high retail price.
[00:19:27.780 --> 00:19:27.780]   Well, first, the car itself is sold at a very high retail price.
[00:19:27.780 --> 00:19:57.800]  , and the car itself is sold at a very high retail price.
[00:19:57.800 --> 00:19:57.800]   Well, first, the car itself is sold at a very high retail price.
[00:19:57.800 --> 00:19:57.800]   Well, first, the car itself is sold at a very high retail price.
[00:19:57.800 --> 00:19:57.800]   Well, first, the car itself is sold at a very high retail price.
[00:19:57.800 --> 00:19:57.800]   Well, first, the car itself is sold at a very high retail price.
[00:19:57.800 --> 00:19:57.800]   Well, first, the car itself is sold at a very high retail price.
[00:19:57.820 --> 00:20:27.820]   The car itself is sold at a very high retail price.
[00:20:27.820 --> 00:20:27.820]   The car itself is sold at a very high retail price.
[00:20:27.820 --> 00:20:27.820]   The car itself is sold at a very high retail price.
[00:20:27.820 --> 00:20:27.820]   The car itself is sold at a very high retail price.
[00:20:27.820 --> 00:20:27.820]   The car itself is sold at a very high retail price.
[00:20:27.820 --> 00:20:27.820]   The car itself is sold at a very high retail price.
[00:20:27.820 --> 00:20:27.820]   The car itself is sold at a very high retail price.
[00:20:27.820 --> 00:20:27.820]   The car itself is sold at a very high retail price.
[00:20:27.820 --> 00:20:27.820]   The car itself is sold at a very high retail price.
[00:20:27.820 --> 00:20:27.820]   The car itself is sold at a very high retail price.
[00:20:27.820 --> 00:20:27.820]   The car itself is sold at a very high retail price.
[00:20:27.820 --> 00:20:27.820]   The car itself is sold at a very high retail price.
[00:20:27.820 --> 00:20:27.820]   The car itself is sold at a very high retail price.
[00:20:27.820 --> 00:20:27.820]   The car itself is sold at a very high retail price.
[00:20:27.820 --> 00:20:27.820]   The car itself is sold at a very high retail price.
[00:20:27.820 --> 00:20:57.840]   The car itself is sold at a very high retail price.
[00:20:57.840 --> 00:20:57.840]   The car itself is sold at a very high retail price.
[00:20:57.840 --> 00:20:57.840]   The car itself is sold at a very high retail price.
[00:20:57.840 --> 00:20:57.840]   The car itself is sold at a very high retail price.
[00:20:57.840 --> 00:20:57.840]   The car itself is sold at a very high retail price.
[00:20:57.840 --> 00:20:57.840]   The car itself is sold at a very high retail price.
[00:20:57.840 --> 00:20:57.840]   The car itself is sold at a very high retail price.
[00:20:57.840 --> 00:20:57.840]   The car itself is sold at a very high retail price.
[00:20:57.840 --> 00:20:57.840]   The car itself is sold at a very high retail price.
[00:20:57.840 --> 00:20:57.840]   The car itself is sold at a very high retail price.
[00:20:57.860 --> 00:21:27.860]   The car itself is sold at a very high retail price.
[00:21:27.860 --> 00:21:27.860]   The car itself is sold at a very high retail price.
[00:21:27.860 --> 00:21:27.860]   The car itself is sold at a very high retail price.
[00:21:27.860 --> 00:21:27.860]   The car itself is sold at a very high retail price.
[00:21:27.860 --> 00:21:27.860]   The car itself is sold at a very high retail price.
[00:21:27.860 --> 00:21:27.860]   The car itself is sold at a very high retail price.
[00:21:27.860 --> 00:21:27.860]   The car itself is sold at a very high retail price.
[00:21:27.860 --> 00:21:27.860]   The car itself is sold at a very high retail price.
[00:21:27.860 --> 00:21:27.860]   The car itself is sold at a very high retail price.
[00:21:27.860 --> 00:21:27.860]   The car itself is sold at a very high retail price.
[00:21:27.860 --> 00:21:27.860]   The car itself is sold at a very high retail price.
[00:21:27.860 --> 00:21:27.860]   The car itself is sold at a very high retail price.
[00:21:27.860 --> 00:21:27.860]   The car itself is sold at a very high retail price.
[00:21:27.860 --> 00:21:27.860]   The car itself is sold at a very high retail price.
[00:21:27.860 --> 00:21:27.860]   The car itself is sold at a very high retail price.
[00:21:27.860 --> 00:21:57.880]   The car itself is sold at a very high retail price.
[00:21:57.880 --> 00:21:57.880]   The car itself is sold at a very high retail price.
[00:21:57.880 --> 00:21:57.880]   The car itself is sold at a very high retail price.
[00:21:57.880 --> 00:21:57.880]   The car itself is sold at a very high retail price.
[00:21:57.880 --> 00:21:57.880]   The car itself is sold at a very high retail price.
[00:21:57.880 --> 00:21:57.880]   The car itself is sold at a very high retail price.
[00:21:57.880 --> 00:21:57.880]   The car itself is sold at a very high retail price.
[00:21:57.880 --> 00:21:57.880]   The car itself is sold at a very high retail price.
[00:21:57.880 --> 00:21:57.880]   The car itself is sold at a very high retail price.
[00:21:57.900 --> 00:22:27.900]   I'm not going to go into too much detail here.
[00:22:27.900 --> 00:22:27.900]   I'm not going to go into too much detail here.
[00:22:27.900 --> 00:22:27.900]   I'm not going to go into too much detail here.
[00:22:27.900 --> 00:22:27.900]   I'm not going to go into too much detail here.
[00:22:27.900 --> 00:22:27.900]   I'm not going to go into too much detail here.
[00:22:27.900 --> 00:22:27.900]   I'm not going to go into too much detail here.
[00:22:27.900 --> 00:22:27.900]   I'm not going to go into too much detail here.
[00:22:27.900 --> 00:22:27.900]   I'm not going to go into too much detail here.
[00:22:27.900 --> 00:22:27.900]   I'm not going to go into too much detail here.
[00:22:27.900 --> 00:22:27.900]   I'm not going to go into too much detail here.
[00:22:27.900 --> 00:22:27.900]   I'm not going to go into too much detail here.
[00:22:27.900 --> 00:22:27.900]   I'm not going to go into too much detail here.
[00:22:27.900 --> 00:22:27.900]   I'm not going to go into too much detail here.
[00:22:27.900 --> 00:22:27.900]   I'm not going to go into too much detail here.
[00:22:27.900 --> 00:22:57.920]   measures are not the only thing that's important.
[00:22:57.920 --> 00:22:57.920]   I'm not going to go into too much detail here.
[00:22:57.920 --> 00:22:57.920]   I'm not going to go into too much detail here.
[00:22:57.920 --> 00:22:57.920]   I'm not going to go into too much detail here.
[00:22:57.920 --> 00:22:57.920]   I'm not going to go into too much detail here.
[00:22:57.920 --> 00:22:57.920]   I'm not going to go into too much detail here.
[00:22:57.920 --> 00:22:57.920]   I'm not going to go into too much detail here.
[00:22:57.920 --> 00:22:57.920]   I'm not going to go into too much detail here.
[00:22:57.920 --> 00:22:57.920]   I'm not going to go into too much detail here.
[00:22:57.920 --> 00:22:57.920]   I'm not going to go into too much detail here.
[00:22:57.920 --> 00:22:57.920]   I'm not going to go into too much detail here.
[00:22:57.940 --> 00:23:27.940]   I'm not going to go into too much detail here.
[00:23:27.940 --> 00:23:27.940]   I'm not going to go into too much detail here.
[00:23:27.940 --> 00:23:27.940]   I'm not going to go into too much detail here.
[00:23:27.940 --> 00:23:27.940]   I'm not going to go into too much detail here.
[00:23:27.940 --> 00:23:27.940]   I'm not going to go into too much detail here.
[00:23:27.940 --> 00:23:27.940]   I'm not going to go into too much detail here.
[00:23:27.940 --> 00:23:27.940]   I'm not going to go into too much detail here.
[00:23:27.940 --> 00:23:27.940]   I'm not going to go into too much detail here.
[00:23:27.940 --> 00:23:27.940]   I'm not going to go into too much detail here.
[00:23:27.940 --> 00:23:27.940]   I'm not going to go into too much detail here.
[00:23:27.940 --> 00:23:27.940]   I'm not going to go into too much detail here.
[00:23:27.940 --> 00:23:27.940]   I'm not going to go into too much detail here.
[00:23:27.940 --> 00:23:27.940]   I'm not going to go into too much detail here.
[00:23:27.940 --> 00:23:27.940]   I'm not going to go into too much detail here.
[00:23:27.940 --> 00:23:27.940]   I'm not going to go into too much detail here.
[00:23:27.940 --> 00:23:57.960]   I'm not going to go into too much detail here.
[00:23:57.960 --> 00:23:57.960]   I'm not going to go into too much detail here.
[00:23:57.960 --> 00:23:57.960]   I'm not going to go into too much detail here.
[00:23:57.960 --> 00:23:57.960]   I'm not going to go into too much detail here.
[00:23:57.960 --> 00:23:57.960]   I'm not going to go into too much detail here.
[00:23:57.960 --> 00:23:57.960]   I'm not going to go into too much detail here.
[00:23:57.960 --> 00:23:57.960]   I'm not going to go into too much detail here.
[00:23:57.960 --> 00:23:57.960]   I'm not going to go into too much detail here.
[00:23:57.980 --> 00:24:27.980]   I'm not going to go into too much detail here.
[00:24:27.980 --> 00:24:27.980]   I'm not going to go into too much detail here.
[00:24:27.980 --> 00:24:27.980]   I'm not going to go into too much detail here.
[00:24:27.980 --> 00:24:27.980]   I'm not going to go into too much detail here.
[00:24:27.980 --> 00:24:27.980]   I'm not going to go into too much detail here.
[00:24:27.980 --> 00:24:27.980]   I'm not going to go into too much detail here.
[00:24:27.980 --> 00:24:27.980]   I'm not going to go into too much detail here.
[00:24:27.980 --> 00:24:27.980]   I'm not going to go into too much detail here.
[00:24:27.980 --> 00:24:27.980]   I'm not going to go into too much detail here.
[00:24:27.980 --> 00:24:27.980]   I'm not going to go into too much detail here.
[00:24:27.980 --> 00:24:27.980]   I'm not going to go into too much detail here.
[00:24:27.980 --> 00:24:27.980]   I'm not going to go into too much detail here.
[00:24:27.980 --> 00:24:27.980]   I'm not going to go into too much detail here.
[00:24:27.980 --> 00:24:27.980]   I'm not going to go into too much detail here.
[00:24:27.980 --> 00:24:27.980]   I'm not going to go into too much detail here.
[00:24:27.980 --> 00:24:58.000]   I'm not going to go into too much detail here.
[00:24:58.000 --> 00:24:58.000]   I'm not going to go into too much detail here.
[00:24:58.000 --> 00:24:58.000]   I'm not going to go into too much detail here.
[00:24:58.000 --> 00:24:58.000]   I'm not going to go into too much detail here.
[00:24:58.000 --> 00:24:58.000]   I'm not going to go into too much detail here.
[00:24:58.000 --> 00:24:58.000]   I'm not going to go into too much detail here.
[00:24:58.000 --> 00:24:58.000]   I'm not going to go into too much detail here.
[00:24:58.000 --> 00:24:58.000]   I'm not going to go into too much detail here.
[00:24:58.020 --> 00:25:28.020]  ,
[00:25:28.020 --> 00:25:28.020]   I'm not going to go into too much detail here.
[00:25:28.020 --> 00:25:28.020]   I'm not going to go into too much detail here.
[00:25:28.020 --> 00:25:28.020]   I'm not going to go into too much detail here.
[00:25:28.020 --> 00:25:28.020]   I'm not going to go into too much detail here.
[00:25:28.020 --> 00:25:28.020]   I'm not going to go into too much detail here.
