
[00:00:00.000 --> 00:00:05.400]   Hey, everybody, welcome to the all in podcast. I'm your moderator for the week Dave Friedberg
[00:19:51.600 --> 00:19:55.440]   But if they had just registered these they would not a problem. I don't think they're gonna
[00:19:55.440 --> 00:20:01.800]   He doesn't have a way of registering
[00:20:02.360 --> 00:20:06.640]   They do they don't want to so they claim they don't have a way of registering
[00:20:06.640 --> 00:20:08.640]   They could register it just like we all
[00:20:08.640 --> 00:20:14.920]   Lot of people tweeting about this that the SEC has put out statements saying our door is open come talk to us
[00:20:14.920 --> 00:20:19.060]   There is no open door. There is no one to talk to they have no idea how to get registered
[00:20:19.060 --> 00:20:24.040]   How do you think this is gonna get resolved Armstrong's talk publicly about going to Congress?
[00:20:24.040 --> 00:20:28.920]   To try and get some clarifying law passed. Are you familiar with any of the
[00:20:30.120 --> 00:20:35.920]   Any of the drafting that might be going on to support his cause here or do you think it's gonna get settled in the courts?
[00:20:35.920 --> 00:20:40.800]   First of all, I think I think Brian Armstrong is is a really really really good entrepreneur
[00:20:40.800 --> 00:20:44.240]   And I'm a really big fan of his
[00:20:44.240 --> 00:20:50.840]   That said I just don't think that there's a lot of political support
[00:20:50.840 --> 00:20:57.780]   To visit this issue right now and so unfortunately, I'm pretty
[00:20:58.880 --> 00:21:03.400]   Skeptical that you're gonna see any form of legislation pass. I
[00:21:03.400 --> 00:21:07.040]   unfortunately think that
[00:21:07.040 --> 00:21:16.880]   The SEC has by and large put the entire sector into mate and so I think that what Jason said
[00:21:16.880 --> 00:21:20.000]   Is largely right
[00:21:20.000 --> 00:21:25.960]   which is that it's gonna force these companies to preserve enterprise value to leave the United States and
[00:21:26.280 --> 00:21:30.200]   to jurisdictionally operate from a different place and to
[00:21:30.200 --> 00:21:33.400]   Basically IP block and I PK us
[00:21:33.400 --> 00:21:36.800]   Residents from using their products and services. I
[00:21:36.800 --> 00:21:43.560]   Also think that they're gonna have to pay large fines. And so the only thing that'll be left is to adjudicate
[00:21:43.560 --> 00:21:48.560]   All of the staking stuff that that happened and whether that was right or wrong, right?
[00:21:48.560 --> 00:21:51.440]   So the court it'll get settled it'll get decided. I agree with that
[00:21:51.440 --> 00:21:58.840]   And I think I think that when you start talking about minutiae like well these 16 cryptos are okay or not
[00:21:58.840 --> 00:22:00.640]   Okay, no look you're kind of missing the point
[00:22:00.640 --> 00:22:05.320]   The government led by Gensler is in a full assault on crypto
[00:22:05.320 --> 00:22:08.920]   And the goal is basically to either destroy it in the US or drive it offshore
[00:22:08.920 --> 00:22:14.360]   Chamath is right about that and the question is why and I think Jake how you made the point that
[00:22:14.360 --> 00:22:17.920]   progressives like Elizabeth Warren see crypto as
[00:22:19.160 --> 00:22:24.120]   Competition to fiat currency and they do not want there to be a competitor. Now. What is the reason for that?
[00:22:24.120 --> 00:22:26.960]   I think it's because of their radical spending schemes
[00:22:26.960 --> 00:22:34.080]   Remember in the first years of the Biden administration the progressives wanted a four and a half trillion dollar build back better bill. Remember
[00:22:34.080 --> 00:22:36.680]   Larry Summers
[00:22:36.680 --> 00:22:39.080]   told them that you're gonna cause inflation and
[00:22:39.080 --> 00:22:43.120]   Even the 750 billion dollars scoped down version that they ultimately passed
[00:22:43.120 --> 00:22:47.280]   Caused a lot of inflation and it caused the problems that we have now that we're seeing in the economy
[00:22:47.280 --> 00:22:52.000]   But they wanted four and a half trillion and when people were opposed to and said we couldn't fund this they were in favor of
[00:22:52.000 --> 00:22:54.000]   minting trillion dollar coins
[00:22:54.000 --> 00:23:02.000]   Yeah, so look these are people who don't want any check on their ability to spend down the full faith and credit the United States
[00:23:02.000 --> 00:23:08.040]   They would basically spend all the money that we have they would basically eat the seed corn or don't have
[00:23:08.040 --> 00:23:09.600]   That we don't have that
[00:23:09.600 --> 00:23:16.720]   I think you guys agree we should not be spending and that is why they're the faction in our political system who are most against crypto
[00:23:16.880 --> 00:23:20.760]   The two things can be free bird. Hold on. I gotta I gotta respond to two things can be true
[00:23:20.760 --> 00:23:25.120]   One the government doesn't want to give up control of fiat. I agree with that
[00:23:25.120 --> 00:23:30.440]   Second thing that's also true is that this group of people did not want to play by the rules. They knew the rules
[00:23:30.440 --> 00:23:34.520]   They explicitly broke them for profit. That's why they have them dead to rights
[00:23:34.520 --> 00:23:39.840]   You can name this operation choke point. You can brand it you can put out any conspiracy theory you want
[00:23:39.840 --> 00:23:44.560]   They did have the option. Why is it a conspiracy theory? You agree? They're trying to run these guys
[00:23:44.560 --> 00:23:49.720]   I agree. I said two things can be true at the same time David these this is a tolerance for ambiguity being able to hold
[00:23:49.720 --> 00:23:57.200]   And they don't want to give up control yeah, that's what's happening. That's the rule you have to follow security
[00:23:57.200 --> 00:24:01.280]   You have to only allow three podcasts. You said that coinbase was a good actor. I
[00:24:01.280 --> 00:24:05.500]   Believe they have good intentions. Yes, I don't believe the other people do I do believe
[00:24:05.500 --> 00:24:08.280]   That coinbase is in violation of the law
[00:24:08.280 --> 00:24:14.200]   I believe the securities they trading are in violation of law and that's obvious if you but I believe that law should change
[00:24:14.200 --> 00:24:16.200]   Let me give you a security are
[00:24:16.200 --> 00:24:19.920]   Securities J Cal. Let me give you a third point and sacks
[00:24:19.920 --> 00:24:25.240]   Elizabeth Warren she may be motivated by the intention to preserve
[00:24:25.240 --> 00:24:28.080]   the authority of the Fiat
[00:24:28.080 --> 00:24:33.080]   But is it not also possible that a large number of people lost a lot of money?
[00:24:33.080 --> 00:24:37.240]   That they worked hard for and they used to buy crypto assets
[00:24:37.240 --> 00:24:41.400]   And then the value of those assets went down and those people lost a lot of value
[00:24:41.400 --> 00:24:46.840]   I had there was a group of guys that are house painters that painted my house
