
[00:00:00.040 --> 00:00:09.320]   그다음에
[00:08:42.420 --> 00:09:11.700]  udi i hope i have enough money and they pay me on time in the next 15 days because a i signed a lease for like 500 dollar rent because i will soon run out of money and be then i don't have money for a plane ticket back home and this is kind of a it's a big fight consulting firm but then also you have to remember that this is kind of the time frame where forms like arthur anderson just suddenly went belly up and then it's yeah it's scary so that was a big risk i would say looking back and i was like maybe i was a little
[00:09:11.740 --> 00:09:23.000]   like
[00:13:23.520 --> 00:13:34.160]   had to go to the consulate to get a stamp and then come on an H1B visa.
[00:13:34.160 --> 00:13:38.400]   Okay and they were used to sponsoring tech workers and knowledgeable engineers.
[00:13:38.400 --> 00:13:42.440]   So do you remember your starting salary at that point?
[00:13:42.440 --> 00:13:46.880]   I think it would be 50,000 around that range.
[00:13:46.880 --> 00:13:49.040]   So continue the money story then.
[00:13:49.040 --> 00:13:53.480]   Sure so then after that the good part about after I got kind of stable seeing
[00:14:21.720 --> 00:14:23.320]   acclimated to the US lifestyle.
[00:14:23.320 --> 00:14:23.480]   I still didn't know how to drive and I still don't know about credit cards or something.
[00:14:23.480 --> 00:14:43.640]  .
[00:14:43.640 --> 00:14:51.960]   So I'm like, oh my God, I just wasted all the free money there.
[00:14:51.960 --> 00:14:52.040]   Right.
[00:14:52.040 --> 00:14:52.680]   And that's when I really needed the money.
[00:14:52.680 --> 00:14:53.200]   I could have used it but I yeah, it is what it is. So you can only know that much and then yeah, and it's hard. The hard part about I think the US system is that you would have coworkers who are nice. They would chat with you at work, but not a lot of them would be open or willing to talk about finances and I think that's where I'm more attracted to the personal finance community because people are open.
[00:14:53.200 --> 00:14:53.480]   So I'm not sure of what I'm saying.
[00:14:53.480 --> 00:15:23.480]  , but at least people talk share their finances or at least educate other people. Whereas if you go to a typical American workplace and even in this day and age where I live in Silicon Valley, people would be like not very open with talking about their finances. Whereas if you look back in India where I was working for the one or two years, people would not only share a high level range of their salary, but also, hey, I'm kind of investing in this. I'm planning to buy this apartment. What do you think they would bounce ideas about the next.
[00:15:23.520 --> 00:15:33.220]   Young
[00:15:33.220 --> 00:15:34.040]  ,
[00:15:34.040 --> 00:15:42.460]   me. I My New� least this. -,,,,,,,, in thecesses. Maybe they's not one or money and he is not around a work. I was a сч shelves säger other, I was a視, I was a scheduling, I was a, I was a, I, I was a, I was a, I, I, I, I, I, "飛, " Eye," "G" "\" "D" " coord" "G" "G" " didnt " Merry Le approach "ners" written " expelled " Mash "cess"촉" sa� " someplace if the mister det's the long of the chocol " RA каче' talking about the earned Latin I'm garned "ctions " applicants cell"ç " mirac�ir's is aleans breath-
[00:15:42.800 --> 00:15:50.240]   was
[00:15:50.240 --> 00:15:57.180]   quiet the,,, hello close
[00:15:57.180 --> 00:16:11.900]   around can start come is a test…, "D, "G, ", ", ",ond .,around low
[00:16:12.220 --> 00:16:40.820]   in
[00:17:12.220 --> 00:17:12.220]   and
[00:17:42.240 --> 00:17:42.240]   I
[00:17:42.240 --> 00:17:42.240]   I
[00:17:42.240 --> 00:17:42.240]   I
[00:17:42.240 --> 00:17:42.240]   I
[00:17:42.240 --> 00:17:42.240]   I
[00:17:42.240 --> 00:17:42.240]   I
[00:17:42.240 --> 00:17:42.240]   I
[00:17:42.240 --> 00:17:42.240]   I
[00:18:12.260 --> 00:18:12.260]   I
[00:18:12.260 --> 00:18:42.280]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:18:42.280 --> 00:18:42.280]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:18:42.280 --> 00:18:42.280]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:18:42.280 --> 00:18:42.280]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:18:42.280 --> 00:18:42.280]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:18:42.280 --> 00:18:42.280]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:18:42.280 --> 00:18:42.280]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:18:42.280 --> 00:18:42.280]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:18:42.280 --> 00:18:42.280]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:18:42.280 --> 00:19:12.300]  ,
[00:19:12.300 --> 00:19:12.300]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:19:12.300 --> 00:19:12.300]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:19:12.300 --> 00:19:12.300]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:19:12.300 --> 00:19:12.300]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:19:12.300 --> 00:19:12.300]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:19:12.300 --> 00:19:12.300]  , I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:19:12.320 --> 00:19:42.320]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:19:42.320 --> 00:19:42.320]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:19:42.320 --> 00:19:42.320]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:19:42.320 --> 00:19:42.320]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:19:42.320 --> 00:19:42.320]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:19:42.320 --> 00:19:42.320]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:19:42.320 --> 00:19:42.320]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:19:42.320 --> 00:19:42.320]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:19:42.320 --> 00:19:42.320]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:19:42.360 --> 00:20:12.340]  ,
[00:20:12.340 --> 00:20:12.340]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:20:12.340 --> 00:20:12.340]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:20:12.340 --> 00:20:12.340]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:20:12.340 --> 00:20:12.340]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:20:12.340 --> 00:20:12.340]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:20:12.340 --> 00:20:12.340]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:20:12.340 --> 00:20:12.340]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:20:12.360 --> 00:20:42.360]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:20:42.360 --> 00:20:42.360]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:20:42.360 --> 00:20:42.360]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:20:42.360 --> 00:20:42.360]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:20:42.360 --> 00:20:42.360]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:20:42.360 --> 00:20:42.360]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:20:42.360 --> 00:20:42.360]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:20:42.360 --> 00:20:42.360]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:20:42.360 --> 00:20:42.360]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:20:42.400 --> 00:21:12.380]  ,
[00:21:12.380 --> 00:21:12.380]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:21:12.380 --> 00:21:12.380]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:21:12.380 --> 00:21:12.380]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:21:12.380 --> 00:21:12.380]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:21:12.380 --> 00:21:12.380]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:21:12.380 --> 00:21:12.380]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:21:12.400 --> 00:21:42.400]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:21:42.400 --> 00:21:42.400]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:21:42.400 --> 00:21:42.400]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:21:42.400 --> 00:21:42.400]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:21:42.400 --> 00:21:42.400]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:21:42.400 --> 00:21:42.400]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:21:42.400 --> 00:21:42.400]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:21:42.400 --> 00:21:42.400]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:21:42.440 --> 00:22:12.420]  ,
[00:22:12.420 --> 00:22:12.420]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:12.420 --> 00:22:12.420]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:12.420 --> 00:22:12.420]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:12.420 --> 00:22:12.420]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:12.420 --> 00:22:12.420]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:12.420 --> 00:22:12.420]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:12.420 --> 00:22:12.420]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:12.420 --> 00:22:12.420]  , I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:12.440 --> 00:22:42.440]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:42.440 --> 00:22:42.440]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:42.440 --> 00:22:42.440]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:42.440 --> 00:22:42.440]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:42.440 --> 00:22:42.440]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:42.440 --> 00:22:42.440]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:42.440 --> 00:22:42.440]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:42.440 --> 00:22:42.440]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:42.440 --> 00:22:42.440]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:22:42.480 --> 00:23:12.460]  ,
[00:23:12.460 --> 00:23:12.460]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:23:12.460 --> 00:23:12.460]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:23:12.460 --> 00:23:12.460]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:23:12.460 --> 00:23:12.460]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:23:12.460 --> 00:23:12.460]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:23:12.460 --> 00:23:12.460]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:23:12.460 --> 00:23:12.460]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:23:12.480 --> 00:23:42.480]   I'm not even like okay I should like live a little better lifestyle so that's where I totally was.
[00:23:42.480 --> 00:23:42.480]   You might be a VP earning like more than half a million or close to a million and yet if someone is telling you when and where you need to show up to work and you don't have the freedom to get up and take care of your loved ones then I'm like you are not free you are like a high paid slave you are still a slave no matter what you're being a high paid or not.
[00:23:42.480 --> 00:23:42.480]   That's exactly what the term wage slave means that's why we use the term wage slave you know if you were a slave in the era of cattle slavery you had
[00:23:42.520 --> 00:24:12.500]  ,
[00:24:12.500 --> 00:24:12.500]   and you had to work a certain amount your boss would tell you what to do and you had to do it but your boss also provided everything for you they provided housing they provided food and so the boss had a responsibility to provide for you because otherwise his investment in you as a slave what he wouldn't get his money back from investing in you as a slave today there are many people who are wage slaves that they are responsible and fully beholden to do certain work but now instead of the boss providing you with a house
[00:24:12.500 --> 00:24:12.500]   you had to work a certain amount your boss would tell you what to do and you had to do it but your boss also provided everything for you they provided housing they provided food and so the boss had a responsibility to provide for you because otherwise his investment in you as a slave today there are many people who are wage slaves that they are responsible and fully beholden to do certain work but now instead of the boss providing you with a house
[00:24:12.500 --> 00:24:12.500]  ,
[00:24:12.500 --> 00:24:12.500]   Now instead of the boss providing you with a house providing you with a house.
[00:24:12.540 --> 00:24:22.520]   E
[00:24:22.520 --> 00:24:23.700]   deliver, give go
[00:24:23.700 --> 00:24:41.560]   health, I,,,,,,, in setרinen broughtbacks En S They look we are �ㅋㅋ護 be cour successful . C. And, .J. . . . . . . . . . . . . . . ., ., and that's ., and, and, and, and, and, and, last, and, and, found, and, wasn, abre,Put, 10, or,iences, conquered, del,eee, curves, scheme, gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Separ why, nem
[00:24:41.660 --> 00:25:00.680]   a
[00:27:08.240 --> 00:27:09.640]   you know the afternoon starbucks you know your weirdo if you don't particularly partake in all of it and so when you sit down i've done the analysis for workers in those situations sometimes unless you're a real curmudgeon you know and you're totally comfortable just being doing
[00:27:09.640 --> 00:27:09.640]   you know the things they drink just it's a culture where at least what's popularized and what is is common among the glitterati it's a culture of high embedded expenses and i think it's the same it's not just silicon valley a lot of it is the big city culture the you know the afternoon starbucks you know your weirdo if you don't particularly partake in all of it and so when you sit down i've done the analysis for workers in those situations sometimes unless you're a real curmudgeon you know and you're totally comfortable just being doing
[00:27:39.660 --> 00:27:39.660]  ,
[00:27:39.660 --> 00:27:39.660]  ,
[00:27:39.660 --> 00:27:39.660]  ,
[00:27:39.680 --> 00:27:58.900]  ,
[00:27:58.900 --> 00:28:03.820]  , like these are tough this is a cultural expectation yes that that people have to figure out how to deal with elegantly right and i think the most important part of the fixed cost i'd say is the cost of the building the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the building and the,
[00:28:03.820 --> 00:28:05.300]   to to be to be to do to beat the stereotype Chag., I'm not making it's not making it's a cultural expectation that's a cultural expectation.
[00:28:05.320 --> 00:28:18.940]   Right, and I think the most important part of the fixed cost at some point in time the variable cost like the lattes you can just eliminate but fixed cost is what gets you so you need to figure out a way to make sure your fixed cost are at least able or you have them in control.
[00:28:18.940 --> 00:28:34.540]   Right, so I want to talk about the strategies that you have used and are using but so from the time that you landed in the US to the time when after learning about finance you came to a point where you said I think I'm financially independent how many years was that.
[00:28:34.540 --> 00:28:35.320]   So that's one of the things that I think is really important.
[00:28:35.320 --> 00:28:35.320]   I think that's one of the things that I think is really important.
[00:28:35.320 --> 00:28:35.320]   I think that's one of the things that I think is really important.
[00:28:35.320 --> 00:28:35.320]   I think that's one of the things that I think is really important.
[00:28:35.320 --> 00:28:35.320]   I think that's one of the things that I think is really important.
[00:28:35.360 --> 00:29:05.340]  , I think that's one of the things that I think is really important.
[00:29:05.340 --> 00:29:05.340]   I think that's one of the things that I think is really important.
[00:29:05.340 --> 00:29:05.340]   I think that's one of the things that I think is really important.
[00:29:05.340 --> 00:29:05.340]   I think that's one of the things that I think is really important.
[00:29:05.340 --> 00:29:05.340]   I think that's one of the things that I think is really important.
[00:29:05.340 --> 00:29:05.340]   I think that's one of the things that I think is really important.
[00:29:05.360 --> 00:29:35.360]   I think that's one of the things that I think is really important.
[00:29:35.360 --> 00:29:35.360]   I think that's one of the things that I think is really important.
[00:29:35.360 --> 00:29:35.360]   I think that's one of the things that I think is really important.
[00:29:35.360 --> 00:29:35.360]   I think that's one of the things that I think is really important.
[00:29:35.360 --> 00:29:35.360]   I think that's one of the things that I think is really important.
[00:29:35.360 --> 00:29:35.360]   I think that's one of the things that I think is really important.
[00:29:35.360 --> 00:29:35.360]   I think that's one of the things that I think is really important.
[00:29:35.360 --> 00:29:35.360]   I think that's one of the things that I think is really important.
[00:29:35.360 --> 00:29:35.360]   I think that's one of the things that I think is really important.
[00:29:35.360 --> 00:29:35.360]   I think that's one of the things that I think is really important.
[00:29:35.360 --> 00:29:35.360]   I think that's one of the things that I think is really important.
[00:29:35.360 --> 00:29:35.360]   I think that's one of the things that I think is really important.
[00:29:35.360 --> 00:30:05.380]  ,
[00:30:05.380 --> 00:30:05.380]   I think that's one of the things that I think is really important.
[00:30:05.380 --> 00:30:05.380]   I think that's one of the things that I think is really important.
[00:30:05.380 --> 00:30:05.380]   I think that's one of the things that I think is really important.
[00:30:05.380 --> 00:30:05.380]   I think that's one of the things that I think is really important.
[00:30:05.380 --> 00:30:05.380]   I think that's one of the things that I think is really important.
[00:30:05.380 --> 00:30:05.380]   I think that's one of the things that I think is really important.
[00:30:05.380 --> 00:30:05.380]   I think that's one of the things that I think is really important.
[00:30:05.380 --> 00:30:05.380]   I think that's one of the things that I think is really important.
[00:30:05.400 --> 00:30:35.400]   I think that's one of the things that I think is really important.
[00:30:35.400 --> 00:30:35.400]   I think that's one of the things that I think is really important.
[00:30:35.400 --> 00:30:35.400]   I think that's one of the things that I think is really important.
[00:30:35.400 --> 00:30:35.400]   I think that's one of the things that I think is really important.
[00:30:35.400 --> 00:30:35.400]   I think that's one of the things that I think is really important.
[00:30:35.400 --> 00:30:35.400]   I think that's one of the things that I think is really important.
[00:30:35.400 --> 00:30:35.400]   I think that's one of the things that I think is really important.
[00:30:35.400 --> 00:30:35.400]   I think that's one of the things that I think is really important.
[00:30:35.400 --> 00:30:35.400]   I think that's one of the things that I think is really important.
[00:30:35.400 --> 00:30:35.400]   I think that's one of the things that I think is really important.
[00:30:35.400 --> 00:30:35.400]   I think that's one of the things that I think is really important.
[00:30:35.400 --> 00:30:35.400]   I think that's one of the things that I think is really important.
[00:30:35.440 --> 00:31:05.420]  ,
[00:31:05.420 --> 00:31:05.420]   I think that's one of the things that I think is really important.
[00:31:05.420 --> 00:31:05.420]   I think that's one of the things that I think is really important.
[00:31:05.420 --> 00:31:05.420]   I think that's one of the things that I think is really important.
[00:31:05.420 --> 00:31:05.420]   I think that's one of the things that I think is really important.
[00:31:05.420 --> 00:31:05.420]   I think that's one of the things that I think is really important.
[00:31:05.420 --> 00:31:05.420]   I think that's one of the things that I think is really important.
[00:31:05.420 --> 00:31:05.420]   I think that's one of the things that I think is really important.
[00:31:05.420 --> 00:31:05.420]   I think that's one of the things that I think is really important.
[00:31:05.440 --> 00:31:35.440]   I think that's one of the things that I think is really important.
[00:31:35.440 --> 00:31:35.440]   I think that's one of the things that I think is really important.
[00:31:35.440 --> 00:31:35.440]   I think that's one of the things that I think is really important.
[00:31:35.440 --> 00:31:35.440]   I think that's one of the things that I think is really important.
[00:31:35.440 --> 00:31:35.440]   I think that's one of the things that I think is really important.
[00:31:35.440 --> 00:31:35.440]   I think that's one of the things that I think is really important.
[00:31:35.440 --> 00:31:35.440]   I think that's one of the things that I think is really important.
[00:31:35.440 --> 00:31:35.440]   I think that's one of the things that I think is really important.
[00:31:35.440 --> 00:31:35.440]   I think that's one of the things that I think is really important.
[00:31:35.440 --> 00:31:35.440]   I think that's one of the things that I think is really important.
[00:31:35.440 --> 00:31:35.440]   I think that's one of the things that I think is really important.
[00:31:35.440 --> 00:31:35.440]   I think that's one of the things that I think is really important.
[00:31:35.480 --> 00:32:05.460]   I think that's one of the things that I think is really important.
[00:32:05.460 --> 00:32:05.460]   I think that's one of the things that I think is really important.
[00:32:05.460 --> 00:32:05.460]   I think that's one of the things that I think is really important.
[00:32:05.460 --> 00:32:05.460]   I think that's one of the things that I think is really important.
[00:32:05.460 --> 00:32:05.460]   I think that's one of the things that I think is really important.
[00:32:05.460 --> 00:32:05.460]   I think that's one of the things that I think is really important.
[00:32:05.460 --> 00:32:05.460]   I think that's one of the things that I think is really important.
[00:32:05.460 --> 00:32:05.460]   I think that's one of the things that I think is really important.
[00:32:05.460 --> 00:32:05.460]   I think that's one of the things that I think is really important.
[00:32:05.480 --> 00:32:35.480]   I think that's one of the things that I think is really important.
[00:32:35.480 --> 00:32:35.480]   I think that's one of the things that I think is really important.
[00:32:35.480 --> 00:32:35.480]   I think that's one of the things that I think is really important.
[00:32:35.480 --> 00:32:35.480]   I think that's one of the things that I think is really important.
[00:32:35.480 --> 00:32:35.480]   I think that's one of the things that I think is really important.
[00:32:35.480 --> 00:32:35.480]   I think that's one of the things that I think is really important.
[00:32:35.480 --> 00:32:35.480]   I think that's one of the things that I think is really important.
[00:32:35.480 --> 00:32:35.480]   I think that's one of the things that I think is really important.
[00:32:35.480 --> 00:32:35.480]   I think that's one of the things that I think is really important.
[00:32:35.480 --> 00:32:35.480]   I think that's one of the things that I think is really important.
[00:32:35.480 --> 00:32:35.480]   I think that's one of the things that I think is really important.
[00:32:35.480 --> 00:32:35.480]   I think that's one of the things that I think is really important.
[00:32:35.480 --> 00:33:05.500]   I think that's one of the things that I think is really important.
[00:33:05.500 --> 00:33:05.500]   I think that's one of the things that I think is really important.
[00:33:05.500 --> 00:33:05.500]   I think that's one of the things that I think is really important.
[00:33:05.500 --> 00:33:05.500]   I think that's one of the things that I think is really important.
[00:33:05.500 --> 00:33:05.500]   I think that's one of the things that I think is really important.
[00:33:05.500 --> 00:33:05.500]   I think that's one of the things that I think is really important.
[00:33:05.500 --> 00:33:05.500]   I think that's one of the things that I think is really important.
[00:33:05.500 --> 00:33:05.500]   I think that's one of the things that I think is really important.
[00:33:05.500 --> 00:33:05.500]   I think that's one of the things that I think is really important.
[00:33:05.520 --> 00:33:35.520]   I think that's one of the things that I think is really important.
[00:33:35.520 --> 00:33:35.520]   I think that's one of the things that I think is really important.
[00:33:35.520 --> 00:33:35.520]   I think that's one of the things that I think is really important.
[00:33:35.520 --> 00:33:35.520]   I think that's one of the things that I think is really important.
[00:33:35.520 --> 00:33:35.520]   I think that's one of the things that I think is really important.
[00:33:35.520 --> 00:33:35.520]   I think that's one of the things that I think is really important.
[00:33:35.520 --> 00:33:35.520]   I think that's one of the things that I think is really important.
[00:33:35.520 --> 00:33:35.520]   I think that's one of the things that I think is really important.
[00:33:35.520 --> 00:33:35.520]   I think that's one of the things that I think is really important.
[00:33:35.520 --> 00:33:35.520]   I think that's one of the things that I think is really important.
[00:33:35.520 --> 00:33:35.520]   I think that's one of the things that I think is really important.
[00:33:35.520 --> 00:33:35.520]   I think that's one of the things that I think is really important.
[00:33:35.560 --> 00:34:05.540]   I think that's one of the things that I think is really important.
[00:34:05.540 --> 00:34:05.540]   I think that's one of the things that I think is really important.
[00:34:05.540 --> 00:34:05.540]   I think that's one of the things that I think is really important.
[00:34:05.540 --> 00:34:05.540]   I think that's one of the things that I think is really important.
[00:34:05.540 --> 00:34:05.540]   I think that's one of the things that I think is really important.
[00:34:05.540 --> 00:34:05.540]   I think that's one of the things that I think is really important.
[00:34:05.540 --> 00:34:05.540]   I think that's one of the things that I think is really important.
[00:34:05.540 --> 00:34:05.540]   I think that's one of the things that I think is really important.
[00:34:05.540 --> 00:34:05.540]   I think that's one of the things that I think is really important.
[00:34:05.540 --> 00:34:05.540]   I think that's one of the things that I think is really important.
[00:34:05.560 --> 00:34:35.560]   I think that's one of the things that I think is really important.
[00:34:35.560 --> 00:34:35.560]   I think that's one of the things that I think is really important.
[00:34:35.560 --> 00:34:35.560]   I think that's one of the things that I think is really important.
[00:34:35.560 --> 00:34:35.560]   I think that's one of the things that I think is really important.
[00:34:35.560 --> 00:34:35.560]   I think that's one of the things that I think is really important.
[00:34:35.560 --> 00:34:35.560]   I think that's one of the things that I think is really important.
[00:34:35.560 --> 00:34:35.560]   I think that's one of the things that I think is really important.
[00:34:35.560 --> 00:34:35.560]   I think that's one of the things that I think is really important.
[00:34:35.560 --> 00:34:35.560]   I think that's one of the things that I think is really important.
[00:34:35.560 --> 00:34:35.560]   I think that's one of the things that I think is really important.
[00:34:35.560 --> 00:34:35.560]   I think that's one of the things that I think is really important.
[00:34:35.560 --> 00:34:35.560]   I think that's one of the things that I think is really important.
[00:34:35.580 --> 00:35:05.580]  ,
[00:35:05.580 --> 00:35:05.580]   I think that's one of the things that I think is really important.
[00:35:05.580 --> 00:35:05.580]   I think that's one of the things that I think is really important.
[00:35:05.580 --> 00:35:05.580]   I think that's one of the things that I think is really important.
[00:35:05.580 --> 00:35:05.580]   I think that's one of the things that I think is really important.
[00:35:05.580 --> 00:35:05.580]   I think that's one of the things that I think is really important.
[00:35:05.580 --> 00:35:05.580]   I think that's one of the things that I think is really important.
[00:35:05.580 --> 00:35:05.580]   I think that's one of the things that I think is really important.
[00:35:05.580 --> 00:35:05.580]   I think that's one of the things that I think is really important.
[00:35:05.580 --> 00:35:35.600]   I think that's one of the things that I think is really important.
[00:35:35.600 --> 00:35:35.600]   I think that's one of the things that I think is really important.
[00:35:35.600 --> 00:35:35.600]   I think that's one of the things that I think is really important.
[00:35:35.600 --> 00:35:35.600]   I think that's one of the things that I think is really important.
