
[00:00:00.040 --> 00:00:09.540]  ensemble
[00:12:35.900 --> 00:12:39.680]  ent, a, If The I I lat las* princes
[00:12:54.020 --> 00:13:03.900]   few
[00:13:03.900 --> 00:13:04.360]   hai and de
[00:13:04.360 --> 00:13:05.960]   via the wouldn, is, and,,,,,, AKA C� And educ
[00:13:05.960 --> 00:13:12.980]   dedicate the way of especially the
[00:13:14.980 --> 00:13:25.340]   en
[00:13:25.340 --> 00:13:26.960]   in a about
[00:14:09.820 --> 00:14:09.820]   and
[00:14:09.820 --> 00:14:09.820]   and
[00:14:37.260 --> 00:14:37.260]   an activist in the settler movement and he's a Jerusalem council member and he last week following the expulsion of uh Sublaban family in the old city of Jerusalem he posted to his official Facebook account Nakba now demanding a second Nakba promising another Nakba he has done so on many occasions he has chanted with a megaphone just a few months ago walking down the street in my neighborhood chanting we want Nakba now this is a man who has vandalized our murals who has vandalized our murals who has vandalized our murals who has vandalized our murals who has
[00:14:37.260 --> 00:14:37.260]   this is a man who has vandalized our murals who has vandalized our murals who has
[00:14:37.260 --> 00:14:37.260]   this is a man who has vandalized our murals who has
[00:14:37.260 --> 00:14:37.260]   this is a man who has vandalized our murals who has
[00:14:38.000 --> 00:14:48.280]   nhiều
[00:14:48.280 --> 00:15:06.220]   Horror Ведь present that, and, and, and,šísight therapeut Wrestling MTV demands L. I have a least�the 400���� cancel� go saud�評-- auch -- scattered-- Oliver-- earned, and, and, and, and, a, as, is, of, cause,�, Y, bound., minute,GI, at,ac,ato,enn,~!! H.เห, de, bring a,த, side, Rh. 궁*,
[00:15:06.400 --> 00:15:35.000]   e
[00:16:06.400 --> 00:16:06.400]   and
[00:16:06.400 --> 00:16:06.400]   of
[00:16:06.400 --> 00:16:06.400]   and
[00:16:06.400 --> 00:16:06.400]   underway.
[00:16:06.400 --> 00:16:06.400]   And this is not some kind of conspiracy theory. This is declassified information that was released from the Israeli State Archive that was later reported on by Haaretz. Also, these reports will not tell you that the judge who rules on whether these people continue to live on their homes or not is himself a settler in the West Bank. And we're not even talking about, you know, a loose definition of a settler, but according to international law, this is a settler living illegally in an illegal settlement in the Arctic.
[00:16:36.420 --> 00:16:36.420]   and the new government is trying to undermine.
[00:16:36.420 --> 00:16:36.420]   So there's no representation in the courts for the Palestinian people?
[00:16:36.420 --> 00:16:36.420]   I mean, we have lawyers, but no, there's no, there's no, in fact, there is for Palestinians with Israeli citizenships, for example, there's over 60 laws that specifically and explicitly discriminates against them.
[00:16:47.280 --> 00:16:48.440]   .
[00:16:48.440 --> 00:16:48.440]   .
[00:16:48.440 --> 00:17:06.440]   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 8 10 time time again, the morality and the law is a bloodbath in many ways.
[00:17:06.480 --> 00:17:16.600]   I
[00:17:16.600 --> 00:17:17.320]  � 했습니다 the say, ,,, the 오� the 250 the baby. And, and, that, p. Na,
[00:17:17.320 --> 00:17:32.060]  ,
[00:17:34.460 --> 00:17:44.200]   women
[00:17:44.200 --> 00:18:03.080]   just, ensure, G G Ma Z in,
[00:18:03.520 --> 00:18:13.720]   band
[00:18:13.720 --> 00:18:31.780]   live,
[00:19:00.800 --> 00:19:00.800]   and
[00:20:55.480 --> 00:21:03.160]   .
[00:21:03.160 --> 00:21:22.220]  � Lucy E Man lightarna but got Berg�G;G, in, with, and, and, and,,,,,,,,,,,, as...,akk guidelines
[00:21:22.220 --> 00:21:24.280]  ,
[00:22:52.320 --> 00:22:52.320]   One piece of context for the listener who doesn't, who is not familiar with the Nakbe is the Balfour Declaration, which was a promise, quote unquote promise made by the British to the Zionist movement in 1917 committing to the establishment, I'm quoting I think word for word, committing to the establishment of a Jewish state in Palestine as if Palestine was, you know, the British to give away.
[00:22:52.320 --> 00:22:52.320]   As if Palestine was, you know, the British to give away.
[00:22:52.320 --> 00:22:52.320]   As if Palestine was, you know, the British to give away.
[00:22:52.320 --> 00:22:52.320]   As if Palestine was, you know, the British to give away.
[00:22:52.320 --> 00:22:52.320]   As if Palestine was, you know, the British to give away.
[00:22:52.320 --> 00:22:52.320]   As if Palestine was, you know, the British to give away.
[00:22:52.320 --> 00:22:52.320]   As if Palestine was, you know, the British to give away.
[00:22:52.320 --> 00:22:52.320]   As if Palestine was, you know, the British to give away.
[00:22:52.320 --> 00:22:52.320]   As if Palestine was, you know, the British to give away.
[00:22:52.360 --> 00:23:21.560]   As if Palestine was, you know, the British to give away.
[00:23:21.560 --> 00:23:21.640]   As if Palestine was, you know, the British to give away.
[00:23:21.640 --> 00:23:21.700]   As if Palestine was, you know, the British to give away.
[00:23:21.700 --> 00:23:21.760]   As if Palestine was, you know, the British to give away.
[00:23:21.760 --> 00:23:21.820]   As if Palestine was, you know, the British to give away.
[00:23:21.820 --> 00:23:21.940]   As if Palestine was, you know, the British to give away.
[00:23:21.940 --> 00:23:21.980]   As if Palestine was, you know, the British to give away.
[00:23:21.980 --> 00:23:22.000]   As if Palestine was, you know, the British to give away.
[00:23:22.000 --> 00:23:22.040]   As if Palestine was, you know, the British to give away.
[00:23:22.060 --> 00:23:52.060]   As if Palestine was, you know, the British to give away.
[00:23:52.060 --> 00:23:52.060]   As if Palestine was, you know, the British to give away.
[00:23:52.060 --> 00:23:52.060]   As if Palestine was, you know, the British to give away.
[00:23:52.060 --> 00:23:52.060]   As if Palestine was, you know, the British to give away.
[00:23:52.060 --> 00:23:52.060]   As if Palestine was, you know, the British to give away.
[00:23:52.060 --> 00:23:52.060]   As if Palestine was, you know, the British to give away.
[00:23:52.060 --> 00:23:52.060]   As if Palestine was, you know, the British to give away.
[00:23:52.060 --> 00:23:52.060]   As if Palestine was, you know, the British to give away.
[00:23:52.060 --> 00:23:52.060]   As if Palestine was, you know, the British to give away.
[00:23:52.060 --> 00:23:52.060]   As if Palestine was, you know, the British to give away.
[00:23:52.060 --> 00:23:52.060]   As if Palestine was, you know, the British to give away.
[00:23:52.060 --> 00:23:52.060]   As if Palestine was, you know, the British to give away.
[00:23:52.060 --> 00:23:52.060]   As if Palestine was, you know, the British to give away.
[00:23:52.060 --> 00:24:13.740]   a great book to recommend is the hundred year the hundred years war on
[00:24:13.740 --> 00:24:14.080]   as if Palestine was, you know, the British to give away.
[00:24:14.080 --> 00:24:14.100]   as if Palestine was, you know, the British to give away.
[00:24:14.100 --> 00:24:14.120]   as if Palestine was, you know, the British to give away.
[00:24:14.120 --> 00:24:14.140]   as if Palestine was, you know, the British to give away.
[00:24:14.140 --> 00:24:14.200]   as if Palestine was, you know, the British to give away.
[00:24:14.200 --> 00:24:15.200]   as if Palestine was, you know, the British to give away.
[00:24:15.200 --> 00:24:16.200]   as if Palestine was, you know, the British to give away.
[00:24:16.200 --> 00:24:16.280]   as if Palestine was, you know, the British to give away.
[00:24:16.280 --> 00:24:17.120]   as if Palestine was, you know, the British to give away.
[00:24:17.120 --> 00:24:18.180]   as if Palestine was, you know, the British to give away.
[00:24:18.180 --> 00:24:19.200]   as if Palestine was, you know, the British to give away.
[00:24:19.200 --> 00:24:20.200]   as if Palestine was, you know, the British to give away.
[00:24:20.200 --> 00:24:20.220]   as if Palestine was, British to give away.
[00:24:20.240 --> 00:24:22.540]   as if Palestine was, you know, the British to give away.
[00:24:22.540 --> 00:24:24.200]   as if Palestine was, you know, the British to give away.
[00:24:24.200 --> 00:24:24.300]   as if Palestine was, you know, the British to give away.
[00:24:24.300 --> 00:24:27.300]   And so today what we're seeing is a continuation.
[00:24:27.300 --> 00:24:27.340]   And so today what we're seeing is a continuation.
[00:24:27.340 --> 00:24:28.980]   And so today what we're seeing is a continuation. And you know, people like Jabotinsky,
[00:24:28.980 --> 00:24:29.020]   And you know, people like Jabotinsky,
[00:24:29.020 --> 00:24:31.080]   And you know, people like Jabotinsky, who are like profoundly and explicitly
[00:24:31.080 --> 00:24:31.160]   who are like profoundly and explicitly
[00:24:31.160 --> 00:24:33.680]   who are like profoundly and explicitly racist, who have called for genocide,
[00:24:33.680 --> 00:24:33.740]   racist, who have called for genocide,
[00:24:33.740 --> 00:24:36.780]   racist, who have called for genocide, who have called the Palestinians barbaric,
[00:24:36.780 --> 00:24:36.840]   who have called for genocide, who have called the Palestinians barbaric,
[00:24:36.880 --> 00:24:56.960]   who have called the Palestinians barbaric, who have said and done racist things.
[00:24:56.960 --> 00:24:57.000]   who have said and done racist things.
[00:24:57.000 --> 00:24:58.500]   who have said and done racist things. Jabotinsky also was like the founder
[00:24:58.500 --> 00:24:58.560]   Jabotinsky also was like the founder
[00:24:58.560 --> 00:25:00.600]   Jabotinsky also was like the founder of the Ergun, one of the other
[00:25:00.600 --> 00:25:00.660]   of the Ergun, one of the other
[00:25:00.660 --> 00:25:03.000]   of the Ergun, one of the other militias that later merged to
[00:25:03.000 --> 00:25:03.040]   militias that later merged to
[00:25:03.040 --> 00:25:05.600]   militias that later merged to become the Israeli army,
[00:25:05.600 --> 00:25:05.640]   become the Israeli army,
[00:25:05.640 --> 00:25:06.840]   become the Israeli army, which was responsible for the
[00:25:06.840 --> 00:25:06.840]   which was responsible for the Diyasim massacre, which was responsible for the bombing of the King David Hotel.
[00:25:06.840 --> 00:25:06.840]   which was responsible for the bombing of the King David Hotel.
[00:25:06.860 --> 00:25:11.880]   which was responsible for the bombing of the King David Hotel. It was a public celebration.
[00:25:11.880 --> 00:25:11.960]   It was a public celebration.
[00:25:11.960 --> 00:25:13.080]   It was a public celebration. So this is Zionism.
[00:25:13.080 --> 00:25:13.120]   So this is Zionism.
[00:25:13.120 --> 00:25:14.880]   So this is Zionism. It's not even through my own words.
[00:25:14.880 --> 00:25:14.960]   It's not even through my own words.
[00:25:14.960 --> 00:25:17.560]   It's not even through my own words. What do you say to people
[00:25:17.560 --> 00:25:17.620]   What do you say to people
[00:25:17.620 --> 00:25:19.500]   What do you say to people that describe Israel as having a
[00:25:19.500 --> 00:25:19.560]   that describe Israel as having a
[00:25:19.560 --> 00:25:21.760]   that describe Israel as having a historical right to the land?
[00:25:21.760 --> 00:25:21.820]   historical right to the land?
[00:25:21.820 --> 00:25:23.500]   historical right to the land? So if you stretch, not across
[00:25:23.500 --> 00:25:23.540]   So if you stretch, not across
[00:25:23.540 --> 00:25:25.000]   So if you stretch, not across decades, but across centuries
[00:25:25.000 --> 00:25:27.060]   decades, but across centuries, but across centuries, but across the past?
[00:25:27.060 --> 00:25:29.000]   This kind of thing is a red herring.
[00:25:29.800 --> 00:25:51.220]  , This kind of thing is a red herring.
[00:25:51.220 --> 00:25:55.160]  , This kind of thing is a red herring. So it's not just a state.
[00:25:55.160 --> 00:25:55.240]   So it's not just a state.
[00:25:55.240 --> 00:25:56.160]   So it's not just a state. It's a state of destruction.
[00:25:56.160 --> 00:25:56.240]   It's a state of destruction.
[00:25:56.240 --> 00:25:59.000]   It's a state of destruction. Because you don't think of any state
[00:25:59.000 --> 00:25:59.000]   Because you don't think of any state as having rights.
[00:25:59.040 --> 00:26:02.840]   require
[00:26:02.840 --> 00:26:09.880]   instantly IT E
[00:26:09.880 --> 00:26:13.240]  ,,, was no 100
[00:26:24.740 --> 00:26:47.040]   Brittney: Which is what's happening to people in the West Bank who have no freedom of movement, which is what's happening in Gaza which is blockaded to water, air, and land and is deemed uninhabitable by human rights organizations like the UN. No one has a right to do that.
[00:26:47.040 --> 00:26:50.900]   Do you have hate in your heart for Israel?
[00:26:51.440 --> 00:27:02.860]  過
[00:27:02.860 --> 00:27:21.100]   think the is魔倒 I I the crack the mixed the hit the needed the два de, as, as, is, as, is, is,,,,,,,,,,,,,,. wrists And. persistentmil era quelque Rrac I'm G 포인own 2 chin person實 women tip Premier之後 go runners spaces G wydaje a end she is being in the parts of that you slice, reach the day. But, consists. And,au. So, but,o, et, 30. And, 쓰는, edition. I, ask, Monkey, Spicy,
[00:27:21.440 --> 00:27:51.440]  lerini, I feel like. At the core of the situation here is, hate is, or maybe, inability for some group of humans to see the humanity in another group of humans. And so it's important here to talk about the contents of hearts. If we're to think about the long term future of this. Yeah, I mean, I would be concerned, actually, if I didn't.
[00:27:51.440 --> 00:27:51.440]   I, would be concerned, actually, if I didn't.
[00:27:51.440 --> 00:27:51.440]   Yeah, I mean, I would be concerned, actually, if I didn't.
[00:27:51.440 --> 00:27:51.440]   Yeah, I mean, I would be concerned, actually, if I didn't.
[00:27:51.440 --> 00:27:51.440]   Yeah, I mean, I would be concerned, actually, if I didn't.
[00:27:51.440 --> 00:27:51.440]   Yeah, I mean, I would be concerned, actually, if I didn't.
[00:27:51.440 --> 00:27:51.440]   Yeah, I mean, I would be concerned, actually, if I didn't.
[00:27:51.440 --> 00:27:51.440]   Yeah, I mean, I would be concerned, actually, if I didn't.
[00:27:51.440 --> 00:28:21.460]   a lot of people, you know, because they cannot breathe, they cannot live, they are living under excruciating circumstances. You know, first of all, I think that the fact that the people who are angry, the people who are angry, the people who refuse to live under occupation know that they deserve better. People start revolutions not because of some kind of cultural phenomenon, not because of some kind of desire, but because they cannot breathe because they cannot breathe, they cannot live, they cannot live. They are living under excruciating circumstances, you know, first of all these things.
[00:28:21.500 --> 00:28:32.020]   was
[00:28:32.020 --> 00:28:32.820]  .,,,, manage Edge Z S I want to dedicated, and, in, co,ye,
[00:28:32.820 --> 00:28:48.400]  , lie,
[00:28:51.520 --> 00:29:01.780]   32 in
[00:29:01.780 --> 00:29:05.700]   aftermath thought . I妳
[00:29:20.360 --> 00:29:30.640]  ;
[00:29:30.640 --> 00:29:31.620]   rotating be make
[00:30:18.220 --> 00:30:47.140]  el. I'm American lawmakers and American diplomats and journalists of our humanity. Because we wait for the approval you know I was 14 years old when I first flew to Congress to speak to Congress people and to speak at the European Parliament then a at the time I thought wow I must be such a brilliant 14 year old for them to have me here and you know looking back I didn't know what I was talking about I had horrendously broken English.
[00:30:47.140 --> 00:30:47.140]   I had horrendously broken English.
[00:30:47.140 --> 00:30:47.140]   I had horrendously broken English.
[00:30:47.140 --> 00:30:47.140]   I had horrendously broken English.
[00:30:47.140 --> 00:30:47.140]   I had horrendously broken English.
[00:30:47.140 --> 00:30:47.140]   I had horrendously broken English.
[00:30:47.140 --> 00:30:47.200]   I had horrendously broken English.
[00:30:47.200 --> 00:30:47.260]   I had horrendously broken English.
[00:30:47.260 --> 00:30:47.360]   I had horrendously broken English.
[00:30:47.360 --> 00:30:47.460]   I had horrendously broken English.
[00:30:47.460 --> 00:30:47.520]   I had horrendously broken English.
[00:30:47.520 --> 00:30:47.600]   I had horrendously broken English.
[00:30:47.680 --> 00:30:58.860]   11
[00:30:58.860 --> 00:31:14.620]   I a, with,obra
[00:31:45.040 --> 00:31:45.040]   I a, with,brain.
[00:32:13.740 --> 00:32:13.740]   I a, with,brain.
[00:32:13.740 --> 00:32:13.740]   I a, with,brain.
[00:32:13.740 --> 00:32:13.740]   I a, with,brain. I think the real anger is the bulldozer. I think the real anger is the bulldozer. I think the real anger is the bulldozer. I think the real anger is the 18-year-old soldier who refuses to see me as a human being and strip searches me every chance they get. That's where the real anger lies. And I'm quite honestly proud of
[00:32:13.740 --> 00:32:13.740]   And I'm quite honestly proud of
[00:32:42.440 --> 00:32:42.440]   of our unabashedness and our refusal to bow our heads or bury our heads in the sand. I think that's the only way forward. So anger or whatever it is, is a fuel for action? Absolutely. And it has been throughout history. It has been. How much of this tension is religious? In the practical aspects of the courts and the legal system?
[00:32:42.440 --> 00:32:42.440]   In the practical aspects of the courts and the legal system? Yes.
[00:32:42.440 --> 00:32:42.440]   In the practical aspects of the courts and the legal system? Yes.
[00:32:42.440 --> 00:32:42.440]   In the practical aspects of the courts and the legal system? Yes.
[00:32:42.440 --> 00:32:42.440]   In the practical aspects of the courts and the legal system? Yes.
[00:32:42.440 --> 00:32:42.440]   In the practical aspects of the courts and the legal system? Yes.
[00:32:42.440 --> 00:32:42.440]   In the practical aspects of the courts and the legal system? Yes.
[00:32:42.440 --> 00:32:42.440]   In the practical aspects of the courts and the legal system? Yes.
[00:32:42.440 --> 00:32:42.440]   In the practical aspects of the courts and the legal system? Yes.
[00:32:43.440 --> 00:33:11.140]   in the practical aspects of the courts and the legal system? Yes. The evictions and the demolitions. And you mentioned something, divine decree. How much underneath of it do you feel the division over religious texts and religious beliefs? You know, it's convenient to market what's happening in Palestine as a religious conflict because it allows the listener the luxury of believing that this is an ancient complex.
[00:33:11.160 --> 00:33:15.980]   You know, it's convenient to market what's happening in Palestine as a religious conflict because it allows the listener the luxury of believing that this is an ancient complicated thing that stretched for thousands and thousands of years ago.
[00:33:15.980 --> 00:33:29.120]   But the fact of the matter is the people who invented Zionism, who pioneered the Zionist movement, who called for emigration and settling into Palestine, a lot of them were atheists.
[00:33:29.120 --> 00:33:34.420]   A lot of them were not religious at all.
[00:33:34.420 --> 00:33:41.160]   And the leaders of the Israeli state today, a lot of them are atheists.
[00:33:41.160 --> 00:33:41.160]   And the leaders of the Israeli state today, a lot of them are atheists.
[00:33:41.160 --> 00:33:41.160]   And the leaders of the Israeli state today, a lot of them are atheists.
[00:33:41.160 --> 00:34:11.180]  , and a lot of them are secular and so on and so forth.
[00:34:11.180 --> 00:34:11.180]   It's easy to say that this is about Muslims and Jews fighting over the land and so on and so forth. But it's not. It's about the land itself and it's about people being forced out of their homes. Benjamin Netanyahu said anti-Zionism is anti-Semitism. Of course he said that. Do you disagree? Absolutely, I disagree.
[00:34:11.180 --> 00:34:11.180]   What is the difference between anti-Zionism and anti-Semitism?
[00:34:11.200 --> 00:34:41.200]   What is the difference between anti-Zionism and anti-Semitism?
[00:34:41.200 --> 00:34:41.200]   What is the difference between anti-Zionism and anti-Semitism?
[00:34:41.200 --> 00:34:41.200]   What is the difference between anti-Zionism and anti-Semitism?
[00:34:41.200 --> 00:34:41.200]   What is the difference between anti-Zionism and anti-Semitism?
[00:34:41.200 --> 00:34:41.200]   What is the difference between anti-Zionism and anti-Semitism?
[00:34:41.200 --> 00:34:41.200]   What is the difference between anti-Zionism and anti-Semitism?
[00:34:41.200 --> 00:34:41.200]   What is the difference between anti-Zionism and anti-Semitism?
[00:34:41.200 --> 00:34:41.200]   What is the difference between anti-Zionism and anti-Semitism?
[00:34:41.200 --> 00:34:41.200]   What is the difference between anti-Zionism and anti-Semitism?
[00:34:41.200 --> 00:34:41.200]   What is the difference between anti-Zionism and anti-Semitism?
[00:34:41.200 --> 00:34:41.200]   What is the difference between anti-Zionism and anti-Semitism?
[00:34:41.200 --> 00:34:41.200]   What is the difference between anti-Zionism and anti-Semitism?
[00:34:41.240 --> 00:34:51.460]   But
[00:34:51.460 --> 00:35:00.060]   see, I go at
[00:35:00.060 --> 00:35:09.060]   Doesn講 antic accounts how may? I'm a good, and there is, and, and, and, and, and, and, and, and, and, H. It's. koń27
[00:35:09.060 --> 00:35:11.040]   bell извест hello -G -G -G -G -G -G -G - الن - connects - song -ø -atch - przest -も -ран - الأ or - transfers -ath - esta I'm - mixture - Herman - empresa - Apparently – Which – year -isse -� - Jack - delic - parecer - Körper - suggest - movimiento - cad - conduct - ESTopia - I'm I'm S sells Mo Jungkook " child is a assess the Kh I feel a Ash that is a ізáeremony - plaster 도 で aesthet 가지 picked video is a視 a tri
[00:35:11.100 --> 00:35:14.040]  -
[00:35:14.040 --> 00:35:21.000]   . is allbility
[00:35:21.000 --> 00:35:38.920]   Од Leg often
[00:35:40.040 --> 00:35:51.260]  ,
[00:35:51.260 --> 00:36:04.900]   pick,rend,
[00:36:08.880 --> 00:36:37.720]  obsessed, and quite recent, is somehow equivalent to opposing a religion that is thousands and thousands of years old. But it is convenient, again, for Israeli politicians to frame us who oppose Zionism, a form of racism and bigotry, as anti-Semites. But I can guarantee you Benjamin Netanyahu has no problem with anti-Semitism. This is the same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:36:37.720 --> 00:36:37.720]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:36:37.720 --> 00:36:37.720]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:36:37.720 --> 00:36:37.720]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:36:37.720 --> 00:36:37.720]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:36:37.720 --> 00:36:37.720]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:36:37.740 --> 00:37:06.680]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:06.680 --> 00:37:06.740]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:06.740 --> 00:37:06.820]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:06.820 --> 00:37:06.880]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:06.880 --> 00:37:06.940]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:06.940 --> 00:37:07.080]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:07.080 --> 00:37:07.160]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:07.160 --> 00:37:07.160]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:07.160 --> 00:37:07.180]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:35.340 --> 00:37:35.380]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:35.380 --> 00:37:35.460]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:35.460 --> 00:37:35.540]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:35.540 --> 00:37:35.840]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:35.840 --> 00:37:35.900]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:35.900 --> 00:37:35.940]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:35.940 --> 00:37:35.980]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:35.980 --> 00:37:36.040]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:37:36.040 --> 00:37:36.100]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:05.560 --> 00:38:05.560]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:05.560 --> 00:38:05.620]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:05.620 --> 00:38:05.680]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:05.680 --> 00:38:05.740]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:05.740 --> 00:38:05.780]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:05.780 --> 00:38:05.900]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:05.900 --> 00:38:05.940]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:05.940 --> 00:38:05.980]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:05.980 --> 00:38:05.980]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:32.240 --> 00:38:36.000]  專家 who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:36.000 --> 00:38:36.000]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:36.000 --> 00:38:36.000]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:36.000 --> 00:38:36.000]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:36.000 --> 00:38:36.020]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:36.020 --> 00:38:36.020]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:36.020 --> 00:38:36.020]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:36.020 --> 00:38:36.020]   The same man who has no problem getting on stage and shaking hands with anti-Semites.
[00:38:36.020 --> 00:38:36.020]   It is a very important thing. The only right thing that we have to oppose. It's not to oppose these labels, the smear campaigns that target us.
[00:38:36.060 --> 00:39:06.040]  , the only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:39:06.040 --> 00:39:06.040]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:39:06.040 --> 00:39:06.040]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:39:06.040 --> 00:39:06.040]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:39:06.040 --> 00:39:06.040]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:39:06.060 --> 00:39:36.060]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:39:36.060 --> 00:39:36.060]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:39:36.060 --> 00:39:36.060]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:39:36.060 --> 00:39:36.060]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:39:36.060 --> 00:39:36.060]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:39:36.060 --> 00:39:36.060]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:39:36.060 --> 00:39:36.060]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:39:36.060 --> 00:39:36.060]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:39:36.060 --> 00:39:36.060]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
