
[00:00:00.000 --> 00:00:02.940]   - What is correlation?
[00:04:49.900 --> 00:04:52.020]   - Why can't you-- - You could.
[00:04:52.020 --> 00:04:57.020]   - Turn the automatic module on and off?
[00:04:57.020 --> 00:05:01.740]   - Because it's on-road public, I mean,
[00:05:01.740 --> 00:05:06.300]   there's aspects to it that's unethical,
[00:05:06.300 --> 00:05:08.540]   because it's testing on public roads.
[00:05:08.540 --> 00:05:11.180]   So you can only use vehicle, they have to,
[00:05:11.180 --> 00:05:14.380]   the people, the drivers themselves have to make
[00:05:14.380 --> 00:05:18.020]   that choice themselves, and so they regulate that.
[00:05:18.020 --> 00:05:22.620]   So you just observe when they drive it autonomously
[00:05:22.620 --> 00:05:23.940]   and when they don't.
[00:05:23.940 --> 00:05:26.740]   - But maybe they turn it off when they're very tired.
[00:05:26.740 --> 00:05:30.260]   - Yeah, that kind of thing, but you don't know those.
[00:05:30.260 --> 00:05:32.980]   - So you have now uncontrolled experiment.
[00:05:32.980 --> 00:05:34.300]   - Uncontrolled experiment.
[00:05:34.300 --> 00:05:36.820]   - We call it observational study,
[00:05:36.820 --> 00:05:40.780]   and we form the correlation, detected,
[00:05:40.780 --> 00:05:43.980]   we have to infer causal relationship,
[00:05:43.980 --> 00:05:47.060]   whether it was the automatic piece
[00:05:47.060 --> 00:05:49.580]   that caused them to fall asleep, or,
[00:05:49.580 --> 00:05:54.580]   so that is an issue that is about 120 years old.
[00:05:54.580 --> 00:06:02.240]   I should only go 100 years old, okay?
[00:06:02.240 --> 00:06:08.820]   Oh, maybe it's not, actually I should say it's 2000 years old
[00:06:08.820 --> 00:06:12.100]   because we have this experiment by Daniel,
[00:06:12.100 --> 00:06:17.100]   about the Babylonian king that wanted the exile,
[00:06:17.100 --> 00:06:26.020]   the people from Israel that were taken in exile
[00:06:26.020 --> 00:06:28.300]   to Babylon to serve the king,
[00:06:28.300 --> 00:06:30.860]   he wanted to serve them king's food,
[00:06:30.860 --> 00:06:33.980]   which was meat, and Daniel, as a good Jew,
[00:06:33.980 --> 00:06:36.380]   couldn't eat non-kosher food,
[00:06:36.380 --> 00:06:40.260]   so he asked them to eat vegetarian food,
[00:06:40.260 --> 00:06:42.860]   but the king overseer said, "I'm sorry,
[00:06:42.860 --> 00:06:46.600]   "but if the king sees that your performance
[00:06:46.600 --> 00:06:51.020]   "falls below that of other kids,
[00:06:51.020 --> 00:06:52.980]   "he's going to kill me."
[00:06:52.980 --> 00:06:55.140]   Daniel said, "Let's make an experiment.
[00:06:55.140 --> 00:06:57.900]   "Let's take four of us from Jerusalem,
[00:06:57.900 --> 00:06:59.960]   "give us vegetarian food,
[00:06:59.960 --> 00:07:03.820]   "let's take the other guys to eat the king's food,
[00:07:03.820 --> 00:07:07.700]   "and in about a week's time, we'll test our performance."
[00:07:07.700 --> 00:07:09.060]   And you know the answer,
[00:07:09.060 --> 00:07:11.420]   of course he did the experiment,
[00:07:11.420 --> 00:07:15.740]   and they were so much better than the others,
[00:07:15.740 --> 00:07:20.740]   and the king nominated them to super position in his case.
[00:07:20.740 --> 00:07:23.740]   So it was the first experiment, yes.
[00:07:23.740 --> 00:07:26.340]   So there was a very simple,
[00:07:26.340 --> 00:07:29.120]   it's also the same research questions.
[00:07:29.120 --> 00:07:31.020]   We want to know if vegetarian food
[00:07:31.020 --> 00:07:37.100]   assists or obstructs your mental ability.
[00:07:37.100 --> 00:07:42.100]   And okay, so the question is very old.
[00:07:42.100 --> 00:07:46.560]   Even Democritus said,
[00:07:46.560 --> 00:07:52.860]   if I could discover one cause of things,
[00:07:52.860 --> 00:07:55.060]   I would rather discover one cause
[00:07:55.060 --> 00:07:56.480]   than be a king of Persia.
[00:07:56.480 --> 00:08:01.980]   The task of discovering causes
[00:08:01.980 --> 00:08:04.500]   was in the mind of ancient people
[00:08:04.500 --> 00:08:07.100]   from many, many years ago.
[00:08:07.100 --> 00:08:10.980]   But the mathematics of doing that
[00:08:10.980 --> 00:08:14.080]   was only developed in the 1920s.
[00:08:14.080 --> 00:08:17.320]   So science has left us orphaned.
[00:08:17.320 --> 00:08:21.920]   Science has not provided us with the mathematics
[00:08:21.920 --> 00:08:25.600]   to capture the idea of X causes Y,
[00:08:25.600 --> 00:08:27.940]   and Y does not cause X.
[00:08:27.940 --> 00:08:30.140]   Because all the questions of physics
[00:08:30.140 --> 00:08:32.220]   are symmetrical, algebraic.
[00:08:32.220 --> 00:08:34.260]   The equality sign goes both ways.
[00:08:34.720 --> 00:08:37.380]   (air whooshing)
[00:08:37.380 --> 00:08:39.540]   (silence)
[00:08:39.540 --> 00:08:41.700]   (silence)
[00:08:41.700 --> 00:08:43.860]   (silence)
[00:08:43.860 --> 00:08:46.020]   (silence)
[00:08:46.020 --> 00:08:48.180]   (silence)
[00:08:48.180 --> 00:08:50.340]   (silence)
[00:08:50.340 --> 00:09:00.340]   [BLANK_AUDIO]

