
[00:00:00.000 --> 00:00:08.380]   and you see that manifest itself on D-Day, where you've got 6,939 vessels, of which there are 1,213
[00:06:36.780 --> 00:06:41.420]   term in the language for the particular army involved, whether it's the German or the British
[00:06:41.420 --> 00:06:42.220]   or the American.
[00:06:42.360 --> 00:06:46.820]   Well, that's not to be pretentious. That's really just because you're dealing with so
[00:06:46.820 --> 00:06:51.280]   many numbers and different units, and it can go over your head and you can get sort of consumed
[00:06:51.280 --> 00:06:55.160]   by the detail if you're not careful. And as a reader, it can be very unsatisfying because
[00:06:55.160 --> 00:07:02.220]   you just can't keep pace with everything. So one of the things about writing in the vernacular
[00:07:02.220 --> 00:07:09.760]   German or in the American spelling, our more rather than our Mauer, as we Brits would spell
[00:07:09.760 --> 00:07:14.480]   it, is it just immediately tells the reader, okay, this is American. Okay, I've got that.
[00:07:14.480 --> 00:07:17.580]   Or this is German. I've got that. Or Italian or whatever it might be. But yeah, to go back
[00:07:17.580 --> 00:07:24.080]   to Sam. So Sam, there was this guy in his squadron and he'd get his letters from his girlfriend,
[00:07:24.080 --> 00:07:30.660]   his wife. And he said it was like a soap opera. He said, we all just waited for his letters
[00:07:30.660 --> 00:07:38.200]   to come in so we could find out whether his daughter got to school okay or won the swimming
[00:07:38.200 --> 00:07:45.520]   contest or whatever it was. The sort of details of this day-to-day kind of banal life was just
[00:07:45.520 --> 00:07:51.100]   absolute catnip to these guys. They absolutely loved it. And then the letter arrived, the Dear
[00:07:51.100 --> 00:07:56.880]   John letter, saying, sorry, I found someone else and it's over. And his friend was just
[00:07:56.880 --> 00:08:01.200]   absolutely devastated. It was the only thing that was keeping him going, this sort of sense of
[00:08:01.200 --> 00:08:13.780]   continuity of home, this foundation of his life back at home. And Sam said he could see he was in a
[00:08:13.780 --> 00:08:19.780]   really, really bad way. And he thought, uh-uh, he's going to do something stupid. And he went up to him
[00:08:19.780 --> 00:08:22.840]   and he said, look, you know, I know it's bad and I know it's terrible and I know you're absolutely
[00:08:22.840 --> 00:08:26.580]   devastated, but you've got your mates here. Just don't do anything silly. Just, you know, maybe,
[00:08:26.580 --> 00:08:30.800]   you know, when it's all over, you can patch things up or sort things out. And he said, you know,
[00:08:30.800 --> 00:08:34.200]   you've got to understand it from her point of view, you know, it's a long way. I haven't seen you for two
[00:08:34.200 --> 00:08:38.760]   years, this kind of stuff, you know, so just, just don't do anything rash. And of course, the next,
[00:08:38.760 --> 00:08:44.260]   next engagement, two days later, he was killed. And he said it was just a kind of, he could,
[00:08:44.400 --> 00:08:48.500]   he just knew that was going to happen. So it was a sort of self-fulfilling prophecy.
[00:08:48.500 --> 00:08:52.040]   That's something I've never forgotten that story. And I just thought, you know,
[00:08:52.040 --> 00:09:01.380]   it's about human drama. That's, that's, that's the truth of it. And how people react to this
[00:09:01.380 --> 00:09:07.740]   totally alien situation, you know, for the most part, the second world war is fought by ordinary,
[00:09:07.740 --> 00:09:13.340]   everyday people doing extra ordinary things. And I think that's something that's so fascinating.
[00:09:13.340 --> 00:09:19.260]   I suspect, I think I, instinctively, I'm quite slapdash, I think. So I think I would have,
[00:09:19.260 --> 00:09:24.440]   I'd have bought it literally. I don't think it would have ended well for me. I just, I'm just a bit
[00:09:24.440 --> 00:09:24.780]   careless.
[00:09:24.780 --> 00:09:32.640]   Yeah. I think I also have an element in me where I can believe in the idea of nation
[00:09:32.640 --> 00:09:37.700]   and fight for a nation, especially when the conflict is as grand.
[00:09:37.700 --> 00:09:39.140]   The thing's worse than death.
[00:09:39.140 --> 00:09:46.200]   Yes. As, as the propaganda would explain very clearly, but also in reality, yes. So a nation,
[00:09:46.200 --> 00:09:53.500]   you know, France, Britain was, you know, maybe facing the prospect of being essentially enslaved.
[00:09:53.500 --> 00:09:59.840]   The Soviet union was facing the prospect of being enslaved. Literally. I mean, it was very,
[00:09:59.840 --> 00:10:05.280]   very clearly stated what they're going to do. They're going to repopulate the land with Germanic
[00:10:05.280 --> 00:10:09.540]   people. So, well, they're not just going to do that. They're also going to starve lots and lots of,
[00:10:09.540 --> 00:10:16.560]   um, Soviet individuals to death by the hunger plan, for example, which is planned, you know,
[00:10:16.560 --> 00:10:22.060]   really very casually and not by the, you know, this is not SS units or anything like this. This is the
[00:10:22.060 --> 00:10:29.180]   Wehrmacht. This is the economic division of the Oberkommando de Wehrmacht, the German combined
[00:10:29.180 --> 00:10:37.780]   general staff, General Georg Thomas comes up, you know, and Hermann Backer, they come up with the,
[00:10:37.780 --> 00:10:41.180]   who's the kind of minister for food. They come up, you know, what are we going to do? You know,
[00:10:41.180 --> 00:10:47.260]   we haven't got enough food, you know, largely because German, um, farming is inefficient and
[00:10:47.260 --> 00:10:50.560]   they think, well, we'll get, you know, this is part of Liebenstrom. We'll go in and we'll take
[00:10:50.560 --> 00:10:55.920]   the food. And there's been this colossal urbanization of the Soviet union since the revolution in 1917.
[00:10:55.920 --> 00:11:01.400]   So they're just not going to get their food. You know, these, these people in these cities,
[00:11:01.400 --> 00:11:04.580]   because we're going to take it all. And that's going to leave to, that's going to lead to a lot
[00:11:04.580 --> 00:11:11.020]   of deaths, you know, umpteen millions is the phrase that Georg Thomas used.
[00:11:11.880 --> 00:11:15.900]   Well, let's talk about the hunger plan. How important was the hunger plan and Liebenstrom
[00:11:15.900 --> 00:11:20.100]   to Nazi ideology and to the whole Nazi war machine?
[00:11:20.100 --> 00:11:27.600]   It's central to the whole thing. This is all about this notion that is embedded into Hitler's
[00:11:27.600 --> 00:11:35.400]   mind and into the minds of the Nazi party, right from the word go is there is a big sort of global
[00:11:35.400 --> 00:11:40.960]   conspiracy, the Jewish Bolshevik plot. I mean, completely misplaced that Jews and Bolsheviks go
[00:11:40.960 --> 00:11:47.460]   hand in hand and somehow dovetail. They don't obviously. And the whole ideology is to crush
[00:11:47.460 --> 00:11:53.440]   this, you know, part of the way the Nazis think, the way Hitler thinks is there is a them and there's
[00:11:53.440 --> 00:12:02.180]   us. We are the whites, Northern European Aryans. We should be the master race. We've been, we've been
[00:12:02.180 --> 00:12:10.940]   threatened by a global Jewish Bolshevik plot. We've been stabbed in the back in 1918 at the end of the
[00:12:10.940 --> 00:12:17.560]   the first world war. We need to have to overcome. This is an existential battle for future survival.
[00:12:17.560 --> 00:12:22.600]   It's a terrible task that has befallen our generation, but we have to do this. We have to
[00:12:22.600 --> 00:12:28.300]   overcome this or else we have no future. We will be crushed. It's absolutely cut and dry. And one of the
[00:12:28.300 --> 00:12:35.100]   things about Hitler is that he is a very kind of black and white, them or us, either or kind of person.
[00:12:35.220 --> 00:12:40.540]   It's always one thing or the other. It's a thousand year Reich or it's Armageddon. There is no, there's no
[00:12:40.540 --> 00:12:45.120]   middle ground. There's no gray area. It's just one or the other. And that's how, that's his worldview.
[00:12:45.800 --> 00:12:57.460]   And the reason he came to the fore was, was because of the crystal clear clarity of his message, which is we've
[00:12:57.460 --> 00:13:04.420]   been stabbed in the back. There is a global plot. We have to overcome this. We are naturally the master
[00:13:04.420 --> 00:13:10.060]   race. We have to reassert ourselves. We have to get rid of global Jewry. We have to get rid of global
[00:13:10.060 --> 00:13:16.760]   Bolshevism and we have to prevail or else. But if we do prevail, what an amazing world it's going to be.
[00:13:16.760 --> 00:13:22.720]   So, so he starts with this, you know, every speech he does always starts in the same way, always starts
[00:13:22.720 --> 00:13:27.920]   from a kind of negative and always ends with an incredible positive, a sort of rabble rousing,
[00:13:28.420 --> 00:13:35.360]   endo of, of, of, of, of, if you're in the front row, spittle, halitosis and gesticulation. I mean, you've seen
[00:13:35.360 --> 00:13:41.240]   pictures of him. I mean, I don't know if you've ever seen pictures of him. He's almost, he wants to grab the air and
[00:13:41.240 --> 00:13:47.760]   clutch it to him. Um, you know, you can see the kind of the venom coming out of his mouth just in a single still
[00:13:47.760 --> 00:13:54.640]   photograph. I mean, it, it, it's amazing. There's, um, apps you can get now where, where you can translate his
[00:13:54.640 --> 00:13:59.460]   speeches and they're just, and it's just sounds, you know, by today's standards, you would just think
[00:13:59.460 --> 00:14:04.480]   what a load of absolute wibble. I mean, just total nonsense, but, but you have to kind of put yourself
[00:14:04.480 --> 00:14:12.280]   back in the shoes of people listening to him in 1922 or 23 or indeed 1933 and see how kind of captivating
[00:14:12.280 --> 00:14:17.480]   that is to a certain part of the, part of the population. So, yeah. So, so, so the, so to go back
[00:14:17.480 --> 00:14:22.940]   to your original point, Lieben's Rome is absolutely part of it. So what you do is you crush the Bolsheviks,
[00:14:22.940 --> 00:14:29.460]   you crush world Jewry, then you expand, you know, the Britain has had this incredible empire,
[00:14:29.460 --> 00:14:34.200]   global empire, you know, Germany needs that too. Germany is stuck in Europe. It doesn't have access
[00:14:34.200 --> 00:14:38.160]   to the world's oceans. So we're not going to be a maritime empire. We're going to be, we're going
[00:14:38.160 --> 00:14:43.260]   to be a landmass empire, the whole of landmass of Europe and into Asia. That's going to be us.
[00:14:43.260 --> 00:14:47.720]   And we're going to take that land. We're going to take the, the bread basket of, of Ukraine.
[00:14:47.720 --> 00:14:53.240]   We're going to use that for our own, own ends. We're going to spread our, our, uh, we're,
[00:14:53.240 --> 00:14:56.800]   we're going to make ourselves rich, but we're also going to spread our peoples. We're going to spread
[00:14:56.800 --> 00:15:02.780]   the Aryan Northern master race throughout, um, throughout Europe and into the traditional Slavic
[00:15:02.780 --> 00:15:08.720]   areas. And we will prevail and come out on top. And so you have to understand that, that, that everything
[00:15:08.720 --> 00:15:16.940]   about operation Barbarossa, the planned invasion of the Soviet union in June, 1941 is totally wrapped
[00:15:16.940 --> 00:15:24.920]   up in the Nazi ideology and people, you know, I've read it that historians sort of go, if only Hitler
[00:15:24.920 --> 00:15:28.440]   had realized that, you know, the Ukrainians had been quite happy to kind of fight on his side, you know,
[00:15:28.440 --> 00:15:33.540]   if only he'd, he'd actually brought some of these Jewish scientists and kind of into the Nazi fold,
[00:15:33.540 --> 00:15:36.360]   then Germany might've prevailed in world war two. And you kind of think, well, you're missing the
[00:15:36.360 --> 00:15:40.900]   entire point. That's just never going to happen because this is an ideological war.
[00:15:40.900 --> 00:15:48.760]   Yeah. This is not a pragmatic, rational leader. No. I mean, part of his effectiveness,
[00:15:48.760 --> 00:15:54.660]   we should say it's probably the singular belief in this ideology. There's pros and cons
[00:15:54.660 --> 00:16:03.280]   for, for an effective military machine, probably having that singular focus is effective.
[00:16:03.840 --> 00:16:07.080]   Yes. Except that when you're making military decisions,
[00:16:07.080 --> 00:16:14.360]   if those decisions are always being bracketed by an ideology, which is fundamentally flawed
[00:16:14.360 --> 00:16:20.240]   from a pragmatic point of view, as much as a kind of, you know, a kind of reasonable point
[00:16:20.240 --> 00:16:24.560]   of view, um, you're, you're kind of opening yourselves up for trouble. I mean, this is,
[00:16:24.560 --> 00:16:28.880]   this is a problem he has with Barbarossa, you know, that they realized very early on in 1941,
[00:16:28.880 --> 00:16:35.200]   when they're, when they're wargaming this whole operation, that it's not going to work. And so,
[00:16:35.200 --> 00:16:40.340]   you know, there's people like general Paulus, who's on the general staff at the time, you know,
[00:16:40.340 --> 00:16:44.640]   he's, he's given a kind of, you know, he's in charge of kind of wargaming this and he goes,
[00:16:44.640 --> 00:16:51.680]   this isn't going to work. And Keitel, who is the chief of the OKW goes, no, no, no, no, no,
[00:16:51.680 --> 00:16:56.840]   go back and make it work. He goes, okay. So he comes back with a plan that does work,
[00:16:56.840 --> 00:17:02.940]   but it's bogus. I mean, it's just, it doesn't work because they don't have enough. They don't
[00:17:02.940 --> 00:17:07.740]   have enough motorization. You know, they go into the Barbarossa with 2000 different types of vehicle,
[00:17:07.740 --> 00:17:13.560]   you know, every single one of those vehicles has to have, you know, different distributor caps and
[00:17:13.560 --> 00:17:20.140]   different leads and plugs and all sorts of different parts. You know, there's the interoperability
[00:17:20.140 --> 00:17:27.520]   of the, of the German mechanized arm is super inefficient. And so you've got huge problems
[00:17:27.520 --> 00:17:32.880]   because they kind of think, well, you know, we, we took France in 1940 and that's kind of one of the
[00:17:32.880 --> 00:17:36.680]   most modern countries in the world with, you know, one of the greatest armies and armed forces in the
[00:17:36.680 --> 00:17:41.920]   world. And we did that in six weeks. So, you know, Soviet union, look, they struggled against
[00:17:41.920 --> 00:17:46.740]   Finland for goodness sake. I mean, how hard can it be? You know, but what you're failing to understand is,
[00:17:46.740 --> 00:17:52.440]   is that attacking the Soviet union is over a geographical landmass, 10 times the size of
[00:17:52.440 --> 00:17:58.480]   France, just on the frontage. And you haven't really got much more mechanization than you had
[00:17:58.480 --> 00:18:03.540]   in May, 1940, when they attacked the low countries in France. And you've actually got less Luftwaffe
[00:18:03.540 --> 00:18:10.080]   aircraft to support you. And you just do not have the operational mechanics to make it work successfully.
[00:18:10.120 --> 00:18:16.460]   I mean, it is largely down to incompetence of the red army and the Soviet leadership in the summer
[00:18:16.460 --> 00:18:22.000]   of 1941 that they get as far as they do. I mean, you know, Barbarossa should never have come close
[00:18:22.000 --> 00:18:23.700]   to being a victory.
[00:18:24.160 --> 00:18:27.940]   Let's talk through it. So Operation Barbarossa that you're mentioning, and we'll go back.
[00:18:27.940 --> 00:18:29.860]   Yes. We've jumped straight into 41.
[00:18:29.860 --> 00:18:30.740]   Straight into it.
[00:18:30.740 --> 00:18:33.040]   I've eaten off two years of war.
[00:18:33.040 --> 00:18:42.640]   So this is June 1941, Operation Barbarossa, when Hitler invades the Soviet Union with, I think,
[00:18:42.640 --> 00:18:44.860]   the largest invading force in history up to that point.
[00:18:44.860 --> 00:18:45.860]   Collectively. Yeah.
[00:18:45.860 --> 00:18:52.300]   And there's three prongs, Army Group North, Army Group Center, Army Group South. North is going to
[00:18:52.300 --> 00:18:58.860]   Leningrad. Center is going, it's the strongest group going directly towards Moscow. And South is
[00:18:58.860 --> 00:19:06.140]   going and targeting Ukraine and the caucus. So can you linger on that, on the details of this plan? What
[00:19:06.140 --> 00:19:12.300]   was the thinking? What was the strategy? What was the tactics? What was the logistics? There's so many
[00:19:12.300 --> 00:19:18.300]   things to say, but one of them is to say that you often emphasize the importance of three ways to
[00:19:18.300 --> 00:19:25.020]   analyze military conflict, the strategic, the operational, and the tactical. And the operational
[00:19:25.020 --> 00:19:33.100]   is often not given enough time, attention. And it's the logistics that make the war machine really work,
[00:19:33.100 --> 00:19:34.380]   successfully or fail.
[00:19:34.380 --> 00:19:40.940]   Yeah. That's absolutely, absolutely spot on. And it's interesting because the vast majority
[00:19:40.940 --> 00:19:49.980]   of general histories of World War II tend to focus on the strategic and the tactical. So what do I mean
[00:19:49.980 --> 00:19:54.460]   by that? Well, the strategic, just for the, for those who don't know, that's your overall war aims,
[00:19:54.460 --> 00:20:00.380]   you know, get to Moscow, whatever it might be, conquer the world. That's your strategy. The tactical
[00:20:00.380 --> 00:20:05.340]   side of things is that's the cold face of war. That's the attritional bit. That's the following his
[00:20:05.340 --> 00:20:11.900]   spitfire, the tank crew, the soldier in his foxhole. It's the actual kinetic fighting bit. The
[00:20:11.900 --> 00:20:19.580]   operational bit is the level of war that links the strategic to the tactical. So it is absolutely
[00:20:19.580 --> 00:20:26.860]   factories. It's economics, it's shipping, it's supply chains, it's how you manage your war. And
[00:20:27.500 --> 00:20:31.180]   one of the things where I think people have been guilty in the past, historians have been guilty in
[00:20:31.180 --> 00:20:38.780]   the past, is by judging warfare all on the same level. But obviously every competent nation has a
[00:20:38.780 --> 00:20:43.980]   different approach to war because of the nation they are, the size they are, their geographical location.
[00:20:43.980 --> 00:20:50.460]   So Britain, for example, is an island nation. Its priority is the Royal Navy, which is why the Royal
[00:20:50.460 --> 00:20:55.420]   Navy is known as the Senior Service. And you know, in 1939, it's easy to forget it now when you see
[00:20:55.420 --> 00:21:00.540]   how depleted Britain is today. But in 1939, it has comfortably the world's largest
[00:21:00.540 --> 00:21:10.700]   navy. There's something like 194 destroyers. I think it's 15 battleships, seven aircraft carriers,
[00:21:10.700 --> 00:21:16.860]   and another kind of six on the way. America, it's got the Pacific Ocean, it's got the Atlantic Ocean,
[00:21:16.860 --> 00:21:21.900]   it's got two seaboard. It has the second largest navy in the world, but a tiny army. I mean,
[00:21:21.900 --> 00:21:29.740]   the US army in September 1939 is the 19th largest in the world, sandwiched between Portugal and Uruguay.
[00:21:29.740 --> 00:21:35.980]   It's just incredible. It's like 189,000 strong, which might seem reasonably large by today's standards,
[00:21:35.980 --> 00:21:41.980]   but it's absolutely tiny by 1939 standards. Whereas, you know, Germany's got an army of
[00:21:41.980 --> 00:21:49.020]   three and a half million in 1939. So, you know, these are big, big, big differences, but America's
[00:21:49.020 --> 00:21:52.380]   coming at it from a different perspective. Britain's coming at it from a different perspective. You know,
[00:21:52.380 --> 00:21:57.740]   Britain's empire is all about, you know, it's a shipping, it's a seaborne empire.
[00:21:57.740 --> 00:22:04.860]   Whereas, there's also another point, which is having large armies is actually inherently impractical
[00:22:04.860 --> 00:22:10.620]   and inefficient. Because the larger army, the more people you've got to feed, the more kind of barracks
[00:22:10.620 --> 00:22:14.700]   you've got to have, the more space you've got to have for training, the more people you're taking out
[00:22:14.700 --> 00:22:19.420]   of your workforce to produce tanks and shells and all the rest of it, because they're tramping around
[00:22:19.420 --> 00:22:24.540]   with rifles. You know, so there's an argument saying, actually, it's really not a very good way of doing
[00:22:24.540 --> 00:22:30.300]   things. So, you know, very much the British way, and subsequently, the United States way, and
[00:22:30.300 --> 00:22:37.820]   the way of Britain's dominions and empire, is to use kind of steel, not our flesh, as a principle.
[00:22:37.820 --> 00:22:44.380]   The idea is that you use technology, mechanization, modernity, global reach, to do a lot of your
[00:22:44.380 --> 00:22:49.020]   hard yards. That's the sort of basic principle behind the strategic air campaign. When we talk about
[00:22:49.020 --> 00:22:53.580]   the strategic air campaign, we talk about strategic air forces which are operating in isolation from
[00:22:53.580 --> 00:22:58.540]   other armed forces. So a tactical air force, for example, is an air force which is offering close
[00:22:58.540 --> 00:23:04.860]   air support for ground operations. A strategic air force has got nothing to do with ground operations,
[00:23:04.860 --> 00:23:09.900]   it's just operating on its own. So that's your bomber force or whatever. You know, that's your B-17s and
[00:23:09.900 --> 00:23:15.500]   B-24s of the 8th Air Force flying out of East England, bombing the rural industrial complex of
[00:23:15.500 --> 00:23:20.540]   Germany or whatever it might be. So it's important to understand that when you compare, you have to have
[00:23:20.540 --> 00:23:25.020]   the back of your mind that Britain, compared to Germany, for example, is coming at it from a
[00:23:25.020 --> 00:23:30.620]   completely different perspective. And I would say one of the failures of Hitler is that he always
[00:23:30.620 --> 00:23:35.660]   views everybody through his own very narrow world view, which is not particularly helpful. You know,
[00:23:35.660 --> 00:23:40.460]   you want to get inside the head of your enemy. And, you know, he's sort of guilty of not doing that.
[00:23:40.460 --> 00:23:46.940]   So when you're talking about Operation Barbarossa, to go back to your original question, you're dealing
[00:23:46.940 --> 00:23:54.460]   with an operation on such a vast scale that that operational level of war is absolutely vital to its
[00:23:54.460 --> 00:23:58.940]   chances of success or failure. It doesn't matter how good your individual commanders are at the front.
[00:23:58.940 --> 00:24:04.540]   If you haven't got the backup, it's not going to work. And the problem that the Germans have is,
[00:24:04.540 --> 00:24:09.340]   yes, they've got their kind of, you know, three million men on the front, and they've got their
[00:24:09.340 --> 00:24:15.020]   kind of, you know, 3000 aircraft and all the rest of it. But actually, what you need to do is break it
[00:24:15.020 --> 00:24:20.700]   down. And who is doing the hard yards of that? And the way the German war machine works is that the
[00:24:20.700 --> 00:24:26.780]   machine bit is only the spearhead. So people always talk about the Nazi war machine. In a way,
[00:24:26.780 --> 00:24:31.660]   it's a kind of misnomer because you're sort of suggesting that it's highly mechanized and
[00:24:31.660 --> 00:24:35.740]   industrialized and all the rest of it. And nothing could be further from the truth. The spearhead is,
[00:24:35.740 --> 00:24:42.620]   but the rest of it is not. And this is the kind of fatal flaw of the German armed forces in
[00:24:42.620 --> 00:24:49.020]   the whole of World War II, really. But even in this early stage, because in Barbarossa,
[00:24:49.020 --> 00:24:55.660]   you're talking about 17 panzer divisions out of, you know, the hundred odd that are involved in the
[00:24:55.660 --> 00:25:01.820]   initial attack. Well, 17, and that panzer division is not a division full of panzers,
[00:25:01.820 --> 00:25:07.580]   tanks. It is a combined arms, motorized outfit. So
[00:25:07.580 --> 00:25:16.940]   scouts on BMWs with sidecars, armored cars, infantry, grenadiers, panzer grenadiers,
[00:25:16.940 --> 00:25:24.140]   which are infantry in half tracks and trucks mechanized. It is motorized artillery. It is motorized
[00:25:24.140 --> 00:25:29.340]   anti-aircraft artillery. It is motorized anti-tank artillery. And of course, it is tanks as well,
[00:25:29.340 --> 00:25:35.900]   panzers. But those are a really, really small proportion of, you know, you're talking less than
[00:25:35.900 --> 00:25:42.940]   20% of your attacking force are those spearhead forces. And inevitably, they are going to be
[00:25:42.940 --> 00:25:47.020]   attrited as they go. You know, you are going to take casualties. And not only that, you're not going
[00:25:47.020 --> 00:25:51.180]   to just take battlefield casualties. You're also going to have mechanical casualties because of the huge
