
[00:00:00.040 --> 00:00:20.560]   Thank you so much for coming. My name is Gabriela de Queiroz. I work at Microsoft,
[00:07:13.120 --> 00:07:19.600]   That's where you get like $150,000 in credits. As you grow in your journey, if you're getting involved
[00:07:19.600 --> 00:07:26.320]   with one of the Microsoft strategic VC partners, which includes M12, Y Combinator, Neo, Alt Capital,
[00:07:26.320 --> 00:07:32.320]   All Chemist, to name a few, then you get a bunch of extra credits. So outside of the $150,000,
[00:07:32.320 --> 00:07:38.160]   you get an extra credit, which becomes total of $250,000 in credits. And then you get like startup
[00:07:38.160 --> 00:07:43.120]   development managers who are like, you know, dedicated cloud solutions architects to work with you.
[00:07:43.120 --> 00:07:49.840]   Pegasus program is another elite level partnership program that we have with startups, which helps
[00:07:49.840 --> 00:07:55.280]   them go to market, which helps them get you onboarded on Azure marketplace, if you need help,
[00:07:55.280 --> 00:08:00.160]   like, you know, to amplify what you're doing. So you're coming and telling us that, hey, Microsoft,
[00:08:00.160 --> 00:08:05.200]   help us reach your like, you know, millions of viewers or like millions of people who follow you
[00:08:05.200 --> 00:08:10.800]   on your LinkedIn page or on your blog, and help us amplify our startups. So we do blog pieces with you,
[00:08:10.800 --> 00:08:15.280]   we do video interviews with you, we do YouTube interviews with you, which helps you amplify that
[00:08:15.280 --> 00:08:22.000]   product. Outside of that, we're also getting startups involved in conferences. So Microsoft
[00:08:22.000 --> 00:08:27.920]   takes up a lot of like, speaking slots at conferences, and we get our startups that we're working with,
[00:08:27.920 --> 00:08:33.280]   come and talk about their products on stage. Yeah, we have, we have one, for example, Nixla is coming
[00:08:33.280 --> 00:08:39.760]   to talk about their product, and they got integrated to Azure, so you can run the time gen,
[00:08:39.760 --> 00:08:44.240]   that they have. So they are coming to talk.
[00:08:44.240 --> 00:08:48.880]   Yeah, so exactly. Like, so it's a lot of like, amplification that you're getting from Microsoft's
[00:08:48.880 --> 00:08:49.680]   perspective as well.
[00:08:53.200 --> 00:08:58.960]   Yeah, I think we briefly covered about some of the pain points. I'll give you like a quick TLDR,
[00:08:58.960 --> 00:09:05.600]   right? As a startup, if I'm building a startup, I really do not have a lot of time to like spend two
[00:09:05.600 --> 00:09:12.480]   weeks on getting a support ticket cleared off, right? Like, I need quick solutions. I need really,
[00:09:12.480 --> 00:09:17.840]   really fast experimentation pace. I want to try out different things, different tools, different models,
[00:09:17.840 --> 00:09:22.640]   very quickly, and then decide for myself, what's the best fit for me. And that's one of the places
[00:09:22.640 --> 00:09:27.920]   where one of the pain points that we've heard from startups is that, hey, it's really hard to go
[00:09:27.920 --> 00:09:33.200]   through like tons of documentations and figure out how to get started, like the first quick start program
[00:09:33.200 --> 00:09:39.280]   to like run a particular application, it takes us weeks altogether to run our first end to end
[00:09:39.280 --> 00:09:45.600]   application. That's the solution that we wanted to target with AI templates. So, and one of the major
[00:09:45.600 --> 00:09:51.440]   major disclaimers, it's not 101 level examples. These are really, really complex examples. So,
[00:09:51.440 --> 00:09:56.800]   one of the ones that we're going to be showing is rags with AI search. So, these are really complex
[00:09:56.800 --> 00:10:05.200]   examples that you can run within minutes. And that helps startups get started very quickly and run these
[00:10:05.200 --> 00:10:10.720]   applications, customize it as they want. Because it's open source, any of the issues that you're facing,
[00:10:10.720 --> 00:10:16.560]   just put it on GitHub and then it'll get resolved. We have an entire Cloud Advocate
[00:10:16.560 --> 00:10:21.200]   team working on these templates. If you have any requests that, hey, help us with this particular
[00:10:21.200 --> 00:10:23.440]   other template, we're here to help you on that.
[00:10:23.440 --> 00:10:32.000]   All right. So, now it's the fun part. So, now we are going to be doing like hands-on.
[00:10:32.000 --> 00:10:42.160]   We have the setup instructions in this URL. You can go over there or scan the QR code and we are going to go
[00:10:42.160 --> 00:10:47.920]   through all the setup instructions. Actually, Pamela is going to go through.
[00:10:47.920 --> 00:10:52.800]   Okay. Well, let's make sure everybody has this URL because you are going to actually want to have
[00:10:52.800 --> 00:11:02.640]   that doc open. So, it's aka.ms/aie-workshop or you can scan the QR code. And it should open up a
[00:11:02.640 --> 00:11:07.760]   document that looks like the little screenshot there that says, you know, quick start with AI templates
[00:11:07.760 --> 00:11:14.800]   with setup instructions. And if you have any trouble, any issues, we are three. So, you can
[00:11:14.800 --> 00:11:22.080]   raise your hands and then we'll go and help you. Does anyone not have the doc URL yet?
[00:11:22.080 --> 00:11:25.600]   Still working? Okay.
[00:11:28.080 --> 00:11:32.400]   We need to just have a whiteboard. Remember whiteboards? Whiteboards were great. Yeah,
[00:11:32.400 --> 00:11:35.600]   this is the whiteboard. Do you think they'll mind if we just -- did you bring spray paint?
[00:11:35.600 --> 00:11:36.160]   I'll get some shots.
[00:11:36.160 --> 00:11:42.960]   Okay, great. Thanks. All right. We good? All right. Okay. Just holler at us. Because we're -- I'm going to
[00:11:42.960 --> 00:11:47.280]   step through it first. So, you still have time. But we want to make sure you all have that doc. Okay.
[00:11:47.280 --> 00:11:53.680]   All right. I just remembered how PowerPoint works. Okay. All right. So, okay. So, if we look at that -- those
[00:11:53.680 --> 00:12:01.520]   instructions. The first thing is that we -- you do need a GitHub account. So, if for whatever reason you
[00:12:01.520 --> 00:12:07.920]   don't have a GitHub account yet, this is a good time to get it. You should be able to get it for free. And if
[00:12:07.920 --> 00:12:13.120]   you do have a GitHub account, just make sure you are logged into your GitHub account. And what we provided
[00:12:13.120 --> 00:12:19.680]   today for this workshop is two different things that are going to help you deploy these templates. So, one
[00:12:20.240 --> 00:12:25.920]   is an Azure Pass. So, this is really cool. Because normally things cost money. But we're giving you
[00:12:25.920 --> 00:12:31.760]   an Azure Pass, which will create a Azure subscription for you, which will give you up to $50 worth of
[00:12:31.760 --> 00:12:37.920]   credits. And it will expire in seven days. So, I guess you can keep working with it for the next seven
[00:12:37.920 --> 00:12:42.880]   days. And it'll certainly give you enough to get started during this workshop. So, that's really cool.
[00:12:42.880 --> 00:12:48.400]   So, none of you should have to worry about any of this costing you money. We don't want -- we don't want
[00:12:48.400 --> 00:12:54.480]   that to happen. And then the other thing that we've got you is, normally, when you're using Azure Open AI,
[00:12:54.480 --> 00:13:00.880]   you have to sign up to get permission to use it. You actually have to go fill in a form and get approved
[00:13:00.880 --> 00:13:07.280]   for it and get your account opened up for it. So, since it takes time to fill up that form -- and the
[00:13:07.280 --> 00:13:11.280]   reason we do this is for responsible AI reasons. We want to make sure people are using Azure Open AI for
[00:13:11.280 --> 00:13:17.600]   good reasons, which is good. I like that about Microsoft. But it does take time. So, we have set up this
[00:13:17.600 --> 00:13:23.680]   Azure Open AI proxy that all of you will be able to use during this workshop. So, you're going to use
[00:13:23.680 --> 00:13:29.520]   Azure Pass so that you can freely deploy these things. And then, Azure Open AI proxy so that you don't have
[00:13:29.520 --> 00:13:36.720]   to worry about getting permission to use it. So, that's what a lot of this setup is. So, the first step is
[00:13:36.720 --> 00:13:50.800]   to get that pass set up. So, I'll demonstrate from here. Let me go to my Firefox.
[00:13:50.800 --> 00:13:56.640]   Okay. So, when you go to this Azure check-in link, it's going to ask you to log in with GitHub.
[00:13:56.800 --> 00:14:04.880]   Oh, let me do it in my -- I've got three browsers open right now. Here we go. Let's do it in Chrome.
[00:14:04.880 --> 00:14:10.960]   Yeah?
[00:14:10.960 --> 00:14:12.960]   The initial lamp that takes you to the OneDrive, it says request is blocked.
[00:14:12.960 --> 00:14:14.960]   Request is blocked? Uh-oh.
[00:14:14.960 --> 00:14:18.960]   Is -- was anybody else able to open the dock? Yeah?
[00:14:18.960 --> 00:14:25.200]   The Wi-Fi is wrong. Okay. Yeah. The Wi-Fi was -- Oh, sometimes you mean that maybe the Wi-Fi is bad,
[00:14:25.200 --> 00:14:32.400]   it misinterprets it. It could also just be that the URL was slightly wrong. I think that's what
[00:14:32.400 --> 00:14:41.840]   happens for ACCA links. Okay. All right. Cool. So, then that has a link to this check-in website. So, on the
[00:14:41.840 --> 00:14:46.800]   check-in website, we see that it has two options. Either create a GitHub account, if you don't have -- if
[00:14:46.800 --> 00:14:51.600]   you don't have one, or just log in with GitHub. So, I'm going to click log in with GitHub. And here we go.
[00:14:51.600 --> 00:14:57.920]   I was already logged in in this browser. And then you'll see this Azure pass. So, this is just a promo code
[00:14:57.920 --> 00:15:02.480]   that you're going to use for the next stage. And you can copy to clipboard. And there's this button here
[00:15:02.480 --> 00:15:08.960]   that says get on board with Azure. So, when you click on that, then you get brought to this screen here.
[00:15:11.120 --> 00:15:17.120]   And it says what Microsoft account I'm currently signed in as. So, you know, so at this point,
[00:15:17.120 --> 00:15:21.040]   you have to figure out what Microsoft account you want to use. So, you could make up a new one. You
[00:15:21.040 --> 00:15:25.520]   can just, like, make a new Outlook address. I made one this morning. It's no big deal. You could use a
[00:15:25.520 --> 00:15:30.880]   Gmail account. I don't recommend using your work account if you do have a work account, just because
[00:15:30.880 --> 00:15:36.480]   work accounts tend to have a lot of restrictions on them. And I just think things will not work out.
[00:15:36.480 --> 00:15:40.640]   So, I recommend some sort of personal account. Either create a brand new Microsoft Outlook
[00:15:40.640 --> 00:15:46.640]   account today or just use your Gmail. Whichever those you want to do. So, you do need to
[00:15:46.640 --> 00:15:51.600]   be logged into some Microsoft account. So, it says, okay, I'm going to be logging in with my Gmail.
[00:15:51.600 --> 00:15:59.280]   I confirm. I enter the promo code here. And then I have to do this horrible.
[00:16:00.240 --> 00:16:03.600]   I don't, like, what is, oh, okay. DBW, okay.
[00:16:03.600 --> 00:16:12.080]   Okay. And then in this case, I got an error. And that's because I did already redeem my pass for this
[00:16:12.080 --> 00:16:17.920]   account. But you should get a success if you haven't redeemed your pass for the account yet. And then
[00:16:17.920 --> 00:16:23.040]   that should give you, set you up with this new subscription in your Azure portal. So, you can see here,
[00:16:23.600 --> 00:16:29.600]   now on my pamela.fox@gmail.com, I've got actually two subscriptions. Because I'm actually a paying user of
[00:16:29.600 --> 00:16:36.800]   Azure. So, this is my paid Azure subscription. You can see I'm spending $40 this month. And then here's my
[00:16:36.800 --> 00:16:42.720]   sponsorship, which I, you know, won't be paying for. So, that's, and if you're doing a brand new account,
[00:16:42.720 --> 00:16:50.240]   you're only going to see this sponsorship here. So, that's the expected flow to being able to
[00:16:50.240 --> 00:16:56.240]   get set up with this Azure pass. You don't have to do it right now. You could wait until we, you know,
[00:16:56.240 --> 00:17:01.520]   break into hands-on time. Because then it probably is easier for us to walk around in case there's any
[00:17:01.520 --> 00:17:05.840]   issues. And just to be careful, make sure that in the next step, wherever you're using the subscription
[00:17:05.840 --> 00:17:10.960]   ID, you use it for the Azure sponsorship one, and not the other one, or you're going to get billed on
[00:17:10.960 --> 00:17:15.440]   your, on your credit. Yeah. Yeah. So, if you're worried about that, just make a whole new account.
[00:17:15.440 --> 00:17:23.920]   That's what I have in my, let's see, that's Firefox. So, in, um, in this account, and in my other browser,
[00:17:23.920 --> 00:17:30.240]   this is an account I made, uh, this morning, uh, with just a new outlet account. PamelaFox,
[00:17:30.240 --> 00:17:37.680]   AIFair@outlook.com. It's pretty good. All right. And that one only has, in this case, I only have the sponsorship.
[00:17:38.800 --> 00:17:53.120]   Yeah, question. I see. Okay. So, how many of you have sons with Minecraft? All right. Uh, probably best,
[00:17:53.120 --> 00:17:57.680]   as I was saying, that is why I used a whole new browser, not my normal browser. Um,
[00:17:58.320 --> 00:18:03.680]   so did it already, if you already granted you the past. I just went with, you know, it came up with my
[00:18:03.680 --> 00:18:10.880]   email address. Okay. And then it takes me to my account, but there's nothing here that says anything
[00:18:10.880 --> 00:18:15.360]   about Azure. And when I put in Azure, um, portal.
[00:18:15.360 --> 00:18:26.560]   What do you do if you don't have the hardware? If you don't have?
[00:18:26.560 --> 00:18:34.000]   Uh, I don't think it makes you write it. It shouldn't make you, oh, to get a whole new Outlook account.
[00:18:34.000 --> 00:18:43.120]   Uh, but once I, uh, log into my office, ask me the new pass information, and then if I enter my normal number,
[00:18:43.120 --> 00:18:47.040]   it says it's not a management number. Oh, okay. I didn't remember that step.
[00:18:47.040 --> 00:18:50.560]   Maybe we can just give him our number.
[00:18:54.160 --> 00:18:58.480]   Okay. So if anyone else is having trouble, let me know. I can help.
[00:18:58.480 --> 00:19:05.120]   Yeah. Do we want to just get through this stage now? Or how do we want to do it? Sure. Like,
[00:19:05.120 --> 00:19:19.440]   do you want to like, see what other issues everyone has? Yeah.
[00:19:20.640 --> 00:19:25.920]   Thank you. Thank you. Here we go.
[00:19:48.480 --> 00:19:52.640]   So, um, how many folks are working on getting the Azure pass redeemed right now?
[00:19:52.640 --> 00:19:55.520]   Are people working on that now? Okay.
[00:19:55.520 --> 00:20:04.480]   And how many of you have actually successfully gotten it? Yeah? Okay. Good. Good. Okay. Cool.
[00:20:04.480 --> 00:20:07.120]   Okay. So we'll just get through that.
[00:20:17.120 --> 00:20:20.800]   So what should I move on at some point? Or should we wait?
[00:20:20.800 --> 00:20:30.800]   Okay. All right. So we'll spend five minutes getting through this step and answering any questions. So,
[00:20:30.800 --> 00:20:35.760]   uh, so go ahead if you haven't yet, you know, try to get your Azure pass redeemed.
[00:20:35.760 --> 00:20:41.040]   And, uh, we'll just make sure we have enough time to get that redeemed for everyone.
[00:20:45.920 --> 00:20:50.080]   You can pretty much use any account, like your university account, personal account.
[00:20:50.080 --> 00:20:54.080]   Just not work account. Just not work account. Would the university account still be okay?
[00:20:54.080 --> 00:20:56.880]   Because university tenants sometimes have restrictions too, don't they?
[00:20:56.880 --> 00:21:03.520]   Can try. I've used my university account, it works fine. Okay. So with these ones?
[00:21:03.520 --> 00:21:05.440]   Yeah. With this one. Okay.
[00:21:05.440 --> 00:21:06.240]   With Azure one, yeah. Okay.
[00:21:06.240 --> 00:21:10.240]   No, but with these templates. Okay.
[00:21:11.200 --> 00:21:16.320]   It might not work. Um, do you all remember if we need to add the address and all of that?
[00:21:16.320 --> 00:21:20.960]   I don't remember when the Azure pass. You have to. Okay. So you have to.
[00:21:20.960 --> 00:21:21.120]   Thank you.
[00:21:21.120 --> 00:21:23.920]   Wait. So how did he get over the number stage?
[00:21:23.920 --> 00:21:26.560]   He did. I just, I just, I just, I just asked him for a 204 number.
[00:21:26.560 --> 00:21:27.920]   Oh, okay. Starting 646.
[00:21:27.920 --> 00:21:40.640]   Okay. The next step is the proxy.
[00:21:40.640 --> 00:21:57.040]   Okay. We'll see until Gabriella's out of questions.
[00:22:06.320 --> 00:22:12.000]   Yep. Uh, raise your hands if you've got that pass in. We're just trying to see. Uh, okay.
[00:22:12.000 --> 00:22:14.000]   Activated it on Azure. Okay.
[00:22:14.000 --> 00:22:15.280]   Okay. Okay.
[00:22:15.280 --> 00:22:15.520]   Okay.
[00:22:15.520 --> 00:22:19.360]   Yeah.
[00:22:19.360 --> 00:22:21.200]   No. Oh, question.
[00:22:21.200 --> 00:22:31.040]   Okay.
[00:22:31.040 --> 00:22:33.300]   Clicking on Word. You already went to the next time?
[00:22:33.300 --> 00:23:03.280]   Thank you.
[00:23:03.280 --> 00:23:33.260]   Thank you.
[00:23:33.260 --> 00:23:43.660]   Yeah, so to confirm that you have the Azure thing working, you can go to portal.azure.com
[00:23:43.660 --> 00:23:48.360]   and then it's going to look super empty. You'll see nothing under resources, but if you click
[00:23:48.360 --> 00:23:53.820]   on subscriptions, then that's where you should see Azure Pass sponsorship. So your subscription
[00:23:53.820 --> 00:23:59.720]   is basically like, it's kind of like a billing account sort of thing. So that's how you know
[00:23:59.720 --> 00:24:09.580]   you've got it is if you see that under your portal under subscriptions. All right, so let's
[00:24:09.580 --> 00:24:15.800]   try, now let's look at the proxy. Okay, so for the proxy, that's another URL which is linked
[00:24:15.800 --> 00:24:22.320]   from the docs. So I'll go ahead and open that. I think I've already logged in on this one.
[00:24:24.320 --> 00:24:29.920]   Okay, so what you're going to see is this page that looks like this and it has this login
[00:24:29.920 --> 00:24:38.320]   with GitHub. So then I log in with GitHub. And now I'm logged in. You can see it says welcome
[00:24:38.320 --> 00:24:45.120]   to my GitHub username at the top. And when I scroll down, I can see an API key and an endpoint.
[00:24:45.760 --> 00:24:52.160]   So here's the API key and here is the endpoint. So this is what we're going to be using in order
[00:24:52.160 --> 00:25:02.320]   to interact with OpenAI, Azure OpenAI models. And we'll just have to specify this key in this endpoint
[00:25:02.320 --> 00:25:07.200]   when we're using a template. So you're going to basically like, you just keep this open so that you can
[00:25:07.200 --> 00:25:10.240]   continually copy and paste these two fields here.
[00:25:10.240 --> 00:25:15.120]   I'll just like create a small node where you're like, you have your subscription ID,
[00:25:15.120 --> 00:25:21.840]   your endpoint, and your key copy pasted on that. Yeah. And declare by, normally, I don't recommend
[00:25:21.840 --> 00:25:26.480]   using API keys. And I've got all these like videos and blog posts about how you should never use API
[00:25:26.480 --> 00:25:31.680]   keys. Because when you're actually using Azure OpenAI, you can do keyless authentication using this
[00:25:31.680 --> 00:25:35.680]   thing called managed identity. And we have a talk coming up next week about that.
[00:25:35.680 --> 00:25:42.480]   But in order to use this proxy and, you know, take care of the permission issue, we are temporarily
[00:25:42.480 --> 00:25:50.720]   sinning and using keys. Okay. So that's, that's a proxy. So you just have to log in and then you
[00:25:50.720 --> 00:26:00.320]   should get the info for the proxy. Okay. All right. So now I'm going to step through one of the actual
[00:26:00.320 --> 00:26:05.440]   templates. So, you know, all the templates are open source repos, but we've put together
[00:26:05.440 --> 00:26:13.040]   instructions specific to this workshop in, in this, uh, read me here, these three read me's and really
[00:26:13.040 --> 00:26:18.560]   specific to using that proxy. So we're going to ramp up in terms of complexity. So we'll start off one
[00:26:18.560 --> 00:26:24.640]   that's, uh, really simple. Like this is one where you, you know, it's, uh, just to show you how things are
[00:26:24.640 --> 00:26:31.440]   working and, and get things going. And then we'll move on to two different rag applications, uh, that
[00:26:31.440 --> 00:26:37.680]   are more sophisticated and ending with our most sophisticated one that has been deployed like a
[00:26:37.680 --> 00:26:41.920]   hundred thousand times at this point by Azure developers. So it's a very, very popular one.
[00:26:41.920 --> 00:26:51.440]   Um, so let me start with, you know, this first one. So we go to the read me and the first step
[00:26:51.440 --> 00:26:58.240]   is to open the project using GitHub code spaces. Uh, has anyone here used GitHub code spaces?
[00:26:58.240 --> 00:27:04.800]   Okay. A few people. Okay. So GitHub code spaces is very cool. Any GitHub repository you go to,
[00:27:04.800 --> 00:27:09.840]   you can open them up in a code space. So you can like start hacking on that repository immediately.
[00:27:09.840 --> 00:27:13.840]   Uh, and then we can also customize like the environment for that. So what it's going to
[00:27:13.840 --> 00:27:19.680]   open is actually a VS code in the browser that has that project loaded in. So we're going to
[00:27:19.680 --> 00:27:25.360]   do you know one, one very cool thing about GitHub code spaces is like, you know, when you share
[00:27:25.360 --> 00:27:30.240]   something with like someone and they say, well, it was working on my machine, but it's not working
[00:27:30.240 --> 00:27:36.720]   yours, right? That problem that we all have with all the setting, the local environments and all of that
[00:27:36.720 --> 00:27:42.160]   code spaces, you, if you use code spaces, you don't have that problem because I will have the same
[00:27:42.160 --> 00:27:48.560]   environment as Ash, as Pamela. So I will not have the problem. Like it's not working on my computer,
[00:27:48.560 --> 00:27:54.720]   but it's working yours, right? So it's one of the pain points that code spaces came to solve
[00:27:55.280 --> 00:28:00.720]   and all of us, we use code spaces on a daily basis because setting up your local environment in your
[00:28:00.720 --> 00:28:09.440]   computer can be very, very painful. Um, so, so yes. Does everybody have access to their Azure subscription by now?
[00:28:09.440 --> 00:28:19.120]   Anybody who's not? Okay. If you're not, you can just, okay. Can we just like try to solve that and then we go through?
[00:28:19.120 --> 00:28:26.480]   Yeah. Okay, cool. Azure? The proxy?
[00:28:26.480 --> 00:28:33.600]   Well, that's a proxy. Yes. So the question is, how do you get to the repo? So there is a link.
[00:28:33.600 --> 00:28:41.840]   This one? Yeah, this link over here. It takes you to the GitHub repo with all the, everything that you need.
[00:28:41.840 --> 00:28:46.960]   It's here. With the code and everything. No, I can't edit. Yeah, there's like a blank page.
[00:28:46.960 --> 00:28:50.160]   Skip the blank page and then go to the not blank page. It can blame on me.
[00:28:50.160 --> 00:28:57.760]   I'll help you. Control F hands on. So the other question was, how do you know if you have the
[00:28:57.760 --> 00:29:02.800]   subscription? You go to portal.azure.com and then you find subscription. Yeah, and then you click on subscriptions.
[00:29:02.800 --> 00:29:15.520]   So now I'm going to step through the instructions just for the quick start one and then we'll really
[00:29:15.520 --> 00:29:22.480]   set everyone loose and so that we can walk around. So this one is, yeah, just a simple chat application.
[00:29:22.480 --> 00:29:28.320]   So we're going to start off with running this local, well, I'm going to call it local. I'm inside GitHub
[00:29:28.320 --> 00:29:34.560]   code spaces, which is VS code in the browser in this containerized environment, but I'm going to start
[00:29:34.560 --> 00:29:40.800]   a local server inside GitHub code spaces. So I like to start with local development first when I can,
[00:29:40.800 --> 00:29:47.200]   so I can like make sure that things are working. And then once I know it's working locally, then I can
[00:29:47.200 --> 00:29:55.920]   deploy it to Azure. So we're going to start with a local server inside the code space. So looking at the
[00:29:55.920 --> 00:30:03.600]   instructions here, so I've got the project open. The first step is to make a .EMV. So we have a sample
