
[00:00:00.000 --> 00:00:06.240]   Unconditional election.
[00:09:21.780 --> 00:09:28.040]   Number nine, it matters because we can know we are chosen with all the blessings that
[00:09:28.040 --> 00:09:29.040]   implies.
[00:09:29.040 --> 00:09:37.080]   1 Thessalonians 1.4, "We know, brothers, we know, brothers loved by God, that he has
[00:09:37.080 --> 00:09:42.920]   chosen you, because our gospel came to you not only in word, but also in power and in
[00:09:42.920 --> 00:09:45.800]   the Holy Spirit and with full conviction."
[00:09:45.800 --> 00:09:52.600]   And number 10, finally, it matters because God shapes all of history for the sake of
[00:09:52.600 --> 00:09:55.120]   his elect.
[00:09:55.120 --> 00:10:01.280]   To make sure that we come safely home into his presence, he controls the world.
[00:10:01.280 --> 00:10:08.040]   Jesus said about the end of history, and I think it applies to all of history in principle,
[00:10:08.040 --> 00:10:16.160]   he said this, "If those days had not been cut short, no human being would be saved,
[00:10:16.160 --> 00:10:22.240]   but for the sake of his elect, those days will be cut short."
[00:10:22.240 --> 00:10:24.880]   Matthew 24.22.
[00:10:24.880 --> 00:10:30.880]   So Chase, in answer to your question, yes, it matters.
[00:10:30.880 --> 00:10:33.520]   It matters a lot.
[00:10:33.520 --> 00:10:41.600]   And the church would be stronger if pastors fed their people on this rich food for our
[00:10:41.600 --> 00:10:42.600]   faith.
[00:10:42.600 --> 00:10:43.600]   Amen.
[00:10:43.600 --> 00:10:45.760]   Yes, it's meant to strengthen the saints.
[00:10:45.760 --> 00:10:46.760]   Thank you, Pastor John.
[00:10:46.760 --> 00:10:50.360]   And speaking of God choosing the foolish, God gets the praise.
[00:10:50.360 --> 00:10:53.360]   We get humbled by unconditional election.
[00:10:53.360 --> 00:10:54.360]   Amen.
[00:10:54.360 --> 00:10:58.240]   But why does he choose the foolish when he could get a lot more done in this world if
[00:10:58.240 --> 00:11:01.080]   he saved the brilliant and the innovative and the famous?
[00:11:01.080 --> 00:11:05.560]   Remember, that was APJ 1965, two weeks back.
[00:11:05.560 --> 00:11:06.840]   It's related to this one.
[00:11:06.840 --> 00:11:13.080]   If you missed that, you can go back and find it in your podcast feed, APJ 1965, on why
[00:11:13.080 --> 00:11:16.040]   God uses the foolish in this world.
[00:11:16.040 --> 00:11:19.360]   Thank you, Pastor John, and thank you for joining us today.
[00:11:19.360 --> 00:11:27.480]   If you want to ask Pastor John, email your question to us at askpastorjohn@desiringgod.org.
[00:11:27.480 --> 00:11:28.480]   I'm your host Tony Reinke.
[00:11:28.480 --> 00:11:29.480]   We'll see you Thursday.
[00:11:29.480 --> 00:11:29.480]   [End of Audio]
[00:11:29.480 --> 00:11:30.480]   1
[00:11:30.480 --> 00:11:30.480]   1
[00:11:30.480 --> 00:11:31.480]   1
[00:11:31.480 --> 00:11:32.480]   1
[00:11:32.480 --> 00:11:33.480]   1
[00:11:33.480 --> 00:11:34.480]   1
[00:11:34.480 --> 00:11:35.480]   1
[00:11:35.480 --> 00:11:36.480]   1
[00:11:36.480 --> 00:11:37.480]   1
[00:11:37.480 --> 00:11:38.480]   1
[00:11:38.480 --> 00:11:39.480]   1

