
[00:00:00.960 --> 00:00:07.280]   Hi, I'm Patrick. I was the co-founder and CTO of Roscoe, and two years ago we decided to rip
[00:06:33.680 --> 00:06:40.800]   handle and execute that tool call. So what we learned is really small tweaks to the Agent Computer Interface
[00:06:40.800 --> 00:06:47.440]   can have a massive impact on the accuracy and performance of your agent. And you will feel when
[00:06:47.440 --> 00:06:52.800]   you're making these tweaks like they are so trivial, it makes no sense that they would have any bearing
[00:06:52.800 --> 00:06:58.880]   on your agent's performance. However, I'm telling you that this is actually one of the best ways you can
[00:06:58.880 --> 00:07:05.280]   spend your time when you're trying to get your agent working consistently. A couple of specific examples.
[00:07:05.280 --> 00:07:12.480]   So number one, one of the things that we found was that the format of the response, depending on the model,
[00:07:13.120 --> 00:07:20.800]   was consumed better or worse, likely correlating to the underlying training data, potentially of the model.
[00:07:20.800 --> 00:07:27.760]   So specifically, when working with GPT 4.0, we transitioned from responding with these search
[00:07:27.760 --> 00:07:33.520]   result payloads. Initially, they were formatted as Markdown. And we were seeing examples where the
[00:07:33.520 --> 00:07:40.080]   agent would look at that response that it got back from the tool call and tell us that a column did not
[00:07:40.080 --> 00:07:47.040]   exist when you could see the column within the context, you know, passed back in the tool result.
[00:07:47.040 --> 00:07:52.960]   These were long context tool results. Oftentimes, some of our customers had 500 or 1000 column tables
[00:07:52.960 --> 00:07:57.920]   in their data warehouse. So it was understandable if you're getting, you know, 30,000 tokens back,
[00:07:57.920 --> 00:08:05.120]   that there might be some challenges there. But we felt like to consistently be completely blind to it,
[00:08:05.120 --> 00:08:10.400]   there had to be a way to improve this. So we tested different formats. We ultimately learned that just
[00:08:10.400 --> 00:08:16.720]   switching the formatting of the response from Markdown to JSON, having that semi-structured payload and
[00:08:16.720 --> 00:08:23.440]   response immediately solved this problem for GPT 4.0. However, we learned later on that for Claude,
[00:08:23.440 --> 00:08:30.640]   it was really important to provide XML back to the model and not Mark, not JSON. So again, depending
[00:08:30.640 --> 00:08:37.760]   on the model you're using and the specific function arguments and then responses that you're providing
[00:08:37.760 --> 00:08:40.880]   from those tools, it can really impact your agent's performance.
[00:08:46.080 --> 00:08:53.120]   Think of the model as your brain when you're building an agent. The model is performing the
[00:08:53.120 --> 00:08:58.400]   thinking capabilities. And if the model sucks, then your users aren't going to be happy because they're
[00:08:58.400 --> 00:09:05.760]   going to see some of the obvious logical fallacies that the agent will make. So I think what's critical there is
[00:09:05.760 --> 00:09:11.120]   even if some of your tasks need to run on a cheaper model, like some of your tool calls or some of the
[00:09:11.920 --> 00:09:18.800]   sub prompts that might be triggered by your agent, it's really important that the actual model making
[00:09:18.800 --> 00:09:23.760]   the determination of which tool call to make next based on what has happened up to that point
[00:09:23.760 --> 00:09:32.400]   is a generally intelligent model. I would say Claude 3.5 Sonnet is still probably my favorite for this,
[00:09:32.400 --> 00:09:38.240]   even beyond the reasoning models, because it does a really nice balance between speed,
[00:09:38.240 --> 00:09:43.360]   cost, and making a good decision based on what it's learned so far.
[00:09:43.360 --> 00:09:52.080]   Another thing, we talked about GPT 4.0 versus 0.1 and how 4.0 is incentivized to make an effort even if
[00:09:52.080 --> 00:09:58.800]   the task is impossible. One thing you can learn though by observing the failure modes of agents running with
[00:09:58.800 --> 00:10:06.880]   a certain model is oftentimes the way it hallucinates tells you what the model expects in a tool call for
[00:10:06.880 --> 00:10:15.040]   instance. So if you see it consistently ignoring your JSON schema for a tool call and providing an argument in a
[00:10:15.040 --> 00:10:22.000]   different format, that should be an indicator to you that the agent is telling you how it thinks how it
[00:10:22.000 --> 00:10:29.840]   thinks the tool call should be defined. And if you can change it to match that expected format, you're going to
[00:10:29.840 --> 00:10:37.280]   generally improve agent performance because it's going to be closer to the training data and the
[00:10:37.280 --> 00:10:41.760]   instinct that the model has natively versus you trying to force it into doing something else.
[00:10:41.760 --> 00:10:51.040]   Another lesson we learned was that fine tuning models was a waste of time. I think this is generally
[00:10:51.040 --> 00:10:57.200]   accepted now but there's still a little bit of work happening on building agents with fine-tuned models.
[00:10:57.200 --> 00:11:05.120]   If you buy the premise that we're focusing on reasoning over inherent knowledge of the model,
[00:11:05.120 --> 00:11:12.080]   then it's logical to say that fine tuning does not really improve reasoning. Actually in our
[00:11:13.440 --> 00:11:19.920]   experience it actually decreased reasoning in a lot of cases because it effectively overfit or over tuned
[00:11:19.920 --> 00:11:26.880]   the model to do a specific sequence of tasks each time rather than stopping and thinking if it you know
[00:11:26.880 --> 00:11:34.480]   was was making the right decision. So I would really spend your time focusing on that ACI iteration
[00:11:35.440 --> 00:11:43.680]   rather than trying to build a fine-tuned model to run your agent on. Another question that we
[00:11:43.680 --> 00:11:50.880]   got frequently from customers, users, and others was, "Hey, what abstraction are you using? Which framework
[00:11:50.880 --> 00:11:57.920]   are you building on?" And for two reasons we did not end up using an abstraction. Number one was simple.
[00:11:57.920 --> 00:12:03.040]   When we started building this two years ago, none of the abstraction libraries like a LandGraph
[00:12:03.040 --> 00:12:08.400]   or a Crew AI were publicly available yet. So we didn't even have a choice really. We were just kind
[00:12:08.400 --> 00:12:14.720]   of basing some of our research off of Auto-GPT at the time. But the second reason is that even as those
[00:12:14.720 --> 00:12:20.160]   frameworks started to become more popular, we continued to evaluate transferring some of our code to them.
[00:12:20.160 --> 00:12:25.520]   The problem was there's huge blockers and considerations when you want to go to production
[00:12:25.520 --> 00:12:32.880]   with an agent running on one of these frameworks. One of the key things for us as an example was
[00:12:32.880 --> 00:12:41.360]   the ability for an end user security credentials to cascade down to the agent they were talking to.
[00:12:41.360 --> 00:12:47.440]   So you think about if a human is trying to use an agent to query their Snowflake account,
[00:12:47.440 --> 00:12:52.080]   they may have very granular permissions within that Snowflake account or of what they specifically are
[00:12:52.080 --> 00:13:00.240]   allowed to see in the underlying data. We needed our agent to be able to run with that user's permissions
[00:13:00.240 --> 00:13:06.800]   using an OAuth integration. And that was something that made an approach like LandGraph extremely
[00:13:06.800 --> 00:13:13.440]   difficult to build and scale because we needed to essentially manage the authentication process
[00:13:13.440 --> 00:13:21.760]   and the underlying service keys and tokens within our code base, not within a third-party framework.
[00:13:21.760 --> 00:13:27.840]   So the lesson I think to take away from that is think about what your end goal is first before you
[00:13:27.840 --> 00:13:34.000]   get too dependent on one of these frameworks. There is not too much code that you have to write to build
[00:13:34.000 --> 00:13:41.440]   an agent or even a multi-agent system. If you're in prototype mode, then sure, use an abstraction,
[00:13:41.440 --> 00:13:46.800]   speed yourself up, validate something as quickly as possible. But if your goal at the end is production,
[00:13:46.800 --> 00:13:50.000]   you'll likely regret being too dependent on a third-party library.
[00:13:50.000 --> 00:14:01.440]   One of the other philosophical conclusions we made is ultimately your agent's not your moat, meaning the
[00:14:03.200 --> 00:14:20.880]   system prompts. I think the most valuable thing you can do is set up the ecosystem around your agent,
[00:14:20.880 --> 00:14:31.360]   including the user experience of how your user interacts with your agent and then also the connections and the security protocols that your agent has to follow in doing its work.
[00:14:31.360 --> 00:14:37.920]   That is the most time-consuming part of building a production quality agent into a product.
[00:14:37.920 --> 00:14:45.440]   And that is ultimately going to be your moat in as much as we can even have moats these days with how quickly this stuff is moving.
[00:14:45.440 --> 00:14:56.720]   Last but not least, one of the key lessons that we learned more recently was about designing and executing on multi-agent systems.
[00:14:56.720 --> 00:15:04.160]   So about a year into our process of transitioning to an agent-based product, as our customers were getting
[00:15:04.160 --> 00:15:09.040]   comfortable with single agents, we introduced a multi-agent concept. And these are some of the key
[00:15:09.040 --> 00:15:15.200]   lessons we learned when doing that that really stuck with us and I think have continued to be highly
[00:15:15.200 --> 00:15:23.760]   resonant when you're designing agents in a product. Number one is the need to implement a manager agent within a hierarchy.
[00:15:23.760 --> 00:15:30.320]   The reason for that is that we found the manager agent would own the final
[00:15:30.320 --> 00:15:37.200]   outcome but could delegate subtasks to specific worker agents that would have more context in their
[00:15:37.200 --> 00:15:43.360]   instructions and more specific tool calls to accomplish those tasks. Whereas if you gave all
[00:15:43.360 --> 00:15:49.280]   of that information to a single manager agent, it could become overwhelmed. It might make bad decisions,
[00:15:49.280 --> 00:15:58.960]   go down bad paths. We also learned that the number of agents working together, there's almost a two-pizza rule
[00:15:58.960 --> 00:16:05.280]   kind of similar to how Jeff Bezos would design teams early on at Amazon that applies here. So we found that
[00:16:05.280 --> 00:16:13.360]   if you could limit yourself to about between five and eight agents working together, then that was typically a task
[00:16:13.360 --> 00:16:20.800]   that could be accomplished well by a multi-agent team. I've seen and prototype some systems where you might
[00:16:20.800 --> 00:16:28.240]   have 25 or 50 agents working together. And really what happens is you strongly decrease the likelihood that
[00:16:28.240 --> 00:16:34.320]   the actual outcome ever gets accomplished because you're likely to trigger infinite loops or go down
[00:16:34.320 --> 00:16:41.760]   paths that you don't return from. Incentivization is the number one way to set these things up.
[00:16:41.760 --> 00:16:50.160]   So the goal should not be to force your worker agents through a discrete set of steps, but rather to
[00:16:50.160 --> 00:16:58.800]   incentivize your manager agent, meaning describe and quote unquote reward it with accomplishing the overall
[00:16:58.800 --> 00:17:04.960]   objective and relying on it to manage the underlying worker agents and make sure that they
[00:17:04.960 --> 00:17:13.600]   their output is valuable and that it can be used within the context of achieving that broader outcome.
[00:17:15.680 --> 00:17:25.360]   I wrote more about the designing effective multi-agent teams on my blog at astorapp.com. This is the blog post,
[00:17:25.360 --> 00:17:28.960]   so I go into a little more detail about these principles and some other thoughts as well.
[00:17:28.960 --> 00:17:37.360]   Thanks so much for your time and hope you enjoyed learning all of the mistakes that I've made the last
[00:17:37.360 --> 00:17:43.680]   couple years in designing agent systems and multi-agent systems. I hope you can avoid them and that it saves you some time.

