
[00:00:00.000 --> 00:00:01.400]   Let's bring him out.
[00:04:19.120 --> 00:04:20.920]   Like, how do I one-up myself?
[00:04:20.920 --> 00:04:23.640]   Do you always feel this pressure to have to one-up yourself
[00:04:23.640 --> 00:04:25.520]   from the last video, literally?
[00:04:25.520 --> 00:04:26.920]   Yeah.
[00:04:26.920 --> 00:04:28.720]   Well, essentially, obviously, I've just
[00:04:28.720 --> 00:04:29.960]   been doing this for 14 years.
[00:04:29.960 --> 00:04:31.680]   And also, you said 10,000 hours.
[00:04:31.680 --> 00:04:34.800]   I think people should change that saying to 10,000 days.
[00:04:34.800 --> 00:04:36.880]   And I'm almost at my halfway point to 10,000 days.
[00:04:36.880 --> 00:04:38.840]   I think that's how people should start looking at things.
[00:04:38.840 --> 00:04:40.480]   Because to be honest, 10,000 hours is pretty easy.
[00:04:40.480 --> 00:04:41.040]   What is that?
[00:04:41.040 --> 00:04:43.200]   10 hours a day for three years?
[00:04:43.200 --> 00:04:44.000]   Just a random thing.
[00:04:44.000 --> 00:04:48.040]   But yeah, just-- I don't know.
[00:04:48.040 --> 00:04:50.640]   We would get 100,000 views on a video, take the money,
[00:04:50.640 --> 00:04:52.520]   do another video, get 150,000.
[00:04:52.520 --> 00:04:55.080]   And I've just reinvested the money for 14 years.
[00:04:55.080 --> 00:04:56.760]   And even to this day, whatever I make,
[00:04:56.760 --> 00:04:58.520]   I just spend it the next month on content.
[00:04:58.520 --> 00:05:00.120]   And the videos have just progressively
[00:05:00.120 --> 00:05:01.440]   gotten bigger and bigger.
[00:05:01.440 --> 00:05:03.480]   And it's gone from me counting to 100,000
[00:05:03.480 --> 00:05:05.760]   to seeing what happens if you put a Lamborghini
[00:05:05.760 --> 00:05:07.040]   on the world's largest shredder.
[00:05:07.040 --> 00:05:09.000]   Just random things.
[00:05:09.000 --> 00:05:12.000]   Well, you also seem to have some pretty good judgment, where
[00:05:12.000 --> 00:05:14.240]   maybe some of your contemporaries don't.
[00:05:14.240 --> 00:05:17.480]   We've seen that need to get the next view
[00:05:17.480 --> 00:05:20.920]   lead to people doing increasingly dangerous stunts,
[00:05:20.920 --> 00:05:24.160]   like taking a Model X over some hill.
[00:05:24.160 --> 00:05:25.160]   I think Dobrik did that.
[00:05:25.160 --> 00:05:28.440]   Some other person was swinging somebody on a crane.
[00:05:28.440 --> 00:05:30.760]   Maybe you could talk a little bit about restraint
[00:05:30.760 --> 00:05:33.320]   and understanding, like, hey, even though this
[00:05:33.320 --> 00:05:35.480]   is going to get a lot of views, and maybe some
[00:05:35.480 --> 00:05:36.160]   of your contemporaries--
[00:05:36.160 --> 00:05:37.960]   I won't give the specific names of people--
[00:05:37.960 --> 00:05:39.840]   but they've done some really idiotic things
[00:05:39.840 --> 00:05:41.600]   and gotten hurt.
[00:05:41.600 --> 00:05:45.280]   So how do you know when a conversation and some
[00:05:45.280 --> 00:05:47.960]   of these ideas maybe go over the line?
[00:05:47.960 --> 00:05:50.800]   Well, the obvious answer is common sense.
[00:05:50.800 --> 00:05:51.920]   Great, OK.
[00:05:51.920 --> 00:05:52.480]   Next question.
[00:05:52.480 --> 00:05:53.400]   No, no, no.
[00:05:53.400 --> 00:05:57.040]   The thing is, obviously, there's a lot of things
[00:05:57.040 --> 00:05:59.480]   people do that they know will get views because of outrage,
[00:05:59.480 --> 00:06:00.680]   and it's just easy to do.
[00:06:00.680 --> 00:06:02.760]   But if you're trying to build a long-term brand,
[00:06:02.760 --> 00:06:04.560]   you don't want to just constantly piss people off
[00:06:04.560 --> 00:06:05.520]   just to get attention.
[00:06:05.520 --> 00:06:06.760]   Eventually, it stops working.
[00:06:06.760 --> 00:06:09.200]   So the real answer is you just got to not go,
[00:06:09.200 --> 00:06:11.080]   what is the easiest way to get views?
[00:06:11.080 --> 00:06:12.560]   What do people actually want to watch
[00:06:12.560 --> 00:06:14.640]   that isn't just going to get views because they're
[00:06:14.640 --> 00:06:16.400]   just going to be watching it, essentially.
[00:06:16.400 --> 00:06:16.900]   Got it.
[00:06:16.900 --> 00:06:18.800]   You have a-- if you--
[00:06:18.800 --> 00:06:20.800]   in Greenville, North Carolina, you basically
[00:06:20.800 --> 00:06:24.400]   have your own college campus.
[00:06:24.400 --> 00:06:27.440]   It's like buildings, lots, studios,
[00:06:27.440 --> 00:06:30.000]   all these young people dynamically running around,
[00:06:30.000 --> 00:06:31.560]   doing all this stuff.
[00:06:31.560 --> 00:06:33.640]   When I saw it, I was like, this is a tech startup.
[00:06:33.640 --> 00:06:35.880]   It felt like Facebook circa 2006,
[00:06:35.880 --> 00:06:37.080]   except it's in Greenville.
[00:06:37.080 --> 00:06:40.560]   Why did you think you could pull this off there?
[00:06:40.560 --> 00:06:43.680]   Yeah, well, the thing is, as you scale up,
[00:06:43.680 --> 00:06:44.680]   you're not really--
[00:06:44.680 --> 00:06:46.120]   especially when you're in your young 20s,
[00:06:46.120 --> 00:06:47.280]   you're just doing whatever you got
[00:06:47.280 --> 00:06:49.520]   to do to keep up with growing and making the videos.
[00:06:49.520 --> 00:06:52.360]   So you just kind of blink, and 10 goes to 20 employees,
[00:06:52.360 --> 00:06:53.640]   to 50, to 100.
[00:06:53.640 --> 00:06:55.200]   How do you get people to go there?
[00:06:55.200 --> 00:06:57.320]   What is it that you're giving them
[00:06:57.320 --> 00:06:58.960]   where they would leave New York or LA
[00:06:58.960 --> 00:07:01.280]   and whatever their job is to try to do this with you?
[00:07:01.280 --> 00:07:02.440]   Yeah, that's the hard part.
[00:07:02.440 --> 00:07:04.000]   I'm still trying to figure it out.
[00:07:04.000 --> 00:07:08.480]   Most people-- it's a lot of convincing, to be honest.
[00:07:08.480 --> 00:07:10.160]   I would highly recommend you don't
[00:07:10.160 --> 00:07:12.400]   build a company in the middle of nowhere,
[00:07:12.400 --> 00:07:15.880]   woods in North Carolina City like ours.
[00:07:15.880 --> 00:07:18.120]   Most people don't want to live there.
[00:07:18.120 --> 00:07:20.640]   So usually, it's just people who--
[00:07:20.640 --> 00:07:22.440]   their job is kind of their life, and they're
[00:07:22.440 --> 00:07:23.900]   very passionate about what they do.
[00:07:23.900 --> 00:07:25.640]   So it's like, we provide you a cool job,
[00:07:25.640 --> 00:07:27.480]   where one day you're going to bury me alive,
[00:07:27.480 --> 00:07:29.560]   the next you're going to figure out how to send me
[00:07:29.560 --> 00:07:31.000]   to space or whatever.
[00:07:31.000 --> 00:07:33.120]   But the real answer is you just got
[00:07:33.120 --> 00:07:34.800]   to find people where work is their life,
[00:07:34.800 --> 00:07:35.760]   and so they don't care.
[00:07:35.760 --> 00:07:38.440]   But anyone who does, they hate it.
[00:07:38.440 --> 00:07:40.640]   Well, that's actually a feature in some ways, right?
[00:07:40.640 --> 00:07:40.880]   Yeah.
[00:07:40.880 --> 00:07:43.320]   Which is how Silicon Valley used to work, by the way.
[00:07:43.320 --> 00:07:44.080]   This is what I was going to say.
[00:07:44.080 --> 00:07:45.320]   How do you recruit for that?
[00:07:45.320 --> 00:07:46.840]   And what do you do when you find out
[00:07:46.840 --> 00:07:50.080]   that there are people that want work-life balance
[00:07:50.080 --> 00:07:52.440]   and don't want to do the level--
[00:07:52.440 --> 00:07:55.000]   aren't willing to commit the way you're willing to commit?
[00:07:55.000 --> 00:07:56.880]   I mean, like I said, that's the part
[00:07:56.880 --> 00:07:59.400]   I'm still trying to figure out, to be 100% honest.
[00:07:59.400 --> 00:08:01.040]   I think at some point, I just got
[00:08:01.040 --> 00:08:03.280]   to move out of the middle of nowhere in North Carolina.
[00:08:03.280 --> 00:08:07.040]   Don't recommend it, building a big company in a small city.
[00:08:07.040 --> 00:08:08.560]   How many employees do you have now?
[00:08:08.560 --> 00:08:09.960]   There are around 250.
[00:08:09.960 --> 00:08:12.480]   So you consider maybe moving it to Los Angeles or something
[00:08:12.480 --> 00:08:13.120]   to be closer to Hollywood?
[00:08:13.120 --> 00:08:14.560]   No, but just somewhere where it's
[00:08:14.560 --> 00:08:17.960]   like a decent-sized city would probably be more optimal.
[00:08:17.960 --> 00:08:20.600]   One that has an airport would be nice.
[00:08:20.600 --> 00:08:22.560]   Sure.
[00:08:22.560 --> 00:08:24.360]   One of the things you say a lot is
[00:08:24.360 --> 00:08:25.760]   I'm still trying to figure it out.
[00:08:25.760 --> 00:08:27.680]   I think that's the key to your success.
[00:08:27.680 --> 00:08:30.280]   Having spoken to you a bunch, I get the sense
[00:08:30.280 --> 00:08:34.760]   that you're on this kind of insatiable journey.
[00:08:34.760 --> 00:08:36.560]   I mean, you speak in a very grandiose way
[00:08:36.560 --> 00:08:38.560]   about what you're trying to do.
[00:08:38.560 --> 00:08:40.120]   There's no frigging limit.
[00:08:40.120 --> 00:08:41.760]   You see it in your videos, but you also
[00:08:41.760 --> 00:08:42.920]   see it in how you've iterated.
[00:08:42.920 --> 00:08:44.680]   I tell people there's no one else on Earth,
[00:08:44.680 --> 00:08:46.160]   no entrepreneur in history, where
[00:08:46.160 --> 00:08:47.720]   you can go track them longitudinally
[00:08:47.720 --> 00:08:50.480]   from the first thing they did all the way through to today.
[00:08:50.480 --> 00:08:51.880]   If you want to understand this entrepreneur,
[00:08:51.880 --> 00:08:52.720]   it's all in the open.
[00:08:52.720 --> 00:08:53.320]   Go check it out.
[00:08:53.320 --> 00:08:54.960]   And now you'll see the grind, and you'll
[00:08:54.960 --> 00:08:56.560]   see what it took to get here.
[00:08:56.560 --> 00:08:57.480]   And it doesn't stop.
[00:08:57.480 --> 00:09:00.120]   Every week, you've got some new record-breaking 24-hour video
[00:09:00.120 --> 00:09:02.280]   coming out, and it's fucking nuts.
[00:09:02.280 --> 00:09:03.720]   What's the mission?
[00:09:03.720 --> 00:09:04.640]   Where's it all going?
[00:09:04.640 --> 00:09:07.040]   And help just frame for the audience, for everyone,
[00:09:07.040 --> 00:09:08.840]   how do you think about where you're going?
[00:09:08.840 --> 00:09:12.120]   The beauty is there's-- well, YouTube,
[00:09:12.120 --> 00:09:13.600]   that's my main platform.
[00:09:13.600 --> 00:09:16.360]   Obviously, if you buy an Android phone, YouTube's pre-installed,
[00:09:16.360 --> 00:09:17.240]   and Alphabet owns it.
[00:09:17.240 --> 00:09:19.040]   So when you search things on Google,
[00:09:19.040 --> 00:09:20.700]   it takes you to YouTube a lot of times.
[00:09:20.700 --> 00:09:22.280]   So YouTube is just massive.
[00:09:22.280 --> 00:09:24.440]   I mean, billions of people use it on a monthly basis.
[00:09:24.440 --> 00:09:28.200]   And so being big on YouTube, we get 100 million views
[00:09:28.200 --> 00:09:30.600]   on a video in the first seven days, which
[00:09:30.600 --> 00:09:32.240]   up before the last couple of years,
[00:09:32.240 --> 00:09:33.840]   that's never been possible in history.
[00:09:33.840 --> 00:09:36.400]   So it's definitely a very interesting time
[00:09:36.400 --> 00:09:40.080]   where you can get just unfiltered access
[00:09:40.080 --> 00:09:41.840]   to basically unlimited people.
[00:09:41.840 --> 00:09:44.080]   And then we just--
[00:09:44.080 --> 00:09:45.920]   weirdly enough, it's not why I got into it,
[00:09:45.920 --> 00:09:47.260]   but it ended up just working out that way,
[00:09:47.260 --> 00:09:49.360]   that I spent 14 years of my life just studying
[00:09:49.360 --> 00:09:51.800]   how to make the most optimal videos, what type of content
[00:09:51.800 --> 00:09:53.840]   people want, and we just kind of mastered
[00:09:53.840 --> 00:09:54.840]   the art of going viral.
[00:09:54.840 --> 00:09:57.100]   And YouTube just so happens to be such a big platform.
[00:09:57.100 --> 00:10:00.520]   And so it's pretty nice, because now, like they've been saying,
[00:10:00.520 --> 00:10:02.360]   we're getting around a billion views a month.
[00:10:02.360 --> 00:10:04.400]   And yeah, we can just--
[00:10:04.400 --> 00:10:05.760]   Where do you want to take it?
[00:10:05.760 --> 00:10:08.640]   Well, recently, we started getting into selling--
[00:10:08.640 --> 00:10:09.440]   Long term, yeah.
[00:10:09.440 --> 00:10:09.940]   Yeah.
[00:10:09.940 --> 00:10:12.440]   Well, we started getting into selling some CPG products.
[00:10:12.440 --> 00:10:13.960]   So we started with chocolate.
[00:10:13.960 --> 00:10:16.800]   And it's nice, because the same people who I would take
[00:10:16.800 --> 00:10:19.160]   pictures with in Walmart, when they see our product there,
[00:10:19.160 --> 00:10:21.800]   they're like, oh, it's the guy from YouTube, and they'll buy it.
[00:10:21.800 --> 00:10:23.560]   And so just kind of--
[00:10:23.560 --> 00:10:25.960]   right now, just anything in retail
[00:10:25.960 --> 00:10:28.240]   is great, because you just put things on a shelf,
[00:10:28.240 --> 00:10:28.920]   and people buy it.
[00:10:28.920 --> 00:10:35.160]   And it's much easier than doing something complicated.
[00:10:35.160 --> 00:10:37.000]   I tell people, it's almost as if you think
[00:10:37.000 --> 00:10:38.400]   your job is to make people happy.
[00:10:38.400 --> 00:10:39.760]   Is that a good way to frame--
[00:10:39.760 --> 00:10:40.440]   Yeah, of course.
[00:10:40.440 --> 00:10:41.320]   --your job?
[00:10:41.320 --> 00:10:42.600]   Yeah.
[00:10:42.600 --> 00:10:45.220]   The other thing that I find just extraordinary
[00:10:45.220 --> 00:10:49.000]   about your business is you're essentially built Walmart
[00:10:49.000 --> 00:10:50.400]   without any of the cost structure.
[00:10:50.400 --> 00:10:53.720]   Any brand you decide to build will immediately
[00:10:53.720 --> 00:10:55.720]   have the first 10 million customers.
[00:10:55.720 --> 00:10:57.400]   Yeah, well, the beauty is we don't have--
[00:10:57.400 --> 00:10:59.040]   essentially, don't have to do marketing.
[00:10:59.040 --> 00:11:02.040]   Zero marketing costs, but also zero distribution costs.
[00:11:02.040 --> 00:11:05.000]   That can go one of two ways, with the Mr. Beast Burger--
[00:11:05.000 --> 00:11:05.500]   Yeah.
[00:11:05.500 --> 00:11:07.080]   --you learned a lot of lessons there.
[00:11:07.080 --> 00:11:08.280]   Maybe went too fast.
[00:11:08.280 --> 00:11:09.920]   You didn't expect it to be so popular,
[00:11:09.920 --> 00:11:11.520]   and you lost control of that.
[00:11:11.520 --> 00:11:15.760]   And then with the Feastables stuff, you nailed it.
[00:11:15.760 --> 00:11:18.160]   So maybe you could tell us the lessons from each of those
[00:11:18.160 --> 00:11:20.000]   projects.
[00:11:20.000 --> 00:11:24.760]   Well, yeah, the beauty of Feastables is--
[00:11:24.760 --> 00:11:27.520]   I mean, kind of like I said, you just put it on a shelf,
[00:11:27.520 --> 00:11:28.880]   and people go there and buy it.
[00:11:28.880 --> 00:11:29.200]   I don't know.
[00:11:29.200 --> 00:11:31.240]   I mean, you want to ask me something more specific?
[00:11:31.240 --> 00:11:31.720]   I don't know.
[00:11:31.720 --> 00:11:32.200]   No, but be honest.
[00:11:32.200 --> 00:11:33.000]   Mr. Beast Burger--
[00:11:33.000 --> 00:11:34.520]   Be honest about-- hold on.
[00:11:34.520 --> 00:11:37.760]   Be honest about the insane amount of product development
[00:11:37.760 --> 00:11:39.800]   work you personally do, and how deeply you
[00:11:39.800 --> 00:11:42.280]   care about making it work.
[00:11:42.280 --> 00:11:44.560]   I think that's what's missing for a lot of people.
[00:11:44.560 --> 00:11:46.640]   Well, no, and then my point was, Mr. Beast Burger,
[00:11:46.640 --> 00:11:49.080]   you kind of loaned your name to it,
[00:11:49.080 --> 00:11:51.280]   and it didn't have the same quality control.
[00:11:51.280 --> 00:11:52.600]   Yeah.
[00:11:52.600 --> 00:11:54.120]   That one I can't talk about, but--
[00:11:54.120 --> 00:11:54.620]   Oh, OK.
[00:11:54.620 --> 00:11:55.120]   No problem.
[00:11:55.120 --> 00:11:56.480]   I was wondering.
[00:11:56.480 --> 00:11:57.000]   No problem.
[00:11:57.000 --> 00:11:57.520]   Yeah, well--
[00:11:57.520 --> 00:11:59.920]   OK, let's just admit those last few questions were shitty.
[00:11:59.920 --> 00:12:00.440]   Let's reset.
[00:12:00.440 --> 00:12:01.440]   No, I think it's a great question.
[00:12:01.440 --> 00:12:02.600]   You just can't talk about it.
[00:12:02.600 --> 00:12:03.320]   Let's bring it back to the--
[00:12:03.320 --> 00:12:04.160]   We've got a lawsuit going on.
[00:12:04.160 --> 00:12:06.120]   All right, let's go back to the two smarter people here.
[00:12:06.120 --> 00:12:06.620]   OK.
[00:12:06.620 --> 00:12:07.280]   [LAUGHTER]
[00:12:07.280 --> 00:12:08.360]   David, you have a question?
[00:12:08.360 --> 00:12:11.600]   I want to ask about--
[00:12:11.600 --> 00:12:13.560]   I better get onto a new topic here real quick.
[00:12:13.560 --> 00:12:15.080]   [LAUGHTER]
[00:12:15.080 --> 00:12:16.720]   The thing I've been really blown away by
[00:12:16.720 --> 00:12:19.440]   is just how elaborate your productions are.
[00:12:19.440 --> 00:12:21.720]   I mean, some of these videos are incredibly
[00:12:21.720 --> 00:12:24.680]   elaborate in the production values and in the storytelling.
[00:12:24.680 --> 00:12:26.280]   The one that comes to mind for me
[00:12:26.280 --> 00:12:29.880]   is the Squid Game series, which, I mean,
[00:12:29.880 --> 00:12:33.680]   that looked monumental logistically to pull off,
[00:12:33.680 --> 00:12:37.120]   and in terms of set design and every other way.
[00:12:37.120 --> 00:12:39.720]   I mean, I guess tell us more about what goes into that.
[00:12:39.720 --> 00:12:43.560]   And what I'm kind of hearing from you with the 250 people
[00:12:43.560 --> 00:12:45.800]   you have working, you've built this whole town,
[00:12:45.800 --> 00:12:48.240]   it sounds like the old studio system,
[00:12:48.240 --> 00:12:50.760]   like back in Hollywood, like Warner Brothers back
[00:12:50.760 --> 00:12:53.320]   in the 1930s, where they had their own lots,
[00:12:53.320 --> 00:12:55.960]   their own actors, their own everything.
[00:12:55.960 --> 00:12:57.600]   And it was very different back then.
[00:12:57.600 --> 00:12:59.720]   Like we heard Gwyneth saying that most of her time
[00:12:59.720 --> 00:13:01.560]   in the process is like waiting around.
[00:13:01.560 --> 00:13:03.800]   It doesn't sound like that's what's going on with you.
[00:13:03.800 --> 00:13:06.160]   So you're back to kind of the original studio system.
[00:13:06.160 --> 00:13:06.920]   Yeah, exactly.
[00:13:06.920 --> 00:13:09.120]   I mean, like I said, the beauty is
[00:13:09.120 --> 00:13:10.680]   we don't have a studio that tells us
[00:13:10.680 --> 00:13:13.640]   what we can or can't do, or the distribution or anything.
[00:13:13.640 --> 00:13:15.680]   It's just we own it all.
[00:13:15.680 --> 00:13:17.960]   So we just make whatever videos we think will be viral.
[00:13:17.960 --> 00:13:20.560]   And obviously, we have the direct connection.
[00:13:20.560 --> 00:13:23.800]   And so the big thing is, like, obviously, YouTube,
[00:13:23.800 --> 00:13:26.120]   at the moment, you don't make that much from ad revenue.
[00:13:26.120 --> 00:13:28.440]   So to do these big multimillion dollar videos,
[00:13:28.440 --> 00:13:29.600]   it's just not really possible, which
[00:13:29.600 --> 00:13:31.160]   is why doing things like Feastables
[00:13:31.160 --> 00:13:33.440]   and other products that generate revenue on the back end
[00:13:33.440 --> 00:13:35.720]   is why we're able to do that and other people aren't.
[00:13:35.720 --> 00:13:38.560]   Because it's like, you know, even
[00:13:38.560 --> 00:13:41.280]   if you get 100 million views on a video, the RPM's $5.
[00:13:41.280 --> 00:13:42.200]   It's only $500,000.
[00:13:42.200 --> 00:13:42.520]   You know what I mean?
[00:13:42.520 --> 00:13:44.320]   So it's not that crazy, which is why
