
[00:00:00.000 --> 00:00:02.000]   New on CuriosityStream.
[00:02:14.000 --> 00:02:19.000]   We begin with Curtis in Washington. Welcome, Curtis. How can I serve you today, sir?
[00:02:19.000 --> 00:02:21.000]   Thanks, Joshua, for taking my call.
[00:02:21.000 --> 00:02:30.000]   My wife and I, we have about 10 credit cards in total, but primarily use three of them on an everyday basis.
[00:02:30.000 --> 00:02:36.000]   We don't carry any balances on any of them, and we auto-pay each credit card on time every month.
[00:02:36.000 --> 00:02:41.000]   And as a result, we have a FICO score of over 800.
[00:02:41.000 --> 00:02:50.000]   I want to cancel five of them that we don't really use, but they do have some of the longest track record of credit history.
[00:02:50.000 --> 00:02:57.000]   Primarily, I just want to reduce our exposure for potential fraud, simplify our credit card portfolio,
[00:02:57.000 --> 00:03:06.000]   and eliminate paying annual fees on three of them, which total about $225 per year.
[00:03:06.000 --> 00:03:11.000]   We're planning to purchase two to four investment rental properties over the next 24 months
[00:03:11.000 --> 00:03:18.000]   and likely going to use financing through fixed rate 15 or 30-year mortgage products.
[00:03:18.000 --> 00:03:22.000]   Then we'll pay additional principal over time to pay them off in 10 years,
[00:03:22.000 --> 00:03:26.000]   so hopefully we can cash flow and become financially independent in 10 years.
[00:03:26.000 --> 00:03:32.000]   But my question to you relative to credit cards is, should we wait to cancel these credit cards
[00:03:32.000 --> 00:03:40.000]   after we finance these investment rental properties so it doesn't negatively impact our credit score
[00:03:40.000 --> 00:03:44.000]   and to compromise potential financing terms?
[00:03:44.000 --> 00:03:52.000]   I just don't want to keep paying annual fees on cards that we don't really use, but I know we've had them for a while,
[00:03:52.000 --> 00:03:56.000]   so they are a large contributing factor to our credit score.
[00:03:56.000 --> 00:04:04.000]   But if we have to keep paying the $225 a year in total for the fees, is it worth it just to get the better interest rates?
[00:04:04.000 --> 00:04:06.000]   I just want to get your thoughts on that, Joshua.
[00:04:06.000 --> 00:04:11.000]   Good question. So let's start with the biggest impact here.
[00:04:11.000 --> 00:04:19.000]   The biggest impact if you were to cancel these cards will be to the length of your credit history.
[00:04:19.000 --> 00:04:29.000]   So in calculating the length of the credit history, part of what's important is the total length as far as what your oldest cards are,
[00:04:29.000 --> 00:04:35.000]   and then part of what's important is what your average age of your credit is.
[00:04:35.000 --> 00:04:41.000]   Now, the length of your credit history makes up only 15% of your score, so compared to the other factors,
[00:04:41.000 --> 00:04:46.000]   again, there are five factors that go into your FICO score, 35% of it is made up by your payment history,
[00:04:46.000 --> 00:04:50.000]   how effective and consistent you are at paying your bills on time.
[00:04:50.000 --> 00:04:56.000]   By what you've described here, you have them all set up on auto pay, you are current on everything, that's good.
[00:04:56.000 --> 00:05:00.000]   So that's contributing massively to your credit score.
[00:05:00.000 --> 00:05:04.000]   The second factor is the amount that you owe. This makes up 30% of your credit score.
[00:05:04.000 --> 00:05:10.000]   And this has to do with a ratio of how much you owe versus how much credit available that you have.
[00:05:10.000 --> 00:05:18.000]   So, as I said, you have no money owed, no balances on your cards, so that means you have a very low utilization ratio, it's zero, which is excellent.
[00:05:18.000 --> 00:05:21.000]   So that's also making a huge difference to your score.
[00:05:21.000 --> 00:05:27.000]   Now, those two factors together make up 65%, so they account for the bulk of your credit score.
[00:05:27.000 --> 00:05:31.000]   The other three factors are length of credit history, which we'll come back to in a moment, that's 15%.
[00:05:31.000 --> 00:05:35.000]   Next is credit mix in use, that's 10% of your score.
[00:05:35.000 --> 00:05:42.000]   That has to do with what types of credit you have, how much in revolving debt versus installment payments, things like that.
[00:05:42.000 --> 00:05:46.000]   And then 10% of your history has to do with applications for new credit.
[00:05:46.000 --> 00:05:54.000]   So you have not applied recently for new credit, so probably you haven't, so that's also of a minor impact for you.
[00:05:54.000 --> 00:05:58.000]   So, first, in light of your credit score, of your overall credit score,
[00:05:58.000 --> 00:06:05.000]   this is not going to be a hugely significant impact on your credit score one way or the other.
[00:06:05.000 --> 00:06:14.000]   Because the total possible metric that could impact your FICO score, it's only 15% maximum, that has to do with your length of credit history.
[00:06:14.000 --> 00:06:20.000]   Now, if you were to choose to close your cards, here's what would happen.
[00:06:20.000 --> 00:06:26.000]   That will impact, if you close, especially if you close some of the older ones, that will impact the total age of your cards,
[00:06:26.000 --> 00:06:30.000]   and it will also impact the average age of your cards.
[00:06:30.000 --> 00:06:36.000]   So what you should look at is you should try to get a sense by looking at your credit report or your history with each of these cards,
[00:06:36.000 --> 00:06:39.000]   what your average age of the cards is.
[00:06:39.000 --> 00:06:43.000]   You could make a simple spreadsheet. You could put your 10 cards into a spreadsheet.
[00:06:43.000 --> 00:06:46.000]   You could put the number of months by checking your credit report.
[00:06:46.000 --> 00:06:52.000]   You could put, and seeing how long you've had those cards, unless, again, you have that history in your own records.
[00:06:52.000 --> 00:06:58.000]   You could make a simple spreadsheet with 10 different entries and then the number of months that you've had each of the cards.
[00:06:58.000 --> 00:07:07.000]   And you could get a sense by averaging those numbers of months, you could get a sense of how old your average age of credit history is.
[00:07:07.000 --> 00:07:17.000]   Then what you would do after you create that spreadsheet is you play around with deleting some of these cards from the age of your credit history.
[00:07:17.000 --> 00:07:25.000]   So once you cancel them, they will go out of, they will be removed from the factors of your credit history,
[00:07:25.000 --> 00:07:29.000]   and you can kind of get a sense of that by doing this yourself.
[00:07:29.000 --> 00:07:33.000]   So I would start by doing that, and I would try to figure out, will these three cards,
[00:07:33.000 --> 00:07:38.000]   and I'm most concerned about the ones that have annual fees because that is actually a cost.
[00:07:38.000 --> 00:07:42.000]   Let me go back to your reasons for closing.
[00:07:42.000 --> 00:07:49.000]   You stated that you have three reasons for considering closing.
[00:07:49.000 --> 00:07:51.000]   Number one was risk of fraud.
[00:07:51.000 --> 00:07:57.000]   Number two was your concern about your overall, what did you say, your credit card portfolio, I believe you said.
[00:07:57.000 --> 00:07:58.000]   And then the third one--
[00:07:58.000 --> 00:08:00.000]   I just want to simplify it, yeah.
[00:08:00.000 --> 00:08:01.000]   Right, simplify.
[00:08:01.000 --> 00:08:04.000]   And then the third one has to do with your annual fees.
[00:08:04.000 --> 00:08:14.000]   Well, of those three, the only ones that I think are significant is the annual fees because that incurs a cost for you.
[00:08:14.000 --> 00:08:18.000]   I don't see any risk that you have from the perspective of fraud.
[00:08:18.000 --> 00:08:26.000]   If you physically know where each of your cards happen to be and you physically have control of those cards,
[00:08:26.000 --> 00:08:31.000]   you are not liable for any fraudulent charges or transactions on those cards.
[00:08:31.000 --> 00:08:39.000]   So your only risk with those cards would be if somehow somebody were to charge something fraudulently and then perhaps you didn't pay it.
[00:08:39.000 --> 00:08:41.000]   You didn't pay the minimum payment.
[00:08:41.000 --> 00:08:47.000]   Well, if you have them set up with an automatic minimum payment, as it sounds like you do, which is my recommendation,
[00:08:47.000 --> 00:08:57.000]   I recommend that every credit card you have is always set up with an automatic minimum payment that is initiated by your credit card company to one of your bank accounts.
[00:08:57.000 --> 00:09:00.000]   If you have that set up, then there is essentially no risk.
[00:09:00.000 --> 00:09:02.000]   So you don't even have to look at the statements every month.
[00:09:02.000 --> 00:09:06.000]   If you notice a payment going out to a credit card, then that's the time you go and look at it.
[00:09:06.000 --> 00:09:10.000]   If it's a fraudulent transaction, you challenge that fraudulent transaction and you can get that cleared.
[00:09:10.000 --> 00:09:12.000]   So I'm not concerned about fraud.
[00:09:12.000 --> 00:09:15.000]   I don't see any risk to you with regard to fraud.
[00:09:15.000 --> 00:09:18.000]   If you're concerned about people using your credit information to open new accounts,
[00:09:18.000 --> 00:09:22.000]   you can solve that by implementing a credit freeze on your credit file.
[00:09:22.000 --> 00:09:27.000]   With regard to simplifying your credit card portfolio, I don't really see any benefit to this.
[00:09:27.000 --> 00:09:39.000]   If you just have it set up, it's not a big problem to have an additional credit card account that if you have an organized system for maintaining what your username is and your password and all of those things,
[00:09:39.000 --> 00:09:41.000]   it's relatively simple to have that.
[00:09:41.000 --> 00:09:50.000]   And especially because you are going to be applying for financing, I would be careful and concerned about doing anything at this point that could impact the financing.
[00:09:50.000 --> 00:09:52.000]   The thing that does concern me is the annual fees.
[00:09:52.000 --> 00:09:54.000]   So back to your spreadsheet.
[00:09:54.000 --> 00:10:00.000]   If you put each of these 10 things into a spreadsheet, then you delete those 3 that have annual fees,
[00:10:00.000 --> 00:10:08.000]   you can get a sense of how that will impact your overall credit, average credit, age of credit.
[00:10:08.000 --> 00:10:17.000]   If your 3 cards that have fees are fairly new, let's say that you've had 5 of your cards for 10 years and then you have 3 of them, 2 of them for 5 years,
[00:10:17.000 --> 00:10:24.000]   and these 3 that have fees are ones that you applied for last year to get some bonus point program, but now you don't really want to pay the fees this year,
[00:10:24.000 --> 00:10:30.000]   then deleting them or canceling them prior to the renewal date wouldn't harm your average credit much.
[00:10:30.000 --> 00:10:33.000]   In fact, who knows, maybe it would make it go up.
[00:10:33.000 --> 00:10:40.000]   If, however, these 3 are old cards that you've had for a long time and then the rest of your portfolio is fairly new cards that you've only had for a year or 2,
[00:10:40.000 --> 00:10:46.000]   then these 3 cards could make a dramatic impact in the average age of your credit.
[00:10:46.000 --> 00:10:53.000]   If that were the case, I would not cancel them or I'd be very slow to cancel them or I'd be very careful about canceling them.
[00:10:53.000 --> 00:11:02.000]   So the only other impact that you would have, that's the most important impact to your situation, and that would have to do, again, with your average age of credit.
[00:11:02.000 --> 00:11:07.000]   The other impact would be your overall amount of credit available to you.
[00:11:07.000 --> 00:11:15.000]   So if you had any idea or plans to use these cards in the future, for example, let's say that in your overall real estate planning,
[00:11:15.000 --> 00:11:23.000]   you're looking at this and you're saying, "I'm going to apply for traditional mortgages and I want to make sure that I have that locked in,
[00:11:23.000 --> 00:11:25.000]   but I might have to rehab these houses that I'm going to buy.
[00:11:25.000 --> 00:11:29.000]   And in doing that rehab, I'm going to use credit cards as a source of financing.
[00:11:29.000 --> 00:11:31.000]   I have cash, but I might use credit cards."
[00:11:31.000 --> 00:11:39.000]   Well, in that case, if you ever think that you might carry balances, then one of your big risks here is lowering the total amount of credit available to you.
[00:11:39.000 --> 00:11:42.000]   And that's the other thing that I would put into my spreadsheet.
[00:11:42.000 --> 00:11:51.000]   I would try to get a sense of what is your available credit on these three cards that have fees and think about whether or not you might want to have that available credit in the future.
[00:11:51.000 --> 00:12:03.000]   The most important thing here is to always, whenever possible, have way, way, way, way more available credit to you versus any balance you would ever possibly carry,
[00:12:03.000 --> 00:12:10.000]   because that will keep your credit score extremely high and keep financing options available to you, even if you had a small balance.
[00:12:10.000 --> 00:12:19.000]   So let's say that you said, "I think in the future I might need to have $10,000 of debt while I rehab this property," or whatever your purposes are for this debt.
[00:12:19.000 --> 00:12:30.000]   If you have a total of $11,000 available credit across all of your five cards and you owe $10,000 across your five cards,
[00:12:30.000 --> 00:12:40.000]   your credit score will plummet because your utilization ratio will be extremely high, and that utilization ratio accounts for 30% of your credit score.
[00:12:40.000 --> 00:12:48.000]   If, on the other hand, you have a total of $100,000 available to you in available credit across your credit card portfolio,
[00:12:48.000 --> 00:12:59.000]   and you have the same $10,000 amount that you owe, you will continue to maintain your very high credit score because your utilization ratio in that case would only be about 10%.
[00:12:59.000 --> 00:13:06.000]   And from memory here, I think the best tier is under 14% of your total available credit available to you.
[00:13:06.000 --> 00:13:17.000]   So in general, that's why it's a bad plan to lower credit that's available to you, because if you ever did carry a balance, if you ever did use it for financing in the future,
[00:13:17.000 --> 00:13:22.000]   then you want to have the maximum possible amount available to you.
[00:13:22.000 --> 00:13:34.000]   In general, remember that your credit score has nothing to do—it's an artificial formula that in real life is fairly predictive of who's a good borrower and who's not.
[00:13:34.000 --> 00:13:38.000]   But like any formula, you can manipulate it for your own ends.
[00:13:38.000 --> 00:13:42.000]   So your credit score doesn't say anything about your ability to pay back a debt.
[00:13:42.000 --> 00:13:47.000]   It only simply says the percentage of debt that you owe versus what's available to you.
[00:13:47.000 --> 00:13:51.000]   So finally, back to your actual properties.
[00:13:51.000 --> 00:13:55.000]   I would investigate the available age of the debts.
[00:13:55.000 --> 00:14:00.000]   I would investigate the total amount that this would impact my total credit available.
[00:14:00.000 --> 00:14:13.000]   And then what I would do if I were in your shoes is I would make an application with all of the credit cards that you don't want to cancel to see if they will raise your available balance—excuse me, your available credit.
[00:14:13.000 --> 00:14:17.000]   Because sometimes what you can do is apply for an increase in your available credit.
[00:14:17.000 --> 00:14:21.000]   And then the credit card issuer will come back and say, "No, you have too much."
[00:14:21.000 --> 00:14:24.000]   And you'll say to them, "Well, what if I cancel this other card?"
[00:14:24.000 --> 00:14:25.000]   And they'll say, "Sure, go ahead."
[00:14:25.000 --> 00:14:29.000]   Or the same thing can happen sometimes when you go to apply for mortgage financing.
[00:14:29.000 --> 00:14:31.000]   They say you have too much available credit.
[00:14:31.000 --> 00:14:33.000]   You say, "Well, what if I lower my available credit?"
[00:14:33.000 --> 00:14:37.000]   In which case, that satisfies the model for the lender, and they can go ahead and approve it.
[00:14:37.000 --> 00:14:44.000]   If you can apply and get additional available credit, especially even additional available credit on some of your older cards—of course, that's not going to impact the age.
[00:14:44.000 --> 00:14:50.000]   But just to have that available, then that gives you more freedom and flexibility to cancel these newer cards.
[00:14:50.000 --> 00:14:51.000]   Does that make sense?
[00:14:51.000 --> 00:14:54.000]   It does.
[00:14:54.000 --> 00:14:55.000]   It does make a lot of sense.
[00:14:55.000 --> 00:14:56.000]   Thanks, Joshua.
[00:14:56.000 --> 00:14:57.000]   Yeah.
[00:14:57.000 --> 00:15:03.000]   I would not risk financing on three or four properties over a mere $200.
[00:15:03.000 --> 00:15:20.000]   But my guess would be—so if you actually have property in mind, etc.—but if you have no reason to keep these cards with the annual fees around, as long as they're fairly new and not fairly old, and as long as they're a fairly small percentage of your credit, then I think you can go ahead and cancel them.
[00:15:20.000 --> 00:15:23.000]   Any other questions before I go on to the next caller?
[00:15:23.000 --> 00:15:26.000]   No, that's all.
[00:15:26.000 --> 00:15:27.000]   Thank you very much.
[00:15:27.000 --> 00:15:28.000]   Thanks for calling in, Curtis.
[00:15:28.000 --> 00:15:32.000]   Congratulations on your success, and I hope you are able to continue to build.
[00:15:32.000 --> 00:15:34.000]   Steve in California, welcome to the show.
[00:15:34.000 --> 00:15:36.000]   How can I serve you today, sir?
[00:15:36.000 --> 00:15:38.000]   Hey, Josh.
[00:15:38.000 --> 00:15:42.000]   Yeah, calling in about a credit card that I have.
[00:15:42.000 --> 00:15:47.000]   It's actually a business credit card that I've been using improperly for many years for my business.
[00:15:47.000 --> 00:15:50.000]   And I just kind of realized that I was doing it wrong.
[00:15:50.000 --> 00:15:54.000]   And so now I'm looking to get that thing paid down a little quicker.
[00:15:54.000 --> 00:15:57.000]   Basically, what was happening is I was carrying a balance.
[00:15:57.000 --> 00:16:08.000]   And I was under the wrong assumption that if I paid whatever I charged on the card each month, I would only be paying interest on the balance and not the new charges.
[00:16:08.000 --> 00:16:14.000]   And then someone said, "Yeah, actually, you have to pay interest from the day you charge something on it if you have a balance."
[00:16:14.000 --> 00:16:15.000]   Right.
[00:16:15.000 --> 00:16:18.000]   So that was a learning lesson for me because I didn't realize that.
[00:16:18.000 --> 00:16:20.000]   So now I'm trying to get it paid down.
[00:16:20.000 --> 00:16:31.000]   But my question is should I move this over to a balance transfer card and then try to get it paid off within a year with the 0% APR?
[00:16:31.000 --> 00:16:34.000]   Or should I just keep it where it's at now?
[00:16:34.000 --> 00:16:40.000]   I think it's like 17% interest or something and just kind of try to drive it down as quick as I can.
[00:16:40.000 --> 00:16:44.000]   How's your credit score?
[00:16:44.000 --> 00:16:46.000]   731.
[00:16:46.000 --> 00:16:51.000]   Okay. So with a 731 credit score, you should have plenty of options available to you.
[00:16:51.000 --> 00:16:58.000]   How many credit cards – when you say this is a business credit card, I understand that you are using it for business.
[00:16:58.000 --> 00:17:03.000]   But has it been issued under your personal Social Security number and your personal credit profile?
[00:17:03.000 --> 00:17:06.000]   No, it doesn't show up on my credit at all.
[00:17:06.000 --> 00:17:08.000]   Interesting.
[00:17:08.000 --> 00:17:13.000]   Is your business rather small, meaning that you –
[00:17:13.000 --> 00:17:14.000]   Yeah.
[00:17:14.000 --> 00:17:16.000]   All right. So in that case –
[00:17:16.000 --> 00:17:18.000]   Yeah, it's just a LLC sole proprietor.
[00:17:18.000 --> 00:17:23.000]   Okay. And about how much – was the balance again? I neglected to write down the number.
[00:17:23.000 --> 00:17:25.000]   It's like $21,000.
[00:17:25.000 --> 00:17:37.000]   Okay. And if you focus your attention on paying this off, how long do you guess it will take you to pay it off?
[00:17:37.000 --> 00:17:42.000]   It would be $500 a month. So it would probably take a while.
[00:17:42.000 --> 00:17:49.000]   Got it. So in looking at this, I would say there are a couple different answers to your question.
[00:17:49.000 --> 00:17:52.000]   And I think of it in terms of a tiered decision-making process.
[00:17:52.000 --> 00:18:06.000]   First, if we simplify the question to this, "I owe money. And as I'm paying down the debt, should I borrow at the lowest possible terms?"
[00:18:06.000 --> 00:18:10.000]   The answer to that question is always yes. Correct?
[00:18:10.000 --> 00:18:12.000]   Right.
[00:18:12.000 --> 00:18:28.000]   So if you could move this debt from a $21,000 debt that you're paying 17% interest on to a $21,000 debt that you're paying 6% or 0% interest on, that would be a good move. Agreed?
[00:18:28.000 --> 00:18:33.000]   Yeah, because I'm – like 300 or 400 of that every month is my interest.
[00:18:33.000 --> 00:18:54.000]   Right, right. It's significant. And this would also help you even to lower your minimum payments because the way that credit card minimum payments work, very simply, your monthly minimum payment is equal to 1% of your balance plus any new interest charges, fees, etc.
[00:18:54.000 --> 00:19:08.000]   So if you figure that on a $21,000 debt, you have a 17% interest rate, that's $3,570 per year, and you divide that by 12, that comes out to $297.50 per month.
[00:19:08.000 --> 00:19:27.000]   So your minimum payment will be equal to, simplistically, $297 plus 1% of the $21,000, which is $210. So you add those numbers together and you get a total of $507, which is your monthly minimum payment. Is that about correct?
[00:19:27.000 --> 00:19:28.000]   Yep.
[00:19:28.000 --> 00:19:49.000]   Now, what you could do – so if you could refinance this debt and you could move it from a 17% interest payment to a 0% interest payment, then that right there would save you $297 per month. It would save you the monthly interest cost. Agreed?
[00:19:49.000 --> 00:19:50.000]   Yeah.
[00:19:50.000 --> 00:20:01.000]   So now, if you could continue paying the $500 per month, it would substantially improve that you would be paying double, at least double what you're actually paying right now if you're just making the minimum payments.
[00:20:01.000 --> 00:20:12.000]   So lowering the interest rate is always a good idea, and it's especially a good idea while you are in the middle of this because it can lower your minimum payment, which can free up cash flow.
[00:20:12.000 --> 00:20:28.000]   Removing that $300 interest payment can make a big difference in your overall cash flow, your ability to set aside money, and your ability to pay off debt. So that's why it's such a big deal that most people carefully calculate their numbers so that they can move it to a lower interest rate.
[00:20:28.000 --> 00:20:48.000]   Now, the second thing to consider is liability. Now, because you said this credit card is actually issued in the name of your business, then you now have a decision to make. Do you want to move this over to your personal credit report, or do you want to keep it on the business credit report?
[00:20:48.000 --> 00:20:54.000]   You said you are an LLC filing as an S-corp, did you say?
[00:20:54.000 --> 00:20:57.000]   LLC, full proprietor.
[00:20:57.000 --> 00:21:14.000]   Okay. So as an LLC sole proprietor, it's my understanding of how you would report this business interest. It's my understanding that it doesn't matter whether this credit card is issued in the name of a business or in your own personal name. That's my understanding. Verify with your own tax professional.
[00:21:14.000 --> 00:21:16.000]   Yeah, it's just a pass-through.
[00:21:16.000 --> 00:21:32.000]   Yeah. So any debt that is associated with business expenses is deductible debt. Any debt that is associated with personal expenses is non-deductible debt. So now you have a tax question and a liability question that you have to answer. Let's deal with the tax question.
[00:21:32.000 --> 00:21:42.000]   One of the things you want to be careful of is you want to be careful not to incur personal debt that you're paying interest on in your personal life because now that becomes non-deductible.
[00:21:42.000 --> 00:21:58.000]   So one of the strategies that I have frequently recommended to people, if you have a credit card balance and you sit down and you're trying to figure out how do I make sure that I pay this off, one thing that many people could do is just take out a new credit card that offers a 0% introductory rate on purchases.
[00:21:58.000 --> 00:22:12.000]   And a very effective way of paying off another credit card and effectively refinancing it is you apply for a new card that offers a 0% introductory purchase period on it and you use that new card to pay for your groceries.
[00:22:12.000 --> 00:22:21.000]   You use that new card to pay for your gas and for any other personal expenses. And you take all the money that you were spending on those normal expenses in your life and you put it towards the high interest rate debt.
[00:22:21.000 --> 00:22:28.000]   Those 0% introductory purchase period cards are the easiest ones to get. And so that's a very effective strategy for many people.
[00:22:28.000 --> 00:22:44.000]   But here you face a problem because if you aren't able to pay down that new card that's been issued in your personal name and if you're not able to keep it at a low rate and you start to incur interest expenses, now you will lose the legal deductibility of your interest.
[00:22:44.000 --> 00:22:54.000]   Because instead of saying, "Look, these expenses were for business and the interest is thus a business related debt," now it's clear that your groceries and your gas are related to your personal expenses.
[00:22:54.000 --> 00:22:57.000]   So this is something you have to be very careful of. Agreed?
[00:22:57.000 --> 00:23:01.000]   Yeah, I mean, basically like co-mingling of funds kind of.
[00:23:01.000 --> 00:23:02.000]   Exactly.
[00:23:02.000 --> 00:23:06.000]   Making it harder for me to write off that interest every month.
[00:23:06.000 --> 00:23:12.000]   Exactly. So you want to keep it separated. And this is a challenge for you as a business owner.
[00:23:12.000 --> 00:23:20.000]   It's not that you couldn't use a personal credit card that was issued under your social security number. You could. But it would have to be for business expenses.
[00:23:20.000 --> 00:23:32.000]   And it's my understanding of the tax code that if you were alleging that, "Hey, look, these groceries and such are business expenses," and if you're found under audit, that deduction for the business interest would be disallowed for that.
[00:23:32.000 --> 00:23:43.000]   Now let's go to liability. Because this debt has been issued in a separate tax ID number, separate from your social security number, that buys you an additional measure of safety.
[00:23:43.000 --> 00:23:50.000]   So if you default on this debt, you said that there is no connection to your personal credit report. Is that correct?
[00:23:50.000 --> 00:23:52.000]   Right.
[00:23:52.000 --> 00:24:06.000]   Okay. So if you default on this debt, your business goes bankrupt, you declare bankruptcy, you can't pay the credit card, you have the luxury of this not being connected to your personal credit, which is good.
[00:24:06.000 --> 00:24:16.000]   And you would want to be very careful before you create additional liability for yourself on your own personal credit profile.
[00:24:16.000 --> 00:24:26.000]   Now, it may be worth it in order to save substantial amounts of money, but you would want to be very careful before you set that liability and move it over to your personal liability.
[00:24:26.000 --> 00:24:32.000]   So I don't know what you should do, but I would say these three things would be my guiding point.
[00:24:32.000 --> 00:24:42.000]   Number one, if you can refinance the debt to a lower interest debt, you should, because there's no reason not to.
[00:24:42.000 --> 00:24:55.000]   And the way of doing that would be to apply for a new – the simplest way, apply for a new credit card or apply for additional credit cards under the identification of your business credit.
[00:24:55.000 --> 00:25:07.000]   And if you can apply for a balance transfer card, then go ahead and get a balance transfer card at a reasonable rate, a low interest rate and a low balance transfer fee if possible.
[00:25:07.000 --> 00:25:17.000]   If you can apply for a new 0% card, then use that new 0% card for more business expenses and then move some of your cash flow over to paying off that other card.
[00:25:17.000 --> 00:25:27.000]   So if you can lower your interest, you should. I would not lose the deductibility of that interest.
[00:25:27.000 --> 00:25:36.000]   I would be very careful not to build and put it over to my personal expenses so that I could keep the deductibility and I would be very careful about creating additional legal liability for me.
[00:25:36.000 --> 00:25:41.000]   So what I would be more inclined to do is first pursue credit cards.
[00:25:41.000 --> 00:25:48.000]   Second, if you can't pursue credit cards, pursue some other form of business loan, something that is still on the business books but it is a lower rate.
[00:25:48.000 --> 00:26:00.000]   Apply for a business loan with the local credit union, try to refinance that debt at some lower rate and/or possibly investigate some kind of personal loan to the business by somebody who would accept that.
[00:26:00.000 --> 00:26:09.000]   And try to renegotiate it, get more credit card debt available, but I would try to keep that separation between my person and my business.
[00:26:09.000 --> 00:26:11.000]   Go and review...
[00:26:11.000 --> 00:26:13.000]   Yeah, go ahead.
[00:26:13.000 --> 00:26:15.000]   Please go ahead and ask your question while I look up a resource for you.
[00:26:15.000 --> 00:26:23.000]   What's the difference between a regular business card and a business... or a regular credit card and a business credit card?
[00:26:23.000 --> 00:26:27.000]   It's based upon what credit profile it's issued to.
[00:26:27.000 --> 00:26:41.000]   Okay, like if I go to a certain credit card company and they have a business card and a personal card, if I do the business card it's not really that much different, it's just that I'm assigning it to my business tax ID.
[00:26:41.000 --> 00:26:59.000]   Right, so Mike, I'm not aware of any significant difference between something like what's labeled a business card versus a personal card in the sense that compare a business checking account to a personal checking account.
[00:26:59.000 --> 00:27:06.000]   They function very similarly, it's just the business account is going to say, "We give you more transactions per month," things like that.
[00:27:06.000 --> 00:27:14.000]   What I'm most concerned with on whose credit profile was this credit card underwritten?
[00:27:14.000 --> 00:27:23.000]   And if it's underwritten on the basis of your business credit profile, then that means it's done based upon your business tax ID number, not on your personal social security number.
[00:27:23.000 --> 00:27:25.000]   And that's what I want to keep the difference from.
[00:27:25.000 --> 00:27:27.000]   Right. Gotcha.
[00:27:27.000 --> 00:27:28.000]   Okay.
[00:27:28.000 --> 00:27:29.000]   Okay.
[00:27:29.000 --> 00:27:30.000]   I did an episode…
[00:27:30.000 --> 00:27:42.000]   And I guess the only other issue that I think I might run into is if I get a balance transfer card, they may not give me a balance big enough to absorb my current card.
[00:27:42.000 --> 00:27:43.000]   Of course.
[00:27:43.000 --> 00:27:48.000]   And so that's kind of, then I'm going to have two cards and both are going to be carrying balances.
[00:27:48.000 --> 00:27:56.000]   Yeah, and for that, what I'd recommend, go ahead and buy my course when it launches next week and check out kind of the guide that I'll give you through that.
