
[00:00:00.000 --> 00:00:03.000]   Who's your REALTOR®?
[00:01:41.000 --> 00:01:44.000]   for Friday, June 21, 2024.
[00:01:44.000 --> 00:01:47.000]   Live Q&A. Call in. Talk about anything that you like.
[00:01:47.000 --> 00:01:51.000]   [MUSIC]
[00:01:51.000 --> 00:01:53.000]   We'll get the timing back on track here in a moment.
[00:01:53.000 --> 00:01:55.000]   If you're new, welcome to Radical Personal Finance.
[00:01:55.000 --> 00:01:57.000]   Welcome here at Radical Personal Finance, each and every Friday
[00:01:57.000 --> 00:02:00.000]   in which I can arrange a microphone and everything else needed to record
[00:02:00.000 --> 00:02:02.000]   a microphone and people to ask questions and make comments.
[00:02:02.000 --> 00:02:04.000]   I record a live Q&A show.
[00:02:04.000 --> 00:02:06.000]   You can join one of these Q&A shows by going to
[00:02:06.000 --> 00:02:08.000]   patreon.com/radicalpersonalfinance.
[00:02:08.000 --> 00:02:11.000]   Patreon.com/radicalpersonalfinance.
[00:02:11.000 --> 00:02:14.000]   Sign up to support the show on Patreon, and that will gain access for you
[00:02:14.000 --> 00:02:17.000]   to one of these live Q&A shows where you can ask any question
[00:02:17.000 --> 00:02:20.000]   that you want to ask, discuss any topic that you want to discuss,
[00:02:20.000 --> 00:02:22.000]   raise any objections, make any comments.
[00:02:22.000 --> 00:02:24.000]   It's completely open to you.
[00:02:24.000 --> 00:02:26.000]   You get to set the entire agenda.
[00:02:26.000 --> 00:02:28.000]   We begin with Marcus in Virginia.
[00:02:28.000 --> 00:02:31.000]   Welcome to the show. How can I serve you today?
[00:02:31.000 --> 00:02:33.000]   Hi. Thank you for having me.
[00:02:33.000 --> 00:02:35.000]   It's great to be on your show.
[00:02:35.000 --> 00:02:39.000]   I wanted to start off with a personal question.
[00:02:39.000 --> 00:02:44.000]   I recently sold all my rental property real estate
[00:02:44.000 --> 00:02:48.000]   and was looking for an investment suggestion from you
[00:02:48.000 --> 00:02:50.000]   on where I should put--
[00:02:50.000 --> 00:02:54.000]   got a total I should have about $100,000.
[00:02:54.000 --> 00:02:59.000]   The real estate market is not looking good to upgrade in.
[00:02:59.000 --> 00:03:03.000]   So I wanted to know personally what other investments
[00:03:03.000 --> 00:03:09.000]   that you may have uncovered or suggest I put that $100,000 into.
[00:03:09.000 --> 00:03:14.000]   What are you investing for? What are you hoping to accomplish?
[00:03:14.000 --> 00:03:22.000]   I'm hoping to invest, increase, and gain monthly cash flow.
[00:03:22.000 --> 00:03:24.000]   I'm looking to invest in cash flow.
[00:03:24.000 --> 00:03:29.000]   I was recently considering investing in a barber shop.
[00:03:29.000 --> 00:03:32.000]   My current barber, he owns a business
[00:03:32.000 --> 00:03:35.000]   and was looking to start open a second location
[00:03:35.000 --> 00:03:39.000]   and add an additional schooling element to his barber shop
[00:03:39.000 --> 00:03:43.000]   so he can teach future barbers for the area here in Virginia.
[00:03:43.000 --> 00:03:45.000]   So I was looking to talk--
[00:03:45.000 --> 00:03:48.000]   I have a scheduled appointment with him and his wife this Sunday
[00:03:48.000 --> 00:03:51.000]   to talk about investing in that with the money
[00:03:51.000 --> 00:03:59.000]   and buying equity and income, generate income from that,
[00:03:59.000 --> 00:04:01.000]   and a few other ideas.
[00:04:01.000 --> 00:04:04.000]   There's a car wash down in Atlanta, Georgia
[00:04:04.000 --> 00:04:08.000]   that's looking for some equity investors.
[00:04:08.000 --> 00:04:12.000]   The duration of the investment, about three years.
[00:04:12.000 --> 00:04:14.000]   If you give--so they give a baseline.
[00:04:14.000 --> 00:04:16.000]   They're going to 1.5x your money.
[00:04:16.000 --> 00:04:18.000]   So if you give them $15,000,
[00:04:18.000 --> 00:04:21.000]   they're going to turn that into $22,000, $25,000
[00:04:21.000 --> 00:04:24.000]   over the course of three years when they sell a car wash
[00:04:24.000 --> 00:04:29.000]   to a known business that buys up car washes in the U.S. market.
[00:04:29.000 --> 00:04:30.000]   So looking at different things.
[00:04:30.000 --> 00:04:32.000]   Didn't know if you had anything that you found,
[00:04:32.000 --> 00:04:35.000]   but just trying to figure out what to do with that money
[00:04:35.000 --> 00:04:38.000]   to produce cash flow for myself.
[00:04:38.000 --> 00:04:41.000]   What are you living on?
[00:04:41.000 --> 00:04:46.000]   I'm a disabled veteran, and I am also self-employed.
[00:04:46.000 --> 00:04:48.000]   So I do medical carrier work.
[00:04:48.000 --> 00:04:52.000]   So I deliver pharmaceutical products, prescriptions,
[00:04:52.000 --> 00:04:54.000]   COVID test specimens, lab equipment,
[00:04:54.000 --> 00:04:57.000]   lab specimens throughout the--this area in Virginia
[00:04:57.000 --> 00:05:03.000]   has a very big presence with medical, big hospitals,
[00:05:03.000 --> 00:05:06.000]   home health care facilities, a lot of that.
[00:05:06.000 --> 00:05:11.000]   So I do that for myself, and then I'm a disabled veteran,
[00:05:11.000 --> 00:05:15.000]   so I receive a monthly stipend from the military
[00:05:15.000 --> 00:05:17.000]   until the day I die.
[00:05:17.000 --> 00:05:20.000]   Would you yourself be willing to work in a business
[00:05:20.000 --> 00:05:22.000]   that you invest into?
[00:05:22.000 --> 00:05:24.000]   Absolutely.
[00:05:24.000 --> 00:05:26.000]   Well, I like the direction you're going.
[00:05:26.000 --> 00:05:29.000]   If you have $100,000 of capital,
[00:05:29.000 --> 00:05:32.000]   and your goal is to invest for monthly cash flow,
[00:05:32.000 --> 00:05:37.000]   it's hard to come up with any better possible investment
[00:05:37.000 --> 00:05:42.000]   than some form of business that you yourself work in,
[00:05:42.000 --> 00:05:45.000]   operate, and grow.
[00:05:45.000 --> 00:05:48.000]   It's not unreasonable to expect that you could turn
[00:05:48.000 --> 00:05:53.000]   your $100,000 of capital into a business that could get you
[00:05:53.000 --> 00:05:57.000]   $10,000 a month of cash flow or much, much more.
[00:05:57.000 --> 00:05:59.000]   That's not in any way unreasonable.
[00:05:59.000 --> 00:06:02.000]   Now, the reason it's not unreasonable, though,
[00:06:02.000 --> 00:06:05.000]   is we're kind of folding in the idea that you're working
[00:06:05.000 --> 00:06:08.000]   in the business because that's where you have the ability
[00:06:08.000 --> 00:06:14.000]   to then change the business to its maximum amount.
[00:06:14.000 --> 00:06:17.000]   And so if you just want to create cash flow,
[00:06:17.000 --> 00:06:19.000]   and that's your investment objective,
[00:06:19.000 --> 00:06:23.000]   then that's going to be the highest potential return
[00:06:23.000 --> 00:06:27.000]   is going to come from your investing into a business,
[00:06:27.000 --> 00:06:29.000]   especially one that you work in.
[00:06:29.000 --> 00:06:32.000]   So I would encourage you to think about the attributes
[00:06:32.000 --> 00:06:35.000]   of that kind of business and then go out
[00:06:35.000 --> 00:06:37.000]   and look at the opportunities that are in the marketplace.
[00:06:37.000 --> 00:06:40.000]   Now, let me give you just a quick précis on a few
[00:06:40.000 --> 00:06:42.000]   of the things that I'm pointing out, though.
[00:06:42.000 --> 00:06:46.000]   Notice I said the business that you yourself work in.
[00:06:46.000 --> 00:06:50.000]   If you're purely engaging in some form of passive investment
[00:06:50.000 --> 00:06:53.000]   where you're going to advance money into a business
[00:06:53.000 --> 00:06:55.000]   that someone else is going to work in,
[00:06:55.000 --> 00:06:59.000]   you're going to have a much lower potential cash flow.
[00:06:59.000 --> 00:07:01.000]   The barbershop and car wash opportunity
[00:07:01.000 --> 00:07:04.000]   both match that description.
[00:07:04.000 --> 00:07:07.000]   They just want your money, and they're going to take it
[00:07:07.000 --> 00:07:09.000]   and go from there.
[00:07:09.000 --> 00:07:12.000]   That may be a very reasonable thing to do.
[00:07:12.000 --> 00:07:14.000]   So I'm not saying it's a bad idea.
[00:07:14.000 --> 00:07:17.000]   I'm trying to help you categorize it in your own mind
[00:07:17.000 --> 00:07:20.000]   so you understand what your options are.
[00:07:20.000 --> 00:07:23.000]   So think about, first of all, am I investing into a business
[00:07:23.000 --> 00:07:26.000]   as a passive investment, just a pure money man?
[00:07:26.000 --> 00:07:28.000]   And if so, I'm going to be getting
[00:07:28.000 --> 00:07:30.000]   a marginal rate of return.
[00:07:30.000 --> 00:07:32.000]   I'm going to be getting something like a dividend yield
[00:07:32.000 --> 00:07:35.000]   on my money, which for $100,000 is going to be
[00:07:35.000 --> 00:07:39.000]   the very, very slow way towards your goal.
[00:07:39.000 --> 00:07:42.000]   If you're investing into something like the car wash business,
[00:07:42.000 --> 00:07:45.000]   then your $100,000 makes you just a minor investor,
[00:07:45.000 --> 00:07:47.000]   which again, they might indeed deliver
[00:07:47.000 --> 00:07:50.000]   on your 1.5x growth on your money,
[00:07:50.000 --> 00:07:53.000]   but it's just going to be a relatively small amount.
[00:07:53.000 --> 00:07:55.000]   So the question comes down to,
[00:07:55.000 --> 00:07:57.000]   are you willing to work in the business?
[00:07:57.000 --> 00:08:00.000]   And if you are, then you can derive your compensation.
[00:08:00.000 --> 00:08:03.000]   Of course, some of it would be the equivalent of a salary,
[00:08:03.000 --> 00:08:05.000]   but it's going to be where you have the most control,
[00:08:05.000 --> 00:08:08.000]   the most impact, probably the most safety,
[00:08:08.000 --> 00:08:11.000]   and yet ultimately in the fullness of time,
[00:08:11.000 --> 00:08:13.000]   the largest opportunity.
[00:08:13.000 --> 00:08:16.000]   So what I would suggest is that you think about
[00:08:16.000 --> 00:08:19.000]   that type of structure,
[00:08:19.000 --> 00:08:23.000]   see if it fits with your overall willingness,
[00:08:23.000 --> 00:08:25.000]   and then look around within your experience
[00:08:25.000 --> 00:08:27.000]   and within your network at the kinds of businesses
[00:08:27.000 --> 00:08:31.000]   that other people operate that match that.
[00:08:31.000 --> 00:08:34.000]   And so look at your medical delivery business
[00:08:34.000 --> 00:08:37.000]   and ask yourself, "Well, is there a way that I could expand this?"
[00:08:37.000 --> 00:08:40.000]   And this could be the business, because after all, I know this,
[00:08:40.000 --> 00:08:43.000]   and put the money into this effectively.
[00:08:43.000 --> 00:08:46.000]   But on literally every corner, everywhere you go,
[00:08:46.000 --> 00:08:49.000]   you'll find businesses that you could invest in.
[00:08:49.000 --> 00:08:53.000]   I can't go further to give you a specific suggestion.
[00:08:53.000 --> 00:08:56.000]   I would encourage you to go and look at some of the franchise directories,
[00:08:56.000 --> 00:08:58.000]   read some of the franchise opportunities,
[00:08:58.000 --> 00:09:03.000]   because you're very well positioned to start with a new franchise.
[00:09:03.000 --> 00:09:05.000]   And if you start with a new franchise,
[00:09:05.000 --> 00:09:08.000]   your franchisor will probably give you the information that you need
[00:09:08.000 --> 00:09:10.000]   of how much is needed for a franchise fee,
[00:09:10.000 --> 00:09:12.000]   what the cash flow would be,
[00:09:12.000 --> 00:09:15.000]   what the kind of business structure would be
[00:09:15.000 --> 00:09:17.000]   of every business that you're thinking about getting into.
[00:09:17.000 --> 00:09:19.000]   On the whole, that's the direction I would go
[00:09:19.000 --> 00:09:23.000]   looking for investment opportunities.
[00:09:23.000 --> 00:09:24.000]   Thank you, Joshua.
[00:09:24.000 --> 00:09:26.000]   I did reach out to a franchise broker.
[00:09:26.000 --> 00:09:30.000]   He sent me a list of 10 franchises that have a high propensity
[00:09:30.000 --> 00:09:32.000]   to do well in my area.
[00:09:32.000 --> 00:09:36.000]   And the two that I selected, that stood out to me,
[00:09:36.000 --> 00:09:41.000]   were a home health care franchise and a mental health franchise,
[00:09:41.000 --> 00:09:51.000]   both with a startup cost of less than $50K to $150K startup cost.
[00:09:51.000 --> 00:09:55.000]   So those were two other opportunities that I was looking at
[00:09:55.000 --> 00:10:02.000]   in addition to the car wash and the barbershop with the school.
[00:10:02.000 --> 00:10:07.000]   So yes, I have looked into the franchise opportunity as well.
[00:10:07.000 --> 00:10:11.000]   And let's assume that you invested the $150,000
[00:10:11.000 --> 00:10:16.000]   into one of those opportunities that the broker suggested to you.
[00:10:16.000 --> 00:10:21.000]   What would be the expected profit on one of those kinds of opportunities,
[00:10:21.000 --> 00:10:24.000]   assuming normal results, within a few years?
[00:10:24.000 --> 00:10:28.000]   What would you guess the cash flow would be?
[00:10:28.000 --> 00:10:36.000]   I would guess the cash flow would be about $15,000 to $22,000 a month.
[00:10:36.000 --> 00:10:42.000]   I've also confirmed that with a young lady who owns her own practice,
[00:10:42.000 --> 00:10:48.000]   and she said that's what she makes in her mental health practice.
[00:10:48.000 --> 00:10:52.000]   That's what they're bringing in monthly is about $22,000 a month
[00:10:52.000 --> 00:10:55.000]   with their mental health practice, and they're all remote.
[00:10:55.000 --> 00:11:02.000]   They use interns, a lot of interns, and their costs are very, very low.
[00:11:02.000 --> 00:11:05.000]   So you can see the point that I'm making,
[00:11:05.000 --> 00:11:09.000]   that if your investment goal is cash flow, you're in the right direction.
[00:11:09.000 --> 00:11:12.000]   I wouldn't be comfortable making comments beyond what I've said
[00:11:12.000 --> 00:11:14.000]   in terms of any particular opportunity,
[00:11:14.000 --> 00:11:16.000]   but I think you're looking in the right direction
[00:11:16.000 --> 00:11:18.000]   and moving in exactly the right direction.
[00:11:18.000 --> 00:11:20.000]   So look around your area.
[00:11:20.000 --> 00:11:22.000]   Keep thinking about what might work well.
[00:11:22.000 --> 00:11:24.000]   Consider this franchise broker.
[00:11:24.000 --> 00:11:26.000]   Maybe consider another 10 from another franchise broker.
[00:11:26.000 --> 00:11:30.000]   Do good due diligence in interviewing other people who are involved in this.
[00:11:30.000 --> 00:11:35.000]   Think about where the franchise agreement puts you in three years, five years.
[00:11:35.000 --> 00:11:40.000]   But if those things fit your vision, I think you'd be very well served
[00:11:40.000 --> 00:11:43.000]   with one of those opportunities.
[00:11:43.000 --> 00:11:44.000]   So go for it.
[00:11:44.000 --> 00:11:46.000]   We move to Nathan in Florida.
[00:11:46.000 --> 00:11:47.000]   Welcome to the show.
[00:11:47.000 --> 00:11:50.000]   How can I serve you today?
[00:11:50.000 --> 00:11:51.000]   Hi, Josh.
[00:11:51.000 --> 00:11:52.000]   I'm making sure I'm unmuted.
[00:11:52.000 --> 00:11:53.000]   Can you hear me?
[00:11:53.000 --> 00:11:54.000]   Sounds good.
[00:11:54.000 --> 00:11:55.000]   Go ahead.
[00:11:55.000 --> 00:11:56.000]   Okay, great.
[00:11:56.000 --> 00:11:59.000]   Hey, this is hopefully an easy lifestyle-related question.
[00:11:59.000 --> 00:12:03.000]   Exploration is a key part of our family culture,
[00:12:03.000 --> 00:12:07.000]   and we live in the Mid-South, so we do a lot of road tripping.
[00:12:07.000 --> 00:12:12.000]   I've heard you talk off and on about overlanding or things like that.
[00:12:12.000 --> 00:12:15.000]   So just looking at refining our setup,
[00:12:15.000 --> 00:12:20.000]   we typically spend probably 10 to 15 nights a year ground camping.
[00:12:20.000 --> 00:12:23.000]   So our typical setup is kind of a suburban.
[00:12:23.000 --> 00:12:30.000]   Usually got six bikes and then like a kayak and stand-up paddleboard.
[00:12:30.000 --> 00:12:38.000]   But the interior volume is still really tight, and it may be marketing,
[00:12:38.000 --> 00:12:43.000]   but the overland setups look slick, and they add a lot of creature comforts.
[00:12:43.000 --> 00:12:45.000]   So looking for how to keep doing that
[00:12:45.000 --> 00:12:49.000]   and kind of reduce the friction when we say, "Hey, let's go out
[00:12:49.000 --> 00:12:53.000]   and check out this place and spend a week."
[00:12:53.000 --> 00:12:57.000]   We don't truly need like hardcore overland off-grid,
[00:12:57.000 --> 00:13:02.000]   kind of like Earth Roamer extended time off the grid.
[00:13:02.000 --> 00:13:03.000]   But yeah, just curious.
[00:13:03.000 --> 00:13:04.000]   I know you've looked around,
[00:13:04.000 --> 00:13:08.000]   and I've heard you talk about fewer vehicles is better.
[00:13:08.000 --> 00:13:10.000]   So curious what your thoughts are.
[00:13:10.000 --> 00:13:12.000]   When you say interior volume,
[00:13:12.000 --> 00:13:15.000]   are you referring to the interior volume of your suburban?
[00:13:15.000 --> 00:13:16.000]   Yeah.
[00:13:16.000 --> 00:13:17.000]   Okay.
[00:13:17.000 --> 00:13:20.000]   And you're traveling as a family of six, two adults, four children?
[00:13:20.000 --> 00:13:21.000]   Correct.
[00:13:21.000 --> 00:13:22.000]   Yeah.
[00:13:22.000 --> 00:13:26.000]   Kids are, let's see, 12, 10, 6, and 5.
[00:13:26.000 --> 00:13:28.000]   So they're gradually getting bigger,
[00:13:28.000 --> 00:13:32.000]   and bikes that I can currently put in the trunk
[00:13:32.000 --> 00:13:35.000]   are starting to need rack space on the back.
[00:13:35.000 --> 00:13:36.000]   Yeah.
[00:13:36.000 --> 00:13:37.000]   If I woke up in your shoes, I'd keep the suburban.
[00:13:37.000 --> 00:13:40.000]   I'd just add a trailer or a small cargo trailer
[00:13:40.000 --> 00:13:43.000]   of a couple different potential varieties.
[00:13:43.000 --> 00:13:44.000]   Have you tried pulling a trailer?
[00:13:44.000 --> 00:13:46.000]   See how that works for you?
[00:13:46.000 --> 00:13:50.000]   Not for camping in particular.
[00:13:50.000 --> 00:13:52.000]   We have pulled trailers before,
[00:13:52.000 --> 00:13:55.000]   so I've been curious about whether it's a toy hauler
[00:13:55.000 --> 00:14:00.000]   or a purely cargo or a teardrop, things like that.
[00:14:00.000 --> 00:14:01.000]   When you say trailer,
[00:14:01.000 --> 00:14:03.000]   are you thinking mainly of cargo for the stuff?
[00:14:03.000 --> 00:14:04.000]   Yeah.
[00:14:04.000 --> 00:14:05.000]   So there would be two directions
[00:14:05.000 --> 00:14:07.000]   that I think would probably solve what you're trying.
[00:14:07.000 --> 00:14:11.000]   So if you're going out for maximum a couple weeks,
[00:14:11.000 --> 00:14:13.000]   I don't think there's any reason at all
[00:14:13.000 --> 00:14:18.000]   to consider going with a large structured trailer
[00:14:18.000 --> 00:14:21.000]   that you live in.
[00:14:21.000 --> 00:14:22.000]   When I was younger,
[00:14:22.000 --> 00:14:25.000]   my dad bought a cheap old pop-up camper
[00:14:25.000 --> 00:14:28.000]   that we took back and forth across the United States.
[00:14:28.000 --> 00:14:30.000]   And there wasn't enough room in the pop-up camper
[00:14:30.000 --> 00:14:31.000]   for the whole family,
[00:14:31.000 --> 00:14:34.000]   so the boys always got stuck in a cheap tent on the ground.
[00:14:34.000 --> 00:14:35.000]   And for whatever reason,
[00:14:35.000 --> 00:14:37.000]   I guess waking up with a wet sleeping bag
[00:14:37.000 --> 00:14:40.000]   due to rain and inundation enough times,
[00:14:40.000 --> 00:14:42.000]   I grew to really get annoyed with that.
[00:14:42.000 --> 00:14:43.000]   And I would look across the campground
[00:14:43.000 --> 00:14:46.000]   and I would see these big giant vehicles
[00:14:46.000 --> 00:14:48.000]   of big huge travel trailers
[00:14:48.000 --> 00:14:50.000]   and I would just dream someday
[00:14:50.000 --> 00:14:53.000]   I could sleep in comfort in a travel trailer
[00:14:53.000 --> 00:14:55.000]   and have air conditioning.
[00:14:55.000 --> 00:14:56.000]   And when it rains,
[00:14:56.000 --> 00:14:58.000]   I wouldn't get wet and wake up wet.
[00:14:58.000 --> 00:14:59.000]   So I dreamed of that.
[00:14:59.000 --> 00:15:01.000]   Well, I fulfilled my dream.
[00:15:01.000 --> 00:15:05.000]   And one of the things that I learned was,
[00:15:05.000 --> 00:15:06.000]   wait a second,
[00:15:06.000 --> 00:15:08.000]   going around the world with a travel trailer
[00:15:08.000 --> 00:15:09.000]   is an enormous hassle.
[00:15:09.000 --> 00:15:13.000]   And I'm a very good trailer driver.
[00:15:13.000 --> 00:15:15.000]   I'm very good at backing a big trailer
[00:15:15.000 --> 00:15:17.000]   into a tight space.
[00:15:17.000 --> 00:15:19.000]   Traveling with a big trailer adds,
[00:15:19.000 --> 00:15:20.000]   and I like driving big vehicles.
[00:15:20.000 --> 00:15:21.000]   I've driven big vehicles,
[00:15:21.000 --> 00:15:23.000]   big trucks, big trailers my whole life.
[00:15:23.000 --> 00:15:25.000]   It doesn't bother me.
[00:15:25.000 --> 00:15:30.000]   But it adds a whole different set of friction to your life
[00:15:30.000 --> 00:15:32.000]   where it makes it super annoying
[00:15:32.000 --> 00:15:35.000]   to constantly have this huge vehicle.
[00:15:35.000 --> 00:15:38.000]   So having done that,
[00:15:38.000 --> 00:15:41.000]   I have learned that I would only do that again
[00:15:41.000 --> 00:15:44.000]   if I needed a vehicle to live in.
[00:15:44.000 --> 00:15:46.000]   So if you're going across the United States
[00:15:46.000 --> 00:15:49.000]   for a year with your four young children
[00:15:49.000 --> 00:15:52.000]   and you're gonna be full-time on the road for a year,
[00:15:52.000 --> 00:15:55.000]   I would unquestionably recommend
[00:15:55.000 --> 00:15:58.000]   a full-sized travel trailer or fifth wheel
[00:15:58.000 --> 00:16:00.000]   or some kind of large RV
[00:16:00.000 --> 00:16:02.000]   that you're going to live in
[00:16:02.000 --> 00:16:04.000]   because you're on the road for so long
[00:16:04.000 --> 00:16:06.000]   that you need that comfort.
[00:16:06.000 --> 00:16:07.000]   You need the security.
[00:16:07.000 --> 00:16:08.000]   You need the comfort, things like that.
[00:16:08.000 --> 00:16:10.000]   If you're traveling a lot,
[00:16:10.000 --> 00:16:13.000]   you go with those options for the comfort.
[00:16:13.000 --> 00:16:15.000]   The problem is if you yourself go to that,
[00:16:15.000 --> 00:16:16.000]   you're not gonna use it.
[00:16:16.000 --> 00:16:17.000]   You don't need it.
[00:16:17.000 --> 00:16:19.000]   And you lose a whole lot of adventure
[00:16:19.000 --> 00:16:21.000]   that's currently available to you.
[00:16:21.000 --> 00:16:23.000]   You would lose a whole lot of flexibility
[00:16:23.000 --> 00:16:24.000]   that's available to you
[00:16:24.000 --> 00:16:26.000]   by being relatively lightweight.
[00:16:26.000 --> 00:16:28.000]   And for what?
[00:16:28.000 --> 00:16:30.000]   You don't gain anything from it.
[00:16:30.000 --> 00:16:31.000]   You wanna be outside.
[00:16:31.000 --> 00:16:35.000]   When you're camping for up to 15 nights a year,
[00:16:35.000 --> 00:16:36.000]   then you wanna be outside.
[00:16:36.000 --> 00:16:37.000]   You wanna be in the elements.
[00:16:37.000 --> 00:16:39.000]   And if you have a rainy night
[00:16:39.000 --> 00:16:41.000]   or the weather is really terrible
[00:16:41.000 --> 00:16:42.000]   and you're in that situation,
[00:16:42.000 --> 00:16:44.000]   then you just bail on the campground,
[00:16:44.000 --> 00:16:46.000]   go rent a place at a hotel with an indoor pool
[00:16:46.000 --> 00:16:48.000]   and go stay there for a couple nights.
[00:16:48.000 --> 00:16:50.000]   And that's infinitely cheaper
[00:16:50.000 --> 00:16:52.000]   than going with a travel trailer.
[00:16:52.000 --> 00:16:54.000]   So if I woke up in your shoes
[00:16:54.000 --> 00:16:55.000]   from what you're describing,
[00:16:55.000 --> 00:16:57.000]   I would keep the Suburban,
[00:16:57.000 --> 00:16:59.000]   but I would just add a small trailer.
[00:16:59.000 --> 00:17:02.000]   And there'd be two ways to go about it.
[00:17:02.000 --> 00:17:04.000]   Way number one, which would be super simple,
[00:17:04.000 --> 00:17:07.000]   would just be to add a small cargo trailer.
[00:17:07.000 --> 00:17:09.000]   I'm picturing maybe an eight foot trailer
[00:17:09.000 --> 00:17:11.000]   and not full width,
[00:17:11.000 --> 00:17:13.000]   but keep it as like a six foot width,
[00:17:13.000 --> 00:17:14.000]   eight feet long,
[00:17:14.000 --> 00:17:16.000]   something single axle
[00:17:16.000 --> 00:17:18.000]   or a very small double axle,
[00:17:18.000 --> 00:17:21.000]   just for the confidence of having the double axles,
[00:17:21.000 --> 00:17:23.000]   but keep it small and narrow.
[00:17:23.000 --> 00:17:24.000]   And that way you have a place
[00:17:24.000 --> 00:17:25.000]   where you can put your bikes,
[00:17:25.000 --> 00:17:26.000]   you can put everything
[00:17:26.000 --> 00:17:28.000]   that's currently inside of the Suburban
[00:17:28.000 --> 00:17:29.000]   into the trailer,
[00:17:29.000 --> 00:17:31.000]   but you have a trailer that tows really easily,
[00:17:31.000 --> 00:17:32.000]   backs really easily,
[00:17:32.000 --> 00:17:35.000]   is really simple to put in and out of a campsite
[00:17:35.000 --> 00:17:38.000]   and you just keep all of your current stuff
[00:17:38.000 --> 00:17:39.000]   set up with it.
[00:17:39.000 --> 00:17:43.000]   And if you're not doing hardcore backwoods travel,
[00:17:43.000 --> 00:17:45.000]   then that can work out fine.
[00:17:45.000 --> 00:17:46.000]   If you are doing,
[00:17:46.000 --> 00:17:48.000]   meaning you can take that
[00:17:48.000 --> 00:17:49.000]   on plenty of dirt roads,
[00:17:49.000 --> 00:17:50.000]   no issues,
[00:17:50.000 --> 00:17:52.000]   put some good 10 ply tires on it
[00:17:52.000 --> 00:17:53.000]   and you can go down
[00:17:53.000 --> 00:17:55.000]   all the back roads that you want.
[00:17:55.000 --> 00:17:57.000]   If you need to genuinely go off road
[00:17:57.000 --> 00:17:58.000]   on some kind of trails,
[00:17:58.000 --> 00:18:00.000]   then you may be able to flip the axles
[00:18:00.000 --> 00:18:02.000]   or put a small lift on it,
[00:18:02.000 --> 00:18:03.000]   something like that
[00:18:03.000 --> 00:18:05.000]   and have something that could handle
[00:18:05.000 --> 00:18:08.000]   a little bit more off-road trails,
[00:18:08.000 --> 00:18:09.000]   but that just empties out
[00:18:09.000 --> 00:18:11.000]   your driving vehicle,
[00:18:11.000 --> 00:18:12.000]   keeps you very nimble,
[00:18:12.000 --> 00:18:13.000]   very lightweight,
[00:18:13.000 --> 00:18:14.000]   super easy,
[00:18:14.000 --> 00:18:17.000]   but you just keep your current ground tent set up.
[00:18:17.000 --> 00:18:19.000]   The second version would be
[00:18:19.000 --> 00:18:22.000]   if you're genuinely going onto off-road trails
[00:18:22.000 --> 00:18:25.000]   and you really need off-road capacity,
[00:18:25.000 --> 00:18:27.000]   then I would consider investing
[00:18:27.000 --> 00:18:30.000]   into a purpose-built off-road trailer
[00:18:30.000 --> 00:18:33.000]   and one with large tires,
[00:18:33.000 --> 00:18:34.000]   a lift,
