
[00:00:00.000 --> 00:00:03.540]   That's a great intro. It is I.
[00:07:13.080 --> 00:07:21.000]   Very, very, yeah, that's, that's really, um, I mean, that's the, that's the crux of any, uh, agenda development, uh, enterprises.
[00:07:21.000 --> 00:07:30.480]   Like you have to, you have to, these tools allow you to accelerate a lot and sometimes they allow you to accelerate far past your capability to keep yourself in check.
[00:07:30.480 --> 00:07:39.060]   Um, that's a very common anti-pattern I've seen with developers who are freshly adopting this technology, uh, because it's very exciting to get development.
[00:07:39.420 --> 00:07:43.820]   Um, and it's very exciting to see the speed at which things start to work.
[00:07:43.820 --> 00:08:01.740]   Um, but also like if you're not being extraordinarily deliberate and planning from the outset, uh, to make a code base that works well with AI, then you're just gonna, uh, you're gonna quickly find yourself at a tipping point slash critical mass of spaghetti.
[00:08:02.160 --> 00:08:06.300]   Um, where there's just nothing to do with it and you just gotta scrap it and start again.
[00:08:06.300 --> 00:08:20.940]   My, uh, analogy or the way that I think about this is like most, um, most developers are, uh, are kind of, you know, the, the closest.
[00:08:20.940 --> 00:08:30.480]   I can think it's like a, like a Kung Fu master, but they, they follow a very, a single, a single line of thought, very disciplined, you know?
[00:08:30.480 --> 00:08:36.420]   Um, and like, that's what makes a good code base is a very disciplined, you know, sort of well paved roads all the way throughout.
[00:08:36.420 --> 00:08:41.400]   Whereas, uh, the models know all the techniques instead of just one technique.
[00:08:41.400 --> 00:08:42.740]   And so they mix and match them.
[00:08:42.740 --> 00:08:48.060]   And so they make a spaghetti because they, because to them it is interchangeable.
[00:08:48.060 --> 00:08:56.580]   Um, so that's where the cloud MD files and the, uh, documentation references within the repo come into play for me.
[00:08:56.920 --> 00:09:01.660]   So the cloud MD files are great because they work in like a nested, uh, a nested way.
[00:09:01.660 --> 00:09:09.760]   And so you can include them as low in, uh, the directory structure as their relevance, uh, applies.
[00:09:10.320 --> 00:09:20.440]   So if you've got a module where there's specific rules around like the way that this module works and connects to other modules, you make sure that you've got a cloud MD file file is in that folder.
[00:09:20.440 --> 00:09:24.940]   Well, not just that, but you've got a cloud MD file in that folder.
[00:09:25.200 --> 00:09:42.060]   So I tend to have like a top layer, uh, underscore doc underscore ref folder in which I keep, uh, XML formatted documentation for the entire technology stack, uh, in my, uh, project.
[00:09:42.420 --> 00:09:52.860]   And I have little index files in there that, um, also an accidental format that point to where different components of those technology stacks are noted in there.
[00:09:52.860 --> 00:09:58.980]   And so in the cloud MD files, I have it referenced the index to find where it needs to pull that.
[00:09:59.280 --> 00:10:06.900]   So that way you can like lazy load relevant context without like eating up the context window to search for that context in the first place.
[00:10:06.900 --> 00:10:16.080]   And that greatly reduces context bloat and allows me to, uh, keep task chains running for longer without interruption.
[00:10:16.080 --> 00:10:18.520]   Nice.
[00:10:18.520 --> 00:10:18.960]   Nice.
[00:10:18.960 --> 00:10:23.460]   Let me see if I can pull a code window in here.
[00:10:23.460 --> 00:10:47.940]   Uh, I mean, I must have, yeah, so also just making sure your, your whole workflow is as modular as possible, because like if the, if the, so the less, the less context, the AI needs to be considering to make a productive change, uh, to your code base.
[00:10:48.000 --> 00:10:53.640]   probably better, probably absolutely unequivocally the better outcomes you're going to be getting.
[00:10:53.640 --> 00:11:05.700]   And if you can structure it in a way that you've got like different, uh, tasks that are in, uh, different, uh, modules that may, you could, that can make sense to have like multiple.
[00:11:05.700 --> 00:11:14.120]   Work streams running at one time where they're not going to like actually get all up in each, like with each other in the middle of doing a thing.
[00:11:15.760 --> 00:11:27.740]   So one thing that I've done with another, uh, another repo that sounds a lot like what you're talking about with the, with the, you know, like I have a top level one, but I haven't put one everywhere.
[00:11:28.140 --> 00:11:37.380]   Uh, is with, with windsurf at least I know you can, uh, you can, you can put like a bunch of read me.
[00:11:37.380 --> 00:11:49.200]   You can put a bunch of markdown files in the dot windsurf slash rules directory, and then you can have these different things that are like, okay, this is always on.
[00:11:49.200 --> 00:11:53.220]   Like this is, you know, this has to, this has to be used.
[00:11:53.220 --> 00:11:55.740]   Uh, and wait, wait, wait, how big is that file?
[00:11:55.740 --> 00:11:56.460]   I want to go back to that.
[00:11:56.460 --> 00:11:59.520]   This one, the one that's always on.
[00:11:59.520 --> 00:12:01.620]   There was one that you noted is always on.
[00:12:01.620 --> 00:12:02.460]   Yeah.
[00:12:02.460 --> 00:12:03.220]   This one's always on.
[00:12:03.220 --> 00:12:05.760]   How many lines are we talking here?
[00:12:05.760 --> 00:12:07.860]   I guess it's not huge.
[00:12:07.860 --> 00:12:12.180]   I mean, so this stuff is relevant to every single task.
[00:12:13.680 --> 00:12:23.160]   Uh, I, I believe so at one time, you know, it's, it's probably honest that this, that parts of this could be, uh, could be cleaned up.
[00:12:23.160 --> 00:12:31.440]   Um, you know, but then you can say like, oh, you know, like this one's a great, a lot of useful information in here.
[00:12:31.440 --> 00:12:40.500]   Uh, but then I, I think you can do like a similar thing to, um, like embedding a cloud file in a sub directory that you can tell windsurf, like,
[00:12:40.920 --> 00:12:52.800]   Hey, only if it's, you know, this packages and, and only if it's in this sub directory, then bring up this file, uh, and, and then you'll know what to do.
[00:12:52.800 --> 00:12:58.500]   So that's, that's, that's kind of, that's, that's similar to, to what you're talking about with Claude.
[00:12:58.500 --> 00:13:04.680]   I have not optimized, uh, this particular repository for, for Claude.
[00:13:04.720 --> 00:13:16.220]   I'm trying to get it to rely on reading these files, you know, like as it's, as it's coding to, and, and deciding when to read these files.
[00:13:16.220 --> 00:13:23.140]   So generally when it's, when it's making those efforts of its own accord, it's searching wide almost every time.
[00:13:23.200 --> 00:13:35.320]   Like, and like at least every context window is searching wide a fresh and that search is going to lead to a lot of context rot because also everything that it's looking at in its search for the thing that it needs.
[00:13:35.860 --> 00:13:40.180]   Um, generally speaking, I guess it depends on the exact interactions of the sub agents.
[00:13:40.180 --> 00:13:54.280]   Um, I don't use windsurf very often, so I can't speak authoritatively on, on that specifically, but in my experience with the other tools that I've used, uh, a lot of that context rot, uh, makes its way into your outputs.
[00:13:54.620 --> 00:14:00.680]   Um, and so that, that can be something that sort of just like misdirects it in subtle and obnoxious ways.
[00:14:00.680 --> 00:14:06.800]   Uh, and it's one of the reasons that people end up clearing, uh, like Claude code sessions so frequently.
[00:14:06.800 --> 00:14:08.480]   Mm-hmm, mm-hmm.
[00:14:08.480 --> 00:14:09.360]   Yeah.
[00:14:09.360 --> 00:14:20.220]   I felt like I had read at some point that you can tell Claude code to use sub agents for certain tasks and that it will respect that.
[00:14:20.320 --> 00:14:31.160]   Um, I have not, uh, I guess I have not tried that and seen it and then observed it working, uh, really successfully for me, but I, but I, if you're telling.
[00:14:31.160 --> 00:14:39.820]   For the sub agent workflow, you want to make sure like what you're doing is appropriate for, for sub agents and that like it works as a, as like a work pattern.
[00:14:39.820 --> 00:14:46.720]   So, uh, you, you'd want a multi-layer kind of delegatable tasks.
[00:14:46.720 --> 00:14:56.320]   So say you have, you're planning out your project and you've got it into like this series of, of well-contained actionable tasks.
[00:14:56.320 --> 00:15:07.340]   You can tell Claude code to spin off a sub agent, uh, for each of these tasks, uh, serially, uh, if they're not parallel processable and then each.
[00:15:07.340 --> 00:15:12.580]   And you can then also specifically give it like which sub agent to use.
[00:15:12.580 --> 00:15:20.740]   So like, if you're on a little more limited description, you can go with sonnet and sonnet is still absolutely good enough for a lot of like well-defined contained tasks.
[00:15:20.740 --> 00:15:26.020]   Uh, and that can like greatly expand the, the resources you're working with over the course of the project.
[00:15:26.020 --> 00:15:35.020]   Uh, but anyway, each one of those sub agents that kicks off for that task is going to not pollute the main context other than to say like job done boss.
[00:15:35.440 --> 00:15:40.480]   Um, and then it'll kick off the next thing, which will be a new, uh, sub agent with its own fresh context window.
[00:15:40.480 --> 00:15:41.620]   And then the same thing.
[00:15:41.620 --> 00:15:54.040]   So you really have to make sure you're setting up the dominoes well for them to be knocking down, uh, because if you just say use sub agents, uh, it's not going to know when it's probably never going to choose it.
[00:15:55.000 --> 00:16:06.820]   Um, I, it, I wouldn't say never, it could be very creative if you give it, uh, if you give it unbounded, uh, tasks, it can get very creative on how it tries to answer those.
[00:16:06.820 --> 00:16:08.860]   And that can be counterproductive a lot of time.
[00:16:11.120 --> 00:16:14.120]   All right, let me see what is this, what is this done?
[00:16:14.120 --> 00:16:21.080]   Um, let me see if I can, if I can open this.
[00:16:21.080 --> 00:16:21.400]   All right.
[00:16:21.400 --> 00:16:30.500]   So I started this at the, so well, and one of the reasons that at least for me, like I'm trying to, I'm trying to get this into something that I can analyze this.
[00:16:30.500 --> 00:16:37.180]   I'm, I'm curious, you know, like you to see, you know, like, how does it, you know, how does it overcome problems?
[00:16:37.180 --> 00:16:40.060]   You know, how, where does it, where does it go sideways?
[00:16:40.060 --> 00:16:49.900]   Um, one of the things that we tried to, that I tried to do with, uh, with a partner, uh, we've been trying to do the last, you know, few days is, uh, give it.
[00:16:49.900 --> 00:17:04.060]   Just, um, like, uh, dumps of dumps of spreadsheets, you know, like just go to, go to an enterprise system and, you know, dump six spreadsheets and tell it to do an analysis, you know?
[00:17:04.060 --> 00:17:08.200]   Uh, and yeah, it takes it a lot of, it, it, it doesn't do a good job.
[00:17:08.200 --> 00:17:09.160]   It hallucinates.
[00:17:09.160 --> 00:17:10.180]   It gets off track.
[00:17:10.180 --> 00:17:13.360]   Uh, and how many are you giving it at a time?
[00:17:13.360 --> 00:17:20.560]   Uh, I think we're giving it between two and six in the, in the three different things that we've done.
[00:17:20.560 --> 00:17:23.080]   And what model of handling spreadsheets?
[00:17:23.080 --> 00:17:26.560]   What was that question?
[00:17:26.860 --> 00:17:30.120]   What's the model that's actually trying to parse the spreadsheets?
[00:17:30.120 --> 00:17:38.700]   Oh, uh, we've, uh, tried it with, uh, Sonnet and Opus and hopefully I'll have codecs connected, you know, soon.
[00:17:42.800 --> 00:17:50.240]   I'm not a hundred on how well they, I know spreadsheets are a little bit weird when you're parsing them with LLMs.
[00:17:50.240 --> 00:17:52.940]   They have different strategies for handling them.
[00:17:52.940 --> 00:17:56.360]   And a lot of it's like, uh, code-based and programmatic.
[00:17:56.360 --> 00:17:57.580]   Uh,
[00:17:59.540 --> 00:18:07.160]   I found that it liked to write Python scripts, uh, and, uh, and use Python to, to try and load up the spreadsheets.
[00:18:07.160 --> 00:18:07.420]   Yeah.
[00:18:07.420 --> 00:18:09.380]   That is, that is, that is common.
[00:18:09.380 --> 00:18:18.000]   Um, and that can be really problematic if the spreadsheets aren't formatted in a, in a way that, that is productive for that kind of parsing.
[00:18:18.540 --> 00:18:23.940]   Uh, especially if they've got like, uh, empty spots in them, it can get really weird.
[00:18:23.940 --> 00:18:32.580]   Uh, also if there's any kind of like digital protection, like 365 sensitivity labeling, uh, with restrictions around that, that can be problematic.
[00:18:32.580 --> 00:18:44.520]   But, uh, the one thing that I would definitely consider no matter which flow I was using is I would want to process any attachments in sequence in like a separate, uh, context window.
[00:18:44.860 --> 00:18:50.440]   because, uh, unless there was like a very specific, like a to B consideration that you were making.
[00:18:50.440 --> 00:19:02.380]   And even then I would try to find a way to parse them individually and then parse the, the outputs because, uh, basically I don't, I'm maybe I over-focus on this.
[00:19:02.380 --> 00:19:07.720]   But, but to me, like the wider, the, the context window gets the less valuable your results.
[00:19:07.720 --> 00:19:12.640]   And even if you're working within a context window that technically the LLM can handle, um, like,
[00:19:12.640 --> 00:19:21.760]   uh, Claude code, Sonnet and Opus, they're technically rated for 200 K tokens.
[00:19:21.760 --> 00:19:25.780]   I think the second you get, uh, above 125, it gets funky.
[00:19:25.780 --> 00:19:36.100]   It gets a little bit funky and it still might work, but it's not going to be as focused or clear as the output that you're going to be getting with a fresh context window or a context window under 120 K.
[00:19:36.760 --> 00:19:48.100]   Uh, like, likewise, like ChatGPT 4.0, uh, the pro version gets a 32 K context window, but the enterprise version gets a 128 K context window.
[00:19:48.520 --> 00:19:58.780]   And let me tell you that thing is garbage past 32 K so like you can, you can get something to it, except to ask and happily, uh, you know,
[00:19:58.780 --> 00:20:11.560]   process it, but the outputs that you're getting are, you know, widely dependent on how you're managing that context and the tool that you're managing that context with and how that tool breaks down the information.
[00:20:11.560 --> 00:20:24.460]   you're getting it, giving it to formatted into the context that's working with mm-hmm mm-hmm yeah, I think it's, uh, I, I think it's a, it's a very challenging problem.
[00:20:24.460 --> 00:20:28.480]   Um, and go ahead.
[00:20:28.480 --> 00:20:39.400]   If you're using codex CLI, I would try 4.1 and see how that did 4.1 does okay with, uh, instruction following and long context windows.
[00:20:39.400 --> 00:20:51.880]   It just extensively has a context window limitation up to a million, uh, tokens, but of course, just like anything else, I wouldn't trust it up to that actual million, but it has a much wider range where it doesn't lose the plot.
[00:20:52.000 --> 00:21:03.880]   then, or as does, I guess, Gemini 2.5, uh, so both of those might be, uh, candidates for the, for parsing if the other models aren't handling them well.
[00:21:03.880 --> 00:21:18.220]   Yeah, I, I feel like, you know, there's, um, you know, there, there has to be like a, well, there doesn't have to be, there's possibly, you know, like a generalized architecture.
[00:21:18.520 --> 00:21:25.480]   You know, that is just like, Hey, you orchestrate and hand things off to, to, to sub agents, you know?
[00:21:25.480 --> 00:21:30.700]   Um, but, uh, yeah, for sure.
[00:21:30.700 --> 00:21:37.160]   We're not at the point where you can, where you can just say, Hey, here's some spreadsheets now produce me magic, you know?
[00:21:37.160 --> 00:21:47.200]   Um, and so I don't think that, you know, like it's that we're on the verge of just, uh, replacing the entire blue white collar sector tomorrow.
[00:21:47.200 --> 00:21:51.740]   We're not even close, we're not even close, like AI will not take anyone's job.
[00:21:51.740 --> 00:21:54.940]   Someone who knows how to use AI will take a lot of people's jobs.
[00:21:54.940 --> 00:21:58.240]   Sure, sure, sure.
[00:21:58.240 --> 00:22:04.840]   Well, and, and, you know, maybe that, maybe that, you know, brings me to the, you know, the other piece.
[00:22:04.840 --> 00:22:19.340]   I think we wanted to, to talk about at some point, which was, um, uh, this N8, uh, N8N thing.
[00:22:19.340 --> 00:22:22.060]   N8N, I've heard, I've heard of it.
[00:22:24.460 --> 00:22:38.420]   Yeah, so, uh, uh, and of course, you know, well, maybe this is, maybe this is fortunate, you know, like I had some sort of crash with it and it lost, uh, my ability to, uh, plug into, or I had it plugged into a model.
[00:22:38.420 --> 00:22:39.300]   And now that's gone.
[00:22:39.300 --> 00:22:50.220]   Um, but, you know, basically this is, uh, let me just, you know, I can, it's, it's a little workflow tool, right?
[00:22:50.360 --> 00:22:52.280]   Yeah, it's a no card tool, right?
[00:22:52.280 --> 00:22:52.560]   Yeah.
[00:22:52.560 --> 00:22:56.260]   I can press this and then I can get an HTTP request.
[00:22:56.260 --> 00:22:56.620]   Yeah.
[00:22:56.620 --> 00:23:10.860]   And so now I can come in here and I can say, uh, do a, so I haven't, I, you know, I haven't messed with this, you know, all but, uh, an hour or two.
[00:23:10.860 --> 00:23:18.740]   Uh, I'm going to, I have already connected to open AI research of your message model.
[00:23:19.580 --> 00:23:21.180]   Um, okay.
[00:23:21.180 --> 00:23:25.260]   I don't know how familiar people are with these kind of like no code, uh, interfaces.
[00:23:25.260 --> 00:23:27.180]   I'm not super familiar with them.
[00:23:27.180 --> 00:23:48.840]   Uh, so this was, so what I did find that was cool, uh, is, you know, so if I want my code to plug into this and then this is going to plug into this and, you know, so if I come in here, uh, yeah, it automatically like knows what the stuff that it's going to get wired up is.
[00:23:48.840 --> 00:23:53.900]   And so I think that's kind of, um, what can I ask this model to do?
[00:23:53.900 --> 00:23:55.680]   I can just say, uh, hello.
[00:23:55.680 --> 00:24:12.500]   Um, my name is, uh, and I am from, uh, you know, operation.
[00:24:12.500 --> 00:24:22.600]   So I just have, uh, name can be anything and API it's whether something came in for an eight through the API or through the, through the button.
[00:24:22.600 --> 00:24:24.580]   Uh, that's really all it is.
[00:24:24.580 --> 00:24:26.800]   So let me execute this workflow.
[00:24:26.800 --> 00:24:28.360]   Of course it has an issue.
[00:24:28.360 --> 00:24:44.140]   Um, I think that, uh, You know, maybe where I, maybe where I want to, maybe where I want to pause right away is, uh, like, I no longer think that this is just like an average user task.
[00:24:44.140 --> 00:24:48.340]   You know, like, you know, like, you know, like, you know, go ahead, you know, average user.
[00:24:48.340 --> 00:24:50.320]   That's a very dislike.
[00:24:50.320 --> 00:24:56.240]   That's a very common, uh, experience where people are told that AI solves all their problems.
[00:24:56.240 --> 00:25:00.140]   And they're like, okay, I'll go use AI to solve all my problems when they get there.
[00:25:00.140 --> 00:25:04.220]   And they're like, uh, what now?
[00:25:04.220 --> 00:25:06.320]   Because it'll do a million things.
[00:25:06.320 --> 00:25:09.900]   There's too many ways to skin any cat with AI basically.
[00:25:09.900 --> 00:25:23.220]   And any given, like any given, this is like, maybe this is, you know, why I'm, I'm vacillating between these two extremes, you know, is like, this is putting rails up for every goddamn thing.
[00:25:23.560 --> 00:25:27.160]   You know, like this is, this is total, this is total rails.
[00:25:27.160 --> 00:25:32.920]   And this would be a nightmare to build, I'm sorry, I'm not catching up on, uh, I'm not up on chat.
[00:25:32.920 --> 00:25:39.240]   Uh, this would be like a nightmare to build, like all of your workflows for your entire company.
[00:25:39.240 --> 00:25:50.560]   And then I started thinking about, you know, then you start thinking about the change management process and what happens, what happens when an error happens, I mean, forget an error, you know.
[00:25:52.120 --> 00:25:58.180]   You will drown in edge cases if you try to set up your whole company around N8N workflows, uh, just from like the feminism.
[00:25:58.180 --> 00:25:59.380]   I've seen it here.
[00:25:59.380 --> 00:26:01.900]   Uh, yeah, it is, it is cool.
[00:26:01.900 --> 00:26:02.320]   And slick.
[00:26:02.320 --> 00:26:06.580]   Yeah, it is, it is cool.
[00:26:06.580 --> 00:26:15.800]   It is cool and slick, you know, and I'm going to keep messing with it because I want to, uh, you know, I want to keep, uh, you know, because I want to see what it can do.
[00:26:16.060 --> 00:26:28.000]   Uh, let me see if there's, uh, I, I would love to, Manuel, I would love to hear, uh, okay.
[00:26:28.000 --> 00:26:28.840]   I really like this chat.
[00:26:28.840 --> 00:26:33.180]   Uh, I would love to hear, I would love to hear some of your anecdotes, Manuel.
[00:26:34.240 --> 00:26:42.880]   So last year at, um, at, uh, the AI engineering conference, uh, this dude showed me, he was working at like some kind of healthcare company.
[00:26:42.880 --> 00:26:44.680]   And so basically all their analysts.
[00:26:44.680 --> 00:26:52.780]   And older, I don't know how this is all like structured, but they had like hundreds and hundreds of NN workflows.
[00:26:53.020 --> 00:26:58.000]   The interesting thing was like that the people who were good at prompting were the analysts.
[00:26:58.000 --> 00:27:05.560]   And so for example, one analyst had figured out that YAML was a good intermediate format to do prompting things.
[00:27:05.560 --> 00:27:16.660]   So, but they seemed like, I don't know how they were orchestrating all of that stuff, but the dude showed me that like huge NN workflows to like, and this was, it was like a year ago.
[00:27:16.660 --> 00:27:23.560]   So, so it wasn't like full on agents or so, but they were pre AI.
[00:27:23.560 --> 00:27:26.260]   They were already using Natan, like quite a bit.
[00:27:26.260 --> 00:27:27.280]   I'm pronouncing it Natan.
[00:27:27.280 --> 00:27:29.440]   Cause I'm like tired of, I don't know.
[00:27:29.440 --> 00:27:31.720]   Yeah.
[00:27:31.720 --> 00:27:32.020]   Yeah.
[00:27:32.020 --> 00:27:32.380]   Natan.
[00:27:32.380 --> 00:27:33.040]   I like that.
[00:27:33.040 --> 00:27:40.600]   Secret with N8N is don't use N8N when you're using it in a N8N, just like whatever you're doing, go to O3 pro say, give me a workflow.
[00:27:40.600 --> 00:27:41.920]   Jason that does this for me.
[00:27:41.920 --> 00:27:43.300]   So yeah.
[00:27:43.300 --> 00:27:44.860]   So that's what I wanted to show the dude.
[00:27:44.860 --> 00:27:46.060]   I was like, Oh, give me the Jason.
[00:27:46.060 --> 00:27:47.120]   I'll generate one for you.
[00:27:47.120 --> 00:27:51.580]   And I was like, okay, well the solid three, five at the time didn't really do all too well.
[00:27:51.580 --> 00:27:54.880]   Although you could, you know, like built an intermediate step.
[00:27:54.880 --> 00:28:00.220]   Um, but they had like huge, huge workflows that they were using for forever.
[00:28:00.220 --> 00:28:06.160]   And that allowed, you know, the analysts to have like little blocks that would connect to their own APIs.
[00:28:06.160 --> 00:28:07.720]   And I think that was really useful for them.
[00:28:07.720 --> 00:28:08.880]   Well, that, yeah.
[00:28:08.880 --> 00:28:14.340]   And that's the, so the, the, the move here is O3 pro here's my data dog logs.
[00:28:14.340 --> 00:28:19.680]   They're just going to stream to you whenever these agents get off track, you should make an N8N workflow.
[00:28:19.680 --> 00:28:22.680]   That's going to generate the Jason that will get them past this hump.
[00:28:22.680 --> 00:28:25.020]   And then you should save that as a template.
[00:28:25.020 --> 00:28:30.120]   So you like just recursively feed it back to the model and be stupid.
[00:28:30.120 --> 00:28:31.340]   That's how do you trigger that?
[00:28:31.680 --> 00:28:37.080]   Like, so basically you just, the, the nodes can run JavaScript and then you can also
[00:28:37.080 --> 00:28:42.060]   make a, so there's JavaScript notes and there's, and there's webhook notes.
[00:28:42.060 --> 00:28:45.960]   Like those were, those were like the easiest to, I had to give a workflow.
[00:28:45.960 --> 00:28:48.780]   Also don't ask me this question.
[00:28:48.780 --> 00:28:50.340]   Just ask the O3 pro to do it for you.
[00:28:50.340 --> 00:28:52.080]   Just like, yeah, yeah.
[00:28:52.080 --> 00:28:53.520]   O3 pro is great.
[00:28:53.520 --> 00:28:55.800]   Just be aware of the limitations to calls.
[00:28:55.800 --> 00:28:56.820]   If you're not paying by API.
[00:28:56.820 --> 00:28:58.320]   Yeah.
[00:28:58.320 --> 00:28:58.740]   Yeah.
