
[00:00:00.440 --> 00:00:04.740]   Today I was going to talk about Temporal, so I'm not sure if people heard a bit of it.
[00:18:35.960 --> 00:18:41.960]   and so on and so forth. It has some tasks to save conversations and metrics by pops up to cloud run.
[00:18:42.760 --> 00:18:49.880]   Cloud run. If it fails, it has a dead letter queue. It's very, it's a lot of like moving pieces that
[00:18:49.880 --> 00:18:57.320]   we have to code ourselves and we have to, we can't just write the business logic and then let the
[00:18:57.320 --> 00:19:03.080]   orchestration engine handle all the failures and the retries. We have to write that ourselves.
[00:19:03.080 --> 00:19:09.480]   Whereas if we had Temporal, everything would just be one workflow or multiple workflows that are working
[00:19:10.360 --> 00:19:15.960]   together. And then we wouldn't have to have all this part right here of, you know, going back and
[00:19:15.960 --> 00:19:22.840]   forth from, you know, different, different queuing and message bosses for passing conversation history
[00:19:22.840 --> 00:19:29.400]   back and forth for, you know, handling tools at different levels. It's just basically a way to,
[00:19:29.400 --> 00:19:37.400]   for us to encapsulate everything into a workflow instead of a collection of systems.
[00:19:37.400 --> 00:19:40.520]   I'm going to pause here for questions.
[00:19:40.520 --> 00:19:47.400]   But the API still will be outside the Temporal.
[00:19:47.400 --> 00:19:53.720]   Yeah, my bad. Yes, this, I should have put an API here. Yeah, correct.
[00:19:53.720 --> 00:19:58.440]   So the API, yes, will be outside of Temporal.
[00:20:01.880 --> 00:20:06.760]   Yeah. So consider this a front end. You could, you can only, you could, if you wanted to, you can only
[00:20:06.760 --> 00:20:10.680]   have a front end, right? Because next you can write full stack applications and then you would just need
[00:20:10.680 --> 00:20:15.640]   to issue post requests to Temporal. But yeah, in, in Spark, we would have a API in the middle. Yes.
[00:20:15.640 --> 00:20:20.760]   But basically it would be just be the API without these kind of like Redis, Pub/Sub,
[00:20:20.760 --> 00:20:25.880]   Cloud Run stuff. That it would just not be needed.
[00:20:25.880 --> 00:20:28.520]   Okay.
[00:20:28.520 --> 00:20:31.000]   We'd be using it to replace almost
[00:20:31.000 --> 00:20:38.520]   everything. So even the, even the agent execution, by all the agent execution steps,
[00:20:38.520 --> 00:20:44.280]   including the loading from cache and everything, all of that would belong in a or multiple workflows.
[00:20:45.080 --> 00:20:52.600]   Yes. Of course you could use Redis if you really needed to like have a cache solution. But the nice
[00:20:52.600 --> 00:20:58.040]   thing about what I said earlier about detangling your agent configuration from like your workflow
[00:20:58.040 --> 00:21:04.360]   is that when you start a new workflow for a new conversation, for example, you can provide all that
[00:21:04.360 --> 00:21:15.000]   agent context up front. And then, let me try to explain this. Basically, what you would be able to
[00:21:15.000 --> 00:21:22.440]   do is a bit more advanced in the end, but what you'd be able to do is use the workflow itself as the state.
[00:21:22.440 --> 00:21:28.600]   You wouldn't need to have these kind of back and forth from a database to save state. Like the workflow
[00:21:28.600 --> 00:21:33.880]   would be the state. And then you could just query the workflow directly. So when you were looking
[00:21:33.880 --> 00:21:38.040]   in conversation history, you could just say, hey, what's the conversation history on this
[00:21:38.040 --> 00:21:43.800]   object? This object is backed by Tempol in its own database, which can be a bunch of databases.
[00:21:43.800 --> 00:21:53.720]   But it's, it's, to put it in easier terms, I think it's, you don't have to think about what's your
[00:21:53.720 --> 00:21:58.920]   current execution state and what's your actual database state. They're both one thing. And then you
[00:21:58.920 --> 00:22:07.320]   can querying the execution state is the state of your job. So if someone is engaged in a conversation,
[00:22:07.320 --> 00:22:12.680]   that conversation, the execution and the conversation history in that execution is the conversation
[00:22:12.680 --> 00:22:22.920]   history. There's no need to, you know, coalesce the current conversation that's been executed with what's in the database.
[00:22:22.920 --> 00:22:29.080]   Okay. But then how long can you keep that state?
[00:22:29.080 --> 00:22:33.240]   For execution. Forever.
[00:22:33.240 --> 00:22:35.240]   Forever.
[00:22:35.240 --> 00:22:37.800]   Forever. That's the, that's the nice thing about Tempol.
[00:22:37.800 --> 00:22:45.240]   So basically you are duplicating to the state, the conversation history in both
[00:22:45.240 --> 00:22:48.200]   Tempol database and in application database.
[00:22:48.200 --> 00:22:52.360]   The, the opposite. You don't need an application database.
[00:22:52.360 --> 00:22:56.760]   It doesn't, you don't have to go with this way. I'm just saying like what's possible with Tempol
[00:22:56.760 --> 00:23:03.400]   is that you will need to have a separate, a conversation database in the, in your application database.
[00:23:03.400 --> 00:23:09.640]   You can just query the, querying the workflow directly will give you that, the data that you need.
[00:23:09.640 --> 00:23:13.640]   But which obviously you can, sorry.
[00:23:13.640 --> 00:23:19.320]   Sorry, what is happening in that when you are querying that workflow is that workflow is then
[00:23:19.320 --> 00:23:23.560]   going to a database. It might not be the same database, but a different database and pulling
[00:23:23.560 --> 00:23:24.600]   that information out.
[00:23:24.600 --> 00:23:26.760]   Yeah. Yeah. It'd be the Tempol database.
[00:23:26.760 --> 00:23:32.280]   But what I'm, what I mean to say here is that the, it's the exec, basically, if you think about it,
[00:23:32.280 --> 00:23:35.080]   how we have the object in Python, right? When you have the conversation history,
[00:23:35.800 --> 00:23:40.040]   those, those, those Python objects that we were having while the conversation executed,
[00:23:40.040 --> 00:23:43.720]   those are not immediately saved to the database, right? You have to have a task that goes and saves them,
[00:23:43.720 --> 00:23:50.520]   right? But in Tempol, those same objects are what's in the database. So querying those objects ensures that,
[00:23:50.520 --> 00:23:55.160]   that's the conversation, there's only one conversation history, that's the source of truth,
[00:23:55.160 --> 00:23:58.040]   is that Python object represented in the workflow.
[00:23:58.040 --> 00:24:01.960]   Obviously, like, I'm just giving this as an example.
[00:24:01.960 --> 00:24:05.400]   We don't need to do this for Spark because it's a bit more advanced concept and it
[00:24:05.400 --> 00:24:10.120]   requires a lot of rewriting of the application, but that's, you can write application with Tempol where
[00:24:10.120 --> 00:24:14.600]   you don't have to worry about saving states to a database because the workflow is the state.
[00:24:14.600 --> 00:24:17.480]   Yeah.
[00:24:17.480 --> 00:24:24.360]   So I, I can just give a demo for, uh, real quickly because, um, I think, uh, it's going to be more
[00:24:24.360 --> 00:24:28.520]   useful to look at it. Let me just, let me refair my screen and stuff.
[00:24:28.520 --> 00:24:35.000]   Cool. So this is a workflow that Tempol done. Give me a second to
[00:24:35.000 --> 00:24:37.720]   share it. Did you see my screen all right?
[00:24:37.720 --> 00:24:39.720]   No.
[00:24:39.720 --> 00:24:47.160]   All right. So basically on the left-hand side, what you see is a typical chatbot,
[00:24:47.160 --> 00:24:55.560]   um, a typical chatbot that is running in as temporal workflow. As you can see here,
[00:24:55.560 --> 00:25:00.280]   we're in this new workflow that's being initiated. I'll go to the, to the actual, you know, in innings of
[00:25:00.280 --> 00:25:07.400]   the code in a second, but basically we started this new agent with all the tools, all we provided in
[00:25:07.400 --> 00:25:11.160]   the beginning. And I think this, let me try and make the result from the bigger.
[00:25:13.000 --> 00:25:26.920]   Yeah. So, um, yeah. So for example, for us, well, what that would happen is basically someone starts
[00:25:26.920 --> 00:25:31.400]   a new conversation with an agent. We know which agent it has, we know what tools it has. All we have to do
[00:25:31.400 --> 00:25:39.720]   is basically say, okay, temporal, um, you write, you basically, you only have to write the logic very
[00:25:39.720 --> 00:25:49.080]   generically of like, Hey, I want this spark to take an input from a user, go, go and look at what tools
[00:25:49.080 --> 00:25:53.400]   you can use and use those tools and provide an answer. Right. And then all the configuration of that
[00:25:54.360 --> 00:25:59.560]   kind of similar to how it is now, uh, would be provided as a, I guess, a configuration object,
[00:25:59.560 --> 00:26:03.720]   right? Like here, we have some, some goals that we can do. We have some tools that we can use.
[00:26:03.720 --> 00:26:09.800]   Um, yeah, but these are all provided in initially to the, to the workflow context.
[00:26:09.800 --> 00:26:18.520]   Um, and then, yeah, we can do whatever, for example, uh, and, oh, okay. Sorry. You can see that now
[00:26:18.520 --> 00:26:23.400]   the workflow is paused, right? It's waiting for us to like, say, to confirm this running of this tool.
[00:26:23.400 --> 00:26:30.200]   This, this workflow is waiting for this user prompt forever. It will wait forever and it doesn't use up
[00:26:30.200 --> 00:26:36.120]   any computation. It doesn't use up, uh, anything basically. So these workflows can be paused, yeah,
[00:26:36.120 --> 00:26:41.720]   forever or as far as like, as long as you want. So if we, if we hit confirm here, you will see that
[00:26:41.720 --> 00:26:48.120]   basically now this purple signal has been sent here that the, that the agent has, that the user has
[00:26:48.120 --> 00:26:53.800]   confirmed something so that execution can proceed. Uh, because we've told it to list what agents we're
[00:26:53.800 --> 00:27:00.600]   currently having available, it goes ahead and runs that. And then for each of these, um, kind of,
[00:27:00.600 --> 00:27:07.640]   kind of activities here, we see exactly what's being run, what input is being given, what result is being
[00:27:07.640 --> 00:27:12.120]   given. So here's like, you are an AI agent, it helps you blah, blah, blah, blah, whatever. You can also
[00:27:12.120 --> 00:27:17.640]   see the result. You can also see how this is configured, where you have a 30 minute timeout for this thing.
[00:27:17.720 --> 00:27:23.720]   Uh, what task queue it runs on, what activities runs on and so on and so forth. The most important
[00:27:23.720 --> 00:27:29.240]   part is that you can see the result of each of the, each of these ones. So let me go, just go ahead and
[00:27:29.240 --> 00:27:32.840]   like, um, I don't know, let's see, I want, I want to go on a trip, right? Let's see, I want to do this
[00:27:32.840 --> 00:27:39.400]   kind of like Australia, New Zealand event flight booking. So I just want to say, uh, three, right? I want to
[00:27:39.400 --> 00:27:46.680]   use the agent number three. Again, I gave it a user prompt. It waited for me to give it that prompt,
[00:27:46.680 --> 00:27:51.800]   right? It didn't, that, that thing was just sitting there in state. It didn't consume any resources
[00:27:51.800 --> 00:27:56.600]   until I gave it the signal that I want to do something. And now it's, it's waiting for me to
