
[00:00:00.000 --> 00:00:05.500]   Struggling with your electric bill? Get an energy assist from SDG&E and SAFE.
[00:04:10.500 --> 00:04:15.500]   Some of my favorites, David Crawford's book Lights Out, really enjoyed that.
[00:04:15.500 --> 00:04:21.500]   The book by William Forshteyn called One Second After, I enjoyed that whole series.
[00:04:21.500 --> 00:04:23.500]   The first one is the best.
[00:04:23.500 --> 00:04:38.500]   One Second After and Lights Out are both basically about the prospect of an electromagnetic pulse event wherein the power grid in the United States is destroyed by a high altitude – the explosion of a high altitude nuclear bomb.
[00:04:38.500 --> 00:04:44.500]   It's a serious risk that would seriously undermine US-American society if it were to happen.
[00:04:44.500 --> 00:04:49.500]   Interestingly enough, Kim Jong-un is exactly what he threatened this past week.
[00:04:49.500 --> 00:04:56.500]   The dictator of North Korea was – he threatened to set up a bomb and try to set off an EMP.
[00:04:56.500 --> 00:05:02.500]   My one-sentence summary on EMP, the risks – based upon my research, the risk seems to be substantial.
[00:05:02.500 --> 00:05:09.500]   But it doesn't seem to be as substantial as many of these hardcore novels make it seem.
[00:05:09.500 --> 00:05:11.500]   So that – I've enjoyed that book.
[00:05:11.500 --> 00:05:14.500]   I've interviewed on this show both James Wesley Rawls.
[00:05:14.500 --> 00:05:16.500]   A couple of times I've interviewed James Wesley Rawls.
[00:05:16.500 --> 00:05:18.500]   I thoroughly enjoy his writing.
[00:05:18.500 --> 00:05:22.500]   If I were a fiction author, I would write like James Wesley Rawls does.
[00:05:22.500 --> 00:05:29.500]   In a sense, he puts a practical nonfiction manual into fiction stories.
[00:05:29.500 --> 00:05:38.500]   Of course, his first book, which is the most poorly written from a technical perspective and is my favorite, is a book called Patriots, a novel of the coming collapse.
[00:05:38.500 --> 00:05:41.500]   He built – somebody, I got to have him on the show to get him to share that story.
[00:05:41.500 --> 00:05:48.500]   But he built that story and published it for free online in the very early days of publishing.
[00:05:48.500 --> 00:05:53.500]   And then he basically crowdfunded it where he had people pay him a voluntary donation.
[00:05:53.500 --> 00:06:00.500]   Then over time, he developed such a fan base that he was able to get the novel published and it was published as Patriots.
[00:06:00.500 --> 00:06:02.500]   Because of the way that it was written, it's a little bit disjointed.
[00:06:02.500 --> 00:06:09.500]   But it's my favorite of his series just because it's so overwhelmingly – there's so much content in it.
[00:06:09.500 --> 00:06:13.500]   And so I have enjoyed Patriots and all of his follow-up books in that series.
[00:06:13.500 --> 00:06:17.500]   And then finally, authors like Matthew Bracken who I've also had on the show.
[00:06:17.500 --> 00:06:19.500]   I have the soft spot for this type of fiction.
[00:06:19.500 --> 00:06:23.500]   If I'm going to read fiction, I enjoy thrillers.
[00:06:23.500 --> 00:06:30.500]   Tom Clancy was always my favorite, Brad Thor, Vince Flynn, some of these guys if I ever make the time to read it.
[00:06:30.500 --> 00:06:35.500]   And then I've learned that the genre of this post-apocalyptic fiction I enjoy.
[00:06:35.500 --> 00:06:36.500]   So that's my soft spot.
[00:06:36.500 --> 00:06:38.500]   I want to lay that out there on the table.
[00:06:38.500 --> 00:06:47.500]   But I've always been skeptical of the scenarios and I remain skeptical of the hardcore scenarios.
[00:06:47.500 --> 00:06:54.500]   The fiction authors, in order to get a really good story, often stretch the bounds of the limits so to speak.
[00:06:54.500 --> 00:07:05.500]   In the same way that if you watch the latest Mission Impossible film, you're going to see things in the film that are simply not doable, not practical in real life.
[00:07:05.500 --> 00:07:12.500]   That's the way that you make a story compelling on screen or in a novel.
[00:07:12.500 --> 00:07:21.500]   But you read enough of the novels and you certainly wonder, well, do we lack this social cohesion to the point where society could break down for whatever reason?
[00:07:21.500 --> 00:07:29.500]   So let me describe to you this past Tuesday, yesterday, yesterday morning, the site that I saw.
[00:07:29.500 --> 00:07:35.500]   This past weekend, Hurricane Irma, it became clear, was going to threaten us here in South Florida.
[00:07:35.500 --> 00:07:44.500]   And so everybody went into overdrive on going and getting things and the stores started to be pulled dry and started to run out of things, et cetera.
[00:07:44.500 --> 00:07:50.500]   Well, of course, since stores don't affect their – don't change their pricing, i.e. that's the show that I did on price gouging.
[00:07:50.500 --> 00:07:57.500]   Since they don't bother to change their pricing, I figured, well, let me go and contribute to the shortages by buying a few things.
[00:07:57.500 --> 00:07:59.500]   At least that way I'll have more than I need.
[00:07:59.500 --> 00:08:05.500]   I don't really need anything but let me go and – let me go ahead and purchase a few things.
[00:08:05.500 --> 00:08:08.500]   And I also enjoy kind of being out in the hustle and bustle.
[00:08:08.500 --> 00:08:10.500]   It's a special event I like.
[00:08:10.500 --> 00:08:16.500]   I've always enjoyed disasters and disaster preparedness from the perspective of helping people and being of service.
[00:08:16.500 --> 00:08:19.500]   That's always been something that's been interesting to me.
[00:08:19.500 --> 00:08:28.500]   So I went to Costco and figured I'd pick up a few cases of water and see what else there was to be seen.
[00:08:28.500 --> 00:08:32.500]   Costco usually opens at 10 in the morning and I got there around 9.30.
[00:08:32.500 --> 00:08:36.500]   This was Tuesday, immediately after the Labor Day holiday.
[00:08:36.500 --> 00:08:40.500]   I had tried to go the previous day but it was closed for the holiday.
[00:08:40.500 --> 00:08:46.500]   When I got there 30 minutes before the open, the parking lot was packed.
[00:08:46.500 --> 00:08:53.500]   I had to park on the farthest of the available spaces all the way out at the edge of the parking lot.
[00:08:53.500 --> 00:09:04.500]   And there were 250 people or more lined up in the front of the Costco 30 minutes before the scheduled time of opening.
[00:09:04.500 --> 00:09:10.500]   I went and joined the line, figured I would at least go and see how it went.
[00:09:10.500 --> 00:09:15.500]   As I'm walking across the parking lot, I see people starting to panic because the lines are so long
[00:09:15.500 --> 00:09:22.500]   and starting to become worried that the water was going to run out there at the Costco.
[00:09:22.500 --> 00:09:26.500]   Now imagine the size of a Costco, a huge warehouse club.
[00:09:26.500 --> 00:09:34.500]   And from the front entrance all the way to the far side of the building, there is a line of people.
[00:09:34.500 --> 00:09:39.500]   Now of course by this time, all of the carts that were stored in front of the store are used up.
[00:09:39.500 --> 00:09:46.500]   So in order to get a cart to carry your cases of bottled water, you had to go around to the side of the store.
[00:09:46.500 --> 00:09:56.500]   And I watch not less than a dozen people start trotting across the parking lot to get a cart.
[00:09:56.500 --> 00:09:59.500]   And you can see the type of person that's trotting.
[00:09:59.500 --> 00:10:05.500]   You can see that they're doing so out of the fear of missing out, the fear of not being able to get the water that their family needs.
[00:10:05.500 --> 00:10:08.500]   And they're rushing to go and get this cart.
[00:10:08.500 --> 00:10:10.500]   And nobody was rude to one another.
[00:10:10.500 --> 00:10:12.500]   Nobody was pushing one another.
[00:10:12.500 --> 00:10:14.500]   Nobody was jostling one another.
[00:10:14.500 --> 00:10:20.500]   But there was that subtle "Let me move quickly so I can get ahead of everyone else" that was clearly expressed.
[00:10:20.500 --> 00:10:28.500]   I got a cart, joined the line, and very quickly that whole line of people went into the store.
[00:10:28.500 --> 00:10:31.500]   But everybody was heading for the bottled water.
[00:10:31.500 --> 00:10:32.500]   And it was bedlam.
[00:10:32.500 --> 00:10:37.500]   It was absolute bedlam to the point where 20 minutes after they opened the doors –
[00:10:37.500 --> 00:10:51.500]   they opened the doors early, 930 – at 950, every major up-and-down aisle in the Costco was at a complete standstill with two lines of carts.
[00:10:51.500 --> 00:10:58.500]   The cash registers were packed and the aisles were packed with everybody loading up on the same things.
[00:10:58.500 --> 00:11:04.500]   Now, while standing there, the mood was at that point in time perfectly fine and perfectly peaceful.
[00:11:04.500 --> 00:11:06.500]   I don't want to overstate the case.
[00:11:06.500 --> 00:11:08.500]   Nobody was upset with one another.
[00:11:08.500 --> 00:11:11.500]   But we all had bellies full of food.
[00:11:11.500 --> 00:11:14.500]   We had all come early in the morning on a day that we could.
[00:11:14.500 --> 00:11:20.500]   And nobody was in extreme or under extreme duress.
[00:11:20.500 --> 00:11:25.500]   And yet you could see the tension just underneath the surface.
[00:11:25.500 --> 00:11:45.500]   From now on, whenever I read post-apocalyptic fiction, I will always see in my mind the picture from yesterday of wealthy, middle-aged, successful people who are driving fancy cars,
[00:11:45.500 --> 00:12:06.500]   who are wearing very fine and fashionable clothing, kind of hurry walking and trotting across a parking lot to beat somebody else out for a $3.98 case of bottled water.
[00:12:06.500 --> 00:12:09.500]   Now, I don't want to overstate.
[00:12:09.500 --> 00:12:12.500]   Again, I want to be careful and be accurate with what I'm saying.
[00:12:12.500 --> 00:12:14.500]   I don't want to overstate the case.
[00:12:14.500 --> 00:12:17.500]   I know many of these people could have had plenty of bottled water at home.
[00:12:17.500 --> 00:12:21.500]   And they just like me kind of thought they would go and pick up a few extra.
[00:12:21.500 --> 00:12:23.500]   Just, you never know. It doesn't hurt anything.
[00:12:23.500 --> 00:12:25.500]   They'll use it anyway.
[00:12:25.500 --> 00:12:30.500]   Maybe they were just filling out some other stores that they already had.
[00:12:30.500 --> 00:12:47.500]   But when you look at the scenario wherein a simple hurricane can bring people to a place where they lose their dignity of running across a parking lot to beat somebody else out to get a cart so they can get into the store, I find that a little bit sobering.
[00:12:47.500 --> 00:12:49.500]   There are a few lessons from it.
[00:12:49.500 --> 00:12:55.500]   Lesson number one is there are times at which money doesn't help you.
[00:12:55.500 --> 00:13:00.500]   The patrons of Costco are, in general, pretty wealthy.
[00:13:00.500 --> 00:13:14.500]   I don't know their internal data, but I'm quite confident that if you ran the average income of a Costco member, it would be significantly higher than the average customer at the local Walmart.
[00:13:14.500 --> 00:13:17.500]   It would have to be because of the way Costco packages their things.
[00:13:17.500 --> 00:13:21.500]   You can't get out of there for less than a couple hundred bucks practically.
[00:13:21.500 --> 00:13:33.500]   But in that moment, a wealthy person's beautiful Mercedes-Benz, their beautiful clothes, those things didn't get them what they needed.
[00:13:33.500 --> 00:13:36.500]   And I find storms are always illustrative of this fact.
[00:13:36.500 --> 00:13:40.500]   You can go back and see a Houston flood just last week.
[00:13:40.500 --> 00:13:48.500]   Beautiful homes worth a lot of money destroyed just like everyone else's home.
[00:13:48.500 --> 00:13:56.500]   Remember seeing pictures of people being rescued off their front porch and beautiful clothing and getting into the boat just like everybody else.
[00:13:56.500 --> 00:14:06.500]   Or back in Hurricane Sandy up in New York City, wealthy people looking in a dumpster, pictures of people looking at a dumpster trying to find food to eat in just a couple of days.
[00:14:06.500 --> 00:14:13.500]   There are things that happen in life at which your money is not particularly useful.
[00:14:13.500 --> 00:14:19.500]   So think about those things and make sure that you're not depending on the money to get you what you need.
[00:14:19.500 --> 00:14:21.500]   That's lesson number one.
[00:14:21.500 --> 00:14:33.500]   If you're enjoying a beautiful day in Kansas right now or in Minnesota or in Washington State and there is no hurricane that's threatening your door,
[00:14:33.500 --> 00:14:41.500]   don't just look at the TV and see what other people are desperate for and think you'll escape because you won't.
[00:14:41.500 --> 00:14:43.500]   Yours won't be a hurricane.
[00:14:43.500 --> 00:14:49.500]   Yours will be a tsunami if you're on the coast of the upper Northwest.
[00:14:49.500 --> 00:14:52.500]   Yours will be a winter storm or a tornado just like we all know.
[00:14:52.500 --> 00:14:57.500]   We all have these events or it's a forest fire coming through or an earthquake or a volcano.
[00:14:57.500 --> 00:14:59.500]   All of these things are normal.
[00:14:59.500 --> 00:15:09.500]   Plan ahead and think ahead and make sure that you buy the things that you need when money is not worth as much as you would like it to be.
[00:15:09.500 --> 00:15:15.500]   I am increasingly convinced that the veneer of society is very thin.
[00:15:15.500 --> 00:15:19.500]   There was nothing but good experiences yesterday in the Costco.
[00:15:19.500 --> 00:15:21.500]   Everybody was polite to one another.
[00:15:21.500 --> 00:15:23.500]   Everybody was kind to one another.
[00:15:23.500 --> 00:15:25.500]   No one was pressing their way.
[00:15:25.500 --> 00:15:32.500]   But I think just back myself just a year or two when I was out filling up some gas cans before hurricane.
[00:15:32.500 --> 00:15:34.500]   I think it was Matthew last year.
[00:15:34.500 --> 00:15:36.500]   I had a few empty or I bought some new ones.
[00:15:36.500 --> 00:15:37.500]   I can't remember.
[00:15:37.500 --> 00:15:38.500]   And I had a trunk full of gas cans.
[00:15:38.500 --> 00:15:40.500]   A half dozen at least.
[00:15:40.500 --> 00:15:44.500]   And I was filling them up at the gas station and there was the line stretching back.
[00:15:44.500 --> 00:15:50.500]   And I could start to hear some of the angry words being exchanged.
[00:15:50.500 --> 00:16:06.500]   If we ever face locally or broadly a significant event that disrupts normal society, the thin veneer of civility can very quickly fade away.
[00:16:06.500 --> 00:16:10.500]   Especially if there's no sense of community cohesion.
[00:16:10.500 --> 00:16:17.500]   And unfortunately, at least where I live, it seems that community cohesion is steadily eroding.
[00:16:17.500 --> 00:16:21.500]   Now, in every event, we can focus on the negative or we can focus on the positive.
[00:16:21.500 --> 00:16:33.500]   For example, we can look at an event like just like last week, Hurricane Harvey, and see the tremendous pitching in, the tremendous community spirit of neighbors waiting in to help neighbors.
[00:16:33.500 --> 00:16:40.500]   And in just a moment, I'll talk to you about Costco today and how dramatically different today was than yesterday.
[00:16:40.500 --> 00:16:49.500]   But don't ignore the things that you see on TV and do nothing yourself.
[00:16:49.500 --> 00:16:54.500]   The fear that you start to feel when you start to see shortages is real.
[00:16:54.500 --> 00:17:05.500]   As I was walking across that Costco parking lot, I quickly felt those same emotions of deprivation and loss that other people felt.
[00:17:05.500 --> 00:17:09.500]   I didn't need to buy any more water. I have plenty of bottled water saved up.
[00:17:09.500 --> 00:17:13.500]   But I thought, "Well, it'll be fine. I'll go down and I'll get a little bit and it'll make me feel a little bit better."
[00:17:13.500 --> 00:17:15.500]   I didn't need it though.
[00:17:15.500 --> 00:17:22.500]   But my rational mind saying, "Joshua, you don't need it," was not nearly as strong as my fearful mind.
[00:17:22.500 --> 00:17:34.500]   And this stuff is an awful self-fulfilling prophecy because people start to see bad things and this has been very much exacerbated by seeing nothing but Hurricane Harvey coverage for the last week.
[00:17:34.500 --> 00:17:37.500]   That has everybody freaking out in South Florida.
[00:17:37.500 --> 00:17:44.500]   And then also, of course, the current storm heading our way is a powerful one.
[00:17:44.500 --> 00:17:45.500]   But the fear is real.
[00:17:45.500 --> 00:17:47.500]   I felt that fear just like other people.
[00:17:47.500 --> 00:17:53.500]   I had that fear of loss and it made me want to go and just get as much as possible.
[00:17:53.500 --> 00:17:56.500]   And so these things are self-fulfilling prophecies.
[00:17:56.500 --> 00:18:02.500]   People start to see the empty shelves and so that inspires more and more people to go out and get more.
[00:18:02.500 --> 00:18:08.500]   And then they would – inspire more people to go out and get more.
[00:18:08.500 --> 00:18:16.500]   And then that causes more shortages and then by seeing more shortages and the shortages are continuing, more people go back and it just continues again and again.
[00:18:16.500 --> 00:18:19.500]   So pay attention and prepare yourself.
[00:18:19.500 --> 00:18:22.500]   This is important financial planning for you.
[00:18:22.500 --> 00:18:25.500]   Now, let me tell you about the positive side.
[00:18:25.500 --> 00:18:28.500]   Let's flip to Costco today.
[00:18:28.500 --> 00:18:34.500]   Earlier this morning, I wanted to go and get a new battery.
[00:18:34.500 --> 00:18:42.500]   Since I sold my motorhome, I didn't have the deep cycle battery I had that was part of my kind of emergency backup power system.
[00:18:42.500 --> 00:18:45.500]   So I needed to go and buy a new deep cycle battery.
[00:18:45.500 --> 00:18:48.500]   So I went back to Costco to buy a new deep cycle battery.
[00:18:48.500 --> 00:18:58.500]   If you're not familiar, I use a deep cycle battery at home as part of just basic emergency preparedness to get through a power outage.
[00:18:58.500 --> 00:19:04.500]   I'll talk about that in a moment and give you a few practical tips and then refer you to some more shows I've already done on the topic.
[00:19:04.500 --> 00:19:08.500]   Costco today was dramatically different than yesterday.
[00:19:08.500 --> 00:19:11.500]   There was still a shortage of water.
[00:19:11.500 --> 00:19:20.500]   Because of course when the demand outstrips the supply, you have a shortage, which incidentally in line with my show on price gouging and price fixing,
[00:19:20.500 --> 00:19:29.500]   I was bemused to observe that even yesterday, Costco would limit the number of cases of water that you could buy.
[00:19:29.500 --> 00:19:31.500]   They would limit it to five per person.
[00:19:31.500 --> 00:19:33.500]   Today, the limit was two per person.
[00:19:33.500 --> 00:19:40.500]   It's interesting how the changing of prices is illegal during a time of emerging.
[00:19:40.500 --> 00:19:43.500]   And yet rationing is not.
[00:19:43.500 --> 00:19:54.500]   It doesn't make any sense to me why legally it's any different to tell the owner of goods and services, a merchant, why they can't change the price for their item.
[00:19:54.500 --> 00:19:59.500]   But they can legally restrict the sale of the item.
[00:19:59.500 --> 00:20:01.500]   It's a stupid law.
[00:20:01.500 --> 00:20:04.500]   All price fixing laws are stupid and should be done away with.
[00:20:04.500 --> 00:20:17.500]   But continuing on, the – so Costco today was radically different and I was so impressed to see how the staff at Costco had completely reoriented everything and how they were serving their customers.
[00:20:17.500 --> 00:20:31.500]   As I said in the end of the price gouging show, although ideologically I'm entirely opposed to any kind of price fixing laws, which is what the anti-price gouging laws are, it's a price fixing law.
[00:20:31.500 --> 00:20:34.500]   I'm ideologically opposed but I'm not practically opposed.
[00:20:34.500 --> 00:20:50.500]   A large retailer – if I were running a large retail store, cannot take the risk of alienating their customers by increasing prices dramatically during a time of emergency, especially or at least if that time of emergency is temporary.
[00:20:50.500 --> 00:20:57.500]   There is too much destruction of goodwill in that context for somebody to take the risk.
[00:20:57.500 --> 00:21:02.500]   Totally fine for someone to load up a pickup truck full of needed things and sell it off the back of the pickup truck.
[00:21:02.500 --> 00:21:04.500]   There's no price loyalty there.
[00:21:04.500 --> 00:21:06.500]   Sorry, there's no brand loyalty there.
[00:21:06.500 --> 00:21:08.500]   Someone is just trying to buy the item.
[00:21:08.500 --> 00:21:21.500]   But for a large retailer, the benefit of a few additional sales at a higher price is way, way less than the destruction to the goodwill that you've built with your customer base, the steady customer base.
[00:21:21.500 --> 00:21:30.500]   So big retailers and established stores and any kind of retailer shouldn't dramatically change prices when there is a short-term emergency event.
[00:21:30.500 --> 00:21:34.500]   So as I walked into the Costco today, I had a very different experience.
[00:21:34.500 --> 00:21:39.500]   Number one, they had reoriented the whole store around the sale of water.
[00:21:39.500 --> 00:21:48.500]   They had stretched out caution tape across some of the end caps and they were directing all traffic from the front who is going to water.
[00:21:48.500 --> 00:22:00.500]   Instead of having a free-for-all, they were directing all the traffic around a careful aisle through the back of the store to where the water was so that everybody could go in a nice orderly line and improve everybody's shopping experience.
[00:22:00.500 --> 00:22:02.500]   That was impressive to me.
[00:22:02.500 --> 00:22:04.500]   But it didn't stop there.
[00:22:04.500 --> 00:22:15.500]   They had their employees encouraging people along the way and putting out other emergency hurricane preparedness items, which were all discounted and rebated.
[00:22:15.500 --> 00:22:22.500]   Spare batteries for the cell phones, external backup batteries, inexpensive battery-operated lights, LED lights.
[00:22:22.500 --> 00:22:28.500]   All of these things were rebated down substantially at a very nice discount.
[00:22:28.500 --> 00:22:33.500]   And they were displaying carts full of them along the way and encouraging people, "Don't just think about water."
[00:22:33.500 --> 00:22:39.500]   But they were serving people with the other things that they might not have known about or might not have thought of.
[00:22:39.500 --> 00:22:45.500]   They had brought in massive shipments of the items that were in short supply.
[00:22:45.500 --> 00:22:47.500]   They brought in huge amounts of water.
[00:22:47.500 --> 00:22:53.500]   There were pallets and pallets of water and they had staff members working to load people's carts with the water.
[00:22:53.500 --> 00:23:01.500]   Of course, there was a cap of two per person and actually I came back later and they had run out a couple hours later, but even two per person.
[00:23:01.500 --> 00:23:05.500]   And they had staff members filling people's carts and they were serving their customers exactly what they wanted.
[00:23:05.500 --> 00:23:14.500]   And they had cut prices on those items that they had any margin and they'd cut prices to help serve their customer base.
[00:23:14.500 --> 00:23:20.500]   And that, my friends, is what business is about, what good business is about.
[00:23:20.500 --> 00:23:26.500]   Good business involves serving your customer with what they need at their time of need.
[00:23:26.500 --> 00:23:32.500]   That's how you build a quality business and that's what builds brand loyalty.
[00:23:32.500 --> 00:23:47.500]   And for all of the nightmare of shortages around an impending event, we are blessed to live in the best time in the history of the world for access to quality products in our retail system.
[00:23:47.500 --> 00:23:51.500]   The just-in-time inventory system that we all live under has significant shortfalls.
[00:23:51.500 --> 00:23:56.500]   It has significant dangers. Stores don't stock much of an inventory.
[00:23:56.500 --> 00:24:02.500]   But the shipping system that backs up the just-in-time inventory system is incredible.
[00:24:02.500 --> 00:24:06.500]   I read an article today that was posted on LinkedIn.
[00:24:06.500 --> 00:24:13.500]   The title was called "The Inside Story of What It Took to Keep a Texas Grocery Chain Running in the Chaos of Hurricane Harvey."
[00:24:13.500 --> 00:24:17.500]   I will link this article in the show notes today. I encourage you to read it.
[00:24:17.500 --> 00:24:26.500]   It's an interview with the CEO of the – I assume they say H-E-B grocery store chain there in Texas, one of the largest grocery store chains in Texas.
[00:24:26.500 --> 00:24:41.500]   And he describes what that company went through this last week in order to serve their customers what they needed and to be a source of the goods and services their customers need there in the local area.
[00:24:41.500 --> 00:24:45.500]   He moved heaven and earth to serve their customers.
[00:24:45.500 --> 00:24:51.500]   They had hundreds or thousands of employees that moved from here to there to go and serve.
[00:24:51.500 --> 00:25:01.500]   And they just changed their whole inventory system to get the items and the products there to their customers.
[00:25:01.500 --> 00:25:07.500]   It's one of the most beautiful stories of service that I've read in a long time.
[00:25:07.500 --> 00:25:11.500]   And it was very interesting to me because I saw exactly the same thing today at Costco.
[00:25:11.500 --> 00:25:19.500]   All of these big businesses and all of these big companies seeking to serve their customers effectively.
[00:25:19.500 --> 00:25:38.500]   And, friends, we are blessed to live in the most incredible time in human history, the most incredible economy that has the most resiliency and the most power and the best technological access of anything in the history of the world.
[00:25:38.500 --> 00:25:46.500]   Now, there are events that could knock our economic system flat on its back.
[00:25:46.500 --> 00:25:50.500]   Those things do exist.
[00:25:50.500 --> 00:25:56.500]   The probability of them happening, though, is pretty low.
[00:25:56.500 --> 00:26:01.500]   And I think we should all be thankful to live in the system that we live in.
[00:26:01.500 --> 00:26:10.500]   After reading the article about the HEB stores and then seeing the staff at Costco serve me today, it just re-inspired me towards service.
[00:26:10.500 --> 00:26:14.500]   And it said, "How can I serve you, my customers? How can I serve you more effectively?
[00:26:14.500 --> 00:26:21.500]   How can I make sure that you know that your well-being is always my number one goal?"
[00:26:21.500 --> 00:26:27.500]   I don't have great answers. It's just working through the answers of what can I improve.
[00:26:27.500 --> 00:26:30.500]   It's a process of constant improvement.
[00:26:30.500 --> 00:26:33.500]   Don't worry about where we start. We all start from where we are.
[00:26:33.500 --> 00:26:35.500]   But the goals get a little bit better.
[00:26:35.500 --> 00:26:39.500]   And these grocery chains have learned. They've learned how to get better.
[00:26:39.500 --> 00:26:45.500]   And they make massive investments into their redundancy so that they can improve things.
[00:26:45.500 --> 00:26:55.500]   They make investments into huge generators down here, big old generators that never get used, except once a decade when the hurricane actually does come through.
[00:26:55.500 --> 00:27:00.500]   And yet those stores do it to serve their customers.
[00:27:00.500 --> 00:27:08.500]   We live in a tremendous time, and you should be very encouraged and get in the game and participate and serve your customers.
[00:27:08.500 --> 00:27:13.500]   I hope that you can take both of these themes that I've shared with you to heart.
[00:27:13.500 --> 00:27:21.500]   Number one, there's a very thin veneer over society. Plan accordingly.
[00:27:21.500 --> 00:27:34.500]   Number two, we live in a tremendously resilient economic system. Be grateful for it and live accordingly.
[00:27:34.500 --> 00:27:40.500]   I think now – let me share with you – I will link in today's show some previous shows that I have done.
[00:27:40.500 --> 00:27:49.500]   And I'm just going to share with you just some simple suggestions, some additional practical simple suggestions for preparing for something like a hurricane.
[00:27:49.500 --> 00:27:56.500]   Three episodes back, I talked – episode 477 entitled "Practical Financial Planning for Large-Scale Disasters Like the Houston Floods."
[00:27:56.500 --> 00:28:02.500]   I gave you some simple practical suggestions for what to do in case you need to evacuate and leave.
[00:28:02.500 --> 00:28:04.500]   That was the theme of that show.
[00:28:04.500 --> 00:28:08.500]   In essence, usually, it's better to leave.
[00:28:08.500 --> 00:28:13.500]   And if you can leave and leave early and beat the crowds, you'll often be better off.
[00:28:13.500 --> 00:28:16.500]   So you should think through that in advance.
[00:28:16.500 --> 00:28:24.500]   Now, I don't know if – ironically, I am recording this from home and we have not yet decided to leave.
