
[00:00:00.000 --> 00:00:12.000]   these are
[00:06:52.100 --> 00:06:57.400]   you know, a right to bodily autonomy at all, the right to contraception the right,
[00:06:57.400 --> 00:07:00.580]   even rights, even conservatives care about the right to educate your child
[00:07:00.580 --> 00:07:02.040]   in the way that you see fit.
[00:07:02.040 --> 00:07:06.840]   And the constitution in particular has to be able to adapt to modern circumstances.
[00:07:06.840 --> 00:07:09.780]   And that's why actually our constitution is so vague.
[00:07:09.780 --> 00:07:12.460]   There are lots of more modern constitutions, take the South African
[00:07:12.460 --> 00:07:15.600]   constitution that have lots and lots and lots and lots of detailed provisions,
[00:07:15.600 --> 00:07:18.080]   tackling all kinds of problems, including modern problems.
[00:07:18.560 --> 00:07:24.000]   But the view of progressive constitutionalists is that look, when the country was founded
[00:07:24.000 --> 00:07:27.540]   and they wrote the constitution, they knew the country was going to be around for centuries.
[00:07:27.540 --> 00:07:34.460]   And they didn't intend to capture every kind of social circumstance that intend to capture
[00:07:34.460 --> 00:07:37.840]   every modern problem, which couldn't even be contemplated.
[00:07:37.840 --> 00:07:40.840]   So yeah, that's the, those are the two different kinds of
[00:07:40.840 --> 00:07:42.320]   conservatism we're talking about.
[00:07:42.320 --> 00:07:47.960]   But both originalists say, look, there's no right to abortion in the constitution.
[00:07:47.960 --> 00:07:54.080]   The founders of the country would have never imagined that we would strike down bans on abortion.
[00:07:54.080 --> 00:07:58.040]   And then social conservatives are like, well, this is a really, really important role of government.
[00:07:58.040 --> 00:07:59.540]   We're protecting unborn life.
[00:07:59.540 --> 00:08:13.640]   Amy, I don't know if you've had a chance to read Alito's draft opinion, but can you sort of walk us through his legal framework for coming to his conclusion that, that this thing needs to be struck down and why he's saying what he's saying?
[00:08:13.640 --> 00:08:17.360]   Yes, it is a 67 page opinion with another.
[00:08:17.360 --> 00:08:22.360]   30 pages or so in the appendix and what he tackles it in two ways.
[00:08:22.360 --> 00:08:37.360]   The first is kind of from this originalist perspective, he looks at the idea of whether or not the right to an abortion is something that is deeply rooted in our country's history.
[00:08:37.360 --> 00:08:46.760]   And he concludes that it is not that not only was there no right to an abortion, he said until the late 20th century, when right around the time of the Civil War.
[00:08:46.760 --> 00:08:48.360]   Right around the time that the court.
[00:08:48.360 --> 00:08:54.840]   Issued its decision in Roe, but in fact, abortion was a crime in many places.
[00:08:54.840 --> 00:09:04.480]   And so he starts from that premise that there's no deeply rooted tradition of abortion being a right under the Constitution.
[00:09:04.480 --> 00:09:08.160]   And that goes to the idea of what did the framers intend?
[00:09:08.160 --> 00:09:16.080]   Does it fall within this fundamental right that would be protected by the Constitution, even if it is not?
[00:09:16.160 --> 00:09:18.760]   And he says that it is not.
[00:09:18.760 --> 00:09:20.560]   It's not because it's not a right.
[00:09:20.560 --> 00:09:22.560]   It's because it's not a right under the Constitution.
[00:09:22.560 --> 00:09:24.560]   It's because it's a right under the Constitution.
[00:09:24.560 --> 00:09:29.560]   And that's why he says that abortion is not something that is specifically enumerated in the Constitution.
[00:09:29.560 --> 00:09:36.560]   But then he also has to look at Roe and Casey because those laws have been in effect that those cases have been in effect for 50 years now.
[00:09:36.560 --> 00:09:41.480]   The court issued this decision in Roe in the early 70s and then reaffirmed it in Casey in 1992.
[00:09:41.480 --> 00:09:44.920]   Because the Supreme Court and courts generally have a principle.
[00:09:44.920 --> 00:09:45.960]   Called Stare Decisis.
[00:09:45.960 --> 00:09:50.160]   They're decisions just because they think the earlier decisions are wrong.
[00:09:50.160 --> 00:09:53.360]   That there needs to be a good reason to do that.
[00:09:53.360 --> 00:09:59.360]   And the court has never said specifically exactly what you need to do to overrule a decision.
[00:09:59.360 --> 00:10:06.960]   But over the years, they have outlined some factors that you can look at to decide whether or not you should do so.
[00:10:06.960 --> 00:10:09.760]   And so he walks through those factors.
[00:10:09.760 --> 00:10:15.760]   The idea that Roe and Casey were simply wrong when they were decided for
[00:10:15.760 --> 00:10:20.760]   the reasons that Tom has just discussed and that Alita discusses at great length.
[00:10:20.760 --> 00:10:25.560]   That there's no deeply rooted tradition of abortion being a right.
[00:10:25.560 --> 00:10:35.560]   The idea that another thing that courts often look at is whether or not people have relied on the court's decisions here in Roe and Casey.
[00:10:35.560 --> 00:10:45.560]   And he said that even in Casey, there wasn't this idea that people arrange their personal lives in the short term around the idea that they have a right to abortion.
[00:10:45.560 --> 00:10:49.560]   They've looked at it in Casey and sort of in people since then.
[00:10:49.560 --> 00:10:55.560]   And sort of the broader sense that women have made decisions about their lives.
[00:10:55.560 --> 00:10:59.560]   So with the idea that they will have reproductive freedom.
[00:10:59.560 --> 00:11:03.560]   And he says that's really not the right way to look at the issue of reliance.
[00:11:03.560 --> 00:11:12.560]   He looks at whether or not the test that the Supreme Court has and other courts have been using to review restrictions on abortion.
[00:11:12.560 --> 00:11:15.360]   This undue burden standard is what's being used.
[00:11:15.360 --> 00:11:17.360]   What's what he calls workable.
[00:11:17.360 --> 00:11:29.360]   And he concludes that it's not workable because he says this idea of an undue burden test is so amorphous that courts have reached all kinds of different decisions on various abortion restrictions.
[00:11:29.360 --> 00:11:35.360]   And so for those reasons, he says the abortion is a profound moral question, he says.
[00:11:35.360 --> 00:11:38.360]   But it's not one that is protected by the Constitution.
[00:11:38.360 --> 00:11:45.160]   It's a question that should be decided by the people and their representatives and should go back to the state.
[00:11:45.160 --> 00:11:46.160]   Can I just follow up on that point?
[00:11:46.160 --> 00:11:56.160]   So I think a lot of people when they read a headline like Roe v Wade overturned, they think that the Supreme Court is directly legislating on the issue of abortion.
[00:11:56.160 --> 00:11:59.160]   And it means abortion ban nationwide.
[00:11:59.160 --> 00:12:05.160]   I think that may be even the popular conception of what of what just happened.
[00:12:05.160 --> 00:12:14.960]   Can you just explain that a little bit more that you know, what exactly is the Supreme Court deciding on this issue and specifically what the Supreme Court is doing here is more deciding who gets to decide.
[00:12:14.960 --> 00:12:16.960]   Rather than issuing policy themselves.
[00:12:16.960 --> 00:12:18.960]   Could you just explain that for for viewers?
[00:12:18.960 --> 00:12:30.960]   And as you do that, maybe you could just highlight the role the Supreme Court is meant to have in in our system of government, just as a basic kind of concept, which I'm not sure is like, as clearly understood here.
[00:12:30.960 --> 00:12:31.960]   Sure.
[00:12:31.960 --> 00:12:44.760]   So you know, there are the three branches of government, the President, the executive branch, the legislative branch, which is Congress, and the Supreme Court, and the Supreme Court's job is to, in this case, to make sure that the Supreme Court is doing what it's supposed to do.
[00:12:44.760 --> 00:12:46.760]   And that is to, in this case, interpret the Constitution.
[00:12:46.760 --> 00:12:51.760]   Now, some of the cases that come to the Supreme Court are technical, they don't even involve the Constitution.
[00:12:51.760 --> 00:13:00.760]   What did Congress mean to say when it enacted this law about bankruptcy, but then it also gets these really momentous cases like abortion.
[00:13:00.760 --> 00:13:02.760]   And this case is a challenge.
[00:13:02.760 --> 00:13:14.560]   It came that the actual case that came to the Supreme Court is a challenge to a Mississippi law that was passed with the idea that it could go to the Supreme Court and challenge Roe and Casey.
[00:13:14.560 --> 00:13:23.560]   But a Mississippi law that was passed a couple of years ago that would ban virtually all abortions after the 15th week of pregnancy.
[00:13:23.560 --> 00:13:44.360]   And so abortion providers in Mississippi went to court and said, under the Supreme Court's jurisprudence, these decisions in Roe and Casey, this law is unconstitutional because women, you know, as the law currently stands, have a right to an abortion up until the point at which the fetus becomes viable, which is around 20 years old.
[00:13:44.360 --> 00:13:51.160]   So it's not a law that's going to last around 24 weeks, but it's certainly well after the 15th week of pregnancy.
[00:13:51.160 --> 00:14:03.160]   So the case made its way up there as a challenge to this Mississippi law, but the state of Mississippi in defending the law specifically asked the court to overrule Roe and Casey.
[00:14:03.160 --> 00:14:14.160]   And so what that means is the Supreme Court is deciding whether or not this law is unconstitutional if the Supreme Court, as the draft opinion suggests, holds that the law is constitutional.
[00:14:14.160 --> 00:14:24.960]   That Roe and Casey should be overruled, then the issue does go back to the states is the way that most people think of it.
[00:14:24.960 --> 00:14:37.960]   And each state, whether it's Mississippi or Texas or Oklahoma or California, can decide for itself whether or not they want to allow abortions and if so, on what terms.
[00:14:37.960 --> 00:14:41.960]   You know, I think it's a little bit, you know, it does go back to the states.
[00:14:41.960 --> 00:14:43.960]   The people can decide.
[00:14:43.960 --> 00:15:05.760]   Defenders of Roe and Casey, supporters of abortion rights, say that part of the Supreme Court's job is to say what the Constitution means and that there are some rights like freedom of speech, you know, the Second Amendment, the right to bear arms that are, if they're in the Constitution, then the states shouldn't be allowed to decide that the Supreme Court's job is to protect them.
[00:15:05.760 --> 00:15:13.760]   So if they strike this down, basically all the state legislatures will start to pass their own laws that govern what happens in that state.
[00:15:13.760 --> 00:15:19.760]   And the federal government will not have a role or a say ultimately in state abortion laws.
[00:15:19.760 --> 00:15:20.760]   Is that fair?
[00:15:20.760 --> 00:15:23.760]   Is that what's going to happen next if this gets struck down?
[00:15:23.760 --> 00:15:24.760]   Yes.
[00:15:24.760 --> 00:15:40.760]   I mean, there are already, you know, at least a dozen, if not more states that have what's called trigger laws that have already been passed by the state legislature with an eye towards this decision or some other decision by the Supreme Court over ruling Roe and Casey.
[00:15:40.760 --> 00:15:43.560]   So those states wouldn't even have to pass new laws.
[00:15:43.560 --> 00:15:46.560]   So the laws restricting abortion would go into effect immediately.
[00:15:46.560 --> 00:16:01.560]   And can I just ask, maybe for SACS too, like, why isn't there a constitutional amendment if this is an issue that folks feel, you know, should be kind of indoctrinated as an amendment to the Constitution?
[00:16:01.560 --> 00:16:03.560]   Why has that not happened?
[00:16:03.560 --> 00:16:11.360]   And, you know, why do these cases kind of keep recycling and the decision making kind of keeps going back to the states and they keep getting litigated?
[00:16:11.360 --> 00:16:13.360]   Why don't constitutional amendments get passed anymore?
[00:16:13.360 --> 00:16:17.360]   It's really difficult to pass a constitutional amendment.
[00:16:17.360 --> 00:16:18.360]   Tommy, I'm sorry.
[00:16:18.360 --> 00:16:19.360]   Go ahead.
[00:16:19.360 --> 00:16:24.360]   Oh, no, I was going to say, yeah, let me just step back first on this question of states versus the federal government.
[00:16:24.360 --> 00:16:32.360]   So when the Supreme Court says the Constitution doesn't give you a right to an abortion, they aren't technically saying, okay, now it'll be up to the state legislatures.
[00:16:32.360 --> 00:16:34.360]   They're saying it'll be up to legislatures.
[00:16:34.360 --> 00:16:43.160]   So you have to pause on the fact that it is at this point possible that you could have a federal protection for abortion or a federal ban on abortion.
[00:16:43.160 --> 00:16:46.160]   Then the question would be, is that constitutional?
[00:16:46.160 --> 00:16:50.160]   Or is this a state's rights issue where only the states can regulate it?
[00:16:50.160 --> 00:16:54.160]   But there is a big, big, big fight looming in Congress on both sides.
[00:16:54.160 --> 00:17:08.160]   The only reason that you're not getting a federal statute when you have a Democrats in control of the Senate, the House and the presidency, the only reason you're not getting a federal statute protecting your right to an abortion is the filibuster, essentially.
[00:17:08.160 --> 00:17:09.160]   Right.
[00:17:09.160 --> 00:17:11.160]   And the fact—
[00:17:11.160 --> 00:17:12.960]   Sorry, just to interrupt.
[00:17:12.960 --> 00:17:14.960]   A statute is a law, not a constitutional amendment, right?
[00:17:14.960 --> 00:17:15.960]   Can you just distinguish between the two?
[00:17:15.960 --> 00:17:16.960]   That's right.
[00:17:16.960 --> 00:17:21.960]   So the Constitution is our foundational document.
[00:17:21.960 --> 00:17:25.960]   It's what creates the Congress and gives Congress the power to regulate certain things.
[00:17:25.960 --> 00:17:28.960]   It creates the presidency and it creates the Supreme Court.
[00:17:28.960 --> 00:17:30.960]   And so it's the most important thing.
[00:17:30.960 --> 00:17:32.960]   You can't do something that violates the Constitution.
[00:17:32.960 --> 00:17:42.760]   Then Congress can pass laws and states can't do anything that is contrary to either the federal Constitution or a federal statute unless the Constitution is in force.
[00:17:42.760 --> 00:17:46.760]   And that's the Constitution says, "Oh, only the states can handle this question."
[00:17:46.760 --> 00:17:53.760]   So there would be a big fight over whether abortion is strictly the regime and strictly the purview of the states to deal with.
[00:17:53.760 --> 00:17:56.760]   Then you say, "Okay, well, the Constitution stands above everything else.
[00:17:56.760 --> 00:17:57.760]   Uber alice.
[00:17:57.760 --> 00:17:59.760]   Why don't we just amend the Constitution?"
[00:17:59.760 --> 00:18:02.760]   And as you suggest, we're just not in the business of doing that anymore.
[00:18:02.760 --> 00:18:08.760]   We have very few constitutional amendments and we haven't done it in a long time.
[00:18:08.760 --> 00:18:10.760]   The Constitution imposes all kinds of hurdles in terms of congressional office.
[00:18:10.760 --> 00:18:11.760]   Right.
[00:18:11.760 --> 00:18:14.760]   In terms of congressional authorization, state authorization.
[00:18:14.760 --> 00:18:17.760]   It's why the Equal Rights Amendment was never passed.
[00:18:17.760 --> 00:18:25.760]   It's just incredibly hard to get the kind of super majority in the country that you need to amend the Constitution and our kind of foundational rights.
[00:18:25.760 --> 00:18:28.760]   And that's what's made the Supreme Court so important, by the way.
[00:18:28.760 --> 00:18:31.760]   And that is we have something like the Equal Protection Clause.
[00:18:31.760 --> 00:18:33.760]   We have a right to free speech.
[00:18:33.760 --> 00:18:36.760]   We have a right to the free exercise of religion.
[00:18:36.760 --> 00:18:40.760]   And those are big, capacious phrases that nobody can objectively tell you what they mean.
[00:18:40.760 --> 00:18:42.760]   What five justices of the Supreme Court say they mean.
[00:18:42.760 --> 00:18:46.760]   And that's why there are all these fights over Supreme Court appointments.
[00:18:46.760 --> 00:18:53.760]   Because the justices have enormous power by five, four majorities to fundamentally change the course of American life.
[00:18:53.760 --> 00:18:55.760]   And it can be in a conservative direction or a more liberal direction.
[00:18:55.760 --> 00:19:02.760]   Remember, the most famous thing the Supreme Court has done recently before this decision is recognizing a right to gay marriage.
[00:19:02.760 --> 00:19:03.760]   I want to go there.
[00:19:03.760 --> 00:19:09.760]   But just before I go there, I want to go back to something that Amy mentioned, which is stare decisis, this idea of precedent.
[00:19:09.760 --> 00:19:19.760]   My understanding is that when Supreme Court nominees go through the confirmation process, this is a really important part of what they're asked.
[00:19:19.760 --> 00:19:22.760]   Right through their confirmation process, what are your views on stare decisis?
[00:19:22.760 --> 00:19:24.760]   What are your views on Roe?
[00:19:24.760 --> 00:19:38.760]   And there's a lot of discussion right now about whether, you know, specifically Gorsuch and Kavanaugh, who signed up to this Alito draft at least, may have lied to Congress in the way that they answered their questions.
[00:19:38.760 --> 00:19:48.760]   I don't know if you guys can sort of talk us through that and whether you have an opinion on that and their actual congressional testimony to get confirmed.
[00:19:48.760 --> 00:19:55.760]   So what they said, and I went back actually and looked at some, although not all of Justice Kavanaugh's confirmation hearings today, actually.
[00:19:55.760 --> 00:20:02.760]   You know, what they said at their confirmation hearings was that Roe and Casey were settled law.
[00:20:02.760 --> 00:20:07.760]   That Roe has been in effect for 50 years and then Casey came along and reaffirmed it.
[00:20:07.760 --> 00:20:12.760]   So I think Justice Kavanaugh called it precedent on top of precedent.
[00:20:12.760 --> 00:20:14.760]   So that seems like stare decisis.
[00:20:14.760 --> 00:20:16.760]   It just said in different words or no.
[00:20:16.760 --> 00:20:17.760]   Oh, yeah.
[00:20:17.760 --> 00:20:24.760]   And there's no question that all of the nominees that have gone through have acknowledged because it's not just two cases.
[00:20:24.760 --> 00:20:26.760]   There are 10 abortion cases.
[00:20:26.760 --> 00:20:30.760]   You know, this has been in front of the Supreme Court ever since '73 over and over and over again.
[00:20:30.760 --> 00:20:33.760]   And Casey adopted this framework and it's been reaffirmed over and over and over.
[00:20:33.760 --> 00:20:36.760]   And the court has been moving in a conservative direction, upholding more abortion restrictions.
[00:20:36.760 --> 00:20:40.760]   But the foundation, the core of Roe has been there.
[00:20:40.760 --> 00:20:41.760]   But the issue is this.
[00:20:41.760 --> 00:20:46.760]   When someone says this is a precedent and a super precedent, they are not saying it cannot be overruled.
[00:20:46.760 --> 00:20:48.760]   Everything can be overruled.
[00:20:48.760 --> 00:20:51.760]   And so that's why Alito's draft is so strong.
[00:20:51.760 --> 00:20:57.760]   It uses a formulation that Kavanaugh has used, which is egregiously wrong from the start.
[00:20:57.760 --> 00:21:00.760]   So that if something is just outrageously totally wrong.
[00:21:00.760 --> 00:21:05.760]   Now, pause to the fact that a super majority of Supreme Court justices have thought it was correct.
[00:21:05.760 --> 00:21:07.760]   Including a bunch of Republican appointees.
[00:21:07.760 --> 00:21:08.760]   For 50 years.
[00:21:08.760 --> 00:21:09.760]   For 50 years.
[00:21:09.760 --> 00:21:10.760]   Right.
[00:21:10.760 --> 00:21:12.760]   And, you know, including the court that first adopted it.
[00:21:12.760 --> 00:21:21.760]   But this majority has come up in a kind of jurisprudential, with a jurisprudential vision that's sufficiently conservative to say,
[00:21:21.760 --> 00:21:25.760]   this is essentially the most outrageous thing the Supreme Court has ever done is Roe.
[00:21:25.760 --> 00:21:34.760]   Because it interjected itself without any textual basis into one of the foundational moral debates of our time, which is what legislature should be handling.
[00:21:34.760 --> 00:21:45.760]   So now some of the, you know, moderate Republicans, Susan Collins, Senator Mikowski, have said they're quite upset about this because they feel misled.
[00:21:45.760 --> 00:21:53.760]   But I think the defenders of the justices would say, well, I mean, they did say it was precedent on precedent, but they didn't say it was immune from being overruled.
[00:21:53.760 --> 00:21:54.760]   And here you go.
[00:21:54.760 --> 00:22:02.760]   Just to add in one tiny little detail in the draft opinion by Justice Alito.
[00:22:02.760 --> 00:22:03.760]   Is that one of the things he talked about.
[00:22:03.760 --> 00:22:15.760]   When he's outlining the principle of stare decisis, he says that this principle is actually at its weakest in cases like this one involving the interpretation of the Constitution.
[00:22:15.760 --> 00:22:19.760]   Because only the Supreme Court gets to say what the Constitution means.
[00:22:19.760 --> 00:22:29.760]   And at some point, you don't want to sort of trundle along with an interpretation of the Constitution that is, as Tom suggested, egregiously wrong.
[00:22:29.760 --> 00:22:32.760]   He said, you know, if you're talking about a Supreme Court decision interpretation,
[00:22:32.760 --> 00:22:42.760]   a law that was passed by Congress, if Congress doesn't like that decision, they can get together and pass a new law.
[00:22:42.760 --> 00:22:45.760]   But only the Supreme Court can say what the law is.
[00:22:45.760 --> 00:22:49.760]   So I'm not, obviously, I'm not defending the Alito opinion.
[00:22:49.760 --> 00:22:50.760]   That's not my job as a reporter.
[00:22:50.760 --> 00:23:00.760]   But that is, I think, one of the points that someone would make in explaining why this, despite what they said at the time, they're not going to say what the law is.
[00:23:00.760 --> 00:23:01.760]   So I'm not, you know, I'm not defending the Alito opinion.
[00:23:01.760 --> 00:23:04.480]   What they said at their confirmation hearings.
[00:23:04.480 --> 00:23:07.740]   They voted to over Will Burr and Casey.
[00:23:07.740 --> 00:23:10.280]   - I'd like to ask a question first, Shema.
[00:23:10.280 --> 00:23:11.960]   I think this is really fascinating,
[00:23:11.960 --> 00:23:12.800]   like the history of it,
