
[00:00:00.040 --> 00:00:09.620]   tao
[00:24:59.720 --> 00:25:01.720]   but then the second thing has to do with what investments are held in the contract. Traditionally life insurance contracts, especially whole life insurance contracts, were part of an insurance company's general portfolio, their general account.
[00:25:01.720 --> 00:25:02.720]   but then the second thing has to do with what investments are held in the contract. Traditionally life insurance contracts, especially whole life insurance contracts, were part of an insurance company's general portfolio, their general account. The amount of money that the insurance company manages that is used to pay out to its own claims that it owes for insurance contracts.
[00:25:02.760 --> 00:25:12.660]  ,
[00:28:04.540 --> 00:28:24.140]   Rapper from the perspective of asset protection planning can be really powerful it's not the only way that you can get protection for assets you can always set up an asset protection trust but it can be a powerful way of protecting assets and if you live in a state that doesn't protect the base contract you can possibly use something like an irrevocable life insurance
[00:29:24.220 --> 00:29:33.820]   thin
[00:29:33.820 --> 00:29:39.380]   just man is as
[00:29:39.380 --> 00:29:54.200]  'mус�G N C deserve positive
[00:29:54.240 --> 00:30:00.060]   end
[00:30:00.060 --> 00:30:03.080]   Holy, de難
[00:31:20.780 --> 00:31:20.780]   and
[00:31:20.780 --> 00:31:20.780]   and
[00:31:50.080 --> 00:32:00.360]  , which is a very good idea.
[00:32:00.360 --> 00:32:18.900]   If you want to go abroad and you can use life insurance as a funding tool for some of your activities offshore. You can purchase a private placement life insurance contract which basically can give you not only the benefits of being offshore but can give you tremendous personal control over the choices of the investment managers. You can't control the investments yourself personally but you can choose an investment manager who would align with your own personal investment goals.
[00:32:18.900 --> 00:32:18.900]   Which would give you much more control over the choices of the investment managers. You can't control the investments yourself personally but you can choose an investment manager who would align with your own personal investment goals.
[00:32:18.900 --> 00:32:18.900]   Which would give you much more control over the choices of the investment managers. You can't control the investments yourself personally but you can choose an investment manager who would align with your own personal investment goals.
[00:32:47.760 --> 00:32:47.760]   It's a really thorny world to work through so I want to stop on that topic there. So let me bring it back to life insurance planning for mere mortals and I want to just give you a very simple example of how these three things can go together for normal households.
[00:32:47.760 --> 00:32:47.760]   It's a really thorny world to work through so I want to stop on that topic there. So let me bring it back to life insurance planning for mere mortals and I want to just give you a very simple example of how these three things can go together for normal households.
[00:32:47.760 --> 00:32:47.760]   It's a really thorny world to work through so I want to stop on that topic there. So let me bring it back to life insurance planning for mere mortals and I want to just give you a very simple example of how these three things can go together for normal households.
[00:32:47.760 --> 00:32:47.760]  , you know for normal households.
[00:32:47.800 --> 00:33:16.620]  , you know for normal households.
[00:33:16.620 --> 00:33:16.620]   If you we assume for a moment that you live in a state that gives you good strong creditor protection with these exemption planning ideas such as the state of Florida, you earn an income, you can do three basic things with that income.
[00:33:16.620 --> 00:33:16.660]   If you we assume for a moment that you live in a state that gives you good strong creditor protection with these exemption planning ideas such as the state of Florida, you earn an income, you earn an income, you can do three basic things with that income.
[00:33:16.660 --> 00:33:16.720]   You can pay down and pay off your own personal residence and that personal residence your homestead will be protected from the claims of your creditors.
[00:33:16.720 --> 00:33:16.720]   You can pay off your personal residence and that personal residence will be protected from the claims of your creditors.
[00:33:16.720 --> 00:33:17.720]   personal residence will be protected from the claims of your creditors and you can't be protected by the creditors.
[00:33:17.740 --> 00:33:17.800]   You can pay down and pay off your personal residence and that personal residence your homestead will be protected from the claims of your creditors.
[00:33:17.800 --> 00:33:47.680]   You can fund retirement accounts, maximize your 401 contributions, maximize your Roth IRA contributions and if you want to participate in other accounts like an educational savings account, 529 accounts, those additionally have their own asset protections, but maximize your contributions to those accounts and those accounts give you asset protection.
[00:33:47.680 --> 00:33:47.680]   Number three, you can purchase a life insurance policy, especially a life insurance policy that accumulates cash value and that gives you asset protection.
[00:33:47.680 --> 00:33:47.680]   Number three, you can purchase a life insurance policy, especially a life insurance policy that accumulates cash value and that gives you asset protection.
[00:33:47.680 --> 00:33:47.680]   Number three, you can purchase a life insurance policy, especially a life insurance policy that accumulates cash value and that gives you asset protection.
[00:33:47.680 --> 00:33:47.680]   Number three, you can purchase a life insurance policy, especially a life insurance policy that accumulates cash value and that gives you asset protection.
[00:33:47.680 --> 00:34:17.680]   and the first thing you can do is go to the real estate.
[00:34:17.680 --> 00:34:17.700]   And the first thing you can do is go to the real estate.
[00:34:17.700 --> 00:34:17.720]   And the first thing you can do is go to the real estate.
[00:34:17.720 --> 00:34:17.720]   And the first thing you can do is go to the real estate.
[00:34:17.720 --> 00:34:17.720]   Now, think about three different things of how this can benefit just an average family. One, you have exposure to real estate. So you can benefit from the appreciation of the house that you live in and you can benefit from the fact that appreciation is very tax efficient and that appreciation is protected from the claims of creditors. So you can live in a house and if you can purchase carefully, buy carefully, try to get yourself a deal, if that house, if that house is not a deal, you can buy a deal, you can buy a deal.
[00:34:17.720 --> 00:34:17.720]   I am not be a good deal.
[00:34:17.760 --> 00:34:27.740]   don
[00:34:27.740 --> 00:34:41.860]  еч demand a won
[00:35:15.280 --> 00:35:15.280]   and
[00:37:10.440 --> 00:37:13.500]   like
[00:37:13.500 --> 00:37:21.700]   ci but,
[00:37:21.700 --> 00:37:24.220]   educated SE S S I I 총 with with haltencalect, the,, ,, ., ., .. You have a good, and you can be a ac read the all und storyt inevitable." You're de dar они
[00:37:24.220 --> 00:37:39.480]   .. I. So, so, up. So, SO,‬,
[00:37:39.560 --> 00:37:41.160]   Star
[00:37:41.160 --> 00:37:50.880]   it the
[00:37:50.880 --> 00:38:08.340]  ,,, 시程 boxes33obra� conoc dip hell С Sh I H S C S C S K S C S C SS C Srioscka 100 cop goals if no 1954
[00:39:09.620 --> 00:39:20.840]   ended
[00:39:20.840 --> 00:39:21.120]   I,
[00:39:21.120 --> 00:39:29.400]   mean.腳 at.,,,,,,
[00:40:34.060 --> 00:40:34.060]   and I'm going to show you how to do it.
[00:40:34.060 --> 00:40:34.060]   I'm going to show you how to do it.
[00:40:34.060 --> 00:40:34.060]   I'm going to show you how to do it.
[00:40:34.060 --> 00:40:34.060]   I'm going to show you how to do it.
[00:40:34.060 --> 00:40:34.100]   I'm going to show you how to do it.
[00:40:34.100 --> 00:40:34.140]   I'm going to show you how to do it.
[00:40:34.140 --> 00:40:34.240]   I'm going to show you how to do it.
[00:40:34.240 --> 00:40:34.340]   I'm going to show you how to do it.
[00:40:34.340 --> 00:40:34.440]   I'm going to show you how to do it.
[00:40:34.440 --> 00:40:34.740]   I'm going to show you how to do it.
[00:40:34.740 --> 00:40:34.820]   I'm going to show you how to do it.
[00:40:34.820 --> 00:40:34.900]   I'm going to show you how to do it.
[00:40:34.900 --> 00:40:34.960]   I'm going to show you how to do it.
[00:40:34.960 --> 00:40:35.060]   I'm going to show you how to do it.
[00:40:35.060 --> 00:40:35.160]   I'm going to show you how to do it.
[00:40:35.160 --> 00:40:35.220]   I'm going to show you how to do it.
[00:41:02.140 --> 00:41:04.300]   assets from the claims of creditors and simultaneously get extremely tax efficient and good investment outcomes. Just by understanding these exemptions. You don't need to go and set up an offshore trust. You don't need that at this level. All you need is those three basic tools. Now I'm sorry if your state doesn't care very much about protecting your assets and giving you financial situation.
[00:41:04.300 --> 00:41:05.280]   I'm going to show you how to do it.
[00:41:05.300 --> 00:41:35.300]  ,
[00:41:35.300 --> 00:41:35.300]   and then I'm going to show you how to do it.
[00:41:35.300 --> 00:41:35.300]   If you can't, you can use a little help from a local trust. You can give them a little help.
[00:41:35.300 --> 00:41:35.300]   If you can't, you can use a little help from a local trust. You can give them a little help from a local trust. You can give them a little help from a local trust. You can give them a little help from a local trust. You can give them a little help.
[00:41:35.340 --> 00:42:05.320]  , you can really put some cool stuff together in the way that I have just described to you. You don't need an attorney. You don't need any, you know, a lot of money. You don't need to hire expensive financial advisors. You can do it even if you're a mere mortal and you can get very strong protection. Those three tools work beautifully together and give you wonderful results. I hope that helps to pique your interest a little bit on life insurance. It's not the only exemption, but I just wanted to put that together because I think it's a little bit of a good thing.
[00:42:05.340 --> 00:42:35.340]   I think it's a little bit of a good thing.
[00:42:35.340 --> 00:42:35.340]   I think it's a little bit of a good thing.
[00:42:35.340 --> 00:42:35.340]   I think it's a little bit of a good thing.
[00:42:35.340 --> 00:42:35.340]   I think it's a little bit of a good thing.
[00:42:35.340 --> 00:42:35.340]   I think it's a little bit of a good thing.
[00:42:35.340 --> 00:42:35.340]   I think it's a little bit of a good thing.
[00:42:35.340 --> 00:42:35.340]   I think it's a little bit of a good thing.
[00:42:35.340 --> 00:42:35.340]   I think it's a little bit of a good thing.
[00:42:35.340 --> 00:42:35.340]   I think it's a little bit of a good thing.
[00:42:35.340 --> 00:42:35.340]   I think it's a little bit of a good thing.
[00:42:35.340 --> 00:42:35.340]   I think it's a little bit of a good thing.
[00:42:35.340 --> 00:42:35.340]   I think it's a little bit of a good thing.
[00:42:35.340 --> 00:42:35.340]   I think it's a little bit of a good thing.
[00:42:35.340 --> 00:42:35.340]   I think it's a little bit of a good thing.
[00:42:35.340 --> 00:42:35.340]   I think it's a little bit of a good thing.
[00:42:35.340 --> 00:43:05.360]   I think it's a little bit of a good thing.
[00:43:05.360 --> 00:43:05.360]   I think it's a little bit of a good thing.
[00:43:05.360 --> 00:43:05.360]   I think it's a little bit of a good thing.
[00:43:05.360 --> 00:43:05.360]   I think it's a little bit of a good thing.
[00:43:05.360 --> 00:43:05.360]   I think it's a little bit of a good thing.
[00:43:05.360 --> 00:43:05.360]   I think it's a little bit of a good thing.
[00:43:05.360 --> 00:43:05.360]   I think it's a little bit of a good thing.
[00:43:05.360 --> 00:43:05.360]   I think it's a little bit of a good thing.
[00:43:05.360 --> 00:43:05.360]   I think it's a little bit of a good thing.
[00:43:05.360 --> 00:43:05.360]   I think it's a little bit of a good thing.
[00:43:05.380 --> 00:43:35.380]   I think it's a little bit of a good thing.
[00:43:35.380 --> 00:43:35.380]   I think it's a little bit of a good thing.
[00:43:35.380 --> 00:43:35.380]   I think it's a little bit of a good thing.
[00:43:35.380 --> 00:43:35.380]   I think it's a little bit of a good thing.
[00:43:35.380 --> 00:43:35.380]   I think it's a little bit of a good thing.
[00:43:35.380 --> 00:43:35.380]   I think it's a little bit of a good thing.
[00:43:35.380 --> 00:43:35.380]   I think it's a little bit of a good thing.
[00:43:35.380 --> 00:43:35.380]   I think it's a little bit of a good thing.
[00:43:35.380 --> 00:43:35.380]   I think it's a little bit of a good thing.
[00:43:35.380 --> 00:43:35.380]   I think it's a little bit of a good thing.
[00:43:35.380 --> 00:43:35.380]   I think it's a little bit of a good thing.
[00:43:35.380 --> 00:43:35.380]   I think it's a little bit of a good thing.
[00:43:35.380 --> 00:43:35.380]   I think it's a little bit of a good thing.
[00:43:35.380 --> 00:43:35.380]   I think it's a little bit of a good thing.
[00:43:35.380 --> 00:43:35.380]   I think it's a little bit of a good thing.
[00:43:35.380 --> 00:44:05.400]   I think it's a little bit of a good thing.
[00:44:05.400 --> 00:44:05.400]   I think it's a little bit of a good thing.
[00:44:05.400 --> 00:44:05.400]   I think it's a little bit of a good thing.
[00:44:05.400 --> 00:44:05.400]   I think it's a little bit of a good thing.
[00:44:05.400 --> 00:44:05.400]   I think it's a little bit of a good thing.
[00:44:05.400 --> 00:44:05.400]   I think it's a little bit of a good thing.
[00:44:05.400 --> 00:44:05.400]   I think it's a little bit of a good thing.
[00:44:05.400 --> 00:44:05.400]   I think it's a little bit of a good thing.
[00:44:05.420 --> 00:44:35.420]   I think it's a little bit of a good thing.
[00:44:35.420 --> 00:44:35.420]   I think it's a little bit of a good thing.
