
[00:00:00.000 --> 00:00:07.440]   In this chapter of the Agents SDK course we are going to be taking a look at tools. Now for tools
[00:14:50.020 --> 00:14:55.700]   have like a writer agent, which has been prompted with all this, you know, writing goodness and maybe can
[00:14:55.700 --> 00:15:03.220]   reference, you know, our past materials to generate a article or social media post or whatever. Right.
[00:15:03.220 --> 00:15:09.380]   And those two agents would work in tandem to, you know, like read, okay, what, what should we talk
[00:15:09.380 --> 00:15:15.700]   about? I'm going to generate a post and, you know, post it out and, you know, just generate loads of AI
[00:15:15.700 --> 00:15:23.060]   slop for everyone to scroll past as they're on their, on X or LinkedIn or whatever else. Right. So,
[00:15:23.860 --> 00:15:29.860]   you know, you might want to use it or not for, for that. This example is a little silly in that,
[00:15:29.860 --> 00:15:34.900]   yeah, we would just use like, you probably won't even use these as tools a lot of the time,
[00:15:34.900 --> 00:15:43.060]   but nonetheless, this is how it works. So coming down here, we've created our two tool agents or sub
[00:15:43.060 --> 00:15:47.540]   agents, however you want to call them. And then we're also going to create this orchestra agent.
[00:15:47.540 --> 00:15:52.420]   And this is the kind of like the controlling agent. So when you're using agents as tools,
[00:15:52.420 --> 00:15:58.180]   you do need like a top level agent. And we actually don't need to provide this information
[00:15:58.180 --> 00:16:04.500]   here. We can remove that. So it's just saying, okay, you're an orchestra agent. You're going to
[00:16:04.500 --> 00:16:10.100]   do some stuff. And then we have these two tools, which are agents, right? So we just write the
[00:16:10.100 --> 00:16:16.180]   multiply agent or the agent name as tool. Then we provide the tool name. So as you know,
[00:16:16.180 --> 00:16:21.380]   how do we call this and the description for it as well, let's go ahead and let's, let's put all this
[00:16:21.380 --> 00:16:28.100]   together. Let's run and we'll say, what time is it? Now, when we're using agents and tools, just remember
[00:16:28.100 --> 00:16:34.500]   that, okay, we have our orchestra agent that is going to say, I want to use the time agent. Time agent
[00:16:34.500 --> 00:16:40.260]   checks time, writes a response, takes it to the orchestra agent. Then the orchestra agent is going to write,
[00:16:40.260 --> 00:16:47.140]   it's going to read that response and then write the response to you. So it's a token heavy
[00:16:47.140 --> 00:16:53.780]   approach. Just bear that in mind. The, the handoffs are a bit lighter and better than we'll look at
[00:16:53.780 --> 00:17:02.020]   those pretty soon. So let's see what we got. And yes, you can see. Okay, cool. So we can take a quick
[00:17:02.020 --> 00:17:08.580]   look at our tracers to see what that looked like. So the, the multi-agent thing, you can see the two
[00:17:08.580 --> 00:17:14.660]   tools we use here. So go into there. There was two tools were actually the orchestra agent calling the
[00:17:14.660 --> 00:17:22.100]   fetch current time agent, and then the fetch current time agent calling the fetch current time tool. Okay.
[00:17:22.100 --> 00:17:28.580]   Again, I just want to emphasize that this is not the way that you should use sub agents,
[00:17:28.580 --> 00:17:37.380]   like all agents as tools in agents SDK. This is a very, very silly example. This is just to show you
[00:17:37.380 --> 00:17:45.940]   how it works. We'll see pretty soon more realistic examples, but for now, that is actually it. So we've
[00:17:45.940 --> 00:17:53.780]   covered tools and you know, how we, how we use tools, how we define tool, both built-in and the custom
[00:17:53.780 --> 00:18:01.380]   tools. And then we've also seen how we can use agents as tools. So that's it for this chapter.
[00:18:01.380 --> 00:18:06.660]   I will see you in the next one. Thanks.
[00:18:06.660 --> 00:18:20.260]   Bye.

