
[00:00:00.000 --> 00:00:03.000]   Do more together this holiday in a new Chevy.
[00:03:54.000 --> 00:04:01.000]   I don't remember exactly, but it's hundreds of years old. And so you'll be right in the middle of all of the stuff that can be done.
[00:04:01.000 --> 00:04:06.000]   Of course, you're going to be marketed to for all of the things that you can do, the things that you can visit, etc.
[00:04:06.000 --> 00:04:13.000]   So Valletta is really, really neat. They've got a cool Valletta experience or Malta experience, a neat theater there.
[00:04:13.000 --> 00:04:24.000]   You can go and tour the underground. It's not catacombs. It's basically the... So Malta, back up a little bit. The history of Malta is really remarkable.
[00:04:24.000 --> 00:04:48.000]   Malta was founded by the... It's a very old society, but most... Words aren't coming today. Much of what you will see when you are there, the walled city of Malta, was built by the Knights of Malta, which is a Catholic religious order that's very old.
[00:04:48.000 --> 00:05:01.000]   It's technically considered perhaps the oldest nation state in the world today. It is actually a nation state, even though it doesn't have any land, any territory that it controls at the moment.
[00:05:01.000 --> 00:05:12.000]   And they built most of the walled city of Valletta after a devastating war with the invading Turks about 400 years ago.
[00:05:12.000 --> 00:05:25.000]   And so you can get... You'll see that all around Valletta with this beautiful walled city. And then if you go to the downtown Malta experience, they've got a great video presentation, a wonderful theater.
[00:05:25.000 --> 00:05:33.000]   You can do a tour of where they had their hospital and all of the underground stuff that they built. That's really good and will give you a good overview.
[00:05:33.000 --> 00:05:39.000]   They've got a good video that will give you a good overview of the history of Malta. So that is an excellent thing to do.
[00:05:39.000 --> 00:05:46.000]   Then you have to decide, okay, do we want to go and swim and play or do we want to go and do historic things?
[00:05:46.000 --> 00:05:52.000]   If you've got 10 hours, you can go to the Blue Grotto or the Blue Lagoon.
[00:05:52.000 --> 00:06:02.000]   If you're going to go to one or the other, I would encourage you to do the Grotto. It's cooler, but I don't know what the commercial... how to get there and do it in the time that you have.
[00:06:02.000 --> 00:06:13.000]   The Blue Lagoon is really beautiful, but it's a spectacular boat ride there. But it's basically just a beautiful Mediterranean lagoon. It's very pretty, but it's a beautiful Mediterranean lagoon.
[00:06:13.000 --> 00:06:20.000]   The Blue Grotto, on the other hand, has this cool series of caves that's pretty neat to see and that is quite unique.
[00:06:20.000 --> 00:06:29.000]   Or you could go to visit some of the ruins. There's actually... I forget the name of it, but you can find it in the Malta guidebooks and whatnot.
[00:06:29.000 --> 00:06:40.000]   But they claim the oldest building built by humans there. And it's ruins now that it's protected and that's very accessible.
[00:06:40.000 --> 00:06:47.000]   So you could do a tour to some of those old ruins there and those are pretty cool to see, especially if you have time to take the tour and go around and read all the signs.
[00:06:47.000 --> 00:06:51.000]   And then you can just, I guess, soak up the walled city.
[00:06:51.000 --> 00:07:02.000]   They also have... I forget the name of it... there's several old cities that are neat. And so depending on the time that you have, you can go and walk around...
[00:07:02.000 --> 00:07:04.000]   Just a moment, let me come up with a name.
[00:07:04.000 --> 00:07:10.000]   Alright, it's Medina, the city of Medina. And that's another really neat city. It's another walled city.
[00:07:10.000 --> 00:07:14.000]   But it's pretty spectacular, but it's very different than Valletta.
[00:07:14.000 --> 00:07:21.000]   So if I had 10 hours, what I would do is I would start in Valletta, I would do the tour of Valletta.
[00:07:21.000 --> 00:07:31.000]   If I could fit them in, I would then go from there to the old ruins. It's called the Megalithic Temples.
[00:07:31.000 --> 00:07:35.000]   Hagar Khim, Manadra and Tarkshin, I think.
[00:07:35.000 --> 00:07:42.000]   And then if I could, I would then spend a couple hours in the city of Medina and have dinner in Medina.
[00:07:42.000 --> 00:07:48.000]   We were there a couple times at evening time and night time and it's really spectacular.
[00:07:48.000 --> 00:07:51.000]   It's a city, there's no cars in it, it's an old walled city.
[00:07:51.000 --> 00:07:58.000]   And it gives you even more than Valletta, because Valletta has a lot of cars and streets going through it.
[00:07:58.000 --> 00:08:02.000]   Of course the streets are tiny, but Medina has no cars going through it.
[00:08:02.000 --> 00:08:10.000]   And so you can walk around the city, beautiful architecture, and you can really picture... it's no different than it was 300 years ago.
[00:08:10.000 --> 00:08:15.000]   And it's really spectacular. And I love looking at old architecture and thinking about the design behind it.
[00:08:15.000 --> 00:08:21.000]   So for example, one of the things you'll notice about Medina that I noticed, is I noticed all the way the city was constructed.
[00:08:21.000 --> 00:08:27.000]   So Malta gets very, very hot. It's a Mediterranean climate, very dry in the dry season.
[00:08:27.000 --> 00:08:32.000]   And so when you walk around Medina, you see for example that all the streets are tiny.
[00:08:32.000 --> 00:08:37.000]   And the streets are tiny because that maximizes shade. It keeps the streets cool, comfortable places to walk.
[00:08:37.000 --> 00:08:42.000]   It keeps them to be cool and comfortable places for vendors to sell things and to be a part of the city.
[00:08:42.000 --> 00:08:49.000]   And so if you do a little bit of studying on medieval architecture and how ancient cities are designed to do without electricity,
[00:08:49.000 --> 00:08:57.000]   ancient cities are designed to do without air conditioning systems and such, then it's a really neat experience to be in Medina.
[00:08:57.000 --> 00:08:59.000]   So those would be my three.
[00:08:59.000 --> 00:09:07.000]   Okay, that sounds great because that's a lot better than what the ship or some guidebook is going to tell you. So I really appreciate that.
[00:09:07.000 --> 00:09:12.000]   Yeah, my pleasure. And the other thing is Malta is exceedingly small.
[00:09:12.000 --> 00:09:20.000]   And so you can pretty easily, if you don't want to take a guided tour, you can do all that stuff yourself.
[00:09:20.000 --> 00:09:28.000]   So you can rent a car. They have several of the car services that you can rent hourly, right, go to global, things like that.
[00:09:28.000 --> 00:09:36.000]   I rented a car several times and those are cool. You can use ride sharing. I don't remember.
[00:09:36.000 --> 00:09:41.000]   I don't think they have. Yeah, they do have. They have some local version. It's like Uber.
[00:09:41.000 --> 00:09:48.000]   I don't remember the name of it, but that's easy to find. And/or they have a bus system that will take you to all of the systems as well.
[00:09:48.000 --> 00:09:51.000]   So the whole island is connected by bus. So it'll take more time.
[00:09:51.000 --> 00:09:57.000]   So if you have more time and want to spend less money, then the bus system itself will be a great option for you.
[00:09:57.000 --> 00:10:02.000]   All right, we go on. Enjoy your trip. I really enjoyed Malta. I don't think I would want to live there.
[00:10:02.000 --> 00:10:10.000]   I'm not so keen on the island thing. It makes me feel claustrophobic. I got island fever pretty quickly, but I did enjoy my visit there.
[00:10:10.000 --> 00:10:14.000]   We go on to Nick. Nick, welcome to the show. How can I serve you today?
[00:10:14.000 --> 00:10:20.000]   Thank you for taking my call, Joshua. I have a question regarding switching term life insurance.
[00:10:20.000 --> 00:10:28.000]   The story is that two years ago, hearing your show, I decided that I should get a term life insurance for my family, which I did.
[00:10:28.000 --> 00:10:38.000]   And I ended up getting a premium of $90 per month for a 20-year term at $1 million.
[00:10:38.000 --> 00:10:46.000]   And as part of that, there was a nurse that came to our home and took some blood and took some urine.
[00:10:46.000 --> 00:10:51.000]   It's two years later now, and I'm in a significantly better shape than I was then.
[00:10:51.000 --> 00:11:00.000]   So I'm wondering if I was to repeat this process, I would hope that I would get a significantly lower premium or maybe get the same premium but for higher coverage.
[00:11:00.000 --> 00:11:05.000]   And I wasn't sure how to navigate the switching of term insurances.
[00:11:05.000 --> 00:11:15.000]   Yeah, super easy. So the first thing you can do is if you like the policy that you bought, then you can contact your agent and the company and ask for a reconsideration.
[00:11:15.000 --> 00:11:24.000]   And they'll have a system where you say, "Listen, I've got this term insurance policy. I'd like to keep it. Would you be willing to do reconsideration on the policy? Is that something that you offer?"
[00:11:24.000 --> 00:11:30.000]   They don't have to offer it, but many of them will because they want you to keep the policy on the books.
[00:11:30.000 --> 00:11:41.000]   And so if you've had it for a couple years, they know that if you've improved your health, then there's a good chance you're going to go to some other company, buy a new policy and replace their policy.
[00:11:41.000 --> 00:11:46.000]   So they would just assume you keep the current one, but they'll give you new reconsideration.
[00:11:46.000 --> 00:11:51.000]   So if they do that, they'll simply send out a nurse again. They'll do the whole medical exam again.
[00:11:51.000 --> 00:11:55.000]   You won't have to go through underwriting all of the rest of the stuff.
[00:11:55.000 --> 00:12:07.000]   And then if your markers and things have improved enough, then they'll go ahead and give you a better – they may go ahead and give you a better premium and change your rating.
[00:12:07.000 --> 00:12:14.000]   And there's no downside. They can't take the policy away if it's gotten worse. It's not going to go up, so there's no reason not to do that.
[00:12:14.000 --> 00:12:28.000]   Then secondarily, all you need to do is contact – if they don't offer reconsideration or if you want to simply shop the marketplace again, which you should, you simply contact a life insurance agent.
[00:12:28.000 --> 00:12:39.000]   You explain that you'd like to get some life insurance. You explain that you're going to be replacing a policy because you got rated and you've lost weight and everything is better now.
[00:12:39.000 --> 00:12:42.000]   And then you'll just simply apply for a new policy.
[00:12:42.000 --> 00:12:48.000]   Now when you apply for the new policy, then it will be technically what's called a replacement.
[00:12:48.000 --> 00:12:52.000]   That only matters to the insurance agent. It doesn't matter at all to you. You don't need to know about it.
[00:12:52.000 --> 00:12:58.000]   But the insurance agent will note the number of the policy that you are – the name of the company that you're replacing.
[00:12:58.000 --> 00:13:06.000]   And you'll get a replacement notice from the company that you're replacing saying, "Hey, we want you to keep our insurance."
[00:13:06.000 --> 00:13:12.000]   And then you have to just decide in terms of the money when you go to actually apply for it.
[00:13:12.000 --> 00:13:21.000]   You can go ahead and apply for the policy and do like you did before where you give them a first month's premium payment at the time of application.
[00:13:21.000 --> 00:13:27.000]   And then they'll go ahead and you'll have basically two policies enforced simultaneously.
[00:13:27.000 --> 00:13:36.000]   Or if you want to handle the money basically perfectly, then you'll apply for the policy without submitting any premium payment, no consideration.
[00:13:36.000 --> 00:13:40.000]   So the contract will not be enforced because there's no consideration for the contract.
[00:13:40.000 --> 00:13:45.000]   But then they'll do the underwriting. They'll approve the policy. And then they'll tell you the rate.
[00:13:45.000 --> 00:13:54.000]   And then if you like the rate and you wish to accept the policy, then you'll simply accept the policy, pay the first month's premium when you accept the policy, and then go ahead and cancel your other contract.
[00:13:54.000 --> 00:14:04.000]   Okay. So for the current insurance that I have, I pretty much just found it via an ad on YouTube. It was an online-only thing.
[00:14:04.000 --> 00:14:09.000]   How would you advise me to – if I need to go to the market, how would you advise me that I do that?
[00:14:09.000 --> 00:14:13.000]   Yeah. So I'll explain my answer and I'll explain why my answer is.
[00:14:13.000 --> 00:14:19.000]   First of all, I would contact someone whose primary business is life insurance.
[00:14:19.000 --> 00:14:28.000]   And the only way that I know how to do that in the United States is to contact one of the big traditional life insurance companies.
[00:14:28.000 --> 00:14:34.000]   So the big ones in the United States would be New York Life and Northwestern Mutual.
[00:14:34.000 --> 00:14:38.000]   MassMutual would also work fine and Guardian is acceptable.
[00:14:38.000 --> 00:14:52.000]   But New York Life and Northwestern Mutual, more than any other insurance company, are dedicated to the traditional insurance system where they have their own agents, their own offices all across the country, and they're trained insurance agents.
[00:14:52.000 --> 00:14:58.000]   They start people with insurance. They're insurance specialists. That's where their income comes from.
[00:14:58.000 --> 00:15:03.000]   Their agents are not limited to selling their policies, though.
[00:15:03.000 --> 00:15:22.000]   So for example, when I was an insurance agent at the time with Northwestern Mutual years ago, I would sell policies from Northwestern Mutual and I would also sell policies from any other company that brokered their business, which is virtually all of them except those big companies.
[00:15:22.000 --> 00:15:36.000]   And so if you just want a cheap term life insurance policy, that insurance agent can sell it to you, a cheap policy from Banner or from Guardian or not Guardian but American General or Prudential or whoever happens to be the cheapest at that time.
[00:15:36.000 --> 00:15:41.000]   They can do that and then they can also sell you their company's flagship policies as well.
[00:15:41.000 --> 00:15:54.000]   The reason I say that is when you work with an agent like that, you actually speak to somebody who is an insurance agent who is incentivized to provide you with advice and service.
[00:15:54.000 --> 00:16:15.000]   Now that means two things. It means number one, they're incentivized to provide you with advice and service that will help them sell lots of products, but it also means they're incentivized to actually take a comprehensive look at your situation and give you knowledgeable input into your situation and make product recommendations.
[00:16:15.000 --> 00:16:27.000]   You will not pay any more to actually have a relationship with an insurance agent like that than you do by going and responding to a YouTube ad from termlifeinsurance.com.
[00:16:27.000 --> 00:16:45.000]   The way that those businesses work is they are contracted with the same cheap term life insurance companies that all the insurance agents are contracted with.
[00:16:45.000 --> 00:16:59.000]   Their sales funnel is different. They're focused on your responding to an ad and I simply don't think you get as good service when you're going to a phone bank and the phone bank is staffed by insurance agents, etc.
[00:16:59.000 --> 00:17:09.000]   But their model is much more quick selling rather than consultative planning selling, which is what the traditional insurance agents will do.
[00:17:09.000 --> 00:17:16.000]   So I'm biased because I came out of the traditional system, but I don't see how anybody wins.
[00:17:16.000 --> 00:17:32.000]   If you have the choice between working with an insurance agent versus with a phone bank insurance agent, I don't see how you win in working with the phone bank insurance agent versus the traditional knowledgeable person who can take your case and give actual good advice on it.
[00:17:32.000 --> 00:17:40.000]   The only reason why you wouldn't do that is if you were scared of sales pressure or you got connected with some insurance agent that you didn't like.
[00:17:40.000 --> 00:17:44.000]   In my experience, I don't think you should be really concerned about that.
[00:17:44.000 --> 00:18:01.000]   I never knew in my time, I never actually knew any "pushy" insurance agents, meaning that most professional life insurance agents understand that you make your recommendations based upon the actual situation of the client.
[00:18:01.000 --> 00:18:06.000]   And I never knew any personally who did any kind of pushy sales tactics.
[00:18:06.000 --> 00:18:11.000]   Most of that was like the 1950s, the kind of culture that existed many decades ago.
[00:18:11.000 --> 00:18:14.000]   Today, it's all consultative relational selling.
[00:18:14.000 --> 00:18:16.000]   So that's what I would do.
[00:18:16.000 --> 00:18:24.000]   I would call, and the way that I would get it, I would look in Maps or whatever, a Maps app or whatever version of a directory is.
[00:18:24.000 --> 00:18:28.000]   I would find a local New York Life or Northwestern Mutual office.
[00:18:28.000 --> 00:18:33.000]   I would call and speak to the managing director and I would explain, "I'm looking for an insurance policy, need a replacement.
[00:18:33.000 --> 00:18:36.000]   Could you refer me to one of your agents?"
[00:18:36.000 --> 00:18:42.000]   And they'll just simply refer you to one of their agents and that agent will be able to help you and work the process through with you.
[00:18:42.000 --> 00:18:48.000]   So if you were in my shoes, would you take this opportunity to move away from the online only thing and go the brick and mortar?
[00:18:48.000 --> 00:18:51.000]   Or again, if you were in my shoes?
[00:18:51.000 --> 00:18:53.000]   There is no moving away.
[00:18:53.000 --> 00:19:06.000]   So what is most likely to happen, do you receive ongoing solicitations and advertisements from the firm to the email address that you registered with the firm that you worked with the first time?
[00:19:06.000 --> 00:19:07.000]   No.
[00:19:07.000 --> 00:19:09.000]   Okay. So that's normal.
[00:19:09.000 --> 00:19:14.000]   So what has happened, meaning, let me be precise.
[00:19:14.000 --> 00:19:17.000]   I'm surprised that they haven't contacted you at all.
[00:19:17.000 --> 00:19:19.000]   That's bad salesmanship on their part.
[00:19:19.000 --> 00:19:26.000]   Usually they'll have some kind of drip campaign where they send you emails on an ongoing basis at least every few months.
[00:19:26.000 --> 00:19:36.000]   But the point is that you don't have any relationship with the insurance agency that sold you the original policy.
[00:19:36.000 --> 00:19:39.000]   They sold you a policy.
[00:19:39.000 --> 00:19:44.000]   Your relationship now is with the insurance company that holds that policy.
[00:19:44.000 --> 00:19:50.000]   Once they deliver the contract, the contract then is in force and their obligation to you ends.
[00:19:50.000 --> 00:19:54.000]   Now you can call them and buy another policy, and that's fine to do.
[00:19:54.000 --> 00:19:59.000]   But you don't have any relationship with them.
[00:19:59.000 --> 00:20:02.000]   So there's nothing to change.
[00:20:02.000 --> 00:20:09.000]   You may be able to get their insurance agent to answer the phone, but it's unlikely to be the same insurance agent that sold you the policy.
[00:20:09.000 --> 00:20:16.000]   It's more likely to be just a representative to try to help you with the reconsideration, and probably what you'll do is just call the company directly.
[00:20:16.000 --> 00:20:24.000]   So that's another kind of difference between the online phone bank model and the insurance agent model,
[00:20:24.000 --> 00:20:31.000]   is that if you can find a career insurance agent, then you'll have contact with that agent for an ongoing period of time.
[00:20:31.000 --> 00:20:38.000]   Most likely the agent, at least if they're good, he or she will call you regularly.
[00:20:38.000 --> 00:20:42.000]   I was always trained to call my client base every six months,
[00:20:42.000 --> 00:20:48.000]   because basically we know that about every couple of years people's insurance situation is going to change,
[00:20:48.000 --> 00:20:53.000]   and there's new sales there for good clients, for upwardly mobile clients.
[00:20:53.000 --> 00:20:55.000]   So the agent will keep in touch with you.
[00:20:55.000 --> 00:21:01.000]   The agent will have time dedicated to actually handle your customer service stuff himself,
[00:21:01.000 --> 00:21:04.000]   and/or he'll have staff members that will do that.
[00:21:04.000 --> 00:21:12.000]   And so that's where you actually do have a relationship, is if you go with kind of a traditional insurance agency that services your policies.
[00:21:12.000 --> 00:21:14.000]   So you don't have a relationship.
[00:21:14.000 --> 00:21:20.000]   All that will happen is when you replace the contract, if it's been within two years of the time that you bought it,
[00:21:20.000 --> 00:21:27.000]   when the contract gets replaced, then the agency will get a notification that this contract is being replaced, it's going out of force,
[00:21:27.000 --> 00:21:30.000]   and then you may hear from an agent, if they have a replacement department,
[00:21:30.000 --> 00:21:34.000]   you may hear from an agent who will reach out and say, "Hey, wait a second, don't replace the policy."
[00:21:34.000 --> 00:21:41.000]   But the facts that you're describing are exactly the kind of facts where you should replace the policy.
[00:21:41.000 --> 00:21:44.000]   Okay. All right. Okay. Thank you very much.
[00:21:44.000 --> 00:21:47.000]   My pleasure. It's actually pretty simple, and it's their job.
[00:21:47.000 --> 00:21:51.000]   Insurance agents, that's what they're supposed to do, is help you work your way through it.
[00:21:51.000 --> 00:21:55.000]   And good job. Congrats on losing weight and getting your blood markers and everything better.
[00:21:55.000 --> 00:21:59.000]   Scott, welcome to the show. How can I serve you today?
[00:21:59.000 --> 00:22:03.000]   Scott, you're up.
[00:22:03.000 --> 00:22:05.000]   All right, Scott, we'll come back in a moment.
[00:22:05.000 --> 00:22:13.000]   We go to 215 Area Code. Welcome to the show. How can I serve you today?
[00:22:13.000 --> 00:22:18.000]   215 Area Code. All right.
[00:22:18.000 --> 00:22:19.000]   Can you hear me?
[00:22:19.000 --> 00:22:22.000]   Who's that? Now I can. Hold on.
[00:22:22.000 --> 00:22:24.000]   Yes, I can hear you. Go ahead.
[00:22:24.000 --> 00:22:26.000]   Sorry about that.
[00:22:26.000 --> 00:22:31.000]   I'm sure you've gotten this question before, but I'm trying to evaluate a new job offer
[00:22:31.000 --> 00:22:38.000]   and compare my existing situation with a potential new situation.
[00:22:38.000 --> 00:22:50.000]   I'm just trying to assign dollar values to the intangible things, such as vacation days and health insurance.
[00:22:50.000 --> 00:22:58.000]   And then other, I guess, more complicated issues like my stance in the company being a valued employee
[00:22:58.000 --> 00:23:06.000]   that would probably be one of the less people on the chopping block if there was an economic downturn
[00:23:06.000 --> 00:23:14.000]   compared to taking a year or two to get to that same status at the new company.
[00:23:14.000 --> 00:23:18.000]   So just trying to figure out your process for evaluating all that.
[00:23:18.000 --> 00:23:26.000]   Before we go into any details, which we may need to discuss, I would say that if it's not a clear win for you,
[00:23:26.000 --> 00:23:32.000]   then I think the evidence is on staying where the situation is familiar.
[00:23:32.000 --> 00:23:38.000]   Meaning that if you actually have to sit down and try to calculate the value of the intangibles,
[00:23:38.000 --> 00:23:43.000]   then it's probably not that much of a compellingly better offer.
[00:23:43.000 --> 00:23:52.000]   It's unusual when people are facing this kind of situation. It's unusual to be in a situation where it's not a clearly better offer.
[00:23:52.000 --> 00:23:54.000]   So what would be some examples of this?
[00:23:54.000 --> 00:23:59.000]   Well, so if you had an offer and you said, "I don't like my job now," or "I don't like my company.
[00:23:59.000 --> 00:24:06.000]   It's a bad boss or a toxic work environment or something bad," then this one other one might be better.
[00:24:06.000 --> 00:24:10.000]   You wouldn't be sitting down and parsing the value of extra days off.
[00:24:10.000 --> 00:24:14.000]   You would just simply say, "Hey, it might be better. It's probably better and it pays me enough money."
[00:24:14.000 --> 00:24:22.000]   If there was a big jump in salary or a big jump in your – now you're going to have five weeks of paid vacation
[00:24:22.000 --> 00:24:27.000]   instead of two weeks of paid vacation, or you're going to be able to work from home six months a year,
[00:24:27.000 --> 00:24:29.000]   then it would be obvious.
[00:24:29.000 --> 00:24:39.000]   So if it's not obviously better, then I think there are probably many more reasons to stay put than there are to move.
[00:24:39.000 --> 00:24:41.000]   That doesn't mean you don't change jobs.
[00:24:41.000 --> 00:24:45.000]   It means you stay put until you find something that's obviously significantly better,
[00:24:45.000 --> 00:24:49.000]   something that has a lot more potential or something where it's a clearer benefit to stay.
[00:24:49.000 --> 00:24:55.000]   Because when you have seniority, the great thing about your current job is you know how everything works.
[00:24:55.000 --> 00:24:59.000]   You know what's expected of you. You've been trained already. You don't need to be retrained.
[00:24:59.000 --> 00:25:06.000]   You're high on the totem pole. You're less likely to be fired super quickly in the coming recession.
[00:25:06.000 --> 00:25:10.000]   You're comfortable. You know where the boundaries are.
[00:25:10.000 --> 00:25:15.000]   There are a lot of reasons to stay put unless you find a really much better offer.
[00:25:15.000 --> 00:25:22.000]   So I would say the first question is if it's not so much better, then why not stay where you are
[00:25:22.000 --> 00:25:29.000]   and then wait until you find a newer, better third option?
[00:25:29.000 --> 00:25:35.000]   Okay. Yes, all that makes sense.
[00:25:35.000 --> 00:25:39.000]   If that makes sense, then I don't think we need to go much farther.
[00:25:39.000 --> 00:25:47.000]   What I would say is here is my decision-making framework that I use in looking at decisions.
[00:25:47.000 --> 00:25:59.000]   The only time a decision is difficult is either when you have two equally good options or two equally bad options.
[00:25:59.000 --> 00:26:04.000]   So if you have two equally good options, then it's hard to know what's better.
[00:26:04.000 --> 00:26:08.000]   Or if you have two bad options, it's hard to pick between the bad options.
[00:26:08.000 --> 00:26:12.000]   But in that situation, that's when decisions are difficult.
[00:26:12.000 --> 00:26:17.000]   If you have a good choice and a bad choice, then the decision is not difficult to make.
[00:26:17.000 --> 00:26:19.000]   It's obvious you take the good choice.
[00:26:19.000 --> 00:26:22.000]   So it's only difficult to make if you have two good or two bad.
[00:26:22.000 --> 00:26:27.000]   And so what do you do if you have either two good options, which it sounds like you do,
[00:26:27.000 --> 00:26:29.000]   or if you have two bad options?
[00:26:29.000 --> 00:26:32.000]   As I see it, you have two strategies that you can employ.
[00:26:32.000 --> 00:26:43.000]   Strategy number one is you need to figure out a way to magnify the situation such that the options actually become quite differentiated.
[00:26:43.000 --> 00:26:51.000]   Let's say that you have a good job working at a buggy whip manufacturer,
[00:26:51.000 --> 00:26:59.000]   and you are being offered a good job working at an automobile for this newfangled horseless carriage that's being invented.
[00:26:59.000 --> 00:27:02.000]   Well, you would have a hard time knowing what to do.
[00:27:02.000 --> 00:27:05.000]   You're like, "Listen, we're a really good buggy whip manufacturer,
[00:27:05.000 --> 00:27:11.000]   but I've also got this good job available at the horseless carriage company, so what should we do?"
[00:27:11.000 --> 00:27:15.000]   Well, you focus in and you find some way to magnify the benefits.
[00:27:15.000 --> 00:27:19.000]   And in that situation, you look at it and say, "You know what?
[00:27:19.000 --> 00:27:21.000]   I think people are going to be going for these horseless carriages.
[00:27:21.000 --> 00:27:24.000]   I think the buggy whip job is about to be destroyed,
[00:27:24.000 --> 00:27:30.000]   and I'm going to choose something where it seems like it's the company of the future."
[00:27:30.000 --> 00:27:34.000]   Or you figure out some other benefit to focus in on.
[00:27:34.000 --> 00:27:45.000]   You have to analyze those two options, and you have to magnify or minimize some feature until you can clearly differentiate between the jobs.
[00:27:45.000 --> 00:27:51.000]   Because once you can magnify a feature or minimize a feature to where you can clearly differentiate,
[00:27:51.000 --> 00:27:54.000]   then the decision will be easier for you to make.
[00:27:54.000 --> 00:27:58.000]   Because you'll say, "It's actually job B. That's a much better position,
[00:27:58.000 --> 00:28:03.000]   because I now see that job B offers me entry to a growing company,
[00:28:03.000 --> 00:28:10.000]   or it offers me the ability to join an international firm," or something like that.
[00:28:10.000 --> 00:28:13.000]   So that's strategy number one, is magnify the difference between the companies.
[00:28:13.000 --> 00:28:16.000]   Strategy number two is find a third choice.
[00:28:16.000 --> 00:28:20.000]   If you are looking at two good options or two bad options,
[00:28:20.000 --> 00:28:23.000]   and you really think it through and you really analyze it,
