
[00:00:00.000 --> 00:00:05.920]   Welcome everyone.
[00:10:04.860 --> 00:10:09.580]   In fields without leaderboards, very often these wild ideas are rejected out of hand
[00:10:09.580 --> 00:10:16.060]   by the community with no evaluation, whereas at least leaderboards give people in our field
[00:10:16.060 --> 00:10:18.100]   a chance to participate.
[00:10:18.100 --> 00:10:19.100]   That's the good.
[00:10:19.100 --> 00:10:23.840]   The bad, though, this can get really bad, with leaderboards we have a constant conflation
[00:10:23.840 --> 00:10:28.680]   of benchmark improvements with actual progress when we know, in fact, that the benchmarks
[00:10:28.680 --> 00:10:29.980]   might be fallible.
[00:10:29.980 --> 00:10:34.340]   Relatedly, we have this conflation of benchmarks with empirical domains.
[00:10:34.340 --> 00:10:38.800]   People say things like OCR is solved, question answering is solved.
[00:10:38.800 --> 00:10:43.900]   What they really mean is that certain benchmarks have been solved and we are all aware by now
[00:10:43.900 --> 00:10:48.340]   that those two claims about the benchmark and the capability are radically different,
[00:10:48.340 --> 00:10:51.340]   but nonetheless people conflate them.
[00:10:51.340 --> 00:10:55.420]   Even in the way we talk, I find we're often guilty of this third thing here, which is
[00:10:55.420 --> 00:10:58.740]   conflating benchmark performance with a capability.
[00:10:58.740 --> 00:11:03.420]   We see that a system does well at question answering for squad and we assume it's a good
[00:11:03.420 --> 00:11:09.820]   question answer, even though we know in our hearts that these two things are very different.
[00:11:09.820 --> 00:11:10.980]   That's the bad of leaderboards.
[00:11:10.980 --> 00:11:15.900]   I think what we should do moving forward is think about how to bring in more of the good,
[00:11:15.900 --> 00:11:23.620]   more dimensions of good, and remove the dependence on these bad assumptions that we often make.
[00:11:23.620 --> 00:11:28.160]   The fundamental issue here, I would say, is that the metrics that you choose, including
[00:11:28.160 --> 00:11:32.100]   the ones that get embedded in leaderboards, are actually tied up with the thing that you're
[00:11:32.100 --> 00:11:33.900]   trying to solve.
[00:11:33.900 --> 00:11:37.980]   Too often in the field, we don't actually make that connection.
[00:11:37.980 --> 00:11:42.280]   Let me offer you some scenarios and they should get you thinking about how you would approach
[00:11:42.280 --> 00:11:46.500]   this differently with different metrics in mind.
[00:11:46.500 --> 00:11:50.800]   Suppose you're in a scenario where missing a safety signal costs lives and human review
[00:11:50.800 --> 00:11:52.380]   is feasible.
[00:11:52.380 --> 00:11:55.820]   What kind of metric would you favor for a system?
[00:11:55.820 --> 00:12:00.260]   Conversely, suppose exemplars need to be found in a massive dataset.
[00:12:00.260 --> 00:12:05.940]   Again, what kind of metrics would you use to evaluate systems in this kind of context?
[00:12:05.940 --> 00:12:09.220]   I think the metrics would be very different from the first one.
[00:12:09.220 --> 00:12:14.160]   In the second scenario with the exemplars, we can afford to miss a lot of cases.
[00:12:14.160 --> 00:12:15.860]   We just need a few really good ones.
[00:12:15.860 --> 00:12:21.980]   Whereas in the first scenario, every missed case costs lives and we have the opportunity
[00:12:21.980 --> 00:12:23.880]   to do human review.
[00:12:23.880 --> 00:12:27.660]   So obviously our values are oriented differently.
[00:12:27.660 --> 00:12:31.380]   Suppose specific mistakes are deal breakers, others hardly matter.
[00:12:31.380 --> 00:12:36.720]   Now you want a metric that will give credit and give demerits to different kinds of mistakes
[00:12:36.720 --> 00:12:42.080]   and good predictions in different ways to capture these underlying ideals.
[00:12:42.080 --> 00:12:43.860]   Suppose cases need to be prioritized.
[00:12:43.860 --> 00:12:47.380]   You're not talking about classification anymore, you're talking about ranking.
[00:12:47.380 --> 00:12:51.260]   Again, you should have good metrics for ranking.
[00:12:51.260 --> 00:12:54.420]   Suppose the solution needs to work over an aging cell network.
[00:12:54.420 --> 00:12:59.780]   Well now your obsession with accuracy should kind of go out the window in favor of systems
[00:12:59.780 --> 00:13:05.460]   that can run on very constrained hardware, low energy, low power, very fast, all of that
[00:13:05.460 --> 00:13:07.040]   stuff.
[00:13:07.040 --> 00:13:11.620]   Suppose the solution cannot provide worse service to specific groups.
[00:13:11.620 --> 00:13:15.340]   Well standard machine learning models will often favor majority groups.
[00:13:15.340 --> 00:13:16.660]   We know this.
[00:13:16.660 --> 00:13:21.260]   And if your ultimate allegiance is to making sure that the system is equitable across groups,
[00:13:21.260 --> 00:13:25.900]   you will have to change your metrics from the norm and maybe even your underlying practices
[00:13:25.900 --> 00:13:28.220]   around optimization.
[00:13:28.220 --> 00:13:30.900]   Suppose specific predictions need to be absolutely blocked.
[00:13:30.900 --> 00:13:36.540]   Well now you're in a totally different territory where some kinds of error cost you infinitely,
[00:13:36.540 --> 00:13:38.300]   whereas others matter hardly at all.
[00:13:38.300 --> 00:13:42.700]   Again, a very different scenario from the norm.
[00:13:42.700 --> 00:13:49.460]   In the field, tragically, the scientific literature seems to offer one answer to essentially every
[00:13:49.460 --> 00:13:55.820]   scenario, which is that you use F1 and related accuracy metrics as your measure of system
[00:13:55.820 --> 00:13:57.800]   performance.
[00:13:57.800 --> 00:14:02.780]   You can see if you review this list that F1 is not appropriate for any of these scenarios.
[00:14:02.780 --> 00:14:07.740]   F1 is just what we as researchers choose when we have no information about the application
[00:14:07.740 --> 00:14:08.740]   area.
[00:14:08.740 --> 00:14:13.540]   When we have information, we should be tailoring our metrics to those specific scenarios.
[00:14:13.540 --> 00:14:15.340]   It's just hardly ever done.
[00:14:15.340 --> 00:14:20.240]   And I worry that the lesson we project out to the world is that you needn't bother.
[00:14:20.240 --> 00:14:24.500]   We don't do it, and we are purported to be experts, so why would anyone else do it?
[00:14:24.500 --> 00:14:30.820]   Even though as experts, we can see these different scenarios call for very different metrics.
[00:14:30.820 --> 00:14:36.460]   Relatedly, if you do do a survey of the scientific literature, you find a kind of overarching
[00:14:36.460 --> 00:14:40.800]   obsession on performance, accuracy, F1, all of those things.
[00:14:40.800 --> 00:14:44.580]   This is really nicely supported by this lovely and creative paper.
[00:14:44.580 --> 00:14:47.120]   The Values Encoded in Machine Learning Research.
[00:14:47.120 --> 00:14:50.340]   This is Birhani et al., 2021.
[00:14:50.340 --> 00:14:55.520]   What I've done here is distill their evidence down into a kind of cartoonish picture that
[00:14:55.520 --> 00:14:57.700]   does I think capture the essence of this.
[00:14:57.700 --> 00:15:04.300]   I've used font size to convey the values that they find encoded in our literature.
[00:15:04.300 --> 00:15:10.500]   And in the largest font here, unsurprisingly, is performance, dominating every other value
[00:15:10.500 --> 00:15:13.740]   that we might want reflected in our research.
[00:15:13.740 --> 00:15:19.180]   Kind of close behind in second place, but actually pretty distant, is efficiency.
[00:15:19.180 --> 00:15:23.220]   Then you get interpretability, but notice that's interpretability for researchers.
[00:15:23.220 --> 00:15:25.060]   We're probably guilty of that in this class.
[00:15:25.060 --> 00:15:30.460]   The interpretability work that we talked about in the previous unit is very focused on technical
[00:15:30.460 --> 00:15:31.820]   consumers.
[00:15:31.820 --> 00:15:36.980]   Applicability, robustness, scalability, these are pretty well represented.
[00:15:36.980 --> 00:15:41.060]   And then I used a different and lighter font to reflect things that are very distant in
[00:15:41.060 --> 00:15:42.540]   this ranking.
[00:15:42.540 --> 00:15:44.500]   Accuracy, but for users now.
[00:15:44.500 --> 00:15:47.320]   Beneficence, privacy, fairness, justice.
[00:15:47.320 --> 00:15:53.820]   We all recognize that these are crucial aspects of successful NLP systems, but they are hardly
[00:15:53.820 --> 00:15:59.940]   ever reflected in our practices around hypotheses and system evaluation.
[00:15:59.940 --> 00:16:04.980]   Really if someone was just consuming our literature, what they would get out of it is again just
[00:16:04.980 --> 00:16:10.320]   this obsession with accuracy and related notions of performance.
[00:16:10.320 --> 00:16:15.100]   So we should push back, we should elevate some of those other values in the form of
[00:16:15.100 --> 00:16:16.700]   metrics that we use.
[00:16:16.700 --> 00:16:18.820]   Luckily, there are efforts to do this.
[00:16:18.820 --> 00:16:22.220]   I've put this under the heading of multi-dimensional leaderboards.
[00:16:22.220 --> 00:16:28.620]   I've been involved with one effort, Dynaboard, also DawnBench, and Explainaboard.
[00:16:28.620 --> 00:16:33.660]   These are all efforts to provide many more dimensions of evaluation for our systems and
[00:16:33.660 --> 00:16:36.820]   get much richer pictures of what's actually happening.
[00:16:36.820 --> 00:16:40.060]   In this context, I would like to mention Dynascoring.
[00:16:40.060 --> 00:16:45.440]   I think this is a really powerful way to bring in multiple metrics and even allow the person
[00:16:45.440 --> 00:16:50.820]   behind the system to decide which metrics to favor to what degree.
[00:16:50.820 --> 00:16:55.700]   It's such a powerful metric that I've in fact offered you a notebook that implements Dynascoring
[00:16:55.700 --> 00:17:01.580]   and offers you some tips on how to use it so that you too could explore using Dynascoring
[00:17:01.580 --> 00:17:05.340]   to synthesize across multiple things that you measure.
[00:17:05.340 --> 00:17:07.740]   Let me give you a sense for why this could be so powerful.
[00:17:07.740 --> 00:17:12.540]   I have here a real leaderboard for question answering systems.
[00:17:12.540 --> 00:17:15.980]   The DiBerna model is in first place according to my Dynascore.
[00:17:15.980 --> 00:17:21.980]   That Dynascore was created by giving a lot of weight to performance and then equal weight
[00:17:21.980 --> 00:17:26.260]   to throughput, memory, fairness, and robustness.
[00:17:26.260 --> 00:17:30.380]   However, with Dynascoring, I can adjust those weights.
[00:17:30.380 --> 00:17:35.220]   Suppose I decide that I really want a system that is highly performant but also fair according
[00:17:35.220 --> 00:17:37.100]   to my fairness metric.
[00:17:37.100 --> 00:17:42.220]   I adjust the Dynascore to put five weight on fairness and I reduce throughput, memory,
[00:17:42.220 --> 00:17:44.260]   and robustness accordingly.
[00:17:44.260 --> 00:17:49.840]   Well now the previously first place system is in second place and ElectraLarge has become
[00:17:49.840 --> 00:17:51.900]   the first place system.
[00:17:51.900 --> 00:17:56.860]   Of course, different weightings of the different metrics that I have here will adjust the ranking
[00:17:56.860 --> 00:17:58.560]   in other ways.
[00:17:58.560 --> 00:18:04.420]   That shows you that there is no one true ranking but rather rankings only with respect to different
[00:18:04.420 --> 00:18:07.940]   priorities and values and measurements that I take.
[00:18:07.940 --> 00:18:14.100]   That is the essence of Dynascoring to be transparent about those values and also to reflect them
[00:18:14.100 --> 00:18:19.140]   in good old-fashioned leaderboards as we're doing here.
[00:18:19.140 --> 00:18:24.220]   In this context, when we talk about evaluation and we talk about different metrics, people
[00:18:24.220 --> 00:18:26.000]   often say, "Wait a second.
[00:18:26.000 --> 00:18:29.440]   This is all too technical, too customized, too intricate.
[00:18:29.440 --> 00:18:33.380]   What we should do is something more like the Turing test.
[00:18:33.380 --> 00:18:35.900]   After all, that was the ultimate test in some sense.
[00:18:35.900 --> 00:18:40.900]   The idea here is that a human and a computer are interacting.
[00:18:40.900 --> 00:18:44.860]   Then the human is trying to figure out that it's a computer and the computer is doing
[00:18:44.860 --> 00:18:47.540]   its level best to fool that human.
[00:18:47.540 --> 00:18:53.340]   In that way, we're supposed to have a good diagnosis for general system quality and intelligence
[00:18:53.340 --> 00:18:55.300]   and all those other things.
[00:18:55.300 --> 00:18:59.980]   I just want to issue a cautionary note here.
[00:18:59.980 --> 00:19:04.740]   The first Turing test was reported in Schieber 1994.
[00:19:04.740 --> 00:19:10.820]   In that test, Shakespeare expert Cynthia Clay was thrice misclassified as a computer on
[00:19:10.820 --> 00:19:14.680]   the grounds that no human could know that much about Shakespeare.
[00:19:14.680 --> 00:19:20.140]   That's an instance of people not really knowing what the human experience is like in its full
[00:19:20.140 --> 00:19:22.100]   range and generality.
[00:19:22.100 --> 00:19:25.020]   Conversely, this is another comical story.
[00:19:25.020 --> 00:19:32.020]   In 2014, an AI, a very simple one called Eugene Guzman, passed the Turing test.
[00:19:32.020 --> 00:19:33.180]   How did it do it?
[00:19:33.180 --> 00:19:38.820]   Well, it did it by adopting the personality of a 13-year-old boy.
[00:19:38.820 --> 00:19:43.640]   When it was rude or appeared distracted because it was confused about what the human was trying
[00:19:43.640 --> 00:19:48.820]   to do, people just chalked that up to the fact that 13-year-old boys are often rude
[00:19:48.820 --> 00:19:49.820]   and distracted.
[00:19:49.820 --> 00:19:53.660]   In that way, it got a huge pass.
[00:19:53.660 --> 00:19:59.900]   Google Duplex is a real AI system, a sophisticated one, and that is an AI that routinely runs
[00:19:59.900 --> 00:20:02.380]   and wins Turing tests with service workers.
[00:20:02.380 --> 00:20:04.020]   It makes phone calls.
[00:20:04.020 --> 00:20:09.060]   Even though it announces itself, because it does this by law, as an AI, right from the
[00:20:09.060 --> 00:20:13.580]   start of the conversation, people often lose track of that information and believe that
[00:20:13.580 --> 00:20:15.940]   they are talking with a computer.
[00:20:15.940 --> 00:20:20.940]   Relatedly, now that we've moved into this mode of doing a lot of natural language generation,
[00:20:20.940 --> 00:20:26.020]   we're all discovering that people are not good at distinguishing human-written texts
[00:20:26.020 --> 00:20:29.460]   from texts that come from our best large language models.
[00:20:29.460 --> 00:20:34.780]   In this way, especially with the stories of Duplex and the LLMs, we should reflect on
[00:20:34.780 --> 00:20:40.500]   the fact that all of us are probably constantly failing Turing tests, in some cases with sophisticated
[00:20:40.500 --> 00:20:44.220]   AIs, but in some cases with ones that are actually pretty simple.
[00:20:44.220 --> 00:20:50.380]   There are some cognitive biases about social interaction that make this not such a reliable
[00:20:50.380 --> 00:20:52.140]   test.
[00:20:52.140 --> 00:20:56.260]   There's another dimension to this that we should think about in the context of evaluation,
[00:20:56.260 --> 00:20:58.860]   and that is how we estimate human performance.
[00:20:58.860 --> 00:21:04.180]   My summary here is that we estimate human performance by forcing humans to do machine
[00:21:04.180 --> 00:21:08.140]   tasks and then saying that that's how humans actually perform.
[00:21:08.140 --> 00:21:11.940]   Let me give you an example in the context of natural language inference.
[00:21:11.940 --> 00:21:16.740]   Let's imagine that you're a crowd worker and you've been asked to label premise hypothesis
[00:21:16.740 --> 00:21:21.580]   pairs for whether or not they're neutral, entailment, or contradiction.
[00:21:21.580 --> 00:21:26.260]   You get a little training, and after the training, you see, okay, a dog jumping and a dog wearing
[00:21:26.260 --> 00:21:30.380]   a sweater, those are neutral with respect to each other because we don't know from the
[00:21:30.380 --> 00:21:32.260]   jumping whether it's wearing a sweater.
[00:21:32.260 --> 00:21:34.500]   There's no relationship.
[00:21:34.500 --> 00:21:39.460]   Then you're given the example turtle and linguist, and you think, "Well, I can imagine turtle
[00:21:39.460 --> 00:21:44.100]   linguist somewhere in some possible world, but I was told this was a common sense reasoning
[00:21:44.100 --> 00:21:50.340]   situation, and so I'll say contradiction because no actual turtles are linguists."
[00:21:50.340 --> 00:21:52.420]   Seems like a safe assumption.
[00:21:52.420 --> 00:21:57.020]   But then you come to a photo of a racehorse and a photo of an athlete, and you're asked
[00:21:57.020 --> 00:22:02.580]   to assign a label, and you think, "Huh, I haven't really thought about this before.
[00:22:02.580 --> 00:22:05.440]   Can a racehorse be an athlete?
[00:22:05.440 --> 00:22:08.700]   In general, can animals be athletes?"
[00:22:08.700 --> 00:22:11.060]   You might decide that you have a fixed view on this.
[00:22:11.060 --> 00:22:14.500]   You say, "Of course, a racehorse could be an athlete," or, "Of course not."
[00:22:14.500 --> 00:22:18.420]   But the really fundamental thing is that you might be unsure what other people think about
[00:22:18.420 --> 00:22:22.860]   this, and in turn, you might feel unsure about what label you're supposed to assign.
[00:22:22.860 --> 00:22:28.540]   The human thing is to discuss and debate to figure out why the question is being asked
[00:22:28.540 --> 00:22:31.660]   and what people are thinking about related to the issues.
