
[00:00:00.000 --> 00:00:02.760]   (bells jingling)
[00:03:26.180 --> 00:03:28.220]   And so right away, when I'm thinking about Christmas,
[00:03:28.220 --> 00:03:29.260]   what am I thinking about?
[00:03:29.260 --> 00:03:31.380]   Bethlehem and the stable,
[00:03:31.380 --> 00:03:34.220]   and looking and thinking and talking
[00:03:34.220 --> 00:03:36.420]   about what God was doing there.
[00:03:36.420 --> 00:03:40.960]   So manger scenes, creches, are a main part
[00:03:40.960 --> 00:03:43.380]   of what's in our house or in our windows
[00:03:43.380 --> 00:03:46.940]   for people outside to see during the Christmas season.
[00:03:46.940 --> 00:03:48.780]   There's one main manger scene
[00:03:48.780 --> 00:03:51.020]   that we've had almost our whole marriage
[00:03:51.020 --> 00:03:54.140]   that's on a special table in the living room.
[00:03:54.140 --> 00:03:56.360]   That's the first thing you see when you walk into our house,
[00:03:56.360 --> 00:03:58.280]   when you walk into the living room.
[00:03:58.280 --> 00:04:01.220]   Under that table is where we gather our gifts to each other.
[00:04:01.220 --> 00:04:02.740]   And then there are manger scenes
[00:04:02.740 --> 00:04:06.540]   and things that represent Bethlehem all over the place
[00:04:06.540 --> 00:04:09.820]   whenever anybody's traveling somewhere,
[00:04:09.820 --> 00:04:12.160]   and they ask me if they could bring me a gift,
[00:04:12.160 --> 00:04:15.100]   I always say, "I'd love to have a manger scene from there."
[00:04:15.100 --> 00:04:16.060]   (laughs)
[00:04:16.060 --> 00:04:18.900]   - So we got elephants at our manger scene.
[00:04:18.900 --> 00:04:19.740]   (laughs)
[00:04:19.740 --> 00:04:22.580]   - Because the wise men came from the East
[00:04:22.580 --> 00:04:24.460]   and we don't know they came on camels.
[00:04:24.460 --> 00:04:25.540]   - Right, of course.
[00:04:25.540 --> 00:04:29.260]   - So over in the dining room, Noel, on the buffet,
[00:04:29.260 --> 00:04:32.160]   there's another thing that's a little unusual.
[00:04:32.160 --> 00:04:33.000]   What do you call it?
[00:04:33.000 --> 00:04:33.820]   What is it?
[00:04:33.820 --> 00:04:34.740]   Why do we do it?
[00:04:34.740 --> 00:04:36.700]   - We call it the Jesus tree.
[00:04:36.700 --> 00:04:40.000]   It's a combination of what some people might have
[00:04:40.000 --> 00:04:41.440]   and call a Jesse tree,
[00:04:41.440 --> 00:04:44.380]   or some people might call a Bethlehem tree.
[00:04:44.380 --> 00:04:45.820]   But I call it a Jesus tree
[00:04:45.820 --> 00:04:47.380]   because that's the one time in the year
[00:04:47.380 --> 00:04:49.820]   when we can put in front of us
[00:04:49.820 --> 00:04:52.260]   all the kinds of symbols, word pictures,
[00:04:52.260 --> 00:04:55.780]   representing word pictures from the Bible of who Jesus is.
[00:04:55.780 --> 00:04:58.220]   So on this tree will be--
[00:04:58.220 --> 00:04:59.380]   - When you say tree, you mean--
[00:04:59.380 --> 00:05:01.240]   - I mean a bare branch, yes,
[00:05:01.240 --> 00:05:02.340]   that we cut off of a,
[00:05:02.340 --> 00:05:04.300]   broke off of a bush in the backyard.
[00:05:04.300 --> 00:05:06.260]   And so some of the things that are hanging on it
[00:05:06.260 --> 00:05:08.380]   might actually be Christmas ornaments,
[00:05:08.380 --> 00:05:11.320]   but other things would be maybe a saw
[00:05:11.320 --> 00:05:13.740]   that would represent a part of Jesus' life.
[00:05:13.740 --> 00:05:16.020]   He was a carpenter with his father.
[00:05:16.020 --> 00:05:18.060]   Or there might be a sheaf of wheat,
[00:05:18.060 --> 00:05:22.620]   and that might represent Ruth in his family tree,
[00:05:22.620 --> 00:05:25.780]   or it might represent him being the bread of life.
[00:05:25.780 --> 00:05:30.820]   There would be nails because it is carpenter,
[00:05:30.820 --> 00:05:31.980]   part of his life,
[00:05:31.980 --> 00:05:35.620]   or because he died on the cross for us.
[00:05:35.620 --> 00:05:38.580]   So things that represent the prophecies
[00:05:38.580 --> 00:05:39.900]   leading up to Jesus,
[00:05:39.900 --> 00:05:42.500]   things that represent events in his life,
[00:05:42.500 --> 00:05:46.780]   things that particularly revolve around the Bethlehem event.
[00:05:46.780 --> 00:05:51.420]   - Yeah, so this is a gnarly, you know, broken off branch
[00:05:51.420 --> 00:05:53.380]   from what's that plant on the corner of the garage
[00:05:53.380 --> 00:05:54.220]   that we get it from usually?
[00:05:54.220 --> 00:05:55.220]   - It's an old lilac bush that we use.
[00:05:55.220 --> 00:05:56.260]   - Yeah, lilac bush.
[00:05:56.260 --> 00:06:00.120]   There's this other tradition that gets going
[00:06:00.120 --> 00:06:02.460]   about the beginning of Advent
[00:06:02.460 --> 00:06:04.460]   that we call the shepherd's pouch.
[00:06:04.460 --> 00:06:05.460]   What's that about?
[00:06:05.460 --> 00:06:06.880]   - I was trying to think of ways
[00:06:06.880 --> 00:06:10.360]   that children could give a gift to Jesus
[00:06:10.360 --> 00:06:11.540]   since it is his birthday,
[00:06:11.540 --> 00:06:13.660]   and that's how children understand birthdays.
[00:06:13.660 --> 00:06:15.740]   You give a gift to the birthday person.
[00:06:15.740 --> 00:06:19.060]   So we have little burlap bags that I made,
[00:06:19.060 --> 00:06:21.340]   but you could use any kind of little pouch
[00:06:21.340 --> 00:06:22.980]   that at the beginning of December,
[00:06:22.980 --> 00:06:25.980]   the kids start putting money into
[00:06:25.980 --> 00:06:29.300]   that either they've earned by doing tasks ordinarily
[00:06:29.300 --> 00:06:31.140]   that they might do just without pay,
[00:06:31.140 --> 00:06:34.080]   but during this season, I give them some money.
[00:06:34.080 --> 00:06:39.080]   So it also gets me eager helpers when I need extra help.
[00:06:39.380 --> 00:06:41.600]   But then sometime early in the month,
[00:06:41.600 --> 00:06:44.020]   we're thinking about where this gift will go,
[00:06:44.020 --> 00:06:47.980]   like maybe to Johnny and Friends or to Samaritan's Purse,
[00:06:47.980 --> 00:06:50.220]   some organization that we'd like to give to,
[00:06:50.220 --> 00:06:52.800]   and we talk about what it means to give a gift to Jesus
[00:06:52.800 --> 00:06:54.700]   'cause you can't just put it in his hand.
[00:06:54.700 --> 00:06:57.780]   And then on Christmas Eve,
[00:06:57.780 --> 00:07:01.060]   the children put the money from their pouch
[00:07:01.060 --> 00:07:03.620]   by the manger at our special manger scene,
[00:07:03.620 --> 00:07:06.820]   and we talk about we're giving a gift to Jesus.
[00:07:06.820 --> 00:07:09.340]   Ours is money, but that's just a symbol
[00:07:09.340 --> 00:07:11.780]   of the way the shepherds, for instance,
[00:07:11.780 --> 00:07:16.020]   came worshiping Jesus, their gift of worship to Jesus.
[00:07:16.020 --> 00:07:18.100]   And then on Christmas morning,
[00:07:18.100 --> 00:07:21.760]   we have put into those little pouches gifts for them.
[00:07:21.760 --> 00:07:24.400]   One of the things will be a Christ-centered
[00:07:24.400 --> 00:07:26.260]   Christmas ornament for them to save up
[00:07:26.260 --> 00:07:28.060]   for when they have their own home someday.
[00:07:28.060 --> 00:07:30.100]   And then there are other just little doodad things
[00:07:30.100 --> 00:07:31.860]   that we've collected over time for them.
[00:07:31.860 --> 00:07:36.540]   And we talk about these represent the way God blesses people
[00:07:36.540 --> 00:07:38.780]   who come to him with their gifts of praise.
[00:07:38.780 --> 00:07:39.620]   - Amen.
[00:07:39.620 --> 00:07:40.440]   We love that.
[00:07:40.440 --> 00:07:41.820]   I just love this little pouch thing.
[00:07:41.820 --> 00:07:44.140]   I love so much the kids filling it with money
[00:07:44.140 --> 00:07:45.580]   and then getting these gifts.
[00:07:45.580 --> 00:07:46.780]   One more thing.
[00:07:46.780 --> 00:07:49.300]   Christmas morning, we get up,
[00:07:49.300 --> 00:07:54.300]   and before any gifts are open, we're reading a story,
[00:07:54.300 --> 00:07:56.900]   but then we add to the reading something else, Noel,
[00:07:56.900 --> 00:07:59.340]   that turns out to be a really happy thing,
[00:07:59.340 --> 00:08:00.740]   especially for little kids.
[00:08:00.740 --> 00:08:03.380]   - And I know there are other families that do this too.
[00:08:03.380 --> 00:08:04.860]   We act out the Christmas story.
[00:08:04.860 --> 00:08:07.460]   Everybody who's there, adults and children,
[00:08:07.460 --> 00:08:08.780]   when the children were very little,
[00:08:08.780 --> 00:08:11.500]   they liked to pull out everything they could find
[00:08:11.500 --> 00:08:13.100]   that could be costumes from anywhere.
[00:08:13.100 --> 00:08:15.100]   Now it's a lot more simple,
[00:08:15.100 --> 00:08:17.780]   but we use the narrative from Luke
[00:08:17.780 --> 00:08:22.180]   as the guide for how the story plays out.
[00:08:22.180 --> 00:08:25.620]   And that's another part of being tangible
[00:08:25.620 --> 00:08:27.700]   and actually getting into it physically,
[00:08:27.700 --> 00:08:31.620]   thinking about Jesus being born in the manger
[00:08:31.620 --> 00:08:34.940]   and the glory that was announced when that happened.
[00:08:34.940 --> 00:08:36.580]   - I think we even did this.
[00:08:36.580 --> 00:08:39.700]   When our first child was Jesus,
[00:08:39.700 --> 00:08:42.340]   that is the little baby in Mary's lap,
[00:08:42.340 --> 00:08:43.900]   and she's Noel and I and the baby
[00:08:43.900 --> 00:08:45.260]   and any guests that were around.
[00:08:45.260 --> 00:08:47.140]   And so every time we had a new child,
[00:08:47.140 --> 00:08:50.820]   we had a new Jesus to put in the play.
[00:08:50.820 --> 00:08:51.980]   It was just great.
[00:08:51.980 --> 00:08:54.980]   But it's Christmas Eve or it's Christmas Day,
[00:08:54.980 --> 00:08:56.300]   and people have lots of things to do.
[00:08:56.300 --> 00:08:58.580]   So we just want to say to everybody,
[00:08:58.580 --> 00:09:01.580]   thanks for listening to Ask Pastor John.
[00:09:01.580 --> 00:09:06.580]   We both wish you a very, very joyful, Christ-filled,
[00:09:06.580 --> 00:09:08.260]   Merry Christmas. - Merry Christmas.
[00:09:08.260 --> 00:09:09.820]   - Wonderful, thank you, Pastor John.
[00:09:09.820 --> 00:09:12.460]   And thank you, Noel, for making the cameo appearance
[00:09:12.460 --> 00:09:14.420]   in today's Ask Pastor John episode.
[00:09:14.420 --> 00:09:16.700]   Of course, Noel Piper is the author
[00:09:16.700 --> 00:09:17.860]   of the very helpful book,
[00:09:17.860 --> 00:09:20.580]   "Treasuring God in Our Traditions,"
[00:09:20.580 --> 00:09:22.380]   an excellent book for anyone thinking through
[00:09:22.380 --> 00:09:24.580]   and establishing traditions in their homes,
[00:09:24.580 --> 00:09:28.020]   not only on major holidays, but year round.
[00:09:28.020 --> 00:09:29.260]   Be sure to check out that book.
[00:09:29.260 --> 00:09:30.620]   And if you want more on Christmas,
[00:09:30.620 --> 00:09:34.420]   see episode number 243 in this podcast series titled,
[00:09:34.420 --> 00:09:36.300]   What Christmas is All About?
[00:09:36.300 --> 00:09:39.260]   An answer to Charlie Brown's million dollar question.
[00:09:39.260 --> 00:09:41.620]   That's episode number 243.
[00:09:41.620 --> 00:09:42.940]   Well, we break for the holiday,
[00:09:42.940 --> 00:09:45.300]   but we return on Monday to hear Pastor John
[00:09:45.300 --> 00:09:48.500]   on God's gracious provisions in 2014
[00:09:48.500 --> 00:09:51.900]   and look forward to what we have planned for 2015
[00:09:51.900 --> 00:09:54.140]   at DesiringGod.org.
[00:09:54.140 --> 00:09:55.660]   It's humbling and exciting.
[00:09:55.660 --> 00:09:56.780]   I'm your host, Tony Reinke.
[00:09:56.780 --> 00:09:57.980]   We'll see you on Monday.
[00:09:58.300 --> 00:10:00.900]   (upbeat music)
[00:10:00.900 --> 00:10:03.500]   (upbeat music)
[00:10:03.500 --> 00:10:13.500]   [BLANK_AUDIO]

