
[00:00:00.000 --> 00:00:29.000]   Okay. Did anybody have any questions or anything? I'm sorry. I'm sorry. I'm sorry. I'm sorry.
[00:05:23.000 --> 00:05:33.000]   >> Yes, although that thing about wiping was not for paper space, because remember on paper space, the Mamba stuff is installed into the root directory, into the /opt/ or whatever.
[00:05:33.000 --> 00:05:44.000]   It's not in our home directory like usual. So you can't really wipe conda on paper space. On paper space, conda is always wiped clean because you start with a new server.
[00:05:44.000 --> 00:05:50.000]   And so the only stuff left will be stuff in .local.
[00:05:50.000 --> 00:05:54.000]   But, yeah, I don't know why you would, but you could do the same thing on your own machine.
[00:05:54.000 --> 00:06:04.000]   You could pip install --user and have a .local directory that, yeah, would be separate from your Mamba environments and stuff.
[00:06:04.000 --> 00:06:08.000]   >> Okay. I guess it's moved. Yeah, I hadn't thought of it that way. Okay, thanks.
[00:06:08.000 --> 00:06:33.000]   >> Yeah, that's fine. So I'm just having a look. So I think the way we -- yeah, the way we want to install stuff like c tags, which is not a Python thing, is using conda.
[00:06:33.000 --> 00:06:45.000]   And so we can install with Mamba, as we've done before. Now, by default, that's going to install it into the /opt/etc, which we will lose.
[00:06:45.000 --> 00:07:03.000]   But what we can do is Mamba comes with a flag we can use, which is minus P for prefix.
[00:07:03.000 --> 00:07:11.000]   And if we use the minus P flag, it will install stuff into a different directory.
[00:07:11.000 --> 00:07:20.000]   And so we should be able to use that to install stuff in a way that we can -- that we can reuse it.
[00:07:20.000 --> 00:07:32.000]   And I think this is going to be a good exercise in understanding paths and aliases and -- as with sim links, I should say, and all that kind of thing.
[00:07:32.000 --> 00:07:43.000]   So I think -- yeah, I think this will be an exercise worth doing. So I'm just loading up JupyterLab.
[00:07:43.000 --> 00:07:51.000]   Here we are. And so this is the same server, notebook server, that I used last time.
[00:07:51.000 --> 00:07:59.000]   And since /notebooks is persistent, that fastai folder that I -- sorry, I didn't sing with, that I get cloned is still there.
[00:07:59.000 --> 00:08:14.000]   All right. So if we get a terminal up -- and we could probably take better advantage of our space.
[00:08:14.000 --> 00:08:19.000]   So -- good.
[00:08:19.000 --> 00:08:29.000]   All right. And then Apple B or control P, B shows and hides that sidebar, which is quite useful.
[00:08:29.000 --> 00:08:37.000]   So what we could do is we could create a -- so I just typed CD, right, which is moving me into my home directory.
[00:08:37.000 --> 00:08:45.000]   And so we could create something to put other Conda stuff in here. We'll call it Conda.
[00:08:45.000 --> 00:08:51.000]   And I believe we could go member and then say a prefix.
[00:08:51.000 --> 00:08:56.000]   So our prefix is going to be our home directory's Conda directory that we just created.
[00:08:56.000 --> 00:09:03.000]   Install universal -C tags.
[00:09:03.000 --> 00:09:08.000]   So -- okay. So -- all right. So we also don't have member installed, which is a good point.
[00:09:08.000 --> 00:09:13.000]   So we'd like that to also be permanently available.
[00:09:13.000 --> 00:09:30.000]   So let's start by saying Conda install -P. Conda -P install member.
[00:09:30.000 --> 00:09:47.000]   Okay. That's probably going to be after the install command, is my guess.
[00:09:47.000 --> 00:10:04.000]   So while that's going on -- oh. Okay. And then because they're not using member forge, that means that the Conda forge channel is not available by default either.
[00:10:04.000 --> 00:10:11.000]   So if you use member forge, then it kind of assumes that you're always going to say -- that you're always saying -C Conda forge.
[00:10:11.000 --> 00:10:18.000]   But since we're -- and I think the plan is that paper space is going to hopefully switch to using member forge soon.
[00:10:18.000 --> 00:10:25.000]   But for now, we'll have to say -C Conda forge.
[00:10:25.000 --> 00:10:34.000]   All right. So while that's going on --
[00:10:34.000 --> 00:10:46.000]   let's also get our fastbook here, which actually makes me think about something.
[00:10:46.000 --> 00:10:53.000]   I just tried to reuse a command that should have been in my history, and it wasn't there.
[00:10:53.000 --> 00:11:04.000]   And I think the reason it wasn't there is that we -- oh, here we go. Let's say yes over here.
[00:11:04.000 --> 00:11:11.000]   Wait. Why is this installing Python, even? Yikes.
[00:11:11.000 --> 00:11:23.000]   Oh, okay. That's annoying. So member -- okay. So let's try to install it into the tilde/conda directory.
[00:11:23.000 --> 00:11:32.000]   And it's saying, oh, that directory doesn't even have Python in it. So I want to install Python and everything into there.
[00:11:32.000 --> 00:11:44.000]   That's annoying. Let's say no.
[00:11:44.000 --> 00:12:02.000]   Okay. I do have another plan up my sleeve, which is there is a version of member that is fully self-contained. Everything statically compiled into it called micro member.
[00:12:02.000 --> 00:12:10.000]   So we're just experimenting a bit here. Once we get this working, we will make this all easier.
[00:12:10.000 --> 00:12:32.000]   So instead of using member, we say /storage. So we can put this somewhere else in a moment. So let's see if that would work.
[00:12:32.000 --> 00:12:52.000]   Okay. That's also not working. Hmm. This is quite tricky, isn't it?
[00:12:52.000 --> 00:13:03.000]   So maybe we need to figure out what a minimum environment is because we don't want to use up lots of our storage directory with junk that we don't really need.
[00:13:03.000 --> 00:13:18.000]   So what I'm going to do is I'm going to install all this junk and then I'm going to see what that actually installs.
[00:13:18.000 --> 00:13:24.000]   And then we'll try to get rid of as much of that junk as possible.
[00:13:24.000 --> 00:13:50.000]   So I think that's my plan.
[00:13:50.000 --> 00:13:53.000]   Yeah, that's roughly what I was getting as well.
[00:13:53.000 --> 00:14:12.000]   So, okay, no channel specified. I think I might be getting closer though on this condor forge.
[00:14:12.000 --> 00:14:18.000]   Okay, that seems to be doing something.
[00:14:18.000 --> 00:14:25.000]   So we might be on the way to finding a solution.
[00:14:25.000 --> 00:14:30.000]   Okay, let's see what this condor directory. Well, it's got a lot of stuff in it.
[00:14:30.000 --> 00:14:36.000]   So I want to find, I don't want to like have stuff that takes up storage space and I don't need.
[00:14:36.000 --> 00:14:39.000]   So the first thing to find out is how much storage space does things take up?
[00:14:39.000 --> 00:14:49.000]   So D stands for disk usage, that shows you how much storage space things up minus S just gives you a summary per directory and H is as usual human eyes.
[00:14:49.000 --> 00:14:57.000]   So like show me megabytes and stuff like that. So it's easy to read. So this is going to show me the size of every directory.
[00:14:57.000 --> 00:15:03.000]   And if I want it for the whole directory, okay, so I've got 276 meg, which isn't terrible.
[00:15:03.000 --> 00:15:15.000]   But let's see. It is 38 meg, lib is 203 meg. So it's mainly in lib, right? So what I could do then is go lib slash to see which ones.
[00:15:15.000 --> 00:15:21.000]   Now that's quite hard to read. So when things are kind of hard to read like that, I want to find everything that's like over a megabyte or more.
[00:15:21.000 --> 00:15:28.000]   So in the terminal, one of the really nice things you can do is you can use the vertical bar called pipe.
[00:15:28.000 --> 00:15:34.000]   And what pipe does is it takes the output of the previous command and it sends it to another command.
[00:15:34.000 --> 00:15:43.000]   And so the thing that you're most likely to pipe to is grep, and grep searches and only prints things that match a pattern.
[00:15:43.000 --> 00:15:50.000]   I just want to find those things that are a megabyte or more. So there's a capital M for megabyte, and then there's going to be a space after it.
[00:15:50.000 --> 00:15:56.000]   Sort of just search for an M followed by a space.
[00:15:56.000 --> 00:16:02.000]   No, that didn't work. Maybe that's not a space and it's actually a tab. Yes. Okay.
[00:16:02.000 --> 00:16:11.000]   So here's all the stuff that's over a megabyte in lib.
[00:16:11.000 --> 00:16:21.000]   And we could do the same thing for the directories inside Conda.
[00:16:21.000 --> 00:16:24.000]   There they are.
[00:16:24.000 --> 00:16:32.000]   So of that 203 meg, it's mainly Python, which I'm sure we're not going to need.
[00:16:32.000 --> 00:16:51.000]   So we could RM minus RF Python and see what else we got here.
[00:16:51.000 --> 00:17:12.000]   Python.
[00:17:12.000 --> 00:17:29.000]   Now got 161 meg, still quite a bit.
[00:17:29.000 --> 00:17:40.000]   Still mainly in lib.
[00:17:40.000 --> 00:17:44.000]   So this giant thing here, lib ICU data.
[00:17:44.000 --> 00:17:54.000]   I don't know if we need that or not. So what we could do is just move it out of the way.
[00:17:54.000 --> 00:18:01.000]   So 71 and maybe just move it out of the way.
[00:18:01.000 --> 00:18:06.000]   And then let's see if BAMBA works.
[00:18:06.000 --> 00:18:11.000]   Oh, we have an install. So let's see if we can. Oh, so BAMBA. Okay.
[00:18:11.000 --> 00:18:20.000]   So we've installed C tags and MAMBA, but I can't run them.
[00:18:20.000 --> 00:18:24.000]   And oh, that's interesting. I can run the C tags.
[00:18:24.000 --> 00:18:27.000]   Why is that?
[00:18:27.000 --> 00:18:37.000]   Oh, okay. So it looks like paper space comes with an old copy of C tags.
[00:18:37.000 --> 00:18:46.000]   And this might be the issue that you were having with not being able to use it.
[00:18:46.000 --> 00:18:54.000]   So normally dash dash version should tell you the version of things. There we go.
[00:18:54.000 --> 00:19:00.000]   C tags from Emacs. Wow. Okay. So my guess is it's not going to work the same way as what we're used to.
[00:19:00.000 --> 00:19:03.000]   And that's probably why some people were having problems.
[00:19:03.000 --> 00:19:07.000]   So this is not finding the one we just installed and we're not finding MAMBA at all.
[00:19:07.000 --> 00:19:16.000]   And so to remind you, the reason for this is that the way that the computer finds things to run is it searches in our path.
[00:19:16.000 --> 00:19:24.000]   And the stuff that we installed is in the Tilda slash Conda slash bin directory is MAMBA.
[00:19:24.000 --> 00:19:35.000]   And here's our newer version of C tags. So we could run things manually by typing bin slash C tags minus minus version.
[00:19:35.000 --> 00:19:39.000]   Okay, so it doesn't need that. Let's move that back in.
[00:19:39.000 --> 00:19:45.000]   I see you data. So that needs to go into it.
[00:19:45.000 --> 00:19:50.000]   Okay. And yeah, so here's a current version.
[00:19:50.000 --> 00:20:04.000]   Five point nine compiled. Well, two days ago. So to make it so that we'll be able to see stuff that's in our Conda directory, we need to ensure that it's in the path.
[00:20:04.000 --> 00:20:16.000]   So to make sure that things are in the path when we run a bash terminal, we have to put them into our dot VIM dot bash RC dot local file.
[00:20:16.000 --> 00:20:23.000]   So that's going to be.
[00:20:23.000 --> 00:20:28.000]   Okay, so it looks like I don't currently have one.
[00:20:28.000 --> 00:20:34.000]   So let's create one dot bash RC dot local.
[00:20:34.000 --> 00:20:36.000]   All right.
[00:20:36.000 --> 00:20:39.000]   So.
[00:20:39.000 --> 00:20:43.000]   This is a file that needs to be run with bash.
[00:20:43.000 --> 00:20:49.000]   And what we're going to do is we're going to export sets of variable.
[00:20:49.000 --> 00:20:52.000]   And so the variable we need to set is path.
[00:20:52.000 --> 00:21:01.000]   And we want to set it equal to the Conda VIM directory in our home directory.
[00:21:01.000 --> 00:21:05.000]   And then we want to also have the contents of the existing path variable.
[00:21:05.000 --> 00:21:12.000]   So you have to put dollar path to say the contents of a variable.
[00:21:12.000 --> 00:21:24.000]   Okay, so now if we create a new terminal we can test with that worked by printing the contents of dollar path echo is how you print things.
[00:21:24.000 --> 00:21:26.000]   Okay.
[00:21:26.000 --> 00:21:29.000]   Let's see. So that did not work.
[00:21:29.000 --> 00:21:33.000]   Let's try running it manually and see if it works.
[00:21:33.000 --> 00:21:41.000]   So source is a way of running a script and storing all the variables in this shell.
[00:21:41.000 --> 00:21:51.000]   So if we say slash storage slash bash RC dot local.
[00:21:51.000 --> 00:22:02.000]   It is Rick kind of been okay so why was it not working.
[00:22:02.000 --> 00:22:07.000]   Oh, it's not bash RC dot local it's dot bash dot local. That's why.
[00:22:07.000 --> 00:22:12.000]   So we could move.
[00:22:12.000 --> 00:22:27.000]   So I don't have to type up bash RC dot local I can just type exclamation mark dollar because that means the last token from the last line, which in this case is dot bash RC dot local and move it to bash dot local.
[00:22:27.000 --> 00:22:39.000]   Let's try again.
[00:22:39.000 --> 00:22:46.000]   There it is. Okay, so now if I run C text.
[00:22:46.000 --> 00:22:58.000]   I've got the right version, and I should get a right Matt run member.
[00:22:58.000 --> 00:23:02.000]   Okay, so mamba doesn't like being run so that's fine.
[00:23:02.000 --> 00:23:17.000]   What we can do is we can instead use this micro member thing instead so let's move micro member into condor bin.
[00:23:17.000 --> 00:23:40.000]   And so you can get micro member.
[00:23:40.000 --> 00:23:50.000]   You can download it from here.
[00:23:50.000 --> 00:24:00.000]   Alright, so let's see how we're doing.
[00:24:00.000 --> 00:24:08.000]   Let's get rid of member.
[00:24:08.000 --> 00:24:14.000]   And let's see how much space we're now taking up.
[00:24:14.000 --> 00:24:41.000]   Not bad. Right, 175 megs so we've now got a, you know, place that we can install software like C tags into, and it will work. So, to make sure that that'll work next time we need to move that into our slash storage.
[00:24:41.000 --> 00:24:56.000]   And then of course we'll need to similar kit back again. So, let's edit our pre run but sh file.
[00:24:56.000 --> 00:25:13.000]   You definitely don't have to remove anything so it won't be there so we just sim link slash storage slash Honda back to the home directory.
[00:25:13.000 --> 00:25:18.000]   Okay.
[00:25:18.000 --> 00:25:29.000]   So there's one other thing I'd like which is my dot bash history file it's really nice to come in each time and have the same bash history file on a machine.
[00:25:29.000 --> 00:25:32.000]   In my opinion.
[00:25:32.000 --> 00:25:56.000]   So, let's move that also into slash storage, because that means that our control are an app arrow and stuff like that are going to always work.
[00:25:56.000 --> 00:26:04.000]   So that goes into slash storage.
[00:26:04.000 --> 00:26:08.000]   And so let's do that as well.
[00:26:08.000 --> 00:26:14.000]   So how am I going to do this in VM I want to copy two lines and paste them. So to copy two lines.
[00:26:14.000 --> 00:26:24.000]   To copy a line is shift y so to copy two lines I press to shift y to copy two lines, and then shift P to paste those two lines above.
[00:26:24.000 --> 00:26:42.000]   Okay. And then I can press shift W to move a word forwards and shift C to change the rest of the line so that deletes and then it puts it in insert mode, and I can type bash underscore history.
[00:26:42.000 --> 00:26:52.000]   Now here's where it gets fun is, I want to do exactly the same thing for this line is replace this the rest of this line is dot bash history.
[00:26:52.000 --> 00:26:56.000]   So to repeat myself it is press dot.
[00:26:56.000 --> 00:27:15.000]   Isn't that fun. So, all right, let's, and that's not a directory so it doesn't need to be recursive.
[00:27:15.000 --> 00:27:31.000]   Okay, so let's try this out, shall we, by spinning up a new machine.
[00:27:31.000 --> 00:27:46.000]   I guess I mean I what I mean is spin up an existing machine, the instance of it.
[00:27:46.000 --> 00:27:55.000]   So the reason we're spending quite a bit of time to kind of set up our paper space environment is like, because I think it's good.
[00:27:55.000 --> 00:28:05.000]   There are practical examples of using VM and using links and using scripts, you know, which hopefully you'll be to reuse these ideas, lots of times.
[00:28:05.000 --> 00:28:09.000]   So let's start that one.
[00:28:09.000 --> 00:28:15.000]   Okay, so I'm just going to start up another machine and see if that all works.
[00:28:15.000 --> 00:28:29.000]   Let me wait for it. So yeah, I have a feeling now, once you've installed universal C tags properly and it's in your path, just a case of checking the version.
[00:28:29.000 --> 00:28:34.000]   So let's create a new shell, because that one's.
[00:28:34.000 --> 00:28:46.000]   App arrow. Oh, this is still not giving me the right version that's interesting.
[00:28:46.000 --> 00:28:51.000]   Add up to the shell to the path.
[00:28:51.000 --> 00:28:58.000]   Route Conda bin. That's interesting.
[00:28:58.000 --> 00:29:03.000]   Conda in C tags.
[00:29:03.000 --> 00:29:18.000]   Oh, okay, it's not similarly back again because we didn't run that storage script because this is not a new machine. So for now I'm just going to run the storage script manually.
[00:29:18.000 --> 00:29:27.000]   Okay, and.
[00:29:27.000 --> 00:29:31.000]   Okay, still not right.
[00:29:31.000 --> 00:29:41.000]   Oh, then the thing that puts in the path is meant to be the dot bash dot local, right, which should have run.
[00:29:41.000 --> 00:29:48.000]   Just create a new shell just to see if something weird happened.
[00:29:48.000 --> 00:29:58.000]   Okay, so that's in route Conda bin. So now if I type C tags minus minus version with control R to find it quickly. Okay, it is working.
[00:29:58.000 --> 00:30:09.000]   So it's just a case of getting that running it again. Okay, so here's our new machine, which is now finished starting.
[00:30:09.000 --> 00:30:21.000]   So let's see if the same thing works on a brand new machine.
[00:30:21.000 --> 00:30:42.000]   Where is this take a long time to start open up to put a lab the first time for some reason.
[00:30:42.000 --> 00:30:49.000]   On each machine.
[00:30:49.000 --> 00:30:56.000]   It comes. Okay, so fingers crossed.
[00:30:56.000 --> 00:31:00.000]   See tags minus minus version.
[00:31:00.000 --> 00:31:07.000]   There it is. And in theory.
[00:31:07.000 --> 00:31:15.000]   Yeah, we've also got our history so our history is actually saved between machines, which is quite nice, right.
[00:31:15.000 --> 00:31:21.000]   I love it. So if I wanted to echo path again, I could type control our capital PA and it'll find it from our history.
[00:31:21.000 --> 00:31:26.000]   Even though we're in a totally separate machine.
[00:31:26.000 --> 00:31:31.000]   One thing weird is we're getting the path here is repeating itself.
[00:31:31.000 --> 00:31:44.000]   Not quite sure why that's happening.
[00:31:44.000 --> 00:31:53.000]   It doesn't really matter too much, to be honest, but I'm just curious about why /opt/conda/conda/vn is appearing.
[00:31:53.000 --> 00:31:56.000]   But it's not appearing twice.
[00:31:56.000 --> 00:32:02.000]   User. Oh, no, they're all unique. Don't mind me. Okay, I was imagining things.
[00:32:02.000 --> 00:32:16.000]   So on this computer, I don't really want all this stuff in my notebooks either. So let me RM minus RF everything.
[00:32:16.000 --> 00:32:19.000]   That's a really dangerous command.
[00:32:19.000 --> 00:32:21.000]   Oh, Hamilton. Hi, Hamilton.
[00:32:21.000 --> 00:32:24.000]   Yeah, I'm so sorry for being late. I forgot.
[00:32:24.000 --> 00:32:31.000]   I didn't even tell people you're coming so they don't know you're late so you could have stayed silent and not known.
[00:32:31.000 --> 00:32:38.000]   Oh, hopefully it's going to be joining most to all of our sessions from now. So do you want to quickly introduce yourself, Hamel?
[00:32:38.000 --> 00:32:40.000]   Yeah, yeah, I'm Hamel.
[00:32:40.000 --> 00:32:51.000]   I have, you know, work on fast AI a lot. I especially like contributing to all the dev tools, like nb dev and fast core and stuff like that.
[00:32:51.000 --> 00:32:58.000]   And in like two other tools that help people automate what people do.
[00:32:58.000 --> 00:33:11.000]   So yeah, Hamilton Hamels got background as a machine learning researcher and developer and also quite a bit of stuff with ML ops.
[00:33:11.000 --> 00:33:20.000]   And also training as a lawyer. So, you know, if anybody needs help with the law, he's the guy.
[00:33:20.000 --> 00:33:25.000]   That's what I tell people about that, Jeremy.
[00:33:25.000 --> 00:33:32.000]   All right. Nice to see you. So we're just setting up our paper space environment Hamel.
[00:33:32.000 --> 00:33:42.000]   And we've got to a point now where I just launched a new instance and everything is exactly how I want it straight away, which is really nice.
[00:33:42.000 --> 00:33:51.000]   We've got a way to install persistently Python modules. We can install persistently binaries.
[00:33:51.000 --> 00:33:59.000]   So I think that's a good place to start working through the book because we've got ourselves an environment.
[00:33:59.000 --> 00:34:06.000]   So that is step one. Is there anything else that people felt like we're kind of missing from the environment that they would really want?
[00:34:06.000 --> 00:34:15.000]   Or should we start working on chapter one of the book?
[00:34:15.000 --> 00:34:17.000]   Sounds like we're all happy. Okay, great.
[00:34:17.000 --> 00:34:21.000]   I'll stop this machine because that one's costing me money.
[00:34:21.000 --> 00:34:29.000]   So here we are in slash notebook. So the first thing we're going to need is we're going to need a copy of the book.
[00:34:29.000 --> 00:34:49.000]   So fast book is here so we can copy the SSH GitHub thingy and clone it into slash notebooks.
[00:34:49.000 --> 00:34:51.000]   Actually, wait, we're trying to do this properly, right?
[00:34:51.000 --> 00:35:03.000]   So if we're going to do it properly, what we should actually do is create our own fork of it so that we can make changes and save it back again.
[00:35:03.000 --> 00:35:12.000]   So actually rather so what I'm going to do is I'm going to click fork and that's going to create my own copy in JPHOO.
[00:35:12.000 --> 00:35:21.000]   Okay, so let's get rid of that copy in JPHOO. We can actually do this all from scratch.
[00:35:21.000 --> 00:35:26.000]   Okay, so try following along with these steps.
[00:35:26.000 --> 00:35:36.000]   Make sure it works for you. So I'm just going to delete my copy of this.
[00:35:36.000 --> 00:35:58.000]   JPHOO slash fast book so that we can start from scratch.
[00:35:58.000 --> 00:36:27.000]   Looks like I need to go get my phone, excuse me.
[00:36:27.000 --> 00:36:42.000]   That's annoying.
[00:36:42.000 --> 00:36:48.000]   Normally it lets me use GitHub on my phone.
[00:36:48.000 --> 00:37:05.000]   Alright, I'm just going to do this on my other computer rather than set this all up.
[00:37:05.000 --> 00:37:13.000]   This device option seem like it was promising to me.
[00:37:13.000 --> 00:37:27.000]   This device. Yeah, no, because like this is my new Mac that like, I don't even normally on my Windows machine I use Windows Hello to do feast recognition.
[00:37:27.000 --> 00:37:39.000]   And when I say do it on my phone, it's not doing it with the GitHub app on my phone which is what normally happens but instead my it's on saying on my phone I have to install a USB security key so I don't know.
[00:37:39.000 --> 00:37:46.000]   I could just do it over on my other computer to leave this repository.
[00:37:46.000 --> 00:37:49.000]   Don't worry about that another time.
[00:37:49.000 --> 00:37:58.000]   Okay, my other computer I should be able to use my security key. Yes, because it uses face recognition.
[00:37:58.000 --> 00:38:00.000]   Okay, great.
[00:38:00.000 --> 00:38:02.000]   I love Windows Hello. It's very handy.
[00:38:02.000 --> 00:38:11.000]   Okay, so now, that's all done. So right now. Great. So now I can.
[00:38:11.000 --> 00:38:19.000]   Okay, so now I can create my fork.
[00:38:19.000 --> 00:38:22.000]   Oops.
[00:38:22.000 --> 00:38:32.000]   There we go. So this is going to create a basically a copy of the repository.
[00:38:32.000 --> 00:38:38.000]   But it's a copy that is linked back to the fast as version of the repository.
[00:38:38.000 --> 00:38:51.000]   So, as if, if faster I makes changes, then I can click fetch upstream and it'll copy those changes into our version, which is nice, but it'll also keep our changes as well.
[00:38:51.000 --> 00:38:53.000]   As long as they don't conflict.
[00:38:53.000 --> 00:39:03.000]   So now, rather than cloning faster as version, we will clone our version, and we can save those changes back as we need to.
[00:39:03.000 --> 00:39:10.000]   Okay, so I got to get clone our fork.
[00:39:10.000 --> 00:39:23.000]   You can see here it's got our username, and then the repo name.
[00:39:23.000 --> 00:39:30.000]   I noticed that I'm inside slash notebooks. When I do that,
[00:39:30.000 --> 00:39:34.000]   which means that now we can see it.
[00:39:34.000 --> 00:39:50.000]   And here it is. So let's open chapter one and let's open chapter one and clean
[00:39:50.000 --> 00:39:53.000]   checking.
[00:39:53.000 --> 00:40:01.000]   I remember previously with get clone you've done depth of one to not clone the whole repo. Yeah.
[00:40:01.000 --> 00:40:11.000]   I wondered about doing that this time but because we want to probably save like commit things back to our fork of the repo, I decided not to go with depth one.
[00:40:11.000 --> 00:40:18.000]   This time, because we're not just reading it but we're actually changing it.
[00:40:18.000 --> 00:40:20.000]   I have a question.
[00:40:20.000 --> 00:40:25.000]   I have never done a fork and an emerge.
[00:40:25.000 --> 00:40:29.000]   And I wonder if you can do a sample just to test. If that's okay.
[00:40:29.000 --> 00:40:35.000]   Yeah, let's make a change and copy it back. So, let's just on the way to the master.
[00:40:35.000 --> 00:40:38.000]   Yes, yes, yes.
[00:40:38.000 --> 00:40:39.000]   Okay.
[00:40:39.000 --> 00:40:50.000]   So let's see if this first cell runs first of all.
[00:40:50.000 --> 00:41:02.000]   You'll see at the very top there's a Pippin store fastbook, but it checks if this is a bash line because it starts with exclamation mark and it's checking whether something called slash content exists that only exists on colab.
[00:41:02.000 --> 00:41:05.000]   So that will only run on colab.
[00:41:05.000 --> 00:41:10.000]   So it actually it's importing the fastbook, and then it's going to try to import it.
[00:41:10.000 --> 00:41:13.000]   Okay, great.
[00:41:13.000 --> 00:41:15.000]   And we could try running something.
[00:41:15.000 --> 00:41:17.000]   Okay, great.
[00:41:17.000 --> 00:41:27.000]   So now let's try pushing that back to our repo. So, if we now CD into fastbook.
[00:41:27.000 --> 00:41:33.000]   And we do a get status.
[00:41:33.000 --> 00:41:39.000]   Get status.
[00:41:39.000 --> 00:41:46.000]   It looks like you haven't saved that.
[00:41:46.000 --> 00:41:50.000]   Yeah, I thought I did, but apparently I didn't.
[00:41:50.000 --> 00:41:57.000]   Oh, because it's on a Mac and you have to press Command S and I'm just not used to using a Mac here.
[00:41:57.000 --> 00:42:00.000]   Okay, so it tells us that we've made a change.
[00:42:00.000 --> 00:42:13.000]   So, to remind you the kind of a shortcut for adding something to a commit and giving it a message is get minus a to add it and M to provide a message.
[00:42:13.000 --> 00:42:17.000]   And then you need to say what it was going to do. So I'm going to commit.
[00:42:17.000 --> 00:42:27.000]   And the message has to be in single quotes, so it knows that's all one string test, making a change.
[00:42:27.000 --> 00:42:43.000]   Okay. So here's another thing that we're going to want to add to our.
[00:42:43.000 --> 00:42:50.000]   Here's another thing we're going to want to add to our persistent stuff is who am I.
[00:42:50.000 --> 00:43:10.000]   So let's run the things it says to.
[00:43:10.000 --> 00:43:23.000]   Okay, and then what you'll find is that there's now a config file that's appeared here.
[00:43:23.000 --> 00:43:34.000]   That contains that information. So hopefully you won't be too surprised to hear that what I want to do is move that into slash storage.
[00:43:34.000 --> 00:43:38.000]   And then VIM slash storage.
[00:43:38.000 --> 00:43:42.000]   Pretty run.
[00:43:42.000 --> 00:44:01.000]   And Sim link it in a script.
[00:44:01.000 --> 00:44:10.000]   First time around we'll have to do that manually.
[00:44:10.000 --> 00:44:16.000]   Okay, and so I rerun the commit by typing control out a search backwards and type commit.
[00:44:16.000 --> 00:44:18.000]   Press enter.
[00:44:18.000 --> 00:44:25.000]   Oh, I'm in the wrong place to get back to where I was a CD hyphen.
[00:44:25.000 --> 00:44:30.000]   There we go. Okay, so that's committed it to my local.
[00:44:30.000 --> 00:44:48.000]   There we go. So if I now go back to.
[00:44:48.000 --> 00:44:51.000]   GitHub.
[00:44:51.000 --> 00:44:54.000]   You'll see that this branch is one commit ahead of faster your master.
[00:44:54.000 --> 00:45:02.000]   So I've made a commit that isn't part of faster.
[00:45:02.000 --> 00:45:10.000]   So, you know, by the way, sometimes like a lot of the time you create a fork and you make changes because you just want to make changes to your version.
[00:45:10.000 --> 00:45:20.000]   Sometimes you make a fork and make changes because you actually want to provide those changes back to the original project, you know, you fixed a bug of theirs or added a feature of theirs.
