
[00:00:00.000 --> 00:00:10.460]   yeah we're good all right you guys see my screen yeah okay so um so for the var paper
[00:04:30.020 --> 00:04:35.620]   maybe you can't tell that it's a bird a parrot at this point if you knew it was a parrot and i asked you
[00:04:35.620 --> 00:04:41.780]   is the parrot facing to the right or the left at r3 you could probably say yeah i think this is the beak
[00:04:41.780 --> 00:04:49.700]   and so i think it's facing to my right okay um and so so you could imagine that at r4 you're getting this
[00:04:49.700 --> 00:04:55.620]   global context you know what color is the main body of the bird it's probably blue right there are things
[00:04:55.620 --> 00:05:01.860]   that you can learn it's not working out the fine details and so then as you keep going more and more
[00:05:01.860 --> 00:05:08.900]   local information is is available and so now if you're actually trying to predict specific pixels on
[00:05:08.900 --> 00:05:16.340]   a portion of the beak you have uh from this you have a lot of more local context in addition to just the
[00:05:16.340 --> 00:05:24.420]   general global context about this so this is a nice concept but it still begs the question
[00:05:24.420 --> 00:05:32.660]   how do we actually implement this idea of going from low scale to high res scale by the way just stop at
[00:05:32.660 --> 00:05:38.420]   any point and ask questions uh i i can try to monitor the chat but it's not always easy when i'm screen
[00:05:38.420 --> 00:05:44.580]   sharing so i apologize that either somebody else give a shout if there's a question good question in the chat
[00:05:44.580 --> 00:05:55.940]   that that i'm missing um i i have a question here um what what i'm really um i'm not sure um i i can
[00:05:55.940 --> 00:06:04.340]   understand what is a token in an image in a in a sentence but i i what what would be a token in an image is a
[00:06:04.340 --> 00:06:12.580]   some some some some some pixels because uh it you can have like lots of different
[00:06:14.180 --> 00:06:20.820]   it's uh it's uh would be a really huge it's the perfect question that's the perfect question
[00:06:20.820 --> 00:06:26.180]   okay i have this idea that i want to go from low scale to high res what the heck is the token how do
[00:06:26.180 --> 00:06:35.620]   i tokenize this what what are the pieces so that that that's that's the the the what we need to get
[00:06:35.620 --> 00:06:40.980]   into next that's the solution that we need to solve this is just a high level description but it doesn't
[00:06:40.980 --> 00:06:46.740]   actually make it obvious at all how you how you pull this off so perfect question
[00:06:46.740 --> 00:06:56.340]   okay so um a couple concepts that we're going to use in order to to explain the tokenization scheme
[00:06:56.340 --> 00:07:05.060]   okay uh so one is auto encoder right so here we have a a simple auto encoder and you take an image
[00:07:05.060 --> 00:07:09.460]   you pass it through some cnn layers you have a bottleneck in the middle and this can be considered
[00:07:09.460 --> 00:07:16.580]   your embedding uh this is a deterministic embedding so you can't use a simple auto encoder as a generator
[00:07:17.780 --> 00:07:25.220]   okay um so we have variational auto encoders which then uh take the input and you may have cnn layers and
[00:07:25.220 --> 00:07:30.980]   whatnot up front but ultimately instead of getting a single embedding uh what you're doing is you're you're
[00:07:30.980 --> 00:07:39.780]   uh uh uh you're you're creating a probability distribution okay so generally speaking what
[00:07:39.780 --> 00:07:45.700]   we're doing is we're transforming it to something simple and so here we have uh in this slide uh it's
[00:07:45.700 --> 00:07:55.220]   a multi-dimensional gaussian distribution with diagonal covariance okay and what we want is we
[00:07:55.220 --> 00:08:01.060]   want the encoder to basically transform our data distribution into this simple gaussian distribution
[00:08:01.060 --> 00:08:11.540]   which we know how to sample from and then when we do generation the real um real power of this variational
[00:08:11.540 --> 00:08:18.340]   auto encoder is that the decoder knows how to do the reverse transform uh basically to take something
[00:08:18.340 --> 00:08:26.260]   sampled from this multi-dimensional gaussian and put it into the data distribution um so i don't know
[00:08:26.260 --> 00:08:34.340]   this is all i have i i wasn't really covering vaes in this so if you want to add any color about vaes
[00:08:37.780 --> 00:08:43.380]   it looks like anton's giving um people are talking about vq vaes but um my my understanding
[00:08:43.380 --> 00:08:49.460]   stops at vae and uh the only thing i'd add is that this is basically what led to latent diffusion
[00:08:49.460 --> 00:08:58.500]   yeah yeah so so vaes were used for image generation standalone uh i don't know how many years ago right
[00:08:58.500 --> 00:09:03.940]   like four years ago or whatever um and they weren't they weren't very good um at the time they were very
[00:09:03.940 --> 00:09:08.900]   interesting but but ultimately you got some blurry images and you can do things to clean up the fact
[00:09:08.900 --> 00:09:16.340]   that the images are blurry so then yes next we're going to go to um vector quantization because vaes
[00:09:16.340 --> 00:09:25.700]   actually if i go back uh uh this uh this latent vector that you sample is is continuous okay so if we
[00:09:25.700 --> 00:09:32.580]   say the dimensionality here is 256 you have 256 floats they're continuous uh real valued all right
[00:09:32.580 --> 00:09:39.860]   so for anything where we're going to do a gpt style thing we need a vocabulary we need a discrete
[00:09:39.860 --> 00:09:48.420]   distribution so we're going to use vector quantization and um the way i describe vector quantization is it is
[00:09:48.420 --> 00:09:59.220]   just um a multi-dimensional uh uh version of rounding or quantization and so super quickly if i said you
[00:09:59.220 --> 00:10:04.740]   have floating point numbers between zero one and rounded to the nearest hundredth okay you'd create a hundred
[00:10:04.740 --> 00:10:11.460]   buckets and basically uh right we know how you just like at the hundredth place you just you look you
[00:10:11.460 --> 00:10:17.380]   truncate the rest of it and you drop things into the buckets um so that would just be very simple rounding
[00:10:17.380 --> 00:10:24.420]   into 100 equal sized buckets but if i said to you hey my data is actually not distributed uniformly
[00:10:24.420 --> 00:10:29.300]   uh let's say it's it's you know somehow whatever like heights of people and it's kind of bell curve
[00:10:29.300 --> 00:10:35.460]   shaped right but i want good use of my buckets i want my buckets to be have roughly equal numbers
[00:10:35.460 --> 00:10:40.980]   of people in them then one thing you might do is you might have narrow buckets near the middle and wider
[00:10:40.980 --> 00:10:47.060]   buckets at the ends and if you do it right then what you'll wind up with is once you see your data
[00:10:47.060 --> 00:10:53.460]   you'll get approximately one percent of the of the people falling in every bucket so that's going
[00:10:53.460 --> 00:11:00.580]   from just simple rounding to uh uneven sized buckets then the last thing you could do is you could say
[00:11:00.580 --> 00:11:05.540]   rather than predetermining those i'm actually going to get some data and i'm just going to learn i'm going
[00:11:05.540 --> 00:11:11.460]   to see based on that data uh uh how i should apportion my buckets in order to have them all be roughly
[00:11:11.460 --> 00:11:17.940]   equal samples um so good so now we just basically have a learned hundred bucket thing for one-dimensional
[00:11:17.940 --> 00:11:24.020]   data how do you do that for multi-dimensional data well if you have a vector of length uh 256 you just
[00:11:24.020 --> 00:11:28.500]   do the exact same thing that you were doing in the one-dimensional case except you use let's say l2 loss
[00:11:29.140 --> 00:11:35.300]   in order to uh figure out which bucket you're closest to and then you just shift the buckets around until
[00:11:35.300 --> 00:11:42.980]   you get roughly equal numbers in every bucket so for me i just say that uh vector quantization is just
[00:11:42.980 --> 00:11:50.500]   learned rounding on multi-dimensional vectors and and then for me i have the the mental intuition
[00:11:51.140 --> 00:11:58.900]   or it's not something super fancy or anything like that yeah i see you raised hand yeah i have a
[00:11:58.900 --> 00:12:04.820]   question so so the basic question i think it's also being as in the chat window is why do we have to go
[00:12:04.820 --> 00:12:13.140]   towards uh vector quantization because one of the reasons for actually doing a vae is is that you have a
[00:12:13.140 --> 00:12:20.660]   continuous distribution so that a subtle change in the input will lead to a subtle change in the output as
[00:12:20.660 --> 00:12:26.580]   opposed to any kind of dramatic changes whereas once you move into the quantization world you lose
[00:12:26.580 --> 00:12:38.020]   that subtlety the proportional change uh uh benefit that you actually get from vaes um i don't know if
[00:12:38.020 --> 00:12:47.940]   i can answer the the question fully uh uh i'm not the the author of the paper but what i will say is that if if we
[00:12:48.740 --> 00:12:55.620]   want to use a gpt style transformer we are going to have a fixed vocabulary um
[00:12:55.620 --> 00:13:01.780]   and and so we want to discretize this if you're familiar with like whisper or these other audio
[00:13:01.780 --> 00:13:08.660]   models what they do is they do uh residual vector quantization and so you vector quantize and there
[00:13:08.660 --> 00:13:13.700]   is this rounding error that you're losing information so then what you can do is you can take the the the
[00:13:13.700 --> 00:13:20.180]   error between the original and the um and your first quantization and then you can quantize
[00:13:20.180 --> 00:13:26.020]   that error okay yeah and then you can take the leftover from that you do that four times and now
[00:13:26.020 --> 00:13:31.300]   you've actually got a a much much more accurate approximation of your original than if you just did
[00:13:31.300 --> 00:13:38.020]   one round of quantization and so we'll see that they don't explicitly use residual vector quantization in the
[00:13:38.020 --> 00:13:44.900]   var paper but the process they use ends up imitating that as they go through the scales
[00:13:44.900 --> 00:13:51.780]   from low to high res they are doing residuals and so it ends up uh kind of being like rvq
[00:13:51.780 --> 00:13:59.060]   got it thank you and and one other question while i'm still here would you be able to make this
[00:13:59.060 --> 00:14:08.100]   presentation available to me or to us so yeah yeah i i have a pdf on github i can share the link great
[00:14:08.100 --> 00:14:18.260]   thanks um yeah so so again if you just think that this is just multi-dimensional rounding uh such that
[00:14:18.260 --> 00:14:24.820]   we get equal numbers in every bucket so that we're making good use of our buckets uh then what do we call
[00:14:24.820 --> 00:14:30.660]   the list of buckets so so right if you use equal size buckets then you just have a formula for
[00:14:30.660 --> 00:14:35.300]   calculating the buckets but if you if you are now learning them you you have to just write them
[00:14:35.300 --> 00:14:42.420]   down you have to store them somewhere and so by convention um the list of the buckets uh is
[00:14:42.420 --> 00:14:50.740]   um is called a code book okay and uh rather than super fancy buckets i think what they do is they just
[00:14:50.740 --> 00:14:56.260]   store the center of the bucket the centroid or whatever you want to call it uh and so then uh
[00:14:56.260 --> 00:15:01.140]   you're not actually like defining the upper and lower bound of the bucket where you're just saying
[00:15:01.140 --> 00:15:05.860]   here's the middle of the bucket here's the middle of that bucket and then uh when you want to quantize
[00:15:05.860 --> 00:15:13.060]   something what you do is you actually compare it to every bucket and you see which has the the lowest l2
[00:15:13.060 --> 00:15:18.980]   distance and then that's the bucket that you that you uh quantize it to that's the one that you round it to
[00:15:19.540 --> 00:15:28.580]   um so it is i don't know slightly expensive so if you have 4096 buckets it does it is like order 4096
[00:15:28.580 --> 00:15:33.700]   to quantize something you have to compare to every one of those and then you say yeah it was closest
[00:15:33.700 --> 00:15:37.620]   to bucket 17 so i'm now going to throw it in bucket 17.
[00:15:43.220 --> 00:15:50.980]   all right so now that we kind of have a little bit of information on on vaes and vqvaes um so now the
[00:15:50.980 --> 00:16:00.100]   question is how do we tokenize how do we fit images into an llm okay um and so the solution in the var paper
[00:16:00.100 --> 00:16:07.940]   is we're going to break the image into patches and each patch is each patch is going to go through
[00:16:07.940 --> 00:16:16.980]   uh our our vector quantizer our vector vqvae um but what we're going to do is if it's a low res image
[00:16:16.980 --> 00:16:23.940]   we're going to give it fewer patches and if it's a high res image we're going to give it more patches
[00:16:23.940 --> 00:16:32.420]   um specifically in the var paper they worked on image net 256 by 256 color images uh for image net
[00:16:33.060 --> 00:16:42.660]   and they said the high res in their case is 16 by 16 256 patches and the lowest res is one patch
[00:16:42.660 --> 00:16:50.740]   so low res is very very low res it would really just be like the average color
[00:16:50.740 --> 00:16:59.220]   of the entire image right just the mean so that's like extremely extremely low res and if you think
[00:16:59.220 --> 00:17:05.700]   about it the the 16 by 16 is actually not not that high but it's a small image it's only 256 by 256
[00:17:05.700 --> 00:17:14.020]   okay so uh they actually sped it up a little bit they didn't use every single possible size in between
[00:17:14.020 --> 00:17:20.180]   but so you have a one by one is your lowest res then a two by two and then a three by three and then a
[00:17:20.180 --> 00:17:24.420]   four by four and then at some point they got to like you know eight and they jumped to 10 and then they
[00:17:24.420 --> 00:17:29.540]   jumped to 12 and whatever but that's not that's not like the schedule they used is not particularly
[00:17:29.540 --> 00:17:35.860]   important if you just did it naively you would you would say i have 16 steps from one to 16. they had
[00:17:35.860 --> 00:17:45.780]   i believe 10 steps if you look at the code in that uh in that var paper all right so so basically that
[00:17:45.780 --> 00:17:55.460]   means that the lowest res image is going to get one token as it's embedding and the the token id is just
[00:17:55.460 --> 00:18:02.740]   the bucket number uh from our vector quantizer right so i was saying if if you if you compare it to all
[00:18:02.740 --> 00:18:13.300]   4096 and 17 is the closest one then literally what you do is you just say 17 is my is my token number um and then
[00:18:13.300 --> 00:18:19.220]   gpt2 right it goes through the embedding layer that turns it into a dense specter it goes through however
[00:18:19.220 --> 00:18:24.820]   many was it 12 i don't remember if they even use gpt2 small medium whatever goes through 12 transformer
[00:18:24.820 --> 00:18:35.620]   layers and then out pops your next token prediction um you guys all know lms right so um so so basically uh
[00:18:36.660 --> 00:18:43.060]   the bottom point here is normally our llm is predicting the next token but if we're predicting
[00:18:43.060 --> 00:18:49.220]   the next higher resolution now that's multiple patches so when i start with just one patch i'm going
[00:18:49.220 --> 00:18:56.580]   to predict the next image which means i'm actually predicting four tokens at once and then when i have
[00:18:56.580 --> 00:19:02.340]   that one i have the first and the second one i have five tokens in my context i'm now going to predict the
[00:19:02.340 --> 00:19:09.300]   the next nine tokens all at once and then when i have 14 tokens in my context i'm going to predict the next
[00:19:09.300 --> 00:19:18.260]   16 tokens all at once okay um and basically what you can do is is you if you just change the shape of your
[00:19:18.260 --> 00:19:24.340]   auto regressive mask instead of being purely diagonal you have it be kind of block uh diagonal then what you can do is you can say
[00:19:24.340 --> 00:19:31.140]   then what you can do is you can say when i have five tokens in my context and i'm predicting nine more so
[00:19:31.140 --> 00:19:38.660]   what is that six through 14 or something like that um i'm going to change my mask so that tokens seven
[00:19:38.660 --> 00:19:48.180]   through 14 can still only see the first five they cannot see token six okay so tokens tokens six through
[00:19:48.180 --> 00:19:53.540]   14 all have equal amount of 14 all have equal amount of keys that they can attend to equal amount of
[00:19:53.540 --> 00:20:00.820]   information though the the fact that they are ordered in a particular order gives them no extra information
[00:20:00.820 --> 00:20:10.100]   because we are we are creating the mask um you know slightly block wise so that yes in fact the very last
[00:20:10.100 --> 00:20:17.220]   token the 14th token still can only attend to tokens one through five it cannot see any of the earlier tokens from
[00:20:17.220 --> 00:20:18.900]   its level
[00:20:18.900 --> 00:20:28.340]   okay um and then in practice what we do is uh um if you're familiar with like you know pre-fill versus
[00:20:28.340 --> 00:20:35.540]   decoding right in the pre-fill stage we we we are uh uh uh inferencing multiple positions at once
[00:20:35.540 --> 00:20:41.220]   here there's no reason not to do that as well you could do them one at a time but it would just be
[00:20:41.220 --> 00:20:46.260]   less efficient but that's just an implementation issue okay whether you inference the nine tokens
[00:20:46.260 --> 00:20:51.220]   one at a time or you do them all at once because of the attention mask it's it's exactly the same
[00:20:51.220 --> 00:21:02.660]   all right um so now the thing we're going to do is we're going to modify
[00:21:02.660 --> 00:21:10.500]   our vector quantizer a little bit uh and we're not going to just use a vanilla vqvae uh there's a
[00:21:10.500 --> 00:21:20.980]   special vqvae that was trained specifically for var um and uh ultimately they tried it both ways they
[00:21:20.980 --> 00:21:28.660]   said i will just take this image and when i want low res they just did linear interpolation okay there's
[00:21:28.660 --> 00:21:35.860]   nothing fancy here uh whether you're using like the the cv2 function or the pytorch built-in function
[00:21:35.860 --> 00:21:41.780]   it's literally just linear interpolation so i start with my image when i want a one by one
[00:21:41.780 --> 00:21:48.980]   you just basically say resize or linear interpolate down to one by one and it gives you you know the
[00:21:48.980 --> 00:21:55.860]   average and if you say uh you know two by two um it's just the the the simple thing so there's no
[00:21:55.860 --> 00:22:03.220]   there's no fancy learning going on here um uh so they tried it where they said i'm just going to do
[00:22:03.220 --> 00:22:08.420]   one by one two by two three by three so on and so forth and every one of those i'm going to run through
[00:22:08.420 --> 00:22:14.180]   run my patches through the vector quantizer it worked what they found worked a little bit better however
[00:22:14.180 --> 00:22:25.620]   is after you have the one by one you can project that back to your full size image 256 by 256 and of
[00:22:25.620 --> 00:22:30.820]   course you're it's a little bit more complicated but but you can imagine that you're then just going to
[00:22:30.820 --> 00:22:36.340]   get a solid color for the whole thing because you only have one data point so you so when you when you
[00:22:36.340 --> 00:22:44.340]   um upscale that you're just going to get this flat uniform thing uh what they do is they say for the two
[00:22:44.340 --> 00:22:52.420]   by two instead of also predicting the original image i'm going to subtract what the one by one predicted my
[00:22:52.420 --> 00:22:56.900]   full image was going to be i'm going to subtract so so if you have this mean color that you've
[00:22:56.900 --> 00:23:02.020]   predicted i'm going to subtract that from the image and that's what i'm actually going to predict for my
[00:23:02.020 --> 00:23:07.140]   that's what i'm going to use what i'm going to quantize for my two by two so this is where the part
[00:23:07.140 --> 00:23:14.020]   i mentioned earlier about it's a little bit like um residual vector quantization right so then after
[00:23:14.020 --> 00:23:23.460]   you have a two by two that's been vector quantized you then upscale that back to 256 subtract that from
[00:23:23.460 --> 00:23:28.660]   what you have and so you're successively doing this so when they did it in 10 steps what it means is
[00:23:28.660 --> 00:23:36.740]   that the the last step that's the 16 by 16 patches they're not predicting the original image they're
[00:23:36.740 --> 00:23:45.060]   predicting the leftover after all the previous nine uh quantizations have done their job okay and so
[00:23:45.060 --> 00:23:53.220]   you can imagine like now you're really getting into i'm just predicting fine uh details looking at
[00:23:53.220 --> 00:23:58.500]   the chat numbers going up and i apologize if if i should be answering questions or if you guys are just
[00:23:58.500 --> 00:24:06.340]   super chatty but i'm like 44 freaking messages uh exactly if it's important someone will interrupt but
[00:24:06.340 --> 00:24:11.940]   that's all okay uh coding which is always fun for images
[00:24:11.940 --> 00:24:21.860]   uh i don't actually remember what they did for positional encodings off the top of my head sorry
[00:24:21.860 --> 00:24:27.700]   i could go look at the paper real quick but yes there have to be positional codings because
[00:24:28.580 --> 00:24:31.220]   attention is position invariant
[00:24:31.220 --> 00:24:38.900]   and um i think you mentioned that uh in the last step they're predicting the deltas from the previous
[00:24:38.900 --> 00:24:45.380]   step right i wonder do you have an intuition of why um a vq vae would work better here as opposed
[00:24:45.380 --> 00:24:52.260]   to a residual vae because it seems that residual would work better with predicting residual but i i don't know
[00:24:52.260 --> 00:25:02.660]   um i'm not familiar with the what you're saying residual vae um yeah um i mean the idea here is that
[00:25:02.660 --> 00:25:13.460]   you you have the the the the vae but in this case we're quantizing it okay and so um
[00:25:13.940 --> 00:25:21.620]   so you have you have two forms of error uh so to speak you have the fact that you
[00:25:21.620 --> 00:25:29.780]   have downscaled this a lot okay and then you upscale it back and so then you've lost a lot of information
[00:25:29.780 --> 00:25:35.620]   there and then the other error you have is the fact that when you downscaled it you then quantized it so
[00:25:35.620 --> 00:25:40.900]   quantized it so you moved it a little bit and then you upscaled that sucker that you moved back
[00:25:40.900 --> 00:25:46.580]   yep so um so i don't know how to answer your question because i don't know that that other
[00:25:46.580 --> 00:25:51.460]   residual v but i can tell you that what so what they're doing is the combination of those two errors
[00:25:51.460 --> 00:26:01.300]   is what the next iteration is then trying to uh uh uh encode okay gotcha thank you and then so the two
[00:26:01.300 --> 00:26:07.460]   by two is going to downscale quantize have those both kinds of errors created uh when you upscale
[00:26:07.460 --> 00:26:13.940]   that back and then the three by three is going to just look at the leftover errors from both levels one
[00:26:13.940 --> 00:26:19.220]   and two and then the four by four is going to look at the leftover errors after those three and so on and
[00:26:19.220 --> 00:26:29.460]   so forth so um so this this vqvae one of the key things though is that the code book used
[00:26:29.460 --> 00:26:37.700]   when you do level one versus the last level the 16 by 16 it's using the exact same code book
[00:26:37.700 --> 00:26:46.740]   so uh i've seen different people ask you you potentially could have a more accurate quantizer if
[00:26:46.740 --> 00:26:53.540]   you use customized code books for the one by one level versus the 16 by 16 level but since we want to
[00:26:53.540 --> 00:27:01.300]   feed all of these into our same gpt model that's why we we're forced to use um same code book for for
[00:27:01.300 --> 00:27:13.540]   all the different levels and and so basically then uh um uh the the vqvae when it's learning its code book
[00:27:13.540 --> 00:27:23.060]   has to decide on uh uh codes that work well both at the high res and and at the low res and it has
[00:27:23.060 --> 00:27:27.780]   to come up with some sort of compromise because these these these codes are going to be shared
[00:27:27.780 --> 00:27:34.660]   everywhere in my head my intuition is that even though the the code book has to be shared and it may
[00:27:34.660 --> 00:27:40.980]   not be optimized for low and high res still what's happening is you're going to get these broad global
[00:27:40.980 --> 00:27:48.820]   features at lower resolutions you're going to get the sort of low frequency information um encoded
[00:27:48.820 --> 00:27:55.140]   and as you get to the last and that's where the high frequency features so the the details of the grass
[00:27:55.140 --> 00:28:02.740]   you know the the texture of the fur that's going to not happen until until probably quite late in the in
[00:28:02.740 --> 00:28:09.620]   the quantization process and so this this next slide i wasn't planning on spending a lot of time on it but
[00:28:09.620 --> 00:28:16.580]   what you can see just from this algorithm is that you input an image and it's going to loop in this case
[00:28:16.580 --> 00:28:23.060]   10 times it doesn't matter if it's 10 or 16 times going from the one by one up to the 16 by 16 and and
[00:28:23.060 --> 00:28:28.420]   the key thing though is that they have this queue that they're sticking on but you get all of those those
[00:28:28.420 --> 00:28:34.020]   embeddings at the different layers at once this is not like a separate kind of a thing you you
[00:28:34.020 --> 00:28:42.740]   do the multi-resolution quantization in one fell swoop you get all the resolutions simultaneously out of
[00:28:43.300 --> 00:28:53.060]   after you you run your for loop okay um so it's a it's a package deal okay you so this is a dedicated multi-scale
[00:28:53.060 --> 00:29:01.300]   vqvae that gives you all your resolutions at once and then reconstruction uh also has to be an iterative
[00:29:01.300 --> 00:29:08.260]   process you cannot say let me do the reconstruction at the eight by eight level without the information
[00:29:08.260 --> 00:29:13.780]   about the other ones because this is a residual process you have to have all the earlier ones
[00:29:13.780 --> 00:29:20.100]   and then you sum all the predictions from all the earlier ones with your predictions in order to get your
[00:29:20.100 --> 00:29:26.980]   your final prediction it's just like in an llm you you couldn't say what is the output of just the eighth
[00:29:26.980 --> 00:29:32.500]   layer right it's a residual stream so you have to have layers one through seven in order to know what
[00:29:32.500 --> 00:29:38.740]   the output of that they are i didn't say that quite right what's the residual stream after the eighth
[00:29:38.740 --> 00:29:43.540]   layer you can say what the output of just the eighth layer is but you can't say what's the residual stream
[00:29:43.540 --> 00:29:48.260]   after the eighth layer unless you also have the first seven layers so it's the same thing here you can't
[00:29:48.260 --> 00:29:58.020]   say what's the eighth resolution unless you also have the first one all right so just to clarify what the
[00:29:58.020 --> 00:30:05.060]   training process looks like is the multi-scale vqvae is trained separately so you in this case it was
[00:30:05.060 --> 00:30:13.780]   image net so you give it a bunch of image net and it tries to um uh encode these images in a way that
[00:30:13.780 --> 00:30:19.300]   that when they're decoded the l2 loss is the look the lowest um and it's going to do this as best it
[00:30:19.300 --> 00:30:28.980]   can and then it's going to be frozen so the actual lm part did not involve any of this training at this
[00:30:28.980 --> 00:30:36.660]   point this this sucker is completely frozen then what we do is we say given a fixed vqvae i'm now going
[00:30:36.660 --> 00:30:44.340]   to train my actual lm on this idea of i'm going to give it one patch it's going to predict four i'm
[00:30:44.340 --> 00:30:48.980]   going to give it one plus four patches it's going to predict nine then it's going to predict 16 then
[00:30:48.980 --> 00:30:55.620]   it's going to predict 25 up until at the very end for the 16 by 16 it has all the context of all of the
[00:30:55.620 --> 00:31:09.460]   earlier resolutions and it's going to predict 256 tokens in one fell swoop um so in this case it
[00:31:09.460 --> 00:31:15.380]   was trained on image net and so if you're wondering for the very beginning of the process what is the
[00:31:15.380 --> 00:31:21.780]   prompt uh there's one token that encodes the class so there's a thousand classes in image net and so i
[00:31:21.780 --> 00:31:27.140]   don't remember i think it was embedded but basically so you start with a class token and it predicts
[00:31:27.140 --> 00:31:32.820]   the one by one and then you have the class plus one by one and it predicts two by two and then so on and
[00:31:32.820 --> 00:31:41.300]   so forth um and this this predict that this repeats until you get the the final the 256 tokens and then for
[00:31:41.300 --> 00:31:50.500]   your actual image you need to sum up um all of this and have the decoder turn that into uh pixel values
[00:31:50.500 --> 00:31:57.940]   because this is this is still a very special vqvae and you still need the decoder part here
[00:31:57.940 --> 00:32:03.940]   so all of this stuff that's happening with the multiple scales this is all happening in latent space
[00:32:03.940 --> 00:32:10.260]   this is not predicting pixels this is predicting latence okay so when we when we have tokens that are
[00:32:10.260 --> 00:32:18.420]   embedding from our our our vqvae vocabulary these are all vocabularies in the latent space
[00:32:18.420 --> 00:32:27.540]   um and that's that's uh pretty much it so then you can see uh some of the results here and um they had
[00:32:27.540 --> 00:32:36.260]   really good image quality um if you guys are familiar with a um fid distance inception score and then they also said
[00:32:36.260 --> 00:32:47.380]   said because we were able to do inference in chunks uh we actually had many fewer steps than if you did
[00:32:47.380 --> 00:32:55.460]   auto regression naively so if you did one patch at a time you would have 256 inference steps they had 10
[00:32:55.460 --> 00:33:03.220]   inference steps going from 1 to 16 by 16 in just 10 steps maybe those individual steps were a little bit more expensive each
