
[00:00:00.040 --> 00:00:10.580]   never
[00:13:24.360 --> 00:13:27.200]   be nice chw Fort bargaining� �L. S. be want to do it is 50X. And you're the homework. You have a car. You're the sea. You have the piece of the shape. You have the palace. You know the trans, the person. You're the pressured. You're the person who was a, a, the, and, or the, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'t, dresses Z왔 Cu whirl the end drunk Y moisturizing Mmm shot loved 11est Guardian Rскую
[00:13:27.200 --> 00:13:27.960]   Thi Rugper
[00:13:29.060 --> 00:13:57.740]   300 bucks, 400 bucks. You could buy yourself a cheap utility trailer and it would have worked great. Whole lot smarter than a stupid pickup truck. Come on, man. At least if you were going to buy a pickup truck, you could have bought an intelligent one. I will give you that you bought a crew cab. That was good. Okay. But you could have at least bought a smaller one. Dude, you're not a contractor. You don't, you're not a farmer. You don't haul tractors.
[00:13:57.780 --> 00:14:26.200]   go
[00:14:27.780 --> 00:14:57.780]  's a great way to get your money back.
[00:14:57.780 --> 00:14:57.780]   You could have bought one that was actually going to last you a long time, hand it down
[00:14:57.780 --> 00:14:57.780]   and your kids, grandkids have a useful vehicle around the house, but no.
[00:14:57.780 --> 00:14:57.780]   You could have bought one that was actually going to last you a long time, hand it down
[00:14:57.780 --> 00:14:57.780]   and your kids, grandkids have a useful vehicle around the house, but no.
[00:14:57.780 --> 00:14:57.780]   You could have bought one that was actually going to last you a long time, hand it down
[00:14:57.780 --> 00:14:57.780]   and your kids, grandkids have a useful vehicle around the house, but no.
[00:14:57.780 --> 00:14:57.780]   You could have bought one that was actually going to last you a long time, hand it down
[00:14:57.780 --> 00:14:57.780]   and your kids, grandkids have a useful vehicle around the house, but no.
[00:14:57.780 --> 00:14:57.780]   You could have bought one that was actually going to last you a long time, hand it down
[00:14:57.780 --> 00:14:57.780]   and your kids, grandkids have a useful vehicle around the house, but no.
[00:14:57.820 --> 00:15:19.800]   I wonder, are they doing any deals? I don't see no zero percent, no special end of the year closeouts,
[00:15:19.800 --> 00:15:19.800]   no holiday sales. Why did you buy this now? Oh yeah, your car broke.
[00:15:19.800 --> 00:15:19.800]   I wonder, did you know, you're not a member of a credit union, you could have gotten a cheap loan from a credit union, but no, you're an idiot working with a bank.
[00:15:19.800 --> 00:15:21.860]   I wonder, did you know, you're not a member of a credit union, you could have gotten a cheap loan from a credit union, but no, you're an idiot working with a bank.
[00:15:21.860 --> 00:15:27.800]   You know what? If you don't make enough money to qualify for this loan,
[00:15:27.820 --> 00:15:57.820]   you know what? Tell me you didn't. You co-signed it, didn't you? Who was it? Who, who? Your dad? No, he would be smarter than that. Your wife's dad co-signed for you. Are you kidding me? What a sucker you are.
[00:15:57.820 --> 00:15:57.820]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:15:57.820 --> 00:15:57.820]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:15:57.820 --> 00:15:57.820]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:15:57.860 --> 00:16:27.840]  ,
[00:16:27.840 --> 00:16:27.840]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:16:27.840 --> 00:16:27.840]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:16:27.840 --> 00:16:27.840]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:16:27.840 --> 00:16:27.840]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:16:27.860 --> 00:16:57.860]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:16:57.860 --> 00:16:57.860]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:16:57.860 --> 00:16:57.860]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:16:57.860 --> 00:16:57.860]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:16:57.900 --> 00:17:27.880]  ,
[00:17:27.880 --> 00:17:27.880]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:17:27.880 --> 00:17:27.880]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:17:27.880 --> 00:17:27.880]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:17:27.900 --> 00:17:57.900]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:17:57.900 --> 00:17:57.900]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:17:57.900 --> 00:17:57.900]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:17:57.900 --> 00:17:57.900]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:17:57.940 --> 00:18:27.920]  , you're not a idiot working with a bank.
[00:18:27.920 --> 00:18:27.920]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:18:27.920 --> 00:18:27.920]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:18:27.920 --> 00:18:27.920]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:18:27.940 --> 00:18:57.940]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:18:57.940 --> 00:18:57.940]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:18:57.940 --> 00:18:57.940]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:18:57.940 --> 00:18:57.940]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union, but no, you're not a idiot working with a bank.
[00:18:57.980 --> 00:19:27.960]  , you know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union,
[00:19:27.960 --> 00:19:27.960]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union,
[00:19:27.960 --> 00:19:27.960]   You know what? If you don't make enough money to qualify for this loan, you could have gotten a cheap loan from a credit union,
[00:19:27.960 --> 00:19:27.960]   I forgot you can't afford beer because you have a pickup truck. You never turned on the internet. Have you never listened to a country song. You never wondered why country songs are filled with guys with pickup trucks who come home to find their wife in bed with another man and thought there might be a connection. Stupid pickup truck. She likes it because she likes it because she's hoping it'll make you'll make you feel more self confident so that you'll actually make a plan go for a promotion go for a promotion go for a promotion.
[00:19:28.000 --> 00:19:38.000]   about
[00:19:38.000 --> 00:19:47.500]   cloud, -- down,
[00:19:47.500 --> 00:19:57.320]   my high or Nicholas 'S. The, the, the, the, the, the, the, the, the,,,,,,,,,,,,,,,,,,,,,, Sin Happy chin de Now qualifyег repeat Wein existed 09J PhysратZ doesn dove 90TC acquire r néind 50 필 rpling a few gei w releases glass that was not прекрасuj be talk and a bed camera now FOR the pick look check in the pick a pick up a expect a bit as aigg vil dig a kind of a pick a feelingsź dot why Sie mean iстра shed a Minist "T, and the piece of the tail商 questions drink Rad de iPad use the pick a happy за wasn't buy a 'T. I'm Jib the T. I'm a
[00:19:57.360 --> 00:20:01.160]   gi
[00:20:01.160 --> 00:20:08.680]   less the Valentine
[00:20:08.680 --> 00:20:24.140]   on lim please. H..,,,,,,,,,,, does think ذago� Krieруз met guess biết go Нам now is the work. And, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, con. And, Div. And,. And, part of,達 worked the pick up. He, evenings shown in the pick up. And,ел,하지it. sorrow. I'm. Is. оперrage. …. very, recognise the…S. Bak,�í., trust the…V. transform the…G cheer…G. can't…G.
[00:20:24.200 --> 00:20:52.200]   '
[00:20:53.340 --> 00:20:55.340]   conduct
[00:20:55.340 --> 00:21:17.540]  code Ç I as workér spite
[00:21:17.540 --> 00:21:23.160]   cause, or,,,,,,,,,,etta
[00:21:51.280 --> 00:21:53.080]   I'm not being too hard. No, I'm not. If you don't get busy, your stupid pickup truck is going to cost you your life and it may cost you your wife. That would be a good thing. You have a pickup truck because you need some place to sleep when she walks off with all your money, your house, half your income for the rest of your life because of your emotional abandonment and abuse. Doubt me. Good grief.
[00:22:52.960 --> 00:23:03.860]   work
[00:23:03.860 --> 00:23:08.980]   even more. It's, por, Feels;
[00:23:20.520 --> 00:23:48.040]  berger: No. This loan, you never sell the thing for what you owe on it. I don't know, maybe if you returned it today, you might get your money back. No, hold on. When did you post this on Facebook? No, too late for that. You're screwed, buddy. There's no escape plan. You've been so stupid. It's all your fault. You're going to reap a long, long harvest of pain.
[00:23:48.040 --> 00:23:48.040]   It's all your fault. You're going to reap a long, long harvest of pain.
[00:23:48.040 --> 00:23:48.040]   It's all your fault. You're going to reap a long, long harvest of pain.
[00:23:48.040 --> 00:23:48.040]   It's all your fault. You're going to reap a long, long harvest of pain.
[00:23:48.040 --> 00:23:48.040]   It's all your fault. You're going to reap a long, long harvest of pain.
[00:23:48.040 --> 00:23:48.040]   It's all your fault. You're going to reap a long, long harvest of pain.
[00:23:48.040 --> 00:24:15.600]  , It's all your fault. You're going to reap a long, long harvest of pain.
[00:24:15.600 --> 00:24:17.600]   It's all your fault. You're going to reap a long, long harvest of pain. You could get it together. You could sell the thing.
[00:24:17.600 --> 00:24:17.600]   It's all your fault. You're going to reap a long, long harvest of pain. You could get it together. You could sell the thing.
[00:24:17.600 --> 00:24:17.680]   It's all your fault. You're going to reap a long, long, long harvest of pain. You could get it together. You could sell the thing.
[00:24:17.720 --> 00:24:20.880]   similar
[00:24:20.880 --> 00:24:28.380]   Vor Cl Co
[00:24:28.380 --> 00:24:33.640]  ,,,, there count the process the tone I'm in ahaba
[00:24:46.360 --> 00:24:53.560]   how are you gonna change when are you gonna think this is all related it's
[00:24:53.560 --> 00:24:57.880]   not like pickup trucks and your money you're not related the reason you're
[00:24:57.880 --> 00:25:02.620]   broke is your pickup truck but the reason you bought your pickup truck is
[00:25:02.620 --> 00:25:07.460]   because you don't think about the future you can't delay gratification you can't
[00:25:07.460 --> 00:25:11.660]   make a plan to actually save 500 bucks to go to the mechanic because your car
[00:25:11.660 --> 00:25:15.000]   is gonna break down and that
[00:25:15.000 --> 00:25:15.000]   the fact that you've got a pickup truck and you're not gonna think about the future
[00:25:15.000 --> 00:25:15.000]   and that fact that you've got a pickup truck and you're not gonna think about
[00:25:15.040 --> 00:25:24.940]  us
[00:25:24.940 --> 00:25:26.100]   the that, part,
[00:25:41.740 --> 00:25:47.040]   a weak, emotionally impotent dude is not generally very attractive to women.
[00:25:47.040 --> 00:25:51.320]   Now, if you fix that,
[00:25:51.320 --> 00:25:54.280]   your wife will be fine.
[00:25:54.280 --> 00:25:55.240]   She loves you, dude.
[00:25:55.240 --> 00:25:56.760]   She cares about you.
[00:25:56.760 --> 00:25:57.960]   You don't have to worry about her boss.
[00:25:57.960 --> 00:26:01.640]   But as long as you keep acting like an idiot,
[00:26:01.640 --> 00:26:04.000]   well,
[00:26:04.000 --> 00:26:07.000]   if he doesn't, you got competition.
[00:26:07.000 --> 00:26:10.360]   And then you come crying about how you're broke.
[00:26:10.360 --> 00:26:10.440]   And then you come crying about how you're broke.
[00:26:10.440 --> 00:26:11.320]   And then you come crying about how you're broke.
[00:26:11.340 --> 00:26:41.240]   and then you come crying about how you're broke.
[00:26:41.240 --> 00:26:41.280]   And then you come crying about how you're broke.
[00:26:41.280 --> 00:26:41.320]   And then you come crying about how you're broke.
[00:26:41.320 --> 00:26:41.320]   And then you come crying about how you're broke.
[00:26:41.360 --> 00:26:45.460]   count
[00:26:45.460 --> 00:26:52.860]   tell,
[00:26:52.860 --> 00:27:07.620]   curlslasses зан start about I I I I I I I lion
[00:27:09.760 --> 00:27:12.320]   e
[00:27:12.320 --> 00:27:28.640]   Jill, productive

