
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:02:30.160 --> 00:02:32.040]   in the investment management industry,
[00:02:32.040 --> 00:02:36.720]   championing good governance practices
[00:02:36.720 --> 00:02:38.280]   among public companies.
[00:02:38.280 --> 00:02:40.540]   Please welcome Bill McDabb.
[00:02:40.540 --> 00:02:43.700]   (audience applauding)
[00:02:43.880 --> 00:02:44.880]   - Thank you.
[00:02:44.880 --> 00:02:52.160]   - And Bill McDabb's companion for this Fireside Chat
[00:02:52.160 --> 00:02:54.400]   is a retired neurologist
[00:02:54.400 --> 00:02:57.680]   who helped co-found Efficient Frontier Advisors.
[00:02:57.680 --> 00:02:59.680]   He's written a number of bestselling titles
[00:02:59.680 --> 00:03:02.520]   on both finance and economic history.
[00:03:02.520 --> 00:03:06.020]   He holds both a PhD in chemistry and an MD.
[00:03:06.020 --> 00:03:08.320]   Please welcome one of the brightest guys I know,
[00:03:08.320 --> 00:03:09.960]   Dr. Bill Bernstein.
[00:03:09.960 --> 00:03:13.120]   (audience applauding)
[00:03:14.100 --> 00:03:16.500]   - And how about it, guys?
[00:03:16.500 --> 00:03:19.920]   Everything is fair game except politics.
[00:03:19.920 --> 00:03:21.540]   (audience laughing)
[00:03:21.540 --> 00:03:22.380]   - Of course.
[00:03:22.380 --> 00:03:25.340]   Yeah, well, you know,
[00:03:25.340 --> 00:03:29.780]   we got three, four hours every year
[00:03:29.780 --> 00:03:31.980]   of the public Jack Bogle
[00:03:31.980 --> 00:03:35.300]   and it was quite an education.
[00:03:35.300 --> 00:03:38.660]   It was quite a personal and emotional experience.
[00:03:38.660 --> 00:03:41.920]   So we saw a lot of what I suspect was the public Jack,
[00:03:41.920 --> 00:03:43.900]   even in front of this group.
[00:03:43.900 --> 00:03:46.780]   What I'd like you to speak to, Bill,
[00:03:46.780 --> 00:03:50.780]   is what you saw as the private Jack,
[00:03:50.780 --> 00:03:52.000]   not only him personally,
[00:03:52.000 --> 00:03:53.940]   but what I'm really more interested in
[00:03:53.940 --> 00:03:57.740]   is what he told you about the capital markets
[00:03:57.740 --> 00:04:00.020]   and retirement investing
[00:04:00.020 --> 00:04:04.340]   and just investing in general for small investors
[00:04:04.340 --> 00:04:06.820]   that he might not have said in public.
[00:04:06.820 --> 00:04:08.020]   - Whoa.
[00:04:08.020 --> 00:04:11.460]   (audience laughing)
[00:04:11.460 --> 00:04:13.920]   We might be a couple of days here.
[00:04:13.920 --> 00:04:15.280]   First of all, Mel, thank you
[00:04:15.280 --> 00:04:17.520]   and thank all of you for being here.
[00:04:17.520 --> 00:04:18.840]   This is a very emotional time.
[00:04:18.840 --> 00:04:23.840]   I think we held a service for Jack in March on the campus
[00:04:23.840 --> 00:04:29.480]   and the entire company was tuned in
[00:04:29.480 --> 00:04:34.480]   and we actually were able to have all of Jack's successors,
[00:04:34.480 --> 00:04:37.640]   Jack Brennan, Tim Buckley, myself,
[00:04:37.640 --> 00:04:41.900]   as well as Jack's son, John, speak to the entire company.
[00:04:41.900 --> 00:04:42.740]   So you think about it,
[00:04:42.740 --> 00:04:44.660]   four generations of leadership represented.
[00:04:44.660 --> 00:04:46.380]   I can't think of another company in America
[00:04:46.380 --> 00:04:48.140]   where that could happen.
[00:04:48.140 --> 00:04:51.700]   And again, you've got to give Jack Bogle so much credit
[00:04:51.700 --> 00:04:53.940]   for sort of creating that legacy.
[00:04:53.940 --> 00:04:56.620]   So again, I know he is looking down.
[00:04:56.620 --> 00:05:00.220]   He would greatly appreciate seeing all of you here.
[00:05:00.220 --> 00:05:02.420]   Bill, I thought what I might do
[00:05:02.420 --> 00:05:05.540]   is I might start with just a couple of quick Bogle stories
[00:05:05.540 --> 00:05:07.880]   because I think they actually will give you a sense
[00:05:07.880 --> 00:05:11.060]   of the man, what it was like to work for him.
[00:05:11.060 --> 00:05:15.480]   And I tell this because the day we heard
[00:05:15.480 --> 00:05:17.740]   about Jack's passing, I happened to be on campus
[00:05:17.740 --> 00:05:20.980]   and I was walking, just walking around,
[00:05:20.980 --> 00:05:23.620]   just crisscrossing building to building.
[00:05:23.620 --> 00:05:25.980]   And I had so many different crew members come up
[00:05:25.980 --> 00:05:27.180]   and say something.
[00:05:27.180 --> 00:05:31.060]   And people I knew, I've worked at Vanguard for 33 years,
[00:05:31.060 --> 00:05:33.220]   so I know a lot of our crew,
[00:05:33.220 --> 00:05:37.140]   but there were also some folks I don't know and new people.
[00:05:37.140 --> 00:05:39.700]   And the most common question was,
[00:05:39.700 --> 00:05:41.860]   what are your favorite memories?
[00:05:41.860 --> 00:05:43.140]   What are your favorite memories?
[00:05:43.140 --> 00:05:46.820]   And there's a lot, but there were three
[00:05:46.820 --> 00:05:49.300]   that I sort of told on a repeated basis.
[00:05:49.300 --> 00:05:50.140]   So I thought I'd start with that
[00:05:50.140 --> 00:05:53.780]   and then we can delve into some of the more deeper questions
[00:05:53.780 --> 00:05:55.060]   about the markets and so forth.
[00:05:55.060 --> 00:05:59.060]   So I had the privilege of,
[00:05:59.060 --> 00:06:02.780]   I came to Philadelphia right after college
[00:06:02.780 --> 00:06:04.980]   to teach, I was teaching at a boys' school
[00:06:04.980 --> 00:06:07.300]   and coaching through sports.
[00:06:07.300 --> 00:06:10.420]   Sort of stumbled my way to Penn
[00:06:10.420 --> 00:06:13.060]   and sort of worked my way through Wharton.
[00:06:13.060 --> 00:06:14.580]   Went up to New York for a couple of years
[00:06:14.580 --> 00:06:19.160]   and was, frankly, pretty dissatisfied where I was working.
[00:06:19.160 --> 00:06:21.280]   I love the work, actually.
[00:06:21.280 --> 00:06:24.560]   I was an analyst working for what's now JPMorgan Chase,
[00:06:24.560 --> 00:06:25.460]   but I didn't like the culture.
[00:06:25.460 --> 00:06:27.220]   I didn't like a lot of the,
[00:06:27.220 --> 00:06:28.580]   I call it strategic direction.
[00:06:28.580 --> 00:06:30.380]   So I began to get itchy.
[00:06:30.380 --> 00:06:31.500]   My wife is from Philly.
[00:06:31.500 --> 00:06:33.100]   I love my time here.
[00:06:33.100 --> 00:06:36.140]   So we began thinking about coming back.
[00:06:36.140 --> 00:06:38.420]   Her family's all from here.
[00:06:38.420 --> 00:06:41.380]   And I got a call from a friend of mine
[00:06:41.380 --> 00:06:43.780]   from business school who had gone into executive search.
[00:06:43.780 --> 00:06:46.900]   He goes, "I've got sort of good news and bad news."
[00:06:46.900 --> 00:06:49.740]   And I said, "Well, give me the good news."
[00:06:49.740 --> 00:06:50.900]   And he said, "I've just been hired
[00:06:50.900 --> 00:06:54.040]   "by this little company you've probably never heard of,
[00:06:54.040 --> 00:06:57.200]   "Vanguard, to do a search and I think you'd be perfect."
[00:06:57.200 --> 00:06:59.020]   I'm like, "Well, what could the bad news be?"
[00:06:59.020 --> 00:07:02.540]   And he says, "It's not exactly the kind of role
[00:07:02.540 --> 00:07:04.620]   "you would envision yourself doing."
[00:07:04.620 --> 00:07:06.140]   And I said, "What do you mean?"
[00:07:06.140 --> 00:07:09.060]   He says, "Well, you know, you're doing leverage buyouts
[00:07:09.060 --> 00:07:12.060]   "and M&A transactions, all this fancy stuff
[00:07:12.060 --> 00:07:12.900]   "on Wall Street."
[00:07:12.900 --> 00:07:17.240]   He goes, "They're looking for a GIC product manager."
[00:07:17.240 --> 00:07:18.420]   (audience laughing)
[00:07:18.420 --> 00:07:19.260]   Now I'm gonna ask this audience.
[00:07:19.260 --> 00:07:20.620]   This audience is pretty,
[00:07:20.620 --> 00:07:23.060]   how many of you know what a GIC is?
[00:07:23.060 --> 00:07:26.340]   Yeah, all right, so almost a third.
[00:07:26.340 --> 00:07:27.860]   Guaranteed investment contract.
[00:07:27.860 --> 00:07:31.300]   It was kind of like a certificate of deposit, if you will,
[00:07:31.300 --> 00:07:34.340]   issued by an insurance company to a qualified plan.
[00:07:34.340 --> 00:07:37.500]   So it was the most popular option along with company stock
[00:07:37.500 --> 00:07:39.500]   in the early 401(k) days.
[00:07:39.500 --> 00:07:41.540]   And we were just getting into 401(k) business
[00:07:41.540 --> 00:07:45.200]   and we had just begun work there.
[00:07:45.200 --> 00:07:50.200]   And so Jack and others within Vanguard decided
[00:07:50.200 --> 00:07:52.340]   we needed to sort of beef up our efforts there
[00:07:52.340 --> 00:07:54.180]   if we were gonna be successful.
[00:07:54.180 --> 00:07:55.700]   I didn't know what it was.
[00:07:55.700 --> 00:07:56.960]   You know, it's before the internet.
[00:07:56.960 --> 00:07:59.660]   So I'm running around, going to libraries, looking it up.
[00:07:59.660 --> 00:08:01.340]   (audience laughing)
[00:08:01.340 --> 00:08:04.300]   Trying to find out stories.
[00:08:04.300 --> 00:08:06.860]   Anyway, I had to come down.
[00:08:06.860 --> 00:08:10.000]   And one thing that has not changed at Vanguard
[00:08:10.000 --> 00:08:12.860]   is we're very rigorous in our interview process.
[00:08:12.860 --> 00:08:16.020]   So I think I came three different times.
[00:08:16.020 --> 00:08:18.260]   Probably went through 20 some odd interviews.
[00:08:18.260 --> 00:08:20.220]   And remember, we were a few hundred people.
[00:08:20.220 --> 00:08:24.140]   And at that point, about 20 billion under management.
[00:08:24.140 --> 00:08:25.860]   And finally, the last interview,
[00:08:25.860 --> 00:08:28.340]   they're like, "We want you to meet the founder."
[00:08:28.340 --> 00:08:31.740]   And again, this is a pretty junior level role
[00:08:31.740 --> 00:08:32.740]   within the company.
[00:08:32.740 --> 00:08:36.160]   So I was surprised.
[00:08:36.160 --> 00:08:38.860]   But if you made more than, I think, 15 or $20,000
[00:08:38.860 --> 00:08:40.380]   in those days, Jack had to interview you
[00:08:40.380 --> 00:08:41.780]   and had to sign off.
[00:08:41.780 --> 00:08:45.260]   You know, the attention to detail was pretty great.
[00:08:45.260 --> 00:08:49.020]   So anyway, I come in to do the interview
[00:08:49.020 --> 00:08:53.500]   and Jack kind of picks up my resume and he looks at it
[00:08:53.500 --> 00:08:55.900]   and he goes, "You know, I bet you're an ambitious
[00:08:55.900 --> 00:08:57.160]   "young fella."
[00:08:57.160 --> 00:09:00.340]   (audience laughing)
[00:09:00.340 --> 00:09:03.660]   "I don't know why you'd come here."
[00:09:03.660 --> 00:09:04.700]   And that was literally.
[00:09:04.700 --> 00:09:08.000]   And I'm, "Well, Mr. Bubble, you asked me to interview you."
[00:09:08.000 --> 00:09:09.700]   And then for the next hour and a half,
[00:09:09.700 --> 00:09:12.860]   Jack proceeded to tell me why I should be there.
[00:09:12.860 --> 00:09:14.300]   And you know, he held court.
[00:09:14.300 --> 00:09:15.540]   He was lying on his couch.
[00:09:15.540 --> 00:09:18.140]   He had just come back from a heart incident,
[00:09:18.140 --> 00:09:19.100]   as he called it.
[00:09:19.100 --> 00:09:21.340]   And the doctors were making him put his feet up.
[00:09:21.340 --> 00:09:24.620]   And so we went through this about an hour and a half.
[00:09:24.620 --> 00:09:26.860]   I think I got two words in edgewise.
[00:09:26.860 --> 00:09:31.620]   So I go home and my wife says, "Well, how'd it go?"
[00:09:31.620 --> 00:09:32.700]   'Cause she was really, by this time,
[00:09:32.700 --> 00:09:33.920]   she was ready to come back to Philly.
[00:09:33.920 --> 00:09:36.500]   And I said, "I have no idea.
[00:09:36.500 --> 00:09:37.500]   "I didn't say anything."
[00:09:37.500 --> 00:09:39.500]   (audience laughing)
[00:09:39.500 --> 00:09:40.980]   And she goes, "Well, what are you gonna do?"
[00:09:40.980 --> 00:09:43.060]   I said, "Well, if I'm offered the job, I'm going."
[00:09:43.060 --> 00:09:44.540]   I said it was compelling.
[00:09:44.540 --> 00:09:46.220]   'Cause you could feel the passion.
[00:09:46.220 --> 00:09:47.380]   You could feel the energy.
[00:09:47.380 --> 00:09:52.060]   You could feel there was something different.
[00:09:52.060 --> 00:09:53.380]   You know, there was something obviously different
[00:09:53.380 --> 00:09:54.220]   about Jack.
[00:09:54.220 --> 00:09:55.040]   You all know that.
[00:09:55.040 --> 00:09:55.880]   But there was something different
[00:09:55.880 --> 00:09:56.900]   about the mission of the company.
[00:09:56.900 --> 00:09:58.720]   And it really appealed to me.
[00:09:58.720 --> 00:10:00.580]   So I accepted.
[00:10:00.580 --> 00:10:01.420]   I was fortunate.
[00:10:01.420 --> 00:10:02.460]   I got the job.
[00:10:02.460 --> 00:10:03.940]   I really wasn't qualified for it.
[00:10:03.940 --> 00:10:07.780]   But I'm forever grateful that somebody took a bet.
[00:10:07.780 --> 00:10:11.140]   And then I was here only about a week.
[00:10:11.140 --> 00:10:15.300]   And I got a call from Jack saying, "Hey, let's have lunch."
[00:10:15.300 --> 00:10:16.660]   And so we go and we have lunch.
[00:10:16.660 --> 00:10:18.580]   This is really the second part of the story.
[00:10:18.580 --> 00:10:22.060]   And we go to our galley.
[00:10:22.060 --> 00:10:23.860]   As you know, everything's nautical.
[00:10:23.860 --> 00:10:25.420]   Even in those early days.
[00:10:25.420 --> 00:10:27.380]   We had two buildings back then.
[00:10:27.380 --> 00:10:29.260]   And we're going through the line.
[00:10:29.260 --> 00:10:34.260]   And Jack is negotiating with the chef
[00:10:34.260 --> 00:10:36.860]   over an order of French fries.
[00:10:36.860 --> 00:10:39.400]   And the chef is saying, "Mr. Bobo,
[00:10:39.400 --> 00:10:40.240]   "you can't have French fries.
[00:10:40.240 --> 00:10:41.340]   "They're not good for your heart."
[00:10:41.340 --> 00:10:43.520]   And he's like, "Well, how about a half an order?"
[00:10:43.520 --> 00:10:44.620]   And they're going back and forth.
[00:10:44.620 --> 00:10:48.220]   And again, I had just left J.P. Morgan Chase.
[00:10:48.220 --> 00:10:52.020]   You know, I'd been privileged, quote unquote,
[00:10:52.020 --> 00:10:55.140]   to have lunch with the vice chair of the bank
[00:10:55.140 --> 00:10:57.100]   who would push a button under the table
[00:10:57.100 --> 00:10:59.700]   and like six waiters would come running in.
[00:10:59.700 --> 00:11:02.140]   So I'm watching this going,
[00:11:02.140 --> 00:11:03.940]   like I think my eyes are popping out of my head.
[00:11:03.940 --> 00:11:06.480]   And he turns to me and he goes, "What are you staring at?"
[00:11:06.480 --> 00:11:08.260]   (audience laughing)
[00:11:08.260 --> 00:11:10.820]   I said, "I've never seen anything like this."
[00:11:10.820 --> 00:11:12.260]   And he says, "Well," he goes,
[00:11:12.260 --> 00:11:14.580]   "let me make a point really clear."
[00:11:14.580 --> 00:11:18.500]   He goes, "Everybody's job here matters.
[00:11:18.500 --> 00:11:22.340]   "And it doesn't matter whether you're a chef
[00:11:22.340 --> 00:11:25.680]   "in the cafeteria or you're an executive
[00:11:25.680 --> 00:11:27.700]   "or you're a portfolio manager.
[00:11:27.700 --> 00:11:29.520]   "Everybody matters."
[00:11:29.520 --> 00:11:30.360]   And he goes, "The only thing
[00:11:30.360 --> 00:11:32.260]   "that's gonna really get me upset
[00:11:32.260 --> 00:11:34.240]   "is if I see a big shot kicking a little shot,
[00:11:34.240 --> 00:11:36.500]   "I'm gonna kick the big shot out of the company."
[00:11:36.500 --> 00:11:39.200]   And it was one of those object lessons, right?
[00:11:39.200 --> 00:11:41.860]   You know, I was 29 years old,
[00:11:41.860 --> 00:11:43.460]   trying to figure out what I wanted to do with my life.
[00:11:43.460 --> 00:11:46.660]   And you get this sort of wisdom imparted to you.
[00:11:46.660 --> 00:11:49.700]   And I never forgot that conversation.
[00:11:49.700 --> 00:11:53.180]   And then the third story, and then we will get serious.
[00:11:53.180 --> 00:11:55.500]   But again, I just wanna give you the flavor
[00:11:55.500 --> 00:11:56.980]   for what it was like to work with Jack.
[00:11:56.980 --> 00:12:01.060]   So many of you know, he was a very avid squash player.
[00:12:01.060 --> 00:12:03.220]   And despite all the heart issues,
[00:12:03.220 --> 00:12:04.780]   he would find a doctor who would sign off
[00:12:04.780 --> 00:12:05.620]   and let him play squash.
[00:12:05.620 --> 00:12:07.420]   You know, he would just sort of rotate from,
[00:12:07.420 --> 00:12:08.780]   I'm looking at his daughters and they're like,
[00:12:08.780 --> 00:12:10.220]   "Yeah, yeah, they knew the story."
[00:12:10.220 --> 00:12:15.220]   So 1994, late '94, I was privileged
[00:12:15.220 --> 00:12:21.860]   to be asked to join the executive team.
[00:12:21.860 --> 00:12:23.140]   Jack was still CEO.
[00:12:23.140 --> 00:12:26.660]   And so I was gonna join what we call senior staff
[00:12:26.660 --> 00:12:29.540]   and run the 401k business
[00:12:29.540 --> 00:12:31.860]   and the other institutional businesses.
[00:12:31.860 --> 00:12:34.860]   And Jack's health had begun to turn,
[00:12:34.860 --> 00:12:36.300]   but he was still feisty as ever.
[00:12:36.300 --> 00:12:39.140]   And he's like, "Let's go play squash."
[00:12:39.140 --> 00:12:42.020]   Now, I'm not much of a squash player, just to be very clear.
[00:12:42.020 --> 00:12:46.820]   But you know, I had 30 years on Jack and I was an ex-rower.
[00:12:46.820 --> 00:12:49.340]   So I had a fair amount of fitness
[00:12:49.340 --> 00:12:51.100]   so I could run around the court.
[00:12:51.100 --> 00:12:55.140]   So we go and he goes, "Hey," he goes, "I hate to do this,
[00:12:55.140 --> 00:12:57.100]   "but I don't think he hated to do it at all."
[00:12:57.100 --> 00:13:00.060]   He goes, "He taught me to work the defibrillator."
[00:13:00.060 --> 00:13:02.620]   (audience laughing)
[00:13:02.620 --> 00:13:05.740]   So you wanna talk about intimidation, right?
[00:13:05.900 --> 00:13:07.700]   (audience laughing)
[00:13:07.700 --> 00:13:10.900]   You got the founder and the lifeblood of the company
[00:13:10.900 --> 00:13:12.540]   and he's teaching you how to work the defibrillator.
[00:13:12.540 --> 00:13:14.620]   He goes, "I don't think we'll need it, but just in case."
[00:13:14.620 --> 00:13:16.300]   (audience laughing)
[00:13:16.300 --> 00:13:18.420]   So forget my strategy of just running around.
[00:13:18.420 --> 00:13:19.980]   I'm like one shot and I'm done.
[00:13:19.980 --> 00:13:22.220]   Like go for the winner all the time.
[00:13:22.220 --> 00:13:26.340]   So we played in the first two games, Jack won.
[00:13:26.340 --> 00:13:28.980]   Next two games, I won.
[00:13:28.980 --> 00:13:31.700]   And then he sort of slumped, "Oh my God, here it comes."
[00:13:31.700 --> 00:13:34.660]   And he said, "You know, I don't think I," he goes,
[00:13:34.660 --> 00:13:35.940]   "You know me, I never quit."
[00:13:35.940 --> 00:13:37.540]   But he goes, "I just don't think I can finish."
[00:13:37.540 --> 00:13:38.900]   I'm like, "Thank you, thank you, thank you.
[00:13:38.900 --> 00:13:39.740]   "We're gonna get out of here.
[00:13:39.740 --> 00:13:40.620]   "He's gonna be alive.
[00:13:40.620 --> 00:13:42.500]   "I don't have to work the defibrillator."
[00:13:42.500 --> 00:13:47.500]   So we left and then Jack's health deteriorated further
[00:13:47.500 --> 00:13:50.540]   and he was in and out of the company a lot.
[00:13:50.540 --> 00:13:52.460]   And he ended up going to the hospital
[00:13:52.460 --> 00:13:54.780]   and waiting for the transplant.
[00:13:54.780 --> 00:13:58.860]   So about nine months after the transplant, I get a call
[00:13:58.860 --> 00:14:00.620]   and it's not, "Hey Bill, how you doing?"
[00:14:00.620 --> 00:14:03.740]   It's not, it's, "We have unfinished business."
[00:14:03.740 --> 00:14:06.220]   (audience laughing)
[00:14:06.220 --> 00:14:09.380]   And it's Jack and his son, John,
[00:14:09.380 --> 00:14:12.340]   had given him a new squash racket.
[00:14:12.340 --> 00:14:15.100]   And so we had to go play squash.
[00:14:15.100 --> 00:14:17.260]   I had not looked at a squash racket since then.
[00:14:17.260 --> 00:14:18.860]   Jack had been playing nonstop.
[00:14:18.860 --> 00:14:21.860]   But it was, and trust me, this was one of those,
[00:14:21.860 --> 00:14:22.980]   you've heard of boss's golf.
[00:14:22.980 --> 00:14:24.060]   There was boss's squash.
[00:14:24.060 --> 00:14:26.140]   There was no way I was gonna win this match.
[00:14:26.140 --> 00:14:30.140]   So, but we, but you know, it was just classic Jack.
[00:14:30.140 --> 00:14:34.860]   And, you know, you mentioned that he would always,
[00:14:34.860 --> 00:14:37.620]   you know, encourage people to keep going.
[00:14:37.620 --> 00:14:39.540]   You know, his phrase was, "Press on regardless,"
[00:14:39.540 --> 00:14:43.980]   as you know, and it was a great, great lesson
[00:14:43.980 --> 00:14:45.380]   about press on regardless.
[00:14:45.380 --> 00:14:46.700]   And, you know, again, these are things
[00:14:46.700 --> 00:14:48.340]   that are imprinted on you.
[00:14:48.340 --> 00:14:50.500]   And, you know, as you're joining the executive team
[00:14:50.500 --> 00:14:54.100]   to see that kind of fire and that kind of passion
[00:14:54.100 --> 00:14:55.260]   was really important.
[00:14:55.260 --> 00:14:59.140]   So those are, you know, a couple of fun stories,
[00:14:59.140 --> 00:15:00.260]   if you will, to give you a sense
[00:15:00.260 --> 00:15:01.660]   of what it was like to work for him.
[00:15:01.660 --> 00:15:03.780]   You know, in terms of the business stuff,
[00:15:03.780 --> 00:15:09.460]   I think the most important lesson he imparted,
[00:15:09.460 --> 00:15:14.340]   and it's interesting, I'm not sure he would say this,
[00:15:14.340 --> 00:15:18.380]   so I say it with, you know, all respect.
[00:15:18.380 --> 00:15:21.220]   He had this phrase that he loved to use
[00:15:21.220 --> 00:15:25.060]   in a lot of his speeches around creative destruction.
[00:15:25.060 --> 00:15:29.100]   And Joseph Schumpeter, the great Austrian economist,
[00:15:29.100 --> 00:15:33.140]   had really, you know, written extensively about this,
[00:15:33.140 --> 00:15:34.700]   and Jack just loved it.
[00:15:34.700 --> 00:15:36.060]   And I think Jack looked at himself
[00:15:36.060 --> 00:15:38.780]   as the creative destroyer, and, you know,
[00:15:38.780 --> 00:15:41.100]   somebody who would upend the markets,
[00:15:41.100 --> 00:15:43.620]   upend the way business was done.
[00:15:43.620 --> 00:15:48.620]   And so he took Schumpeter's words very, very much to heart.
[00:15:48.620 --> 00:15:54.420]   And we talked a lot about that in my early days as CEO,
[00:15:55.180 --> 00:15:57.260]   and, you know, what was interesting
[00:15:57.260 --> 00:16:02.260]   is it gave you confidence as a leader.
[00:16:02.260 --> 00:16:05.460]   It also provoked you to think about
[00:16:05.460 --> 00:16:10.460]   how do you actually disrupt yourself?
[00:16:10.460 --> 00:16:12.180]   And if you think about Vanguard,
[00:16:12.180 --> 00:16:14.780]   and many of you have lived through multiple generations
[00:16:14.780 --> 00:16:17.660]   of the organization, we have changed quite a bit
[00:16:17.660 --> 00:16:22.820]   with the times, you know, from a little startup
[00:16:22.820 --> 00:16:25.900]   where, you know, the virtual relationship
[00:16:25.900 --> 00:16:27.580]   was through the post office box,
[00:16:27.580 --> 00:16:29.540]   and a huge technological revolution
[00:16:29.540 --> 00:16:31.700]   was the 800 phone number,
[00:16:31.700 --> 00:16:34.500]   to, you know, the creation of Vanguard.com,
[00:16:34.500 --> 00:16:36.500]   to now all the virtual advice,
[00:16:36.500 --> 00:16:39.620]   and, you know, things you can do in that space.
[00:16:39.620 --> 00:16:43.620]   And, you know, it was Jack's philosophy
[00:16:43.620 --> 00:16:45.740]   about creative destruction,
[00:16:45.740 --> 00:16:49.300]   which was way ahead of all the other writers
[00:16:49.300 --> 00:16:51.540]   who talked about disruption.
[00:16:51.540 --> 00:16:53.700]   And, you know, whether it was Andy Grove,
[00:16:53.700 --> 00:16:55.580]   "Only the Paranoid Survive,"
[00:16:55.580 --> 00:16:57.580]   or, you know, some of the other,
[00:16:57.580 --> 00:16:59.540]   Clay Christensen, who, you know,
[00:16:59.540 --> 00:17:00.860]   has written extensively about this,
[00:17:00.860 --> 00:17:02.580]   Jack was really ahead of them,
[00:17:02.580 --> 00:17:06.220]   and actually viewed his life's work, if you will,
[00:17:06.220 --> 00:17:08.180]   as being a disruptor.
[00:17:08.180 --> 00:17:12.340]   That wisdom, more than all the market stuff,
[00:17:12.340 --> 00:17:16.100]   believe it or not, was actually the most valuable lesson
[00:17:16.100 --> 00:17:18.300]   that he imparted, at least for me,
[00:17:18.300 --> 00:17:21.620]   because what it challenged us to do as a leadership team
[00:17:21.620 --> 00:17:25.500]   is to think about how would you beat Vanguard?
[00:17:25.500 --> 00:17:29.100]   How would you do a better job serving our clients
[00:17:29.100 --> 00:17:30.340]   than we can do?
[00:17:30.340 --> 00:17:31.820]   And then, what do you have to do
[00:17:31.820 --> 00:17:34.060]   to respond to that as an organization?
[00:17:34.060 --> 00:17:35.500]   And we certainly don't always get it right,
[00:17:35.500 --> 00:17:37.060]   but that's what we've tried to do.
[00:17:37.060 --> 00:17:40.140]   That's been, you know, that's been at the heart of,
[00:17:40.140 --> 00:17:42.340]   the heart and soul of who we are.
[00:17:42.340 --> 00:17:44.060]   And if you think about it, you know,
