
[00:00:00.000 --> 00:00:08.000]   [no audio]
[00:02:02.000 --> 00:02:06.000]   and from the website itself.
[00:02:06.000 --> 00:02:15.000]   So I think I'll start with a question from Dr. Bernstein from the Finance Club.
[00:02:15.000 --> 00:02:21.000]   And the question is, "How should we apply a principle in your book,
[00:02:21.000 --> 00:02:27.000]   'The Ages of an Investor', to funding a 529 plan for college expenses?
[00:02:27.000 --> 00:02:31.000]   On one hand, it's investing a stream of contributions,
[00:02:31.000 --> 00:02:34.000]   which argues for a more aggressive allocation.
[00:02:34.000 --> 00:02:39.000]   On the other hand, it seems a good candidate for liability matching
[00:02:39.000 --> 00:02:42.000]   with fixed income investments."
[00:02:42.000 --> 00:02:51.000]   And I think that a 529 is pretty clearly a liability matching portfolio situation.
[00:02:51.000 --> 00:02:57.000]   It's got a time horizon that's at most, you know, 15, 16, 17 years.
[00:02:57.000 --> 00:03:01.000]   And its median age is going to be--
[00:03:01.000 --> 00:03:05.000]   or its median duration is going to be around, you know, 7 or 8 years.
[00:03:05.000 --> 00:03:09.000]   That's not stock territory. That's bond territory.
[00:03:09.000 --> 00:03:14.000]   So, you know, most 529 providers, or at least many of them,
[00:03:14.000 --> 00:03:17.000]   offer a glide path that reflects that.
[00:03:17.000 --> 00:03:21.000]   It starts at maybe, you know, 70% or 80% stock very rapidly,
[00:03:21.000 --> 00:03:27.000]   goes down from there to almost no stock in 5 years.
[00:03:27.000 --> 00:03:29.000]   And I think that's appropriate.
[00:03:29.000 --> 00:03:32.000]   You're certainly not in a deep risk sort of situation.
[00:03:32.000 --> 00:03:36.000]   You're in a shallow risk situation.
[00:03:36.000 --> 00:03:40.000]   This is a question for the panel from Dan.
[00:03:40.000 --> 00:03:45.000]   "Please compare the following two investment portfolios,
[00:03:45.000 --> 00:03:48.000]   the total stock market index admiral shares
[00:03:48.000 --> 00:03:52.000]   combined with the total international index admiral shares,
[00:03:52.000 --> 00:03:58.000]   compared to a portfolio of total index equity fund,
[00:03:58.000 --> 00:04:05.000]   total bond, and a money market or other cash fund."
[00:04:05.000 --> 00:04:10.000]   Anyone?
[00:04:10.000 --> 00:04:14.000]   Total international index.
[00:04:14.000 --> 00:04:16.000]   The question--see if I can be clear on this.
[00:04:16.000 --> 00:04:19.000]   The question is whether you want your diversification out of either the stock--
[00:04:19.000 --> 00:04:22.000]   the international stocks on the one hand or the bonds on the other.
[00:04:22.000 --> 00:04:23.000]   Is that the nature of it?
[00:04:23.000 --> 00:04:25.000]   I think that's the nature of the question.
[00:04:25.000 --> 00:04:29.000]   Well, then why didn't you write it that way?
[00:04:29.000 --> 00:04:36.000]   Maybe I didn't read it.
[00:04:36.000 --> 00:04:41.000]   I was trying to compare the total U.S. and the international
[00:04:41.000 --> 00:04:48.000]   as compared to the total index equity fund, total bond, and a money market.
[00:04:48.000 --> 00:04:51.000]   I think that's probably total global.
[00:04:51.000 --> 00:05:00.000]   The concept of investing--
[00:05:00.000 --> 00:05:06.000]   I think the concept is would you invest in total global,
[00:05:06.000 --> 00:05:08.000]   which has domestic and international in it,
[00:05:08.000 --> 00:05:11.000]   or would you invest in the pieces separately?
[00:05:11.000 --> 00:05:17.000]   Would you invest in total stock market plus total international?
[00:05:17.000 --> 00:05:21.000]   Personally, I believe the latter.
[00:05:21.000 --> 00:05:28.000]   Total global has an asset allocation of roughly 55% international, 45% U.S.,
[00:05:28.000 --> 00:05:33.000]   and I believe that every investor should have a home country bias,
[00:05:33.000 --> 00:05:36.000]   and that's why I think you should invest in the two pieces.
[00:05:36.000 --> 00:05:40.000]   I personally think 30% is about the right level of international investment.
[00:05:40.000 --> 00:05:43.000]   The reason I say that you should have a home country bias
[00:05:43.000 --> 00:05:47.000]   is because basically you say you would invest in order to,
[00:05:47.000 --> 00:05:49.000]   at some point in time, consume,
[00:05:49.000 --> 00:05:52.000]   and most of your consumption is going to be at home,
[00:05:52.000 --> 00:05:54.000]   so most of your investment should be tied to home.
[00:05:54.000 --> 00:05:56.000]   To give you an example, in Australia,
[00:05:56.000 --> 00:05:59.000]   over the first ten years of this century,
[00:05:59.000 --> 00:06:02.000]   the Australian stock market did much better than the world stock market.
[00:06:02.000 --> 00:06:03.000]   It was up about 7% a year.
[00:06:03.000 --> 00:06:05.000]   The world market was about flat.
[00:06:05.000 --> 00:06:07.000]   At the same time, the Australian economy did better
[00:06:07.000 --> 00:06:09.000]   because it was a very resource-based economy,
[00:06:09.000 --> 00:06:12.000]   and China was creating all the resources.
[00:06:12.000 --> 00:06:15.000]   What we saw was the economy moved forward quite dramatically.
[00:06:15.000 --> 00:06:18.000]   Prices escalated dramatically in Australia.
[00:06:18.000 --> 00:06:21.000]   Sydney is the third most expensive city in the world.
[00:06:21.000 --> 00:06:23.000]   Melbourne is the fourth most expensive city in the world.
[00:06:23.000 --> 00:06:28.000]   If you had invested in a global equity portfolio as an Australian,
[00:06:28.000 --> 00:06:31.000]   you would have had about 3% of your money invested in Australia,
[00:06:31.000 --> 00:06:35.000]   so your global equity portfolio would have provided about a 0% return
[00:06:35.000 --> 00:06:38.000]   instead of a 7% return you would have gotten in an Australian portfolio.
[00:06:38.000 --> 00:06:42.000]   Now, I think an Australian should have some international investment,
[00:06:42.000 --> 00:06:46.000]   but to only have 3% invested domestically would be way out of whack.
[00:06:46.000 --> 00:06:51.000]   I personally feel comfortable with a 30% international allocation
[00:06:51.000 --> 00:06:53.000]   than a 55% international allocation.
[00:06:53.000 --> 00:06:56.000]   I would agree with that completely,
[00:06:56.000 --> 00:06:58.000]   and I have a question for you, Gus, though,
[00:06:58.000 --> 00:07:01.000]   which is that the total world fund, the portfolio,
[00:07:01.000 --> 00:07:05.000]   is a good deal more expensive, at least in value-added terms,
[00:07:05.000 --> 00:07:08.000]   than the components are.
[00:07:08.000 --> 00:07:11.000]   Why exactly is that?
[00:07:11.000 --> 00:07:15.000]   If you look at the way the economics work in Vanguard,
[00:07:15.000 --> 00:07:19.000]   each fund has to pay a certain amount to keep Vanguard running.
[00:07:19.000 --> 00:07:22.000]   Each fund has a certain percentage of ownership of Vanguard,
[00:07:22.000 --> 00:07:25.000]   and then it has its own variable costs as well.
[00:07:25.000 --> 00:07:29.000]   Those variable costs are somewhat...
[00:07:29.000 --> 00:07:33.000]   There are some economies of scale as the fund gets larger,
[00:07:33.000 --> 00:07:36.000]   and the fixed costs that the fund bears
[00:07:36.000 --> 00:07:42.000]   become somewhat cheaper on a per-asset basis as the fund gets larger.
[00:07:42.000 --> 00:07:44.000]   So it's really a question of the size of the fund.
[00:07:44.000 --> 00:07:47.000]   What you see is that as funds get larger,
[00:07:47.000 --> 00:07:48.000]   the expense ratios go down.
[00:07:48.000 --> 00:07:50.000]   As Vanguard has gotten larger,
[00:07:50.000 --> 00:07:52.000]   the overall expense ratio has gone down.
[00:07:52.000 --> 00:07:56.000]   So it's really reflecting the costs of running the fund.
[00:07:56.000 --> 00:07:59.000]   The smaller fund is more expensive.
[00:07:59.000 --> 00:08:03.000]   Anybody else?
[00:08:03.000 --> 00:08:04.000]   Okay.
[00:08:04.000 --> 00:08:07.000]   This is for Jack from Stephen Ander.
[00:08:07.000 --> 00:08:09.000]   I'm a retiree.
[00:08:09.000 --> 00:08:11.000]   I live partly off my portfolio.
[00:08:11.000 --> 00:08:16.000]   Currently, my bond allocation is entirely to Vanguard's total bond market index.
[00:08:16.000 --> 00:08:19.000]   In light of future interest rate increases,
[00:08:19.000 --> 00:08:21.000]   should I change this allocation?
[00:08:21.000 --> 00:08:25.000]   Perhaps I should diversify into a short-term bond fund question,
[00:08:25.000 --> 00:08:29.000]   or should I just leave it alone?
[00:08:29.000 --> 00:08:30.000]   Okay.
[00:08:30.000 --> 00:08:32.000]   I'll answer that in just one second,
[00:08:32.000 --> 00:08:35.000]   because I do want to just take advantage of just this moment.
[00:08:35.000 --> 00:08:38.000]   After this session is over, I won't see any of you again.
[00:08:38.000 --> 00:08:40.000]   Until next year, God willing.
[00:08:40.000 --> 00:08:43.000]   I just want to thank you all for being such wonderful people.
[00:08:43.000 --> 00:08:44.000]   I enjoyed the book signings.
[00:08:44.000 --> 00:08:46.000]   I enjoyed the photography.
[00:08:46.000 --> 00:08:48.000]   I enjoyed the selfies.
[00:08:48.000 --> 00:08:52.000]   [laughter]
[00:08:52.000 --> 00:08:56.000]   I talked for so long yesterday about why anybody would want me on this panel today.
[00:08:56.000 --> 00:08:59.000]   I have absolutely no idea.
[00:08:59.000 --> 00:09:01.000]   But I'm here because I was asked to.
[00:09:01.000 --> 00:09:03.000]   I didn't sort of get involved here.
[00:09:03.000 --> 00:09:06.000]   So just thank you all for everything, is the first thing I want to say.
[00:09:06.000 --> 00:09:09.000]   The second thing I want to say is I've done all these book signings,
[00:09:09.000 --> 00:09:11.000]   and now I would like someone to do one for me.
[00:09:11.000 --> 00:09:14.000]   So I'm going to pass that down to Bill Bernstein.
[00:09:14.000 --> 00:09:15.000]   [laughter]
[00:09:15.000 --> 00:09:17.000]   I have three copies of that book in my office,
[00:09:17.000 --> 00:09:19.000]   and none of them are signed.
[00:09:19.000 --> 00:09:22.000]   Please write a nice message to me, will you?
[00:09:22.000 --> 00:09:24.000]   [laughter]
[00:09:24.000 --> 00:09:26.000]   No pressure at all.
[00:09:26.000 --> 00:09:28.000]   [laughter]
[00:09:28.000 --> 00:09:30.000]   Do you have a copy of what you were going to say, Jack?
[00:09:30.000 --> 00:09:32.000]   People ask me, but I know.
[00:09:32.000 --> 00:09:33.000]   [laughter]
[00:09:33.000 --> 00:09:39.000]   And then I've also signed two books for the inestimable Gus Sauter,
[00:09:39.000 --> 00:09:43.000]   because he won the year to get two latest global diatribes,
[00:09:43.000 --> 00:09:47.000]   one of which includes my version of the history of the index fund.
[00:09:47.000 --> 00:09:49.000]   [laughter]
[00:09:49.000 --> 00:09:57.000]   [applause]
[00:09:57.000 --> 00:09:59.000]   Every fact we have is the same.
[00:09:59.000 --> 00:10:02.000]   Every name we have, I name all those different--
[00:10:02.000 --> 00:10:07.000]   McLaughlin, who I knew, myself, Jack Treanor, the whole bunch of them,
[00:10:07.000 --> 00:10:11.000]   and Paul Samuelson, who was not on his list, who was the key,
[00:10:11.000 --> 00:10:13.000]   who started the first index fund.
[00:10:13.000 --> 00:10:17.000]   And I explained why that difference is there between the quantitative school,
[00:10:17.000 --> 00:10:23.000]   so for all those computer-worrying guys, who got nowhere, finally,
[00:10:23.000 --> 00:10:26.000]   and had to change their work, their Samsonite fund.
[00:10:26.000 --> 00:10:30.000]   You knew an S&P fund after we had started ours.
[00:10:30.000 --> 00:10:33.000]   So I'm not saying they borrowed it out.
[00:10:33.000 --> 00:10:35.000]   I don't think they borrowed anything like that.
[00:10:35.000 --> 00:10:38.000]   They actually got religion after we had to read it,
[00:10:38.000 --> 00:10:42.000]   so we could divide them into pre-religion and post-religion states.
[00:10:42.000 --> 00:10:44.000]   [laughter]
[00:10:44.000 --> 00:10:46.000]   And that's all described there, so enjoy them, Gus.
[00:10:46.000 --> 00:10:49.000]   [laughter]
[00:10:49.000 --> 00:10:51.000]   I marked the relevant pages.
[00:10:51.000 --> 00:10:56.000]   [laughter and applause]
[00:10:56.000 --> 00:10:58.000]   Back to the question.
[00:10:58.000 --> 00:11:01.000]   [laughter]
[00:11:01.000 --> 00:11:03.000]   Now back to the question.
[00:11:03.000 --> 00:11:05.000]   [laughter]
[00:11:05.000 --> 00:11:08.000]   In the face of low interest rates.
[00:11:08.000 --> 00:11:11.000]   There's an awful lot of timing that goes on.
[00:11:11.000 --> 00:11:14.000]   You're going to get in, bond prices are going up and down.
[00:11:14.000 --> 00:11:18.000]   And my view is that the intelligent investor doesn't pay any attention to that.
[00:11:18.000 --> 00:11:21.000]   The intelligent investor realizes when he buys a bond fund,
[00:11:21.000 --> 00:11:23.000]   this is a broad generalization,
[00:11:23.000 --> 00:11:25.000]   he's entered into a 10-year contract.
[00:11:25.000 --> 00:11:28.000]   Whether it's a 10-year bond or a longer bond,
[00:11:28.000 --> 00:11:30.000]   it's not going to look that much different.
[00:11:30.000 --> 00:11:34.000]   And that is a contract to get today's interest rate for 10 years.
[00:11:34.000 --> 00:11:36.000]   It's not very complicated.
[00:11:36.000 --> 00:11:38.000]   So do you want to have bonds today, which will--
[00:11:38.000 --> 00:11:44.000]   I guess the 10-year treasuries are around 2.2, 2.24.
[00:11:44.000 --> 00:11:47.000]   Anybody want to correct that?
[00:11:47.000 --> 00:11:51.000]   2.24% today, I'll let you see if I can get away with it at that point.
[00:11:51.000 --> 00:11:56.000]   And the long treasury is probably around 3.25 at this point.
[00:11:56.000 --> 00:11:59.000]   And so if you want a longer, higher return,
[00:11:59.000 --> 00:12:03.000]   almost dramatically higher return, you want the long treasury.
[00:12:03.000 --> 00:12:05.000]   But it will be all over the place.
[00:12:05.000 --> 00:12:09.000]   And I don't think most people can tolerate long-term volatility.
[00:12:09.000 --> 00:12:12.000]   There's this idea of a thing called duration,
[00:12:12.000 --> 00:12:15.000]   which is very simple no matter how people try to make it.
[00:12:15.000 --> 00:12:18.000]   And that is how much for the price of a bond.
[00:12:18.000 --> 00:12:25.000]   Duration is the number of times of price movement you get for each 1% interest rate.
[00:12:25.000 --> 00:12:30.000]   So the treasury probably has--a long-term treasury probably has a duration of 17,
[00:12:30.000 --> 00:12:31.000]   something like that.
[00:12:31.000 --> 00:12:37.000]   So if interest rates go up 1%, you will get to have 17% preordained.
[00:12:37.000 --> 00:12:38.000]   That's for the moment.
[00:12:38.000 --> 00:12:43.000]   And you'll make that up to have higher yields later on for the summer.
[00:12:43.000 --> 00:12:45.000]   So I don't like the long-term bond too much.
[00:12:45.000 --> 00:12:49.000]   So you can do intermediate, and then you have a choice in intermediate
[00:12:49.000 --> 00:12:55.000]   between the treasury in round numbers, 10-year treasury at 2.25,
[00:12:55.000 --> 00:12:57.000]   something in that range.
[00:12:57.000 --> 00:13:01.000]   And the corporate in that range is probably about 2.90, very close to 3%,
[00:13:01.000 --> 00:13:04.000]   so you can get the higher return on the corporate.
[00:13:04.000 --> 00:13:10.000]   So how you want to deal with this is a combination of mathematics,
[00:13:10.000 --> 00:13:12.000]   tolerance for volatility,
[00:13:12.000 --> 00:13:16.000]   and your ability not to get bothered by these upheavals in the market.
[00:13:16.000 --> 00:13:20.000]   These are behavioral decisions, not rules-based decisions.
[00:13:20.000 --> 00:13:22.000]   And I worry a lot about rules-based decisions
[00:13:22.000 --> 00:13:27.000]   because rules don't apply to all people equally for all different individuals.
[00:13:27.000 --> 00:13:34.000]   And so I'd say be very wary of anyone who gives you a rule-based kind of idea.
[00:13:34.000 --> 00:13:38.000]   There's also this about the balance function of the bond index
[00:13:38.000 --> 00:13:40.000]   or your interest in the bond market,
[00:13:40.000 --> 00:13:45.000]   and that is this allocation between stocks and bonds for years
[00:13:45.000 --> 00:13:51.000]   is based on the notion that the yield on stocks has been around 2%
[00:13:51.000 --> 00:13:53.000]   for 20 years, I guess, maybe more than that.
[00:13:53.000 --> 00:13:58.000]   It got all the way down to 1% in 1999, early 2000.
[00:13:58.000 --> 00:14:01.000]   And the yield on bonds during that period was mostly about 6%,
[00:14:01.000 --> 00:14:03.000]   three times as high.
[00:14:03.000 --> 00:14:10.000]   Today, the yield on a bond portfolio is probably 3% corporate-government mix.
[00:14:10.000 --> 00:14:12.000]   I'll use that as a random number.
[00:14:12.000 --> 00:14:16.000]   The yield on a stock portfolio is 2%, and that's not much of a difference.
[00:14:16.000 --> 00:14:20.000]   And if you don't want to go along, it's probably 2 against 2.5.
[00:14:20.000 --> 00:14:24.000]   So you just have to make your judgment how badly do you need the income.
[00:14:24.000 --> 00:14:26.000]   That's where the corporate bond index comes in,
[00:14:26.000 --> 00:14:29.000]   the intermediate-term bond index comes in.
[00:14:29.000 --> 00:14:31.000]   And I don't really have any rules for that,
[00:14:31.000 --> 00:14:33.000]   but those are the things you want to think about--
[00:14:33.000 --> 00:14:37.000]   10-year contract, the volatility and your tolerance for it,
[00:14:37.000 --> 00:14:42.000]   and the apparent mere certainty of getting a higher return the longer you go
[00:14:42.000 --> 00:14:45.000]   with a much higher risk.
[00:14:45.000 --> 00:14:48.000]   One of the things I loved about my job at Vanguard
[00:14:48.000 --> 00:14:51.000]   is that we use a lot of financial theory that I've studied
[00:14:51.000 --> 00:14:55.000]   and then try to figure out how to apply that from a practical standpoint.
[00:14:55.000 --> 00:15:01.000]   So if you think of how we come up with the concept of an asset allocation,
[00:15:01.000 --> 00:15:04.000]   it's think of the traditional efficient frontier
[00:15:04.000 --> 00:15:09.000]   and then where your utility curve is tangent to the efficient frontier
[00:15:09.000 --> 00:15:11.000]   in terms of your asset allocation.
[00:15:11.000 --> 00:15:16.000]   Well, the interesting thing is the efficient frontier is going to shift
[00:15:16.000 --> 00:15:21.000]   if you have lower expected returns for bonds, as we do now,
[00:15:21.000 --> 00:15:25.000]   and that would mean that the utility curve is going to intersect
[00:15:25.000 --> 00:15:31.000]   or be tangent at a different place on the efficient frontier,
[00:15:31.000 --> 00:15:34.000]   and that would imply a different asset allocation.
[00:15:34.000 --> 00:15:38.000]   But if you expect lower bond returns,
[00:15:38.000 --> 00:15:40.000]   shouldn't you expect lower equity returns?
[00:15:40.000 --> 00:15:43.000]   Stocks and bonds compete for capital,
[00:15:43.000 --> 00:15:48.000]   and if we're in an environment where bonds are providing very low returns,
[00:15:48.000 --> 00:15:51.000]   then shouldn't stock prices be bid up to the point where
[00:15:51.000 --> 00:15:57.000]   future expected returns are correspondingly low for equities?
[00:15:57.000 --> 00:15:59.000]   And if you believe that's the case,
[00:15:59.000 --> 00:16:02.000]   so instead of getting 10% a year from equities,
[00:16:02.000 --> 00:16:07.000]   let's say we're going to get 8% a year from equities or maybe even 7%.
[00:16:07.000 --> 00:16:10.000]   Then you have to redraw your efficient frontier
[00:16:10.000 --> 00:16:14.000]   and find out where it's tangent to your utility curve,
[00:16:14.000 --> 00:16:19.000]   and maybe not coincidentally, it's the same asset allocation.
[00:16:19.000 --> 00:16:25.000]   So I think you have to also think that each one of these asset classes
[00:16:25.000 --> 00:16:28.000]   provides something in your portfolio.
[00:16:28.000 --> 00:16:31.000]   Equities are going to give you, hopefully, the biggest return,
[00:16:31.000 --> 00:16:34.000]   and bonds are there to moderate the volatility
[00:16:34.000 --> 00:16:36.000]   and still provide you with some rate of return.
[00:16:36.000 --> 00:16:39.000]   I think that role is still the same in this environment.
[00:16:39.000 --> 00:16:47.000]   We just have to realize that our expected returns are probably lower at this point.
[00:16:47.000 --> 00:16:51.000]   Okay, here's a question for the panel from Tracy Denton.
[00:16:51.000 --> 00:16:55.000]   How often should a portfolio be rebalanced?
[00:16:55.000 --> 00:16:57.000]   One or two times a year?
[00:16:57.000 --> 00:17:08.000]   Should the state of the current market have any impact on the frequency?
[00:17:08.000 --> 00:17:14.000]   I favor bands as opposed to timing.
[00:17:14.000 --> 00:17:20.000]   I think that--is this working?
[00:17:20.000 --> 00:17:27.000]   I favor expansion bands as opposed to a specific time.
[00:17:27.000 --> 00:17:29.000]   I know everybody's got their own method.
[00:17:29.000 --> 00:17:32.000]   They do it on the birthday, they do it on the first of the year,
[00:17:32.000 --> 00:17:36.000]   they do it around Christmas time, but personally I prefer--I know Jack's--
[00:17:36.000 --> 00:17:40.000]   I think Jack doesn't favor rebalancing at all.
[00:17:40.000 --> 00:17:41.000]   Is that correct?
[00:17:41.000 --> 00:17:46.000]   Well, it's probably a reasonable reading of what I said.
[00:17:46.000 --> 00:17:48.000]   Let me say what I think is the facts on it.
[00:17:48.000 --> 00:17:53.000]   Number one, rebalancing costs you a lot of money over the long term
[00:17:53.000 --> 00:17:57.000]   because you're selling your higher-yielding asset in favor of lower-yielding asset.
[00:17:57.000 --> 00:18:01.000]   You're reducing your stocks, which have an upward curve.
[00:18:01.000 --> 00:18:03.000]   It's steeper than the return on bonds.
[00:18:03.000 --> 00:18:07.000]   So you should be going to any kind of rebalancing, realizing that.
[00:18:07.000 --> 00:18:11.000]   That's the economic or financial impact of it.
[00:18:11.000 --> 00:18:15.000]   If you want to make sure that you're reasonably conservative,
[00:18:15.000 --> 00:18:18.000]   you scare a little bit easily as I do,
[00:18:18.000 --> 00:18:21.000]   and you want a decent-sized bond position,
[00:18:21.000 --> 00:18:23.000]   and you probably do want to rebalance,
[00:18:23.000 --> 00:18:29.000]   I would say never, never, never use a decimal point in your calculation.
[00:18:29.000 --> 00:18:37.000]   I mean, maybe if you want to be 60/40 and you get over 65/35,
[00:18:37.000 --> 00:18:40.000]   you might think about rebalancing, or even 70,
[00:18:40.000 --> 00:18:46.000]   because it's really much more important what's in the portfolio,
[00:18:46.000 --> 00:18:49.000]   what you're paying for--this is for investors generally--
[00:18:49.000 --> 00:18:53.000]   and those factors are every bit as important as rebalancing.
[00:18:53.000 --> 00:18:55.000]   So I think we tend to overdo rebalancing.
[00:18:55.000 --> 00:18:59.000]   We had a budget--Michael and I had a budget, and maybe Kevin and I--
[00:18:59.000 --> 00:19:03.000]   a bunch of 25-year studies showing that rebalancing pays off,
[00:19:03.000 --> 00:19:07.000]   I think, about half the time, just about what you would expect,
[00:19:07.000 --> 00:19:11.000]   holding a return constant of 60% or so.
[00:19:11.000 --> 00:19:16.000]   So I think it's a little bit overdone, and maybe even a lot overdone,
[00:19:16.000 --> 00:19:23.000]   and has given some idea of magic that doesn't exist anywhere in the field of investing.
[00:19:23.000 --> 00:19:25.000]   There is no magic here.
[00:19:25.000 --> 00:19:29.000]   Sometimes things go for you, sometimes times go against you.
[00:19:29.000 --> 00:19:31.000]   So I think you do want to be a little cautious.
[00:19:31.000 --> 00:19:35.000]   If you have a 50/50 target, and you get to 80/20,
[00:19:35.000 --> 00:19:40.000]   you should have cut back something, maybe when you got to 60 or 70.
[00:19:40.000 --> 00:19:45.000]   But it's not a guarantee of better performance or anything else.
[00:19:45.000 --> 00:19:51.000]   It's a guarantee, I think, that what I like about keeping a solid bond position
[00:19:51.000 --> 00:19:55.000]   is it keeps you from the behavioral issues involved,
[00:19:55.000 --> 00:19:58.000]   and the kind of markets we've had in the last few weeks.
[00:19:58.000 --> 00:20:02.000]   The last few weeks have been so funny, because every day,
[00:20:02.000 --> 00:20:06.000]   every odd number of days, you wake up thinking, "Gee, I wish I had more in stocks,"
[00:20:06.000 --> 00:20:10.000]   and every even number of days, you wake up and say, "I wish I had more in bonds."
[00:20:10.000 --> 00:20:12.000]   And that's not going to get you anywhere.
[00:20:12.000 --> 00:20:16.000]   Just leave it alone to the extent you can.
[00:20:16.000 --> 00:20:23.000]   My understanding is the target date funds at Vanguard rebalance on a daily basis.
[00:20:23.000 --> 00:20:26.000]   Can you confirm that or straighten us out on that?
[00:20:26.000 --> 00:20:30.000]   What we do is take the cash flow into the funds
[00:20:30.000 --> 00:20:36.000]   and re-target it towards the allocation that it's supposed to be at any given point in time.
[00:20:36.000 --> 00:20:38.000]   They're really risk-based.
[00:20:38.000 --> 00:20:42.000]   At a certain age, we want you to have a certain level of risk,
[00:20:42.000 --> 00:20:45.000]   which implies a certain asset allocation.
[00:20:45.000 --> 00:20:50.000]   And if it does wander away, if we have cash in the portfolio that day,
[00:20:50.000 --> 00:20:53.000]   we're going to put it wherever we happen to like.
[00:20:53.000 --> 00:21:02.000]   So it's seldom that we would actually sell out of a position and rebalance in one other,
[00:21:02.000 --> 00:21:05.000]   except in extreme market movements.
[00:21:05.000 --> 00:21:11.000]   So if 2008, 2009, we actually will rebalance it.
[00:21:11.000 --> 00:21:15.000]   And actually something like Balanced Index rebalances every day.
[00:21:15.000 --> 00:21:17.000]   Not necessarily that it's a great strategy,
[00:21:17.000 --> 00:21:20.000]   but you have cash flows coming in every day,
[00:21:20.000 --> 00:21:26.000]   and you're offering a fund that is a 60/40, 60 stock, 40 bond portfolio index,
[00:21:26.000 --> 00:21:28.000]   and you don't want it to get to 61,
[00:21:28.000 --> 00:21:31.000]   because that may be too much for the person that's coming in that day.
[00:21:31.000 --> 00:21:36.000]   It's a kind of a consistency with objectives strategy,
[00:21:36.000 --> 00:21:39.000]   rather than a personal investment decision.
[00:21:39.000 --> 00:21:41.000]   Bill?
[00:21:41.000 --> 00:21:46.000]   I was just going to say, we do use bands so that we're not overdoing it.
[00:21:46.000 --> 00:21:48.000]   You were going to make a comment, I thought.
[00:21:48.000 --> 00:21:51.000]   No, I was just going to make a wisecrack.
[00:21:51.000 --> 00:21:54.000]   One of the ways you can tell, in response to what Jack says,
[00:21:54.000 --> 00:21:58.000]   one of the ways you can tell the financial economists have a sense of humor
[00:21:58.000 --> 00:22:00.000]   is they do use decimal points.
[00:22:00.000 --> 00:22:04.000]   [laughter]
[00:22:04.000 --> 00:22:07.000]   All right, the next question is for the panel.
[00:22:07.000 --> 00:22:10.000]   It says, "Look into your crystal ball.
[00:22:10.000 --> 00:22:14.000]   The massive baby boom generation moves into retirement.
[00:22:14.000 --> 00:22:23.000]   What are the macro effects on the markets, pressures on portfolios, et cetera?"
[00:22:23.000 --> 00:22:25.000]   I'll take a nice extreme position, nothing.
[00:22:25.000 --> 00:22:27.000]   [laughter]
[00:22:27.000 --> 00:22:32.000]   The reason for that is, none of us can guess exactly how this will work,
[00:22:32.000 --> 00:22:35.000]   but stocks have a certain intrinsic value.
[00:22:35.000 --> 00:22:41.000]   If a lot of people are buying stocks at, let's say, an arbitrary actual value of 100,
[00:22:41.000 --> 00:22:43.000]   a whole lot of people are selling them.
[00:22:43.000 --> 00:22:48.000]   Someone will be selling stocks as they go into retirement, presumably,
[00:22:48.000 --> 00:22:50.000]   but there will be other people buying them.
[00:22:50.000 --> 00:22:53.000]   I don't know how you measure which demand is larger or which is smaller,
[00:22:53.000 --> 00:22:57.000]   but it should not, theoretically, in the long run,
